阿焕鸭面,a'huan'ya'mian
鬼马牛肉,gui'ma'niu'rou
桂鱼排骨,gui'yu'pai'gu
贵屿油饼,gui'yu'you'bing
锅巴菜,guo'ba'cai
郭八火烧,guo'ba'huo'shao
锅巴肉片,guo'ba'rou'pian
果瓣子,guo'ban'zi
锅边,guo'bian
锅边糊,guo'bian'hu
果丹皮,guo'dan'pi
锅盖面,guo'gai'mian
锅盔,guo'kui
锅盔辣子,guo'kui'la'zi
锅烙豆腐珧柱,guo'lao'dou'fu'yao'zhu
过桥抄手,guo'qiao'chao'shou
过桥米线,guo'qiao'mi'xian
果仁张,guo'ren'zhang
锅烧鳗,guo'shao'man
锅烧鸭,guo'shao'ya
锅烧野鸭,guo'shao'ye'ya
郭汤圆,guo'tang'yuan
果条筒,guo'tiao'tong
锅贴,guo'tie
锅熠银鱼,guo'yi'yin'yu
过油肉,guo'you'rou
锅渣,guo'zha
裹蒸粽,guo'zheng'zong
果蒸棕,guo'zheng'zong
果汁牛肉片,guo'zhi'niu'rou'pian
果汁软糖,guo'zhi'ruan'tang
果汁鱼块,guo'zhi'yu'kuai
果子肉,guo'zi'rou
哈达饼,ha'da'bing
哈尔滨风干口条,ha'er'bin'feng'gan'kou'tiao
哈尔滨干肠,ha'er'bin'gan'chang
哈尔滨红肠,ha'er'bin'hong'chang
哈尔滨水晶肚,ha'er'bin'shui'jing'du
哈尔滨五香牛肉干,ha'er'bin'wu'xiang'niu'rou'gan
哈尔滨虾油小菜,ha'er'bin'xia'you'xiao'cai
哈尔滨熏鸡,ha'er'bin'xun'ji
哈尔滨熏肘花,ha'er'bin'xun'zhou'hua
哈尔滨羊干肠,ha'er'bin'yang'gan'chang
哈密瓜,ha'mi'gua
哈蜜瓜脯,ha'mi'gua'pu
海带炖鸭,hai'dai'dun'ya
海红,hai'hong
海蛎煎,hai'li'jian
海凉粉,hai'liang'fen
海米珍珠笋,hai'mi'zhen'zhu'sun
海南干贝,hai'nan'gan'bei
海南嘉积鸭,hai'nan'jia'ji'ya
海南椰子盅,hai'nan'ye'zi'zhong
海派罗宋汤,hai'pai'luo'song'tang
海派盐烤蟹,hai'pai'yan'kao'xie
海参三大件,hai'shen'san'da'jian
海参酥,hai'shen'su
海棠糕,hai'tang'gao
海鲜豆腐羹,hai'xian'dou'fu'geng
海鲜粉干,hai'xian'fen'gan
海鲜小豆腐,hai'xian'xiao'dou'fu
韩包子,han'bao'zi
韩城羊肉臊子饸饹,han'cheng'yang'rou'sao'zi'he'le
汉水银梭,han'shui'yin'suo
汉中梆梆面,han'zhong'bang'bang'mian
汉中米面皮,han'zhong'mi'mian'pi
杭州地方小吃,hang'zhou'di'fang'xiao'chi
杭州老鸭煲,hang'zhou'lao'ya'bao
杭州虾爆鳝面,hang'zhou'xia'bao'shan'mian
杭州糟鸡,hang'zhou'zao'ji
毫崩,hao'beng
号腐干,hao'fu'gan
蚝皇蒸凤爪,hao'huang'zheng'feng'zhao
毫吉阿,hao'ji'a
蚝煎,hao'jian
毫糯索,hao'nuo'suo
好清香,hao'qing'xiang
好丝百叶,hao'si'bai'ye
蚝油叉烧包,hao'you'cha'shao'bao
蚝油蘑菇,hao'you'mo'gu
蚝油牛肉丝,hao'you'niu'rou'si
蚝油西兰花,hao'you'xi'lan'hua
蚝油鸭掌,hao'you'ya'zhang
蚝仔煎,hao'zai'jian
耗子洞,hao'zi'dong
荷包饭,he'bao'fan
合菜盖被,he'cai'gai'bei
合川桃片,he'chuan'tao'pian
和合腰子,he'he'yao'zi
荷花酥,he'hua'su
和记米粉,he'ji'mi'fen
荷兰粉,he'lan'fen
喝螺,he'luo
合梅,he'mei
河南卤面,he'nan'lu'mian
荷芹炒腊味,he'qin'chao'la'wei
鹤庆米糕,he'qing'mi'gao
河曲红果,he'qu'hong'guo
河曲酸粥,he'qu'suan'zhou
合水粉葛,he'shui'fen'ge
合水西瓜,he'shui'xi'gua
核桃,he'tao
核桃糕,he'tao'gao
和味炒田螺,he'wei'chao'tian'luo
和味牛杂萝卜,he'wei'niu'za'luo'bo
合阳页面,he'yang'ye'mian
荷叶饼,he'ye'bing
荷叶糍粑,he'ye'ci'ba
荷叶饭,he'ye'fan
荷叶粉蒸鸡,he'ye'fen'zheng'ji
荷叶鸡,he'ye'ji
荷叶糯米鸡,he'ye'nuo'mi'ji
荷叶粥,he'ye'zhou
合油酥,he'you'su
河州大饼,he'zhou'da'bing
合子酥,he'zi'su
黑肠,hei'chang
黑豆叶菜,hei'dou'ye'cai
黑瓜子,hei'gua'zi
黑麻酥,hei'ma'su
黑糯米八宝饭,hei'nuo'mi'ba'bao'fan
红扒鱼肚,hong'ba'yu'du
鸿宾楼,hong'bin'lou
烘蛋角,hong'dan'jiao
洪都素烩,hong'du'su'hui
红咖喱金瓜加积鸭,hong'ga'li'jin'gua'jia'ji'ya
烘糕,hong'gao
红菇,hong'gu
红龟,hong'gui
红椒酿肉,hong'jiao'niang'rou
红棱饼,hong'leng'bing
红螺食品,hong'luo'shi'pin
红梅牌脆松糖,hong'mei'pai'cui'song'tang
红焖羊头,hong'men'yang'tou
红米碱水粑,hong'mi'jian'shui'ba
红庙酥饼,hong'miao'su'bing
红袍油糕,hong'pao'you'gao
鸿起顺,hong'qi'shun
鸿起顺饭馆,hong'qi'shun'fan'guan
虹桥绿豆糕,hong'qiao'lv'dou'gao
洪山桥光饼,hong'shan'qiao'guang'bing
烘山芋,hong'shan'yu
红烧鲍鱼,hong'shao'bao'yu
红烧海参,hong'shao'hai'shen
红烧猴头,hong'shao'hou'tou
红烧划水,hong'shao'hua'shui
红烧滑水,hong'shao'hua'shui
红烧栗子鸡,hong'shao'li'zi'ji
红烧牛肉,hong'shao'niu'rou
红烧牛肉面,hong'shao'niu'rou'mian
红烧狮子头,hong'shao'shi'zi'tou
红烧梭子蟹,hong'shao'suo'zi'xie
红烧兔头,hong'shao'tu'tou
红烧鱼唇,hong'shao'yu'chun
红烧猪肚,hong'shao'zhu'du
红烧猪手,hong'shao'zhu'shou
红薯干,hong'shu'gan
红薯酥糖,hong'shu'su'tang
红丝菜,hong'si'cai
红松鳜鱼,hong'song'gui'yu
红糖米花糖,hong'tang'mi'hua'tang
鸿兴泰,hong'xing'tai
红油抄手,hong'you'chao'shou
红油兔丁,hong'you'tu'ding
红糟片鸭,hong'zao'pian'ya
红枣煨肘,hong'zao'wei'zhou
厚德福,hou'de'fu
鲎馃,hou'guo
猴头蘑,hou'tou'mo
猴银鱼,hou'yin'yu
湖彩蛋,hu'cai'dan
胡场糖模,hu'chang'tang'mo
蝴蝶海参,hu'die'hai'shen
蝴蝶烩鳝,hu'die'hui'shan
蝴蝶面,hu'die'mian
壶关羊汤,hu'guan'yang'tang
护国寺小吃,hu'guo'si'xiao'chi
壶壶油茶,hu'hu'you'cha
糊辣汤,hu'la'tang
葫芦大吉翅子,hu'lu'da'ji'chi'zi
葫芦鸡,hu'lu'ji
葫芦头,hu'lu'tou
胡麻饼,hu'ma'bing
湖南花肉,hu'nan'hua'rou
湖南腊肉,hu'nan'la'rou
湖南腊鱼,hu'nan'la'yu
湖南兰花萝卜,hu'nan'lan'hua'luo'bo
湖南玫瑰蹄筋,hu'nan'mei'gui'ti'jin
湖南腌三样,hu'nan'yan'san'yang
湖南油淋鸡,hu'nan'you'lin'ji
虎皮梳子肉,hu'pi'shu'zi'rou
琥珀桃仁,hu'po'tao'ren
沪式巧果,hu'shi'qiao'guo
虎掌金丝面,hu'zhang'jin'si'mian
湖州大馄饨,hu'zhou'da'hun'tun
湖州诸老大粽子,hu'zhou'zhu'lao'da'zong'zi
花点果品,hua'dian'guo'pin
花雕鸡,hua'diao'ji
花糕,hua'gao
花江炒粉,hua'jiang'chao'fen
花江狗肉,hua'jiang'gou'rou
话李,hua'li
滑肉肠粉,hua'rou'chang'fen
花色酥点,hua'se'su'dian
花生糕,hua'sheng'gao
花生汤,hua'sheng'tang
花生糖,hua'sheng'tang
花生粘,hua'sheng'zhan
花式绣球酥,hua'shi'xiu'qiu'su
花样馃子,hua'yang'guo'zi
粿汁,hua'zhi
淮安茶馓,huai'an'cha'san
淮饺,huai'jiao
槐茂酱菜,huai'mao'jiang'cai
淮阴鸡粥蒲菜,huai'yin'ji'zhou'pu'cai
怀远石榴,huai'yuan'shi'liu
欢喜坨,huan'xi'tuo
黄板,huang'ban
黄墩湖腊豆,huang'dun'hu'la'dou
黄粉,huang'fen
黄糕粑,huang'gao'ba
黄桂柿子饼,huang'gui'shi'zi'bing
黄河鲤鱼,huang'he'li'yu
皇后双皮奶,huang'hou'shuang'pi'nai
黄家烤肉,huang'jia'kao'rou
黄金虾托,huang'jin'xia'tuo
黄金香肉脯,huang'jin'xiang'rou'pu
黄蚂蚁蛋,huang'ma'yi'dan
黄焖狗肉,huang'men'gou'rou
黄焖鳗,huang'men'man
黄米切糕,huang'mi'qie'gao
黄米油糕,huang'mi'you'gao
黄泥煨鸡,huang'ni'wei'ji
黄桥烧饼,huang'qiao'shao'bing
黄山炖鸽,huang'shan'dun'ge
黄石港饼,huang'shi'gang'bing
黄坦糖,huang'tan'tang
黄县肉盒,huang'xian'rou'he
黄油,huang'you
黄则,huang'ze
黄州烧梅,huang'zhou'shao'mei
烩菜,hui'cai
灰豆,hui'dou
灰豆子,hui'dou'zi
烩番薯,hui'fan'shu
回锅肉,hui'guo'rou
回记绿豆糕,hui'ji'lv'dou'gao
烩麻食,hui'ma'shi
惠民虾酱,hui'min'xia'jiang
回民筵席十大碗,hui'min'yan'xi'shi'da'wan
烩明珠,hui'ming'zhu
汇泉,hui'quan
汇泉饭店,hui'quan'fan'dian
惠如楼,hui'ru'lou
惠山油酥,hui'shan'you'su
徽式炒面,hui'shi'chao'mian
烩小吃,hui'xiao'chi
烩羊杂碎,hui'yang'za'sui
烩银丝,hui'yin'si
会友发包子,hui'you'fa'bao'zi
徽州饼,hui'zhou'bing
徽州臭豆腐,hui'zhou'chou'dou'fu
徽州裹粽,hui'zhou'guo'zong
徽州桃脂烧肉,hui'zhou'tao'zhi'shao'rou
徽州蒸鸡,hui'zhou'zheng'ji
徽州状元饭,hui'zhou'zhuang'yuan'fan
回族麦芽糖,hui'zu'mai'ya'tang
回族碾馔儿,hui'zu'nian'zhuan'er
回族蒸艾叶,hui'zu'zheng'ai'ye
荤素雪糕,hun'su'xue'gao
混汤酒酿元宵,hun'tang'jiu'niang'yuan'xiao
馄饨侯,hun'tun'hou
荤油米糕,hun'you'mi'gao
火焙豆腐,huo'bei'dou'fu
火边子牛肉,huo'bian'zi'niu'rou
火宫殿,huo'gong'dian
火宫殿臭豆腐,huo'gong'dian'chou'dou'fu
火锅牛肉粉,huo'guo'niu'rou'fen
火井,huo'jing
火局鸡,huo'ju'ji
火烧冬笋,huo'shao'dong'sun
火烧猪肉,huo'shao'zhu'rou
火腿粑粑,huo'tui'ba'ba
火腿炒干巴菌,huo'tui'chao'gan'ba'jun
火腿大白饼,huo'tui'da'bai'bing
火腿鸡丝卷,huo'tui'ji'si'juan
火腿酥腰,huo'tui'su'yao
火腿鲜肉包子,huo'tui'xian'rou'bao'zi
活油豆沙蒸蛋糕,huo'you'dou'sha'zheng'dan'gao
激冰冰激凌,ji'bing'bing'ji'ling
荠菜春卷,ji'cai'chun'juan
鸡枞,ji'cong
鸡蛋糕,ji'dan'gao
鸡蛋米浆粑粑,ji'dan'mi'jiang'ba'ba
鸡蛋熨斗糕,ji'dan'yun'dou'gao
鸡蛋仔,ji'dan'zai
及第粥,ji'di'zhou
鸡丁干粉,ji'ding'gan'fen
鸡豆冰粉,ji'dou'bing'fen
鸡骨香糕,ji'gu'xiang'gao
鸡火酥,ji'huo'su
鸡颈板,ji'jing'ban
吉利虾,ji'li'xia
机米凉糕,ji'mi'liang'gao
济南米粉,ji'nan'mi'fen
济南香肠,ji'nan'xiang'chang
济南肴鸡,ji'nan'yao'ji
鸡肉饼,ji'rou'bing
鸡肉生煎馒头,ji'rou'sheng'jian'man'tou
鸡肉线粉,ji'rou'xian'fen
鸡什刀削,ji'shen'dao'xiao
鸡丝凉面,ji'si'liang'mian
鸡丝香菇洋芋粑,ji'si'xiang'gu'yang'yu'ba
鸡丝伊府面,ji'si'yi'fu'mian
鸡汤饸饹,ji'tang'he'le
鸡汤三鲜馄饨,ji'tang'san'xian'hun'tun
鸡汤氽海蚌,ji'tang'tun'hai'bang
鸡豌豆凉粉,ji'wan'dou'liang'fen
绩溪菜糕,ji'xi'cai'gao
鸡西冷面,ji'xi'leng'mian
鸡杂炒干巴菌,ji'za'chao'gan'ba'jun
鸡仔饼,ji'zai'bing
祭灶果,ji'zao'guo
鸡汁鞭打绣球,ji'zhi'bian'da'xiu'qiu
鸡汁锅贴,ji'zhi'guo'tie
鸡粥蒲菜,ji'zhou'pu'cai
麂子干巴,ji'zi'gan'ba
机粽,ji'zong
家常豆腐,jia'chang'dou'fu
贾家灌汤包,jia'jia'guan'tang'bao
加去,jia'qu
贾三,jia'san
贾三灌汤包,jia'san'guan'tang'bao
夹沙牛肉,jia'sha'niu'rou
夹沙荞糕,jia'sha'qiao'gao
夹沙养糕,jia'sha'yang'gao
家庭版,jia'ting'ban
家乡莲藕饼,jia'xiang'lian'ou'bing
加蟹小笼包,jia'xie'xiao'long'bao
嘉兴粽子,jia'xing'zong'zi
煎饼,jian'bing
煎饼果子,jian'bing'guo'zi
煎堆,jian'dui
煎灌肠,jian'guan'chang
建郡扁肉,jian'jun'bian'rou
煎焖子,jian'men'zi
煎酿三宝,jian'niang'san'bao
兼善,jian'shan
兼善餐厅,jian'shan'can'ting
碱水粑,jian'shui'ba
碱酥饼,jian'su'bing
煎碗坨,jian'wan'tuo
建新园,jian'xin'yuan
简阳羊肉汤,jian'yang'yang'rou'tang
煎芋饼,jian'yu'bing
煎紫米藕夹,jian'zi'mi'ou'jia
姜爆三丝,jiang'bao'san'si
江北熊鸭子,jiang'bei'xiong'ya'zi
酱炒鸡亦球,jiang'chao'ji'yi'qiu
姜葱鸡,jiang'cong'ji
姜葱蟹煲,jiang'cong'xie'bao
酱核桃,jiang'he'tao
江津米花糖,jiang'jin'mi'hua'tang
江口豆腐干,jiang'kou'dou'fu'gan
江陵八宝饭,jiang'ling'ba'bao'fan
酱萝卜头,jiang'luo'bo'tou
酱螺蛳,jiang'luo'si
江毛水饺,jiang'mao'shui'jiao
浆面条,jiang'mian'tiao
姜母鸭,jiang'mu'ya
姜奶,jiang'nai
酱肉丝,jiang'rou'si
浆水,jiang'shui
浆水面,jiang'shui'mian
姜丝拌汤,jiang'si'ban'tang
姜糖,jiang'tang
姜堰酥饼,jiang'yan'su'bing
酱玉瓜,jiang'yu'gua
姜汁赤贝,jiang'zhi'chi'bei
酱汁排骨,jiang'zhi'pai'gu
姜汁热味鸡,jiang'zhi're'wei'ji
酱汁瓦块鱼,jiang'zhi'wa'kuai'yu
酱汁鸭方,jiang'zhi'ya'fang
教场门饸饹,jiao'chang'men'he'le
搅醋丝,jiao'cu'si
酵粿,jiao'hua
叫化鸡,jiao'hua'ji
叫化童鸡,jiao'hua'tong'ji
叫化仔鸡,jiao'hua'zi'ji
藠头炒剁肉,jiao'tou'chao'duo'rou
搅团,jiao'tuan
椒盐馓子,jiao'yan'san'zi
椒盐桃片,jiao'yan'tao'pian
椒盐虾仁,jiao'yan'xia'ren
椒油扁豆,jiao'you'bian'dou
饺子粑,jiao'zi'ba
饺子宴,jiao'zi'yan
芥菜圆子,jie'cai'yuan'zi
芥末墩儿,jie'mo'dun'er
介休贯馅糖,jie'xiu'guan'xian'tang
金箔干蒸,jin'bo'gan'zheng
晋城炒凉粉,jin'cheng'chao'liang'fen
金耳,jin'er
锦芳,jin'fang
锦芳小吃店,jin'fang'xiao'chi'dian
金柑饼,jin'gan'bing
金柑桔饼,jin'gan'ju'bing
金刚脐,jin'gang'qi
金瓜芋泥,jin'gua'yu'ni
金华豆豉,jin'hua'dou'chi
金华干菜脆饼,jin'hua'gan'cai'cui'bing
金华干菜酥饼,jin'hua'gan'cai'su'bing
金华火腿,jin'hua'huo'tui
金华馒头,jin'hua'man'tou
金华酥饼,jin'hua'su'bing
金华兔头煲,jin'hua'tu'tou'bao
锦江烤鸭,jin'jiang'kao'ya
进京乳腐,jin'jing'ru'fu
金龙麻花,jin'long'ma'hua
津门什大酥,jin'men'shen'da'su
晋南酿菜,jin'nan'niang'cai
金牌猪手王,jin'pai'zhu'shou'wang
金钱饼,jin'qian'bing
金钱桔蜜饯,jin'qian'ju'mi'jian
金钱洋芋饼,jin'qian'yang'yu'bing
锦山牛肉干,jin'shan'niu'rou'gan
金丝蜜枣,jin'si'mi'zao
金丝玉兔,jin'si'yu'tu
金腿脊梅炖腰酥,jin'tui'ji'mei'dun'yao'su
津味嘎巴菜,jin'wei'ga'ba'cai
金线吊葫芦,jin'xian'diao'hu'lu
金线油塔,jin'xian'you'ta
金鱼饺,jin'yu'jiao
金鱼戏莲,jin'yu'xi'lian
锦州什锦小菜,jin'zhou'shi'jin'xiao'cai
京冬菜,jing'dong'cai
京东馅饼,jing'dong'xian'bing
井冈山烟笋烧肉,jing'gang'shan'yan'sun'shao'rou
景家麻花,jing'jia'ma'hua
靖江扒凤腿,jing'jiang'ba'feng'tui
京酱风肉,jing'jiang'feng'rou
靖江牛肉干,jing'jiang'niu'rou'gan
靖江牛肉脯,jing'jiang'niu'rou'pu
静宁烧鸡,jing'ning'shao'ji
荆沙鱼糕,jing'sha'yu'gao
景扬楼,jing'yang'lou
精莜面,jing'you'mian
精制番薯粥,jing'zhi'fan'shu'zhou
景芝金丝面,jing'zhi'jin'si'mian
韭菜馃,jiu'cai'guo
韭菜盒,jiu'cai'he
韭菜合子,jiu'cai'he'zi
九记路边鸡,jiu'ji'lu'bian'ji
九江煎堆,jiu'jiang'jian'dui
九龙斋,jiu'long'zhai
酒酿金腿,jiu'niang'jin'tui
酒酿棉子圆,jiu'niang'mian'zi'yuan
揪片,jiu'pian
酒肉,jiu'rou
酒香月饼,jiu'xiang'yue'bing
酒糟汤圆,jiu'zao'tang'yuan
九珠皮蛋,jiu'zhu'pi'dan
九转大肠,jiu'zhuan'da'chang
酒醉河田鸡,jiu'zui'he'tian'ji
橘瓣鱼圆,ju'ban'yu'yuan
桔饼,ju'bing
聚春园,ju'chun'yuan
聚丰德,ju'feng'de
聚丰德饭店,ju'feng'de'fan'dian
聚福楼,ju'fu'lou
聚福楼饮店,ju'fu'lou'yin'dian
桔红糕,ju'hong'gao
桔红蜜饯,ju'hong'mi'jian
菊花糕,ju'hua'gao
菊花火锅,ju'hua'huo'guo
菊花鲈鱼,ju'hua'lu'yu
菊花酿鱼肚,ju'hua'niang'yu'du
菊花烧卖,ju'hua'shao'mai
菊花酥,ju'hua'su
菊花鱼生,ju'hua'yu'sheng
聚三鲜,ju'san'xian
桔香蜂糕,ju'xiang'feng'gao
卷煎,juan'jian
卷筒粉,juan'tong'fen
咖啡店散布,ka'fei'dian'san'bu
咖哩牛肉,ka'li'niu'rou
卡赛,ka'sai
喀什馕坑肉,ka'shi'nang'keng'rou
开煲狗肉,kai'bao'gou'rou
开封套四宝,kai'feng'tao'si'bao
开水米花糖,kai'shui'mi'hua'tang
开洋葱油拌面,kai'yang'cong'you'ban'mian
开洋葱油面,kai'yang'cong'you'mian
开洋干丝,kai'yang'gan'si
开远甜蕌头,kai'yuan'tian'lei'tou
开远小卷粉,kai'yuan'xiao'juan'fen
康家脆哨面,kang'jia'cui'shao'mian
炕炕馍,kang'kang'mo
炕洋芋,kang'yang'yu
烤包子,kao'bao'zi
烤大虾,kao'da'xia
烤鸡皮,kao'ji'pi
烤冷面,kao'leng'mian
烤馕,kao'nang
烤牌子,kao'pai'zi
烤全羊,kao'quan'yang
烤羊方,kao'yang'fang
烤羊肉串,kao'yang'rou'chuan
烤羊腿,kao'yang'tui
烤鱼,kao'yu
克东腐乳,ke'dong'fu'ru
柯尔克孜族烤全羊,ke'er'ke'zi'zu'kao'quan'yang
客家茶果,ke'jia'cha'guo
客家封鸡,ke'jia'feng'ji
客家酿豆腐,ke'jia'niang'dou'fu
可可花生酥心糖,ke'ke'hua'sheng'su'xin'tang
蚵仔煎,ke'zai'jian
孔府地锅一绝,kong'fu'di'guo'yi'jue
孔府糕点,kong'fu'gao'dian
孔府烤花搅鲑鱼,kong'fu'kao'hua'jiao'gui'yu
孔雀开屏,kong'que'kai'ping
空心果,kong'xin'guo
口感盐煎肉,kou'gan'yan'jian'rou
口水鸡,kou'shui'ji
口味金牛蹄,kou'wei'jin'niu'ti
口味鳝片,kou'wei'shan'pian
口味蛇,kou'wei'she
库车汤面,ku'che'tang'mian
库尔勒香梨,ku'er'le'xiang'li
苦瓜酿肉,ku'gua'niang'rou
快乐鸡啼,kuai'le'ji'ti
奎元馆,kui'yuan'guan
奎元馆片儿川,kui'yuan'guan'pian'er'chuan
焜锅馍,kun'guo'mo
焜锅馍馍,kun'guo'mo'mo
捆蹄,kun'ti
腊八豆腐,la'ba'dou'fu
辣菜饼,la'cai'bing
拉肠,la'chang
辣豆瓣鱼,la'dou'ban'yu
辣椒干,la'jiao'gan
辣椒骨,la'jiao'gu
辣椒鱼,la'jiao'yu
腊肉,la'rou
拉萨生牛肉酱,la'sa'sheng'niu'rou'jiang
拉丝烙饼,la'si'lao'bing
辣汤,la'tang
拉条,la'tiao
拉条子,la'tiao'zi
辣味过江鸡,la'wei'guo'jiang'ji
腊味合蒸,la'wei'he'zheng
腊羊肉,la'yang'rou
辣鱼蛋,la'yu'dan
辣汁酱香肘,la'zhi'jiang'xiang'zhou
腊猪头,la'zhu'tou
辣子,la'zi
辣子炒薰肉,la'zi'chao'xun'rou
辣子鸡丁,la'zi'ji'ding
辣子牛肉,la'zi'niu'rou
辣子蒜羊血,la'zi'suan'yang'xue
辣子鱼块,la'zi'yu'kuai
赖汤圆,lai'tang'yuan
赖桃酥,lai'tao'su
揽饭,lan'fan
兰花大虾,lan'hua'da'xia
兰花根,lan'hua'gen
兰州烤羊肉,lan'zhou'kao'yang'rou
兰州牛肉面,lan'zhou'niu'rou'mian
兰州羊肉泡馍,lan'zhou'yang'rou'pao'mo
狼牙蜜,lang'ya'mi
老半斋,lao'ban'zhai
老边,lao'bian
老边饺子,lao'bian'jiao'zi
老鼎丰川酥月饼,lao'ding'feng'chuan'su'yue'bing
老鼎丰糕点,lao'ding'feng'gao'dian
老豆腐,lao'dou'fu
老都一处,lao'du'yi'chu
老都一处水饺,lao'du'yi'chu'shui'jiao
老二位麻酱烧饼,lao'er'wei'ma'jiang'shao'bing
烙糕,lao'gao
老槐树烧饼,lao'huai'shu'shao'bing
老火靓汤,lao'huo'liang'tang
老火汤,lao'huo'tang
老卤,lao'lu
老麻抄手,lao'ma'chao'shou
老妈宫粽球,lao'ma'gong'zong'qiu
老妈蹄花,lao'ma'ti'hua
老毛手抓,lao'mao'shou'zhua
老面大包,lao'mian'da'bao
老婆饼,lao'po'bing
老山记海城馅饼,lao'shan'ji'hai'cheng'xian'bing
老四川,lao'si'chuan
老汤黄狗猪头肉,lao'tang'huang'gou'zhu'tou'rou
老童家腊羊肉,lao'tong'jia'la'yang'rou
老徐炒糕粿,lao'xu'chao'gao'hua
老鸭煲,lao'ya'bao
老友粉,lao'you'fen
老友面,lao'you'mian
醪糟,lao'zao
醪糟鸡蛋,lao'zao'ji'dan
醪糟麻花,lao'zao'ma'hua
老正兴,lao'zheng'xing
老正兴菜馆,lao'zheng'xing'cai'guan
乐福园酒店,le'fu'yuan'jiu'dian
乐蟹,le'xie
擂茶,lei'cha
雷家豆腐元子,lei'jia'dou'fu'yuan'zi
雷家豆腐圆子,lei'jia'dou'fu'yuan'zi
擂沙圆,lei'sha'yuan
雷州狗肉煲,lei'zhou'gou'rou'bao
冷冻鸭掌,leng'dong'ya'zhang
冷粉,leng'fen
冷锅鱼,leng'guo'yu
冷面,leng'mian
蛎饼,li'bing
李大同双炊糕,li'da'tong'shuang'chui'gao
李圪抓,li'ge'zhua
藜蒿炒腊肉,li'hao'chao'la'rou
藜蒿腊肉,li'hao'la'rou
粒粒脆,li'li'cui
李连贵,li'lian'gui
李连贵熏肉大饼,li'lian'gui'xun'rou'da'bing
礼品蛋糕,li'pin'dan'gao
梨脯,li'pu
荔浦芋,li'pu'yu
里水霸王鸭,li'shui'ba'wang'ya
里水金丝虾,li'shui'jin'si'xia
梨丸,li'wan
李咸饼,li'xian'bing
鲤鱼焙面,li'yu'bei'mian
鲤鱼三吃,li'yu'san'chi
荔枝肉,li'zhi'rou
栗子糕,li'zi'gao
栗子鸡,li'zi'ji
栗子焖羊肉,li'zi'men'yang'rou
梨子蜜饯,li'zi'mi'jian
恋爱豆腐,lian'ai'dou'fu
恋爱豆腐果,lian'ai'dou'fu'guo
连城地瓜干,lian'cheng'di'gua'gan
连城番薯干,lian'cheng'fan'shu'gan
连理双味鱼,lian'li'shuang'wei'yu
莲藕糯米粥,lian'ou'nuo'mi'zhou
莲蓬鱼,lian'peng'yu
莲茸层层酥,lian'rong'ceng'ceng'su
莲蓉小鸡,lian'rong'xiao'ji
莲童牌冬瓜条,lian'tong'pai'dong'gua'tiao
莲香楼,lian'xiang'lou
莲子鸡丁,lian'zi'ji'ding
莲子血糯饭,lian'zi'xue'nuo'fan
凉拌粉丝,liang'ban'fen'si
凉拌鱼腥草,liang'ban'yu'xing'cao
凉拌折耳根,liang'ban'zhe'er'gen
凉糍耙,liang'ci'ba
凉糍粑,liang'ci'ba
凉糕,liang'gao
凉瓜排骨,liang'gua'pai'gu
凉鸡米线,liang'ji'mi'xian
凉面,liang'mian
凉皮,liang'pi
凉皮子,liang'pi'zi
凉豌豆粉,liang'wan'dou'fen
凉虾,liang'xia
两英番薯粥,liang'ying'fan'shu'zhou
梁英记裹蒸粽,liang'ying'ji'guo'zheng'zong
良友橄榄,liang'you'gan'lan
两张皮,liang'zhang'pi
聊城铁公鸡,liao'cheng'tie'gong'ji
蓼花,liao'hua
辽阳塔糖,liao'yang'ta'tang
列巴,lie'ba
临晋玉瓜,lin'jin'yu'gua
临朐全羊宴,lin'qu'quan'yang'yan
临潼火晶柿子,lin'tong'huo'jing'shi'zi
临潼石榴,lin'tong'shi'liu
临沂高桩馒头,lin'yi'gao'zhuang'man'tou
临沂糝,lin'yi'san
灵丘熏鸡,ling'qiu'xun'ji
灵山粗粉,ling'shan'cu'fen
陵水酸粉,ling'shui'suan'fen
灵芝恋玉蝉,ling'zhi'lian'yu'chan
灵芝糯团,ling'zhi'nuo'tuan
六必居酱园,liu'bi'ju'jiang'yuan
六凤居葱油饼,liu'feng'ju'cong'you'bing
溜锅板,liu'guo'ban
六角旋饼,liu'jiao'xuan'bing
榴莲酥,liu'lian'su
柳林腕脱,liu'lin'wan'tuo
柳林芝麻饼,liu'lin'zhi'ma'bing
流蜞蛋,liu'qi'dan
柳泉居,liu'quan'ju
六味斋酱肉,liu'wei'zhai'jiang'rou
六味斋酱猪肉,liu'wei'zhai'jiang'zhu'rou
六味斋熏鸡,liu'wei'zhai'xun'ji
浏阳茴饼,liu'yang'hui'bing
六月鲜,liu'yue'xian
柳州酸,liu'zhou'suan
柳州鸭下巴,liu'zhou'ya'xia'ba
龙抄手,long'chao'shou
龙抄手餐厅,long'chao'shou'can'ting
龙城狗肉,long'cheng'gou'rou
龙凤饼,long'feng'bing
龙凤炒饭,long'feng'chao'fan
龙凤腿,long'feng'tui
龙虎凤烩,long'hu'feng'hui
龙江海米蕨菜,long'jiang'hai'mi'jue'cai
龙井虾仁,long'jing'xia'ren
龙岭五炒粉,long'ling'wu'chao'fen
龙须面,long'xu'mian
龙须糖,long'xu'tang
龙须燕丸,long'xu'yan'wan
龙眼包子,long'yan'bao'zi
龙眼虾仁,long'yan'xia'ren
