矮毛蕨,ai'mao'jue
台湾杉属,tai'wan'shan'shu
桃花岛鳞毛蕨,tao'hua'dao'lin'mao'jue
藤石松,teng'shi'song
藤石松属,teng'shi'song'shu
蹄盖蕨科,ti'gai'jue'ke
蹄盖蕨属,ti'gai'jue'shu
天童复叶耳蕨,tian'tong'fu'ye'er'jue
天童假膜蕨,tian'tong'jia'mo'jue
天竺鳞毛蕨,tian'zhu'lin'mao'jue
条裂铁线蕨,tiao'lie'tie'xian'jue
铁角蕨,tie'jiao'jue
铁角蕨科,tie'jiao'jue'ke
铁角蕨属,tie'jiao'jue'shu
铁杉属,tie'shan'shu
铁树,tie'shu
铁线蕨,tie'xian'jue
铁线蕨科,tie'xian'jue'ke
铁线蕨属,tie'xian'jue'shu
同形鳞毛蕨,tong'xing'lin'mao'jue
秃杉,tu'shan
凸轴蕨属,tu'zhou'jue'shu
团扇蕨,tuan'shan'jue
团扇蕨属,tuan'shan'jue'shu
团叶鳞始蕨,tuan'ye'lin'shi'jue
椭圆瓦韦,tuo'yuan'wa'wei
瓦韦,wa'wei
瓦韦属,wa'wei'shu
碗蕨,wan'jue
碗蕨科,wan'jue'ke
碗蕨属,wan'jue'shu
皖南鳞盖蕨,wan'nan'lin'gai'jue
晚松,wan'song
尾尖凤丫蕨,wei'jian'feng'ya'jue
尾叶复叶耳蕨,wei'ye'fu'ye'er'jue
尾叶瘤足蕨,wei'ye'liu'zu'jue
尾叶膜蕨,wei'ye'mo'jue
尾叶稀子蕨,wei'ye'xi'zi'jue
问荆,wen'jing
问荆属,wen'jing'shu
温杉,wen'shan
无柄短肠蕨,wu'bing'duan'chang'jue
无齿贯众,wu'chi'guan'zhong
无齿镰羽贯众,wu'chi'lian'yu'guan'zhong
无盖耳蕨,wu'gai'er'jue
无盖鳞毛蕨,wu'gai'lin'mao'jue
蜈蚣草,wu'gong'cao
乌韭,wu'jiu
屋久假瘤蕨,wu'jiu'jia'liu'jue
乌蕨,wu'jue
乌蕨属,wu'jue'shu
无鳞毛枝蕨,wu'lin'mao'zhi'jue
乌毛蕨,wu'mao'jue
乌毛蕨科,wu'mao'jue'ke
乌毛蕨属,wu'mao'jue'shu
乌苏里瓦韦,wu'su'li'wa'wei
武夷瘤足蕨,wu'yi'liu'zu'jue
武夷山鳞毛蕨,wu'yi'shan'lin'mao'jue
武夷山凸轴蕨,wu'yi'shan'tu'zhou'jue
溪边凤尾蕨,xi'bian'feng'wei'jue
细柄书带蕨,xi'bing'shu'dai'jue
溪涧碗蕨,xi'jian'wan'jue
细裂复叶耳蕨,xi'lie'fu'ye'er'jue
细绿频,xi'lv'pin
细满江红,xi'man'jiang'hong
细毛卷柏,xi'mao'juan'bai
细毛碗蕨,xi'mao'wan'jue
细时卷柏,xi'shi'juan'bai
细叶花柏,xi'ye'hua'bai
稀羽鳞毛蕨,xi'yu'lin'mao'jue
稀子蕨科,xi'zi'jue'ke
稀子蕨属,xi'zi'jue'shu
狭翅鳞毛蕨,xia'chi'lin'mao'jue
狭翅铁角蕨,xia'chi'tie'jiao'jue
狭顶鳞毛蕨,xia'ding'lin'mao'jue
狭基钩毛蕨,xia'ji'gou'mao'jue
下弯铁线蕨,xia'wan'tie'xian'jue
狭叶海金沙,xia'ye'hai'jin'sha
狭叶金星蕨,xia'ye'jin'xing'jue
狭羽毛蕨,xia'yu'mao'jue
线柏,xian'bai
线蕨,xian'jue
线蕨属,xian'jue'shu
线裂铁角蕨,xian'lie'tie'jiao'jue
纤鳞耳蕨,xian'lin'er'jue
腺毛肿足蕨,xian'mao'zhong'zu'jue
仙霞铁线蕨,xian'xia'tie'xian'jue
线叶蕗蕨,xian'ye'lu'jue
线叶石韦,xian'ye'shi'wei
香榧,xiang'fei
相近鳞毛蕨,xiang'jin'lin'mao'jue
相异石韦,xiang'yi'shi'wei
小果蕗蕨,xiao'guo'lu'jue
小膜盖蕨属,xiao'mo'gai'jue'shu
小三叶耳蕨,xiao'san'ye'er'jue
小叶短肠蕨,xiao'ye'duan'chang'jue
小叶茯蕨,xiao'ye'fu'jue
小叶毛蕨,xiao'ye'mao'jue
小叶膜蕨,xiao'ye'mo'jue
小叶书带蕨,xiao'ye'shu'dai'jue
小叶铁角蕨,xiao'ye'tie'jiao'jue
斜方复叶耳蕨,xie'fang'fu'ye'er'jue
斜基贯众,xie'ji'guan'zhong
斜羽凤尾蕨,xie'yu'feng'wei'jue
斜羽假蹄盖蕨,xie'yu'jia'ti'gai'jue
新刺齿复叶耳蕨,xin'ci'chi'fu'ye'er'jue
新月蕨属,xin'yue'jue'shu
星蕨属,xing'jue'shu
星毛紫柄蕨,xing'mao'zi'bing'jue
修株蹄盖蕨,xiu'zhu'ti'gai'jue
血榧,xue'fei
雪松,xue'song
雪松属,xue'song'shu
崖柏属,ya'bai'shu
鸭脚,ya'jiao
雅致针毛蕨,ya'zhi'zhen'mao'jue
雁荡鳞毛蕨,yan'dang'lin'mao'jue
雁荡马尾杉,yan'dang'ma'wei'shan
雁荡毛蕨,yan'dang'mao'jue
岩凤尾蕨,yan'feng'wei'jue
岩蕨科,yan'jue'ke
岩蕨属,yan'jue'shu
燕尾蕨,yan'wei'jue
燕尾蕨科,yan'wei'jue'ke
燕尾蕨属,yan'wei'jue'shu
岩穴蕨,yan'xue'jue
岩穴蕨属,yan'xue'jue'shu
延羽卵果蕨,yan'yu'luan'guo'jue
兖州卷柏,yan'zhou'juan'bai
洋松,yang'song
野杉,ye'shan
椰树,ye'shu
野雉尾,ye'zhi'wei
野雉尾金粉蕨,ye'zhi'wei'jin'fen'jue
异盖鳞毛蕨,yi'gai'lin'mao'jue
异穗卷柏,yi'sui'juan'bai
宜兴复叶耳蕨,yi'xing'fu'ye'er'jue
阴地蕨,yin'di'jue
阴地蕨科,yin'di'jue'ke
阴地蕨属,yin'di'jue'shu
印度铁角蕨,yin'du'tie'jiao'jue
银粉背蕨,yin'fen'bei'jue
阴石蕨,yin'shi'jue
阴石蕨属,yin'shi'jue'shu
银杏,yin'xing
银杏科,yin'xing'ke
银杏属,yin'xing'shu
璎珞柏,ying'luo'bai
有柄石韦,you'bing'shi'wei
有鳞短肠蕨,you'lin'duan'chang'jue
优美凤丫蕨,you'mei'feng'ya'jue
油杉属,you'shan'shu
友水龙骨,you'shui'long'gu
羽节蕨属,yu'jie'jue'shu
羽裂圣蕨,yu'lie'sheng'jue
羽裂蹄盖蕨,yu'lie'ti'gai'jue
鱼鳞蕨,yu'lin'jue
鱼鳞蕨属,yu'lin'jue'shu
羽叶花柏,yu'ye'hua'bai
圆柏,yuan'bai
圆柏属,yuan'bai'shu
圆榧,yuan'fei
圆盖阴石蕨,yuan'gai'yin'shi'jue
圆片蹄盖蕨,yuan'pian'ti'gai'jue
远羽鳞毛蕨,yuan'yu'lin'mao'jue
远轴鳞毛蕨,yuan'zhou'lin'mao'jue
越北毛蕨,yue'bei'mao'jue
乐清毛蕨,yue'qing'mao'jue
粤瓦韦,yue'wa'wei
月芽铁线蕨,yue'ya'tie'xian'jue
云南油杉,yun'nan'you'shan
云片柏,yun'pian'bai
云栖复叶耳蕨,yun'qi'fu'ye'er'jue
云杉,yun'shan
云杉属,yun'shan'shu
长根金星蕨,zhang'gen'jin'xing'jue
掌裂假瘤蕨,zhang'lie'jia'liu'jue
张氏鳞毛蕨,zhang'shi'lin'mao'jue
长叶榧,zhang'ye'fei
长叶柳杉,zhang'ye'liu'shan
长叶松,zhang'ye'song
长叶蹄盖蕨,zhang'ye'ti'gai'jue
沼松,zhao'song
沼泽蕨属,zhao'ze'jue'shu
浙江肋毛蕨,zhe'jiang'lei'mao'jue
浙江瘤足蕨,zhe'jiang'liu'zu'jue
浙江铁杉,zhe'jiang'tie'shan
浙南卷柏,zhe'nan'juan'bai
浙南鳞毛蕨,zhe'nan'lin'mao'jue
浙皖黄杉,zhe'wan'huang'shan
针毛蕨属,zhen'mao'jue'shu
正杉,zheng'shan
中国蕨科,zhong'guo'jue'ke
中华短肠蕨,zhong'hua'duan'chang'jue
中华凤尾蕨,zhong'hua'feng'wei'jue
中华复叶耳蕨,zhong'hua'fu'ye'er'jue
中华剑蕨,zhong'hua'jian'jue
中华金星蕨,zhong'hua'jin'xing'jue
中华里白,zhong'hua'li'bai
中华鳞盖蕨,zhong'hua'lin'gai'jue
中华鳞毛蕨,zhong'hua'lin'mao'jue
中华水韭,zhong'hua'shui'jiu
中华狭顶鳞毛蕨,zhong'hua'xia'ding'lin'mao'jue
中间茯蕨,zhong'jian'fu'jue
中间骨牌蕨,zhong'jian'gu'pai'jue
中间蹄盖蕨,zhong'jian'ti'gai'jue
中日金星蕨,zhong'ri'jin'xing'jue
中山柏,zhong'shan'bai
肿足蕨,zhong'zu'jue
肿足蕨科,zhong'zu'jue'ke
肿足蕨属,zhong'zu'jue'shu
轴果蕨,zhou'guo'jue
轴果蕨属,zhou'guo'jue'shu
轴鳞鳞毛蕨,zhou'lin'lin'mao'jue
轴脉蕨属,zhou'mai'jue'shu
竹柏,zhu'bai
竹柏属,zhu'bai'shu
柱冠罗汉松,zhu'guan'luo'han'song
紫柄凤丫蕨,zi'bing'feng'ya'jue
紫柄蕨,zi'bing'jue
紫柄蕨属,zi'bing'jue'shu
紫萁,zi'qi
紫萁科,zi'qi'ke
紫萁属,zi'qi'shu
紫藻,zi'zao
棕鳞耳蕨,zong'lin'er'jue
