阿巴泰,a'ba'tai
徐步云,xu'bu'yun
徐广缙,xu'guang'jin
徐朗,xu'lang
许乃钊,xu'nai'zhao
徐世昌,xu'shi'chang
徐骧,xu'xiang
徐有壬,xu'you'ren
徐元梦,xu'yuan'meng
许宗扬,xu'zong'yang
玄烨,xuan'ye
薛焕,xue'huan
雅尔哈齐,ya'er'ha'qi
雅尔哈善,ya'er'ha'shan
雅满泰,ya'man'tai
颜伯焘,yan'bo'tao
阎得胜,yan'de'sheng
晏端书,yan'duan'shu
阎敬铭,yan'jing'ming
阎鸣泰,yan'ming'tai
严树森,yan'shu'sen
杨昌濬,yang'chang'jun
杨鼎勋,yang'ding'xun
杨芳,yang'fang
杨辅清,yang'fu'qing
杨镐,yang'gao
杨捷,yang'jie
扬威,yang'wei
杨文定,yang'wen'ding
杨文魁,yang'wen'kui
杨熙,yang'xi
杨秀清,yang'xiu'qing
杨宜清,yang'yi'qing
杨应琚,yang'ying'ju
杨用霖,yang'yong'lin
杨载福,yang'zai'fu
姚怀祥,yao'huai'xiang
姚启圣,yao'qi'sheng
野津道贯,ye'jin'dao'guan
叶名琛,ye'ming'chen
叶志超,ye'zhi'chao
叶祖珪,ye'zu'gui
奕誴,yi'cong
伊东祐亨,yi'dong'you'heng
奕詥,yi'he
奕譓,yi'hui
奕经,yi'jing
毅军,yi'jun
依克唐阿,yi'ke'tang'a
奕劻,yi'kuang
伊里布,yi'li'bu
怡良,yi'liang
奕詝,yi'nuo
奕山,yi'shan
奕玮,yi'wei
意希嘉措,yi'xi'jia'cuo
奕訢,yi'xin
奕譞,yi'xuan
椅子山炮台,yi'zi'shan'pao'tai
尹德,yin'de
胤祜,yin'hu
尹继善,yin'ji'shan
胤礼,yin'li
胤禄,yin'lu
胤祕,yin'mi
胤祁,yin'qi
胤祺,yin'qi
胤礽,yin'reng
胤禩,yin'si
胤禟,yin'tang
胤祹,yin'tao
胤禑,yin'wu
胤禧,yin'xi
胤祥,yin'xiang
胤祎,yin'yi
胤祐,yin'you
胤禛,yin'zhen
胤祉,yin'zhi
胤禔,yin'zhi
胤禵,yin'zhi
尹壮图,yin'zhuang'tu
胤禌,yin'zi
胤祚,yin'zuo
永珹,yong'cheng
永琮,yong'cong
永福,yong'fu
永干,yong'gan
永贵,yong'gui
永璜,yong'huang
永璟,yong'jing
永琏,yong'lian
永璘,yong'lin
永璐,yong'lu
永琪,yong'qi
永璂,yong'qi
永瑢,yong'rong
永瑆,yong'xing
永璇,yong'xuan
颙琰,yong'yan
永璋,yong'zhang
雍正,yong'zheng
尤世功,you'shi'gong
玉保,yu'bao
余步云,yu'bu'yun
于成龙,yu'cheng'long
余国柱,yu'guo'zhu
于敏中,yu'min'zhong
裕谦,yu'qian
于易简,yu'yi'jian
袁崇焕,yuan'chong'huan
袁世凯,yuan'shi'kai
袁守侗,yuan'shou'dong
袁应泰,yuan'ying'tai
岳乐,yue'le
岳钟琪,yue'zhong'qi
载淳,zai'chun
载沣,zai'feng
载涛,zai'tao
载洵,zai'xun
载漪,zai'yi
皂埠嘴炮台,zao'bu'zui'pao'tai
泽旺,ze'wang
曾国藩,zeng'guo'fan
曾国华,zeng'guo'hua
曾国荃,zeng'guo'quan
扎尔鼐,zha'er'nai
扎拉丰阿,zha'la'feng'a
扎萨克图,zha'sa'ke'tu
札萨克图汗,zha'sa'ke'tu'han
斋赛,zhai'sai
彰宝,zhang'bao
张伯伦,zhang'bo'lun
张潮爵,zhang'chao'jue
张承胤,zhang'cheng'yin
张芾,zhang'fu
章高元,zhang'gao'yuan
张光前,zhang'guang'qian
张广泗,zhang'guang'si
张国柱,zhang'guo'zhu
张鹤鸣,zhang'he'ming
张乐行,zhang'le'xing
张亮基,zhang'liang'ji
张鹏翮,zhang'peng'he
张铨,zhang'quan
张人骏,zhang'ren'jun
张若霭,zhang'ruo'ai
张诗日,zhang'shi'ri
张树珊,zhang'shu'shan
张树声,zhang'shu'sheng
张遂谋,zhang'sui'mou
章泰,zhang'tai
张廷璐,zhang'ting'lu
张廷玉,zhang'ting'yu
张廷瓒,zhang'ting'zan
张文宣,zhang'wen'xuan
张曜,zhang'yao
张荫恒,zhang'yin'heng
