阿味,a'wei
雪莲花,xue'lian'hua
血燕盏,xue'yan'zhan
血余炭,xue'yu'tan
寻骨风,xun'gu'feng
熏衣草,xun'yi'cao
鸭蛋子,ya'dan'zi
鸭脚木,ya'jiao'mu
亚麻子胡麻子,ya'ma'zi'hu'ma'zi
鸭跖草,ya'zhi'cao
盐车前子,yan'che'qian'zi
盐川黄柏,yan'chuan'huang'bai
盐杜仲,yan'du'zhong
盐关黄柏,yan'guan'huang'bai
盐黄柏,yan'huang'bai
盐桔核,yan'ju'he
盐菟丝子,yan'tu'si'zi
盐小茴香,yan'xiao'hui'xiang
盐泽泻片,yan'ze'xie'pian
阳起石,yang'qi'shi
阳起石煅,yang'qi'shi'duan
夜交藤,ye'jiao'teng
野菊花,ye'ju'hua
野马追,ye'ma'zhui
野生薄树灵芝,ye'sheng'bo'shu'ling'zhi
野生灵芝超细粉,ye'sheng'ling'zhi'chao'xi'fen
野生桑黄,ye'sheng'sang'huang
野生无柄赤芝,ye'sheng'wu'bing'chi'zhi
野生紫芝,ye'sheng'zi'zhi
益母草,yi'mu'cao
薏苡仁,yi'yi'ren
薏苡仁粉,yi'yi'ren'fen
益智仁,yi'zhi'ren
益智仁盐,yi'zhi'ren'yan
银柴胡,yin'chai'hu
茵陈,yin'chen
银耳,yin'er
银花润茶,yin'hua'run'cha
阴起石,yin'qi'shi
印象中国,yin'xiang'zhong'guo
银杏叶,yin'xing'ye
淫羊藿,yin'yang'huo
淫羊藿炙,yin'yang'huo'zhi
永盛合阿胶,yong'sheng'he'e'jiao
鱼膘,yu'biao
禹川漏芦,yu'chuan'lou'lu
玉蝴蝶,yu'hu'die
郁金,yu'jin
玉兰,yu'lan
郁李仁,yu'li'ren
禹粮石,yu'liang'shi
玉米须,yu'mi'xu
鱼脑石,yu'nao'shi
鱼肉料,yu'rou'liao
鱼腥草,yu'xing'cao
御苑清啜,yu'yuan'qing'chuo
玉竹,yu'zhu
元明粉,yuan'ming'fen
原枝鹿茸片,yuan'zhi'lu'rong'pian
远志炭,yuan'zhi'tan
月季花,yue'ji'hua
云苔子,yun'tai'zi
云芝,yun'zhi
皂角,zao'jiao
皂角刺,zao'jiao'ci
皂角子,zao'jiao'zi
泽兰,ze'lan
泽泻,ze'xie
樟丹,zhang'dan
蟑螂虫,zhang'lang'chong
浙贝母,zhe'bei'mu
赭石,zhe'shi
珍珠粉,zhen'zhu'fen
珍珠母,zhen'zhu'mu
炙鳖甲,zhi'bie'jia
炙草乌,zhi'cao'wu
炙川乌,zhi'chuan'wu
炙刺猬皮,zhi'ci'wei'pi
炙甘草,zhi'gan'cao
炙甘遂,zhi'gan'sui
炙龟板,zhi'gui'ban
炙龟甲,zhi'gui'jia
制何首乌粉,zhi'he'shou'wu'fen
炙黄芪,zhi'huang'qi
枳椇子,zhi'ju'zi
枳壳,zhi'ke
炙麻黄,zhi'ma'huang
炙没药,zhi'mei'yao
炙乳香,zhi'ru'xiang
炙水蛭,zhi'shui'zhi
炙天南星,zhi'tian'nan'xing
炙土鳖虫,zhi'tu'bie'chong
炙乌蛇,zhi'wu'she
炙远志,zhi'yuan'zhi
中国结礼盒二,zhong'guo'jie'li'he'er
中国结礼盒一,zhong'guo'jie'li'he'yi
中海马,zhong'hai'ma
肿节风,zhong'jie'feng
钟乳石,zhong'ru'shi
猪苓,zhu'ling
苎麻根,zhu'ma'gen
猪肉料,zhu'rou'liao
竹茹,zhu'ru
朱砂,zhu'sha
朱砂粉,zhu'sha'fen
猪牙皂,zhu'ya'zao
猪怏怏,zhu'yang'yang
竹叶青,zhu'ye'qing
壮阳果,zhuang'yang'guo
追地枫,zhui'di'feng
追风草,zhui'feng'cao
紫贝齿,zi'bei'chi
紫参石见穿,zi'can'shi'jian'chuan
紫草,zi'cao
紫地丁,zi'di'ding
紫砜砂,zi'feng'sha
紫河车,zi'he'che
紫河车粉,zi'he'che'fen
紫河车粉不带血,zi'he'che'fen'bu'dai'xue
紫河车粉带血,zi'he'che'fen'dai'xue
紫花地丁,zi'hua'di'ding
紫荆皮,zi'jing'pi
紫硇砂,zi'nao'sha
自然铜,zi'ran'tong
紫石英,zi'shi'ying
紫苏叶,zi'su'ye
紫檀,zi'tan
紫霄花,zi'xiao'hua
紫苑,zi'yuan
紫珠叶,zi'zhu'ye
棕梠炭,zong'lv'tan
棕炭,zong'tan
总统牌西洋参片,zong'tong'pai'xi'yang'shen'pian
