爱士卒,ai'shi'zu
今为妻妾之奉为之,jin'wei'qi'qie'zhi'feng'wei'zhi
今为所识穷乏者得我而为之,jin'wei'suo'shi'qiong'fa'zhe'de'wo'er'wei'zhi
今我何功德,jin'wo'he'gong'de
今吾以十倍之地,jin'wu'yi'shi'bei'zhi'di
今夕是何年,jin'xi'shi'he'nian
今夜偏知春气暖,jin'ye'pian'zhi'chun'qi'nuan
今有人于此,jin'you'ren'yu'ci
今在骨髓,jin'zai'gu'sui
今诸生学于太学,jin'zhu'sheng'xue'yu'tai'xue
今子欲以子之梁国,jin'zi'yu'yi'zi'zhi'liang'guo
金樽清酒斗十千,jin'zun'qing'jiu'dou'shi'qian
荆国有余于地,jing'guo'you'yu'yu'di
晶晶然如镜之新开而冷光乍出于匣也,jing'jing'ran'ru'jing'zhi'xin'kai'er'leng'guang'zha'chu'yu'xia'ye
经纶世务者,jing'lun'shi'wu'zhe
敬受命,jing'shou'ming
静影沉璧,jing'ying'chen'bi
荆有长松文梓楩枬豫章,jing'you'chang'song'wen'zi'pian'zhan'yu'zhang
荆有云梦,jing'you'yun'meng
荆之地,jing'zhi'di
荆州北据汉沔,jing'zhou'bei'ju'han'mian
久而乃和,jiu'er'nai'he
酒酣胸胆尚开张,jiu'han'xiong'dan'shang'kai'zhang
酒困路长惟欲睡,jiu'kun'lu'chang'wei'yu'shui
举杯邀明月,ju'bei'yao'ming'yue
局促一室之内,ju'cu'yi'shi'zhi'nei
举大计亦死,ju'da'ji'yi'si
居庙堂之高则忧其民,ju'miao'tang'zhi'gao'ze'you'qi'min
居十日,ju'shi'ri
俱为一体,ju'wei'yi'ti
居五日,ju'wu'ri
娟然如拭,juan'ran'ru'shi
卷石底以出,juan'shi'di'yi'chu
卷我屋上三重茅,juan'wo'wu'shang'san'chong'mao
君谓计将安出,jun'wei'ji'jiang'an'chu
君有疾在腠理,jun'you'ji'zai'cou'li
君与俱来,jun'yu'ju'lai
君之病在肠胃,jun'zhi'bing'zai'chang'wei
君之病在肌肤,jun'zhi'bing'zai'ji'fu
看孙郎,kan'sun'lang
可计日而待也,ke'ji'ri'er'dai'ye
可怜白发生,ke'lian'bai'fa'sheng
刻唐贤今人诗赋于其上,ke'tang'xian'jin'ren'shi'fu'yu'qi'shang
课外古诗词,ke'wai'gu'shi'ci
课外古诗词背诵,ke'wai'gu'shi'ci'bei'song
客行悲故乡,ke'xing'bei'gu'xiang
客至鸡斗争,ke'zhi'ji'dou'zheng
空乏其身,kong'fa'qi'shen
恐托付不效,kong'tuo'fu'bu'xiao
跨州连郡者不可胜数,kua'zhou'lian'jun'zhe'bu'ke'sheng'shu
窥欲忘反,kui'yu'wang'fan
困于心,kun'yu'xin
览物之情,lan'wu'zhi'qing
琅琊也,lang'ya'ye
老夫聊发少年狂,lao'fu'liao'fa'shao'nian'kuang
劳其筋骨,lao'qi'jin'gu
罍而歌者,lei'er'ge'zhe
李白,li'bai
力不足,li'bu'zu
隶而从者,li'er'cong'zhe
梨花落后清明,li'hua'luo'hou'qing'ming
力尽不知热,li'jin'bu'zhi're
利尽南海,li'jin'nan'hai
吏禄三百石,li'lu'san'bai'shi
李清照,li'qing'zhao
立有间,li'you'jian
礼愈至,li'yu'zhi
帘卷西风,lian'juan'xi'feng
连月不开,lian'yue'bu'kai
亮答曰,liang'da'yue
亮躬耕陇亩,liang'gong'geng'long'mu
了却君王天下事,liao'que'jun'wang'tian'xia'shi
临表涕零,lin'biao'ti'ling
林壑尤美,lin'he'you'mei
鳞浪层层,lin'lang'ceng'ceng
临溪而渔,lin'xi'er'yu
邻有敝舆而欲窃之,lin'you'bi'yu'er'yu'qie'zhi
邻有短褐,lin'you'duan'he
邻有穅糟,lin'you'kang'zao
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
泠泠作响,ling'ling'zuo'xiang
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
令辱之,ling'ru'zhi
流辈甚称其贤,liu'bei'shen'cheng'qi'xian
刘方平,liu'fang'ping
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
柳条将舒未舒,liu'tiao'jiang'shu'wei'shu
流血千里,liu'xue'qian'li
流血五步,liu'xue'wu'bu
刘禹锡,liu'yu'xi
刘璋暗弱,liu'zhang'an'ruo
柳宗元,liu'zong'yuan
隆中对,long'zhong'dui
录毕,lu'bi
庐陵欧阳修也,lu'ling'ou'yang'xiu'ye
陆游,lu'you
略无慕艳意,lue'wu'mu'yan'yi
轮台东门送君去,lun'tai'dong'men'song'jun'qu
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
马说,ma'shuo
马之千里者,ma'zhi'qian'li'zhe
马作的卢飞快,ma'zuo'de'lu'fei'kuai
麦田浅鬣寸许,mai'tian'qian'lie'cun'xu
满井游记,man'jing'you'ji
满目萧然,man'mu'xiao'ran
满眼风光北固楼,man'yan'feng'guang'bei'gu'lou
茅飞渡江洒江郊,mao'fei'du'jiang'sa'jiang'jiao
茅屋为秋风所破歌,mao'wu'wei'qiu'feng'suo'po'ge
毛羽鳞鬣之间,mao'yu'lin'lie'zhi'jian
每假借于藏书之家,mei'jia'jie'yu'cang'shu'zhi'jia
每冒风驰行,mei'mao'feng'chi'xing
每有会意,mei'you'hui'yi
每与臣论此事,mei'yu'chen'lun'ci'shi
每自比于管仲乐毅,mei'zi'bi'yu'guan'zhong'yue'yi
门人弟子填其室,men'ren'di'zi'tian'qi'shi
梦回吹角连营,meng'hui'chui'jiao'lian'ying
猛浪若奔,meng'lang'ruo'ben
蒙络摇缀,meng'luo'yao'zhui
孟子两章,meng'zi'liang'zhang
米粟非不多也,mi'su'fei'bu'duo'ye
民殷国富而不知存恤,min'yin'guo'fu'er'bu'zhi'cun'xu
明灭可见,ming'mie'ke'jian
鸣声上下,ming'sheng'shang'xia
明月几时有,ming'yue'ji'shi'you
鸣之而不能通其意,ming'zhi'er'bu'neng'tong'qi'yi
名之者谁,ming'zhi'zhe'shui
莫辞酒味薄,mo'ci'jiu'wei'bao
莫道不消魂,mo'dao'bu'xiao'hun
墨子曰然,mo'zi'yue'ran
暮而归,mu'er'gui
乃重修岳阳楼,nai'chong'xiu'yue'yang'lou
乃丹书帛曰,nai'dan'shu'bo'yue
乃记之而去,nai'ji'zhi'er'qu
乃见,nai'jian
乃可攻也,nai'ke'gong'ye
乃令符离人葛婴将兵徇蕲以东,nai'ling'fu'li'ren'ge'ying'jiang'bing'xun'qi'yi'dong
乃入据陈,nai'ru'ju'chen
乃行卜,nai'xing'bu
乃诈称公子扶苏项燕,nai'zha'cheng'gong'zi'fu'su'xiang'yan
南村群童欺我老无力,nan'cun'qun'tong'qi'wo'lao'wu'li
南方有鸟,nan'fang'you'niao
南抚夷越,nan'fu'yi'yue
南极潇湘,nan'ji'xiao'xiang
南乡子登京口北固亭有怀,nan'xiang'zi'deng'jing'kou'bei'gu'ting'you'huai
内修政理天下有变,nei'xiu'zheng'li'tian'xia'you'bian
念此私自愧,nian'ci'si'zi'kui
廿二日,nian'er'ri
念鬼,nian'gui
年少万兜鍪,nian'shao'wan'dou'mou
酿泉为酒,niang'quan'wei'jiu
酿泉也,niang'quan'ye
聂政之刺韩傀也,nie'zheng'zhi'ci'han'kui'ye
牛衣古柳卖黄瓜,niu'yi'gu'liu'mai'huang'gua
努力加餐饭,nu'li'jia'can'fan
诺,nuo
欧阳修,ou'yang'xiu
骈死于槽枥之间不以千里称也,pian'si'yu'cao'li'zhi'jian'bu'yi'qian'li'cheng'ye
颇示己志,po'shi'ji'zhi
破阵子,po'zhen'zi
破阵子醉里挑灯看剑,po'zhen'zi'zui'li'tiao'deng'kan'jian
其岸势犬牙差互,qi'an'shi'quan'ya'cha'hu
其必曰,qi'bi'yue
其将归见其亲也,qi'jiang'gui'jian'qi'qin'ye
弃捐勿复道,qi'juan'wu'fu'dao
七里之郭,qi'li'zhi'guo
其名为鹓雏,qi'ming'wei'yuan'chu
骑千余,qi'qian'yu
妻妾之奉,qi'qie'zhi'feng
乞人不屑也,qi'ren'bu'xie'ye
奇山异水,qi'shan'yi'shui
凄神寒骨,qi'shen'han'gu
岂他人之过哉,qi'ta'ren'zhi'guo'zai
起舞弄清影,qi'wu'nong'qing'ying
其西南诸峰,qi'xi'nan'zhu'feng
蕲下,qi'xia
气象万千,qi'xiang'wan'qian
其言兹若人之俦乎,qi'yan'zi'ruo'ren'zhi'chou'hu
其业有不精,qi'ye'you'bu'jing
起于齐,qi'yu'qi
期在必醉,qi'zai'bi'zui
其真不知马也,qi'zhen'bu'zhi'ma'ye
其真无马耶,qi'zhen'wu'ma'ye
岂直五百里哉,qi'zhi'wu'bai'li'zai
千百成峰,qian'bai'cheng'feng
千古兴亡多少事,qian'gu'xing'wang'duo'shao'shi
迁客骚人,qian'ke'sao'ren
千里共婵娟,qian'li'gong'chan'juan
千里马常有,qian'li'ma'chang'you
黔娄之妻有言,qian'lou'zhi'qi'you'yan
千骑卷平冈,qian'qi'juan'ping'gang
前人之述备矣,qian'ren'zhi'shu'bei'yi
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
千丈见底,qian'zhang'jian'di
千嶂里,qian'zhang'li
前者呼,qian'zhe'hu
羌村三首,qiang'cun'san'shou
羌村三首之三,qiang'cun'san'shou'zhi'san
羌管悠悠霜满地,qiang'guan'you'you'shuang'man'di
樯倾楫摧,qiang'qing'ji'cui
悄怆幽邃,qiao'chuang'you'sui
敲门试问野人家,qiao'men'shi'wen'ye'ren'jia
巧笑东邻女伴,qiao'xiao'dong'lin'nv'ban
且秦灭韩亡魏,qie'qin'mie'han'wang'wei
且欲与常马等不可得安求其能千里也,qie'yu'yu'chang'ma'deng'bu'ke'de'an'qiu'qi'neng'qian'li'ye
且壮士不死即已,qie'zhuang'shi'bu'si'ji'yi
亲旧知其如此,qin'jiu'zhi'qi'ru'ci
亲戚畔之,qin'qi'pan'zhi
亲射虎,qin'she'hu
秦王不说,qin'wang'bu'shuo
秦王佛然怒,qin'wang'fo'ran'nu
秦王色挠,qin'wang'se'nao
秦王使人谓安陵君曰,qin'wang'shi'ren'wei'an'ling'jun'yue
秦王谓唐雎曰,qin'wang'wei'tang'ju'yue
秦王曰,qin'wang'yue
亲贤臣,qin'xian'chen
亲小人,qin'xiao'ren
清澈见底,qing'che'jian'di
轻寡人与唐雎对曰,qing'gua'ren'yu'tang'ju'dui'yue
请广于君,qing'guang'yu'jun
倾榼浊复清,qing'ke'zhuo'fu'qing
庆历四年春,qing'li'si'nian'chun
青树翠蔓,qing'shu'cui'man
请说之,qing'shuo'zhi
请为父老歌,qing'wei'fu'lao'ge
请献十金,qing'xian'shi'jin
请循其本,qing'xun'qi'ben
穷冬烈风,qiong'dong'lie'feng
求而不得者也,qiu'er'bu'de'zhe'ye
秋天漠漠向昏黑,qiu'tian'mo'mo'xiang'hun'hei
驱鸡上树木,qu'ji'shang'shu'mu
去时雪满天山路,qu'shi'xue'man'tian'shan'lu
泉而茗者,quan'er'ming'zhe
全石以为底,quan'shi'yi'wei'di
泉水激石,quan'shui'ji'shi
泉香而酒冽,quan'xiang'er'jiu'lie
群鸡正乱叫,qun'ji'zheng'luan'jiao
然操遂能克绍,ran'cao'sui'neng'ke'shao
然臣之弟子禽滑厘等三百人,ran'chen'zhi'di'zi'qin'hua'li'deng'san'bai'ren
然而不胜者,ran'er'bu'sheng'zhe
然而禽鸟知山林之乐,ran'er'qin'niao'zhi'shan'lin'zhi'le
然后能改,ran'hou'neng'gai
然后施行,ran'hou'shi'xing
然后有千里马,ran'hou'you'qian'li'ma
然后知生于忧患,ran'hou'zhi'sheng'yu'you'huan
然侍卫之臣不懈于内,ran'shi'wei'zhi'chen'bu'xie'yu'nei
然徒步则汗出浃背,ran'tu'bu'ze'han'chu'jia'bei
然则北通巫峡,ran'ze'bei'tong'wu'xia
然则何时而乐耶,ran'ze'he'shi'er'le'ye
然志犹未已,ran'zhi'you'wei'yi
然足下卜之鬼乎,ran'zu'xia'bo'zhi'gui'hu
攘除奸凶,rang'chu'jian'xiong
人比黄花瘦,ren'bi'huang'hua'shou
人不寐,ren'bu'mei
人恒过,ren'heng'guo
人迹板桥霜,ren'ji'ban'qiao'shuang
人皆有之,ren'jie'you'zhi
忍能对面为盗贼,ren'neng'dui'mian'wei'dao'zei
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
任意东西,ren'yi'dong'xi
人影散乱,ren'ying'san'luan
人有悲欢离合,ren'you'bei'huan'li'he
人知从太守游而乐,ren'zhi'cong'tai'shou'you'er'le
日长飞絮轻,ri'chang'fei'xu'qing
日高人渴漫思茶,ri'gao'ren'ke'man'si'cha
日光下彻,ri'guang'xia'che
日晚倦梳头,ri'wan'juan'shu'tou
日星隐耀,ri'xing'yin'yao
日再食,ri'zai'shi
柔梢披风,rou'shao'pi'feng
汝安知鱼乐云者,ru'an'zhi'yu'le'yun'zhe
如鸣佩环,ru'ming'pei'huan
如倩女之靧面而髻鬟之始掠也,ru'qian'nv'zhi'hui'mian'er'ji'huan'zhi'shi'lue'ye
如使人之所欲莫甚于生,ru'shi'ren'zhi'suo'yu'mo'shen'yu'sheng
入则无法家拂士,ru'ze'wu'fa'jia'bi'shi
瑞脑消金兽,rui'nao'xiao'jin'shou
若夫日出而林霏开,ruo'fu'ri'chu'er'lin'fei'kai
若夫霪雨霏霏,ruo'fu'yin'yu'fei'fei
若跨有荆益,ruo'kua'you'jing'yi
若士必怒,ruo'shi'bi'nu
若脱笼之鹄,ruo'tuo'long'zhi'hu
若为佣耕,ruo'wei'yong'geng
若无兴德之言,ruo'wu'xing'de'zhi'yan
若有作奸犯科及为忠善者,ruo'you'zuo'jian'fan'ke'ji'wei'zhong'shan'zhe
塞下秋来风景异,sai'xia'qiu'lai'feng'jing'yi
三顾臣于草庐之中,san'gu'chen'yu'cao'lu'zhi'zhong
三老豪杰皆曰,san'lao'hao'jie'jie'yue
三里之城,san'li'zhi'cheng
三日三夜,san'ri'san'ye
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
色愈恭,se'yu'gong
沙场点秋兵,sha'chang'dian'qiu'bing
杀臣,sha'chen
沙鸥翔集,sha'ou'xiang'ji
杀所不足,sha'suo'bu'zu
杀之以应陈涉,sha'zhi'yi'ying'chen'she
善,shan
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山河破碎风飘絮,shan'he'po'sui'feng'piao'xu
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山间之四时也,shan'jian'zhi'si'shi'ye
山间之朝暮也,shan'jian'zhi'zhao'mu'ye
山峦为晴雪所洗,shan'luan'wei'qing'xue'suo'xi
山坡羊潼关怀古,shan'po'yang'tong'guan'huai'gu
山气日夕佳,shan'qi'ri'xi'jia
山水之乐,shan'shui'zhi'le
山行六七里,shan'xing'liu'qi'li
山肴野蔌,shan'yao'ye'su
山岳潜形,shan'yue'qian'xing
善哉,shan'zai
山之僧智仙也,shan'zhi'seng'zhi'xian'ye
商旅不行,shang'lv'bu'xing
商山早行,shang'shan'zao'xing
上使外将兵,shang'shi'wai'jiang'bing
上下天光,shang'xia'tian'guang
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
舍其锦绣,she'qi'jin'xiu
舍其粱肉,she'qi'liang'rou
舍其文轩,she'qi'wen'xuan
舍生而取义者也,she'sheng'er'qu'yi'zhe'ye
射天狼,she'tian'lang
舍鱼而取熊掌者也,she'yu'er'qu'xiong'zhang'zhe'ye
射者中,she'zhe'zhong
身长八尺,shen'chang'ba'chi
深入不毛,shen'ru'bu'mao
甚善,shen'shan
身世浮沉雨打萍,shen'shi'fu'chen'yu'da'ping
甚于生者,shen'yu'sheng'zhe
甚于死者,shen'yu'si'zhe
深追先帝遗诏,shen'zhui'xian'di'yi'zhao
生亦我所欲,sheng'yi'wo'suo'yu
生亦我所欲也,sheng'yi'wo'suo'yu'ye
生以乡人子谒余,sheng'yi'xiang'ren'zi'ye'yu
生于忧患,sheng'yu'you'huan
生子当如孙仲谋,sheng'zi'dang'ru'sun'zhong'mou
食不饱,shi'bu'bao
拾此充饥肠,shi'ci'chong'ji'chang
失道寡助,shi'dao'gua'zhu
失道者寡助,shi'dao'zhe'gua'zhu
是地利不如人和也,shi'di'li'bu'ru'ren'he'ye
是故所欲有,shi'gu'suo'yu'you
是进亦忧,shi'jin'yi'you
是可谓善学者矣,shi'ke'wei'shan'xue'zhe'yi
时六年九月十五日,shi'liu'nian'jiu'yue'shi'wu'ri
是马也,shi'ma'ye
食马者,shi'ma'zhe
使内外异法也,shi'nei'wai'yi'fa'ye
失期,shi'qi
失期当斩,shi'qi'dang'zhan
时人莫之许也,shi'ren'mo'zhi'xu'ye
使人索扁鹊,shi'ren'suo'bian'que
使人之所恶莫,shi'ren'zhi'suo'e'mo
是天时不如地利也,shi'tian'shi'bu'ru'di'li'ye
始闻叩柴荆,shi'wen'kou'chai'jing
事无大小,shi'wu'da'xiao
时先主屯新野,shi'xian'zhu'tun'xin'ye
是亦不可以已乎,shi'yi'bu'ke'yi'yi'hu
是以先帝简拔以遗陛下,shi'yi'xian'di'jian'ba'yi'yi'bi'xia
是以众议举宠为督,shi'yi'zhong'yi'ju'chong'wei'du
试用于昔日,shi'yong'yu'xi'ri
世有伯乐,shi'you'bo'le
是鱼之乐也,shi'yu'zhi'le'ye
食之不能尽其材,shi'zhi'bu'neng'jin'qi'cai
始知郊田之外未始无春,shi'zhi'jiao'tian'zhi'wai'wei'shi'wu'chun
侍中尚书长史参军,shi'zhong'shang'shu'zhang'shi'can'jun
侍中侍郎郭彼之费董允等,shi'zhong'shi'lang'guo'bi'zhi'fei'dong'yun'deng
士卒多为用者,shi'zu'duo'wei'yong'zhe
守丞死,shou'cheng'si
受地于先王,shou'di'yu'xian'wang
收而攻蕲,shou'er'gong'qi
受命以来,shou'ming'yi'lai
受任于败军之际,shou'ren'yu'bai'jun'zhi'ji
手指不可屈伸,shou'zhi'bu'ke'qu'shen
手中各有携,shou'zhong'ge'you'xie
手自笔录,shou'zi'bi'lu
黍地无人耕,shu'di'wu'ren'geng
庶竭驽钝,shu'jie'nu'dun
树林阴翳,shu'lin'yin'yi
数日,shu'ri
疏条交映,shu'tiao'jiao'ying
梳洗罢,shu'xi'ba
数有功,shu'you'gong
属予作文以记之,shu'yu'zuo'wen'yi'ji'zhi
庶曰,shu'yue
水调歌头,shui'diao'ge'tou
水皆缥碧,shui'jie'piao'bi
水落而石出者,shui'luo'er'shi'chu'zhe
水尤清洌,shui'you'qing'lie
舜发于畎亩之中,shun'fa'yu'quan'mu'zhi'zhong
死国可乎,si'guo'ke'hu
死即举大名耳,si'ji'ju'da'ming'er
思君令人老,si'jun'ling'ren'lao
四面边声连角起,si'mian'bian'sheng'lian'jiao'qi
四面竹树环合,si'mian'zhu'shu'huan'he
司命之所属,si'ming'zhi'suo'shu
俟其欣悦,si'qi'xin'yue
四时之景不同,si'shi'zhi'jing'bu'tong
思贤如渴,si'xian'ru'ke
死亦我所恶,si'yi'wo'suo'e
死于安乐,si'yu'an'le
似与游者相乐,si'yu'you'zhe'xiang'le
四支僵劲不能动,si'zhi'jiang'jin'bu'neng'dong
四座泪纵横,si'zuo'lei'zong'heng
送东阳马生序,song'dong'yang'ma'sheng'xu
宋何罪之有,song'he'zui'zhi'you
宋濂,song'lian
宋莫能守,song'mo'neng'shou
宋所为无雉兔狐狸者也,song'suo'wei'wu'zhi'tu'hu'li'zhe'ye
宋无长木,song'wu'chang'mu
宋无罪而攻之,song'wu'zui'er'gong'zhi
宋之地,song'zhi'di
搜于国中,sou'yu'guo'zhong
苏轼,su'shi
簌簌衣巾落枣花,su'su'yi'jin'luo'zao'hua
夙夜忧叹,su'ye'you'tan
虽千里不敢易也,sui'qian'li'bu'gan'yi'ye
虽然,sui'ran
虽杀臣,sui'sha'chen
遂许先帝以驱驰,sui'xu'xian'di'yi'qu'chi
岁晏有余粮,sui'yan'you'yu'liang
遂用猖蹶,sui'yong'chang'jue
虽有千里之能,sui'you'qian'li'zhi'neng
岁月忽已晚,sui'yue'hu'yi'wan
孙步敖举于海,sun'bu'ao'ju'yu'hai
孙权据有江东,sun'quan'ju'you'jiang'dong
所恶有甚于死者,suo'e'you'shen'yu'si'zhe
所识穷乏者得我欤,suo'shi'qiong'fa'zhe'de'wo'yu
所以动心忍性,suo'yi'dong'xin'ren'xing
所欲有甚于生者,suo'yu'you'shen'yu'sheng'zhe
太守归而宾客从也,tai'shou'gui'er'bin'ke'cong'ye
太守谓谁,tai'shou'wei'shui
太守宴也,tai'shou'yan'ye
太守也,tai'shou'ye
太守与客来饮于此,tai'shou'yu'ke'lai'yin'yu'ci
太守自谓也,tai'shou'zi'wei'ye
太守醉也,tai'shou'zui'ye
潭西南而望,tan'xi'nan'er'wang
袒右,tan'you
潭中鱼可百许头,tan'zhong'yu'ke'bai'xu'tou
唐雎不辱使命,tang'ju'bu'ru'shi'ming
唐雎对曰,tang'ju'dui'yue
唐雎曰,tang'ju'yue
汤熨之所及也,tang'yun'zhi'suo'ji'ye
陶渊明,tao'yuan'ming
滕子京谪守巴陵郡,teng'zi'jing'zhe'shou'ba'ling'jun
天大寒,tian'da'han
天府之土,tian'fu'zhi'tu
田家少闲月,tian'jia'shao'xian'yue
天山共色,tian'shan'gong'se
天稍和,tian'shao'he
天时不如地利,tian'shi'bu'ru'di'li
天下独绝,tian'xia'du'jue
天下缟素,tian'xia'gao'su
天下苦秦久矣,tian'xia'ku'qin'jiu'yi
天下顺之,tian'xia'shun'zhi
天下无马,tian'xia'wu'ma
天下英雄谁敌手,tian'xia'ying'xiong'shui'di'shou
天子之怒,tian'zi'zhi'nu
鲦鱼出游从容,tiao'yu'chu'you'cong'rong
停杯投箸不能食,ting'bei'tou'zhu'bu'neng'shi
挺剑而起,ting'jian'er'qi
听其相顾言,ting'qi'xiang'gu'yan
铜雀春深锁二乔,tong'que'chun'shen'suo'er'qiao
同舍生皆被绮绣,tong'she'sheng'jie'bei'qi'xiu
同游者,tong'you'zhe
童稚携壶浆,tong'zhi'xie'hu'jiang
土膏微润,tu'gao'wei'run
徒属皆曰,tu'shu'jie'yue
徒以有先生也,tu'yi'you'xian'sheng'ye
颓乎其中者,tui'hu'qi'zhong'zhe
退亦忧,tui'yi'you
吞长江,tun'chang'jiang
屯大泽乡,tun'da'ze'xiang
外结好孙权,wai'jie'hao'sun'quan
万钟于我何加焉,wan'zhong'yu'wo'he'jia'yan
万钟则不辨礼义而受之,wan'zhong'ze'bu'bian'li'yi'er'shou'zhi
亡百姓苦,wang'bai'xing'ku
望峰息心,wang'feng'xi'xin
王侯将相宁有种乎,wang'hou'jiang'xiang'ning'you'zhong'hu
忘怀得失,wang'huai'de'shi
望江南,wang'jiang'nan
望江南梳洗罢,wang'jiang'nan'shu'xi'ba
往来而不绝者,wang'lai'er'bu'jue'zhe
往来翕忽,wang'lai'xi'hu
望西都,wang'xi'du
王曰,wang'yue
望月有感,wang'yue'you'gan
望之蔚然而深秀者,wang'zhi'wei'ran'er'shen'xiu'zhe
未百步辄返,wei'bai'bu'zhe'fan
惟博陵崔州平颖川,wei'bo'ling'cui'zhou'ping'ying'chuan
未尝不叹息痛恨于桓灵也,wei'chang'bu'tan'xi'tong'hen'yu'huan'ling'ye
未尝稍降辞色,wei'chang'shao'jiang'ci'se
为陈同父甫赋壮词以寄之,wei'chen'tong'fu'fu'fu'zhuang'ci'yi'ji'zhi
为坻,wei'di
委而去之,wei'er'qu'zhi
为宫室之美,wei'gong'shi'zhi'mei
尉果笞广,wei'guo'chi'guang
尉剑挺,wei'jian'ting
为嵁,wei'kan
为坛而盟,wei'tan'er'meng
谓唐雎曰,wei'tang'ju'yue
威天下不以兵革之利,wei'tian'xia'bu'yi'bing'ge'zhi'li
为天下唱,wei'tian'xia'chang
为屯长,wei'tun'zhang
谓为信然,wei'wei'xin'ran
谓先主曰诸葛孔明者,wei'xian'zhu'yue'zhu'ge'kong'ming'zhe
为岩,wei'yan
未有问而不告,wei'you'wen'er'bu'gao
为屿,wei'yu
为与此同类,wei'yu'ci'tong'lei
未知其死也,wei'zhi'qi'si'ye
猥自枉屈,wei'zi'wang'qu
问君何能尔,wen'jun'he'neng'er
闻水声,wen'shui'sheng
闻说双溪春尚好,wen'shuo'shuang'xi'chun'shang'hao
文天祥,wen'tian'xiang
温庭筠,wen'ting'jun
问我久远行,wen'wo'jiu'yuan'xing
闻者为悲伤,wen'zhe'wei'bei'shang
闻子为梯,wen'zi'wei'ti
我非子,wo'fei'zi
我歌月徘徊,wo'ge'yue'pai'huai
卧龙也,wo'long'ye
我所欲也,wo'suo'yu'ye
我舞影零乱,wo'wu'ying'ling'luan
沃野千里,wo'ye'qian'li
我欲乘风归去,wo'yu'cheng'feng'gui'qu
我知之濠上也,wo'zhi'zhi'hao'shang'ye
无奔走之劳矣,wu'ben'zou'zhi'lao'yi
吾不言,wu'bu'yan
吾从北方,wu'cong'bei'fang
无冻馁之患矣,wu'dong'nei'zhi'huan'yi
吴广素爱人,wu'guang'su'ai'ren
吴广为都尉,wu'guang'wei'du'wei
吴广以为然,wu'guang'yi'wei'ran
吴广者,wu'guang'zhe
呜呼,wu'hu
无怀氏之民欤,wu'huai'shi'zhi'min'yu
吾既已言之王矣,wu'ji'yi'yan'zhi'wang'yi
吴均,wu'jun
武陵春,wu'ling'chun
武陵春风住尘香花已尽,wu'ling'chun'feng'zhu'chen'xiang'hua'yi'jin
五柳先生传,wu'liu'xian'sheng'chuan
吾庐独破受冻死亦足,wu'lu'du'po'shou'dong'si'yi'zu
无奈何也,wu'nai'he'ye
吾请无攻宋矣,wu'qing'wu'gong'song'yi
物是人非事事休,wu'shi'ren'fei'shi'shi'xiu
五十弦翻塞外声,wu'shi'xian'fan'sai'wai'sheng
吾谁与归,wu'shui'yu'gui
吾闻二世少子也,wu'wen'er'shi'shao'zi'ye
吴武陵,wu'wu'ling
无鲜肥滋味之享,wu'xian'fei'zi'wei'zhi'xiang
无相忘,wu'xiang'wang
吾义固不杀人,wu'yi'gu'bu'sha'ren
无意苦争春,wu'yi'ku'zheng'chun
五月人倍忙,wu'yue'ren'bei'mang
无致书以观,wu'zhi'shu'yi'guan
吾知所以距子矣,wu'zhi'suo'yi'ju'zi'yi
吾知子之所以距我,wu'zhi'zi'zhi'suo'yi'ju'wo
西北望,xi'bei'wang
西和诸戎,xi'he'zhu'rong
溪深而鱼肥,xi'shen'er'yu'fei
犀兕麋鹿满之,xi'si'mi'lu'man'zhi
西通巴蜀,xi'tong'ba'shu
悉以咨之,xi'yi'zi'zhi
下见小潭,xia'jian'xiao'tan
下者飘转沉塘坳,xia'zhe'piao'zhuan'chen'tang'ao
先达德隆望尊,xian'da'de'long'wang'zun
先帝不以臣卑鄙,xian'di'bu'yi'chen'bei'bi
先帝称之曰能,xian'di'cheng'zhi'yue'neng
先帝创业未半而中道崩殂,xian'di'chuang'ye'wei'ban'er'zhong'dao'beng'cu
先帝在时,xian'di'zai'shi
先帝知臣谨慎,xian'di'zhi'chen'jin'shen
县官日有禀销之供,xian'guan'ri'you'bing'xiao'zhi'gong
闲静少言,xian'jing'shao'yan
闲来垂钓碧溪上,xian'lai'chui'diao'bi'xi'shang
贤能为之用,xian'neng'wei'zhi'yong
衔觞赋诗,xian'shang'fu'shi
先生不知何许人也,xian'sheng'bu'zhi'he'xu'ren'ye
先生坐,xian'sheng'zuo
先天下之忧而忧,xian'tian'xia'zhi'you'er'you
鲜妍明媚,xian'yan'ming'mei
衔远山,xian'yuan'shan
贤者能勿丧耳,xian'zhe'neng'wu'sang'er
先主解之曰,xian'zhu'jie'zhi'yue
先主器之,xian'zhu'qi'zhi
先主曰,xian'zhu'yue
相期邈云汉,xiang'qi'miao'yun'han
