爱公物,ai'gong'wu
昔时贤文诲汝谆谆集韵增文多见多闻,xi'shi'xian'wen'hui'ru'zhun'zhun'ji'yun'zeng'wen'duo'jian'duo'wen
细思量,xi'si'liang
昔苏秦,xi'su'qin
洗碗筷,xi'wan'kuai
戏无益,xi'wu'yi
昔贤母善教子,xi'xian'mu'shan'jiao'zi
习相远,xi'xiang'yuan
惜校誉,xi'xiao'yu
夕于斯,xi'yu'si
昔仲尼,xi'zhong'ni
夏传子,xia'chuan'zi
遐迩一体,xia'er'yi'ti
夏有禹,xia'you'yu
下泽民,xia'ze'min
显父母,xian'fu'mu
弦歌酒宴,xian'ge'jiu'yan
掀三山,xian'san'shan
先士卒,xian'shi'zu
先行者,xian'xing'zhe
相逢不饮空归去,xiang'feng'bu'yin'kong'gui'qu
相逢好似初相识到老终无怨恨心,xiang'feng'hao'si'chu'xiang'shi'dao'lao'zhong'wu'yuan'hen'xin
香馥郁,xiang'fu'yu
相见易得好,xiang'jian'yi'de'hao
香九龄,xiang'jiu'ling
相识满天下知心能几人,xiang'shi'man'tian'xia'zhi'xin'neng'ji'ren
详训诂,xiang'xun'gu
向阳花木早逢春,xiang'yang'hua'mu'zao'feng'chun
相揖逊,xiang'yi'xun
乡中水,xiang'zhong'shui
孝当竭力,xiao'dang'jie'li
小黄香爱父母意深长,xiao'huang'xiang'ai'fu'mu'yi'shen'chang
孝经通,xiao'jing'tong
小孔融,xiao'kong'rong
小学终,xiao'xue'zhong
孝于亲,xiao'yu'qin
孝与悌,xiao'yu'ti
削竹简,xiao'zhu'jian
谢道韫,xie'dao'yun
心潮涌,xin'chao'yong
心动神疲,xin'dong'shen'pi
心而惟,xin'er'wei
新苗秀,xin'miao'xiu
新时代,xin'shi'dai
信使可复,xin'shi'ke'fu
新中国,xin'zhong'guo
欣奏累遣,xin'zou'lei'qian
性本善,xing'ben'shan
形端表正,xing'duan'biao'zheng
兴高齐,xing'gao'qi
性静情逸,xing'jing'qing'yi
醒民魂,xing'min'hun
行莫差,xing'mo'cha
行乃偏,xing'nai'pian
性乃迁,xing'nai'qian
性相近,xing'xiang'jin
醒眼看醉人,xing'yan'kan'zui'ren
性与情,xing'yu'qing
胸坦荡,xiong'tan'dang
兄则友,xiong'ze'you
须防仁不仁,xu'fang'ren'bu'ren
须继承,xu'ji'cheng
须讲究,xu'jiang'jiu
虚堂习听,xu'tang'xi'ting
徐霞客,xu'xia'ke
璇玑悬斡,xuan'ji'xuan'wo
宣统逊,xuan'tong'xun
宣威沙漠,xuan'wei'sha'mo
学不辍,xue'bu'chuo
学不缀,xue'bu'zhui
雪国耻,xue'guo'chi
学且勤,xue'qie'qin
学优登仕,xue'you'deng'shi
言辞安定,yan'ci'an'ding
阉乱后,yan'luan'hou
雁门紫塞,yan'men'zi'sai
言轻莫劝人,yan'qing'mo'quan'ren
炎宋兴,yan'song'xing
研物种,yan'wu'zhong
岩岫杳冥,yan'xiu'yao'ming
焉哉乎也,yan'zai'hu'ye
奄宅曲阜,yan'zhai'qu'fu
养不教,yang'bu'jiao
扬名声,yang'ming'sheng
养女不教如养猪,yang'nv'bu'jiao'ru'yang'zhu
养子不教如养驴,yang'zi'bu'jiao'ru'yang'lv
已不欲,yi'bu'yu
屹东方,yi'dong'fang
一斗酒,yi'dou'jiu
一而十,yi'er'shi
一家之计在于和,yi'jia'zhi'ji'zai'yu'he
亦聚群英,yi'ju'qun'ying
贻厥嘉猷,yi'jue'jia'you
宜立志,yi'li'zhi
宜勉力,yi'mian'li
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
一人一般心,yi'ren'yi'ban'xin
一日之计在于寅,yi'ri'zhi'ji'zai'yu'yin
亦若是,yi'ruo'shi
一身死,yi'shen'si
一生之计在于勤,yi'sheng'zhi'ji'zai'yu'qin
一土宇,yi'tu'yu
宜先知,yi'xian'zhi
易輶攸畏,yi'you'you'wei
已欲达,yi'yu'da
艺苑花,yi'yuan'hua
宜早思,yi'zao'si
易涨易退山溪水易反易覆小人心,yi'zhang'yi'tui'shan'xi'shui'yi'fan'yi'fu'xiao'ren'xin
印刷术,yin'shua'shu
银烛炜煌,yin'zhu'wei'huang
莹八岁,ying'ba'sui
应乎中,ying'hu'zhong
莺花犹怕春光老,ying'hua'you'pa'chun'guang'lao
嬴秦氏,ying'qin'shi
应知礼,ying'zhi'li
庸不易,yong'bu'yi
用军最精,yong'jun'zui'jing
勇开放,yong'kai'fang
勇攀登,yong'pan'deng
永绥吉劭,yong'sui'ji'shao
勇相帮,yong'xiang'bang
幼不学,you'bu'xue
有茶有酒多兄弟,you'cha'you'jiu'duo'xiong'di
有典谟,you'dian'mo
幼而学,you'er'xue
有公羊,you'gong'yang
有彀梁,you'gou'liang
有归藏,you'gui'cang
犹悔迟,you'hui'chi
犹苦卓,you'ku'zhuo
游鹍独运,you'kun'du'yun
有连山,you'lian'shan
有钱道真语,you'qian'dao'zhen'yu
有钱难买针,you'qian'nan'mai'zhen
有誓命,you'shi'ming
有书不读子孙愚,you'shu'bu'du'zi'sun'yu
游太空,you'tai'kong
有田不耕仓廪虚,you'tian'bu'geng'cang'lin'xu
右通广内,you'tong'guang'nei
有为者,you'wei'zhe
有魏征,you'wei'zheng
有我师,you'wo'shi
有五岭,you'wu'ling
有协锋,you'xie'feng
有训诰,you'xun'gao
有荀杨,you'xun'yang
有义方,you'yi'fang
有意栽花花不发无心插柳柳成阴,you'yi'zai'hua'hua'bu'fa'wu'xin'cha'liu'liu'cheng'yin
友与朋,you'yu'peng
有虞陶唐,you'yu'tao'tang
有周易,you'zhou'yi
犹子比儿,you'zi'bi'er
有左氏,you'zuo'shi
寓褒贬,yu'bao'bian
玉不琢,yu'bu'zhuo
玉出昆冈,yu'chu'kun'gang
语和蔼,yu'he'ai
愚蒙等诮,yu'meng'deng'qiao
寓目囊箱,yu'mu'nang'xiang
誉神州,yu'shen'zhou
育斯民,yu'si'min
与丝竹,yu'si'zhu
宇文周,yu'wen'zhou
育新人,yu'xin'ren
裕于后,yu'yu'hou
宇宙洪荒,yu'zhou'hong'huang
渊澄取映,yuan'cheng'qu'ying
园莽抽条,yuan'mang'chou'tiao
远亲不如近邻,yuan'qin'bu'ru'jin'lin
远水难救近火,yuan'shui'nan'jiu'jin'huo
源于贪,yuan'yu'tan
圆周率,yuan'zhou'lv
曰哀惧,yue'ai'ju
曰百家,yue'bai'jia
曰春夏,yue'chun'xia
岳刺字,yue'ci'zi
阅古今,yue'gu'jin
曰国风,yue'guo'feng
曰红楼,yue'hong'lou
岳家军,yue'jia'jun
曰南北,yue'nan'bei
曰秋冬,yue'qiu'dong
曰仁义,yue'ren'yi
曰三国,yue'san'guo
曰水浒,yue'shui'hu
曰水火,yue'shui'huo
曰西东,yue'xi'dong
曰喜怒,yue'xi'nu
曰西游,yue'xi'you
曰雅颂,yue'ya'song
曰严与敬,yue'yan'yu'jing
悦豫且康,yue'yu'qie'kang
岳宗泰岱,yue'zong'tai'dai
运不穷,yun'bu'qiong
运去金成铁时来铁似金读书须用意一字值千金,yun'qu'jin'cheng'tie'shi'lai'tie'si'jin'du'shu'xu'yong'yi'yi'zi'zhi'qian'jin
云腾致雨,yun'teng'zhi'yu
在家不会迎宾客,zai'jia'bu'hui'ying'bin'ke
在前头,zai'qian'tou
再三须慎意,zai'san'xu'shen'yi
载治乱,zai'zhi'luan
造次弗离,zao'ci'fu'li
遭难莫寻亲,zao'nan'mo'xun'qin
造纸术,zao'zhi'shu
则达人,ze'da'ren
择邻处,ze'lin'chu
责人之心责己,ze'ren'zhi'xin'ze'ji
择善交,ze'shan'jiao
增广贤文,zeng'guang'xian'wen
张衡制,zhang'heng'zhi
长幼序,zhang'you'xu
赵魏困横,zhao'wei'kun'heng
朝霞艳,zhao'xia'yan
赵中令,zhao'zhong'ling
震聋聩,zhen'long'kui
振中华,zhen'zhong'hua
郑成功,zheng'cheng'gong
争汉鼎,zheng'han'ding
争朝夕,zheng'zhao'xi
治本于农,zhi'ben'yu'nong
至崇祯,zhi'chong'zhen
知而行,zhi'er'xing
知过必改,zhi'guo'bi'gai
至黄帝,zhi'huang'di
知己知彼将心比心,zhi'ji'zhi'bi'jiang'xin'bi'xin
直谏镜,zhi'jian'jing
知某数,zhi'mou'shu
指南针,zhi'nan'zhen
至平治,zhi'ping'zhi
执热愿凉,zhi're'yuan'liang
知任重,zhi'ren'zhong
至十传,zhi'shi'chuan
至四书,zhi'si'shu
至孝平,zhi'xiao'ping
指薪修祜,zhi'xin'xiu'hu
知兴衰,zhi'xing'shuai
枝叶茂,zhi'ye'mao
至元曾,zhi'yuan'ceng
知终始,zhi'zhong'shi
至纣亡,zhi'zhou'wang
中不偏,zhong'bu'pian
众称异,zhong'cheng'yi
重道义,zhong'dao'yi
重公益,zhong'gong'yi
重环保,zhong'huan'bao
重教育说仁义,zhong'jiao'yu'shuo'ren'yi
种苦果,zhong'ku'guo
终于献,zhong'yu'xian
忠则尽命,zhong'ze'jin'ming
终战国,zhong'zhan'guo
终自尝,zhong'zi'chang
周恩来,zhou'en'lai
周发殷汤,zhou'fa'yin'tang
昼眠夕寐,zhou'mian'xi'mei
周文王,zhou'wen'wang
周武王,zhou'wu'wang
周辙东,zhou'zhe'dong
珠称夜光,zhu'cheng'ye'guang
诸姑伯叔,zhu'gu'bo'shu
朱老总,zhu'lao'zong
注礼记,zhu'li'ji
著六官,zhu'liu'guan
珠水秀龙江壮,zhu'shui'xiu'long'jiang'zhuang
逐物意移,zhu'wu'yi'yi
诛斩贼盗,zhu'zhan'zei'dao
转如电,zhuan'ru'dian
撰史记,zhuan'shi'ji
壮而行,zhuang'er'xing
锥刺股,zhui'ci'gu
子不学,zi'bu'xue
子而孙,zi'er'sun
资父事君,zi'fu'shi'jun
自恨枝无叶,zi'hen'zhi'wu'ye
自勤苦,zi'qin'ku
子思笔,zi'si'bi
子孙愚兮礼义疏,zi'sun'yu'xi'li'yi'shu
自羲农,zi'xi'nong
自修齐,zi'xiu'qi
自子孙,zi'zi'sun
总设计,zong'she'ji
纵私欲,zong'si'yu
祖冲之,zu'chong'zhi
最长久,zui'chang'jiu
醉后添杯不如无,zui'hou'tian'bei'bu'ru'wu
最悠久,zui'you'jiu
罪与恶,zui'yu'e
遵纪法,zun'ji'fa
尊长辈,zun'zhang'bei
坐朝问道,zuo'chao'wen'dao
做错事,zuo'cuo'shi
左达承明,zuo'da'cheng'ming
作大学,zuo'da'xue
佐时阿衡,zuo'shi'a'heng
作正字,zuo'zheng'zi
作中庸,zuo'zhong'yong
作周礼,zuo'zhou'li
