吖啶橙,a'ding'cheng
色质体,se'zhi'ti
杀伤细胞,sha'shang'xi'bao
上游表达序列,shang'you'biao'da'xu'lie
上游阻抑序列,shang'you'zu'yi'xu'lie
深低温保藏,shen'di'wen'bao'cang
深度蚀刻,shen'du'shi'ke
神经胞质,shen'jing'bao'zhi
神经生长因子,shen'jing'sheng'zhang'yin'zi
神经丝,shen'jing'si
神经丝蛋白,shen'jing'si'dan'bai
神经肽,shen'jing'tai
神经元,shen'jing'yuan
伸缩泡,shen'suo'pao
伸展蛋白,shen'zhan'dan'bai
生发泡,sheng'fa'pao
生毛体,sheng'mao'ti
生物,sheng'wu
生物反应器,sheng'wu'fan'ying'qi
生物素染色,sheng'wu'su'ran'se
生源论,sheng'yuan'lun
生源说,sheng'yuan'shuo
生长调节素,sheng'zhang'tiao'jie'su
生长因子,sheng'zhang'yin'zi
生殖细胞,sheng'zhi'xi'bao
生殖质,sheng'zhi'zhi
识别位点,shi'bie'wei'dian
嗜碱性,shi'jian'xing
石蜡切片,shi'la'qie'pian
噬粒,shi'li
噬泡,shi'pao
时期专一,shi'qi'zhuan'yi
嗜酸性,shi'suan'xing
噬体,shi'ti
时相专一,shi'xiang'zhuan'yi
受调分泌,shou'diao'fen'mi
受精,shou'jing
受精卵,shou'jing'luan
受磷蛋白,shou'lin'dan'bai
收缩蛋白质,shou'suo'dan'bai'zhi
收缩环,shou'suo'huan
收缩泡,shou'suo'pao
受体,shou'ti
受体蛋白,shou'ti'dan'bai
树突,shu'tu
树突细胞,shu'tu'xi'bao
刷状缘,shua'zhuang'yuan
双二倍体,shuang'er'bei'ti
双二倍性,shuang'er'bei'xing
双核体,shuang'he'ti
双精入卵,shuang'jing'ru'luan
双联体,shuang'lian'ti
双受精,shuang'shou'jing
双态现象,shuang'tai'xian'xiang
双线期,shuang'xian'qi
双向凝胶电泳,shuang'xiang'ning'jiao'dian'yong
双星有丝分裂,shuang'xing'you'si'fen'lie
双着丝粒染色体,shuang'zhuo'si'li'ran'se'ti
四倍体,si'bei'ti
四倍性,si'bei'xing
四分染色单体,si'fen'ran'se'dan'ti
四分体,si'fen'ti
四价体,si'jia'ti
丝束蛋白,si'shu'dan'bai
四体,si'ti
饲养层,si'yang'ceng
饲养细胞,si'yang'xi'bao
丝足,si'zu
四唑氮法,si'zuo'dan'fa
苏丹黑,su'dan'hei
塑胶膜培养,su'jiao'mo'pei'yang
苏木精,su'mu'jing
酸性品红,suan'xing'pin'hong
随体区,sui'ti'qu
随体染色体,sui'ti'ran'se'ti
缩时显微电影术,suo'shi'xian'wei'dian'ying'shu
台盼蓝,tai'pan'lan
探针,tan'zhen
糖萼,tang'e
梯度培养板,ti'du'pei'yang'ban
体内,ti'nei
体吞,ti'tun
体外,ti'wai
体细胞,ti'xi'bao
体细胞变异,ti'xi'bao'bian'yi
体细胞重组,ti'xi'bao'chong'zu
体细胞克隆变异,ti'xi'bao'ke'long'bian'yi
体细胞突变,ti'xi'bao'tu'bian
体细胞杂交,ti'xi'bao'za'jiao
体细胞杂种,ti'xi'bao'za'zhong
体液免疫,ti'ye'mian'yi
天青,tian'qing
天然杀伤细胞,tian'ran'sha'shang'xi'bao
调变,tiao'bian
条件培养液,tiao'jian'pei'yang'ye
调节位点,tiao'jie'wei'dian
调整卵,tiao'zheng'luan
贴壁因子,tie'bi'yin'zi
停靠蛋白质,ting'kao'dan'bai'zhi
同步化,tong'bu'hua
同工,tong'gong
同核体,tong'he'ti
同配生殖,tong'pei'sheng'zhi
同形配子,tong'xing'pei'zi
同源,tong'yuan
同源多倍体,tong'yuan'duo'bei'ti
同源多倍性,tong'yuan'duo'bei'xing
同源联会,tong'yuan'lian'hui
同源染色体,tong'yuan'ran'se'ti
同源四倍体,tong'yuan'si'bei'ti
同源四倍性,tong'yuan'si'bei'xing
同源异倍体,tong'yuan'yi'bei'ti
同源异倍性,tong'yuan'yi'bei'xing
同种型,tong'zhong'xing
同种异型,tong'zhong'yi'xing
同祖染色体,tong'zu'ran'se'ti
透明带,tou'ming'dai
透明质,tou'ming'zhi
透射电子显微镜,tou'she'dian'zi'xian'wei'jing
透性,tou'xing
突变子,tu'bian'zi
突触,tu'chu
涂片,tu'pian
图式形成,tu'shi'xing'cheng
图象重构,tu'xiang'chong'gou
图象显示,tu'xiang'xian'shi
团聚体,tuan'ju'ti
吞噬,tun'shi
吞噬体,tun'shi'ti
脱分化,tuo'fen'hua
脱敏,tuo'min
唾腺染色体,tuo'xian'ran'se'ti
外包,wai'bao
外分泌,wai'fen'mi
外胚层,wai'pei'ceng
外切核酸酶,wai'qie'he'suan'mei
外突,wai'tu
外显子,wai'xian'zi
外质,wai'zhi
外植,wai'zhi
外植块,wai'zhi'kuai
外质体,wai'zhi'ti
外植体,wai'zhi'ti
网格蛋白,wang'ge'dan'bai
位点,wei'dian
微管,wei'guan
微管蛋白,wei'guan'dan'bai
微管滑动机制,wei'guan'hua'dong'ji'zhi
微管聚合,wei'guan'ju'he
微管连接蛋白,wei'guan'lian'jie'dan'bai
微管相关蛋白质,wei'guan'xiang'guan'dan'bai'zhi
微管形成中心,wei'guan'xing'cheng'zhong'xin
微管组织中心,wei'guan'zu'zhi'zhong'xin
微过氧化物酶体,wei'guo'yang'hua'wu'mei'ti
微核,wei'he
微核细胞,wei'he'xi'bao
微孔滤器,wei'kong'lv'qi
微粒体,wei'li'ti
微量,wei'liang
微量电泳,wei'liang'dian'yong
微量加液器,wei'liang'jia'ye'qi
微量色谱法,wei'liang'se'pu'fa
微梁网,wei'liang'wang
微囊培养,wei'nang'pei'yang
微绒毛,wei'rong'mao
微射轰击,wei'she'hong'ji
微室培养,wei'shi'pei'yang
微丝,wei'si
微体,wei'ti
微细胞,wei'xi'bao
卫星,wei'xing
微原纤维,wei'yuan'xian'wei
微载体培养,wei'zai'ti'pei'yang
位置信息,wei'zhi'xin'xi
伪足,wei'zu
温度敏感突变体,wen'du'min'gan'tu'bian'ti
无孢子生殖,wu'bao'zi'sheng'zhi
无蛋白培养基,wu'dan'bai'pei'yang'ji
无蛋白培养液,wu'dan'bai'pei'yang'ye
无定形区,wu'ding'xing'qu
无核精子,wu'he'jing'zi
无核细胞,wu'he'xi'bao
乌纳染色,wu'na'ran'se
无能性,wu'neng'xing
无配生殖,wu'pei'sheng'zhi
无融合,wu'rong'he
无融合结实,wu'rong'he'jie'shi
无融合生殖,wu'rong'he'sheng'zhi
无融合生殖体,wu'rong'he'sheng'zhi'ti
无丝分裂,wu'si'fen'lie
无尾精子,wu'wei'jing'zi
无限增殖化,wu'xian'zeng'zhi'hua
无性孢子,wu'xing'bao'zi
无性生殖,wu'xing'sheng'zhi
无星有丝分裂,wu'xing'you'si'fen'lie
无血清培养基,wu'xue'qing'pei'yang'ji
无血清培养液,wu'xue'qing'pei'yang'ye
无着丝粒染色体,wu'zhuo'si'li'ran'se'ti
细胞,xi'bao
细胞壁,xi'bao'bi
细胞病理学,xi'bao'bing'li'xue
细胞电泳,xi'bao'dian'yong
细胞动力学,xi'bao'dong'li'xue
细胞毒素,xi'bao'du'su
细胞毒性,xi'bao'du'xing
细胞分裂,xi'bao'fen'lie
细胞分裂素,xi'bao'fen'lie'su
细胞分选,xi'bao'fen'xuan
细胞分选仪,xi'bao'fen'xuan'yi
细胞工程,xi'bao'gong'cheng
细胞骨架,xi'bao'gu'jia
细胞光度术,xi'bao'guang'du'shu
细胞核学,xi'bao'he'xue
细胞化学,xi'bao'hua'xue
细胞混合,xi'bao'hun'he
细胞激动素,xi'bao'ji'dong'su
细胞计量术,xi'bao'ji'liang'shu
细胞基质,xi'bao'ji'zhi
细胞角蛋白,xi'bao'jiao'dan'bai
细胞介导免疫,xi'bao'jie'dao'mian'yi
细胞节律,xi'bao'jie'lv
细胞解体,xi'bao'jie'ti
细胞静止因子,xi'bao'jing'zhi'yin'zi
细胞决定,xi'bao'jue'ding
细胞库,xi'bao'ku
细胞免疫,xi'bao'mian'yi
细胞免疫学,xi'bao'mian'yi'xue
细胞粘着,xi'bao'nian'zhuo
细胞粘着分子,xi'bao'nian'zhuo'fen'zi
细胞培养,xi'bao'pei'yang
细胞谱系,xi'bao'pu'xi
细胞器,xi'bao'qi
细胞器移植,xi'bao'qi'yi'zhi
细胞融合,xi'bao'rong'he
细胞溶解,xi'bao'rong'jie
细胞社会学,xi'bao'she'hui'xue
细胞生理学,xi'bao'sheng'li'xue
细胞生物学,xi'bao'sheng'wu'xue
细胞识别,xi'bao'shi'bie
细胞世代时间,xi'bao'shi'dai'shi'jian
细胞受体,xi'bao'shou'ti
细胞衰老,xi'bao'shuai'lao
细胞外被,xi'bao'wai'bei
细胞系,xi'bao'xi
细胞向性,xi'bao'xiang'xing
细胞形态学,xi'bao'xing'tai'xue
细胞学,xi'bao'xue
细胞学说,xi'bao'xue'shuo
细胞亚株,xi'bao'ya'zhu
细胞遗传学,xi'bao'yi'chuan'xue
细胞移动,xi'bao'yi'dong
细胞因子,xi'bao'yin'zi
细胞运动,xi'bao'yun'dong
细胞运动性,xi'bao'yun'dong'xing
细胞周期,xi'bao'zhou'qi
细胞周期蛋白,xi'bao'zhou'qi'dan'bai
细胞株,xi'bao'zhu
希夫试剂,xi'fu'shi'ji
细菌组蛋白,xi'jun'zu'dan'bai
稀疏培养,xi'shu'pei'yang
细丝蛋白,xi'si'dan'bai
系统,xi'tong
系统发育,xi'tong'fa'yu
细线期,xi'xian'qi
先成论,xian'cheng'lun
先成说,xian'cheng'shuo
线粒体,xian'li'ti
线粒体分裂,xian'li'ti'fen'lie
纤连蛋白,xian'lian'dan'bai
纤毛,xian'mao
纤丝滑动模型,xian'si'hua'dong'mo'xing
显微操作,xian'wei'cao'zuo
显微操作器,xian'wei'cao'zuo'qi
显微电影术,xian'wei'dian'ying'shu
显微分光光度计,xian'wei'fen'guang'guang'du'ji
显微光度计,xian'wei'guang'du'ji
显微灰化法,xian'wei'hui'hua'fa
显微技术,xian'wei'ji'shu
显微解剖,xian'wei'jie'pou
显微镜,xian'wei'jing
纤维区,xian'wei'qu
显微摄影术,xian'wei'she'ying'shu
显微术,xian'wei'shu
显微外科术,xian'wei'wai'ke'shu
显微荧光测定术,xian'wei'ying'guang'ce'ding'shu
显微荧光光度术,xian'wei'ying'guang'guang'du'shu
纤维中心,xian'wei'zhong'xin
显微注射,xian'wei'zhu'she
限制,xian'zhi
限制点,xian'zhi'dian
相差显微镜,xiang'cha'xian'wei'jing
相关识别,xiang'guan'shi'bie
镶嵌卵,xiang'qian'luan
镶嵌型,xiang'qian'xing
小孢幽赶赴,xiao'bao'you'gan'fu
小孢子,xiao'bao'zi
小孢子发生,xiao'bao'zi'fa'sheng
小核,xiao'he
小泡,xiao'pao
小配子,xiao'pei'zi
小细胞,xiao'xi'bao
小型配子结合,xiao'xing'pei'zi'jie'he
信号假说,xin'hao'jia'shuo
信号识别颗粒,xin'hao'shi'bie'ke'li
信号肽,xin'hao'tai
新细胞质,xin'xi'bao'zhi
信息体,xin'xi'ti
性别,xing'bie
性别分化,xing'bie'fen'hua
性别决定,xing'bie'jue'ding
性染色体,xing'ran'se'ti
星射线,xing'she'xian
形态测量细胞学,xing'tai'ce'liang'xi'bao'xue
形态发生,xing'tai'fa'sheng
形态发生素,xing'tai'fa'sheng'su
形态发生运动,xing'tai'fa'sheng'yun'dong
星体,xing'ti
星体球,xing'ti'qiu
星体丝,xing'ti'si
星心体,xing'xin'ti
雄核,xiong'he
雄核卵块发育,xiong'he'luan'kuai'fa'yu
雄母细胞,xiong'mu'xi'bao
雄配子,xiong'pei'zi
胸腺,xiong'xian
胸腺保育细胞,xiong'xian'bao'yu'xi'bao
胸腺细胞,xiong'xian'xi'bao
胸腺驯育,xiong'xian'xun'yu
雄原核生长因子,xiong'yuan'he'sheng'zhang'yin'zi
雄原细胞,xiong'yuan'xi'bao
雄质,xiong'zhi
雄中心体,xiong'zhong'xin'ti
序列测定,xu'lie'ce'ding
悬滴培养,xuan'di'pei'yang
旋动培养,xuan'dong'pei'yang
悬浮培养,xuan'fu'pei'yang
选择蛋白,xuan'ze'dan'bai
旋转管培养,xuan'zhuan'guan'pei'yang
血细胞计数器,xue'xi'bao'ji'shu'qi
血型糖蛋白,xue'xing'tang'dan'bai
血影蛋白,xue'ying'dan'bai
亚倍体,ya'bei'ti
亚倍性,ya'bei'xing
芽基,ya'ji
芽基发育,ya'ji'fa'yu
亚甲蓝,ya'jia'lan
亚甲绿,ya'jia'lv
亚克隆,ya'ke'long
亚线粒体小泡,ya'xian'li'ti'xiao'pao
亚原生质体,ya'yuan'sheng'zhi'ti
岩藻黄质,yan'zao'huang'zhi
洋红,yang'hong
叶褐素,ye'he'su
叶褐体,ye'he'ti
叶绿素,ye'lv'su
叶绿体,ye'lv'ti
叶绿体被膜,ye'lv'ti'bei'mo
叶绿体基粒,ye'lv'ti'ji'li
叶绿体基质,ye'lv'ti'ji'zhi
叶绿体线,ye'lv'ti'xian
液泡,ye'pao
液泡膜,ye'pao'mo
液泡形成体,ye'pao'xing'cheng'ti
液体闪烁计数器,ye'ti'shan'shuo'ji'shu'qi
叶足,ye'zu
异倍体,yi'bei'ti
异倍体细胞系,yi'bei'ti'xi'bao'xi
异倍性,yi'bei'xing
遗传工程,yi'chuan'gong'cheng
遗传密码,yi'chuan'mi'ma
移动抑制因子,yi'dong'yi'zhi'yin'zi
异核体,yi'he'ti
异核细胞,yi'he'xi'bao
缢痕,yi'hen
异化分裂,yi'hua'fen'lie
依赖,yi'lai
依赖贴壁细胞,yi'lai'tie'bi'xi'bao
移码,yi'ma
异配生殖,yi'pei'sheng'zhi
乙醛酸循环体,yi'quan'suan'xun'huan'ti
异染色体,yi'ran'se'ti
异染色质,yi'ran'se'zhi
异染性,yi'ran'xing
异染性染料,yi'ran'xing'ran'liao
抑素,yi'su
易位,yi'wei
易位子,yi'wei'zi
异型,yi'xing
异形孢子,yi'xing'bao'zi
异形配子,yi'xing'pei'zi
依序表达,yi'xu'biao'da
异源多倍体,yi'yuan'duo'bei'ti
异源多倍性,yi'yuan'duo'bei'xing
异源联会,yi'yuan'lian'hui
异源异倍体,yi'yuan'yi'bei'ti
异源异倍性,yi'yuan'yi'bei'xing
抑制,yi'zhi
移植,yi'zhi
已知成份培养液,yi'zhi'cheng'fen'pei'yang'ye
抑制蛋白,yi'zhi'dan'bai
异株受精,yi'zhu'shou'jing
引发酶,yin'fa'mei
引发体,yin'fa'ti
印迹法,yin'ji'fa
银染色,yin'ran'se
引物,yin'wu
荧光分光光度计,ying'guang'fen'guang'guang'du'ji
萤光黄,ying'guang'huang
荧光染料,ying'guang'ran'liao
荧光探针,ying'guang'tan'zhen
荧光显微镜,ying'guang'xian'wei'jing
影象增强显微术,ying'xiang'zeng'qiang'xian'wei'shu
涌动孢子,yong'dong'bao'zi
有被小泡,you'bei'xiao'pao
有被小窝,you'bei'xiao'wo
有被液泡,you'bei'ye'pao
诱导,you'dao
诱导物,you'dao'wu
游动孢子,you'dong'bao'zi
游动接合孢子,you'dong'jie'he'bao'zi
游动精子,you'dong'jing'zi
有核细胞,you'he'xi'bao
游离基因,you'li'ji'yin
有丝分裂,you'si'fen'lie
有丝分裂器,you'si'fen'lie'qi
有丝分裂因子,you'si'fen'lie'yin'zi
有丝分裂中心,you'si'fen'lie'zhong'xin
有丝分裂周期,you'si'fen'lie'zhou'qi
幼体孤粕,you'ti'gu'po
幼体两性生殖,you'ti'liang'xing'sheng'zhi
有限稀释,you'xian'xi'shi
有星有丝分裂,you'xing'you'si'fen'lie
油质体,you'zhi'ti
预决定,yu'jue'ding
愈伤组织,yu'shang'zu'zhi
原癌基因,yuan'ai'ji'yin
原肠胚,yuan'chang'pei
原肠胚形成,yuan'chang'pei'xing'cheng
原代培养,yuan'dai'pei'yang
原代细胞培养,yuan'dai'xi'bao'pei'yang
原顶体,yuan'ding'ti
原核细胞,yuan'he'xi'bao
原基,yuan'ji
原胶原,yuan'jiao'yuan
原淋巴细胞,yuan'lin'ba'xi'bao
圆球体,yuan'qiu'ti
原生质,yuan'sheng'zhi
原生质桥,yuan'sheng'zhi'qiao
原生质体,yuan'sheng'zhi'ti
原生质体培养,yuan'sheng'zhi'ti'pei'yang
原生质体融合,yuan'sheng'zhi'ti'rong'he
原生殖细胞,yuan'sheng'zhi'xi'bao
原位杂交,yuan'wei'za'jiao
原纤维,yuan'xian'wei
原中心粒,yuan'zhong'xin'li
匀浆器,yun'jiang'qi
运输小泡,yun'shu'xiao'pao
运铁蛋白,yun'tie'dan'bai
杂合子,za'he'zi
杂交瘤,za'jiao'liu
杂交瘤细胞系,za'jiao'liu'xi'bao'xi
杂交细胞,za'jiao'xi'bao
杂交细胞系,za'jiao'xi'bao'xi
载玻片,zai'bo'pian
再分化,zai'fen'hua
再生,zai'sheng
载体,zai'ti
载网,zai'wang
藻胆蛋白体,zao'dan'dan'bai'ti
藻胆色素蛋白,zao'dan'se'su'dan'bai
藻胆体,zao'dan'ti
造粉,zao'fen
藻褐素,zao'he'su
藻红蛋白,zao'hong'dan'bai
藻红体,zao'hong'ti
藻蓝蛋白,zao'lan'dan'bai
增强子,zeng'qiang'zi
增强子单元,zeng'qiang'zi'dan'yuan
增殖,zeng'zhi
粘粒,zhan'li
詹纳斯绿,zhan'na'si'lv
张力丝,zhang'li'si
胀泡,zhang'pao
振动切片机,zhen'dong'qie'pian'ji
真核,zhen'he
真核细胞,zhen'he'xi'bao
整倍体,zheng'bei'ti
整倍性,zheng'bei'xing
整联蛋白,zheng'lian'dan'bai
整装制片,zheng'zhuang'zhi'pian
质壁分离,zhi'bi'fen'li
质壁分离复原,zhi'bi'fen'li'fu'yuan
支持膜,zhi'chi'mo
质粒,zhi'li
致瘤性转化,zhi'liu'xing'zhuan'hua
致敏,zhi'min
质膜,zhi'mo
质配,zhi'pei
致缩因子,zhi'suo'yin'zi
质体,zhi'ti
质体系,zhi'ti'xi
质外体,zhi'wai'ti
植物凝集素,zhi'wu'ning'ji'su
致育因子,zhi'yu'yin'zi
脂质体,zhi'zhi'ti
终变期,zhong'bian'qi
中部受精,zhong'bu'shou'jing
中间交叉,zhong'jian'jiao'cha
中间丝,zhong'jian'si
中间体,zhong'jian'ti
中间纤维,zhong'jian'xian'wei
中空纤维培养,zhong'kong'xian'wei'pei'yang
肿瘤坏死因子,zhong'liu'huai'si'yin'zi
中膜体,zhong'mo'ti
中胚层,zhong'pei'ceng
中期停顿,zhong'qi'ting'dun
种系,zhong'xi
中心粒,zhong'xin'li
中心粒团,zhong'xin'li'tuan
中心球,zhong'xin'qiu
中心体,zhong'xin'ti
中心体连丝,zhong'xin'ti'lian'si
中心质,zhong'xin'zhi
中心质体,zhong'xin'zhi'ti
中性红,zhong'xing'hong
中央成分,zhong'yang'cheng'fen
种质,zhong'zhi
种质学说,zhong'zhi'xue'shuo
终止子,zhong'zhi'zi
中着丝粒染色体,zhong'zhuo'si'li'ran'se'ti
轴丝,zhou'si
轴突,zhou'tu
轴突运输,zhou'tu'yun'shu
周质,zhou'zhi
周质体,zhou'zhi'ti
主动运输,zhu'dong'yun'shu
珠孔,zhu'kong
珠孔受精,zhu'kong'shou'jing
潴泡,zhu'pao
助细胞,zhu'xi'bao
主缢痕,zhu'yi'hen
转导,zhuan'dao
转分化,zhuan'fen'hua
转化,zhuan'hua
转化基因,zhuan'hua'ji'yin
转化率,zhuan'hua'lv
转化生长因子,zhuan'hua'sheng'zhang'yin'zi
转化体,zhuan'hua'ti
转化灶,zhuan'hua'zao
转基因动物,zhuan'ji'yin'dong'wu
转基因植物,zhuan'ji'yin'zhi'wu
转决定,zhuan'jue'ding
转录,zhuan'lu
转染,zhuan'ran
转染率,zhuan'ran'lv
转移,zhuan'yi
转运小泡,zhuan'yun'xiao'pao
转座子,zhuan'zuo'zi
锥虫蓝,zhui'chong'lan
着丝粒,zhuo'si'li
着丝粒板,zhuo'si'li'ban
着丝粒错分,zhuo'si'li'cuo'fen
着丝粒分裂,zhuo'si'li'fen'lie
着丝粒交换,zhuo'si'li'jiao'huan
着丝粒融合,zhuo'si'li'rong'he
自分泌,zi'fen'mi
自溶,zi'rong
自身抗体,zi'shen'kang'ti
自身免疫,zi'shen'mian'yi
自体受粉,zi'ti'shou'fen
自体受精,zi'ti'shou'jing
紫外光显微镜,zi'wai'guang'xian'wei'jing
滋养核,zi'yang'he
自组装,zi'zu'zhuang
组成性异染色质,zu'cheng'xing'yi'ran'se'zhi
组蛋白八聚体,zu'dan'bai'ba'ju'ti
阻抑物,zu'yi'wu
组织培养,zu'zhi'pei'yang
组织相容性,zu'zhi'xiang'rong'xing
组织型培养,zu'zhi'xing'pei'yang
组织转化,zu'zhi'zhuan'hua
佐剂,zuo'ji
佐细胞,zuo'xi'bao
作用,zuo'yong
