阿伯丁,a'bo'ding
的井香织,de'jing'xiang'zhi
徳山靖彦,de'shan'jing'yan
德山靖彦,de'shan'jing'yan
德丸完,de'wan'wan
德永爱,de'yong'ai
堤希菲尼尔,di'xi'fei'ni'er
荻原秀树,di'yuan'xiu'shu
钿女,dian'nv
电死山猫,dian'si'shan'mao
典韦,dian'wei
町风佳奈,ding'feng'jia'nai
定冈小百合,ding'gang'xiao'bai'he
钉宫理恵,ding'gong'li'hui
钉宫理惠,ding'gong'li'hui
町井美纪,ding'jing'mei'ji
町田义人,ding'tian'yi'ren
町屋翔太,ding'wu'xiang'tai
东地宏树,dong'di'hong'shu
东风揺花,dong'feng'yao'hua
冬海笙子,dong'hai'sheng'zi
东龙一,dong'long'yi
冬马由美,dong'ma'you'mei
东浦步,dong'pu'bu
东山奈央,dong'shan'nai'yang
东堂明,dong'tang'ming
东条加那子,dong'tiao'jia'na'zi
东仪白,dong'yi'bai
东仪征一郎,dong'yi'zheng'yi'lang
东月锡也,dong'yue'xi'ye
董卓仲颖,dong'zhuo'zhong'ying
豆藏,dou'cang
都筑大辅,dou'zhu'da'fu
都筑巧,dou'zhu'qiao
都筑乙女,dou'zhu'yi'nv
渡边菜生子,du'bian'cai'sheng'zi
渡边浩司,du'bian'hao'si
渡边和彦,du'bian'he'yan
渡边加奈子,du'bian'jia'nai'zi
渡边久美子,du'bian'jiu'mei'zi
渡边力,du'bian'li
渡边龙真,du'bian'long'zhen
渡边美佐,du'bian'mei'zuo
渡边美佐子,du'bian'mei'zuo'zi
渡边明乃,du'bian'ming'nai
渡边庆,du'bian'qing
渡边武彦,du'bian'wu'yan
渡边由纪,du'bian'you'ji
渡边友里江,du'bian'you'li'jiang
渡边智美,du'bian'zhi'mei
渡部猛,du'bu'meng
毒岛冴子,du'dao'hu'zi
渡濑惠琉,du'lai'hui'liu
杜诺斯,du'nuo'si
碓冰拓海,dui'bing'tuo'hai
顿宫恭子,dun'gong'gong'zi
多比良健,duo'bi'liang'jian
多嘉山敏江,duo'jia'shan'min'jiang
多田葵,duo'tian'kui
多田野曜平,duo'tian'ye'yao'ping
多绪都,duo'xu'dou
夛中一忠,duo'zhong'yi'zhong
额贺修一,e'he'xiu'yi
二宫文弥,er'gong'wen'mi
二见瑛理子,er'jian'ying'li'zi
二木静美,er'mu'jing'mei
二鸟修一,er'niao'xiu'yi
二鸟真穂,er'niao'zhen'sui
二十面相,er'shi'mian'xiang
二十面相少女,er'shi'mian'xiang'shao'nv
二条亚矢,er'tiao'ya'shi
二又一成,er'you'yi'cheng
法比尤斯,fa'bi'you'si
法兰契斯卡,fa'lan'qi'si'ka
饭岛晶子,fan'dao'jing'zi
饭岛尚人,fan'dao'shang'ren
饭岛杏子,fan'dao'xing'zi
饭岛肇,fan'dao'zhao
饭田道朗,fan'tian'dao'lang
饭田浩志,fan'tian'hao'zhi
饭冢雅弓,fan'zhong'ya'gong
饭冢昭三,fan'zhong'zhao'san
放浪男孩,fang'lang'nan'hai
芳野葛利剑,fang'ye'ge'li'jian
芳野美树,fang'ye'mei'shu
芳野日向子,fang'ye'ri'xiang'zi
菲奥雷,fei'ao'lei
菲尔查德,fei'er'cha'de
肥后诚,fei'hou'cheng
绯鞠,fei'ju
菲莉西娅哈伊德曼,fei'li'xi'ya'ha'yi'de'man
飞鸟空,fei'niao'kong
飞田展男,fei'tian'zhan'nan
飞羽爱美,fei'yu'ai'mei
峰岸由香里,feng'an'you'xiang'li
逢坂大河,feng'ban'da'he
逢坂力,feng'ban'li
逢川亮子,feng'chuan'liang'zi
丰嶋真千子,feng'dao'zhen'qian'zi
凤芳野,feng'fang'ye
风花,feng'hua
风间千景,feng'jian'qian'jing
风间信彦,feng'jian'xin'yan
风间勇刀,feng'jian'yong'dao
丰口惠,feng'kou'hui
风魔小太郎,feng'mo'xiao'tai'lang
丰崎爱生,feng'qi'ai'sheng
豐崎愛生,feng'qi'ai'sheng
凤榊一郎,feng'shen'yi'lang
凤条院圣华,feng'tiao'yuan'sheng'hua
峰香织,feng'xiang'zhi
风音,feng'yin
丰永利行,feng'yong'li'xing
风早翔太,feng'zao'xiang'tai
富坂晶,fu'ban'jing
服部半藏,fu'bu'ban'zang
服部加奈子,fu'bu'jia'nai'zi
服部润,fu'bu'run
服部雄二郎,fu'bu'xiong'er'lang
服部哲,fu'bu'zhe
服部真季,fu'bu'zhen'ji
服部柊十郎,fu'bu'zhong'shi'lang
福岛桂子,fu'dao'gui'zi
福岛润,fu'dao'run
福徳一志,fu'de'yi'zhi
腹黑妹妹控兄记,fu'hei'mei'mei'kong'xiong'ji
福絵美子,fu'hui'mei'zi
富樫美铃,fu'jian'mei'ling
腹筋善之介,fu'jin'shan'zhi'jie
福井美树,fu'jing'mei'shu
福井裕佳梨,fu'jing'yu'jia'li
服卷浩司,fu'juan'hao'si
弗蕾姆哈特,fu'lei'mu'ha'te
伏鲁迪奥,fu'lu'di'ao
富山敬,fu'shan'jing
福山润,fu'shan'run
福山潤,fu'shan'run
富田耕生,fu'tian'geng'sheng
富田晃介,fu'tian'huang'jie
福田晃子,fu'tian'huang'zi
富田沙织,fu'tian'sha'zhi
福田信昭,fu'tian'xin'zhao
福田真太,fu'tian'zhen'tai
副委员长,fu'wei'yuan'zhang
福原耕平,fu'yuan'geng'ping
福圆美里,fu'yuan'mei'li
福原香织,fu'yuan'xiang'zhi
福沢良一,fu'ze'liang'yi
富沢美智恵,fu'ze'mei'zhi'hui
富泽美智惠,fu'ze'mei'zhi'hui
干本雄之,gan'ben'xiong'zhi
