爱的升华,ai'de'sheng'hua
二人转表演艺术创新谈,er'ren'zhuan'biao'yan'yi'shu'chuang'xin'tan
二人转表演艺术的独特性,er'ren'zhuan'biao'yan'yi'shu'de'du'te'xing
二人转传统唱腔汇编,er'ren'zhuan'chuan'tong'chang'qiang'hui'bian
二人转传统剧目汇编,er'ren'zhuan'chuan'tong'ju'mu'hui'bian
二人转传统剧目精华本,er'ren'zhuan'chuan'tong'ju'mu'jing'hua'ben
二人转传统剧目拾遗,er'ren'zhuan'chuan'tong'ju'mu'shi'yi
二人转传统剧目选编,er'ren'zhuan'chuan'tong'ju'mu'xuan'bian
二人转传统剧目资料,er'ren'zhuan'chuan'tong'ju'mu'zi'liao
二人转传统说口汇编,er'ren'zhuan'chuan'tong'shuo'kou'hui'bian
二人转传统作品选,er'ren'zhuan'chuan'tong'zuo'pin'xuan
二人转创演的探索与反思,er'ren'zhuan'chuang'yan'de'tan'suo'yu'fan'si
二人转创作,er'ren'zhuan'chuang'zuo
二人转创作技巧浅谈,er'ren'zhuan'chuang'zuo'ji'qiao'qian'tan
二人转创作之我见,er'ren'zhuan'chuang'zuo'zhi'wo'jian
二人转大赛出任评委,er'ren'zhuan'da'sai'chu'ren'ping'wei
二人转会演,er'ren'zhuan'hui'yan
二人转集,er'ren'zhuan'ji
二人转集成,er'ren'zhuan'ji'cheng
二人转吉剧文集,er'ren'zhuan'ji'ju'wen'ji
二人转曲调介绍,er'ren'zhuan'qu'diao'jie'shao
二人转曲调选集,er'ren'zhuan'qu'diao'xuan'ji
二人转市场,er'ren'zhuan'shi'chang
二人转史料,er'ren'zhuan'shi'liao
二人转说口,er'ren'zhuan'shuo'kou
二人转问题讨论集,er'ren'zhuan'wen'ti'tao'lun'ji
二人转现代作品选,er'ren'zhuan'xian'dai'zuo'pin'xuan
二人转现状丛刊,er'ren'zhuan'xian'zhuang'cong'kan
二人转小丛书,er'ren'zhuan'xiao'cong'shu
二人转小剧场,er'ren'zhuan'xiao'ju'chang
二人转写作知识,er'ren'zhuan'xie'zuo'zhi'shi
二人转选,er'ren'zhuan'xuan
二人转选集,er'ren'zhuan'xuan'ji
二人转延长材料丛书,er'ren'zhuan'yan'chang'cai'liao'cong'shu
二人转研究,er'ren'zhuan'yan'jiu
二人转研究资料,er'ren'zhuan'yan'jiu'zi'liao
二人转研讨,er'ren'zhuan'yan'tao
二人转音乐,er'ren'zhuan'yin'le
二人转音乐,er'ren'zhuan'yin'yue
二人转之乡,er'ren'zhuan'zhi'xiang
二人转作品选,er'ren'zhuan'zuo'pin'xuan
二嫂养鹅,er'sao'yang'e
二上山,er'shang'shan
二十四节气歌,er'shi'si'jie'qi'ge
二十四岁寡妇,er'shi'si'sui'gua'fu
二四板,er'si'ban
二仙得道,er'xian'de'dao
二仙得道大天台,er'xian'de'dao'da'tian'tai
二员将,er'yuan'jiang
发财还家,fa'cai'huan'jia
法库县曲艺团,fa'ku'xian'qu'yi'tuan
发了懵,fa'le'meng
范保华,fan'bao'hua
犯边关,fan'bian'guan
返场演出,fan'chang'yan'chu
犯愁肠,fan'chou'chang
范垂峰,fan'chui'feng
饭店迎春,fan'dian'ying'chun
反樊城,fan'fan'cheng
翻翻身,fan'fan'shen
反叫五更,fan'jiao'wu'geng
樊梨花下山,fan'li'hua'xia'shan
翻码,fan'ma
犯思量,fan'si'liang
翻腕,fan'wan
反西凉,fan'xi'liang
反正对花,fan'zheng'dui'hua
范致生,fan'zhi'sheng
防备老,fang'bei'lao
放悲声,fang'bei'sheng
放风筝,fang'feng'zheng
放光明,fang'guang'ming
放金光,fang'jin'guang
方腊,fang'la
方面的论文百余篇,fang'mian'de'lun'wen'bai'yu'pian
纺棉花,fang'mian'hua
放下去,fang'xia'qu
纺线,fang'xian
放学之后,fang'xue'zhi'hou
飞视学校,fei'shi'xue'xiao
费守疆,fei'shou'jiang
分八字,fen'ba'zi
分包赶角,fen'bao'gan'jiao
粉段子,fen'duan'zi
粉口,fen'kou
分男女,fen'nan'nv
焚香火,fen'xiang'huo
分心刺,fen'xin'ci
锋参军,feng'can'jun
凤凰进村,feng'huang'jin'cun
凤凰山,feng'huang'shan
冯惠琳,feng'hui'lin
冯慧琳,feng'hui'lin
冯奎,feng'kui
冯奎卖妻,feng'kui'mai'qi
风流店,feng'liu'dian
凤求皇,feng'qiu'huang
凤嫂,feng'sao
疯僧扫秦,feng'seng'sao'qin
丰收桥,feng'shou'qiao
风水情,feng'shui'qing
冯延飞,feng'yan'fei
凤仪亭,feng'yi'ting
冯玉华,feng'yu'hua
佛门点缘,fo'men'dian'yuan
扶保,fu'bao
辅导部,fu'dao'bu
付道全,fu'dao'quan
副道权,fu'dao'quan
辅调,fu'diao
富贵九子图,fu'gui'jiu'zi'tu
富贵荣华,fu'gui'rong'hua
付佳琦,fu'jia'qi
付景生,fu'jing'sheng
副科长,fu'ke'zhang
付流水,fu'liu'shui
驸马公,fu'ma'gong
驸马官,fu'ma'guan
驸马令,fu'ma'ling
府门庭,fu'men'ting
副秘书长,fu'mi'shu'zhang
妇女进城,fu'nv'jin'cheng
父女进城,fu'nv'jin'cheng
傅品发,fu'pin'fa
夫妻情深,fu'qi'qing'shen
夫妻争灯,fu'qi'zheng'deng
夫人梦,fu'ren'meng
福瑞家苑售楼中心经理,fu'rui'jia'yuan'shou'lou'zhong'xin'jing'li
傅生,fu'sheng
付淑萍,fu'shu'ping
抚顺曲艺团地方戏队,fu'shun'qu'yi'tuan'di'fang'xi'dui
付素莲,fu'su'lian
复县民间艺术剧团,fu'xian'min'jian'yi'shu'ju'tuan
付小凤,fu'xiao'feng
付晓凤,fu'xiao'feng
富小根与白玉芬,fu'xiao'gen'yu'bai'yu'fen
负心郎,fu'xin'lang
阜新市曲艺团,fu'xin'shi'qu'yi'tuan
扶余县民间艺术团,fu'yu'xian'min'jian'yi'shu'tuan
副主席,fu'zhu'xi
副主席为副理事长,fu'zhu'xi'wei'fu'li'shi'zhang
父子顶嘴,fu'zi'ding'zui
该出手莫出手,gai'chu'shou'mo'chu'shou
改了口,gai'le'kou
盖清和,gai'qing'he
盖扇,gai'shan
盖苏文,gai'su'wen
肝肠断,gan'chang'duan
赶会,gan'hui
甘露寺,gan'lu'si
赶贼兵,gan'zei'bing
纲鉴,gang'jian
刚强有志,gang'qiang'you'zhi
高波,gao'bo
高成借嫂,gao'cheng'jie'sao
高春国,gao'chun'guo
高德峰,gao'de'feng
高殿品,gao'dian'pin
高飞,gao'fei
高凤阁,gao'feng'ge
高富,gao'fu
高福刚,gao'fu'gang
高价姑娘,gao'jia'gu'niang
高俊搬兵,gao'jun'ban'bing
高老庄,gao'lao'zhuang
高连娣,gao'lian'di
高粱红唱手,gao'liang'hong'chang'shou
高茹,gao'ru
高山下,gao'shan'xia
告扇子,gao'shan'zi
高声喝,gao'sheng'he
高声叫,gao'sheng'jiao
高声骂,gao'sheng'ma
高堂老母,gao'tang'lao'mu
高英杰,gao'ying'jie
高永印,gao'yong'yin
高云梯,gao'yun'ti
高兆民,gao'zhao'min
高振奎,gao'zhen'kui
高中兴,gao'zhong'xing
歌唱古代科学家,ge'chang'gu'dai'ke'xue'jia
疙瘩口,ge'da'kou
隔代情仇,ge'dai'qing'chou
戈航,ge'hang
割韭菜,ge'jiu'cai
哥俩好,ge'lia'hao
隔门贤,ge'men'xian
歌迷,ge'mi
割袍断义,ge'pao'duan'yi
葛傻子,ge'sha'zi
葛姗姗,ge'shan'shan
葛素云,ge'su'yun
个体剧场,ge'ti'ju'chang
割尾巴,ge'wei'ba
歌舞小戏,ge'wu'xiao'xi
葛永明,ge'yong'ming
给军属拜年,gei'jun'shu'bai'nian
给你餐,gei'ni'can
跟半截,gen'ban'jie
亘古之谜,gen'gu'zhi'mi
根牙,gen'ya
根由,gen'you
更得宠,geng'de'chong
耿瑛,geng'ying
共产党夸赞走富路,gong'chan'dang'kua'zan'zou'fu'lu
拱肩,gong'jian
宫静,gong'jing
公开发表二人转,gong'kai'fa'biao'er'ren'zhuan
功劳大,gong'lao'da
宫钦科,gong'qin'ke
宫顷科,gong'qing'ke
共同创办,gong'tong'chuang'ban
狗奸臣,gou'jian'chen
勾口,gou'kou
谷柏林,gu'bai'lin
古宝江,gu'bao'jiang
古城会,gu'cheng'hui
古城相会,gu'cheng'xiang'hui
鼓词,gu'ci
古代文豪十大家,gu'dai'wen'hao'shi'da'jia
姑娘的心事,gu'niang'de'xin'shi
姑娘要赔送,gu'niang'yao'pei'song
姑娘要陪送,gu'niang'yao'pei'song
姑娘装,gu'niang'zhuang
古恰之最,gu'qia'zhi'zui
古人名,gu'ren'ming
姑嫂降香,gu'sao'jiang'xiang
姑嫂同心,gu'sao'tong'xin
故事,gu'shi
顾问,gu'wen
谷文月,gu'wen'yue
姑爷钻门坎,gu'ye'zuan'men'kan
顾玉增,gu'yu'zeng
谷振铎,gu'zhen'duo
寡妇难,gua'fu'nan
寡妇思五更,gua'fu'si'wu'geng
挂画,gua'hua
挂心中,gua'xin'zhong
刮旋风,gua'xuan'feng
关宝贵,guan'bao'gui
观不尽,guan'bu'jin
关长荣,guan'chang'rong
管大海,guan'da'hai
关帝庙,guan'di'miao
关东城起大会,guan'dong'cheng'qi'da'hui
关飞,guan'fei
关公盘道,guan'gong'pan'dao
关国杰,guan'guo'jie
关宏明,guan'hong'ming
观画,guan'hua
观花灯,guan'hua'deng
观画楼,guan'hua'lou
关金华,guan'jin'hua
关明,guan'ming
管天姑娘,guan'tian'gu'niang
关王庙,guan'wang'miao
关小飞,guan'xiao'fei
关小平,guan'xiao'ping
官星,guan'xing
观星,guan'xing
观音赐箭,guan'yin'ci'jian
关于二人转,guan'yu'er'ren'zhuan
灌园叟晚逢仙,guan'yuan'sou'wan'feng'xian
关云长,guan'yun'chang
观仔细,guan'zi'xi
逛灯,guang'deng
广电畅想,guang'dian'chang'xiang
光棍哭妻,guang'gun'ku'qi
光棍曲,guang'gun'qu
光荣灯,guang'rong'deng
逛商店,guang'shang'dian
跪埃尘,gui'ai'chen
归朝转,gui'chao'zhuan
跪地上,gui'di'shang
归队,gui'dui
跪父顺母,gui'fu'shun'mu
贵客上门,gui'ke'shang'men
归了天,gui'le'tian
归了正,gui'le'zheng
归梁山,gui'liang'shan
跪溜平,gui'liu'ping
鬼门关,gui'men'guan
归天去,gui'tian'qu
归西天,gui'xi'tian
桂英,gui'ying
柜中缘,gui'zhong'yuan
滚出去吧滚出去,gun'chu'qu'ba'gun'chu'qu
滚地包,gun'di'bao
滚口,gun'kou
滚扇,gun'shan
郭百林,guo'bai'lin
过百年,guo'bai'nian
过板,guo'ban
过草地,guo'cao'di
郭臣埋儿,guo'chen'mai'er
郭德宝,guo'de'bao
过顶绢,guo'ding'juan
郭凤山,guo'feng'shan
蝈蝈吹牛,guo'guo'chui'niu
过河,guo'he
果红稻香,guo'hong'dao'xiang
郭洪鹏,guo'hong'peng
郭鸿玉,guo'hong'yu
国家一级编剧,guo'jia'yi'ji'bian'ju
郭军反奉,guo'jun'fan'feng
过门,guo'men
过生日,guo'sheng'ri
郭文宝,guo'wen'bao
郭晓敏,guo'xiao'min
过小年,guo'xiao'nian
郭笑宇,guo'xiao'yu
郭秀民,guo'xiu'min
郭英臣,guo'ying'chen
果园会,guo'yuan'hui
哈尔滨市民间艺术团,ha'er'bin'shi'min'jian'yi'shu'tuan
哈市,ha'shi
还罢了,hai'ba'le
还不算,hai'bu'suan
海龙县地方戏剧团,hai'long'xian'di'fang'xi'ju'tuan
海伦县民间艺术团,hai'lun'xian'min'jian'yi'shu'tuan
还妻记,hai'qi'ji
还是当姩的大老王,hai'shi'dang'nian'de'da'lao'wang
还有二人转,hai'you'er'ren'zhuan
还有气,hai'you'qi
韩德全,han'de'quan
韩非子,han'fei'zi
韩国利,han'guo'li
韩渐锐,han'jian'rui
寒江,han'jiang
喊落,han'lao
韩明学,han'ming'xue
韩明学徐德明,han'ming'xue'xu'de'ming
寒贫,han'pin
韩青林,han'qing'lin
韩淑梅,han'shu'mei
韩淑双,han'shu'shuang
韩树祥,han'shu'xiang
韩湘子讨封,han'xiang'zi'tao'feng
韩小黎,han'xiao'li
韩笑伟,han'xiao'wei
韩艳秋,han'yan'qiu
韩玉学,han'yu'xue
喊冤枉,han'yuan'wang
喊赞,han'zan
韩振,han'zhen
韩忠文,han'zhong'wen
韩子平,han'zi'ping
好恩情,hao'en'qing
郝国忱,hao'guo'chen
好汉男,hao'han'nan
郝赫,hao'he
好和歹,hao'he'dai
好后勤,hao'hou'qin
好婆家,hao'po'jia
好凄凉,hao'qi'liang
郝维国,hao'wei'guo
好心肠,hao'xin'chang
好心伤,hao'xin'shang
好心田,hao'xin'tian
郝摇旗杀妻,hao'yao'qi'sha'qi
郝云亭,hao'yun'ting
耗子告狸猫,hao'zi'gao'li'mao
耗子娶猫,hao'zi'qu'mao
耗子摔跤,hao'zi'shuai'jiao
河北梆子,he'bei'bang'zi
河伯娶妇,he'bo'qu'fu
何苍劲,he'cang'jin
合唱,he'chang
何处不风流,he'chu'bu'feng'liu
何川,he'chuan
喝个光,he'ge'guang
何凯旋,he'kai'xuan
何连珍,he'lian'zhen
和平大戏院,he'ping'da'xi'yuan
何庆魁,he'qing'kui
何邱佳,he'qiu'jia
和尚思凡,he'shang'si'fan
何氏卖身,he'shi'mai'shen
何为证,he'wei'zheng
何喜中,he'xi'zhong
和弦,he'xian
贺小刚,he'xiao'gang
何晓影,he'xiao'ying
何晓颖,he'xiao'ying
和谐社会,he'xie'she'hui
何艳,he'yan
何彦杰,he'yan'jie
何宇松,he'yu'song
黑板,hei'ban
黑包公,hei'bao'gong
黑虎出山,hei'hu'chu'shan
黑龙江北方文艺出版社,hei'long'jiang'bei'fang'wen'yi'chu'ban'she
黑龙江二人转史志,hei'long'jiang'er'ren'zhuan'shi'zhi
黑龙江卷,hei'long'jiang'juan
黑龙江省和东三省,hei'long'jiang'sheng'he'dong'san'sheng
黑龙江省民间艺术剧院地方戏队,hei'long'jiang'sheng'min'jian'yi'shu'ju'yuan'di'fang'xi'dui
黑龙江省青少年,hei'long'jiang'sheng'qing'shao'nian
黑龙江省戏剧创作中心签约作家,hei'long'jiang'sheng'xi'ju'chuang'zuo'zhong'xin'qian'yue'zuo'jia
黑龙江省戏曲学校地方戏科,hei'long'jiang'sheng'xi'qu'xue'xiao'di'fang'xi'ke
黑龙江省艺术界名人录,hei'long'jiang'sheng'yi'shu'jie'ming'ren'lu
黑龙江省艺术研究所,hei'long'jiang'sheng'yi'shu'yan'jiu'suo
黑龙江省艺术职业学院,hei'long'jiang'sheng'yi'shu'zhi'ye'xue'yuan
黑龙江省作家协会会员,hei'long'jiang'sheng'zuo'jia'xie'hui'hui'yuan
黑山县地方戏剧团,hei'shan'xian'di'fang'xi'ju'tuan
黑五更,hei'wu'geng
黑旋风,hei'xuan'feng
狠毒记,hen'du'ji
狠心狼,hen'xin'lang
恨只恨,hen'zhi'hen
横摆柳,heng'bai'liu
横拉扇,heng'la'shan
横抛玉子,heng'pao'yu'zi
横批贴写,heng'pi'tie'xie
哼一声,heng'yi'sheng
红板,hong'ban
红榜招贤,hong'bang'zhao'xian
轰动效应,hong'dong'xiao'ying
红岗区,hong'gang'qu
红岗区文化曲艺骨干,hong'gang'qu'wen'hua'qu'yi'gu'gan
红孩,hong'hai
洪奎相亲,hong'kui'xiang'qin
红绫被,hong'ling'bei
红柳子,hong'liu'zi
红娘下书,hong'niang'xia'shu
红色战士,hong'se'zhan'shi
哄下堂,hong'xia'tang
红杏出墙,hong'xing'chu'qiang
鸿雁捎书,hong'yan'shao'shu
弘扬民间文化,hong'yang'min'jian'wen'hua
红叶岭,hong'ye'ling
红月娥做梦,hong'yue'e'zuo'meng
红装奇志,hong'zhuang'qi'zhi
后边行,hou'bian'xing
候补县令,hou'bu'xian'ling
侯殿君,hou'dian'jun
后翻扇,hou'fan'shan
后花园,hou'hua'yuan
后记,hou'ji
猴精,hou'jing
后抛绢,hou'pao'juan
后碰玉子,hou'peng'yu'zi
后绕花,hou'rao'hua
后甩花,hou'shuai'hua
后堂中,hou'tang'zhong
后踢步,hou'ti'bu
侯显德,hou'xian'de
胡大婶惊梦,hu'da'shen'jing'meng
胡迪打秦桧,hu'di'da'qin'hui
胡迪骂阎,hu'di'ma'yan
胡迪游地府,hu'di'you'di'fu
蝴蝶杯,hu'die'bei
蝴蝶梦,hu'die'meng
蝴蝶飘,hu'die'piao
胡胡腔,hu'hu'qiang
呼家楠,hu'jia'nan
胡景岐,hu'jing'qi
胡景歧二人转演出作品选,hu'jing'qi'er'ren'zhuan'yan'chu'zuo'pin'xuan
呼兰县莲花合作剧团,hu'lan'xian'lian'hua'he'zuo'ju'tuan
呼兰县民间艺术团,hu'lan'xian'min'jian'yi'shu'tuan
湖南广播电视艺术团,hu'nan'guang'bo'dian'shi'yi'shu'tuan
糊弄妈妈五更,hu'nong'ma'ma'wu'geng
忽培元,hu'pei'yuan
糊涂县官,hu'tu'xian'guan
呼延庆打擂,hu'yan'qing'da'lei
胡永丹,hu'yong'dan
花梆步,hua'bang'bu
华兵,hua'bing
化出化入,hua'chu'hua'ru
化出化入分包赶角,hua'chu'hua'ru'fen'bao'gan'jiao
划大圈,hua'da'quan
画党史,hua'dang'shi
花棍,hua'gun
画家史,hua'jia'shi
话剧院,hua'ju'yuan
花口,hua'kou
花魁游街,hua'kui'you'jie
哗楞楞,hua'leng'leng
画眉,hua'mei
华容道,hua'rong'dao
画纱灯,hua'sha'deng
画扇面,hua'shan'mian
花为媒,hua'wei'mei
花园会书生,hua'yuan'hui'shu'sheng
画中人,hua'zhong'ren
化妆,hua'zhuang
画妆师,hua'zhuang'shi
花子拾金,hua'zi'shi'jin
怀里装,huai'li'zhuang
怀孕以后,huai'yun'yi'hou
怀中抱,huai'zhong'bao
还不起,huan'bu'qi
换亲记,huan'qin'ji
换媳妇,huan'xi'fu
黄爱玉上坟,huang'ai'yu'shang'fen
荒草坡,huang'cao'po
黄福军,huang'fu'jun
黄广贞,huang'guang'zhen
黄国庆,huang'guo'qing
荒旱连年,huang'han'lian'nian
晃肩,huang'jian
黄健,huang'jian
黄剑,huang'jian
黄金定下山,huang'jin'ding'xia'shan
黄老打犬,huang'lao'da'quan
黄老邪,huang'lao'xie
慌了神,huang'le'shen
黄启山,huang'qi'shan
黄庆杰,huang'qing'jie
黄世俊,huang'shi'jun
黄氏女,huang'shi'nv
黄氏女游阴,huang'shi'nv'you'yin
黄淑兰,huang'shu'lan
黄五,huang'wu
黄香温孝父,huang'xiang'wen'xiao'fu
黄晓娟,huang'xiao'juan
晃腰,huang'yao
黄子灵,huang'zi'ling
汇报工作,hui'bao'gong'zuo
回杯记,hui'bei'ji
回春饭店,hui'chun'fan'dian
回岗岭,hui'gang'ling
会姑爷,hui'gu'ye
回过身,hui'guo'shen
回过身来,hui'guo'shen'lai
回家,hui'jia
回家门,hui'jia'men
回家转,hui'jia'zhuan
回老家,hui'lao'jia
回门庭,hui'men'ting
会内职务,hui'nei'zhi'wu
回头看,hui'tou'kan
回旋绢,hui'xuan'juan
会员,hui'yuan
会云雨,hui'yun'yu
回转,hui'zhuan
昏沉沉,hun'chen'chen
混官断,hun'guan'duan
荤口,hun'kou
浑门,hun'men
昏迷处,hun'mi'chu
浑身冷,hun'shen'leng
获表演一等奖,huo'biao'yan'yi'deng'jiang
获奖曲艺新作选,huo'jiang'qu'yi'xin'zuo'xuan
获奖曲艺作品选,huo'jiang'qu'yi'zuo'pin'xuan
获奖作品选,huo'jiang'zuo'pin'xuan
火苗,huo'miao
活命难,huo'ming'nan
火烧战船,huo'shao'zhan'chuan
获省厅级以上,huo'sheng'ting'ji'yi'shang
活性命,huo'xing'ming
火焰山,huo'yan'shan
霍振邦,huo'zhen'bang
获中国曹禺戏剧奖,huo'zhong'guo'cao'yu'xi'ju'jiang
冀立昌,ji'li'chang
吉林二人转选,ji'lin'er'ren'zhuan'xuan
吉林省二人转工作记事,ji'lin'sheng'er'ren'zhuan'gong'zuo'ji'shi
吉林省二人转研究小组,ji'lin'sheng'er'ren'zhuan'yan'jiu'xiao'zu
吉林省二人转艺术家协会,ji'lin'sheng'er'ren'zhuan'yi'shu'jia'xie'hui
吉林省吉剧团附设二人转实验队,ji'lin'sheng'ji'ju'tuan'fu'she'er'ren'zhuan'shi'yan'dui
吉林省民间艺术团,ji'lin'sheng'min'jian'yi'shu'tuan
吉林省戏曲学校地方戏科,ji'lin'sheng'xi'qu'xue'xiao'di'fang'xi'ke
吉林省艺术研究所,ji'lin'sheng'yi'shu'yan'jiu'suo
吉林苏兰县,ji'lin'su'lan'xian
吉林戏剧剧团,ji'lin'xi'ju'ju'tuan
冀年永,ji'nian'yong
妓女悲秋,ji'nv'bei'qiu
妓女诉苦,ji'nv'su'ku
几千冬,ji'qian'dong
集群网,ji'qun'wang
及时雨,ji'shi'yu
纪书记私访,ji'shu'ji'si'fang
祭天,ji'tian
记下善人,ji'xia'shan'ren
纪晓风,ji'xiao'feng
记心间,ji'xin'jian
记心中,ji'xin'zhong
夹白,jia'bai
假爹,jia'die
贾洪园,jia'hong'yuan
假郎中,jia'lang'zhong
贾连吉,jia'lian'ji
家门口唱手,jia'men'kou'chang'shou
家门庭,jia'men'ting
贾赦,jia'she
贾万生,jia'wan'sheng
假戏真情,jia'xi'zhen'qing
贾小七,jia'xiao'qi
贾秀兰,jia'xiu'lan
家业兴,jia'ye'xing
贾玉山,jia'yu'shan
贾玉珍,jia'yu'zhen
挟玉子,jia'yu'zi
架子曲,jia'zi'qu
拣柴,jian'chai
见耗子告狸猫,jian'hao'zi'gao'li'mao
剪棉花,jian'mian'hua
拣棉花,jian'mian'hua
肩上扭,jian'shang'niu
肩下掏花,jian'xia'tao'hua
见阎王,jian'yan'wang
见杨七郎打擂,jian'yang'qi'lang'da'lei
间走场,jian'zou'chang
姜宝军,jiang'bao'jun
姜宝库,jiang'bao'ku
讲编剧,jiang'bian'ju
疆场上,jiang'chang'shang
姜成,jiang'cheng
姜大青,jiang'da'qing
江东记,jiang'dong'ji
姜凤才,jiang'feng'cai
姜昆,jiang'kun
姜清文,jiang'qing'wen
江上情歌,jiang'shang'qing'ge
姜太公卖面,jiang'tai'gong'mai'mian
姜威,jiang'wei
降下方,jiang'xia'fang
降香,jiang'xiang
姜小利,jiang'xiao'li
姜须搬兵,jiang'xu'ban'bing
姜须进账调,jiang'xu'jin'zhang'diao
姜丫,jiang'ya
讲一遍,jiang'yi'bian
姜永山,jiang'yong'shan
姜振武,jiang'zhen'wu
姜振彦,jiang'zhen'yan
焦百东,jiao'bai'dong
叫板,jiao'ban
交叉板,jiao'cha'ban
焦春方,jiao'chun'fang
叫夫郎,jiao'fu'lang
焦桂瑛,jiao'gui'ying
焦桂英,jiao'gui'ying
叫何名,jiao'he'ming
叫几声,jiao'ji'sheng
叫了一声,jiao'le'yi'sheng
叫连声,jiao'lian'sheng
交流口,jiao'liu'kou
焦平,jiao'ping
叫声,jiao'sheng
叫声狂,jiao'sheng'kuang
交手花,jiao'shou'hua
叫五更,jiao'wu'geng
叫喳喳,jiao'zha'zha
饺子掐,jiao'zi'qia
结仇冤,jie'chou'yuan
皆大欢喜,jie'da'huan'xi
借东风,jie'dong'feng
接儿媳,jie'er'xi
解疙瘩,jie'ge'da
接姑娘,jie'gu'niang
接闺女,jie'gui'nv
截江夺斗,jie'jiang'duo'dou
姐俩顶嘴,jie'lia'ding'zui
解罗裙带,jie'luo'qun'dai
借牛吹,jie'niu'chui
接婆婆,jie'po'po
接手间,jie'shou'jian
接手中,jie'shou'zhong
结下深厚的友谊,jie'xia'shen'hou'de'you'yi
结姻缘,jie'yin'yuan
接着听,jie'zhe'ting
借种风波,jie'zhong'feng'bo
紧板,jin'ban
进城,jin'cheng
今古奇观,jin'gu'qi'guan
金贵,jin'gui
金猴打鬼,jin'hou'da'gui
金环记,jin'huan'ji
锦江红,jin'jiang'hong
锦江山,jin'jiang'shan
金精戏窦,jin'jing'xi'dou
靳蕾,jin'lei
金连富,jin'lian'fu
金陵府,jin'ling'fu
金龙盘玉柱,jin'long'pan'yu'zhu
金銮殿,jin'luan'dian
金明吉,jin'ming'ji
金牌调,jin'pai'diao
金牌司仪,jin'pai'si'yi
金平,jin'ping
金桥,jin'qiao
金秋硕果满枝头,jin'qiu'shuo'guo'man'zhi'tou
金秋月,jin'qiu'yue
金山寺,jin'shan'si
金士贵,jin'shi'gui
金手绢,jin'shou'juan
金鼠出洞,jin'shu'chu'dong
金童发配,jin'tong'fa'pei
金万秀,jin'wan'xiu
紧围裙带,jin'wei'qun'dai
锦绣家乡,jin'xiu'jia'xiang
金叶腾飞,jin'ye'teng'fei
进一言,jin'yi'yan
金吟,jin'yin
金志刚,jin'zhi'gang
锦州市曲艺团地方戏队,jin'zhou'shi'qu'yi'tuan'di'fang'xi'dui
经百君,jing'bai'jun
景波,jing'bo
敬德访白袍,jing'de'fang'bai'pao
惊上苍,jing'shang'cang
井台会,jing'tai'hui
九反朝阳,jiu'fan'chao'yang
救了我,jiu'le'wo
九腔十八调,jiu'qiang'shi'ba'diao
九腔十八调七十二咳咳,jiu'qiang'shi'ba'diao'qi'shi'er'hai'hai
九区,jiu'qu
酒一盅,jiu'yi'zhong
九子图,jiu'zi'tu
锯缸调,ju'gang'diao
鞠家卖女,ju'jia'mai'nv
聚义厅,ju'yi'ting
剧院演员,ju'yuan'yan'yuan
巨著慰苍天,ju'zhu'wei'cang'tian
剧作家,ju'zuo'jia
捐宝,juan'bao
卷席筒,juan'xi'tong
绝活,jue'huo
君臣散,jun'chen'san
俊俏郎,jun'qiao'lang
君王伴,jun'wang'ban
君王亲尝汤药,jun'wang'qin'chang'tang'yao
军营藏娇,jun'ying'cang'jiao
开场码儿,kai'chang'ma'er
开店,kai'dian
开发炒作,kai'fa'chao'zuo
开发区科技大楼,kai'fa'qu'ke'ji'da'lou
开虎口,kai'hu'kou
开金口,kai'jin'kou
开口唱,kai'kou'chang
开了腔,kai'le'qiang
开了声,kai'le'sheng
开门吧,kai'men'ba
开门双,kai'men'shuang
开明姑娘,kai'ming'gu'niang
开山救母,kai'shan'jiu'mu
开双扇,kai'shuang'shan
开堂码,kai'tang'ma
开庭之前,kai'ting'zhi'qian
开心时刻,kai'xin'shi'ke
开言道,kai'yan'dao
开原县曲艺团,kai'yuan'xian'qu'yi'tuan
看罢,kan'ba
看罢多时,kan'ba'duo'shi
看财奴,kan'cai'nu
砍柴郎,kan'chai'lang
看春花,kan'chun'hua
看得真,kan'de'zhen
看分明,kan'fen'ming
阚峰,kan'feng
看秧歌,kan'yang'ge
看一遍,kan'yi'bian
看一看,kan'yi'kan
看仔细,kan'zi'xi
抗活的哥们吃犒劳,kang'huo'de'ge'men'chi'kao'lao
扛活难,kang'huo'nan
慷慨,kang'kai
抗联夜袭肇源城,kang'lian'ye'xi'zhao'yuan'cheng
康平县评剧团二人转队,kang'ping'xian'ping'ju'tuan'er'ren'zhuan'dui
康志波,kang'zhi'bo
靠不住,kao'bu'zhu
拷红,kao'hong
靠山调,kao'shan'diao
可安宁,ke'an'ning
课本剧,ke'ben'ju
可不行,ke'bu'xing
科诨,ke'hun
可怜的秋香,ke'lian'de'qiu'xiang
柯美数码,ke'mei'shu'ma
可叹我,ke'tan'wo
可心人,ke'xin'ren
科研迷,ke'yan'mi
客爷叫,ke'ye'jiao
孔明吊孝,kong'ming'diao'xiao
孔祥帅,kong'xiang'shuai
空中悬,kong'zhong'xuan
口内含,kou'nei'han
口相,kou'xiang
寇准斗潘妃,kou'zhun'dou'pan'fei
口尊,kou'zun
哭不的,ku'bu'de
哭苍天,ku'cang'tian
哭柳,ku'liu
哭糜子,ku'mi'zi
苦中苦,ku'zhong'ku
