八月酉,ba'yue'you
事业宫自化禄,shi'ye'gong'zi'hua'lu
事业宫自化权,shi'ye'gong'zi'hua'quan
事业未竟,shi'ye'wei'jing
十一月子,shi'yi'yue'zi
十月亥,shi'yue'hai
石中隐玉,shi'zhong'yin'yu
石中隐玉格,shi'zhong'yin'yu'ge
寿星入庙,shou'xing'ru'miao
寿星入庙格,shou'xing'ru'miao'ge
守正待机,shou'zheng'dai'ji
戍狗,shu'gou
霜降,shuang'jiang
双禄朝垣,shuang'lu'chao'yuan
双禄朝垣格,shuang'lu'chao'yuan'ge
双禄夹命,shuang'lu'jia'ming
双禄夹命格,shuang'lu'jia'ming'ge
水地比,shui'di'bi
水风井,shui'feng'jing
水火既济,shui'huo'ji'ji
水克火,shui'ke'huo
水雷屯,shui'lei'tun
水山蹇,shui'shan'jian
水生木,shui'sheng'mu
水天需,shui'tian'xu
水泽节,shui'ze'jie
顺势而止,shun'shi'er'zhi
顺时依势,shun'shi'yi'shi
顺天依时,shun'tian'yi'shi
顺天应人,shun'tian'ying'ren
巳亥相冲,si'hai'xiang'chong
四化,si'hua
四化星,si'hua'xing
巳蛇,si'she
四象生八卦,si'xiang'sheng'ba'gua
四月巳,si'yue'si
四柱八字,si'zhu'ba'zi
松柏木,song'bai'mu
讼卦,song'gua
随卦,sui'gua
岁建,sui'jian
岁建星,sui'jian'xing
岁破,sui'po
岁破星,sui'po'xing
岁前十二星,sui'qian'shi'er'xing
岁驲,sui'ri
岁驲星,sui'ri'xing
随时变通,sui'shi'bian'tong
损卦,sun'gua
损上益下,sun'shang'yi'xia
损益制衡,sun'yi'zhi'heng
台辅,tai'fu
台辅星,tai'fu'xing
泰卦,tai'gua
太极生两仪,tai'ji'sheng'liang'yi
太阳,tai'yang
太阳星,tai'yang'xing
太阴,tai'yin
太阴星,tai'yin'xing
贪火相逢,tan'huo'xiang'feng
贪火相逢格,tan'huo'xiang'feng'ge
贪狼,tan'lang
贪狼星,tan'lang'xing
贪铃朝垣,tan'ling'chao'yuan
贪铃朝垣格,tan'ling'chao'yuan'ge
贪铃相逢,tan'ling'xiang'feng
贪铃相逢格,tan'ling'xiang'feng'ge
贪武同行,tan'wu'tong'hang
贪武同行格,tan'wu'tong'hang'ge
天才,tian'cai
天才星,tian'cai'xing
天厨,tian'chu
天厨星,tian'chu'xing
天德,tian'de
天德星,tian'de'xing
天地否,tian'di'fou
天风姤,tian'feng'gou
天府,tian'fu
天福,tian'fu
天府朝垣,tian'fu'chao'yuan
天府朝垣格,tian'fu'chao'yuan'ge
天府星,tian'fu'xing
天福星,tian'fu'xing
天干,tian'gan
天干地支,tian'gan'di'zhi
天干四化表,tian'gan'si'hua'biao
天干相冲,tian'gan'xiang'chong
天干相合,tian'gan'xiang'he
天官,tian'guan
天官星,tian'guan'xing
天贵,tian'gui
天贵星,tian'gui'xing
天河水,tian'he'shui
天火同人,tian'huo'tong'ren
天机,tian'ji
天机星,tian'ji'xing
天空,tian'kong
天空星,tian'kong'xing
天哭,tian'ku
天哭星,tian'ku'xing
天魁,tian'kui
天魁星,tian'kui'xing
天雷无妄,tian'lei'wu'wang
天梁,tian'liang
天梁星,tian'liang'xing
天马,tian'ma
天马星,tian'ma'xing
天人合一,tian'ren'he'yi
天煞,tian'sha
天煞星,tian'sha'xing
天山遁,tian'shan'dun
天伤,tian'shang
天上火,tian'shang'huo
天伤星,tian'shang'xing
天使,tian'shi
天使星,tian'shi'xing
天寿,tian'shou
天寿星,tian'shou'xing
天水讼,tian'shui'song
天同,tian'tong
天同星,tian'tong'xing
天巫,tian'wu
天巫星,tian'wu'xing
天喜,tian'xi
天喜星,tian'xi'xing
天下第一神数,tian'xia'di'yi'shen'shu
天下有风,tian'xia'you'feng
天相,tian'xiang
天相星,tian'xiang'xing
天刑,tian'xing
天刑星,tian'xing'xing
天虚,tian'xu
天虚星,tian'xu'xing
天姚,tian'yao
天姚星,tian'yao'xing
天乙拱命,tian'yi'gong'ming
天乙拱命格,tian'yi'gong'ming'ge
天月,tian'yue
天钺,tian'yue
天月星,tian'yue'xing
天钺星,tian'yue'xing
天泽履,tian'ze'lv
田宅宫,tian'zhai'gong
田宅宫化忌,tian'zhai'gong'hua'ji
田宅宫化科,tian'zhai'gong'hua'ke
田宅宫化禄,tian'zhai'gong'hua'lu
田宅宫化权,tian'zhai'gong'hua'quan
田宅宫自化,tian'zhai'gong'zi'hua
田宅宫自化忌,tian'zhai'gong'zi'hua'ji
田宅宫自化科,tian'zhai'gong'zi'hua'ke
田宅宫自化禄,tian'zhai'gong'zi'hua'lu
田宅宫自化权,tian'zhai'gong'zi'hua'quan
同人卦,tong'ren'gua
土克水,tu'ke'shui
土生金,tu'sheng'jin
屯卦,tun'gua
陀罗,tuo'luo
陀罗星,tuo'luo'xing
万物有节,wan'wu'you'jie
亡神,wang'shen
亡神星,wang'shen'xing
旺相休囚,wang'xiang'xiu'qiu
未济卦,wei'ji'gua
未羊,wei'yang
文昌,wen'chang
文昌星,wen'chang'xing
文桂文华,wen'gui'wen'hua
文桂文华格,wen'gui'wen'hua'ge
文梁振纪,wen'liang'zhen'ji
文梁振纪格,wen'liang'zhen'ji'ge
文曲,wen'qu
文曲星,wen'qu'xing
稳重图变,wen'zhong'tu'bian
戊辰,wu'chen
五大神数,wu'da'shen'shu
戊癸化火,wu'gui'hua'huo
无极生太极,wu'ji'sheng'tai'ji
午马,wu'ma
戊年生人,wu'nian'sheng'ren
武曲,wu'qu
武曲守垣,wu'qu'shou'yuan
武曲守垣格,wu'qu'shou'yuan'ge
武曲星,wu'qu'xing
屋上土,wu'shang'tu
戊申,wu'shen
五术,wu'shu
戊贪阴弼机,wu'tan'yin'bi'ji
无妄而得,wu'wang'er'de
无妄卦,wu'wang'gua
戊午,wu'wu
戊戌,wu'xu
戊寅,wu'yin
五月午,wu'yue'wu
戊子,wu'zi
喜神,xi'shen
息神,xi'shen
喜神星,xi'shen'xing
息神星,xi'shen'xing
夏季火当令,xia'ji'huo'dang'ling
夏至,xia'zhi
咸池,xian'chi
咸池星,xian'chi'xing
咸卦,xian'gua
险阻在前,xian'zu'zai'qian
相互感应,xiang'hu'gan'ying
相克,xiang'ke
相生,xiang'sheng
小畜卦,xiao'chu'gua
小过卦,xiao'guo'gua
小寒,xiao'han
小耗,xiao'hao
小耗星,xiao'hao'xing
小满,xiao'man
小暑,xiao'shu
小雪,xiao'xue
辛丑,xin'chou
辛亥,xin'hai
辛巨阳曲昌,xin'ju'yang'qu'chang
辛卯,xin'mao
辛年生人,xin'nian'sheng'ren
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
行动有度,xing'dong'you'du
行险而顺,xing'xian'er'shun
行险用险,xing'xian'yong'xian
兄弟宫,xiong'di'gong
兄弟宫化忌,xiong'di'gong'hua'ji
兄弟宫化忌入财帛宫,xiong'di'gong'hua'ji'ru'cai'bo'gong
兄弟宫化忌入福德宫,xiong'di'gong'hua'ji'ru'fu'de'gong
兄弟宫化忌入父母宫,xiong'di'gong'hua'ji'ru'fu'mu'gong
兄弟宫化忌入夫妻宫,xiong'di'gong'hua'ji'ru'fu'qi'gong
兄弟宫化忌入官禄宫,xiong'di'gong'hua'ji'ru'guan'lu'gong
兄弟宫化忌入疾厄宫,xiong'di'gong'hua'ji'ru'ji'e'gong
兄弟宫化忌入交友宫,xiong'di'gong'hua'ji'ru'jiao'you'gong
兄弟宫化忌入命宫,xiong'di'gong'hua'ji'ru'ming'gong
兄弟宫化忌入奴仆宫,xiong'di'gong'hua'ji'ru'nu'pu'gong
兄弟宫化忌入迁移宫,xiong'di'gong'hua'ji'ru'qian'yi'gong
兄弟宫化忌入事业宫,xiong'di'gong'hua'ji'ru'shi'ye'gong
兄弟宫化忌入田宅宫,xiong'di'gong'hua'ji'ru'tian'zhai'gong
兄弟宫化忌入子女宫,xiong'di'gong'hua'ji'ru'zi'nv'gong
兄弟宫化科,xiong'di'gong'hua'ke
兄弟宫化科入财帛宫,xiong'di'gong'hua'ke'ru'cai'bo'gong
兄弟宫化科入福德宫,xiong'di'gong'hua'ke'ru'fu'de'gong
兄弟宫化科入父母宫,xiong'di'gong'hua'ke'ru'fu'mu'gong
兄弟宫化科入夫妻宫,xiong'di'gong'hua'ke'ru'fu'qi'gong
兄弟宫化科入官禄宫,xiong'di'gong'hua'ke'ru'guan'lu'gong
兄弟宫化科入疾厄宫,xiong'di'gong'hua'ke'ru'ji'e'gong
兄弟宫化科入交友宫,xiong'di'gong'hua'ke'ru'jiao'you'gong
兄弟宫化科入命宫,xiong'di'gong'hua'ke'ru'ming'gong
兄弟宫化科入奴仆宫,xiong'di'gong'hua'ke'ru'nu'pu'gong
兄弟宫化科入迁移宫,xiong'di'gong'hua'ke'ru'qian'yi'gong
兄弟宫化科入事业宫,xiong'di'gong'hua'ke'ru'shi'ye'gong
兄弟宫化科入田宅宫,xiong'di'gong'hua'ke'ru'tian'zhai'gong
兄弟宫化科入子女宫,xiong'di'gong'hua'ke'ru'zi'nv'gong
兄弟宫化禄,xiong'di'gong'hua'lu
兄弟宫化禄入财帛宫,xiong'di'gong'hua'lu'ru'cai'bo'gong
兄弟宫化禄入福德宫,xiong'di'gong'hua'lu'ru'fu'de'gong
兄弟宫化禄入父母宫,xiong'di'gong'hua'lu'ru'fu'mu'gong
兄弟宫化禄入夫妻宫,xiong'di'gong'hua'lu'ru'fu'qi'gong
兄弟宫化禄入官禄宫,xiong'di'gong'hua'lu'ru'guan'lu'gong
兄弟宫化禄入疾厄宫,xiong'di'gong'hua'lu'ru'ji'e'gong
兄弟宫化禄入交友宫,xiong'di'gong'hua'lu'ru'jiao'you'gong
兄弟宫化禄入命宫,xiong'di'gong'hua'lu'ru'ming'gong
兄弟宫化禄入奴仆宫,xiong'di'gong'hua'lu'ru'nu'pu'gong
兄弟宫化禄入迁移宫,xiong'di'gong'hua'lu'ru'qian'yi'gong
兄弟宫化禄入事业宫,xiong'di'gong'hua'lu'ru'shi'ye'gong
兄弟宫化禄入田宅宫,xiong'di'gong'hua'lu'ru'tian'zhai'gong
兄弟宫化禄入子女宫,xiong'di'gong'hua'lu'ru'zi'nv'gong
兄弟宫化权,xiong'di'gong'hua'quan
兄弟宫化权入财帛宫,xiong'di'gong'hua'quan'ru'cai'bo'gong
兄弟宫化权入福德宫,xiong'di'gong'hua'quan'ru'fu'de'gong
兄弟宫化权入父母宫,xiong'di'gong'hua'quan'ru'fu'mu'gong
兄弟宫化权入夫妻宫,xiong'di'gong'hua'quan'ru'fu'qi'gong
兄弟宫化权入官禄宫,xiong'di'gong'hua'quan'ru'guan'lu'gong
兄弟宫化权入疾厄宫,xiong'di'gong'hua'quan'ru'ji'e'gong
兄弟宫化权入交友宫,xiong'di'gong'hua'quan'ru'jiao'you'gong
兄弟宫化权入命宫,xiong'di'gong'hua'quan'ru'ming'gong
兄弟宫化权入奴仆宫,xiong'di'gong'hua'quan'ru'nu'pu'gong
兄弟宫化权入迁移宫,xiong'di'gong'hua'quan'ru'qian'yi'gong
兄弟宫化权入事业宫,xiong'di'gong'hua'quan'ru'shi'ye'gong
兄弟宫化权入田宅宫,xiong'di'gong'hua'quan'ru'tian'zhai'gong
兄弟宫化权入子女宫,xiong'di'gong'hua'quan'ru'zi'nv'gong
兄弟宫自化,xiong'di'gong'zi'hua
兄弟宫自化忌,xiong'di'gong'zi'hua'ji
兄弟宫自化科,xiong'di'gong'zi'hua'ke
兄弟宫自化禄,xiong'di'gong'zi'hua'lu
兄弟宫自化权,xiong'di'gong'zi'hua'quan
雄宿朝垣,xiong'su'chao'yuan
雄宿朝垣格,xiong'su'chao'yuan'ge
兄友线,xiong'you'xian
需卦,xu'gua
蓄养待进,xu'yang'dai'jin
巽卦,xun'gua
旬空,xun'kong
旬空星,xun'kong'xing
巽为风,xun'wei'feng
阳梁昌禄,yang'liang'chang'lu
阳梁昌禄格,yang'liang'chang'lu'ge
杨柳木,yang'liu'mu
爻辞,yao'ci
乙丑,yi'chou
乙庚化金,yi'geng'hua'jin
益卦,yi'gua
颐卦,yi'gua
乙亥,yi'hai
乙机梁紫阴,yi'ji'liang'zi'yin
易理,yi'li
乙卯,yi'mao
乙年生人,yi'nian'sheng'ren
一生二,yi'sheng'er
乙巳,yi'si
乙未,yi'wei
乙辛冲,yi'xin'chong
易学,yi'xue
依义顺时,yi'yi'shun'shi
乙酉,yi'you
异中求同,yi'zhong'qiu'tong
寅虎,yin'hu
阴煞,yin'sha
阴煞星,yin'sha'xing
寅申相冲,yin'shen'xiang'chong
阴阳五行,yin'yang'wu'xing
应时而变,ying'shi'er'bian
英星入庙,ying'xing'ru'miao
英星入庙格,ying'xing'ru'miao'ge
右弼,you'bi
右弼星,you'bi'xing
酉鸡,you'ji
寓动于顺,yu'dong'yu'shun
豫卦,yu'gua
雨水,yu'shui
月朗天门,yue'lang'tian'men
月朗天门格,yue'lang'tian'men'ge
月落亥宫,yue'luo'hai'gong
月落亥宫格,yue'luo'hai'gong'ge
月煞,yue'sha
月煞星,yue'sha'xing
月生沧海,yue'sheng'cang'hai
月生沧海格,yue'sheng'cang'hai'ge
灾煞,zai'sha
灾煞星,zai'sha'xing
泽地萃,ze'di'cui
泽风大过,ze'feng'da'guo
泽火革,ze'huo'ge
泽雷随,ze'lei'sui
泽山咸,ze'shan'xian
泽水困,ze'shui'kun
泽天夬,ze'tian'jue
震卦,zhen'gua
振疲起衰,zhen'pi'qi'shuai
震为雷,zhen'wei'lei
拯救涣散,zheng'jiu'huan'san
正月寅,zheng'yue'yin
指背,zhi'bei
指背星,zhi'bei'xing
止而不止,zhi'er'bu'zhi
中孚卦,zhong'fu'gua
壮勿妄动,zhuang'wu'wang'dong
紫府朝垣,zi'fu'chao'yuan
紫府朝垣格,zi'fu'chao'yuan'ge
紫府同宫,zi'fu'tong'gong
紫府同宫格,zi'fu'tong'gong'ge
子女宫,zi'nv'gong
子女宫化忌,zi'nv'gong'hua'ji
子女宫化科,zi'nv'gong'hua'ke
子女宫化禄,zi'nv'gong'hua'lu
子女宫化权,zi'nv'gong'hua'quan
子女宫自化,zi'nv'gong'zi'hua
子女宫自化忌,zi'nv'gong'zi'hua'ji
子女宫自化科,zi'nv'gong'zi'hua'ke
子女宫自化禄,zi'nv'gong'zi'hua'lu
子女宫自化权,zi'nv'gong'zi'hua'quan
子鼠,zi'shu
子田线,zi'tian'xian
紫微,zi'wei
紫微斗数,zi'wei'dou'shu
紫薇格局,zi'wei'ge'ju
紫微星,zi'wei'xing
子午相冲,zi'wu'xiang'chong
子午银灯架壁钩,zi'wu'yin'deng'jia'bi'gou
奏书,zou'shu
奏书星,zou'shu'xing
左辅,zuo'fu
左辅星,zuo'fu'xing
坐贵向贵,zuo'gui'xiang'gui
坐贵向贵格,zuo'gui'xiang'gui'ge
左右同宫,zuo'you'tong'gong
左右同宫格,zuo'you'tong'gong'ge
