安徽段,an'hui'duan
宁蓉宜凉段,ning'rong'yi'liang'duan
宁铜,ning'tong
宁铜铁路,ning'tong'tie'lu
宁铜线,ning'tong'xian
宁西,ning'xi
宁西铁路西合段,ning'xi'tie'lu'xi'he'duan
宁西西合段,ning'xi'xi'he'duan
宁西线西合段,ning'xi'xian'xi'he'duan
盘五,pan'wu
盘五铁路,pan'wu'tie'lu
盘五线,pan'wu'xian
盘西,pan'xi
盘西铁路,pan'xi'tie'lu
盘西线,pan'xi'xian
盘营高速线,pan'ying'gao'su'xian
盘营高铁,pan'ying'gao'tie
盘营客专,pan'ying'ke'zhuan
彭州支线,peng'zhou'zhi'xian
郫彭铁路,pi'peng'tie'lu
郫彭线,pi'peng'xian
平南,ping'nan
平南铁路,ping'nan'tie'lu
平南线,ping'nan'xian
平齐,ping'qi
平齐铁路,ping'qi'tie'lu
平齐线,ping'qi'xian
平汝,ping'ru
平汝铁路,ping'ru'tie'lu
平汝线,ping'ru'xian
浦东,pu'dong
浦东阮四段,pu'dong'ruan'si'duan
浦东铁路阮四段,pu'dong'tie'lu'ruan'si'duan
浦东线阮四段,pu'dong'xian'ruan'si'duan
齐昂,qi'ang
齐昂铁路,qi'ang'tie'lu
齐昂线,qi'ang'xian
齐北,qi'bei
齐北铁路,qi'bei'tie'lu
齐北线,qi'bei'xian
齐红,qi'hong
齐红铁路,qi'hong'tie'lu
齐红线,qi'hong'xian
前抚,qian'fu
前抚铁路,qian'fu'tie'lu
前抚线,qian'fu'xian
黔桂,qian'gui
黔桂铁路,qian'gui'tie'lu
黔桂线,qian'gui'xian
钦北,qin'bei
钦北铁路,qin'bei'tie'lu
钦北线,qin'bei'xian
钦防,qin'fang
钦防铁路,qin'fang'tie'lu
钦防线,qin'fang'xian
青藏,qing'zang
阮四段,ruan'si'duan
三茂,san'mao
三茂铁路,san'mao'tie'lu
三茂线,san'mao'xian
三万,san'wan
三万铁路,san'wan'tie'lu
三万线,san'wan'xian
桑锡,sang'xi
桑锡铁路,sang'xi'tie'lu
桑锡线,sang'xi'xian
沙河,sha'he
沙河铁路,sha'he'tie'lu
沙河线,sha'he'xian
沙午,sha'wu
沙午铁路,sha'wu'tie'lu
沙午线,sha'wu'xian
汕头,shan'tou
汕头铁路,shan'tou'tie'lu
汕头线,shan'tou'xian
上海南,shang'hai'nan
上海南铁路,shang'hai'nan'tie'lu
上海南线,shang'hai'nan'xian
上兰村,shang'lan'cun
上兰村铁路,shang'lan'cun'tie'lu
上兰村线,shang'lan'cun'xian
上铅,shang'qian
上铅铁路,shang'qian'tie'lu
上铅线,shang'qian'xian
韶山,shao'shan
韶山铁路,shao'shan'tie'lu
韶山线,shao'shan'xian
滠武,she'wu
滠武铁路,she'wu'tie'lu
滠武铁路丹水池,she'wu'tie'lu'dan'shui'chi
滠武铁路滠口,she'wu'tie'lu'she'kou
滠武线,she'wu'xian
滠武线丹水池,she'wu'xian'dan'shui'chi
滠武线滠口,she'wu'xian'she'kou
沈大,shen'da
神大,shen'da
沈大高速,shen'da'gao'su
沈大高速铁路,shen'da'gao'su'tie'lu
沈大高速线,shen'da'gao'su'xian
沈大铁路,shen'da'tie'lu
神大铁路,shen'da'tie'lu
沈大线,shen'da'xian
神大线,shen'da'xian
沈丹,shen'dan
沈丹铁路,shen'dan'tie'lu
沈丹线,shen'dan'xian
沈哈段,shen'ha'duan
沈吉,shen'ji
沈吉铁路,shen'ji'tie'lu
沈吉线,shen'ji'xian
神木,shen'mu
神木铁路,shen'mu'tie'lu
神木线,shen'mu'xian
沈山,shen'shan
沈山铁路,shen'shan'tie'lu
沈山线,shen'shan'xian
神朔,shen'shuo
神朔铁路,shen'shuo'tie'lu
神朔线,shen'shuo'xian
神钟段,shen'zhong'duan
石长,shi'chang
石长铁路,shi'chang'tie'lu
石长线,shi'chang'xian
石德,shi'de
石德铁路,shi'de'tie'lu
石德线,shi'de'xian
石获线,shi'huo'xian
石林,shi'lin
石林铁路,shi'lin'tie'lu
石林线,shi'lin'xian
石太,shi'tai
石太获太段,shi'tai'huo'tai'duan
石太客专,shi'tai'ke'zhuan
石太客专铁路,shi'tai'ke'zhuan'tie'lu
石太客专线,shi'tai'ke'zhuan'xian
石太铁路,shi'tai'tie'lu
石太线,shi'tai'xian
水大,shui'da
水大铁路,shui'da'tie'lu
水大线,shui'da'xian
水红,shui'hong
水红铁路,shui'hong'tie'lu
水红线,shui'hong'xian
水张,shui'zhang
水张铁路,shui'zhang'tie'lu
水张线,shui'zhang'xian
四梅,si'mei
四梅铁路,si'mei'tie'lu
四梅线,si'mei'xian
淞沪,song'hu
淞沪铁路,song'hu'tie'lu
淞沪线,song'hu'xian
宿淮线,su'huai'xian
遂成,sui'cheng
遂成铁路,sui'cheng'tie'lu
遂成线,sui'cheng'xian
濉阜,sui'fu
濉阜铁路,sui'fu'tie'lu
濉阜线,sui'fu'xian
绥佳,sui'jia
绥佳铁路,sui'jia'tie'lu
绥佳线,sui'jia'xian
遂渝,sui'yu
遂渝铁路,sui'yu'tie'lu
遂渝线,sui'yu'xian
塔韩,ta'han
塔韩铁路,ta'han'tie'lu
塔韩线,ta'han'xian
泰达支,tai'da'zhi
泰达支铁路,tai'da'zhi'tie'lu
泰达支线,tai'da'zhi'xian
太岚,tai'lan
太岚铁路,tai'lan'tie'lu
太岚线,tai'lan'xian
太西段,tai'xi'duan
太新,tai'xin
太新铁路,tai'xin'tie'lu
太新线,tai'xin'xian
太中,tai'zhong
太中铁路北中段,tai'zhong'tie'lu'bei'zhong'duan
太中线,tai'zhong'xian
太中线北中段,tai'zhong'xian'bei'zhong'duan
塘沽,tang'gu
塘沽铁路,tang'gu'tie'lu
塘沽线,tang'gu'xian
汤鹤,tang'he
汤鹤铁路,tang'he'tie'lu
汤鹤线,tang'he'xian
唐滦,tang'luan
唐滦铁路,tang'luan'tie'lu
唐滦线,tang'luan'xian
唐遵,tang'zun
唐遵铁路,tang'zun'tie'lu
唐遵线,tang'zun'xian
陶舒,tao'shu
陶舒铁路,tao'shu'tie'lu
陶舒线,tao'shu'xian
桃威,tao'wei
桃威铁路,tao'wei'tie'lu
桃威线,tao'wei'xian
陶榆,tao'yu
陶榆铁路,tao'yu'tie'lu
陶榆线,tao'yu'xian
天津西,tian'jin'xi
天津西段,tian'jin'xi'duan
天津西铁路,tian'jin'xi'tie'lu
天津西线,tian'jin'xi'xian
铁法,tie'fa
铁法铁路,tie'fa'tie'lu
铁法线,tie'fa'xian
通灌,tong'guan
通灌铁路,tong'guan'tie'lu
通灌线,tong'guan'xian
通霍,tong'huo
通霍铁路,tong'huo'tie'lu
通霍线,tong'huo'xian
铜九,tong'jiu
铜九铁路,tong'jiu'tie'lu
铜九线,tong'jiu'xian
同蒲铁路,tong'pu'tie'lu
同蒲线,tong'pu'xian
通让,tong'rang
通让铁路,tong'rang'tie'lu
通让线,tong'rang'xian
团杉,tuan'shan
团杉铁路,tuan'shan'tie'lu
团杉线,tuan'shan'xian
外南,wai'nan
外南铁路,wai'nan'tie'lu
外南线,wai'nan'xian
皖赣,wan'gan
皖赣铁路,wan'gan'tie'lu
皖赣线,wan'gan'xian
万凉,wan'liang
万凉铁路,wan'liang'tie'lu
万凉线,wan'liang'xian
万南铁路,wan'nan'tie'lu
万南线,wan'nan'xian
威红,wei'hong
威红铁路,wei'hong'tie'lu
威红线,wei'hong'xian
威宁,wei'ning
威宁铁路,wei'ning'tie'lu
威宁线,wei'ning'xian
魏塔,wei'ta
魏塔铁路,wei'ta'tie'lu
魏塔线,wei'ta'xian
苇亚,wei'ya
苇亚铁路,wei'ya'tie'lu
苇亚线,wei'ya'xian
武昌南环,wu'chang'nan'huan
武昌南环铁路,wu'chang'nan'huan'tie'lu
武昌南环铁路何刘,wu'chang'nan'huan'tie'lu'he'liu
武昌南环铁路武昌东,wu'chang'nan'huan'tie'lu'wu'chang'dong
武昌南环线,wu'chang'nan'huan'xian
武昌南环线何刘,wu'chang'nan'huan'xian'he'liu
武昌南环线武昌东,wu'chang'nan'huan'xian'wu'chang'dong
武冈,wu'gang
武冈城际,wu'gang'cheng'ji
武冈城际铁路,wu'gang'cheng'ji'tie'lu
武冈城际线,wu'gang'cheng'ji'xian
武广,wu'guang
武广段,wu'guang'duan
武广广州段,wu'guang'guang'zhou'duan
武广武汉段,wu'guang'wu'han'duan
武汉段,wu'han'duan
武津,wu'jin
武津铁路,wu'jin'tie'lu
武津线,wu'jin'xian
武九,wu'jiu
武九铁路,wu'jiu'tie'lu
武九线,wu'jiu'xian
武石,wu'shi
武石城际,wu'shi'cheng'ji
武石城际铁路,wu'shi'cheng'ji'tie'lu
武石城际线,wu'shi'cheng'ji'xian
武咸,wu'xian
武咸城际,wu'xian'cheng'ji
武咸城际铁路,wu'xian'cheng'ji'tie'lu
武咸城际线,wu'xian'cheng'ji'xian
西安段,xi'an'duan
西北环,xi'bei'huan
西北环铁路,xi'bei'huan'tie'lu
西北环线,xi'bei'huan'xian
西固城,xi'gu'cheng
西固城铁路,xi'gu'cheng'tie'lu
西固城线,xi'gu'cheng'xian
西合段,xi'he'duan
西合铁路,xi'he'tie'lu
西合线,xi'he'xian
西户,xi'hu
西户铁路,xi'hu'tie'lu
西户线,xi'hu'xian
西康,xi'kang
西康铁路,xi'kang'tie'lu
西康线,xi'kang'xian
西良,xi'liang
西良铁路,xi'liang'tie'lu
西良线,xi'liang'xian
西平,xi'ping
西平铁路,xi'ping'tie'lu
西平线,xi'ping'xian
溪田,xi'tian
溪田铁路,xi'tian'tie'lu
溪田线,xi'tian'xian
下隔,xia'ge
下隔铁路,xia'ge'tie'lu
下隔线,xia'ge'xian
线路名,xian'lu'ming
仙宁,xian'ning
仙宁铁路,xian'ning'tie'lu
仙宁线,xian'ning'xian
咸铜,xian'tong
咸铜铁路,xian'tong'tie'lu
咸铜线,xian'tong'xian
襄樊东,xiang'fan'dong
襄樊东铁路,xiang'fan'dong'tie'lu
襄樊东线,xiang'fan'dong'xian
湘桂,xiang'gui
湘桂铁路,xiang'gui'tie'lu
湘桂线,xiang'gui'xian
向乐,xiang'le
向乐铁路,xiang'le'tie'lu
向乐线,xiang'le'xian
向梁,xiang'liang
向梁铁路,xiang'liang'tie'lu
向梁线,xiang'liang'xian
向莆铁路,xiang'pu'tie'lu
向莆线,xiang'pu'xian
向潭,xiang'tan
向潭铁路,xiang'tan'tie'lu
向潭线,xiang'tan'xian
襄阳东,xiang'yang'dong
襄阳东铁路,xiang'yang'dong'tie'lu
襄阳东线,xiang'yang'dong'xian
襄渝,xiang'yu
襄渝铁路,xiang'yu'tie'lu
襄渝线,xiang'yu'xian
小厉,xiao'li
小梨,xiao'li
小厉铁路,xiao'li'tie'lu
小梨铁路,xiao'li'tie'lu
小厉线,xiao'li'xian
小梨线,xiao'li'xian
小新,xiao'xin
小新铁路,xiao'xin'tie'lu
小新线,xiao'xin'xian
新宝,xin'bao
新宝铁路,xin'bao'tie'lu
新宝线,xin'bao'xian
新海段,xin'hai'duan
忻河,xin'he
忻河铁路,xin'he'tie'lu
忻河线,xin'he'xian
新靖,xin'jing
新靖铁路新海段,xin'jing'tie'lu'xin'hai'duan
新靖线新海段,xin'jing'xian'xin'hai'duan
新密,xin'mi
新密铁路,xin'mi'tie'lu
新密线,xin'mi'xian
新石,xin'shi
新石铁路,xin'shi'tie'lu
新石线,xin'shi'xian
辛泰,xin'tai
辛泰铁路,xin'tai'tie'lu
辛泰线,xin'tai'xian
新义,xin'yi
新义铁路,xin'yi'tie'lu
新义线,xin'yi'xian
杏厦,xing'sha
杏厦铁路,xing'sha'tie'lu
杏厦线,xing'sha'xian
徐兰高速,xu'lan'gao'su
徐兰高速铁路郑西段,xu'lan'gao'su'tie'lu'zheng'xi'duan
徐兰高速线西宝段,xu'lan'gao'su'xian'xi'bao'duan
徐兰高速线郑西段,xu'lan'gao'su'xian'zheng'xi'duan
徐沛,xu'pei
徐沛铁路,xu'pei'tie'lu
徐沛线,xu'pei'xian
徐州联络,xu'zhou'lian'luo
徐州联络铁路,xu'zhou'lian'luo'tie'lu
徐州联络线,xu'zhou'lian'luo'xian
宣杭,xuan'hang
宣杭铁路,xuan'hang'tie'lu
宣杭线,xuan'hang'xian
鸭大,ya'da
鸭大铁路,ya'da'tie'lu
鸭大线,ya'da'xian
牙林,ya'lin
牙林铁路,ya'lin'tie'lu
牙林线,ya'lin'xian
鸦宜,ya'yi
鸦宜铁路,ya'yi'tie'lu
鸦宜线,ya'yi'xian
阳安,yang'an
阳安铁路,yang'an'tie'lu
阳安线,yang'an'xian
羊场,yang'chang
羊场铁路,yang'chang'tie'lu
羊场线,yang'chang'xian
叶赤,ye'chi
叶赤铁路,ye'chi'tie'lu
叶赤线,ye'chi'xian
伊阿,yi'a
伊阿铁路,yi'a'tie'lu
伊阿线,yi'a'xian
宜珙,yi'gong
宜珙铁路,yi'gong'tie'lu
宜珙线,yi'gong'xian
伊加,yi'jia
伊加铁路,yi'jia'tie'lu
伊加线,yi'jia'xian
宜凉段,yi'liang'duan
伊敏,yi'min
伊敏铁路,yi'min'tie'lu
伊敏线,yi'min'xian
宜万,yi'wan
宜万铁路,yi'wan'tie'lu
宜万线,yi'wan'xian
益永,yi'yong
益永铁路,yi'yong'tie'lu
益永线,yi'yong'xian
益湛,yi'zhan
益湛铁路永电段,yi'zhan'tie'lu'yong'dian'duan
益湛线永电段,yi'zhan'xian'yong'dian'duan
营口,ying'kou
营口铁路,ying'kou'tie'lu
营口线,ying'kou'xian
鹰厦,ying'xia
鹰厦铁路,ying'xia'tie'lu
鹰厦线,ying'xia'xian
邕北,yong'bei
邕北铁路,yong'bei'tie'lu
邕北线,yong'bei'xian
永电段,yong'dian'duan
甬连,yong'lian
永莆铁路,yong'pu'tie'lu
永莆线,yong'pu'xian
甬厦,yong'sha
甬深,yong'shen
甬深广东段,yong'shen'guang'dong'duan
永亭,yong'ting
永亭铁路,yong'ting'tie'lu
永亭线,yong'ting'xian
甬漳,yong'zhang
甬漳段,yong'zhang'duan
甬漳福建段,yong'zhang'fu'jian'duan
甬漳浙江段,yong'zhang'zhe'jiang'duan
友宝,you'bao
友宝铁路,you'bao'tie'lu
友宝线,you'bao'xian
余花联络,yu'hua'lian'luo
余花联络线,yu'hua'lian'luo'xian
渝怀,yu'huai
渝怀铁路,yu'huai'tie'lu
渝怀线,yu'huai'xian
渝利,yu'li
渝利铁路,yu'li'tie'lu
渝利线,yu'li'xian
玉门沟,yu'men'gou
玉门沟铁路,yu'men'gou'tie'lu
玉门沟线,yu'men'gou'xian
玉蒙,yu'meng
玉蒙铁路,yu'meng'tie'lu
玉蒙线,yu'meng'xian
粤海轮渡,yue'hai'lun'du
粤海轮渡铁路,yue'hai'lun'du'tie'lu
粤海轮渡线,yue'hai'lun'du'xian
云岗,yun'gang
云岗铁路,yun'gang'tie'lu
云岗线,yun'gang'xian
湛海,zhan'hai
湛海铁路,zhan'hai'tie'lu
湛海线,zhan'hai'xian
张东,zhang'dong
张东铁路,zhang'dong'tie'lu
张东线,zhang'dong'xian
樟福,zhang'fu
樟福铁路,zhang'fu'tie'lu
樟福线,zhang'fu'xian
张集,zhang'ji
张集铁路,zhang'ji'tie'lu
张集线,zhang'ji'xian
张家口,zhang'jia'kou
张家口铁路,zhang'jia'kou'tie'lu
张家口线,zhang'jia'kou'xian
漳龙,zhang'long
漳龙铁路,zhang'long'tie'lu
漳龙线,zhang'long'xian
漳泉,zhang'quan
漳泉铁路,zhang'quan'tie'lu
漳泉线,zhang'quan'xian
张塘,zhang'tang
张塘铁路,zhang'tang'tie'lu
张塘线,zhang'tang'xian
浙江段,zhe'jiang'duan
郑东北联络,zheng'dong'bei'lian'luo
郑东北联络铁路,zheng'dong'bei'lian'luo'tie'lu
郑东北联络线,zheng'dong'bei'lian'luo'xian
郑东西南联络,zheng'dong'xi'nan'lian'luo
郑东西南联络铁路,zheng'dong'xi'nan'lian'luo'tie'lu
郑东西南联络线,zheng'dong'xi'nan'lian'luo'xian
郑沈,zheng'shen
郑沈铁路,zheng'shen'tie'lu
郑沈线,zheng'shen'xian
郑武段,zheng'wu'duan
郑西,zheng'xi
郑西段,zheng'xi'duan
郑西西安段,zheng'xi'xi'an'duan
郑西郑州段,zheng'xi'zheng'zhou'duan
郑荥,zheng'xing
郑荥铁路,zheng'xing'tie'lu
郑荥线,zheng'xing'xian
郑州东北联络,zheng'zhou'dong'bei'lian'luo
郑州东北联络铁路,zheng'zhou'dong'bei'lian'luo'tie'lu
郑州东北联络线,zheng'zhou'dong'bei'lian'luo'xian
郑州东西南联络,zheng'zhou'dong'xi'nan'lian'luo
郑州东西南联络铁路,zheng'zhou'dong'xi'nan'lian'luo'tie'lu
郑州东西南联络线,zheng'zhou'dong'xi'nan'lian'luo'xian
郑州段,zheng'zhou'duan
中海联络,zhong'hai'lian'luo
中海联络线,zhong'hai'lian'luo'xian
周口店,zhou'kou'dian
周口店铁路,zhou'kou'dian'tie'lu
周口店线,zhou'kou'dian'xian
