阿保机,a'bao'ji
新刻校定脉诀指掌病式图说,xin'ke'xiao'ding'mai'jue'zhi'zhang'bing'shi'tu'shuo
新刻小儿推拿方脉,xin'ke'xiao'er'tui'na'fang'mai
心理学的故事,xin'li'xue'de'gu'shi
心理学概论高觉敷上海商务印书馆影印,xin'li'xue'gai'lun'gao'jue'fu'shang'hai'shang'wu'yin'shu'guan'ying'yin
心灵的感悟,xin'ling'de'gan'wu
辛卯,xin'mao
辛卯年,xin'mao'nian
信敏恭宽,xin'min'gong'kuan
辛弃疾词选,xin'qi'ji'ci'xuan
新倩籍一卷明徐祯卿撰,xin'qian'ji'yi'juan'ming'xu'zhen'qing'zhuan
新锲徽郡原板梦学全书,xin'qie'hui'jun'yuan'ban'meng'xue'quan'shu
辛绍业,xin'shao'ye
新社会史,xin'she'hui'shi
新时代史地,xin'shi'dai'shi'di
新史学,xin'shi'xue
新史学九十年,xin'shi'xue'jiu'shi'nian
新史学五大家,xin'shi'xue'wu'da'jia
新世训,xin'shi'xun
新书,xin'shu
新书十卷汉贾谊撰淸卢文弨校,xin'shu'shi'juan'han'jia'yi'zhuan'qing'lu'wen'chao'xiao
新书一卷卽一名心书汉诸葛亮撰,xin'shu'yi'juan'ji'yi'ming'xin'shu'han'zhu'ge'liang'zhuan
新书一卷蜀诸葛亮撰据学海类编本排印,xin'shu'yi'juan'shu'zhu'ge'liang'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
辛巳,xin'si
辛巳年,xin'si'nian
辛巳泣蕲录一卷宋赵与撰,xin'si'qi'qi'lu'yi'juan'song'zhao'yu'zhuan
新唐书纠谬二十卷坿钱校补遗一卷坿附录一卷宋吴缜撰淸钱大昉校并撰补遗附,xin'tang'shu'jiu'miu'er'shi'juan'fu'qian'xiao'bu'yi'yi'juan'fu'fu'lu'yi'juan'song'wu'zhen'zhuan'qing'qian'da'fang'xiao'bing'zhuan'bu'yi'fu
信托业盛在上海商务印书馆影印,xin'tuo'ye'sheng'zai'shang'hai'shang'wu'yin'shu'guan'ying'yin
辛未,xin'wei
新闻学戈公振上海商务印书馆影印,xin'wen'xue'ge'gong'zhen'shang'hai'shang'wu'yin'shu'guan'ying'yin
心武残编,xin'wu'can'bian
新武术拳脚科马良上海商务印书馆影印,xin'wu'shu'quan'jiao'ke'ma'liang'shang'hai'shang'wu'yin'shu'guan'ying'yin
新校晋书地理志一卷淸方恺撰,xin'xiao'jin'shu'di'li'zhi'yi'juan'qing'fang'kai'zhuan
新兴国胡愈之上海商务印书馆影印,xin'xing'guo'hu'yu'zhi'shang'hai'shang'wu'yin'shu'guan'ying'yin
新修本草,xin'xiu'ben'cao
新序十卷汉刘向撰据铁华馆丛书本影印,xin'xu'shi'juan'han'liu'xiang'zhuan'ju'tie'hua'guan'cong'shu'ben'ying'yin
新序十卷汉刘向撰清陈用光校,xin'xu'shi'juan'han'liu'xiang'zhuan'qing'chen'yong'guang'xiao
新序说苑庄适上海商务印书馆影印,xin'xu'shuo'yuan'zhuang'shi'shang'hai'shang'wu'yin'shu'guan'ying'yin
新学伪经考,xin'xue'wei'jing'kao
信阳子卓录,xin'yang'zi'zhuo'lu
新仪象法要三卷宋苏颂撰据守山阁丛书本影印,xin'yi'xiang'fa'yao'san'juan'song'su'song'zhuan'ju'shou'shan'ge'cong'shu'ben'ying'yin
新仪象法要宋苏颂,xin'yi'xiang'fa'yao'song'su'song
辛酉,xin'you
辛酉年,xin'you'nian
新语二卷汉陆贾撰清宋翔凤,xin'yu'er'juan'han'lu'jia'zhuan'qing'song'xiang'feng
新增格古要论,xin'zeng'ge'gu'yao'lun
新增格古要论十三卷明曹昭撰明舒敏辑明王佐增,xin'zeng'ge'gu'yao'lun'shi'san'juan'ming'cao'zhao'zhuan'ming'shu'min'ji'ming'wang'zuo'zeng
新哲学讲演录,xin'zhe'xue'jiang'yan'lu
新制灵台仪象志,xin'zhi'ling'tai'yi'xiang'zhi
新知录摘钞一卷明刘仕义撰,xin'zhi'lu'zhai'chao'yi'juan'ming'liu'shi'yi'zhuan
新制诸器图说一卷明王征撰据守山阁丛书本影印,xin'zhi'zhu'qi'tu'shuo'yi'juan'ming'wang'zheng'zhuan'ju'shou'shan'ge'cong'shu'ben'ying'yin
新注诗经白话解洪子良中原书局,xin'zhu'shi'jing'bai'hua'jie'hong'zi'liang'zhong'yuan'shu'ju
新注诗经白话解洪子良中原书局年,xin'zhu'shi'jing'bai'hua'jie'hong'zi'liang'zhong'yuan'shu'ju'nian
新注诗经白话句解钟际华上海大文书局,xin'zhu'shi'jing'bai'hua'ju'jie'zhong'ji'hua'shang'hai'da'wen'shu'ju
新注朱淑真斷腸詩集八卷後集八卷宋朱淑真撰鄭元佐注集部第冊影印國家圖書館藏明初刻遞修本,xin'zhu'zhu'shu'zhen'duan'chang'shi'ji'ba'juan'hou'ji'ba'juan'song'zhu'shu'zhen'zhuan'zheng'yuan'zuo'zhu'ji'bu'di'ce'ying'yin'guo'jia'tu'shu'guan'cang'ming'chu'ke'di'xiu'ben
兴安,xing'an
性病刘崇燕姚昶绪上海商务印书馆影印,xing'bing'liu'chong'yan'yao'chang'xu'shang'hai'shang'wu'yin'shu'guan'ying'yin
兴的源起历史积淀与诗歌艺术赵沛霖北京中国社会科学出版社,xing'de'yuan'qi'li'shi'ji'dian'yu'shi'ge'yi'shu'zhao'pei'lin'bei'jing'zhong'guo'she'hui'ke'xue'chu'ban'she
兴的源起绪论赵沛霖天津社会科学,xing'de'yuan'qi'xu'lun'zhao'pei'lin'tian'jin'she'hui'ke'xue
兴定,xing'ding
形而上学,xing'er'shang'xue
星阁史论一卷淸赵青黎撰,xing'ge'shi'lun'yi'juan'qing'zhao'qing'li'zhuan
星阁正论一卷淸赵青藜撰,xing'ge'zheng'lun'yi'juan'qing'zhao'qing'li'zhuan
兴光,xing'guang
兴和,xing'he
性教育周建人上海商务印书馆影印,xing'jiao'yu'zhou'jian'ren'shang'hai'shang'wu'yin'shu'guan'ying'yin
姓解,xing'jie
姓解三卷宋邵思撰,xing'jie'san'juan'song'shao'si'zhuan
星经二卷汉甘公撰汉石申撰据汉魏丛书本影印,xing'jing'er'juan'han'gan'gong'zhuan'han'shi'shen'zhuan'ju'han'wei'cong'shu'ben'ying'yin
星经二卷景汉魏丛书本,xing'jing'er'juan'jing'han'wei'cong'shu'ben
性经验史,xing'jing'yan'shi
邢凯,xing'kai
性理大中,xing'li'da'zhong
性理精纂约义,xing'li'jing'zuan'yue'yi
性理指归,xing'li'zhi'gui
刑民克服,xing'min'ke'fu
刑民克服曰武,xing'min'ke'fu'yue'wu
兴宁,xing'ning
兴平,xing'ping
性趣探密,xing'qu'tan'mi
兴盛与危机,xing'sheng'yu'wei'ji
性史,xing'shi
姓氏考略一卷淸陈廷炜撰,xing'shi'kao'lue'yi'juan'qing'chen'ting'wei'zhuan
醒世一斑录,xing'shi'yi'ban'lu
刑统赋,xing'tong'fu
刑统赋解,xing'tong'fu'jie
姓觽琹误一卷札记一卷淸易本良撰淸丁兆松撰札记,xing'wei'qin'wu'yi'juan'zha'ji'yi'juan'qing'yi'ben'liang'zhuan'qing'ding'zhao'song'zhuan'zha'ji
姓觽十卷附录一卷札记一卷明陈士元撰淸丁兆松撰札记,xing'wei'shi'juan'fu'lu'yi'juan'zha'ji'yi'juan'ming'chen'shi'yuan'zhuan'qing'ding'zhao'song'zhuan'zha'ji
行为学的基础郭任远上海商务印书馆影印,xing'wei'xue'de'ji'chu'guo'ren'yuan'shang'hai'shang'wu'yin'shu'guan'ying'yin
星象考一卷宋邹淮撰据学海类编本排印,xing'xiang'kao'yi'juan'song'zou'huai'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
星象考一卷宋邹淮撰据学海类编本影印,xing'xiang'kao'yi'juan'song'zou'huai'zhuan'ju'xue'hai'lei'bian'ben'ying'yin
行义说民,xing'yi'shuo'min
行义说民曰元,xing'yi'shuo'min'yue'yuan
兴元,xing'yuan
行政概论许世英上海商务印书馆影印,xing'zheng'gai'lun'xu'shi'ying'shang'hai'shang'wu'yin'shu'guan'ying'yin
兴宗神圣孝章皇帝,xing'zong'shen'sheng'xiao'zhang'huang'di
熊傧,xiong'bin
熊赐履,xiong'ci'lv
熊笏,xiong'hu
熊均,xiong'jun
熊太古,xiong'tai'gu
熊勿轩先生文集六卷宋熊禾撰,xiong'wu'xuan'xian'sheng'wen'ji'liu'juan'song'xiong'he'zhuan
熊应雄,xiong'ying'xiong
熊宗立,xiong'zong'li
修辞格唐钺上海商务印书馆影印,xiu'ci'ge'tang'yue'shang'hai'shang'wu'yin'shu'guan'ying'yin
修辞鉴衡二卷元王构撰,xiu'ci'jian'heng'er'juan'yuan'wang'gou'zhuan
修辞鉴衡元王构,xiu'ci'jian'heng'yuan'wang'gou
修订本,xiu'ding'ben
修订插图本,xiu'ding'cha'tu'ben
修洁斋闲笔,xiu'jie'zhai'xian'bi
修明堂诀式,xiu'ming'tang'jue'shi
休谟人之悟性论伍光建译上海商务印书馆影印,xiu'mo'ren'zhi'wu'xing'lun'wu'guang'jian'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
绣谱,xiu'pu
髤饰录,xiu'shi'lu
髤饰录笺证,xiu'shi'lu'jian'zheng
修慝余编,xiu'te'yu'bian
修文殿御览,xiu'wen'dian'yu'lan
修昔底德,xiu'xi'di'de
徐昂发,xu'ang'fa
续笔,xu'bi
续笔一卷,xu'bi'yi'juan
续编,xu'bian
续编八卷,xu'bian'ba'juan
续编四卷,xu'bian'si'juan
续编一卷,xu'bian'yi'juan
续博物志十卷宋李石撰据古今逸史本影印,xu'bo'wu'zhi'shi'juan'song'li'shi'zhuan'ju'gu'jin'yi'shi'ben'ying'yin
续博物志十卷宋李石撰明吴管校景古今逸史本,xu'bo'wu'zhi'shi'juan'song'li'shi'zhuan'ming'wu'guan'xiao'jing'gu'jin'yi'shi'ben
续补二卷,xu'bu'er'juan
续补侍儿小名录一卷宋温豫撰,xu'bu'shi'er'xiao'ming'lu'yi'juan'song'wen'yu'zhuan
续补一卷,xu'bu'yi'juan
徐常遇,xu'chang'yu
续钞,xu'chao
徐大椿,xu'da'chun
续大唐内典录,xu'da'tang'nei'dian'lu
续对数简法一卷淸戴煦撰,xu'dui'shu'jian'fa'yi'juan'qing'dai'xu'zhuan
续对数简法一卷淸戴煦撰据粤雅堂丛书本排印,xu'dui'shu'jian'fa'yi'juan'qing'dai'xu'zhuan'ju'yue'ya'tang'cong'shu'ben'pai'yin
徐发,xu'fa
徐芳,xu'fang
续方言附补正清杭世骏清程际成补正,xu'fang'yan'fu'bu'zheng'qing'hang'shi'jun'qing'cheng'ji'cheng'bu'zheng
许棐撰,xu'fei'zhuan
许奉恩,xu'feng'en
许负,xu'fu
徐复观,xu'fu'guan
徐复观论经学史二种,xu'fu'guan'lun'jing'xue'shi'er'zhong
徐复观著,xu'fu'guan'zhu
许福吉,xu'fu'ji
徐复祚,xu'fu'zuo
续高僧传,xu'gao'seng'zhuan
续古文苑清孙星衍,xu'gu'wen'yuan'qing'sun'xing'yan
续古摘奇算法一卷宋杨辉撰,xu'gu'zhai'qi'suan'fa'yi'juan'song'yang'hui'zhuan
徐官,xu'guan
续观感录,xu'guan'gan'lu
许冠三,xu'guan'san
许光,xu'guang
续广博物志,xu'guang'bo'wu'zhi
徐广联编著,xu'guang'lian'bian'zhu
徐光溥,xu'guang'pu
徐光启笔受,xu'guang'qi'bi'shou
许桂林,xu'gui'lin
许国公奏议四卷宋吴潜撰,xu'guo'gong'zou'yi'si'juan'song'wu'qian'zhuan
许国祯,xu'guo'zhen
许瀚,xu'han
许翰,xu'han
续汉书辨疑,xu'han'shu'bian'yi
许浩,xu'hao
许宏,xu'hong
续后汉书九十卷元郝经撰元苟宗道注,xu'hou'han'shu'jiu'shi'juan'yuan'hao'jing'zhuan'yuan'gou'zong'dao'zhu
续后汉书四十二卷义例一卷音义四卷宋萧常撰,xu'hou'han'shu'si'shi'er'juan'yi'li'yi'juan'yin'yi'si'juan'song'xiao'chang'zhuan
续后汉书札记四卷淸郁松年撰,xu'hou'han'shu'zha'ji'si'juan'qing'yu'song'nian'zhuan
续后汉书札记一卷淸郁松年撰,xu'hou'han'shu'zha'ji'yi'juan'qing'yu'song'nian'zhuan
续画品录一卷唐李嗣眞撰,xu'hua'pin'lu'yi'juan'tang'li'si'zhen'zhuan
续画品录一卷唐李嗣眞撰景津逮秘书本,xu'hua'pin'lu'yi'juan'tang'li'si'zhen'zhuan'jing'jin'dai'mi'shu'ben
续画品一卷陈姚最撰,xu'hua'pin'yi'juan'chen'yao'zui'zhuan
续画品一卷陈姚最撰景津逮秘书本,xu'hua'pin'yi'juan'chen'yao'zui'zhuan'jing'jin'dai'mi'shu'ben
徐爌,xu'huang
续集,xu'ji
续集八卷,xu'ji'ba'juan
续集二卷,xu'ji'er'juan
许纪霖,xu'ji'lin
续集十卷,xu'ji'shi'juan
续记一卷,xu'ji'yi'juan
续家训,xu'jia'xun
徐坚,xu'jian
徐建寅,xu'jian'yin
续近思录十四卷淸张伯行辑并注据正谊堂全书本排印,xu'jin'si'lu'shi'si'juan'qing'zhang'bo'xing'ji'bing'zhu'ju'zheng'yi'tang'quan'shu'ben'pai'yin
续近思录十四卷淸张伯行辑注,xu'jin'si'lu'shi'si'juan'qing'zhang'bo'xing'ji'zhu
徐敬仪辑,xu'jing'yi'ji
徐炬辑,xu'ju'ji
续刊误,xu'kan'wu
徐康,xu'kang
续考古图五卷宋阙名撰景十万卷楼丛书本,xu'kao'gu'tu'wu'juan'song'que'ming'zhuan'jing'shi'wan'juan'lou'cong'shu'ben
续考古图五卷宋撰据十万卷楼丛书本影印,xu'kao'gu'tu'wu'juan'song'zhuan'ju'shi'wan'juan'lou'cong'shu'ben'ying'yin
许克昌,xu'ke'chang
许琏,xu'lian
徐灵府,xu'ling'fu
叙录,xu'lu
序录,xu'lu
序录辨讹,xu'lu'bian'e
续录二卷,xu'lu'er'juan
续录三卷,xu'lu'san'juan
续录十六卷,xu'lu'shi'liu'juan
续录四卷,xu'lu'si'juan
续录一卷,xu'lu'yi'juan
许鲁斋集六卷元许衡撰,xu'lu'zhai'ji'liu'juan'yuan'xu'heng'zhuan
许鲁斋先生集六卷元许衡撰据正谊堂全书本排印,xu'lu'zhai'xian'sheng'ji'liu'juan'yuan'xu'heng'zhuan'ju'zheng'yi'tang'quan'shu'ben'pai'yin
续吕氏家塾读诗记,xu'lv'shi'jia'shu'du'shi'ji
续吕氏家塾读诗记三卷宋戴溪撰,xu'lv'shi'jia'shu'du'shi'ji'san'juan'song'dai'xi'zhuan
续名马记,xu'ming'ma'ji
续墨客挥犀,xu'mo'ke'hui'xi
畜牧王修上海商务印书馆影印,xu'mu'wang'xiu'shang'hai'shang'wu'yin'shu'guan'ying'yin
许鹏翊,xu'peng'yi
续篇五卷,xu'pian'wu'juan
徐祺,xu'qi
许起,xu'qi
许谦,xu'qian
续黔书八卷淸张澍撰,xu'qian'shu'ba'juan'qing'zhang'shu'zhuan
许谦撰据经苑本排印,xu'qian'zhuan'ju'jing'yuan'ben'pai'yin
徐沁,xu'qin
续泉汇,xu'quan'hui
许然明先生茶疏一卷明许次纾撰,xu'ran'ming'xian'sheng'cha'shu'yi'juan'ming'xu'ci'shu'zhuan
许然明先生茶疏一卷明许次纾撰据宝颜堂秘笈本排印,xu'ran'ming'xian'sheng'cha'shu'yi'juan'ming'xu'ci'shu'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
许容,xu'rong
徐三重,xu'san'chong
许三观卖血记,xu'san'guan'mai'xue'ji
续三十五举,xu'san'shi'wu'ju
续三十五举一卷淸桂馥撰,xu'san'shi'wu'ju'yi'juan'qing'gui'fu'zhuan
许慎,xu'shen
许慎淮南子注一卷汉许慎撰淸孙冯翼辑,xu'shen'huai'nan'zi'zhu'yi'juan'han'xu'shen'zhuan'qing'sun'feng'yi'ji
许愼淮南子注一卷汉许愼撰淸孙冯翼辑据问经堂丛书本排印,xu'shen'huai'nan'zi'zhu'yi'juan'han'xu'shen'zhuan'qing'sun'feng'yi'ji'ju'wen'jing'tang'cong'shu'ben'pai'yin
续神仙传一卷南唐沈汾撰,xu'shen'xian'zhuan'yi'juan'nan'tang'shen'fen'zhuan
续释常谈,xu'shi'chang'tan
续诗传鸟名卷,xu'shi'chuan'niao'ming'juan
徐时栋,xu'shi'dong
徐石麒,xu'shi'qi
续世说,xu'shi'shuo
续世说十二卷宋孔平仲撰,xu'shi'shuo'shi'er'juan'song'kong'ping'zhong'zhuan
许氏说文解字双声迭韵谱一卷淸邓廷桢撰景后知不足齌丛书本,xu'shi'shuo'wen'jie'zi'shuang'sheng'die'yun'pu'yi'juan'qing'deng'ting'zhen'zhuan'jing'hou'zhi'bu'zu'ji'cong'shu'ben
许氏说文解字双声迭韵谱一卷淸邓廷桢撰据后知不足斋丛书本影印,xu'shi'shuo'wen'jie'zi'shuang'sheng'die'yun'pu'yi'juan'qing'deng'ting'zhen'zhuan'ju'hou'zhi'bu'zu'zhai'cong'shu'ben'ying'yin
许氏贻谋四则,xu'shi'yi'mou'si'ze
徐寿基,xu'shou'ji
续述,xu'shu
续书法论,xu'shu'fa'lun
续书谱一卷宋姜夔撰据百川学海本排印,xu'shu'pu'yi'juan'song'jiang'kui'zhuan'ju'bai'chuan'xue'hai'ben'pai'yin
许叔微,xu'shu'wei
续宋编年资治通鉴十五卷宋刘时举撰,xu'song'bian'nian'zi'zhi'tong'jian'shi'wu'juan'song'liu'shi'ju'zhuan
虚损启微,xu'sun'qi'wei
续谈助,xu'tan'zhu
续唐书七十卷淸陈鳣撰,xu'tang'shu'qi'shi'juan'qing'chen'shan'zhuan
续桐阴论画,xu'tong'yin'lun'hua
徐文弼,xu'wen'bi
续文章缘起一卷明陈懋仁撰,xu'wen'zhang'yuan'qi'yi'juan'ming'chen'mao'ren'zhuan
徐问志,xu'wen'zhi
续五卷,xu'wu'juan
续吴先贤赞十五卷明刘凤撰,xu'wu'xian'xian'zan'shi'wu'juan'ming'liu'feng'zhuan
徐霞客游记,xu'xia'ke'you'ji
徐霞客游记刘虎如上海商务印书馆影印,xu'xia'ke'you'ji'liu'hu'ru'shang'hai'shang'wu'yin'shu'guan'ying'yin
徐霞客游记徐宏祖上海商务印书馆影印,xu'xia'ke'you'ji'xu'hong'zu'shang'hai'shang'wu'yin'shu'guan'ying'yin
续湘军志,xu'xiang'jun'zhi
许相卿,xu'xiang'qing
徐襄阳西园杂记二卷明徐咸撰,xu'xiang'yang'xi'yuan'za'ji'er'juan'ming'xu'xian'zhuan
续校,xu'xiao
续小儿语一卷明吕坤撰,xu'xiao'er'yu'yi'juan'ming'lv'kun'zhuan
徐孝穆集陈徐陵撰清吴兆宜笺注,xu'xiao'mu'ji'chen'xu'ling'zhuan'qing'wu'zhao'yi'jian'zhu
续校语,xu'xiao'yu
续蟹录,xu'xie'lu
徐星友,xu'xing'you
续修四库全书集部目录繁体版,xu'xiu'si'ku'quan'shu'ji'bu'mu'lu'fan'ti'ban
续玄怪录一卷,xu'xuan'guai'lu'yi'juan
续学古编,xu'xue'gu'bian
徐学谟,xu'xue'mo
绪言,xu'yan
绪言三卷淸戴震撰,xu'yan'san'juan'qing'dai'zhen'zhuan
许彦周诗话一卷宋许顗撰,xu'yan'zhou'shi'hua'yi'juan'song'xu'yi'zhuan
徐养原,xu'yang'yuan
续羊枣集,xu'yang'zao'ji
徐毅,xu'yi
续译,xu'yi
续遗,xu'yi
续夷坚志,xu'yi'jian'zhi
续夷坚志四卷金元好问撰,xu'yi'jian'zhi'si'juan'jin'yuan'hao'wen'zhuan
许印林遗着一卷淸许瀚撰据滂喜斋丛书本影印,xu'yin'lin'yi'zhe'yi'juan'qing'xu'han'zhuan'ju'pang'xi'zhai'cong'shu'ben'ying'yin
续印人传,xu'yin'ren'chuan
徐有壬,xu'you'ren
绪余一卷,xu'yu'yi'juan
徐远明文集,xu'yuan'ming'wen'ji
徐元瑞,xu'yuan'rui
徐元叹先生残稿明徐元叹撰,xu'yuan'tan'xian'sheng'can'gao'ming'xu'yuan'tan'zhuan
徐岳,xu'yue
续增,xu'zeng
续增略言,xu'zeng'lue'yan
虚斋名画录,xu'zhai'ming'hua'lu
许兆熊,xu'zhao'xiong
徐祯稷,xu'zhen'ji
续震泽纪闻,xu'zhen'ze'ji'wen
徐芝,xu'zhi
徐之镆,xu'zhi'mo
徐志摩名著赏析,xu'zhi'mo'ming'zhu'shang'xi
徐志摩名作欣赏,xu'zhi'mo'ming'zuo'xin'shang
徐志摩文萃,xu'zhi'mo'wen'cui
虚舟集,xu'zhou'ji
虚舟题跋,xu'zhou'ti'ba
续注,xu'zhu
徐鼒,xu'zi
许自昌,xu'zi'chang
徐子默,xu'zi'mo
徐梓著,xu'zi'zhu
续佐治药言一卷淸汪辉祖撰,xu'zuo'zhi'yao'yan'yi'juan'qing'wang'hui'zu'zhuan
续佐治药言一卷淸汪辉祖撰据知不足斋丛书本排印,xu'zuo'zhi'yao'yan'yi'juan'qing'wang'hui'zu'zhuan'ju'zhi'bu'zu'zhai'cong'shu'ben'pai'yin
宣德,xuan'de
宣德鼎彝谱八卷明吕震等撰,xuan'de'ding'yi'pu'ba'juan'ming'lv'zhen'deng'zhuan
宣德元年,xuan'de'yuan'nian
玄怪记一卷唐徐炫撰,xuan'guai'ji'yi'juan'tang'xu'xuan'zhuan
玄怪录,xuan'guai'lu
宣和,xuan'he
宣和奉使高丽图经四十卷附录一卷宋徐兢撰,xuan'he'feng'shi'gao'li'tu'jing'si'shi'juan'fu'lu'yi'juan'song'xu'jing'zhuan
宣和奉使高丽图经校,xuan'he'feng'shi'gao'li'tu'jing'xiao
宣和画谱二十卷宋阙名撰景津逮秘书本,xuan'he'hua'pu'er'shi'juan'song'que'ming'zhuan'jing'jin'dai'mi'shu'ben
宣和画谱二十卷宋撰,xuan'he'hua'pu'er'shi'juan'song'zhuan
宣和牌谱,xuan'he'pai'pu
宣和书谱二十卷宋撰,xuan'he'shu'pu'er'shi'juan'song'zhuan
宣和元年,xuan'he'yuan'nian
宣皇帝,xuan'huang'di
璇玑遗述六卷卷末,xuan'ji'yi'shu'liu'juan'juan'mo
选靖阁藏器目一卷淸王锡棨撰,xuan'jing'ge'cang'qi'mu'yi'juan'qing'wang'xi'qi'zhuan
玄经原旨发挥,xuan'jing'yuan'zhi'fa'hui
选评,xuan'ping
选诗句图一卷宋高似孙辑,xuan'shi'ju'tu'yi'juan'song'gao'si'sun'ji
宣室志十卷补遗一卷唐张读撰,xuan'shi'zhi'shi'juan'bu'yi'yi'juan'tang'zhang'du'zhuan
悬笥琐探摘钞一卷明刘昌撰,xuan'si'suo'tan'zhai'chao'yi'juan'ming'liu'chang'zhuan
宣统,xuan'tong
宣统皇帝,xuan'tong'huang'di
宣统为年号,xuan'tong'wei'nian'hao
宣统元年,xuan'tong'yuan'nian
宣文广武,xuan'wen'guang'wu
宣西通,xuan'xi'tong
宣孝皇帝,xuan'xiao'huang'di
喧嚣时代,xuan'xiao'shi'dai
选学纠何一卷淸徐攀凤撰,xuan'xue'jiu'he'yi'juan'qing'xu'pan'feng'zhuan
选学纠何一卷淸徐攀凤撰据艺海珠尘本排印,xuan'xue'jiu'he'yi'juan'qing'xu'pan'feng'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
玄烨,xuan'ye
选印先秦诸子系考辩,xuan'yin'xian'qin'zhu'zi'xi'kao'bian
宣颖,xuan'ying
玄眞子三卷唐张志和撰景知不足斋丛书本,xuan'zhen'zi'san'juan'tang'zhang'zhi'he'zhuan'jing'zhi'bu'zu'zhai'cong'shu'ben
玄眞子三卷唐张志和撰据知不足斋丛书本影印,xuan'zhen'zi'san'juan'tang'zhang'zhi'he'zhuan'ju'zhi'bu'zu'zhai'cong'shu'ben'ying'yin
宣政,xuan'zheng
玄中记,xuan'zhong'ji
玄中记一卷郭撰淸茆泮林辑,xuan'zhong'ji'yi'juan'guo'zhuan'qing'mao'pan'lin'ji
选注规李一卷淸徐攀凤撰,xuan'zhu'gui'li'yi'juan'qing'xu'pan'feng'zhuan
选注规李一卷淸徐攀凤撰据艺海珠尘本排印,xuan'zhu'gui'li'yi'juan'qing'xu'pan'feng'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
宣宗,xuan'zong
宣宗皇帝御制诗一卷明宣宗撰,xuan'zong'huang'di'yu'zhi'shi'yi'juan'ming'xuan'zong'zhuan
宣宗圣武献文孝皇帝,xuan'zong'sheng'wu'xian'wen'xiao'huang'di
玄宗至道大圣大明孝皇帝,xuan'zong'zhi'dao'da'sheng'da'ming'xiao'huang'di
薛丙,xue'bing
学蔀通辨前编,xue'bu'tong'bian'qian'bian
学蔀通辨十二卷明陈建撰,xue'bu'tong'bian'shi'er'juan'ming'chen'jian'zhuan
学的,xue'de
薛方山纪述,xue'fang'shan'ji'shu
薛方山纪述一卷明薛应旗撰据宝颜堂秘笈本排印,xue'fang'shan'ji'shu'yi'juan'ming'xue'ying'qi'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
薛凤翔,xue'feng'xiang
薛福成,xue'fu'cheng
学福斋杂者,xue'fu'zhai'za'zhe
学古编,xue'gu'bian
学古编二卷附录一卷元吴丘衍撰据夷门广牍本影印,xue'gu'bian'er'juan'fu'lu'yi'juan'yuan'wu'qiu'yan'zhuan'ju'yi'men'guang'du'ben'ying'yin
学古琐言,xue'gu'suo'yan
学规类编,xue'gui'lei'bian
学规类编二十七卷淸张伯行撰,xue'gui'lei'bian'er'shi'qi'juan'qing'zhang'bo'xing'zhuan
学规类编二十七卷淸张伯行撰据正谊堂全书本排印,xue'gui'lei'bian'er'shi'qi'juan'qing'zhang'bo'xing'zhuan'ju'zheng'yi'tang'quan'shu'ben'pai'yin
学画杂论,xue'hua'za'lun
薛蕙,xue'hui
薛己,xue'ji
薛甲,xue'jia
薛敬轩先生文集十卷明薛瑄撰据正谊堂全书本排印,xue'jing'xuan'xian'sheng'wen'ji'shi'juan'ming'xue'xuan'zhuan'ju'zheng'yi'tang'quan'shu'ben'pai'yin
薛侃,xue'kan
学科考略一卷明董其昌撰,xue'ke'kao'lue'yi'juan'ming'dong'qi'chang'zhuan
学科考略一卷明董其昌撰据学海类编本排印,xue'ke'kao'lue'yi'juan'ming'dong'qi'chang'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
雪莱诗选,xue'lai'shi'xuan
学礼五卷淸李塨撰,xue'li'wu'juan'qing'li'gong'zhuan
学林,xue'lin
雪泥书屋杂志,xue'ni'shu'wu'za'zhi
学圃杂疏一卷明王世懋撰,xue'pu'za'shu'yi'juan'ming'wang'shi'mao'zhuan
学勤好问,xue'qin'hao'wen
学勤好问曰文,xue'qin'hao'wen'yue'wen
雪山集十六卷宋王质撰,xue'shan'ji'shi'liu'juan'song'wang'zhi'zhuan
学射录二卷淸李塨撰,xue'she'lu'er'juan'qing'li'gong'zhuan
学生国学,xue'sheng'guo'xue
学寿堂诗说徐绍桢石印本,xue'shou'tang'shi'shuo'xu'shao'zhen'shi'yin'ben
学术辨一卷淸陆陇其撰,xue'shu'bian'yi'juan'qing'lu'long'qi'zhuan
学术辨一卷淸陆陇其撰据学海类编本排印,xue'shu'bian'yi'juan'qing'lu'long'qi'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
學術集林,xue'shu'ji'lin
学术前沿,xue'shu'qian'yan
学术四种,xue'shu'si'zhong
学术与政治韦伯的两篇演说,xue'shu'yu'zheng'zhi'wei'bo'de'liang'pian'yan'shuo
学书杂论,xue'shu'za'lun
雪堂墨品一卷淸张仁熙撰,xue'tang'mo'pin'yi'juan'qing'zhang'ren'xi'zhuan
