爱国统一战线,ai'guo'tong'yi'zhan'xian
强把他们,qiang'ba'ta'men
墙头一棵草风吹两边倒,qiang'tou'yi'ke'cao'feng'chui'liang'bian'dao
敲锣卖糖各干一行,qiao'luo'mai'tang'ge'gan'yi'xing
且并与心腹而弃之矣,qie'bing'yu'xin'fu'er'qi'zhi'yi
且绕栏干一百回,qie'rao'lan'gan'yi'bai'hui
秦简夫,qin'jian'fu
青山一发,qing'shan'yi'fa
情深一往,qing'shen'yi'wang
情同一家,qing'tong'yi'jia
轻鲜,qing'xian
清一,qing'yi
虬龙未化时,qiu'long'wei'hua'shi
去劝,qu'quan
阒无一人,qu'wu'yi'ren
屈一指,qu'yi'zhi
劝百讽一,quan'bai'feng'yi
全秉公心,quan'bing'gong'xin
全部开张,quan'bu'kai'zhang
劝不转,quan'bu'zhuan
圈儿外边,quan'er'wai'bian
全国一盘棋,quan'guo'yi'pan'qi
劝君更尽一杯酒,quan'jun'geng'jin'yi'bei'jiu
筌蹏一悟,quan'ti'yi'wu
阙一不可,que'yi'bu'ke
攘臂一呼,rang'bi'yi'hu
让礼一寸得礼一尺,rang'li'yi'cun'de'li'yi'chi
饶少杀,rao'shao'sha
热力学第一定律,re'li'xue'di'yi'ding'lv
人间第一黄,ren'jian'di'yi'huang
人民民主统一战线,ren'min'min'zhu'tong'yi'zhan'xian
人生一百年,ren'sheng'yi'bai'nian
人手一册,ren'shou'yi'ce
人死輒为鬼,ren'si'zhe'wei'gui
人烟輳集,ren'yan'cou'ji
人一己百,ren'yi'ji'bai
仁之胜不仁也,ren'zhi'sheng'bu'ren'ye
日见沉重,ri'jian'chen'zhong
日慎一日,ri'shen'yi'ri
日甚一日,ri'shen'yi'ri
日用之间,ri'yong'zhi'jian
日至月至,ri'zhi'yue'zhi
融合为一,rong'he'wei'yi
融为一体,rong'wei'yi'ti
熔于一炉,rong'yu'yi'lu
容斋四笔,rong'zhai'si'bi
如出一辙,ru'chu'yi'zhe
如继一臂,ru'ji'yi'bi
儒林外史,ru'lin'wai'shi
孺人,ru'ren
如是我闻,ru'shi'wo'wen
如一,ru'yi
阮籍,ruan'ji
若出一辙,ruo'chu'yi'zhe
腮上,sai'shang
三百六十行,san'bai'liu'shi'hang
三个臭皮匠合成一个诸葛亮,san'ge'chou'pi'jiang'he'cheng'yi'ge'zhu'ge'liang
三国,san'guo
三国志平话,san'guo'zhi'ping'hua
三千里江山,san'qian'li'jiang'shan
三人一龙,san'ren'yi'long
三人一条心黄土变成金,san'ren'yi'tiao'xin'huang'tu'bian'cheng'jin
三身民,san'shen'min
三十骑为一屯,san'shi'qi'wei'yi'tun
三世一爨,san'shi'yi'cuan
三五成群,san'wu'cheng'qun
三一,san'yi
三一回五一回,san'yi'hui'wu'yi'hui
三一律,san'yi'lv
三月不违者,san'yue'bu'wei'zhe
扫清嗓子里的痰,sao'qing'sang'zi'li'de'tan
沙汀,sha'ting
杀一警百,sha'yi'jing'bai
杀一利百,sha'yi'li'bai
杀一砺百,sha'yi'li'bai
山亏一蒉,shan'kui'yi'kuai
山亏一篑,shan'kui'yi'kui
山乡巨变,shan'xiang'ju'bian
上党,shang'dang
上马一提金下马一提银,shang'ma'yi'ti'jin'xia'ma'yi'ti'yin
赏一劝百,shang'yi'quan'bai
赏一劝众,shang'yi'quan'zhong
稍胜一筹,shao'sheng'yi'chou
勺水一脔,shao'shui'yi'luan
稍逊一筹,shao'xun'yi'chou
少一时,shao'yi'shi
少者百餘人,shao'zhe'bai'yu'ren
舍得一身剐敢把皇帝拉下马,she'de'yi'shen'gua'gan'ba'huang'di'la'xia'ma
社会方面,she'hui'fang'mian
伸手就是一巴掌,shen'shou'jiu'shi'yi'ba'zhang
生怕,sheng'pa
生怕一个不留神,sheng'pa'yi'ge'bu'liu'shen
绳一戒百,sheng'yi'jie'bai
胜造七级浮图,sheng'zao'qi'ji'fu'tu
十八变,shi'ba'bian
十的十倍,shi'de'shi'bei
事端变化,shi'duan'bian'hua
十分悲惨,shi'fen'bei'can
诗赋者,shi'fu'zhe
史记,shi'ji
试进一步看,shi'jin'yi'bu'kan
市井闹热,shi'jing'nao're
十骑一吏,shi'qi'yi'li
事情波折多,shi'qing'bo'zhe'duo
世上谓之一笔书,shi'shang'wei'zhi'yi'bi'shu
市声,shi'sheng
士庶,shi'shu
十数串,shi'shu'chuan
市肆,shi'si
十死一生,shi'si'yi'sheng
视同一律,shi'tong'yi'lv
诗文,shi'wen
事务的某一段,shi'wu'de'mou'yi'duan
试验田,shi'yan'tian
试一变,shi'yi'bian
始终如一,shi'zhong'ru'yi
始终若一,shi'zhong'ruo'yi
手敕曰,shou'chi'yue
手放高些,shou'fang'gao'xie
受了些风霜,shou'le'xie'feng'shuang
首屈一指,shou'qu'yi'zhi
收拾局面,shou'shi'ju'mian
收拾行李,shou'shi'xing'li
守一,shou'yi
恕不一一,shu'bu'yi'yi
数词,shu'ci
数一数,shu'yi'shu
书之体势,shu'zhi'ti'shi
书之体势一笔而成,shu'zhi'ti'shi'yi'bi'er'cheng
耍一手,shua'yi'shou
率先遁逃,shuai'xian'dun'tao
双凫一雁,shuang'fu'yi'yan
双手合成喇叭,shuang'shou'he'cheng'la'ba
睡的又香,shui'de'you'xiang
水浒传,shui'hu'zhuan
説话贩子,shui'hua'fan'zi
谁怜屡舞长,shui'lian'lv'wu'chang
谁人製下的,shui'ren'zhi'xia'de
水天一色,shui'tian'yi'se
谁谓朝来一拆雨,shui'wei'chao'lai'yi'chai'yu
説一是一説二是二,shui'yi'shi'yi'shui'er'shi'er
顺天得一,shun'tian'de'yi
说错似的,shuo'cuo'shi'de
说一不二,shuo'yi'bu'er
说一是一说二是二,shuo'yi'shi'yi'shuo'er'shi'er
四海一家,si'hai'yi'jia
死后,si'hou
斯人独憔悴,si'ren'du'qiao'cui
四散去了,si'san'qu'le
私有制度,si'you'zhi'du
送别崔寅亮下第,song'bie'cui'yin'liang'xia'di
送君千里,song'jun'qian'li
送君千里终须一别,song'jun'qian'li'zhong'xu'yi'bie
送君千里终有一别,song'jun'qian'li'zhong'you'yi'bie
送鲁郡刘长史,song'lu'jun'liu'zhang'shi
宋史,song'shi
宿弊一清,su'bi'yi'qing
素问,su'wen
素一,su'yi
俗语有本,su'yu'you'ben
算尽錙銖,suan'jin'zi'zhu
随意一瞥,sui'yi'yi'pie
孙犁,sun'li
缩成一团,suo'cheng'yi'tuan
琐谈不休,suo'tan'bu'xiu
太仓一粟,tai'cang'yi'su
太平时务,tai'ping'shi'wu
台上,tai'shang
太一,tai'yi
泰一,tai'yi
太一家,tai'yi'jia
太一数,tai'yi'shu
太一余粮,tai'yi'yu'liang
太原,tai'yuan
昙花一现,tan'hua'yi'xian
谭空和尚,tan'kong'he'shang
堂客,tang'ke
搪塞过,tang'se'guo
堂上一呼,tang'shang'yi'hu
堂上一呼阶下百诺,tang'shang'yi'hu'jie'xia'bai'nuo
唐州界,tang'zhou'jie
忒低微,te'di'wei
剃头挑子一头热,ti'tou'tiao'zi'yi'tou're
体验生活,ti'yan'sheng'huo
天命之谓性,tian'ming'zhi'wei'xing
天人合一,tian'ren'he'yi
天下第一关,tian'xia'di'yi'guan
天下方扰,tian'xia'fang'rao
天下乌鸦一般黑,tian'xia'wu'ya'yi'ban'hei
天下一家,tian'xia'yi'jia
天一,tian'yi
天字第一号,tian'zi'di'yi'hao
天字一号,tian'zi'yi'hao
调一,tiao'yi
同伴们,tong'ban'men
同功一体,tong'gong'yi'ti
痌瘝一体,tong'guan'yi'ti
同行的人,tong'hang'de'ren
同然一辞,tong'ran'yi'ci
同心一力,tong'xin'yi'li
同心一意,tong'xin'yi'yi
同样心情,tong'yang'xin'qing
同一,tong'yi
同一律,tong'yi'lv
同一性,tong'yi'xing
统一战线,tong'yi'zhan'xian
同游张园,tong'you'zhang'yuan
头发胡子一把抓,tou'fa'hu'zi'yi'ba'zhua
头一无二,tou'yi'wu'er
突厥传,tu'jue'chuan
退行一步,tui'xing'yi'bu
退一步,tui'yi'bu
晚潮急,wan'chao'ji
完成,wan'cheng
婉辞,wan'ci
万分一,wan'fen'yi
万口一词,wan'kou'yi'ci
万籟无情风自吟,wan'lai'wu'qing'feng'zi'yin
完全出乎意料,wan'quan'chu'hu'yi'liao
万死一生,wan'si'yi'sheng
万无一失,wan'wu'yi'shi
万一,wan'yi
万衆一心,wan'zhong'yi'xin
王冰,wang'bing
王充,wang'chong
王夫人,wang'fu'ren
王夫之,wang'fu'zhi
往回走,wang'hui'zou
网开一面,wang'kai'yi'mian
王阳明礼赞,wang'yang'ming'li'zan
王应奎,wang'ying'kui
王制,wang'zhi
王子敬,wang'zi'jing
委差委缺,wei'cha'wei'que
渭城曲,wei'cheng'qu
未成一篑,wei'cheng'yi'kui
威凤一羽,wei'feng'yi'yu
未见全体,wei'jian'quan'ti
惟精惟一,wei'jing'wei'yi
为山九仞功亏一篑,wei'shan'jiu'ren'gong'kui'yi'kui
危微精一一对,wei'wei'jing'yi'yi'dui
唯一,wei'yi
惟一,wei'yi
未一,wei'yi
惟一臂之弗瘳,wei'yi'bi'zhi'fu'chou
未知其二,wei'zhi'qi'er
问碌碌地时如何,wen'lu'lu'di'shi'ru'he
文明小史,wen'ming'xiao'shi
文嫂,wen'sao
文武之道,wen'wu'zhi'dao
文武之道一张一弛,wen'wu'zhi'dao'yi'zhang'yi'chi
问一答十,wen'yi'da'shi
闻一知二,wen'yi'zhi'er
闻一知十,wen'yi'zhi'shi
我爱人,wo'ai'ren
卧病后,wo'bing'hou
无病一身轻,wu'bing'yi'shen'qing
武帝纪,wu'di'ji
呜呼哀哉,wu'hu'ai'zai
吾麋何在,wu'mi'he'zai
无日不歌,wu'ri'bu'ge
无威望者,wu'wei'wang'zhe
无限的忿激,wu'xian'de'fen'ji
无一不备,wu'yi'bu'bei
无一不知,wu'yi'bu'zhi
五一国际劳动节,wu'yi'guo'ji'lao'dong'jie
无一可,wu'yi'ke
五一六通知,wu'yi'liu'tong'zhi
无忧愁,wu'you'chou
无忧愁太平时务,wu'you'chou'tai'ping'shi'wu
无忧馆,wu'you'guan
无欲之地,wu'yu'zhi'di
武震,wu'zhen
吴制府,wu'zhi'fu
西出阳关无故人,xi'chu'yang'guan'wu'gu'ren
西河,xi'he
洗劫一空,xi'jie'yi'kong
戏曲中的节拍,xi'qu'zhong'de'jie'pai
西山外经,xi'shan'wai'jing
西山语录,xi'shan'yu'lu
戏文好歹,xi'wen'hao'dai
细细搜,xi'xi'sou
西厢记,xi'xiang'ji
西游记,xi'you'ji
细珠,xi'zhu
显明之右,xian'ming'zhi'you
掀髯一粲,xian'ran'yi'can
先上殿,xian'shang'dian
咸阳一炬,xian'yang'yi'ju
闲一,xian'yi
险战者,xian'zhan'zhe
乡风故事,xiang'feng'gu'shi
相关词语,xiang'guan'ci'yu
相火治之,xiang'huo'zhi'zhi
相了一回,xiang'le'yi'hui
相一,xiang'yi
相与为一,xiang'yu'wei'yi
小楼春,xiao'lou'chun
啸亭续录,xiao'ting'xu'lu
嚣张一时,xiao'zhang'yi'shi
斜飘细溼春郊衣,xie'piao'xi'shi'chun'jiao'yi
协一,xie'yi
蝎子屎毒一份,xie'zi'shi'du'yi'fen
心口不一,xin'kou'bu'yi
心口如一,xin'kou'ru'yi
新唐书,xin'tang'shu
新序,xin'xu
心有灵犀一点通,xin'you'ling'xi'yi'dian'tong
形容人,xing'rong'ren
行走时,xing'zou'shi
雄视一世,xiong'shi'yi'shi
袖中,xiu'zhong
虚晃一枪,xu'huang'yi'qiang
续夷坚志,xu'yi'jian'zhi
宣和遗事,xuan'he'yi'shi
烜赫一时,xuan'he'yi'shi
玄一,xuan'yi
薛道衡传,xue'dao'heng'chuan
学道者,xue'dao'zhe
学校,xue'xiao
薛元超传,xue'yuan'chao'chuan
循吏传,xun'li'chuan
压一,ya'yi
眼空一世,yan'kong'yi'shi
言论行事,yan'lun'xing'shi
雁门,yan'men
焉耆一龟兹语,yan'qi'yi'qiu'ci'yu
眼前幻出,yan'qian'huan'chu
颜师古,yan'shi'gu
言行抱一,yan'xing'bao'yi
言行不一,yan'xing'bu'yi
言行若一,yan'xing'ruo'yi
言行一致,yan'xing'yi'zhi
奄奄一息,yan'yan'yi'xi
淹淹一息,yan'yan'yi'xi
奄一,yan'yi
言语行为有条理,yan'yu'xing'wei'you'tiao'li
颜子,yan'zi
养兵千日用兵一时,yang'bing'qian'ri'yong'bing'yi'shi
养兵千日用在一朝,yang'bing'qian'ri'yong'zai'yi'zhao
杨妃一捻红,yang'fei'yi'nian'hong
杨复吉,yang'fu'ji
养军千日,yang'jun'qian'ri
养军千日用在一时,yang'jun'qian'ri'yong'zai'yi'shi
养军千日用在一朝,yang'jun'qian'ri'yong'zai'yi'zhao
杨朔,yang'shuo
杨万里,yang'wan'li
养心莫善於寡欲,yang'xin'mo'shan'yu'gua'yu
遥稔,yao'ren
摇身一变,yao'shen'yi'bian
要做到这一步,yao'zuo'dao'zhe'yi'bu
夜半,ye'ban
叶永烈,ye'yong'lie
以八尺为一步,yi'ba'chi'wei'yi'bu
一把死拿,yi'ba'si'na
一把钥匙开一把锁,yi'ba'yao'shi'kai'yi'ba'suo
一巴掌,yi'ba'zhang
一巴掌人,yi'ba'zhang'ren
一把抓,yi'ba'zhua
一把子,yi'ba'zi
一败,yi'bai
一百,yi'bai
一百八十度,yi'bai'ba'shi'du
一百二十行,yi'bai'er'shi'hang
一百个,yi'bai'ge
一百六,yi'bai'liu
一败涂地,yi'bai'tu'di
一百五,yi'bai'wu
一百五日,yi'bai'wu'ri
一百五日风雨急,yi'bai'wu'ri'feng'yu'ji
一百杖头钱,yi'bai'zhang'tou'qian
一版,yi'ban
一斑半点,yi'ban'ban'dian
一半儿,yi'ban'er
一般规律,yi'ban'gui'lv
一般见识,yi'ban'jian'shi
一板三眼,yi'ban'san'yan
一半天,yi'ban'tian
一般样,yi'ban'yang
一班一辈,yi'ban'yi'bei
一班一级,yi'ban'yi'ji
一板一眼,yi'ban'yi'yan
一半子,yi'ban'zi
一瓣子心,yi'ban'zi'xin
一棒子,yi'bang'zi
一棒子酒,yi'bang'zi'jiu
一包在内,yi'bao'zai'nei
一辈,yi'bei
一杯,yi'bei
一杯的容量,yi'bei'de'rong'liang
一辈儿,yi'bei'er
一桮羹,yi'bei'geng
一杯羹在此冷了,yi'bei'geng'zai'ci'leng'le
一辈衣冠方事事,yi'bei'yi'guan'fang'shi'shi
一本万利,yi'ben'wan'li
一臂,yi'bi
一笔不苟,yi'bi'bu'gou
一笔而成,yi'bi'er'cheng
一笔勾,yi'bi'gou
一笔勾断,yi'bi'gou'duan
一笔锦,yi'bi'jin
一鼻孔,yi'bi'kong
一鼻孔出气,yi'bi'kong'chu'qi
一臂民,yi'bi'min
一笔抹煞,yi'bi'mo'sha
一笔书,yi'bi'shu
一笔写成,yi'bi'xie'cheng
一臂之力,yi'bi'zhi'li
一變,yi'bian
一边,yi'bian
一变,yi'bian
一边儿,yi'bian'er
一邊兒,yi'bian'er
一边儿高,yi'bian'er'gao
一变而致羽物,yi'bian'er'zhi'yu'wu
一变復生,yi'bian'fu'sheng
一鞭先著,yi'bian'xian'zhu
一表,yi'biao
一表非凡,yi'biao'fei'fan
一表非俗,yi'biao'fei'su
一表人才,yi'biao'ren'cai
一表人材,yi'biao'ren'cai
仪表堂皇,yi'biao'tang'huang
一表堂堂,yi'biao'tang'tang
一别气,yi'bie'qi
一病不起,yi'bing'bu'qi
一秉大公,yi'bing'da'gong
一秉虔诚,yi'bing'qian'cheng
一秉至公,yi'bing'zhi'gong
一波,yi'bo
一波不动月空照,yi'bo'bu'dong'yue'kong'zhao
一波纔退,yi'bo'cai'tui
一波纔退一波来,yi'bo'cai'tui'yi'bo'lai
一波未平,yi'bo'wei'ping
一波未平一波又起,yi'bo'wei'ping'yi'bo'you'qi
一波已作,yi'bo'yi'zuo
一步八箇谎,yi'bu'ba'ge'huang
一步登天,yi'bu'deng'tian
一步地都行上,yi'bu'di'dou'hang'shang
一步儿,yi'bu'er
一不扭众,yi'bu'niu'zhong
一不意,yi'bu'yi
一步一鬼,yi'bu'yi'gui
一不意人君如此也,yi'bu'yi'ren'jun'ru'ci'ye
一步有六尺四寸,yi'bu'you'liu'chi'si'cun
一不做二不休,yi'bu'zuo'er'bu'xiu
一粲,yi'can
一茶,yi'cha
一察,yi'cha
一差半错,yi'cha'ban'cuo
一差二錯,yi'cha'er'cu
一差二错,yi'cha'er'cuo
一刹那顷,yi'cha'na'qing
一拆雨,yi'chai'yu
一铲,yi'chan
一刬,yi'chan
一剷,yi'chan
一廛,yi'chan
一阐提,yi'chan'ti
一唱,yi'chang
一倡百和,yi'chang'bai'he
一长半短,yi'chang'ban'duan
一長串,yi'chang'chuan
一长串,yi'chang'chuan
一场春梦,yi'chang'chun'meng
一场空,yi'chang'kong
一倡三叹,yi'chang'san'tan
一長一短,yi'chang'yi'duan
一长一短,yi'chang'yi'duan
一唱一和,yi'chang'yi'he
一彻万融,yi'che'wan'rong
一尘,yi'chen
一诚,yi'cheng
一乘,yi'cheng
一成,yi'cheng
一程,yi'cheng
以成今草,yi'cheng'jin'cao
一成一旅,yi'cheng'yi'lv
一程子,yi'cheng'zi
一鸱,yi'chi
一尺,yi'chi
一尺捶,yi'chi'chui
一尺水翻腾做一丈波,yi'chi'shui'fan'teng'zuo'yi'zhang'bo
一尺水十丈波,yi'chi'shui'shi'zhang'bo
一尺素,yi'chi'su
一尺腰,yi'chi'yao
一出,yi'chu
一初,yi'chu
一触即发,yi'chu'ji'fa
一椽,yi'chuan
一传十十传百,yi'chuan'shi'shi'chuan'bai
一剏,yi'chuang
一牀锦被遮盖,yi'chuang'jin'bei'zhe'gai
一床两好,yi'chuang'liang'hao
一牀两好,yi'chuang'liang'hao
一锤子买卖,yi'chui'zi'mai'mai
一次变故,yi'ci'bian'gu
一次方程,yi'ci'fang'cheng
一赐乐业教,yi'ci'le'ye'jiao
一辞莫赞,yi'ci'mo'zan
以此为轻重,yi'ci'wei'qing'zhong
一次污染物,yi'ci'wu'ran'wu
一从,yi'cong
一蹴,yi'cu
一蹴而成,yi'cu'er'cheng
一攒攒,yi'cuan'cuan
一寸丹心,yi'cun'dan'xin
一寸光阴一寸金,yi'cun'guang'yin'yi'cun'jin
一寸葚,yi'cun'shen
一寸阴,yi'cun'yin
一打,yi'da
一搭,yi'da
一答,yi'da
一大半,yi'da'ban
一大劫,yi'da'jie
一大摞,yi'da'luo
一大些,yi'da'xie
一搭一檔,yi'da'yi'dang
一大早,yi'da'zao
一代,yi'dai
一代鼎臣,yi'dai'ding'chen
一代儿,yi'dai'er
一代风流,yi'dai'feng'liu
一代楷模,yi'dai'kai'mo
一代谈宗,yi'dai'tan'zong
一代文宗,yi'dai'wen'zong
一代宗臣,yi'dai'zong'chen
一旦,yi'dan
一旦无常,yi'dan'wu'chang
一旦夜,yi'dan'ye
一旦珠还,yi'dan'zhu'huan
一党,yi'dang
一到伴,yi'dao'ban
一到处,yi'dao'chu
一刀两断,yi'dao'liang'duan
一刀切,yi'dao'qie
一德,yi'de
一德一心,yi'de'yi'xin
一得之功,yi'de'zhi'gong
一递,yi'di
一敌国,yi'di'guo
一地胡拿,yi'di'hu'na
一递一个,yi'di'yi'ge
一底一面,yi'di'yi'mian
一点半点,yi'dian'ban'dian
一雕双兔,yi'diao'shuang'tu
一叠,yi'die
一叠连,yi'die'lian
一迭声,yi'die'sheng
一叠声,yi'die'sheng
一丁,yi'ding
一丁不识,yi'ding'bu'shi
一丁点儿,yi'ding'dian'er
一定之规,yi'ding'zhi'gui
一丢丢,yi'diu'diu
一肚,yi'du
一度变化,yi'du'bian'hua
一断,yi'duan
一段,yi'duan
一堆,yi'dui
一对,yi'dui
一垛,yi'duo
一鹗书,yi'e'shu
一二八事变,yi'er'ba'shi'bian
一而不党,yi'er'bu'dang
一而二二而一,yi'er'er'er'er'yi
一二九运动,yi'er'jiu'yun'dong
一二三四五六七,yi'er'san'si'wu'liu'qi
一饭,yi'fan
一反,yi'fan
一帆,yi'fan
一番,yi'fan
一饭恩,yi'fan'en
一反其道,yi'fan'qi'dao
一饭三吐哺,yi'fan'san'tu'bu
一饭之德,yi'fan'zhi'de
一房,yi'fang
一放假,yi'fang'jia
一方之任,yi'fang'zhi'ren
一份,yi'fen
一分行情一分货,yi'fen'hang'qing'yi'fen'huo
一分为二,yi'fen'wei'er
一分子,yi'fen'zi
一封,yi'feng
一逢掖,yi'feng'ye
一佛出世,yi'fo'chu'shi
一佛出世二佛升天,yi'fo'chu'shi'er'fo'sheng'tian
一佛出世二佛生天,yi'fo'chu'shi'er'fo'sheng'tian
一副,yi'fu
一幅,yi'fu
一府,yi'fu
一符,yi'fu
一夫当关万夫莫摧,yi'fu'dang'guan'wan'fu'mo'cui
一夫之勇,yi'fu'zhi'yong
一概而论,yi'gai'er'lun
一干,yi'gan
一干二净,yi'gan'er'jing
一干人犯,yi'gan'ren'fan
一杆子插到底,yi'gan'zi'cha'dao'di
一个,yi'ge
一割,yi'ge
一个巴掌拍不响,yi'ge'ba'zhang'pai'bu'xiang
一个半个,yi'ge'ban'ge
一箇半箇,yi'ge'ban'ge
一个不留神,yi'ge'bu'liu'shen
一疙瘩,yi'ge'da
一圪垛,yi'ge'duo
一个接一个,yi'ge'jie'yi'ge
一个老鼠害一锅汤,yi'ge'lao'shu'hai'yi'guo'tang
一个世代,yi'ge'shi'dai
一个问题,yi'ge'wen'ti
一个心眼,yi'ge'xin'yan
一个心眼儿,yi'ge'xin'yan'er
一个子儿,yi'ge'zi'er
一根,yi'gen
一鈎,yi'gou
一钩,yi'gou
一顾,yi'gu
一谷不升,yi'gu'bu'sheng
一股劲,yi'gu'jin
一骨鲁,yi'gu'lu
一骨碌,yi'gu'lu
一股那,yi'gu'na
一股脑儿,yi'gu'nao'er
一顾千金,yi'gu'qian'jin
一顾倾城,yi'gu'qing'cheng
一鼓一板,yi'gu'yi'ban
一鼓作气,yi'gu'zuo'qi
一卦,yi'gua
一呱声,yi'gua'sheng
一莞,yi'guan
一官半职,yi'guan'ban'zhi
一光,yi'guang
一规,yi'gui
一归,yi'gui
一晷,yi'gui
一棍子打死,yi'gun'zi'da'si
一锅面,yi'guo'mian
一毫,yi'hao
一毫不差,yi'hao'bu'cha
一毫子,yi'hao'zi
一呵,yi'he
一呵而就,yi'he'er'jiu
一合再离,yi'he'zai'li
一哄,yi'hong
一轰而散,yi'hong'er'san
一鬨而散,yi'hong'er'san
一壶,yi'hu
一笏,yi'hu
一虎不河,yi'hu'bu'he
一忽儿,yi'hu'er
一忽忽,yi'hu'hu
一忽拉,yi'hu'la
一壶千金,yi'hu'qian'jin
一忽闪,yi'hu'shan
一斛珠,yi'hu'zhu
一花,yi'hua
一画开天,yi'hua'kai'tian
一花五叶,yi'hua'wu'ye
一麾,yi'hui
一挥而成,yi'hui'er'cheng
一回家,yi'hui'jia
一挥九制,yi'hui'jiu'zhi
一回生二回熟,yi'hui'sheng'er'hui'shu
一晦一明,yi'hui'yi'ming
一夥,yi'huo
一或,yi'huo
一火,yi'huo
一火洒,yi'huo'sa
一迹,yi'ji
一际,yi'ji
一积,yi'ji
一饥两饱,yi'ji'liang'bao
一己之见,yi'ji'zhi'jian
一家,yi'jia
一家不成两家现在,yi'jia'bu'cheng'liang'jia'xian'zai
一家春,yi'jia'chun
一家骨肉,yi'jia'gu'rou
一家伙,yi'jia'huo
一家眷属,yi'jia'juan'shu
一家哭,yi'jia'ku
一家老小,yi'jia'lao'xiao
一家门,yi'jia'men
一家人,yi'jia'ren
一家书,yi'jia'shu
一家言,yi'jia'yan
一家一火,yi'jia'yi'huo
一家一计,yi'jia'yi'ji
一甲一名,yi'jia'yi'ming
一家语,yi'jia'yu
一家之作,yi'jia'zhi'zuo
一家子,yi'jia'zi
一肩,yi'jian
一箭道,yi'jian'dao
一肩两锄,yi'jian'liang'chu
一见了然,yi'jian'liao'ran
一剪梅,yi'jian'mei
一见破败,yi'jian'po'bai
一见倾心,yi'jian'qing'xin
一见如故,yi'jian'ru'gu
一见如旧,yi'jian'ru'jiu
一箭上垛,yi'jian'shang'duo
一箭双雕,yi'jian'shuang'diao
一箭双鵰,yi'jian'shuang'diao
一箭之地,yi'jian'zhi'di
一见钟情,yi'jian'zhong'qing
一浆十饼,yi'jiang'shi'bing
一脚,yi'jiao
一脚指,yi'jiao'zhi
一芥,yi'jie
一劫,yi'jie
一截,yi'jie
一皆,yi'jie
一街两巷,yi'jie'liang'xiang
一接如旧,yi'jie'ru'jiu
一介行人,yi'jie'xing'ren
一介之才,yi'jie'zhi'cai
一介之善,yi'jie'zhi'shan
一金,yi'jin
一迳,yi'jing
一劲,yi'jing
一径,yi'jing
一竟,yi'jing
一经,yi'jing
一茎九穗,yi'jing'jiu'sui
一茎六穗,yi'jing'liu'sui
已经听到,yi'jing'ting'dao
一九,yi'jiu
一就,yi'jiu
一九三六年春在太原,yi'jiu'san'liu'nian'chun'zai'tai'yuan
一就手儿,yi'jiu'shou'er
一聚,yi'ju
一举,yi'ju
一匊,yi'ju
一句话,yi'ju'hua
一蹶,yi'jue
一蹶不振,yi'jue'bu'zhen
一决雌雄,yi'jue'ci'xiong
一决胜负,yi'jue'sheng'fu
一看就明白,yi'kan'jiu'ming'bai
依靠民众的力量,yi'kao'min'zhong'de'li'liang
一刻,yi'ke
一客不烦二主,yi'ke'bu'fan'er'zhu
一客不犯二主,yi'ke'bu'fan'er'zhu
一客不烦两家,yi'ke'bu'fan'liang'jia
一窠麻,yi'ke'ma
一刻千金,yi'ke'qian'jin
一棵树上吊死人,yi'ke'shu'shang'diao'si'ren
一孔之见,yi'kong'zhi'jian
一口不能着两匙,yi'kou'bu'neng'zhe'liang'shi
一口长斋,yi'kou'chang'zhai
一口气,yi'kou'qi
一口同声,yi'kou'tong'sheng
一口吸尽西江水,yi'kou'xi'jin'xi'jiang'shui
一口吸尽西江水一壁,yi'kou'xi'jin'xi'jiang'shui'yi'bi
一口一口,yi'kou'yi'kou
一口中,yi'kou'zhong
一快,yi'kuai
一块石头落地,yi'kuai'shi'tou'luo'di
一块石头落了地,yi'kuai'shi'tou'luo'le'di
一块土,yi'kuai'tu
一匡,yi'kuang
一匡九合,yi'kuang'jiu'he
一匮,yi'kui
一夔已足,yi'kui'yi'zu
一夔足,yi'kui'zu
一壸千金,yi'kun'qian'jin
一腊一斗珠,yi'la'yi'dou'zhu
一来一往,yi'lai'yi'wang
一揽包收,yi'lan'bao'shou
一览表,yi'lan'biao
一浪,yi'lang
一劳久逸,yi'lao'jiu'yi
一老一实,yi'lao'yi'shi
一劳永逸,yi'lao'yong'yi
一力,yi'li
一力承当,yi'li'cheng'dang
一连,yi'lian
一连串,yi'lian'chuan
一连叠,yi'lian'die
一连气,yi'lian'qi
一两,yi'liang
一两天,yi'liang'tian
一了百了,yi'liao'bai'liao
一列,yi'lie
一鳞半甲,yi'lin'ban'jia
一鳞半爪,yi'lin'ban'zhao
一鳞片爪,yi'lin'pian'zhao
一鳞一爪,yi'lin'yi'zhao
一领,yi'ling
一灵,yi'ling
一零儿,yi'ling'er
一灵真性,yi'ling'zhen'xing
一流,yi'liu
一绺,yi'liu
以六尺为一步,yi'liu'chi'wei'yi'bu
一溜儿,yi'liu'er
一溜水,yi'liu'shui
一溜烟,yi'liu'yan
一溜遭,yi'liu'zao
一溜子,yi'liu'zi
一路平安,yi'lu'ping'an
一路顺风,yi'lu'shun'feng
一略数,yi'lue'shu
一落,yi'luo
一落千丈,yi'luo'qian'zhang
一落索,yi'luo'suo
一络索,yi'luo'suo
一律,yi'lv
一缕烟,yi'lv'yan
一马不被两鞍,yi'ma'bu'bei'liang'an
一马当先,yi'ma'dang'xian
