艾启蒙,ai'qi'meng
扬州八怪,yang'zhou'ba'guai
姚华,yao'hua
姚黄,yao'huang
姚舜熙,yao'shun'xi
姚廷美,yao'ting'mei
叶柄,ye'bing
叶尖,ye'jian
叶筋,ye'jin
耶律倍,ye'lv'bei
叶脉,ye'mai
叶浅予,ye'qian'yu
野兽派,ye'shou'pai
叶肖岩,ye'xiao'yan
叶欣,ye'xin
意临,yi'lin
以墨代色,yi'mo'dai'se
伊念曾,yi'nian'ceng
艺术作品,yi'shu'zuo'pin
翼羽,yi'yu
易元吉,yi'yuan'ji
意在笔先,yi'zai'bi'xian
印度黄,yin'du'huang
殷洪,yin'hong
银色,yin'se
阴文,yin'wen
印象画派,yin'xiang'hua'pai
印象主义,yin'xiang'zhu'yi
阴阳向背,yin'yang'xiang'bei
殷仲咨,yin'zhong'zi
印宗秦汉,yin'zong'qin'han
英国红,ying'guo'hong
应物象形,ying'wu'xiang'xing
永固红,yong'gu'hong
永字八法,yong'zi'ba'fa
游禽,you'qin
游丝描,you'si'miao
俞涤凡,yu'di'fan
雨点皴,yu'dian'cun
于非闇,yu'fei'an
于非厂,yu'fei'chang
玉芙蓉,yu'fu'rong
羽冠,yu'guan
喻慧,yu'hui
喻继高,yu'ji'gao
俞剑华,yu'jian'hua
欲上先先,yu'shang'xian'xian
余省,yu'sheng
于省吾,yu'sheng'wu
欲下先上,yu'xia'xian'shang
于学志,yu'xue'zhi
于右任,yu'you'ren
欲右先左,yu'you'xian'zuo
羽枝,yu'zhi
禹之鼎,yu'zhi'ding
于志学,yu'zhi'xue
余致贞,yu'zhi'zhen
羽轴,yu'zhou
欲左先右,yu'zuo'xian'you
元代山水,yuan'dai'shan'shui
袁江,yuan'jiang
远景,yuan'jing
元四家,yuan'si'jia
院体画风,yuan'ti'hua'feng
袁耀,yuan'yao
元朱文,yuan'zhu'wen
恽格,yun'ge
云流水描,yun'liu'shui'miao
晕染,yun'ran
恽寿平,yun'shou'ping
云头皴,yun'tou'cun
扎染,za'ran
枣核描,zao'he'miao
造型艺术,zao'xing'yi'shu
曾国藩,zeng'guo'fan
战笔,zhan'bi
战笔水纹描,zhan'bi'shui'wen'miao
展览,zhan'lan
展子虔,zhan'zi'qian
张大千,zhang'da'qian
张宏,zhang'hong
张浃,zhang'jia
张路,zhang'lu
张墨,zhang'mo
张南本,zhang'nan'ben
张鹏,zhang'peng
张铨,zhang'quan
张瑞图,zhang'rui'tu
张若澄,zhang'ruo'cheng
张僧繇,zhang'seng'yao
张善子,zhang'shan'zi
张士英,zhang'shi'ying
张世忠,zhang'shi'zhong
张舜咨,zhang'shun'zi
张思恭,zhang'si'gong
张翁,zhang'weng
张渥,zhang'wo
张孝师,zhang'xiao'shi
张熊,zhang'xiong
张萱,zhang'xuan
张训礼,zhang'xun'li
张彦远,zhang'yan'yuan
张雨,zhang'yu
张瑀,zhang'yu
张羽忠,zhang'yu'zhong
张璪,zhang'zao
张择端,zhang'ze'duan
张著,zhang'zhu
张宗苍,zhang'zong'cang
赵哀,zhao'ai
赵蓓欣,zhao'bei'xin
赵伯驹,zhao'bo'ju
赵伯肃,zhao'bo'su
赵昌,zhao'chang
赵粉,zhao'fen
赵风,zhao'feng
赵公佑,zhao'gong'you
赵光辅,zhao'guang'fu
赵国经,zhao'guo'jing
赵佶,zhao'ji
赵麟,zhao'lin
赵履中,zhao'lv'zhong
赵孟頫,zhao'meng'fu
赵孟坚,zhao'meng'jian
罩染,zhao'ran
赵山甫,zhao'shan'fu
赵少昂,zhao'shao'ang
赵时冈,zhao'shi'gang
赵望云,zhao'wang'yun
赵无极,zhao'wu'ji
赵奕,zhao'yi
赵雍,zhao'yong
赵原,zhao'yuan
赵之谦,zhao'zhi'qian
赵子谦,zhao'zi'qian
赵左,zhao'zuo
折股钗,zhe'gu'chai
赭灰,zhe'hui
折芦描,zhe'lu'miao
赭绿色,zhe'lv'se
赭石,zhe'shi
折枝,zhe'zhi
折皱,zhe'zhou
真然,zhen'ran
镇纸,zhen'zhi
正瓣,zheng'ban
郑板桥,zheng'ban'qiao
郑法士,zheng'fa'shi
郑力,zheng'li
郑路迅,zheng'lu'xun
郑虔,zheng'qian
郑思肖,zheng'si'xiao
郑文焯,zheng'wen'chao
郑午昌,zheng'wu'chang
郑燮,zheng'xie
郑雅风,zheng'ya'feng
正叶,zheng'ye
知白当黑,zhi'bai'dang'hei
知不足斋,zhi'bu'zu'zhai
质感,zhi'gan
枝梗,zhi'geng
指画,zhi'hua
汁绿,zhi'lv
重彩画,zhong'cai'hua
中得心源,zhong'dei'xin'yuan
中锋,zhong'feng
中锋行笔,zhong'feng'xing'bi
中铬黄,zhong'ge'huang
中宫收缩,zhong'gong'shou'suo
中国工笔画,zhong'guo'gong'bi'hua
中国红,zhong'guo'hong
中国画,zhong'guo'hua
中黄,zhong'huang
中景,zhong'jing
中堂,zhong'tang
中有实,zhong'you'shi
周臣,zhou'chen
周鼎,zhou'ding
周昉,zhou'fang
周闲,zhou'xian
周彦生,zhou'yan'sheng
周中耀,zhou'zhong'yao
朱磦,zhu'biao
竹禅,zhu'chan
祝昌,zhu'chang
朱偁,zhu'chen
朱耷,zhu'da
朱道平,zhu'dao'ping
朱端,zhu'duan
朱红,zhu'hong
朱怀瑾,zhu'huai'jin
诸乐三,zhu'le'san
朱淼,zhu'miao
朱屺瞻,zhu'qi'zhan
朱锐,zhu'rui
朱砂,zhu'sha
朱生,zhu'sheng
竹石,zhu'shi
祝天祺,zhu'tian'qi
朱新建,zhu'xin'jian
朱熊,zhu'xiong
竹叶描,zhu'ye'miao
朱冤,zhu'yuan
祝允明,zhu'yun'ming
朱振庚,zhu'zhen'geng
爪尖,zhua'jian
篆刻,zhuan'ke
篆书,zhuan'shu
装裱,zhuang'biao
装池,zhuang'chi
装磺,zhuang'huang
庄心贤,zhuang'xin'xian
紫红,zi'hong
紫罗兰,zi'luo'lan
自然主义,zi'ran'zhu'yi
紫色,zi'se
邹传安,zou'chuan'an
邹复雷,zou'fu'lei
邹一桂,zou'yi'gui
邹喆,zou'zhe
嘴锋,zui'feng
嘴中线,zui'zhong'xian
做旧,zuo'jiu
左右均衡,zuo'you'jun'heng
作者,zuo'zhe
