拔白菜,ba'bai'cai
杨排风招亲,yang'pai'feng'zhao'qin
杨七郎打擂,yang'qi'lang'da'lei
杨总办调兵,yang'zong'ban'diao'bing
杨宗保问路,yang'zong'bao'wen'lu
姚大娘捉特务,yao'da'niang'zhuo'te'wu
咬脐郎打围,yao'qi'lang'da'wei
叶绿花红,ye'lv'hua'hong
夜审周子琴,ye'shen'zhou'zi'qin
夜宿花亭,ye'su'hua'ting
夜宿张家庄,ye'su'zhang'jia'zhuang
夜走青石岭,ye'zou'qing'shi'ling
一代新人学雷锋,yi'dai'xin'ren'xue'lei'feng
一朵香花重又开,yi'duo'xiang'hua'chong'you'kai
一筐海棠果,yi'kuang'hai'tang'guo
一盆君子兰,yi'pen'jun'zi'lan
一匹枣红马,yi'pi'zao'hong'ma
艺人翻身,yi'ren'fan'shen
一丸药,yi'wan'yao
忆征程,yi'zheng'cheng
一枝花捎书,yi'zhi'hua'shao'shu
一只鸡,yi'zhi'ji
阴功报,yin'gong'bao
阴魂阵,yin'hun'zhen
银酒壶,yin'jiu'hu
银秀英五更,yin'xiu'ying'wu'geng
姻缘美梦,yin'yuan'mei'meng
鹦哥对诗,ying'ge'dui'shi
英雄会,ying'xiong'hui
尤三姐,you'san'jie
游武庙,you'wu'miao
游西湖,you'xi'hu
油炸煤球,you'zha'mei'qiu
玉华和春发,yu'hua'he'chun'fa
玉堂春,yu'tang'chun
玉霞学艺,yu'xia'xue'yi
鱼鸭缘,yu'ya'yuan
雨夜挖壕,yu'ye'wa'hao
鸳鸯嫁老雕,yuan'yang'jia'lao'diao
岳母刺字,yue'mu'ci'zi
月上柳梢头,yue'shang'liu'shao'tou
月牙五更,yue'ya'wu'geng
月夜拣粮,yue'ye'jian'liang
云秀英劝夫,yun'xiu'ying'quan'fu
砸鸾驾,za'luan'jia
灶王诉功,zao'wang'su'gong
贼夫人,zei'fu'ren
扎花帐,zha'hua'zhang
铡叶阁老,zha'ye'ge'lao
摘黄瓜,zhai'huang'gua
摘桃,zhai'tao
战北律,zhan'bei'lv
战长沙,zhan'chang'sha
斩夫剑,zhan'fu'jian
站花墙,zhan'hua'qiang
张郎休妻,zhang'lang'xiu'qi
张生游寺,zhang'sheng'you'si
张四姐临凡,zhang'si'jie'lin'fan
张彦赶船,zhang'yan'gan'chuan
昭君出塞,zhao'jun'chu'sai
赵匡胤打枣,zhao'kuang'yin'da'zao
这种风气不该兴,zhe'zhong'feng'qi'bu'gai'xing
真假新娘,zhen'jia'xin'niang
贞节立牌坊,zhen'jie'li'pai'fang
珍珠衫,zhen'zhu'shan
正德访贤,zheng'de'fang'xian
蒸馒头,zheng'man'tou
志同道合,zhi'tong'dao'he
中秋更想咱总理,zhong'qiu'geng'xiang'zan'zong'li
中秋月下,zhong'qiu'yue'xia
忠义厅,zhong'yi'ting
猪八戒拱地,zhu'ba'jie'gong'di
猪八戒招亲,zhu'ba'jie'zhao'qin
猪八戒醉酒,zhu'ba'jie'zui'jiu
诸葛亮招亲,zhu'ge'liang'zhao'qin
朱洪武挂画,zhu'hong'wu'gua'hua
朱买臣打柴,zhu'mai'chen'da'chai
朱买臣赶考,zhu'mai'chen'gan'kao
抓蝈蝈,zhua'guo'guo
抓家虎,zhua'jia'hu
庄金定思夫,zhuang'jin'ding'si'fu
状元图,zhuang'yuan'tu
追驸马,zhui'fu'ma
拙姑娘,zhuo'gu'niang
自找对象,zi'zhao'dui'xiang
紫竹崖,zi'zhu'ya
宗保抗令,zong'bao'kang'ling
走着瞧,zou'zhe'qiao
钻炕洞,zuan'kang'dong
做风筝,zuo'feng'zheng
