阿飞,a'fei
结晶五角牢,jie'jing'wu'jiao'lao
结晶五角路,jie'jing'wu'jiao'lu
结印,jie'yin
金缚之术,jin'fu'zhi'shu
金刚牢壁,jin'gang'lao'bi
津奈美,jin'nai'mei
金色闪光,jin'se'shan'guang
禁术,jin'shu
近松十人众,jin'song'shi'ren'zhong
近战型,jin'zhan'xing
晶遁结晶手里剑,jing'dun'jie'jing'shou'li'jian
晶遁结晶五角牢,jing'dun'jie'jing'wu'jiao'lao
晶遁结晶五角路,jing'dun'jie'jing'wu'jiao'lu
惊门,jing'men
景门,jing'men
镜面袭者之术,jing'mian'xi'zhe'zhi'shu
晶手里剑,jing'shou'li'jian
井野,jing'ye
静音,jing'yin
究极觉醒,jiu'ji'jue'xing
九喇嘛,jiu'la'ma
九尾,jiu'wei
九尾狐,jiu'wei'hu
九尾螺旋丸,jiu'wei'luo'xuan'wan
九尾妖狐,jiu'wei'yao'hu
巨大六角手里剑,ju'da'liu'jiao'shou'li'jian
飓风水涡之术,ju'feng'shui'wo'zhi'shu
居合斩,ju'he'zhan
菊助,ju'zhu
卷轴,juan'zhou
绝对防御,jue'dui'fang'yu
绝对硬度,jue'dui'ying'du
绝牛,jue'niu
军粮丸,jun'liang'wan
君麻吕,jun'ma'lv
卡多,ka'duo
卡卡西,ka'ka'xi
卡茹伊,ka'ru'yi
卡伊,ka'yi
开门,kai'men
开土升掘,kai'tu'sheng'jue
开眼,kai'yan
勘九郎,kan'jiu'lang
堪九郎,kan'jiu'lang
拷贝忍者卡卡西,kao'bei'ren'zhe'ka'ka'xi
空间忍术,kong'jian'ren'shu
孔雀双子剑千面风,kong'que'shuang'zi'jian'qian'mian'feng
孔雀旋风,kong'que'xuan'feng
口寄之术,kou'ji'zhi'shu
苦无,ku'wu
傀儡师,kui'lei'shi
傀儡术,kui'lei'shu
廓庵入尘垂手,kuo'an'ru'chen'chui'shou
蛞蝓,kuo'yu
蛞蝓大人,kuo'yu'da'ren
癞蛤蟆短刀斩,lai'ha'ma'duan'dao'zhan
来迎千手杀,lai'ying'qian'shou'sha
岚遁,lan'dun
岚遁励错锁苛素,lan'dun'li'cuo'suo'ke'su
岚华,lan'hua
兰丸,lan'wan
狼牙雪崩术,lang'ya'xue'beng'shu
牢不可破,lao'bu'ke'po
老蛤蟆仙人,lao'ha'ma'xian'ren
老紫,lao'zi
雷传,lei'chuan
雷刀,lei'dao
雷刀牙,lei'dao'ya
雷遁,lei'dun
雷遁八刀流,lei'dun'ba'dao'liu
雷遁避雷针,lei'dun'bi'lei'zhen
雷遁地走,lei'dun'de'zou
雷遁黑豹,lei'dun'hei'bao
雷遁雷缚,lei'dun'lei'fu
雷遁伟暗,lei'dun'wei'an
雷遁影分身,lei'dun'ying'fen'shen
雷分身,lei'fen'shen
雷犁热刀,lei'li're'dao
雷夢雷人,lei'meng'lei'ren
雷梦雷人,lei'meng'lei'ren
雷虐水平,lei'nue'shui'ping
雷虐水平千代舞,lei'nue'shui'ping'qian'dai'wu
雷切,lei'qie
雷球,lei'qiu
雷忍,lei'ren
雷忍村,lei'ren'cun
雷忍者村,lei'ren'zhe'cun
雷兽,lei'shou
雷我爆弹,lei'wo'bao'dan
垒雅,lei'ya
雷牙,lei'ya
雷影,lei'ying
雷之国,lei'zhi'guo
雷之虎,lei'zhi'hu
里莲华,li'lian'hua
李洛克,li'luo'ke
离身印,li'shen'yin
里四象封印,li'si'xiang'feng'yin
栗霰串丸,li'xian'chuan'wan
连歌,lian'ge
练空弹,lian'kong'dan
镰鼬,lian'you
鎌鼬之术,lian'you'zhi'shu
镰鼬之术,lian'you'zhi'shu
料理忍者,liao'li'ren'zhe
料忍,liao'ren
烈风掌,lie'feng'zhang
