安全道岔,an'quan'dao'cha
售票处,shou'piao'chu
售票厅,shou'piao'ting
收票员,shou'piao'yuan
手提电动捣固机,shou'ti'dian'dong'dao'gu'ji
手提风动捣固机,shou'ti'feng'dong'dao'gu'ji
手提内燃捣固机,shou'ti'nei'ran'dao'gu'ji
输导砂,shu'dao'sha
竖曲线,shu'qu'xian
刷坡,shua'po
双开道岔,shuang'kai'dao'cha
双头机车,shuang'tou'ji'che
双线插入段,shuang'xian'cha'ru'duan
双线铁路,shuang'xian'tie'lu
水害断道,shui'hai'duan'dao
水害复旧,shui'hai'fu'jiu
水害抢修,shui'hai'qiang'xiu
水塔,shui'ta
顺坡,shun'po
四分枕木,si'fen'zhen'mu
司机,si'ji
司炉,si'lu
塑料排水板,su'liao'pai'shui'ban
素枕,su'zhen
碎冰机,sui'bing'ji
隧道标,sui'dao'biao
隧道冰害,sui'dao'bing'hai
隧道防火措施,sui'dao'fang'huo'cuo'shi
隧道防排水,sui'dao'fang'pai'shui
隧道内轨道结构,sui'dao'nei'gui'dao'jie'gou
隧道内线路,sui'dao'nei'xian'lu
碎石道碴,sui'shi'dao'cha
碎石道床,sui'shi'dao'chuang
锁定轨温,suo'ding'gui'wen
缩短轨,suo'duan'gui
塌方落石报警器,ta'fang'luo'shi'bao'jing'qi
太原铁路局,tai'yuan'tie'lu'ju
坍方落石,tan'fang'luo'shi
弹簧尖轨,tan'huang'jian'gui
弹性扣件,tan'xing'kou'jian
套线道岔,tao'xian'dao'cha
特等客车,te'deng'ke'che
特快,te'kuai
特种车辆活载,te'zhong'che'liang'huo'zai
特种断面尖轨,te'zhong'duan'mian'jian'gui
梯线,ti'xian
填方,tian'fang
铁道,tie'dao
铁道标志,tie'dao'biao'zhi
铁道部,tie'dao'bu
铁道测量,tie'dao'ce'liang
铁道道口,tie'dao'dao'kou
铁道勘测,tie'dao'kan'ce
铁道勘探,tie'dao'kan'tan
铁道连接线,tie'dao'lian'jie'xian
铁道抢修,tie'dao'qiang'xiu
铁道曲线,tie'dao'qu'xian
铁道设计,tie'dao'she'ji
铁道限界,tie'dao'xian'jie
铁道线路,tie'dao'xian'lu
铁道线路图,tie'dao'xian'lu'tu
铁道选线,tie'dao'xuan'xian
铁路,tie'lu
铁路标志,tie'lu'biao'zhi
铁路测量,tie'lu'ce'liang
铁路道口,tie'lu'dao'kou
铁路轨道,tie'lu'gui'dao
铁路局,tie'lu'ju
铁路勘测,tie'lu'kan'ce
铁路勘探,tie'lu'kan'tan
铁路连接线,tie'lu'lian'jie'xian
铁路路基,tie'lu'lu'ji
铁路抢修,tie'lu'qiang'xiu
铁路桥,tie'lu'qiao
铁路曲线,tie'lu'qu'xian
铁路设计,tie'lu'she'ji
铁路隧道,tie'lu'sui'dao
铁路线,tie'lu'xian
铁路限界,tie'lu'xian'jie
铁路线路,tie'lu'xian'lu
铁路线路图,tie'lu'xian'lu'tu
铁路选线,tie'lu'xuan'xian
铁通,tie'tong
停车牌,ting'che'pai
停车信号,ting'che'xin'hao
听觉信号,ting'jue'xin'hao
通车典礼,tong'che'dian'li
通过道岔,tong'guo'dao'cha
砼枕,tong'zhen
偷乘车,tou'cheng'che
头等票,tou'deng'piao
土方调拨,tu'fang'diao'bo
土方工程,tu'fang'gong'cheng
土工格栅,tu'gong'ge'shan
土工织物,tu'gong'zhi'wu
推行李车,tui'xing'li'che
脱轨器,tuo'gui'qi
挖方,wa'fang
弯道,wan'dao
万能道尺,wan'neng'dao'chi
弯曲轨道,wan'qu'gui'dao
未被平衡加速度,wei'bei'ping'heng'jia'su'du
未被平衡离心加速度,wei'bei'ping'heng'li'xin'jia'su'du
危石,wei'shi
维修天窗,wei'xiu'tian'chuang
维修周期,wei'xiu'zhou'qi
温度力,wen'du'li
温度力峰,wen'du'li'feng
问询处,wen'xun'chu
卧车,wo'che
卧铺票订票费,wo'pu'piao'ding'piao'fei
无碴轨道,wu'cha'gui'dao
无缝线路,wu'feng'xian'lu
圬工梁裂损,wu'gong'liang'lie'sun
武汉铁路局,wu'han'tie'lu'ju
乌鲁木齐铁路局,wu'lu'mu'qi'tie'lu'ju
无心道岔,wu'xin'dao'cha
西安铁路局,xi'an'tie'lu'ju
下车,xia'che
下铺,xia'pu
下行车,xia'xing'che
下行线,xia'xing'xian
线间距,xian'jian'ju
线间距离,xian'jian'ju'li
限界改善,xian'jie'gai'shan
限界架,xian'jie'jia
限界检测车,xian'jie'jian'ce'che
线路,xian'lu
线路标志,xian'lu'biao'zhi
线路测量,xian'lu'ce'liang
线路大修,xian'lu'da'xiu
线路等级,xian'lu'deng'ji
线路更新,xian'lu'geng'xin
线路工程,xian'lu'gong'cheng
线路管理系统,xian'lu'guan'li'xi'tong
线路机具,xian'lu'ji'ju
线路机械,xian'lu'ji'xie
线路爬行,xian'lu'pa'xing
线路平剖面图,xian'lu'ping'pou'mian'tu
线路清理机械,xian'lu'qing'li'ji'xie
线路上部建筑,xian'lu'shang'bu'jian'zhu
线路设计,xian'lu'she'ji
线路施工,xian'lu'shi'gong
线路施工机械,xian'lu'shi'gong'ji'xie
线路实验,xian'lu'shi'yan
线路试验,xian'lu'shi'yan
线路维修,xian'lu'wei'xiu
线路维修规则,xian'lu'wei'xiu'gui'ze
线路养护,xian'lu'yang'hu
线路中断,xian'lu'zhong'duan
线路中心线,xian'lu'zhong'xin'xian
线路中修,xian'lu'zhong'xiu
线路状态,xian'lu'zhuang'tai
限制坡度,xian'zhi'po'du
相错式接头,xiang'cuo'shi'jie'tou
相对式接头,xiang'dui'shi'jie'tou
橡胶垫板,xiang'jiao'dian'ban
小半径曲线,xiao'ban'jing'qu'xian
小贩,xiao'fan
小型线路机械,xiao'xing'xian'lu'ji'xie
小型液压捣固机,xiao'xing'ye'ya'dao'gu'ji
小型枕底清筛机,xiao'xing'zhen'di'qing'shai'ji
小站,xiao'zhan
楔形内接,xie'xing'nei'jie
心轨,xin'gui
信号机,xin'hao'ji
信号楼,xin'hao'lou
信号员,xin'hao'yuan
行车主任,xing'che'zhu'ren
行李标签,xing'li'biao'qian
行李车,xing'li'che
行李房,xing'li'fang
行李架,xing'li'jia
行李票,xing'li'piao
行李暂存处,xing'li'zan'cun'chu
修补木枕,xiu'bu'mu'zhen
悬臂式铺轨机,xuan'bi'shi'pu'gui'ji
悬臂式铺轨排机,xuan'bi'shi'pu'gui'pai'ji
悬接接头,xuan'jie'jie'tou
悬空铁路,xuan'kong'tie'lu
雪崩,xue'beng
雪害,xue'hai
削平木枕,xue'ping'mu'zhen
学生票,xue'sheng'piao
巡道工,xun'dao'gong
巡回检查,xun'hui'jian'cha
养路安全,yang'lu'an'quan
养路表报,yang'lu'biao'bao
养路费,yang'lu'fei
养路费用,yang'lu'fei'yong
养路工,yang'lu'gong
养路工长,yang'lu'gong'chang
养路工区,yang'lu'gong'qu
养路管理电脑系统,yang'lu'guan'li'dian'nao'xi'tong
养路计划,yang'lu'ji'hua
养路机具,yang'lu'ji'ju
养路机械,yang'lu'ji'xie
养路机械化,yang'lu'ji'xie'hua
养路领工员,yang'lu'ling'gong'yuan
养路员工,yang'lu'yuan'gong
养路质量,yang'lu'zhi'liang
养路组织,yang'lu'zu'zhi
养路作业,yang'lu'zuo'ye
遥控信号,yao'kong'xin'hao
液压捣固机,ye'ya'dao'gu'ji
液压机具,ye'ya'ji'ju
移车塔,yi'che'ta
翼轨,yi'gui
异形轨,yi'xing'gui
异型接头,yi'xing'jie'tou
异型接头夹板,yi'xing'jie'tou'jia'ban
应力放散,ying'li'fang'san
硬席,ying'xi
有槽钢轨,you'cao'gang'gui
有碴轨道,you'cha'gui'dao
邮车,you'che
有缝线路,you'feng'xian'lu
右开道岔,you'kai'dao'cha
游览票,you'lan'piao
油枕,you'zhen
雨量计,yu'liang'ji
鱼尾板,yu'wei'ban
鱼尾板连接,yu'wei'ban'lian'jie
鱼尾螺栓,yu'wei'luo'shuan
圆盘信号,yuan'pan'xin'hao
月票,yue'piao
月台,yue'tai
月台车,yue'tai'che
月台地道,yue'tai'di'dao
月台天桥,yue'tai'tian'qiao
越行站,yue'xing'zhan
运转车长,yun'zhuan'che'zhang
灾害检测装置,zai'hai'jian'ce'zhuang'zhi
再用轨,zai'yong'gui
栅栏门,zha'lan'men
窄轨铁路,zhai'gui'tie'lu
摘下的客车,zhai'xia'de'ke'che
站场设计,zhan'chang'she'ji
站名标,zhan'ming'biao
站台棚,zhan'tai'peng
站台票,zhan'tai'piao
站线,zhan'xian
站线长度,zhan'xian'chang'du
站长,zhan'zhang
站长室,zhan'zhang'shi
涨轨跑道,zhang'gui'pao'dao
找小坑,zhao'xiao'keng
辙叉,zhe'cha
辙叉跟长,zhe'cha'gen'chang
辙叉跟端,zhe'cha'gen'duan
辙叉跟宽,zhe'cha'gen'kuan
辙叉焊补,zhe'cha'han'bu
辙叉号数,zhe'cha'hao'shu
辙叉角,zhe'cha'jiao
辙叉伤损,zhe'cha'shang'sun
辙叉损伤,zhe'cha'sun'shang
辙叉心轨尖端,zhe'cha'xin'gui'jian'duan
辙叉心轨理论尖端,zhe'cha'xin'gui'li'lun'jian'duan
辙叉咽喉,zhe'cha'yan'hou
辙叉有害空间,zhe'cha'you'hai'kong'jian
辙叉趾长,zhe'cha'zhi'chang
辙叉趾端,zhe'cha'zhi'duan
辙叉趾宽,zhe'cha'zhi'kuan
振动液化,zhen'dong'ye'hua
枕盒,zhen'he
枕间夯实机,zhen'jian'hang'shi'ji
枕木,zhen'mu
枕木防腐,zhen'mu'fang'fu
枕木防腐厂,zhen'mu'fang'fu'chang
枕木塞,zhen'mu'sai
枕下胶垫,zhen'xia'jiao'dian
正道,zheng'dao
整理道床,zheng'li'dao'chuang
蒸汽机车,zheng'qi'ji'che
蒸汽塔,zheng'qi'ta
整体道床,zheng'ti'dao'chuang
整体道床轨道,zheng'ti'dao'chuang'gui'dao
整正轨缝,zheng'zheng'gui'feng
整正曲线,zheng'zheng'qu'xian
整正水平,zheng'zheng'shui'ping
整治冻害轨道,zheng'zhi'dong'hai'gui'dao
郑州铁路局,zheng'zhou'tie'lu'ju
整铸辙叉,zheng'zhu'zhe'cha
植被,zhi'bei
直达车,zhi'da'che
直达特快,zhi'da'te'kuai
直轨器,zhi'gui'qi
直角交叉,zhi'jiao'jiao'cha
指示灯,zhi'shi'deng
支线,zhi'xian
直线尖轨,zhi'xian'jian'gui
终到站,zhong'dao'zhan
终点站,zhong'dian'zhan
中和轨温,zhong'he'gui'wen
中间漆,zhong'jian'qi
中间站,zhong'jian'zhan
中间枕木,zhong'jian'zhen'mu
中铺,zhong'pu
中途下车,zhong'tu'xia'che
重型钢轨,zhong'xing'gang'gui
重型轨道,zhong'xing'gui'dao
重型轨道车,zhong'xing'gui'dao'che
中型清筛机,zhong'xing'qing'shai'ji
周转轨,zhou'zhuan'gui
注油枕木,zhu'you'zhen'mu
转车盘,zhuan'che'pan
专列,zhuan'lie
转辙角,zhuan'zhe'jiao
转辙器根,zhuan'zhe'qi'gen
状态修,zhuang'tai'xiu
自动力矩检定,zi'dong'li'ju'jian'ding
自动液压大型捣固车,zi'dong'ye'ya'da'xing'dao'gu'che
自由内接,zi'you'nei'jie
纵断面设计,zong'duan'mian'she'ji
综合养路机械,zong'he'yang'lu'ji'xie
纵梁桥,zong'liang'qiao
纵向轨枕,zong'xiang'gui'zhen
组合辙叉,zu'he'zhe'cha
阻尼因数,zu'ni'yin'shu
左开道岔,zuo'kai'dao'cha
座位,zuo'wei
作业标志,zuo'ye'biao'zhi
