安全,an'quan
乡镇企业,xiang'zhen'qi'ye
消防局,xiao'fang'ju
消防站,xiao'fang'zhan
消耗定额,xiao'hao'ding'e
消耗量,xiao'hao'liang
消耗少,xiao'hao'shao
硝化物,xiao'hua'wu
小试,xiao'shi
小试研究报告,xiao'shi'yan'jiu'bao'gao
销售,xiao'shou
销售渠道,xiao'shou'qu'dao
小型,xiao'xing
小型化工厂,xiao'xing'hua'gong'chang
小型项目,xiao'xing'xiang'mu
泄漏,xie'lou
新材料,xin'cai'liao
新产品,xin'chan'pin
新技术,xin'ji'shu
新技术开发过程,xin'ji'shu'kai'fa'guo'cheng
新建项目,xin'jian'xiang'mu
新建项目设计,xin'jian'xiang'mu'she'ji
新控制方案,xin'kong'zhi'fang'an
新设备,xin'she'bei
新仪器,xin'yi'qi
行政,xing'zheng
行政办公楼,xing'zheng'ban'gong'lou
行政部门,xing'zheng'bu'men
行政管理,xing'zheng'guan'li
行政人员,xing'zheng'ren'yuan
修改补充,xiu'gai'bu'chong
需求合理,xu'qiu'he'li
需求量,xu'qiu'liang
需求预测,xu'qiu'yu'ce
选择报告,xuan'ze'bao'gao
循环冷却水,xun'huan'leng'que'shui
循环水,xun'huan'shui
循环水站,xun'huan'shui'zhan
压库,ya'ku
压力,ya'li
压力容器,ya'li'rong'qi
压力容器监测站,ya'li'rong'qi'jian'ce'zhan
压缩机,ya'suo'ji
压缩空气,ya'suo'kong'qi
压缩空气站,ya'suo'kong'qi'zhan
严格把关,yan'ge'ba'guan
研究报告,yan'jiu'bao'gao
研究成果,yan'jiu'cheng'guo
研究单位,yan'jiu'dan'wei
研究对象,yan'jiu'dui'xiang
研究课题,yan'jiu'ke'ti
研究讨论,yan'jiu'tao'lun
衍生物,yan'sheng'wu
严重污染,yan'zhong'wu'ran
业主,ye'zhu
一般用电,yi'ban'yong'dian
易爆性,yi'bao'xing
仪表,yi'biao
仪表造型,yi'biao'zao'xing
一定阶段,yi'ding'jie'duan
一氯醋酸,yi'lv'cu'suan
易燃性,yi'ran'xing
易燃易爆,yi'ran'yi'bao
医务室,yi'wu'shi
乙烯厂,yi'xi'chang
仪修,yi'xiu
一氧化碳,yi'yang'hua'tan
医药工业,yi'yao'gong'ye
一知半解,yi'zhi'ban'jie
银行贷款,yin'hang'dai'kuan
应用研究,ying'yong'yan'jiu
用电负荷,yong'dian'fu'he
用工,yong'gong
有毒废水,you'du'fei'shui
油罐,you'guan
有关部门,you'guan'bu'men
有关单位,you'guan'dan'wei
有关手册,you'guan'shou'ce
有关专家,you'guan'zhuan'jia
有关专业,you'guan'zhuan'ye
有关资料,you'guan'zi'liao
优化方案,you'hua'fang'an
优化设计,you'hua'she'ji
有机化工,you'ji'hua'gong
有机化工原料,you'ji'hua'gong'yuan'liao
迂回,yu'hui
预可行性研究,yu'ke'xing'xing'yan'jiu
预可行研究报告,yu'ke'xing'yan'jiu'bao'gao
预期效果,yu'qi'xiao'guo
浴室,yu'shi
预算书,yu'suan'shu
原材料,yuan'cai'liao
原材料规格,yuan'cai'liao'gui'ge
原料,yuan'liao
原料工段,yuan'liao'gong'duan
原料路线,yuan'liao'lu'xian
原料贮存,yuan'liao'zhu'cun
原始记录,yuan'shi'ji'lu
原始资料,yuan'shi'zi'liao
约束条件,yue'shu'tiao'jian
运输方法,yun'shu'fang'fa
允许浓度,yun'xu'nong'du
运转时间,yun'zhuan'shi'jian
责任心,ze'ren'xin
炸药,zha'yao
招标,zhao'biao
招标方式,zhao'biao'fang'shi
招标阶段,zhao'biao'jie'duan
照明负荷,zhao'ming'fu'he
真空泵房,zhen'kong'beng'fang
正常操作负荷,zheng'chang'cao'zuo'fu'he
正常生产,zheng'chang'sheng'chan
蒸发器,zheng'fa'qi
蒸馏塔,zheng'liu'ta
蒸气,zheng'qi
蒸气压力,zheng'qi'ya'li
正确决策,zheng'que'jue'ce
征用土地,zheng'yong'tu'di
治理方案,zhi'li'fang'an
质量保证,zhi'liang'bao'zheng
质量保证体系,zhi'liang'bao'zheng'ti'xi
质量管理体系,zhi'liang'guan'li'ti'xi
质量好,zhi'liang'hao
质量评定卡,zhi'liang'ping'ding'ka
质量守恒定律,zhi'liang'shou'heng'ding'lv
职业性,zhi'ye'xing
制造,zhi'zao
制造工艺,zhi'zao'gong'yi
制造图,zhi'zao'tu
制造现场,zhi'zao'xian'chang
重大技术,zhong'da'ji'shu
重大损失,zhong'da'sun'shi
中毒,zhong'du
中和,zhong'he
中试,zhong'shi
中试设计,zhong'shi'she'ji
中试研究报告,zhong'shi'yan'jiu'bao'gao
中试装置,zhong'shi'zhuang'zhi
中试装置设计,zhong'shi'zhuang'zhi'she'ji
中型,zhong'xing
中型化工厂,zhong'xing'hua'gong'chang
中型项目,zhong'xing'xiang'mu
中压,zhong'ya
主办单位,zhu'ban'dan'wei
贮存,zhu'cun
贮存包装,zhu'cun'bao'zhuang
贮罐,zhu'guan
主管部门,zhu'guan'bu'men
主观判断,zhu'guan'pan'duan
助剂,zhu'ji
主力单位名称,zhu'li'dan'wei'ming'cheng
主要负责人,zhu'yao'fu'ze'ren
主要设备,zhu'yao'she'bei
主要设计内容,zhu'yao'she'ji'nei'rong
贮运方案,zhu'yun'fang'an
转包,zhuan'bao
转化,zhuan'hua
转化率,zhuan'hua'lv
专利,zhuan'li
专业对口,zhuan'ye'dui'kou
专业负责人,zhuan'ye'fu'ze'ren
专业技术,zhuan'ye'ji'shu
专业技术人员,zhuan'ye'ji'shu'ren'yuan
专业设置,zhuan'ye'she'zhi
专业室,zhuan'ye'shi
状态条件,zhuang'tai'tiao'jian
装置建设,zhuang'zhi'jian'she
自动化程度,zi'dong'hua'cheng'du
自动化控制,zi'dong'hua'kong'zhi
自动化水平,zi'dong'hua'shui'ping
自动化仪表,zi'dong'hua'yi'biao
自动化仪表工程,zi'dong'hua'yi'biao'gong'cheng
自动控制,zi'dong'kong'zhi
自动控制工程,zi'dong'kong'zhi'gong'cheng
资格,zi'ge
资金,zi'jin
资金筹措,zi'jin'chou'cuo
资金短缺,zi'jin'duan'que
资金上,zi'jin'shang
自控,zi'kong
自控仪表线路安装图,zi'kong'yi'biao'xian'lu'an'zhuang'tu
资料,zi'liao
自然规律,zi'ran'gui'lv
自然条件,zi'ran'tiao'jian
资源,zi'yuan
总变电所,zong'bian'dian'suo
总承包合同,zong'cheng'bao'he'tong
总负责人,zong'fu'ze'ren
总工程师,zong'gong'cheng'shi
总工艺流程,zong'gong'yi'liu'cheng
综合利用,zong'he'li'yong
综合评价,zong'he'ping'jia
总论,zong'lun
总平面布置,zong'ping'mian'bu'zhi
总投资,zong'tou'zi
总图,zong'tu
总图布置,zong'tu'bu'zhi
总图运输,zong'tu'yun'shu
组合方式,zu'he'fang'shi
最初阶段,zui'chu'jie'duan
最大效益,zui'da'xiao'yi
最低操作负荷,zui'di'cao'zuo'fu'he
最低压力,zui'di'ya'li
最高压力,zui'gao'ya'li
作计算,zuo'ji'suan
