哀莫大于心死,ai'mo'da'yu'xin'si
青出于蓝而胜于蓝,qing'chu'yu'lan'er'sheng'yu'lan
青出于蓝胜于蓝,qing'chu'yu'lan'sheng'yu'lan
清官能断家务事,qing'guan'nan'duan'jia'wu'shi
清官难断家务事,qing'guan'nan'duan'jia'wu'shi
情人眼里出西施,qing'ren'yan'li'chu'xi'shi
轻伤不下火线,qing'shang'bu'xia'huo'xian
秋风扫落叶,qiu'feng'sao'luo'ye
求人不如求己,qiu'ren'bu'ru'qiu'ji
秋收万颗子,qiu'shou'wan'ke'zi
取之不尽用之不竭,qu'zhi'bu'jin'yong'zhi'bu'jie
全国一盘棋,quan'guo'yi'pan'qi
拳头上立得人,quan'tou'shang'li'de'ren
全心全意为人民服务,quan'xin'quan'yi'wei'ren'min'fu'wu
群起而攻之,qun'qi'er'gong'zhi
热锅上的蚂蚁,re'guo'shang'de'ma'yi
热锅上蚂蚁,re'guo'shang'ma'yi
人不可貌相,ren'bu'ke'mao'xiang
人不知鬼不觉,ren'bu'zhi'gui'bu'jue
人多力量大,ren'duo'li'liang'da
人逢喜事精神爽,ren'feng'xi'shi'jing'shen'shuang
人间难得一知己,ren'jian'nan'de'yi'zhi'ji
人间重晚晴,ren'jian'zhong'wan'qing
人老心不老,ren'lao'xin'bu'lao
人怕出名猪怕壮,ren'pa'chu'ming'zhu'pa'zhuang
人善被人欺,ren'shan'bei'ren'qi
人生地不熟,ren'sheng'di'bu'shu
人生路不熟,ren'sheng'lu'bu'shu
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人生如白驹过隙,ren'sheng'ru'bai'ju'guo'xi
人生似鸟同林宿,ren'sheng'si'niao'tong'lin'su
人太紧则无智,ren'tai'jin'ze'wu'zhi
人心不足蛇吞象,ren'xin'bu'zu'she'tun'xiang
人心隔肚皮,ren'xin'ge'du'pi
人要衣装,ren'yao'yi'zhuang
人有旦夕祸福,ren'you'dan'xi'huo'fu
人有脸树有皮,ren'you'lian'shu'you'pi
任重而道远,ren'zhong'er'dao'yuan
忍字头上一把刀,ren'zi'tou'shang'yi'ba'dao
日近长安远,ri'jin'chang'an'yuan
日久见人心,ri'jiu'jian'ren'xin
日有所思夜有所想,ri'you'suo'si'ye'you'suo'xiang
肉包子打狗,rou'bao'zi'da'gou
乳犊不怕虎,ru'du'bu'pa'hu
如入无人之境,ru'ru'wu'ren'zhi'jing
瑞雪兆丰年,rui'xue'zhao'feng'nian
赛过诸葛亮,sai'guo'zhu'ge'liang
三百六十度,san'bai'liu'shi'du
三百六十行,san'bai'liu'shi'hang
三杯通大道,san'bei'tong'da'dao
三寸不烂之舌,san'cun'bu'lan'zhi'she
三个臭皮匠,san'ge'chou'pi'jiang
三个和尚没水吃,san'ge'he'shang'mei'shui'chi
三个有利于,san'ge'you'li'yu
三过其门而不入,san'guo'qi'men'er'bu'ru
三句不离本行,san'ju'bu'li'ben'hang
三句话不离本行,san'ju'hua'bu'li'ben'hang
三年不窥圆,san'nian'bu'kui'yuan
三七二十一,san'qi'er'shi'yi
三人行必有我师,san'ren'xing'bi'you'wo'shi
三思而后行,san'si'er'hou'xing
三下五除二,san'xia'wu'chu'er
三月不知肉味,san'yue'bu'zhi'rou'wei
杀鸡给猴看,sha'ji'gei'hou'kan
杀鸡焉用牛刀,sha'ji'yan'yong'niu'dao
杀鸡用牛刀,sha'ji'yong'niu'dao
杀人不见血,sha'ren'bu'jian'xie
杀人不眨眼,sha'ren'bu'zha'yan
山重水复疑无路,shan'chong'shui'fu'yi'wu'lu
善恶到头终有报,shan'e'dao'tou'zhong'you'bao
山高皇帝远,shan'gao'huang'di'yuan
山雨欲来风满楼,shan'yu'yu'lai'feng'man'lou
山中无老虎,shan'zhong'wu'lao'hu
山中有直树,shan'zhong'you'zhi'shu
上梁不正下梁歪,shang'liang'bu'zheng'xia'liang'wai
商女不知亡国恨,shang'nv'bu'zhi'wang'guo'hen
上气不接下气,shang'qi'bu'jie'xia'qi
上阵父子兵,shang'zhen'fu'zi'bing
少花钱多办事,shao'hua'qian'duo'ban'shi
少年夫妻老来伴,shao'nian'fu'qi'lao'lai'ban
少数服从多数,shao'shu'fu'cong'duo'shu
少壮不努力,shao'zhuang'bu'nu'li
舍不得孩子套不着狼,she'bu'de'hai'zi'tao'bu'zhao'lang
社会主义好,she'hui'zhu'yi'hao
谁人背后无人说,shei'ren'bei'hou'wu'ren'shuo
身残志不残,shen'can'zhi'bu'can
神龙见首不见尾,shen'long'jian'shou'bu'jian'wei
伸手不见十指,shen'shou'bu'jian'shi'zhi
伸手不见五指,shen'shou'bu'jian'wu'zhi
身无彩凤双飞翼,shen'wu'cai'feng'shuang'fei'yi
身在曹营心在汉,shen'zai'cao'ying'xin'zai'han
身在福中不知福,shen'zai'fu'zhong'bu'zhi'fu
胜败乃兵家常事,sheng'bai'nai'bing'jia'chang'shi
胜读十年书,sheng'du'shi'nian'shu
胜负兵家常事,sheng'fu'bing'jia'chang'shi
生米煮成熟饭,sheng'mi'zhu'cheng'shu'fan
生米煮成熟米饭,sheng'mi'zhu'cheng'shu'mi'fan
胜造七级浮屠,sheng'zao'qi'ji'fu'tu
十八般武艺,shi'ba'ban'wu'yi
十八层地狱,shi'ba'ceng'di'yu
失败乃成功之母,shi'bai'nai'cheng'gong'zhi'mu
失败是成功之母,shi'bai'shi'cheng'gong'zhi'mu
失败为成功之母,shi'bai'wei'cheng'gong'zhi'mu
实报实实测,shi'bao'shi'shi'ce
事不关己高高挂起,shi'bu'guan'ji'gao'gao'gua'qi
事不为不成,shi'bu'wei'bu'cheng
诗成泣鬼神,shi'cheng'qi'gui'shen
是非终日有,shi'fei'zhong'ri'you
使功不如使过,shi'gong'bu'ru'shi'guo
视功名如敝屣,shi'gong'ming'ru'bi'xi
视功名如粪土,shi'gong'ming'ru'fen'tu
实践出真知,shi'jian'chu'zhen'zhi
世间若要人情好,shi'jian'ruo'yao'ren'qing'hao
士可杀不可辱,shi'ke'sha'bu'ke'ru
使口不如自走,shi'kou'bu'ru'zi'zou
是骡子是马,shi'luo'zi'shi'ma
是骡子是马拉出来溜溜,shi'luo'zi'shi'ma'la'chu'lai'liu'liu
十年九不遇,shi'nian'jiu'bu'yu
十年磨一剑,shi'nian'mo'yi'jian
十年怕井绳,shi'nian'pa'jing'sheng
十年如一日,shi'nian'ru'yi'ri
视情况而定,shi'qing'kuang'er'ding
湿肉伴干柴,shi'rou'ban'gan'chai
世上无难事,shi'shang'wu'nan'shi
世上无直人,shi'shang'wu'zhi'ren
世上新人撵旧人,shi'shang'xin'ren'nian'jiu'ren
世事如棋局局新,shi'shi'ru'qi'ju'ju'xin
事实胜于雄辩,shi'shi'sheng'yu'xiong'bian
识实务者为俊杰,shi'shi'wu'zhe'wei'jun'jie
识时务者为俊杰,shi'shi'wu'zhe'wei'jun'jie
时势造英雄,shi'shi'zao'ying'xiong
十万八千里,shi'wan'ba'qian'li
士为知己者死,shi'wei'zhi'ji'zhe'si
士为知已者死,shi'wei'zhi'yi'zhe'si
诗向会人吟,shi'xiang'hui'ren'yin
试玉要烧三日满,shi'yu'yao'shao'san'ri'man
狮子大开口,shi'zi'da'kai'kou
虱子多了不痒,shi'zi'duo'le'bu'yang
柿子要捡软的捏,shi'zi'yao'jian'ruan'de'nie
受恩深重宜先退,shou'en'shen'zhong'yi'xian'tui
手脚不干净,shou'jiao'bu'gan'jing
瘦死的骆驼比马大,shou'si'de'luo'tuo'bi'ma'da
手无缚鸡之力,shou'wu'fu'ji'zhi'li
手心手背都是肉,shou'xin'shou'bei'dou'shi'rou
树倒猢孙散,shu'dao'hu'sun'san
树倒猢狲散,shu'dao'hu'sun'san
书到用时方恨少,shu'dao'yong'shi'fang'hen'shao
书生报国无他物,shu'sheng'bao'guo'wu'ta'wu
树欲静而风不止,shu'yu'jing'er'feng'bu'zhi
蜀中无大将,shu'zhong'wu'da'jiang
竖子不足与谋,shu'zi'bu'zu'yu'mou
双斧伐孤树,shuang'fu'fa'gu'shu
谁动了我的奶酪,shui'dong'le'wo'de'nai'lao
水火不相容,shui'huo'bu'xiang'rong
水牛身上拔根毛,shui'niu'shen'shang'ba'gen'mao
水太清则无鱼,shui'tai'qing'ze'wu'yu
谁知盘中餐,shui'zhi'pan'zhong'can
水至清则无鱼,shui'zhi'qing'ze'wu'yu
说曹操曹操到,shuo'cao'cao'cao'cao'dao
死抱着不放,si'bao'zhe'bu'fang
四海之内皆兄弟,si'hai'zhi'nei'jie'xiong'di
死马当活马医,si'ma'dang'huo'ma'yi
司马昭之心,si'ma'zhao'zhi'xin
司马昭之心路人皆知,si'ma'zhao'zhi'xin'lu'ren'jie'zhi
死无葬身之地,si'wu'zang'shen'zhi'di
死亦为鬼雄,si'yi'wei'gui'xiong
死猪不怕开水烫,si'zhu'bu'pa'kai'shui'tang
死诸葛吓走生仲达,si'zhu'ge'xia'zou'sheng'zhong'da
送君千里终须一别,song'jun'qian'li'zhong'xu'yi'bie
送我上青云,song'wo'shang'qing'yun
岁寒知松柏,sui'han'zhi'song'bai
岁老根弥壮,sui'lao'gen'mi'zhuang
岁月不饶人,sui'yue'bu'rao'ren
损人不利己,sun'ren'bu'li'ji
所见即所得,suo'jian'ji'suo'de
踏破铁鞋无觅处,ta'po'tie'xie'wu'mi'chu
抬不起头来,tai'bu'qi'tou'lai
太公钓鱼愿者上钩,tai'gong'diao'yu'yuan'zhe'shang'gou
泰山不让土壤,tai'shan'bu'rang'tu'rang
泰山压顶不弯腰,tai'shan'ya'ding'bu'wan'yao
太岁头上动土,tai'sui'tou'shang'dong'tu
贪多嚼不烂,tan'duo'jiao'bu'lan
贪天之功为己有,tan'tian'zhi'gong'wei'ji'you
桃李满天下,tao'li'man'tian'xia
替古人担忧,ti'gu'ren'dan'you
天高皇帝远,tian'gao'huang'di'yuan
天公不作美,tian'gong'bu'zuo'mei
天若有情天亦老,tian'ruo'you'qing'tian'yi'lao
天生我才必有用,tian'sheng'wo'cai'bi'you'yong
天生我材必有用,tian'sheng'wo'cai'bi'you'yong
天时地利人和,tian'shi'di'li'ren'he
天无绝人之路,tian'wu'jue'ren'zhi'lu
天下没有不散的宴席,tian'xia'mei'you'bu'san'de'yan'xi
天下谁人不识君,tian'xia'shei'ren'bu'shi'jun
天下文章一大抄,tian'xia'wen'zhang'yi'da'chao
天下无难事,tian'xia'wu'nan'shi
天下乌鸦一般黑,tian'xia'wu'ya'yi'ban'hei
天涯何处无芳草,tian'ya'he'chu'wu'fang'cao
天涯若比邻,tian'ya'ruo'bi'lin
天有不测风云,tian'you'bu'ce'feng'yun
天有时刻阴晴,tian'you'shi'ke'yin'qing
天字第一号,tian'zi'di'yi'hao
天子无戏言,tian'zi'wu'xi'yan
跳到黄河洗不清,tiao'dao'huang'he'xi'bu'qing
挑得篮里便是菜,tiao'de'lan'li'bian'shi'cai
跳进黄河洗不清,tiao'jin'huang'he'xi'bu'qing
条条大道通罗马,tiao'tiao'da'dao'tong'luo'ma
条条大路通罗马,tiao'tiao'da'lu'tong'luo'ma
铁杵磨成针,tie'chu'mo'cheng'zhen
听其言而观其行,ting'qi'yan'er'guan'qi'xing
同工不同酬,tong'gong'bu'tong'chou
偷鸡不成蚀把米,tou'ji'bu'cheng'shi'ba'mi
偷鸡不着蚀把米,tou'ji'bu'zhao'shi'ba'mi
图名不图利,tu'ming'bu'tu'li
图穷匕首见,tu'qiong'bi'shou'xian
兔子不吃窝边草,tu'zi'bu'chi'wo'bian'cao
兔子尾巴长不了,tu'zi'wei'ba'chang'bu'liao
团结就是力量,tuan'jie'jiu'shi'li'liang
退而求其次,tui'er'qiu'qi'ci
脱裤子放屁,tuo'ku'zi'fang'pi
脱了裤子放屁,tuo'le'ku'zi'fang'pi
瓦罐不离井口破,wa'guan'bu'li'jing'kou'po
外举不避仇,wai'ju'bu'bi'chou
万般都是命,wan'ban'dou'shi'ming
万般皆下品,wan'ban'jie'xia'pin
万变不离其宗,wan'bian'bu'li'qi'zong
玩的就是心跳,wan'de'jiu'shi'xin'tiao
万夫不当之勇,wan'fu'bu'dang'zhi'yong
玩火者必自焚,wan'huo'zhe'bi'zi'fen
万事不由人计较,wan'shi'bu'you'ren'ji'jiao
万事开头难,wan'shi'kai'tou'nan
万事劝人休瞒昧,wan'shi'quan'ren'xiu'man'mei
万丈高楼平地而起,wan'zhang'gao'lou'ping'di'er'qi
王顾左右而言他,wang'gu'zuo'you'er'yan'ta
位卑未敢忘忧国,wei'bei'wei'gan'wang'you'guo
未可全抛一片心,wei'ke'quan'pao'yi'pian'xin
未可同日而语,wei'ke'tong'ri'er'yu
唯恐天下不乱,wei'kong'tian'xia'bu'luan
危难见真情,wei'nan'jian'zhen'qing
为人民服务,wei'ren'min'fu'wu
为他人作嫁衣裳,wei'ta'ren'zuo'jia'yi'shang
威武不能屈,wei'wu'bu'neng'qu
为伊消得人憔悴,wei'yi'xiao'de'ren'qiao'cui
唯有读书高,wei'you'du'shu'gao
唯有手中笔如枪,wei'you'shou'zhong'bi'ru'qiang
为有源头活水来,wei'you'yuan'tou'huo'shui'lai
温故而知新,wen'gu'er'zhi'xin
问君能有几多愁,wen'jun'neng'you'ji'duo'chou
闻名不如见面,wen'ming'bu'ru'jian'mian
五百年前是一家,wu'bai'nian'qian'shi'yi'jia
无出其二者,wu'chu'qi'er'zhe
无出其右者,wu'chu'qi'you'zhe
无敌于天下,wu'di'yu'tian'xia
无风不起浪,wu'feng'bu'qi'lang
无风三尺浪,wu'feng'san'chi'lang
无佛自称尊,wu'fo'zi'cheng'zun
无功不受禄,wu'gong'bu'shou'lu
无官一身轻,wu'guan'yi'shen'qing
乌龟王八蛋,wu'gui'wang'ba'dan
无何有之乡,wu'he'you'zhi'xiang
五急六受且难受,wu'ji'liu'shou'qie'nan'shou
五讲四美三热爱,wu'jiang'si'mei'san're'ai
无可奈何花落去,wu'ke'nai'he'hua'luo'qu
无可无不可,wu'ke'wu'bu'ke
无理寸步难行,wu'li'cun'bu'nan'xing
无巧不成书,wu'qiao'bu'cheng'shu
武人不惜死,wu'ren'bu'xi'si
无容身之地,wu'rong'shen'zhi'di
无事不登三宝殿,wu'shi'bu'deng'san'bao'dian
五十步笑百步,wu'shi'bu'xiao'bai'bu
乌头白马生角,wu'tou'bai'ma'sheng'jiao
勿谓言之不预也,wu'wei'yan'zhi'bu'yu'ye
无心插柳柳成荫,wu'xin'cha'liu'liu'cheng'yin
无盐不解淡,wu'yan'bu'jie'dan
勿以恶小而为之,wu'yi'e'xiao'er'wei'zhi
勿以善小而不为,wu'yi'shan'xiao'er'bu'wei
物以稀为贵,wu'yi'xi'wei'gui
无缘对面不相逢,wu'yuan'dui'mian'bu'xiang'feng
五月粜新谷,wu'yue'tiao'xin'gu
无知者无畏,wu'zhi'zhe'wu'wei
武装到牙齿,wu'zhuang'dao'ya'chi
无子富不长,wu'zi'fu'bu'chang
西出阳关无故人,xi'chu'yang'guan'wu'gu'ren
习惯成自然,xi'guan'cheng'zi'ran
下笔如有神,xia'bi'ru'you'shen
瞎猫碰着死老鼠,xia'mao'peng'zhe'si'lao'shu
下无立锥之地,xia'wu'li'zhui'zhi'di
瞎子吃汤圆,xia'zi'chi'tang'yuan
瞎子点灯白费蜡,xia'zi'dian'deng'bai'fei'la
先锋模范作用,xian'feng'mo'fan'zuo'yong
鲜花插在牛粪上,xian'hua'cha'zai'niu'fen'shang
先下手为强,xian'xia'shou'wei'qiang
想都不敢想,xiang'dou'bu'gan'xiang
相见时难别亦难,xiang'jian'shi'nan'bie'yi'nan
向阳花木早逢春,xiang'yang'hua'mu'zao'feng'chun
小不忍则乱大谋,xiao'bu'ren'ze'luan'da'mou
小马拉大车,xiao'ma'la'da'che
小米加步枪,xiao'mi'jia'bu'qiang
笑贫不笑娼,xiao'pin'bu'xiao'chang
小人常戚戚,xiao'ren'chang'qi'qi
小巫见大巫,xiao'wu'jian'da'wu
挟天子以令诸侯,xie'tian'zi'yi'ling'zhu'hou
心比天高,xin'bi'tian'gao
心病还须心药医,xin'bing'hai'xu'xin'yao'yi
信不信由你,xin'bu'xin'you'ni
新官上任三把火,xin'guan'shang'ren'san'ba'huo
心急吃不了热豆腐,xin'ji'chi'bu'liao're'dou'fu
心往一处想,xin'wang'yi'chu'xiang
心有灵犀一点通,xin'you'ling'xi'yi'dian'tong
心有余而力不足,xin'you'yu'er'li'bu'zu
心有余力而不足,xin'you'yu'li'er'bu'zu
星星之火可以燎原,xing'xing'zhi'huo'ke'yi'liao'yuan
兄弟阋于墙,xiong'di'xi'yu'qiang
雄鸡一唱天下白,xiong'ji'yi'chang'tian'xia'bai
熊心豹子胆,xiong'xin'bao'zi'dan
秀才遇到兵,xiu'cai'yu'dao'bing
绣花虽好不闻香,xiu'hua'sui'hao'bu'wen'xiang
朽木不可雕,xiu'mu'bu'ke'diao
修行在个人,xiu'xing'zai'ge'ren
须下死功夫,xu'xia'si'gong'fu
虚心使人进步,xu'xin'shi'ren'jin'bu
学而优则仕,xue'er'you'ze'shi
学科带头人,xue'ke'dai'tou'ren
学然后知不足,xue'ran'hou'zhi'bu'zu
迅雷不及掩耳,xun'lei'bu'ji'yan'er
薰莸不同器,xun'you'bu'tong'qi
哑巴吃黄连,ya'ba'chi'huang'lian
鸦有反哺之义,ya'you'fan'bu'zhi'yi
哑子吃黄连,ya'zi'chi'huang'lian
言必行行必果,yan'bi'xing'xing'bi'guo
烟不出火不进,yan'bu'chu'huo'bu'jin
眼不见为净,yan'bu'jian'wei'jing
言轻莫劝人,yan'qing'mo'quan'ren
燕雀安知鸿鹄之志,yan'que'an'zhi'hong'hu'zhi'zhi
严师出高徒,yan'shi'chu'gao'tu
言有尽而意无穷,yan'you'jin'er'yi'wu'qiong
养兵千日用兵一时,yang'bing'qian'ri'yong'bing'yi'shi
阳骄叶更阴,yang'jiao'ye'geng'yin
羊毛出在羊身上,yang'mao'chu'zai'yang'shen'shang
养女不教如养猪,yang'nv'bu'jiao'ru'yang'zhu
要留清白在人间,yao'liu'qing'bai'zai'ren'jian
药能医假病,yao'neng'yi'jia'bing
野火烧不尽,ye'huo'shao'bu'jin
一百八十度,yi'bai'ba'shi'du
一鼻孔出气,yi'bi'kong'chu'qi
一步一个脚印,yi'bu'yi'ge'jiao'yin
一不做二不休,yi'bu'zuo'er'bu'xiu
一朝天子一朝臣,yi'chao'tian'zi'yi'chao'chen
一尺水十丈波,yi'chi'shui'shi'zhang'bo
一床锦被遮盖,yi'chuang'jin'bei'zhe'gai
一锤子买卖,yi'chui'zi'mai'mai
一寸光阴一寸金,yi'cun'guang'yin'yi'cun'jin
以大局为重,yi'da'ju'wei'zhong
衣带渐宽终不悔,yi'dai'jian'kuan'zhong'bu'hui
一动不如一静,yi'dong'bu'ru'yi'jing
一而再再而三,yi'er'zai'zai'er'san
一发而不可收拾,yi'fa'er'bu'ke'shou'shi
一方有难八方支援,yi'fang'you'nan'ba'fang'zhi'yuan
一分钱一分货,yi'fen'qian'yi'fen'huo
一杆子打翻一船人,yi'gan'zi'da'fan'yi'chuan'ren
一个巴掌拍不响,yi'ge'ba'zhang'pai'bu'xiang
一个鼻孔出气,yi'ge'bi'kong'chu'qi
一个都不能少,yi'ge'dou'bu'neng'shao
一个好汉三个帮,yi'ge'hao'han'san'ge'bang
一个萝卜一个坑,yi'ge'luo'bo'yi'ge'keng
一根藤上的瓜,yi'gen'teng'shang'de'gua
一棍子打死,yi'gun'zi'da'si
一虎难敌众犬,yi'hu'nan'di'zhong'quan
一环紧扣一环,yi'huan'jin'kou'yi'huan
一环扣一环,yi'huan'kou'yi'huan
一将功成万骨枯,yi'jiang'gong'cheng'wan'gu'ku
一举成名天下知,yi'ju'cheng'ming'tian'xia'zhi
一俊遮百丑,yi'jun'zhe'bai'chou
一客不烦二主,yi'ke'bu'fan'er'zhu
一块石头落地,yi'kuai'shi'tou'luo'di
一马不备双鞍,yi'ma'bu'bei'shuang'an
一马不行百马忧,yi'ma'bu'xing'bai'ma'you
一年被蛇咬,yi'nian'bei'she'yao
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
以其昏昏使人昭昭,yi'qi'hun'hun'shi'ren'zhao'zhao
以其人之道还治其人之身,yi'qi'ren'zhi'dao'huan'zhi'qi'ren'zhi'shen
一切向钱看,yi'qie'xiang'qian'kan
一切行动听指挥,yi'qie'xing'dong'ting'zhi'hui
一去不复返,yi'qu'bu'fu'fan
一人做事一人当,yi'ren'zuo'shi'yi'ren'dang
一日夫妻百日恩,yi'ri'fu'qi'bai'ri'en
一日之计在于晨,yi'ri'zhi'ji'zai'yu'chen
一山不容二虎,yi'shan'bu'rong'er'hu
一身而二任,yi'shen'er'er'ren
一生都是命安排,yi'sheng'dou'shi'ming'an'pai
一石激起千层浪,yi'shi'ji'qi'qian'ceng'lang
一诗千改心始安,yi'shi'qian'gai'xin'shi'an
疑是银河落九天,yi'shi'yin'he'luo'jiu'tian
一失足成千古恨,yi'shi'zu'cheng'qian'gu'hen
一条龙服务,yi'tiao'long'fu'wu
一物降一物,yi'wu'xiang'yi'wu
以小人之心,yi'xiao'ren'zhi'xin
疑心生暗鬼,yi'xin'sheng'an'gui
医学衷中参西录,yi'xue'zhong'zhong'can'xi'lu
以迅雷不及掩耳之势,yi'xun'lei'bu'ji'yan'er'zhi'shi
一言而蔽之,yi'yan'er'bi'zhi
一言以蔽之,yi'yan'yi'bi'zhi
依样画葫芦,yi'yang'hua'hu'lu
一叶落而知天下秋,yi'ye'luo'er'zhi'tian'xia'qiu
疑义相与析,yi'yi'xiang'yu'xi
一吟双泪流,yi'yin'shuang'lei'liu
一朝被蛇咬,yi'zhao'bei'she'yao
一枝红杏出墙来,yi'zhi'hong'xing'chu'qiang'lai
一醉解千愁,yi'zui'jie'qian'chou
银样蜡枪头,yin'yang'la'qiang'tou
英雄莫问出处,ying'xiong'mo'wen'chu'chu
英雄难过美人关,ying'xiong'nan'guo'mei'ren'guan
英雄所见略同,ying'xiong'suo'jian'lue'tong
英雄无用武之地,ying'xiong'wu'yong'wu'zhi'di
英雄有用武之地,ying'xiong'you'yong'wu'zhi'di
犹抱琵琶半遮面,you'bao'pi'pa'ban'zhe'mian
有鼻子有眼,you'bi'zi'you'yan
又得浮生半日闲,you'dei'fu'sheng'ban'ri'xian
有过之而无不及,you'guo'zhi'er'wu'bu'ji
有话好好说,you'hua'hao'hao'shuo
有理走遍天下,you'li'zou'bian'tian'xia
有奶便是娘,you'nai'bian'shi'niang
有奶就是娘,you'nai'jiu'shi'niang
有朋自远方来,you'peng'zi'yuan'fang'lai
有其父必有其子,you'qi'fu'bi'you'qi'zi
有其名而无其实,you'qi'ming'er'wu'qi'shi
又岂在朝朝暮暮,you'qi'zai'zhao'zhao'mu'mu
有钱可使鬼推磨,you'qian'ke'shi'gui'tui'mo
有钱能使鬼推磨,you'qian'neng'shi'gui'tui'mo
有情人终成眷属,you'qing'ren'zhong'cheng'juan'shu
有人欢喜有人愁,you'ren'huan'xi'you'ren'chou
有麝自然香,you'she'zi'ran'xiang
有书不读子孙愚,you'shu'bu'du'zi'sun'yu
有田不耕仓廪虚,you'tian'bu'geng'cang'lin'xu
又想立牌坊,you'xiang'li'pai'fang
又想做婊子,you'xiang'zuo'biao'zi
有心插花花不开,you'xin'cha'hua'hua'bu'kai
有眼不识泰山,you'yan'bu'shi'tai'shan
有一搭没一搭,you'yi'da'mei'yi'da
有一利必有一弊,you'yi'li'bi'you'yi'bi
有缘千里来相会,you'yuan'qian'li'lai'xiang'hui
有志不在年高,you'zhi'bu'zai'nian'gao
有志者事竟成,you'zhi'zhe'shi'jing'cheng
语不惊人死不休,yu'bu'jing'ren'si'bu'xiu
御敌于国门之外,yu'di'yu'guo'men'zhi'wai
雨过地皮湿,yu'guo'di'pi'shi
欲穷千里目,yu'qiong'qian'li'mu
欲速则不达,yu'su'ze'bu'da
郁郁不得志,yu'yu'bu'de'zhi
冤家宜解不宜结,yuan'jia'yi'jie'bu'yi'jie
远来和尚好看经,yuan'lai'he'shang'hao'kan'jing
远亲不如近邻,yuan'qin'bu'ru'jin'lin
远水不解近渴,yuan'shui'bu'jie'jin'ke
远水不救近火,yuan'shui'bu'jiu'jin'huo
远水救不了近火,yuan'shui'jiu'bu'liao'jin'huo
远水难救近火,yuan'shui'nan'jiu'jin'huo
冤有头债有主,yuan'you'tou'zhai'you'zhu
月有阴晴圆缺,yue'you'yin'qing'yuan'que
运去雷轰荐福碑,yun'qu'lei'hong'jian'fu'bei
在不久的将来,zai'bu'jiu'de'jiang'lai
再实之根必伤,zai'shi'zhi'gen'bi'shang
宰相肚里好撑船,zai'xiang'du'li'hao'cheng'chuan
宰相肚里能撑船,zai'xiang'du'li'neng'cheng'chuan
遭难莫寻亲,zao'nan'mo'xun'qin
责人之心责己,ze'ren'zhi'xin'ze'ji
占有一席之地,zhan'you'yi'xi'zhi'di
占着茅坑不拉屎,zhan'zhe'mao'keng'bu'la'shi
丈二和尚摸不着头脑,zhang'er'he'shang'mo'bu'zhao'tou'nao
张公吃酒李公醉,zhang'gong'chi'jiu'li'gong'zui
长兄为父,zhang'xiong'wei'fu
照葫芦画瓢,zhao'hu'lu'hua'piao
着三不着两,zhao'san'bu'zhao'liang
这山望着那山高,zhe'shan'wang'zhe'na'shan'gao
针尖对麦芒,zhen'jian'dui'mai'mang
正人先正己,zheng'ren'xian'zheng'ji
睁只眼闭只眼,zheng'zhi'yan'bi'zhi'yan
治标不治本,zhi'biao'bu'zhi'ben
掷地作金石声,zhi'di'zuo'jin'shi'sheng
芝麻开花节节高,zhi'ma'kai'hua'jie'jie'gao
执木可作伐,zhi'mu'ke'zuo'fa
只怕有心人,zhi'pa'you'xin'ren
知其不可为而为之,zhi'qi'bu'ke'wei'er'wei'zhi
知其然而不知其所以然,zhi'qi'ran'er'bu'zhi'qi'suo'yi'ran
知其一不知其二,zhi'qi'yi'bu'zhi'qi'er
纸上得来终觉浅,zhi'shang'de'lai'zhong'jue'qian
知识就是力量,zhi'shi'jiu'shi'li'liang
只许州官放火,zhi'xu'zhou'guan'fang'huo
只愿君心似我心,zhi'yuan'jun'xin'si'wo'xin
只缘身在此山中,zhi'yuan'shen'zai'ci'shan'zhong
只争来早与来迟,zhi'zheng'lai'zao'yu'lai'chi
置之死地而后快,zhi'zhi'si'di'er'hou'kuai
置之死地而后生,zhi'zhi'si'di'er'hou'sheng
知子莫如父,zhi'zi'mo'ru'fu
知足者常乐,zhi'zu'zhe'chang'le
忠臣不事二主,zhong'chen'bu'shi'er'zhu
众人拾柴火焰高,zhong'ren'shi'chai'huo'yan'gao
中文词库素材,zhong'wen'ci'ku'su'cai
忠言逆耳利于行,zhong'yan'ni'er'li'yu'xing
重质不重量,zhong'zhi'bu'zhong'liang
种种迹象表明,zhong'zhong'ji'xiang'biao'ming
竹篮打水一场空,zhu'lan'da'shui'yi'chang'kong
朱门酒肉臭,zhu'men'jiu'rou'chou
竹筒倒豆子,zhu'tong'dao'dou'zi
自古华山一条路,zi'gu'hua'shan'yi'tiao'lu
自古妻贤夫祸少,zi'gu'qi'xian'fu'huo'shao
自己动手丰衣足食,zi'ji'dong'shou'feng'yi'zu'shi
子孝父心宽,zi'xiao'fu'xin'kuan
自在不成人,zi'zai'bu'cheng'ren
走马临崖收缰晚,zou'ma'lin'ya'shou'jiang'wan
最毒不过妇人心,zui'du'bu'guo'fu'ren'xin
最后一公里,zui'hou'yi'gong'li
嘴尖舌头快,zui'jian'she'tou'kuai
最近比较烦,zui'jin'bi'jiao'fan
坐山观虎斗,zuo'shan'guan'hu'dou
做一天和尚撞一天钟,zuo'yi'tian'he'shang'zhuang'yi'tian'zhong
