安徽财经大学,an'hui'cai'jing'da'xue
漯河职业技术学院,luo'he'zhi'ye'ji'shu'xue'yuan
洛阳大学,luo'yang'da'xue
洛阳工业高等专科学校,luo'yang'gong'ye'gao'deng'zhuan'ke'xue'xiao
洛阳师范学院,luo'yang'shi'fan'xue'yuan
吕梁高专,lv'liang'gao'zhuan
茂名学院,mao'ming'xue'yuan
绵阳职业技术学院,mian'yang'zhi'ye'ji'shu'xue'yuan
闽江学院,min'jiang'xue'yuan
南昌大学,nan'chang'da'xue
南昌工程学院原南昌水利水电高等专科学校,nan'chang'gong'cheng'xue'yuan'yuan'nan'chang'shui'li'shui'dian'gao'deng'zhuan'ke'xue'xiao
南昌航空工业学院,nan'chang'hang'kong'gong'ye'xue'yuan
南海东软信息技术职业学院,nan'hai'dong'ruan'xin'xi'ji'shu'zhi'ye'xue'yuan
南华大学,nan'hua'da'xue
南京财经大学,nan'jing'cai'jing'da'xue
南京大学,nan'jing'da'xue
南京工程学院,nan'jing'gong'cheng'xue'yuan
南京工业大学,nan'jing'gong'ye'da'xue
南京工业职业技术学院,nan'jing'gong'ye'zhi'ye'ji'shu'xue'yuan
南京航空航天大学,nan'jing'hang'kong'hang'tian'da'xue
南京理工大学,nan'jing'li'gong'da'xue
南京林业大学,nan'jing'lin'ye'da'xue
南京农业大学,nan'jing'nong'ye'da'xue
南京审计学院,nan'jing'shen'ji'xue'yuan
南京师范大学,nan'jing'shi'fan'da'xue
南京市广播电视大学,nan'jing'shi'guang'bo'dian'shi'da'xue
南京特殊教育职业技术学院,nan'jing'te'shu'jiao'yu'zhi'ye'ji'shu'xue'yuan
南京体育学院,nan'jing'ti'yu'xue'yuan
南京铁道职业技术学院,nan'jing'tie'dao'zhi'ye'ji'shu'xue'yuan
南京晓庄学院,nan'jing'xiao'zhuang'xue'yuan
南京信息工程大学,nan'jing'xin'xi'gong'cheng'da'xue
南京信息职业技术学院,nan'jing'xin'xi'zhi'ye'ji'shu'xue'yuan
南京医科大学,nan'jing'yi'ke'da'xue
南京艺术学院,nan'jing'yi'shu'xue'yuan
