哀牢山三十六剑,ai'lao'shan'san'shi'liu'jian
无量剑,wu'liang'jian
无量剑法,wu'liang'jian'fa
五罗轻烟掌,wu'luo'qing'yan'zhang
无色无相,wu'se'wu'xiang
无声无色,wu'sheng'wu'se
无双无对,wu'shuang'wu'dui
五台山二十四路伏魔杖,wu'tai'shan'er'shi'si'lu'fu'mo'zhang
五台山清凉寺,wu'tai'shan'qing'liang'si
五贤对叙,wu'xian'dui'xu
无相劫指,wu'xiang'jie'zhi
无相音罡,wu'xiang'yin'gang
五行连环拳,wu'xing'lian'huan'quan
五行六合掌,wu'xing'liu'he'zhang
五行阵,wu'xing'zhen
无影幻腿,wu'ying'huan'tui
五岳倒为轻,wu'yue'dao'wei'qing
雾中初见,wu'zhong'chu'jian
无中生有,wu'zhong'sheng'you
五转幽冥,wu'zhuan'you'ming
西川双侠,xi'chuan'shuang'xia
西窗夜话,xi'chuang'ye'hua
西毒杖法,xi'du'zhang'fa
西风倒卷,xi'feng'dao'juan
西夏回人,xi'xia'hui'ren
吸星大法,xi'xing'da'fa
希夷剑,xi'yi'jian
奚长老,xi'zhang'lao
峡谷天风,xia'gu'tian'feng
霞云回绕,xia'yun'hui'rao
仙都派,xian'dou'pai
闲过信陵饮,xian'guo'xin'ling'yin
仙剑斩龙,xian'jian'zhan'long
仙人指路,xian'ren'zhi'lu
先天功,xian'tian'gong
响隔楼台,xiang'ge'lou'tai
降龙十八掌,xiang'long'shi'ba'zhang
想入非非,xiang'ru'fei'fei
小鬼叫门,xiao'gui'jiao'men
小怜横陈,xiao'lian'heng'chen
小擒拿手,xiao'qin'na'shou
萧史乘龙,xiao'shi'sheng'long
箫史乘龙,xiao'shi'sheng'long
小无相功,xiao'wu'xiang'gong
逍遥派,xiao'yao'pai
逍遥游,xiao'yao'you
小夜叉棍,xiao'ye'cha'gun
小园艺菊,xiao'yuan'yi'ju
斜打狗背,xie'da'gou'bei
蟹钳功,xie'qian'gong
谢逊,xie'xun
谢烟客,xie'yan'ke
心惊肉跳,xin'jing'rou'tiao
心意气混元功,xin'yi'qi'hun'yuan'gong
杏花春雨,xing'hua'chun'yu
行尸走肉,xing'shi'zou'rou
星宿派,xing'xiu'pai
雄霸群山,xiong'ba'qun'shan
袖里乾坤,xiu'li'qian'kun
袖中指,xiu'zhong'zhi
虚式分金,xu'shi'fen'jin
煊赫大梁城,xuan'he'da'liang'cheng
玄冥二老,xuan'ming'er'lao
玄冥神掌,xuan'ming'shen'zhang
玄天指,xuan'tian'zhi
玄虚刀法,xuan'xu'dao'fa
玄玄刀法,xuan'xuan'dao'fa
血刀刀法,xue'dao'dao'fa
血刀门,xue'dao'men
雪花六出,xue'hua'liu'chu
雪山剑法,xue'shan'jian'fa
雪山派,xue'shan'pai
雪拥蓝关,xue'yong'lan'guan
雪拥蓝桥,xue'yong'lan'qiao
雪中奇莲,xue'zhong'qi'lian
迅雷剑,xun'lei'jian
雁行刀,yan'hang'dao
雁行轻功,yan'hang'qing'gong
雁回天南,yan'hui'tian'nan
雁回祝融,yan'hui'zhu'rong
言家拳,yan'jia'quan
沿门托钵,yan'men'tuo'bo
雁破九重,yan'po'jiu'chong
燕青,yan'qing
燕青拳,yan'qing'quan
烟锁雾拢,yan'suo'wu'long
阎王点名,yan'wang'dian'ming
阎王掷笔,yan'wang'zhi'bi
炎炎功,yan'yan'gong
杨家枪,yang'jia'qiang
杨老令公,yang'lao'ling'gong
阳山迭迭,yang'shan'die'die
养吾剑,yang'wu'jian
遥天浸白波,yao'tian'jin'bai'bo
夜半烽烟,ye'ban'feng'yan
野马奔驰,ye'ma'ben'chi
夜绣鸳鸯,ye'xiu'yuan'yang
衣冠拜冕旒,yi'guan'bai'mian'liu
移魂大法,yi'hun'da'fa
一剑封魔,yi'jian'feng'mo
易筋煅骨篇,yi'jin'duan'gu'pian
易筋经,yi'jin'jing
一拍两散,yi'pai'liang'san
意气素霓生,yi'qi'su'ni'sheng
一十八路登堂拳,yi'shi'ba'lu'deng'tang'quan
一十二路入室拳,yi'shi'er'lu'ru'shi'quan
倚天屠龙笔法,yi'tian'tu'long'bi'fa
倚天屠龙记,yi'tian'tu'long'ji
一啸风生,yi'xiao'feng'sheng
一阳指,yi'yang'zhi
以逸待劳,yi'yi'dai'lao
一字电剑,yi'zi'dian'jian
阴风刀,yin'feng'dao
阴风吼,yin'feng'hou
银河横空,yin'he'heng'kong
饮恨吞声,yin'hen'tun'sheng
尹克西,yin'ke'xi
殷离,yin'li
银瓶乍破,yin'ping'zha'po
阴山掌大九式,yin'shan'zhang'da'jiu'shi
银索金铃索法,yin'suo'jin'ling'suo'fa
殷天正,yin'tian'zheng
因陀罗抓,yin'tuo'luo'zhua
阴阳宝扇打穴功夫,yin'yang'bao'shan'da'xue'gong'fu
阴阳诀,yin'yang'jue
瑛姑,ying'gu
鹰蛇生死搏,ying'she'sheng'si'bo
英雄三招,ying'xiong'san'zhao
鹰爪功,ying'zhao'gong
鹰爪力,ying'zhao'li
鹰爪擒拿手,ying'zhao'qin'na'shou
鹰爪手,ying'zhao'shou
鹰爪雁行门,ying'zhao'yan'hang'men
庸人自扰,yong'ren'zi'rao
庸医下药,yong'yi'xia'yao
有凤来仪,you'feng'lai'yi
游龙探爪,you'long'tan'zhao
雨打飞花剑法,yu'da'fei'hua'jian'fa
玉带围腰,yu'dai'wei'yao
玉进天池,yu'jin'tian'chi
玉女剑法,yu'nv'jian'fa
玉女剑十九式,yu'nv'jian'shi'jiu'shi
玉女素心剑,yu'nv'su'xin'jian
玉女素心剑法,yu'nv'su'xin'jian'fa
玉女心经,yu'nv'xin'jing
渔叟钩法,yu'sou'gou'fa
玉碎昆冈,yu'sui'kun'gang
玉萧剑法,yu'xiao'jian'fa
玉箫剑法,yu'xiao'jian'fa
羽衣刀,yu'yi'dao
鱼跃于渊,yu'yue'yu'yuan
怨魂缠足,yuan'hun'chan'zu
袁士宵,yuan'shi'xiao
鸳鸯刀,yuan'yang'dao
岳家散手四门拳法,yue'jia'san'shou'si'men'quan'fa
月落西山,yue'luo'xi'shan
越女剑法,yue'nv'jian'fa
云横秦岭,yun'heng'qin'ling
云横西岭,yun'heng'xi'ling
云手,yun'shou
云中鹤,yun'zhong'he
云州秦家寨,yun'zhou'qin'jia'zhai
斩蛟拳,zhan'jiao'quan
沾衣十八跌,zhan'yi'shi'ba'die
粘字诀,zhan'zi'jue
棹歌中流,zhao'ge'zhong'liu
昭君出塞,zhao'jun'chu'sai
浙东祁家,zhe'dong'qi'jia
震惊百里,zhen'jing'bai'li
震天三十掌,zhen'tian'san'shi'zhang
震天铁掌,zhen'tian'tie'zhang
真武七截阵,zhen'wu'qi'jie'zhen
郑长老,zheng'zhang'lao
直捣黄龙,zhi'dao'huang'long
织女穿衣,zhi'nv'chuan'yi
中冲剑,zhong'chong'jian
钟鼓齐鸣,zhong'gu'qi'ming
终极裁决,zhong'ji'cai'jue
重节守义,zhong'jie'shou'yi
锺馗抉目,zhong'kui'jue'mu
周伯通,zhou'bo'tong
周公剑,zhou'gong'jian
周仲英,zhou'zhong'ying
朱聪,zhu'cong
褚红柳,zhu'hong'liu
祝融剑法,zhu'rong'jian'fa
蛛索功夫,zhu'suo'gong'fu
朱子柳,zhu'zi'liu
追魂夺命剑,zhui'hun'duo'ming'jian
卓天雄,zhuo'tian'xiong
捉影式,zhuo'ying'shi
紫盖剑法,zi'gai'jian'fa
子母铁胆,zi'mu'tie'dan
紫气东来,zi'qi'dong'lai
紫霞功,zi'xia'gong
子胥举鼎,zi'xu'ju'ding
自在飞花,zi'zai'fei'hua
总诀式,zong'jue'shi
纵死侠骨香,zong'si'xia'gu'xiang
醉拳,zui'quan
左冷禅,zuo'leng'chan
