阿娇年未多,a'jiao'nian'wei'duo
骨折面如墨,gu'zhe'mian'ru'mo
谷者命之本,gu'zhe'ming'zhi'ben
古者三皇前,gu'zhe'san'huang'qian
古镇峰峦集,gu'zhen'feng'luan'ji
古镇青山口,gu'zhen'qing'shan'kou
古治郡东边,gu'zhi'jun'dong'bian
孤舟巴山雨,gu'zhou'ba'shan'yu
孤舟登瀼西,gu'zhou'deng'rang'xi
孤舟江海宽,gu'zhou'jiang'hai'kuan
孤舟江上畏春寒,gu'zhou'jiang'shang'wei'chun'han
孤舟看落叶,gu'zhou'kan'luo'ye
孤舟乱春华,gu'zhou'luan'chun'hua
孤舟且欲归,gu'zhou'qie'yu'gui
孤舟轻荆衡,gu'zhou'qing'jing'heng
古甃生苔涩,gu'zhou'sheng'tai'se
孤舟似昨日,gu'zhou'si'zuo'ri
孤舟万里外,gu'zhou'wan'li'wai
孤舟向广武,gu'zhou'xiang'guang'wu
孤舟已言旋,gu'zhou'yi'yan'xuan
孤舟增郁郁,gu'zhou'zeng'yu'yu
谷转川如掌,gu'zhuan'chuan'ru'zhang
谷转颇弥旬,gu'zhuan'po'mi'xun
故作发声微,gu'zuo'fa'sheng'wei
瓜步寒潮送客,gua'bu'han'chao'song'ke
挂帆远色外,gua'fan'yuan'se'wai
挂帆早发刘郎浦,gua'fan'zao'fa'liu'lang'pu
铦锋行惬顺,gua'feng'xing'qie'shun
铦锋莹鸊鹈,gua'feng'ying'bi'ti
寡妇共租税,gua'fu'gong'zu'shui
鸹鹖催明星,gua'he'cui'ming'xing
瓜嚼水精寒,gua'jiao'shui'jing'han
挂君高堂之素壁,gua'jun'gao'tang'zhi'su'bi
寡妻从为郡,gua'qi'cong'wei'jun
栝树森回谿,gua'shu'sen'hui'ji
瓜熟亦不早,gua'shu'yi'bu'zao
瓜田傍绿谿,gua'tian'bang'lv'ji
挂席钓川涨,gua'xi'diao'chuan'zhang
挂席集众功,gua'xi'ji'zhong'gong
挂席经芦洲,gua'xi'jing'lu'zhou
挂席穷海岛,gua'xi'qiong'hai'dao
挂席上南斗,gua'xi'shang'nan'dou
怪底江山起烟雾,guai'di'jiang'shan'qi'yan'wu
怪石时侵径,guai'shi'shi'qin'jing
怪我还山迟,guai'wo'hai'shan'chi
怪状崩腾若转蓬,guai'zhuang'beng'teng'ruo'zhuan'peng
官谤复迍邅,guan'bang'fu'zhun'zhan
官曹可接联,guan'cao'ke'jie'lian
官曹正独守,guan'cao'zheng'du'shou
官场罗镇碛,guan'chang'luo'zhen'qi
关城带月鸿,guan'cheng'dai'yue'hong
关城见柳条,guan'cheng'jian'liu'tiao
贯穿百万众,guan'chuan'bai'wan'zhong
贯穿无遗恨,guan'chuan'wu'yi'hen
关东尺书醉懒题,guan'dong'chi'shu'zui'lan'ti
关东花欲飞,guan'dong'hua'yu'fei
关东县欲春,guan'dong'xian'yu'chun
官渡又改辙,guan'du'you'gai'zhe
观尔向来三五字,guan'er'xiang'lai'san'wu'zi
关防犹可倚,guan'fang'you'ke'yi
观风岂易俦,guan'feng'qi'yi'chou
观风自南国,guan'feng'zi'nan'guo
官府征白丁,guan'fu'zheng'bai'ding
冠盖满京华,guan'gai'man'jing'hua
冠盖日云积,guan'gai'ri'yun'ji
官高何足论,guan'gao'he'zu'lun
管葛本时须,guan'ge'ben'shi'xu
鳏寡欲焉如,guan'gua'yu'yan'ru
鹳鹤号且翔,guan'he'hao'qie'xiang
关河空郁纡,guan'he'kong'yu'yu
关河三晋路,guan'he'san'jin'lu
关河霜雪清,guan'he'shuang'xue'qing
观乎舂陵作,guan'hu'chong'ling'zuo
官鸡输稻粱,guan'ji'shu'dao'liang
惯捷瓶上手,guan'jie'ping'shang'shou
观境制心猿,guan'jing'zhi'xin'yuan
官军动天地,guan'jun'dong'tian'di
官军请深入,guan'jun'qing'shen'ru
官军西出过楼兰,guan'jun'xi'chu'guo'lou'lan
官军拥贼壕,guan'jun'yong'zei'hao
观空色不染,guan'kong'se'bu'ran
观空已悟身,guan'kong'yi'wu'shen
关令乘云去不还,guan'ling'cheng'yun'qu'bu'huan
关柳拂铜章,guan'liu'fu'tong'zhang
官柳叶尚小,guan'liu'ye'shang'xiao
关门花欲飞,guan'men'hua'yu'fei
关门劳夕梦,guan'men'lao'xi'meng
关门路再过,guan'men'lu'zai'guo
关门锁归客,guan'men'suo'gui'ke
关门一小吏,guan'men'yi'xiao'li
官免供给费,guan'mian'gong'ji'fei
冠冕通南极,guan'mian'tong'nan'ji
观棋不觉暝,guan'qi'bu'jue'ming
观棋知战胜,guan'qi'zhi'zhan'sheng
观其著诗集,guan'qi'zhu'shi'ji
鹳鹊巢茂林,guan'que'chao'mao'lin
官荣叶县凫,guan'rong'ye'xian'fu
关塞鸿勋著,guan'sai'hong'xun'zhu
关山空自寒,guan'shan'kong'zi'han
关山饶苦辛,guan'shan'rao'ku'xin
关山唯一道,guan'shan'wei'yi'dao
关山信月轮,guan'shan'xin'yue'lun
关山忆梦回,guan'shan'yi'meng'hui
关山月共愁,guan'shan'yue'gong'chou
关山云边看,guan'shan'yun'bian'kan
官舍耿深夜,guan'she'geng'shen'ye
官舍临江口,guan'she'lin'jiang'kou
管声寥亮月苍苍,guan'sheng'liao'liang'yue'cang'cang
官是先锋得,guan'shi'xian'feng'de
官属不令拘礼数,guan'shu'bu'ling'ju'li'shu
官属果称是,guan'shu'guo'cheng'shi
关树晚苍苍,guan'shu'wan'cang'cang
盥漱忻景清,guan'shu'xin'jing'qing
关树应先落,guan'shu'ying'xian'luo
观水百丈湫,guan'shui'bai'zhang'jiao
馆宿风雨滞,guan'su'feng'yu'zhi
灌坛有遗风,guan'tan'you'yi'feng
观涛海门秋,guan'tao'hai'men'qiu
观涛秋正好,guan'tao'qiu'zheng'hao
官忝趋栖凤,guan'tian'qu'qi'feng
灌田同一泉,guan'tian'tong'yi'quan
关亭试一望,guan'ting'shi'yi'wang
馆娃宫中春已归,guan'wa'gong'zhong'chun'yi'gui
馆娃满眼看花发,guan'wa'man'yan'kan'hua'fa
关外越离忧,guan'wai'yue'li'you
观望悸心魂,guan'wang'ji'xin'hun
官为幕中客,guan'wei'mu'zhong'ke
观我落笔中书堂,guan'wo'luo'bi'zhong'shu'tang
关西不见春杨柳,guan'xi'bu'jian'chun'yang'liu
关西得孟邻,guan'xi'de'meng'lin
关西老将能苦战,guan'xi'lao'jiang'neng'ku'zhan
关西望第一,guan'xi'wang'di'yi
惯习炎蒸岁絺绤,guan'xi'yan'zheng'sui'chi'xi
官闲高兴生,guan'xian'gao'xing'sheng
官闲幕府下,guan'xian'mu'fu'xia
观异增迟回,guan'yi'zeng'chi'hui
官有王司直,guan'you'wang'si'zhi
关月生首阳,guan'yue'sheng'shou'yang
关云常带雨,guan'yun'chang'dai'yu
关云迎渡船,guan'yun'ying'du'chuan
观者如山色沮丧,guan'zhe'ru'shan'se'ju'sang
观者贪愁掣臂飞,guan'zhe'tan'chou'che'bi'fei
关中既留萧丞相,guan'zhong'ji'liu'xiao'cheng'xiang
关中昔丧败,guan'zhong'xi'sang'bai
关中小儿坏纪纲,guan'zhong'xiao'er'huai'ji'gang
灌注寒涧泉,guan'zhu'han'jian'quan
官拙自悲头白尽,guan'zhuo'zi'bei'tou'bai'jin
官作既有程,guan'zuo'ji'you'cheng
光抱空中楼,guang'bao'kong'zhong'lou
广地方连延,guang'di'fang'lian'yan
光拂夏云收,guang'fu'xia'yun'shou
广固才登陟,guang'gu'cai'deng'zhi
光光弄印荣,guang'guang'nong'yin'rong
光含翡翠容,guang'han'fei'cui'rong
光华扬盛矣,guang'hua'yang'sheng'yi
光景借茅茨,guang'jing'jie'mao'ci
广陵城头鼙鼓暗,guang'ling'cheng'tou'pi'gu'an
光禄经济器,guang'lu'jing'ji'qi
光芒六合无泥滓,guang'mang'lu'he'wu'ni'zi
广眉大口仍赤髭,guang'mei'da'kou'reng'chi'zi
光弥焮洲渚,guang'mi'xin'zhou'zhu
光明白氎巾,guang'ming'bai'die'jin
广陌并游骑,guang'mo'bing'you'qi
广深丈尺间,guang'shen'zhang'chi'jian
光添银烛晃朝衣,guang'tian'yin'zhu'huang'chao'yi
广庭独闲步,guang'ting'du'xian'bu
广文到官舍,guang'wen'dao'guan'she
广文先生饭不足,guang'wen'xian'sheng'fan'bu'zu
广文先生官独冷,guang'wen'xian'sheng'guan'du'leng
光细弦岂上,guang'xi'xian'qi'shang
光摇一潭碎,guang'yao'yi'tan'sui
光阴蓟子训,guang'yin'ji'zi'xun
光阴叹虚掷,guang'yin'tan'xu'zhi
广愿恒河沙,guang'yuan'heng'he'sha
广云垂荫开难落,guang'yun'chui'yin'kai'nan'luo
光照掖垣明,guang'zhao'ye'yuan'ming
跪拜临坛结空想,gui'bai'lin'tan'jie'kong'xiang
跪拜灵坛礼容盛,gui'bai'ling'tan'li'rong'sheng
归朝跼病肺,gui'chao'ju'bing'fei
归当守冲漠,gui'dang'shou'chong'mo
归当饮一杯,gui'dang'yin'yi'bei
归当再前席,gui'dang'zai'qian'xi
圭窦三千士,gui'dou'san'qian'shi
归帆拂天姥,gui'fan'fu'tian'lao
归帆阻清沔,gui'fan'zu'qing'mian
归飞青海隅,gui'fei'qing'hai'yu
归飞晴日好,gui'fei'qing'ri'hao
桂宫男掌仆,gui'gong'nan'zhang'pu
鬼怪何得参人谋,gui'guai'he'de'can'ren'mou
归海成一家,gui'hai'cheng'yi'jia
归号故松柏,gui'hao'gu'song'bai
归泓又同注,gui'hong'you'tong'zhu
桂花松子常满地,gui'hua'song'zi'chang'man'di
鬼火依城池,gui'huo'yi'cheng'chi
归及荐樱桃,gui'ji'jian'ying'tao
桂楫闲迎客,gui'ji'xian'ying'ke
桂楫逐寒烟,gui'ji'zhu'han'yan
归家如欲懒,gui'jia'ru'yu'lan
贵贱俱物役,gui'jian'ju'wu'yi
归见莱芜九十翁,gui'jian'lai'wu'jiu'shi'weng
贵贱虽异等,gui'jian'sui'yi'deng
归旌告东捷,gui'jing'gao'dong'jie
归径行已昨,gui'jing'xing'yi'zuo
归军剧风火,gui'jun'ju'feng'huo
归军星散营,gui'jun'xing'san'ying
归客留不住,gui'ke'liu'bu'zhu
归客千里至,gui'ke'qian'li'zhi
归客相逢渡睢水,gui'ke'xiang'feng'du'sui'shui
归客自南楚,gui'ke'zi'nan'chu
鬼哭黄埃暮,gui'ku'huang'ai'mu
鬼哭夹道傍,gui'ku'jia'dao'bang
鬼哭连楚山,gui'ku'lian'chu'shan
归来灞陵上,gui'lai'ba'ling'shang
归来长安道,gui'lai'chang'an'dao
归来独闭门,gui'lai'du'bi'men
归来独鸟迟,gui'lai'du'niao'chi
归来觊命驾,gui'lai'ji'ming'jia
归来甲第拱皇居,gui'lai'jia'di'gong'huang'ju
归来见者谁不羡,gui'lai'jian'zhe'shui'bu'xian
归来景常晏,gui'lai'jing'chang'yan
归来洛阳无负郭,gui'lai'luo'yang'wu'fu'guo
归来莫忘此,gui'lai'mo'wang'ci
归来潜京辇,gui'lai'qian'jing'nian
归来权可取,gui'lai'quan'ke'qu
归来稍暄暖,gui'lai'shao'xuan'nuan
归来视宝剑,gui'lai'shi'bao'jian
归来始自怜,gui'lai'shi'zi'lian
归来头白还戍边,gui'lai'tou'bai'hai'shu'bian
归来向家问妻子,gui'lai'xiang'jia'wen'qi'zi
归来悬两狼,gui'lai'xuan'liang'lang
归来寻旧蹊,gui'lai'xun'jiu'qi
归来倚杖自叹息,gui'lai'yi'zhang'zi'tan'xi
归来御席同,gui'lai'yu'xi'tong
归来奏边功,gui'lai'zou'bian'gong
归老任乾坤,gui'lao'ren'qian'kun
归老守故林,gui'lao'shou'gu'lin
桂林蒲萄新吐蔓,gui'lin'pu'tao'xin'tu'man
桂岭千崖断,gui'ling'qian'ya'duan
归流澹清风,gui'liu'dan'qing'feng
归路翻萧飒,gui'lu'fan'xiao'sa
归路跬步疏,gui'lu'kui'bu'shu
归路秦树灭,gui'lu'qin'shu'mie
归路晚山稠,gui'lu'wan'shan'chou
归路拥旌旗,gui'lu'yong'jing'qi
归路自忻忻,gui'lu'zi'xin'xin
归马散霜蹄,gui'ma'san'shuang'ti
鬼门无归客,gui'men'wu'gui'ke
龟蒙不复见,gui'meng'bu'fu'jian
归梦秋能作,gui'meng'qiu'neng'zuo
规模称壮哉,gui'mo'cheng'zhuang'zai
归鸟尽敛翼,gui'niao'jin'lian'yi
圭臬星经奥,gui'nie'xing'jing'ao
归期明主赐,gui'qi'ming'zhu'ci
归期岂烂漫,gui'qi'qi'lan'man
贵戚权门得笔迹,gui'qi'quan'men'de'bi'ji
归期如梦中,gui'qi'ru'meng'zhong
归期尚隔年,gui'qi'shang'ge'nian
归期无奈何,gui'qi'wu'nai'he
鬼妾与鬼马,gui'qie'yu'gui'ma
归去北风高,gui'qu'bei'feng'gao
归去磻谿梦里山,gui'qu'bo'ji'meng'li'shan
归去不得意,gui'qu'bu'de'yi
归去结茅茨,gui'qu'jie'mao'ci
归去新战胜,gui'qu'xin'zhan'sheng
归人悲远天,gui'ren'bei'yuan'tian
贵人岂不仁,gui'ren'qi'bu'ren
归人望独树,gui'ren'wang'du'shu
贵人昔未贵,gui'ren'xi'wei'gui
归人向远烟,gui'ren'xiang'yuan'yan
归人争流喧,gui'ren'zheng'liu'xuan
归山买薄田,gui'shan'mai'bo'tian
龟上半欹莲,gui'shang'ban'qi'lian
归视窗间字,gui'shi'chuang'jian'zi
归时恐路迷,gui'shi'kong'lu'mi
归时莫赠路傍金,gui'shi'mo'zeng'lu'bang'jin
归思方悠哉,gui'si'fang'you'zai
归思欲沾巾,gui'si'yu'zhan'jin
归为尚书妇,gui'wei'shang'shu'fu
鬼物撇捩辞坑壕,gui'wu'pie'lie'ci'keng'hao
鬼物无嫌猜,gui'wu'wu'xian'cai
归闲不厌贫,gui'xian'bu'yan'pin
归献老亲尝,gui'xian'lao'qin'chang
归闲意有馀,gui'xian'yi'you'yu
归向浙河东,gui'xiang'zhe'he'dong
鬼啸猿啼垂女萝,gui'xiao'yuan'ti'chui'nv'luo
归枻去何迟,gui'xie'qu'he'chi
归心更难道,gui'xin'geng'nan'dao
归心日悠哉,gui'xin'ri'you'zai
归心望海日,gui'xin'wang'hai'ri
归心无昼夜,gui'xin'wu'zhou'ye
归轩今已迟,gui'xuan'jin'yi'chi
桂阳年少西入秦,gui'yang'nian'shao'xi'ru'qin
归意方浩然,gui'yi'fang'hao'ran
贵游谁最贵,gui'you'shui'zui'gui
归欤任白头,gui'yu'ren'bai'tou
归欤伤我神,gui'yu'shang'wo'shen
归院柳边迷,gui'yuan'liu'bian'mi
归云殊未极,gui'yun'shu'wei'ji
归云网松萝,gui'yun'wang'song'luo
归云犹相逐,gui'yun'you'xiang'zhu
归棹带流澌,gui'zhao'dai'liu'si
龟兆开泉户,gui'zhao'kai'quan'hu
归棹绿川长,gui'zhao'lv'chuan'chang
桂折秋风前,gui'zhe'qiu'feng'qian
桂折一枝将,gui'zhe'yi'zhi'jiang
归种汶阳田,gui'zhong'wen'yang'tian
闺中只独看,gui'zhong'zhi'du'kan
闺中只是空相忆,gui'zhong'zhi'shi'kong'xiang'yi
归州长年行最能,gui'zhou'zhang'nian'xing'zui'neng
归醉每无愁,gui'zui'mei'wu'chou
衮职曾无一字补,gun'zhi'ceng'wu'yi'zi'bu
国步初返正,guo'bu'chu'fan'zheng
国步连营一千里,guo'bu'lian'ying'yi'qian'li
国步犹艰难,guo'bu'you'jian'nan
国初已来画鞍马,guo'chu'yi'lai'hua'an'ma
果得希代宝,guo'de'xi'dai'bao
国恩行可报,guo'en'xing'ke'bao
国风冲融迈三五,guo'feng'chong'rong'mai'san'wu
国家草昧初,guo'jia'cao'mei'chu
国家成败吾岂敢,guo'jia'cheng'bai'wu'qi'gan
国家法令在,guo'jia'fa'ling'zai
过江常苦迟,guo'jiang'chang'ku'chi
过客驻征轩,guo'ke'zhu'zheng'xuan
郭里树侵湖,guo'li'shu'qin'hu
过陇自艰难,guo'long'zi'jian'nan
虢略鼎湖旁,guo'lue'ding'hu'pang
国马竭粟豆,guo'ma'jie'su'dou
郭南抱瓮亦隐几,guo'nan'bao'weng'yi'yin'ji
郭南处士宅,guo'nan'chu'shi'zhai
国破山河在,guo'po'shan'he'zai
过碛觉天低,guo'qi'jue'tian'di
郭钦上书见大计,guo'qin'shang'shu'jian'da'ji
过时不得锄,guo'shi'bu'de'chu
过水蝶悠飏,guo'shui'die'you'yang
国嗣初将付诸武,guo'si'chu'jiang'fu'zhu'wu
过庭闻礼日,guo'ting'wen'li'ri
郭外山色暝,guo'wai'shan'se'ming
郭外是黄河,guo'wai'shi'huang'he
过午方始饭,guo'wu'fang'shi'fan
郭相谋深古来少,guo'xiang'mou'shen'gu'lai'shao
国小常多事,guo'xiao'chang'duo'shi
郭薛俱才贤,guo'xue'ju'cai'xian
果药发馀荣,guo'yao'fa'yu'rong
果药杂芬敷,guo'yao'za'fen'fu
果园新雨后,guo'yuan'xin'yu'hou
国章荣印绶,guo'zhang'rong'yin'shou
郭振起通泉,guo'zhen'qi'tong'quan
国之社稷今若是,guo'zhi'she'ji'jin'ruo'shi
过竹吏人稀,guo'zhu'li'ren'xi
海岸出交趾,hai'an'chu'jiao'zhi
海暗三山雨,hai'an'san'shan'yu
还成吉甫颂,hai'cheng'ji'fu'song
还从广陌归,hai'cong'guang'mo'gui
还从静中起,hai'cong'jing'zhong'qi
还从旧路归,hai'cong'jiu'lu'gui
还从绝地移,hai'cong'jue'di'yi
还丹日月迟,hai'dan'ri'yue'chi
还当候圆月,hai'dang'hou'yuan'yue
还当守故扃,hai'dang'shou'gu'jiong
还当惜徂景,hai'dang'xi'cu'jing
还对桃李阴,hai'dui'tao'li'yin
海对羊城阔,hai'dui'yang'cheng'kuo
海翻移里巷,hai'fan'yi'li'xiang
还泛驿前舟,hai'fan'yi'qian'zhou
海风掣金戟,hai'feng'che'jin'ji
还复寄琼瑰,hai'fu'ji'qiong'gui
还归五陵去,hai'gui'wu'ling'qu
还归坐郡阁,hai'gui'zuo'jun'ge
还过白马津,hai'guo'bai'ma'jin
还过支遁居,hai'guo'zhi'dun'ju
海鹤鸣不息,hai'he'ming'bu'xi
海胡舶千艘,hai'hu'bo'qian'sou
还家有惭色,hai'jia'you'can'se
还见窗中鸽,hai'jian'chuang'zhong'ge
还见五云飞,hai'jian'wu'yun'fei
还将金印授庐儿,hai'jiang'jin'yin'shou'lu'er
还将一尊对,hai'jiang'yi'zun'dui
还嗟李广未封侯,hai'jie'li'guang'wei'feng'hou
还看满川月,hai'kan'man'chuan'yue
还肯到人间,hai'ken'dao'ren'jian
海阔珍奇亦来献,hai'kuo'zhen'qi'yi'lai'xian
还来谒大巫,hai'lai'ye'da'wu
海路雪中寒,hai'lu'xue'zhong'han
海门当建节,hai'men'dang'jian'jie
海内被吞食,hai'nei'bei'tun'shi
海内此亭古,hai'nei'ci'ting'gu
海内求民瘼,hai'nei'qiu'min'mo
海内知名士,hai'nei'zhi'ming'shi
还念同人别,hai'nian'tong'ren'bie
海鸥过竹屿,hai'ou'guo'zhu'yu
海畔种桃经几时,hai'pan'zhong'tao'jing'ji'shi
还陪李郭舟,hai'pei'li'guo'zhou
还栖碧树锁千门,hai'qi'bi'shu'suo'qian'men
海气迎边空,hai'qi'ying'bian'kong
还取醉忘忧,hai'qu'zui'wang'you
害群应自慑,hai'qun'ying'zi'she
还如沣水东,hai'ru'feng'shui'dong
还如故时绿,hai'ru'gu'shi'lv
还如故园树,hai'ru'gu'yuan'shu
还如在京华,hai'ru'zai'jing'hua
还山服药又长年,hai'shan'fu'yao'you'chang'nian
还山愧尘容,hai'shan'kui'chen'rong
还山应未迟,hai'shan'ying'wei'chi
海上堪乘桴,hai'shang'kan'cheng'fu
海上纳凉时,hai'shang'na'liang'shi
海上摘来朝霞凝,hai'shang'zhai'lai'zhao'xia'ning
海上众鸟不敢飞,hai'shang'zhong'niao'bu'gan'fei
还是杜陵一男子,hai'shi'du'ling'yi'nan'zi
还是李延年,hai'shi'li'yan'nian
还是饮冰馀,hai'shi'yin'bing'yu
海树青官舍,hai'shu'qing'guan'she
海树萧索天雨霜,hai'shu'xiao'suo'tian'yu'shuang
还蜀只无补,hai'shu'zhi'wu'bu
海水桑田几翻覆,hai'shui'sang'tian'ji'fan'fu
海水向南分,hai'shui'xiang'nan'fen
还思杜陵圃,hai'si'du'ling'pu
还思故园夜,hai'si'gu'yuan'ye
还似人生一梦中,hai'si'ren'sheng'yi'meng'zhong
还似山公回,hai'si'shan'gong'hui
还同星火去,hai'tong'xing'huo'qu
还同一叶落,hai'tong'yi'ye'luo
海图坼波涛,hai'tu'che'bo'tao
还望卫人邑,hai'wang'wei'ren'yi
还为世尘婴,hai'wei'shi'chen'ying
还闻劝加餐,hai'wen'quan'jia'can
还闻献士卒,hai'wen'xian'shi'zu
还惜旧游暌,hai'xi'jiu'you'kui
还希习池赏,hai'xi'xi'chi'shang
还向波中见,hai'xiang'bo'zhong'jian
还须及秋赋,hai'xu'ji'qiu'fu
还寻北郭生,hai'xun'bei'guo'sheng
还寻汲涧径,hai'xun'ji'jian'jing
还忆郊园日,hai'yi'jiao'yuan'ri
还疑厌祢衡,hai'yi'yan'mi'heng
还衣总是旧时香,hai'yi'zong'shi'jiu'shi'xiang
还因贡赋礼,hai'yin'gong'fu'li
还游不死方,hai'you'bu'si'fang
还欲并园庐,hai'yu'bing'yuan'lu
海鱼朝满市,hai'yu'chao'man'shi
海隅微小吏,hai'yu'wei'xiao'li
还欲向沧洲,hai'yu'xiang'cang'zhou
海月迎归楚,hai'yue'ying'gui'chu
海云引天仗,hai'yun'yin'tian'zhang
海云迎过楚,hai'yun'ying'guo'chu
海云助兵气,hai'yun'zhu'bing'qi
还在人间否,hai'zai'ren'jian'fou
海棕焉知身出群,hai'zong'yan'zhi'shen'chu'qun
海棕一株高入云,hai'zong'yi'zhu'gao'ru'yun
汉兵不顾身,han'bing'bu'gu'shen
汉兵候月秋防塞,han'bing'hou'yue'qiu'fang'sai
汉兵屯在轮台北,han'bing'tun'zai'lun'tai'bei
汉兵犹备胡,han'bing'you'bei'hu
韩蔡同赑屃,han'cai'tong'bi'xi
汉朝丞相系,han'chao'cheng'xiang'xi
寒城朝烟澹,han'cheng'chao'yan'dan
寒城菊自花,han'cheng'ju'zi'hua
寒城砧杵愁,han'cheng'zhen'chu'chou
寒愁满春草,han'chou'man'chun'cao
寒杵捣乡愁,han'chu'dao'xiang'chou
寒楚眇千里,han'chu'miao'qian'li
寒楚十二月,han'chu'shi'er'yue
寒川烧隔林,han'chuan'shao'ge'lin
汉代高坟对石碑,han'dai'gao'fen'dui'shi'bei
汉代李将军,han'dai'li'jiang'jun
邯郸城南游侠子,han'dan'cheng'nan'you'xia'zi
邯郸道上花扑人,han'dan'dao'shang'hua'pu'ren
菡萏满广池,han'dan'man'guang'chi
邯郸女儿夜沽酒,han'dan'nv'er'ye'gu'jiu
寒灯静深屋,han'deng'jing'shen'wu
汉帝金掌持,han'di'jin'zhang'chi
汉帝外家子,han'di'wai'jia'zi
汉二千石真分忧,han'er'qian'shi'zhen'fen'you
含芳独暮春,han'fang'du'mu'chun
寒风落日时,han'feng'luo'ri'shi
寒风鸣树枝,han'feng'ming'shu'zhi
酣歌对落晖,han'ge'dui'luo'hui
酣歌物色新,han'ge'wu'se'xin
汉宫来往传消息,han'gong'lai'wang'chuan'xiao'xi
汉宫美人望杳然,han'gong'mei'ren'wang'yao'ran
韩公有奇节,han'gong'you'qi'jie
汗沟血不赤,han'gou'xue'bu'chi
寒刮肌肤北风利,han'gua'ji'fu'bei'feng'li
汉官威仪重昭洗,han'guan'wei'yi'zhong'zhao'xi
汉光得天下,han'guang'de'tian'xia
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
瀚海龙城皆习战,han'hai'long'cheng'jie'xi'zhan
寒花独经雨,han'hua'du'jing'yu
寒花明废墟,han'hua'ming'fei'xu
汉迹方因循,han'ji'fang'yin'xun
汉家崇亚相,han'jia'chong'ya'xiang
汉家大将西出师,han'jia'da'jiang'xi'chu'shi
汉家得轮台,han'jia'de'lun'tai
汉家宫殿含云烟,han'jia'gong'dian'han'yun'yan
汉家鲁元君不闻,han'jia'lu'yuan'jun'bu'wen
汉家能用武,han'jia'neng'yong'wu
汉家偏访道,han'jia'pian'fang'dao
汉家仙仗在咸阳,han'jia'xian'zhang'zai'xian'yang
汉家烟尘在东北,han'jia'yan'chen'zai'dong'bei
汉家已是浑邪王,han'jia'yi'shi'hun'xie'wang
汉将承恩西破戎,han'jiang'cheng'en'xi'po'rong
汉将辞家破残贼,han'jiang'ci'jia'po'can'zei
汉将独征西,han'jiang'du'zheng'xi
汉将仍横戈,han'jiang'reng'heng'ge
寒江鸂鶒思俦侣,han'jiang'xi'chi'si'chou'lv
汉将小卫霍,han'jiang'xiao'wei'huo
寒郊陡觉暄,han'jiao'dou'jue'xuan
寒郊斗觉暄,han'jiao'dou'jue'xuan
汉节野童看,han'jie'ye'tong'kan
寒尽春生洛阳殿,han'jin'chun'sheng'luo'yang'dian
寒菊露偏滋,han'ju'lu'pian'zi
韩康灵药不复求,han'kang'ling'yao'bu'fu'qiu
含空无表里,han'kong'wu'biao'li
寒空驻彩旃,han'kong'zhu'cai'zhan
汉垒青冥间,han'lei'qing'ming'jian
翰林逼华盖,han'lin'bi'hua'gai
翰林仍忝陪,han'lin'reng'tian'pei
汗流被我体,han'liu'bei'wo'ti
汗流出鸟道,han'liu'chu'niao'dao
汉虏互胜负,han'lu'hu'sheng'fu
含露渐舒叶,han'lu'jian'shu'ye
寒路随河水,han'lu'sui'he'shui
汗马牧秋月,han'ma'mu'qiu'yue
汗马收宫阙,han'ma'shou'gong'que
翰墨时招侣,han'mo'shi'zhao'lv
寒木累旌旆,han'mu'lei'jing'pei
寒凝紫绠边,han'ning'zi'geng'bian
汉女菱歌春日长,han'nv'ling'ge'chun'ri'chang
含凄述飘荡,han'qi'shu'piao'dang
含凄向寥廓,han'qi'xiang'liao'kuo
汉箧亡书已暗传,han'qie'wang'shu'yi'an'chuan
含情归上国,han'qing'gui'shang'guo
含情过旧浦,han'qing'guo'jiu'pu
含情空激扬,han'qing'kong'ji'yang
寒磬虚空里,han'qing'xu'kong'li
含情掩泪独回头,han'qing'yan'lei'du'hui'tou
寒泉月助明,han'quan'yue'zhu'ming
汉阙青门远,han'que'qing'men'yuan
寒雀噪空墙,han'que'zao'kong'qiang
寒热百日相交战,han're'bai'ri'xiang'jiao'zhan
寒日出雾迟,han'ri'chu'wu'chi
寒日外澹泊,han'ri'wai'dan'bo
寒日逐徂征,han'ri'zhu'cu'zheng
寒沙榆塞没,han'sha'yu'sai'mei
寒山徒草草,han'shan'tu'cao'cao
含声歌扇举,han'sheng'ge'shan'ju
寒声坎坎风动边,han'sheng'kan'kan'feng'dong'bian
寒生千门里,han'sheng'qian'men'li
寒生五湖道,han'sheng'wu'hu'dao
寒声一夜传刁斗,han'sheng'yi'ye'chuan'diao'dou
汉时长安雪一丈,han'shi'chang'an'xue'yi'zhang
汉使何劳獬豸冠,han'shi'he'lao'xie'zhi'guan
汉使黄河远,han'shi'huang'he'yuan
寒事今牢落,han'shi'jin'lao'luo
寒食仍留火,han'shi'reng'liu'huo
汉使徒空到,han'shi'tu'kong'dao
汉氏五陵空崔嵬,han'shi'wu'ling'kong'cui'wei
汉使亦应稀,han'shi'yi'ying'xi
汉水出嶓冢,han'shui'chu'bo'zhong
汉水饶巨石,han'shui'rao'ju'shi
汉水天一色,han'shui'tian'yi'se
汉水行人少,han'shui'xing'ren'shao
汉水又回流,han'shui'you'hui'liu
旱岁属荒歉,han'sui'shu'huang'qian
寒台净石梁,han'tai'jing'shi'liang
