阿迪华,a'di'hua
苏文茂,su'wen'mao
苏武牧羊,su'wu'mu'yang
苏州弹词,su'zhou'tan'ci
隋长欣,sui'chang'xin
隋广斌,sui'guang'bin
孙安动本,sun'an'dong'ben
孙宝才,sun'bao'cai
孙保光,sun'bao'guang
孙宝钧,sun'bao'jun
孙宝琦,sun'bao'qi
孙伯珍,sun'bo'zhen
孙承林,sun'cheng'lin
孙春华,sun'chun'hua
孙存蝶,sun'cun'die
孙得一,sun'de'yi
孙殿盛,sun'dian'sheng
孙福海,sun'fu'hai
孙国伟,sun'guo'wei
孙继忠,sun'ji'zhong
孙强,sun'qiang
孙庆池,sun'qing'chi
孙庆淮,sun'qing'huai
孙少臣,sun'shao'chen
孙少林,sun'shao'lin
孙世达,sun'shi'da
孙士达,sun'shi'da
孙桐增,sun'tong'zeng
孙欣梅,sun'xin'mei
孙兴海,sun'xing'hai
孙星海,sun'xing'hai
孙玉娇,sun'yu'jiao
孙玉奎,sun'yu'kui
太白马,tai'bai'ma
胎里红,tai'li'hong
谭伯如,tan'bo'ru
谭富英,tan'fu'ying
探皇陵,tan'huang'ling
谭建勋,tan'jian'xun
谭鸣亮,tan'ming'liang
谭孝增,tan'xiao'zeng
谭鑫培,tan'xin'pei
探窑,tan'yao
探阴山,tan'yin'shan
谭元寿,tan'yuan'shou
唐传模,tang'chuan'mo
糖醋活鱼,tang'cu'huo'yu
唐杰忠,tang'jie'zhong
汤金澄,tang'jin'cheng
唐文光,tang'wen'guang
汤艳杰,tang'yan'jie
汤一民,tang'yi'min
唐玉福,tang'yu'fu
陶大为,tao'da'wei
陶文华,tao'wen'hua
陶湘九,tao'xiang'jiu
陶湘如,tao'xiang'ru
桃小春,tao'xiao'chun
桃园借水,tao'yuan'jie'shui
特种病,te'zhong'bing
腾生祥,teng'sheng'xiang
藤田香,teng'tian'xiang
滕文超,teng'wen'chao
田宝珩,tian'bao'heng
田宝鑫,tian'bao'xin
田德年,tian'de'nian
天津时调,tian'jin'shi'diao
田立禾,tian'li'he
田松山,tian'song'shan
田文奎,tian'wen'kui
田文明,tian'wen'ming
跳舞迷,tiao'wu'mi
贴旦,tie'dan
铁莲花,tie'lian'hua
铁片大鼓,tie'pian'da'gu
佟大方,tong'da'fang
佟浩如,tong'hao'ru
童鸣,tong'ming
佟守本,tong'shou'ben
佟文阔,tong'wen'kuo
佟有为,tong'you'wei
同州梆子,tong'zhou'bang'zi
屠夫缘,tu'fu'yuan
豌豆花,wan'dou'hua
玩花主人,wan'hua'zhu'ren
碗碗腔,wan'wan'qiang
万文英,wan'wen'ying
王保钏,wang'bao'chuan
王宝珏,wang'bao'jue
汪宝琦,wang'bao'qi
王葆山,wang'bao'shan
王宝童,wang'bao'tong
王宝珍,wang'bao'zhen
王本林,wang'ben'lin
王伯林,wang'bo'lin
王伯荣,wang'bo'rong
王长林,wang'chang'lin
王长友,wang'chang'you
王常柱,wang'chang'zhu
王成启,wang'cheng'qi
王传林,wang'chuan'lin
王春和,wang'chun'he
王得昌,wang'de'chang
王东林,wang'dong'lin
汪恩禄,wang'en'lu
王凤山,wang'feng'shan
王辅生,wang'fu'sheng
王福田,wang'fu'tian
王辅廷,wang'fu'ting
王海江,wang'hai'jiang
王宏,wang'hong
王洪文,wang'hong'wen
王惠林,wang'hui'lin
王吉祥,wang'ji'xiang
王嘉琪,wang'jia'qi
王金东,wang'jin'dong
王锦文,wang'jin'wen
王九思,wang'jiu'si
王俊,wang'jun
王林,wang'lin
王鸣楼,wang'ming'lou
王鸣禄,wang'ming'lu
王鸣山,wang'ming'shan
王鸣义,wang'ming'yi
王佩元,wang'pei'yuan
王蓬,wang'peng
王平,wang'ping
王启禄,wang'qi'lu
王谦祥,wang'qian'xiang
王庆东,wang'qing'dong
王庆新,wang'qing'xin
王蓉蓉,wang'rong'rong
王少安,wang'shao'an
王少林,wang'shao'lin
王绍猷,wang'shao'you
汪声亚,wang'sheng'ya
王世臣,wang'shi'chen
王世勇,wang'shi'yong
王树田,wang'shu'tian
王枢祥,wang'shu'xiang
王松葵,wang'song'kui
王松声,wang'song'sheng
王文博,wang'wen'bo
王文昌,wang'wen'chang
王文豪,wang'wen'hao
王文厚,wang'wen'hou
王文杰,wang'wen'jie
王文进,wang'wen'jin
王文凯,wang'wen'kai
王闻禄,wang'wen'lu
王文奇,wang'wen'qi
王文喜,wang'wen'xi
王文砚,wang'wen'yan
王文友,wang'wen'you
王文玉,wang'wen'yu
王文元,wang'wen'yuan
王祥林,wang'xiang'lin
王校林,wang'xiao'lin
王小生,wang'xiao'sheng
王笑予,wang'xiao'yu
王信,wang'xin
王学义,wang'xue'yi
王雅福,wang'ya'fu
王雅青,wang'ya'qing
王雅育,wang'ya'yu
王茵,wang'yin
王印权,wang'yin'quan
王英杰,wang'ying'jie
王英俊,wang'ying'jun
王影贤,wang'ying'xian
王有道,wang'you'dao
王元锋,wang'yuan'feng
王泽民,wang'ze'min
王占友,wang'zhan'you
王兆麟,wang'zhao'lin
王正端,wang'zheng'duan
王之甫,wang'zhi'fu
王志民,wang'zhi'min
王志涛,wang'zhi'tao
魏长生,wei'chang'sheng
魏常玉,wei'chang'yu
魏昆治,wei'kun'zhi
魏兰柱,wei'lan'zhu
魏美玉,wei'mei'yu
维纳斯的遗憾,wei'na'si'de'yi'han
魏文华,wei'wen'hua
魏文亮,wei'wen'liang
魏务良,wei'wu'liang
魏幼臣,wei'you'chen
魏元成,wei'yuan'cheng
魏真柏,wei'zhen'bai
魏治,wei'zhi
闻太师显魂,wen'tai'shi'xian'hun
文章会,wen'zhang'hui
文昭关,wen'zhao'guan
我的历史,wo'de'li'shi
我与乘客,wo'yu'cheng'ke
武旦,wu'dan
吴棣,wu'di
五典坡,wu'dian'po
武福星,wu'fu'xing
吴刚伦,wu'gang'lun
五官争谦,wu'guan'zheng'qian
武红霞,wu'hong'xia
吴金富,wu'jin'fu
吴景春,wu'jing'chun
武魁海,wu'kui'hai
武奎海,wu'kui'hai
乌盆记,wu'pen'ji
吴苹,wu'ping
吴庆鸿,wu'qing'hong
吴庆涌,wu'qing'yong
武生,wu'sheng
五十子,wu'shi'zi
武松打虎,wu'song'da'hu
吴伟申,wu'wei'shen
吴文龙,wu'wen'long
五喜儿,wu'xi'er
吴新安,wu'xin'an
吴钰璋,wu'yu'zhang
伍员杀府,wu'yuan'sha'fu
吴云林,wu'yun'lin
吴兆南,wu'zhao'nan
武坠子,wu'zhui'zi
戏剧与方言,xi'ju'yu'fang'yan
戏剧杂谈,xi'ju'za'tan
戏曲杂谈,xi'qu'za'tan
席香远,xi'xiang'yuan
奚啸伯,xi'xiao'bo
熙醒生,xi'xing'sheng
西征梦,xi'zheng'meng
夏福义,xia'fu'yi
下河东,xia'he'dong
夏景华,xia'jing'hua
夏万福,xia'wan'fu
夏文化,xia'wen'hua
夏文升,xia'wen'sheng
夏志恒,xia'zhi'heng
献地图,xian'di'tu
响马传,xiang'ma'chuan
向您道喜,xiang'nin'dao'xi
相声的魅力,xiang'sheng'de'mei'li
相声名段,xiang'sheng'ming'duan
相声名家,xiang'sheng'ming'jia
肖炳,xiao'bing
肖国光,xiao'guo'guang
笑林,xiao'lin
肖若兰,xiao'ruo'lan
小上寿,xiao'shang'shou
肖声虎,xiao'sheng'hu
小铁笛道人,xiao'tie'di'dao'ren
萧巍,xiao'wei
肖玉玲,xiao'yu'ling
谢芮芝,xie'rui'zhi
谢树森,xie'shu'sen
谢天荣,xie'tian'rong
谢天顺,xie'tian'shun
辛宝珊,xin'bao'shan
新编孔乙己,xin'bian'kong'yi'ji
新编女起解,xin'bian'nv'qi'jie
新潮商人,xin'chao'shang'ren
新地理图,xin'di'li'tu
辛克正,xin'ke'zheng
新式马甲,xin'shi'ma'jia
辛松斌,xin'song'bin
新桃花园记,xin'tao'hua'yuan'ji
辛文涛,xin'wen'tao
辛文正,xin'wen'zheng
邢炳涛,xing'bing'tao
邢迪海,xing'di'hai
邢文伯,xing'wen'bo
邢文召,xing'wen'zhao
邢瑛瑛,xing'ying'ying
徐保库,xu'bao'ku
徐宝瑜,xu'bao'yu
徐策跑城,xu'ce'pao'cheng
徐长福,xu'chang'fu
绪得贵,xu'de'gui
徐德奎,xu'de'kui
徐迪建,xu'di'jian
徐景信,xu'jing'xin
徐茂昌,xu'mao'chang
徐派,xu'pai
徐瑞海,xu'rui'hai
徐松林,xu'song'lin
许文跃,xu'wen'yue
许秀林,xu'xiu'lin
徐永刚,xu'yong'gang
徐祖国,xu'zu'guo
学大鼓,xue'da'gu
学方言,xue'fang'yan
学叫唤,xue'jiao'huan
学京剧,xue'jing'ju
学模特,xue'mo'te
薛平贵,xue'ping'gui
学裘派,xue'qiu'pai
学演日本戏,xue'yan'ri'ben'xi
学越剧,xue'yue'ju
薛志秀,xue'zhi'xiu
学坠子,xue'zhui'zi
荀慧生,xun'hui'sheng
训徒,xun'tu
哑女告状,ya'nv'gao'zhuang
阎伯山,yan'bo'shan
阎金城,yan'jin'cheng
言菊朋,yan'ju'peng
燕兰小谱,yan'lan'xiao'pu
言庆洋,yan'qing'yang
言少朋,yan'shao'peng
彦授辰,yan'shou'chen
阎笑儒,yan'xiao'ru
言兴朋,yan'xing'peng
严玉林,yan'yu'lin
阎振俗,yan'zhen'su
杨宝森,yang'bao'sen
杨宝璋,yang'bao'zhang
杨伯英,yang'bo'ying
杨长鸣,yang'chang'ming
杨常州,yang'chang'zhou
杨迪中,yang'di'zhong
杨贵田,yang'gui'tian
杨海荃,yang'hai'quan
杨洪滨,yang'hong'bin
杨进明,yang'jin'ming
杨金声,yang'jin'sheng
杨静亭,yang'jing'ting
杨门女将,yang'men'nv'jiang
杨乃彭,yang'nai'peng
杨宁,yang'ning
阳平关,yang'ping'guan
杨瑞库,yang'rui'ku
杨少华,yang'shao'hua
杨绍奎,yang'shao'kui
杨少彭,yang'shao'peng
杨世龙,yang'shi'long
杨世章,yang'shi'zhang
杨四奇,yang'si'qi
杨松临,yang'song'lin
杨天立,yang'tian'li
杨天茂,yang'tian'mao
杨威,yang'wei
杨文峰,yang'wen'feng
杨闻华,yang'wen'hua
杨文义,yang'wen'yi
杨雅松,yang'ya'song
杨燕毅,yang'yan'yi
杨英彩,yang'ying'cai
杨振华,yang'zhen'hua
杨志刚,yang'zhi'gang
杨志光,yang'zhi'guang
杨稚敏,yang'zhi'min
杨紫阳,yang'zi'yang
杨祖尧,yang'zu'yao
姚翠官,yao'cui'guan
姚旦,yao'dan
姚文虎,yao'wen'hu
姚新光,yao'xin'guang
姚玉明,yao'yu'ming
叶杰平,ye'jie'ping
叶金援,ye'jin'yuan
叶景林,ye'jing'lin
叶立中,ye'li'zhong
叶少臣,ye'shao'chen
叶少兰,ye'shao'lan
叶盛兰,ye'sheng'lan
叶寿亭,ye'shou'ting
叶太珍,ye'tai'zhen
夜逃,ye'tao
叶文杰,ye'wen'jie
夜行记,ye'xing'ji
一个推销员,yi'ge'tui'xiao'yuan
一人多角,yi'ren'duo'jiao
易俗社,yi'su'she
银达子,yin'da'zi
尹凤岐,yin'feng'qi
尹良俗,yin'liang'su
尹派,yin'pai
殷培田,yin'pei'tian
尹寿山,yin'shou'shan
殷文硕,yin'wen'shuo
尹笑声,yin'xiao'sheng
阴阳鉴,yin'yang'jian
殷振江,yin'zhen'jiang
尹卓林,yin'zhuo'lin
影视歌迷,ying'shi'ge'mi
影戏考,ying'xi'kao
游龟山,you'gui'shan
游击小战士,you'ji'xiao'zhan'shi
友谊颂,you'yi'song
于宝林,yu'bao'lin
鱼肠剑,yu'chang'jian
于春明,yu'chun'ming
于春藻,yu'chun'zao
裕德隆,yu'de'long
裕二福,yu'er'fu
鱼儿问答,yu'er'wen'da
于海伦,yu'hai'lun
玉虎坠,yu'hu'zhui
于化民,yu'hua'min
豫剧,yu'ju
于俊波,yu'jun'bo
于克志,yu'ke'zhi
于魁智,yu'kui'zhi
玉来子,yu'lai'zi
于连仲,yu'lian'zhong
于谦,yu'qian
于世德,yu'shi'de
于世猷,yu'shi'you
余叔岩,yu'shu'yan
玉堂春,yu'tang'chun
余文光,yu'wen'guang
于文海,yu'wen'hai
于笑澜,yu'xiao'lan
玉小亭,yu'xiao'ting
于佑福,yu'you'fu
宇宙锋,yu'zhou'feng
宇宙牌香烟,yu'zhou'pai'xiang'yan
元春起,yuan'chun'qi
袁克勤,yuan'ke'qin
辕门斩子,yuan'men'zhan'zi
袁派,yuan'pai
袁佩楼,yuan'pei'lou
袁世海,yuan'shi'hai
袁松麒,yuan'song'qi
贠宗汉,yuan'zong'han
越剧,yue'ju
杂谈地方戏,za'tan'di'fang'xi
杂音博士,za'yin'bo'shi
臧洪,zang'hong
贼说话,zei'shuo'hua
铡美案,zha'mei'an
铡判官,zha'pan'guan
斩白袍,zhan'bai'pao
战北原,zhan'bei'yuan
站唱,zhan'chang
战长沙,zhan'chang'sha
斩单童,zhan'dan'tong
斩黄袍,zhan'huang'pao
斩经堂,zhan'jing'tang
斩李广,zhan'li'guang
斩马谡,zhan'ma'su
斩秦英,zhan'qin'ying
战暑日,zhan'shu'ri
站说,zhan'shuo
战太平,zhan'tai'ping
斩姚期,zhan'yao'qi
张保明,zhang'bao'ming
张宝如,zhang'bao'ru
张宝珍,zhang'bao'zhen
张宝珠,zhang'bao'zhu
张伯华,zhang'bo'hua
张伯俊,zhang'bo'jun
张伯涛,zhang'bo'tao
张伯勋,zhang'bo'xun
张充,zhang'chong
张春华,zhang'chun'hua
张春奎,zhang'chun'kui
张春生,zhang'chun'sheng
张春旺,zhang'chun'wang
张存珠,zhang'cun'zhu
张大礼,zhang'da'li
张德俊,zhang'de'jun
张德起,zhang'de'qi
张德泉,zhang'de'quan
张鼎望,zhang'ding'wang
张东波,zhang'dong'bo
张福祥,zhang'fu'xiang
张广发,zhang'guang'fa
张宏,zhang'hong
张鸿滨,zhang'hong'bin
张洪刚,zhang'hong'gang
张火丁,zhang'huo'ding
张继贤,zhang'ji'xian
张继英,zhang'ji'ying
张嘉利,zhang'jia'li
张建国,zhang'jian'guo
张建忠,zhang'jian'zhong
张杰尧,zhang'jie'yao
张金玉,zhang'jin'yu
张克,zhang'ke
张奎清,zhang'kui'qing
张兰秦,zhang'lan'qin
张立林,zhang'li'lin
张立森,zhang'li'sen
张连卖布,zhang'lian'mai'bu
张鲁,zhang'lu
张茂起,zhang'mao'qi
张梅英,zhang'mei'ying
掌门妖,zhang'men'yao
张明新,zhang'ming'xin
张乃勤,zhang'nai'qin
张佩如,zhang'pei'ru
张千,zhang'qian
张庆济,zhang'qing'ji
张庆森,zhang'qing'sen
张三禄,zhang'san'lu
张善曾,zhang'shan'ceng
张少清,zhang'shao'qing
张绍堂,zhang'shao'tang
张世芳,zhang'shi'fang
张寿臣,zhang'shou'chen
张寿老,zhang'shou'lao
张树茂,zhang'shu'mao
张书新,zhang'shu'xin
张松青,zhang'song'qing
张庭萱,zhang'ting'xuan
张闻斌,zhang'wen'bin
张闻得,zhang'wen'de
张文甫,zhang'wen'fu
张文辉,zhang'wen'hui
张文明,zhang'wen'ming
张文琪,zhang'wen'qi
张文茹,zhang'wen'ru
张文习,zhang'wen'xi
张文霞,zhang'wen'xia
张文学,zhang'wen'xue
张武宏,zhang'wu'hong
张喜林,zhang'xi'lin
张笑非,zhang'xiao'fei
张小亮,zhang'xiao'liang
张笑勤,zhang'xiao'qin
张兴海,zhang'xing'hai
张兴汉,zhang'xing'han
张兴华,zhang'xing'hua
张星武,zhang'xing'wu
张学彦,zhang'xue'yan
张雅成,zhang'ya'cheng
张雅璐,zhang'ya'lu
张雅升,zhang'ya'sheng
张义勤,zhang'yi'qin
张勇敢,zhang'yong'gan
张永久,zhang'yong'jiu
张永熙,zhang'yong'xi
张玉琪,zhang'yu'qi
张玉堂,zhang'yu'tang
张云武,zhang'yun'wu
张振圻,zhang'zhen'qi
张志宽,zhang'zhi'kuan
张志强,zhang'zhi'qiang
赵霭如,zhao'ai'ru
赵保成,zhao'bao'cheng
赵宝贵,zhao'bao'gui
赵保乐,zhao'bao'le
赵葆秀,zhao'bao'xiu
赵辈亭,zhao'bei'ting
赵斌,zhao'bin
赵传璋,zhao'chuan'zhang
赵传真,zhao'chuan'zhen
赵春田,zhao'chun'tian
赵得亮,zhao'de'liang
赵迪兴,zhao'di'xing
赵福玉,zhao'fu'yu
赵广山,zhao'guang'shan
赵恒,zhao'heng
赵津生,zhao'jin'sheng
赵晶,zhao'jing
找舅舅,zhao'jiu'jiu
赵兰亭,zhao'lan'ting
赵立梧,zhao'li'wu
赵连功,zhao'lian'gong
赵连升,zhao'lian'sheng
赵亮,zhao'liang
赵龙军,zhao'long'jun
赵佩茹,zhao'pei'ru
赵荣全,zhao'rong'quan
赵氏孤儿,zhao'shi'gu'er
赵世忠,zhao'shi'zhong
赵寿舫,zhao'shou'fang
找糖,zhao'tang
找堂会,zhao'tang'hui
赵天寿,zhao'tian'shou
赵伟洲,zhao'wei'zhou
赵文浩,zhao'wen'hao
赵文岚,zhao'wen'lan
赵文启,zhao'wen'qi
赵稳增,zhao'wen'zeng
赵小林,zhao'xiao'lin
赵心敏,zhao'xin'min
赵秀君,zhao'xiu'jun
赵炎,zhao'yan
赵幼樵,zhao'you'qiao
赵玉贵,zhao'yu'gui
赵振铎,zhao'zhen'duo
浙百,zhe'bai
折桂斧,zhe'gui'fu
折子戏,zhe'zi'xi
甄靖,zhen'jing
甄奇,zhen'qi
镇潭州,zhen'tan'zhou
郑福山,zheng'fu'shan
郑松涛,zheng'song'tao
郑文昆,zheng'wen'kun
郑文喜,zheng'wen'xi
郑祥泰,zheng'xiang'tai
郑小山,zheng'xiao'shan
郑仲衡,zheng'zhong'heng
值班医生,zhi'ban'yi'sheng
知县见巡抚,zhi'xian'jian'xun'fu
支援新厂,zhi'yuan'xin'chang
重台会,zhong'tai'hui
周德山,zhou'de'shan
周辅国,zhou'fu'guo
周桂林,zhou'gui'lin
周洪儒,zhou'hong'ru
周琪,zhou'qi
周仁回府,zhou'ren'hui'fu
周伟,zhou'wei
周文游,zhou'wen'you
周印金,zhou'yin'jin
周志光,zhou'zhi'guang
逐步升级,zhu'bu'sheng'ji
朱凤山,zhu'feng'shan
祝景荃,zhu'jing'quan
朱君贵,zhu'jun'gui
朱阔泉,zhu'kuo'quan
竺派,zhu'pai
朱琦,zhu'qi
朱庆山,zhu'qing'shan
主曲体,zhu'qu'ti
朱绍文,zhu'shao'wen
朱文先,zhu'wen'xian
朱文正,zhu'wen'zheng
朱相臣,zhu'xiang'chen
朱永福,zhu'yong'fu
朱永义,zhu'yong'yi
朱贞富,zhu'zhen'fu
朱周义,zhu'zhou'yi
庄佩臣,zhuang'pei'chen
装小嘴,zhuang'xiao'zui
状元媒,zhuang'yuan'mei
缀白裘,zhui'bai'qiu
捉放曹,zhuo'fang'cao
紫金簪,zi'jin'zan
邹德江,zou'de'jiang
走雪,zou'xue
祖爷爷的烦恼,zu'ye'ye'de'fan'nao
最差先生,zui'cha'xian'sheng
坐唱,zuo'chang
左春来,zuo'chun'lai
做大褂,zuo'da'gua
坐说,zuo'shuo
