阿基米德巧计,a'ji'mi'de'qiao'ji
高轨道,gao'gui'dao
高合金,gao'he'jin
高架浮桥,gao'jia'fu'qiao
高界,gao'jie
高空,gao'kong
高空爆炸,gao'kong'bao'zha
高空代偿服,gao'kong'dai'chang'fu
高空风速,gao'kong'feng'su
高空风向,gao'kong'feng'xiang
高空屏障,gao'kong'ping'zhang
高空气象观测,gao'kong'qi'xiang'guan'ce
高空气象探测,gao'kong'qi'xiang'tan'ce
高空探测车,gao'kong'tan'ce'che
高空天气图,gao'kong'tian'qi'tu
高空跳伞,gao'kong'tiao'san
高空侦察机,gao'kong'zhen'cha'ji
高苗地,gao'miao'di
高耐用性塑料,gao'nai'yong'xing'su'liao
高能激光器,gao'neng'ji'guang'qi
高能粒子流,gao'neng'li'zi'liu
高能中子,gao'neng'zhong'zi
高炮,gao'pao
高炮部队,gao'pao'bu'dui
高炮分火射击,gao'pao'fen'huo'she'ji
高炮混合编组,gao'pao'hun'he'bian'zu
高炮火力范围,gao'pao'huo'li'fan'wei
高炮火力密度,gao'pao'huo'li'mi'du
高炮机动作战,gao'pao'ji'dong'zuo'zhan
高炮集火射击,gao'pao'ji'huo'she'ji
高炮连,gao'pao'lian
高炮群,gao'pao'qun
高炮射击能力,gao'pao'she'ji'neng'li
高炮射击修正,gao'pao'she'ji'xiu'zheng
高炮设计预案,gao'pao'she'ji'yu'an
高炮射击指挥,gao'pao'she'ji'zhi'hui
高炮射击指示,gao'pao'she'ji'zhi'shi
高炮师,gao'pao'shi
高炮团,gao'pao'tuan
高炮阵地,gao'pao'zhen'di
高炮阵地电话,gao'pao'zhen'di'dian'hua
高配,gao'pei
高频电缆线路,gao'pin'dian'lan'xian'lu
高射,gao'she
高射火器,gao'she'huo'qi
高射机枪,gao'she'ji'qiang
高射界,gao'she'jie
高射界射击,gao'she'jie'she'ji
高射炮,gao'she'pao
高射炮兵,gao'she'pao'bing
高射炮兵群,gao'she'pao'bing'qun
高射炮点射,gao'she'pao'dian'she
高射炮短点射,gao'she'pao'duan'dian'she
高射炮师,gao'she'pao'shi
高射炮团,gao'she'pao'tuan
高射炮长点射,gao'she'pao'zhang'dian'she
高斯投影,gao'si'tou'ying
高速,gao'su
高速钢,gao'su'gang
高速喷射,gao'su'pen'she
高速数据传输,gao'su'shu'ju'chuan'shu
高碳,gao'tan
高性能且,gao'xing'neng'qie
高压弹,gao'ya'dan
高压气浪,gao'ya'qi'lang
高原地战斗,gao'yuan'di'zhan'dou
高原复杂地域,gao'yuan'fu'za'di'yu
高月级驱逐舰,gao'yue'ji'qu'zhu'jian
高桩铁丝网,gao'zhuang'tie'si'wang
个别命令,ge'bie'ming'ling
戈博,ge'bo
戈博大飞霸,ge'bo'da'fei'ba
戈博格斗刀,ge'bo'ge'dou'dao
戈博户外斧,ge'bo'hu'wai'fu
戈博求生刀,ge'bo'qiu'sheng'dao
戈博守护神,ge'bo'shou'hu'shen
戈博战术折刀,ge'bo'zhan'shu'zhe'dao
戈博战术直刀,ge'bo'zhan'shu'zhi'dao
革车千乘,ge'che'qian'sheng
各大队,ge'da'dui
隔而不围,ge'er'bu'wei
各分局,ge'fen'ju
各个击破,ge'ge'ji'po
各个教练,ge'ge'jiao'lian
各国陆军,ge'guo'lu'jun
隔海支援,ge'hai'zhi'yuan
隔火区,ge'huo'qu
各级人民政府,ge'ji'ren'min'zheng'fu
各级指挥员,ge'ji'zhi'hui'yuan
隔绝式,ge'jue'shi
隔绝式防护,ge'jue'shi'fang'hu
隔绝遮障,ge'jue'zhe'zhang
各军种,ge'jun'zhong
隔离戒毒,ge'li'jie'du
割裂,ge'lie
格鲁门公司,ge'lu'men'gong'si
哥伦比亚河,ge'lun'bi'ya'he
革命竞赛,ge'ming'jing'sai
革命军人家属,ge'ming'jun'ren'jia'shu
革命乐观主义,ge'ming'le'guan'zhu'yi
革命烈士,ge'ming'lie'shi
革命烈士家属,ge'ming'lie'shi'jia'shu
革命烈士陵园,ge'ming'lie'shi'ling'yuan
革命英雄主义,ge'ming'ying'xiong'zhu'yi
革命战争,ge'ming'zhan'zheng
个人得失,ge'ren'de'shi
个人防护,ge'ren'fang'hu
个人防护盒,ge'ren'fang'hu'he
个人防护器材,ge'ren'fang'hu'qi'cai
葛藤岔,ge'teng'cha
个体停机坪,ge'ti'ting'ji'ping
歌舞游戏游艺,ge'wu'you'xi'you'yi
各异其说,ge'yi'qi'shuo
隔音器材,ge'yin'qi'cai
各有特点,ge'you'te'dian
各支队,ge'zhi'dui
各种措施,ge'zhong'cuo'shi
各中队,ge'zhong'dui
给水,gei'shui
给水部队,gei'shui'bu'dui
给水点,gei'shui'dian
给水工程团,gei'shui'gong'cheng'tuan
给水器材,gei'shui'qi'cai
给水勤务,gei'shui'qin'wu
给水团,gei'shui'tuan
根本朋之,gen'ben'peng'zhi
根基,gen'ji
跟进掩护,gen'jin'yan'hu
根据地,gen'ju'di
根据使用者,gen'ju'shi'yong'zhe
根据需要守听,gen'ju'xu'yao'shou'ting
跟随转移,gen'sui'zhuan'yi
跟踪测量,gen'zong'ce'liang
跟踪瞄准式,gen'zong'miao'zhun'shi
跟踪设备,gen'zong'she'bei
跟踪射击,gen'zong'she'ji
跟踪显示器,gen'zong'xian'shi'qi
跟踪追击,gen'zong'zhui'ji
更换弹匣,geng'huan'dan'xia
更加低廉,geng'jia'di'lian
更新诸元口令,geng'xin'zhu'yuan'kou'ling
更正口令,geng'zheng'kou'ling
公安部,gong'an'bu
公安部边防局,gong'an'bu'bian'fang'ju
公安部机关,gong'an'bu'ji'guan
公安部警卫局,gong'an'bu'jing'wei'ju
公安部消防局,gong'an'bu'xiao'fang'ju
公安队伍,gong'an'dui'wu
公安工作,gong'an'gong'zuo
公安机关管辖,gong'an'ji'guan'guan'xia
公安军,gong'an'jun
贡比涅,gong'bi'nie
工兵,gong'bing
工兵部队,gong'bing'bu'dui
工兵分队,gong'bing'fen'dui
工兵教导大队,gong'bing'jiao'dao'da'dui
工兵局,gong'bing'ju
工兵连,gong'bing'lian
工兵锹,gong'bing'qiao
工兵司令部,gong'bing'si'ling'bu
工兵学校,gong'bing'xue'xiao
工兵营,gong'bing'ying
共产党员,gong'chan'dang'yuan
工厂生产,gong'chang'sheng'chan
工程保障,gong'cheng'bao'zhang
工程保障计划,gong'cheng'bao'zhang'ji'hua
工程保障指示,gong'cheng'bao'zhang'zhi'shi
工程兵,gong'cheng'bing
工程兵部,gong'cheng'bing'bu
工程兵陈列馆,gong'cheng'bing'chen'lie'guan
工程兵局,gong'cheng'bing'ju
工程兵司令部,gong'cheng'bing'si'ling'bu
工程兵现代化,gong'cheng'bing'xian'dai'hua
工程兵预备队,gong'cheng'bing'yu'bei'dui
工程兵战斗力,gong'cheng'bing'zhan'dou'li
工程兵战术,gong'cheng'bing'zhan'shu
工程兵战术学,gong'cheng'bing'zhan'shu'xue
工程船,gong'cheng'chuan
工程措施,gong'cheng'cuo'shi
攻城打援,gong'cheng'da'yuan
工程构筑,gong'cheng'gou'zhu
工程观察哨,gong'cheng'guan'cha'shao
工程机具,gong'cheng'ji'ju
工程机械,gong'cheng'ji'xie
工程机械管理,gong'cheng'ji'xie'guan'li
工程机械载运,gong'cheng'ji'xie'zai'yun
工程决心,gong'cheng'jue'xin
工程勘察,gong'cheng'kan'cha
工程量,gong'cheng'liang
工程器材,gong'cheng'qi'cai
工程设施,gong'cheng'she'shi
工程维护部队,gong'cheng'wei'hu'bu'dui
工程维护总队,gong'cheng'wei'hu'zong'dui
工程伪装,gong'cheng'wei'zhuang
工程形象进度,gong'cheng'xing'xiang'jin'du
攻城则力屈,gong'cheng'ze'li'qu
攻城战役,gong'cheng'zhan'yi
工程障碍物,gong'cheng'zhang'ai'wu
工程侦察,gong'cheng'zhen'cha
工程侦察车,gong'cheng'zhen'cha'che
工程侦察群,gong'cheng'zhen'cha'qun
工程侦察组,gong'cheng'zhen'cha'zu
攻城之法,gong'cheng'zhi'fa
工程装备,gong'cheng'zhuang'bei
工程装备管理,gong'cheng'zhuang'bei'guan'li
工程作业,gong'cheng'zuo'ye
攻敌必救,gong'di'bi'jiu
工改兵,gong'gai'bing
公共交通工具,gong'gong'jiao'tong'gong'ju
巩固部队,gong'gu'bu'dui
巩固突破口,gong'gu'tu'po'kou
巩固阵地,gong'gu'zhen'di
公海,gong'hai
公函,gong'han
攻击波,gong'ji'bo
攻击出发阵位,gong'ji'chu'fa'zhen'wei
攻击前进,gong'ji'qian'jin
攻击区,gong'ji'qu
攻击声纳,gong'ji'sheng'na
攻击型潜艇,gong'ji'xing'qian'ting
公家之费,gong'jia'zhi'fei
攻歼,gong'jian
攻坚爆破,gong'jian'bao'po
攻坚爆破器材,gong'jian'bao'po'qi'cai
攻坚器材,gong'jian'qi'cai
攻坚战,gong'jian'zhan
工匠,gong'jiang
公爵级护卫舰,gong'jue'ji'hu'wei'jian
公开动员,gong'kai'dong'yuan
公开公正,gong'kai'gong'zheng
公开竞争,gong'kai'jing'zheng
公里每小时,gong'li'mei'xiao'shi
公里网,gong'li'wang
公路便桥,gong'lu'bian'qiao
公路渡口,gong'lu'du'kou
公路养护,gong'lu'yang'hu
公路运输,gong'lu'yun'shu
攻其不备,gong'qi'bu'bei
攻其无备,gong'qi'wu'bei
攻其中坚,gong'qi'zhong'jian
攻潜,gong'qian
共青团员,gong'qing'tuan'yuan
工事,gong'shi
弓矢,gong'shi
攻势,gong'shi
工事防护等级,gong'shi'fang'hu'deng'ji
工事防化设施,gong'shi'fang'hua'she'shi
工事构件,gong'shi'gou'jian
工事构筑,gong'shi'gou'zhu
工事抗力,gong'shi'kang'li
工事抗力等级,gong'shi'kang'li'deng'ji
工事配置要图,gong'shi'pei'zhi'yao'tu
攻势水雷,gong'shi'shui'lei
供水,gong'shui
供水标准,gong'shui'biao'zhun
供水勤务班,gong'shui'qin'wu'ban
公算偏差,gong'suan'pian'cha
宫天梳,gong'tian'shu
共同科目,gong'tong'ke'mu
共同科目训练,gong'tong'ke'mu'xun'lian
共同条令,gong'tong'tiao'ling
共同研制,gong'tong'yan'zhi
共同研制一种,gong'tong'yan'zhi'yi'zhong
工校,gong'xiao
供血站,gong'xue'zhan
供氧,gong'yang
供氧设备,gong'yang'she'bei
工业电器干扰,gong'ye'dian'qi'gan'rao
供应标准,gong'ying'biao'zhun
供应关系,gong'ying'guan'xi
供应环节,gong'ying'huan'jie
供应实力,gong'ying'shi'li
供应体制,gong'ying'ti'zhi
公用设施,gong'yong'she'shi
攻则有余,gong'ze'you'yu
工作队,gong'zuo'dui
工作对象,gong'zuo'dui'xiang
工作冠军,gong'zuo'guan'jun
工作频率,gong'zuo'pin'lv
工作深度,gong'zuo'shen'du
工作数据,gong'zuo'shu'ju
工作图,gong'zuo'tu
钩镐,gou'gao
沟井坎穴,gou'jing'kan'xue
购买机器,gou'mai'ji'qi
沟通,gou'tong
构筑工事,gou'zhu'gong'shi
构筑管井,gou'zhu'guan'jing
构筑给水站,gou'zhu'ji'shui'zhan
构筑障碍物,gou'zhu'zhang'ai'wu
故兵贵胜,gu'bing'gui'sheng
古代兵器,gu'dai'bing'qi
古代兵器矛,gu'dai'bing'qi'mao
古代兵器之一,gu'dai'bing'qi'zhi'yi
孤胆作战,gu'dan'zuo'zhan
谷地,gu'di
固定发射,gu'ding'fa'she
固定浮桥,gu'ding'fu'qiao
固定机翼,gu'ding'ji'yi
固定码头,gu'ding'ma'tou
固定瞄准镜座,gu'ding'miao'zhun'jing'zuo
固定目标,gu'ding'mu'biao
固定目标执勤,gu'ding'mu'biao'zhi'qin
固定器,gu'ding'qi
固定桥脚,gu'ding'qiao'jiao
固定桥脚桥,gu'ding'qiao'jiao'qiao
固定式,gu'ding'shi
固定输油管线,gu'ding'shu'you'guan'xian
固定掩护,gu'ding'yan'hu
固定翼飞机,gu'ding'yi'fei'ji
固定贮罐,gu'ding'zhu'guan
固定装备,gu'ding'zhuang'bei
故经之以五事,gu'jing'zhi'yi'wu'shi
孤军深入,gu'jun'shen'ru
故军食可足也,gu'jun'shi'ke'zu'ye
古柯植物,gu'ke'zhi'wu
古罗马执政官,gu'luo'ma'zhi'zheng'guan
故矛有,gu'mao'you
故其战胜不忒,gu'qi'zhan'sheng'bu'tei
故杀敌者,gu'sha'di'zhe
故善用兵者,gu'shan'yong'bing'zhe
故善战者,gu'shan'zhan'zhe
故上兵伐谋,gu'shang'bing'fa'mou
固体导弹,gu'ti'dao'dan
固体推进剂,gu'ti'tui'jin'ji
古田会议,gu'tian'hui'yi
古田会议决议,gu'tian'hui'yi'jue'yi
故武吃氏,gu'wu'chi'shi
故小敌之坚,gu'xiao'di'zhi'jian
故校之以计,gu'xiao'zhi'yi'ji
固液,gu'ye
固液推进剂,gu'ye'tui'jin'ji
故用兵之法,gu'yong'bing'zhi'fa
谷战,gu'zhan
故障分析,gu'zhang'fen'xi
故知兵之将,gu'zhi'bing'zhi'jiang
故知胜有五,gu'zhi'sheng'you'wu
挂弹,gua'dan
挂雷,gua'lei
挂载,gua'zai
寡战,gua'zhan
拐枪,guai'qiang
拐突枪,guai'tu'qiang
关隘,guan'ai
关闭发动机,guan'bi'fa'dong'ji
官兵互教,guan'bing'hu'jiao
官兵一致,guan'bing'yi'zhi
观察地段,guan'cha'di'duan
观察地境,guan'cha'di'jing
观察工事,guan'cha'gong'shi
观察界,guan'cha'jie
观察镜,guan'cha'jing
观察配系,guan'cha'pei'xi
观察配系图,guan'cha'pei'xi'tu
观察配系要图,guan'cha'pei'xi'yao'tu
观察器材,guan'cha'qi'cai
观察勤务,guan'cha'qin'wu
观察任务,guan'cha'ren'wu
观察哨,guan'cha'shao
观察设备,guan'cha'she'bei
观察死角,guan'cha'si'jiao
观察所,guan'cha'suo
观察所侦察,guan'cha'suo'zhen'cha
观察通信站,guan'cha'tong'xin'zhan
观察要图,guan'cha'yao'tu
观察员,guan'cha'yuan
观察炸点,guan'cha'zha'dian
贯穿力,guan'chuan'li
管道电缆线路,guan'dao'dian'lan'xian'lu
关东军,guan'dong'jun
官渡之战,guan'du'zhi'zhan
关防,guan'fang
关兼常,guan'jian'chang
关兼常石斑鱼,guan'jian'chang'shi'ban'yu
关键词,guan'jian'ci
官教兵,guan'jiao'bing
观看比赛,guan'kan'bi'sai
观瞄系统,guan'miao'xi'tong
观摩教学,guan'mo'jiao'xue
观炮通信,guan'pao'tong'xin
关塔那摩,guan'ta'na'mo
关塔那摩基地,guan'ta'na'mo'ji'di
关塔那摩监狱,guan'ta'na'mo'jian'yu
关天培,guan'tian'pei
观通分队,guan'tong'fen'dui
观通站,guan'tong'zhan
管线部队,guan'xian'bu'dui
管线加油,guan'xian'jia'you
惯性导航,guan'xing'dao'hang
惯性加雷达,guan'xing'jia'lei'da
惯性引信,guan'xing'yin'xin
惯性制导,guan'xing'zhi'dao
官员说,guan'yuan'shuo
罐装油料,guan'zhuang'you'liao
光冲量,guang'chong'liang
光导纤维,guang'dao'xian'wei
光电测距仪,guang'dian'ce'ju'yi
光电对抗,guang'dian'dui'kang
光电效应器,guang'dian'xiao'ying'qi
广泛游击,guang'fan'you'ji
光辐射,guang'fu'she
光辐射烧伤,guang'fu'she'shao'shang
光面爆破,guang'mian'bao'po
光气,guang'qi
光荣级巡洋舰,guang'rong'ji'xun'yang'jian
光色信号,guang'se'xin'hao
广狭,guang'xia
光纤,guang'xian
光线法,guang'xian'fa
光纤通信,guang'xian'tong'xin
光学暴露征候,guang'xue'bao'lu'zheng'hou
光学干扰,guang'xue'gan'rao
光学干扰装置,guang'xue'gan'rao'zhuang'zhi
光学跟踪,guang'xue'gen'zong
光学迷彩涂料,guang'xue'mi'cai'tu'liao
光学瞄具,guang'xue'miao'ju
光学瞄准镜,guang'xue'miao'zhun'jing
光学瞄准具,guang'xue'miao'zhun'ju
光学瞄准装置,guang'xue'miao'zhun'zhuang'zhi
光学侦察,guang'xue'zhen'cha
光学侦察器材,guang'xue'zhen'cha'qi'cai
光学侦察伪装,guang'xue'zhen'cha'wei'zhuang
广州军区,guang'zhou'jun'qu
广州起义,guang'zhou'qi'yi
规避,gui'bi
轨道半轴长,gui'dao'ban'zhou'chang
轨道参数,gui'dao'can'shu
轨道机动,gui'dao'ji'dong
轨道交会,gui'dao'jiao'hui
轨道空间站,gui'dao'kong'jian'zhan
轨道偏心率,gui'dao'pian'xin'lv
轨道倾角,gui'dao'qing'jiao
轨道武器,gui'dao'wu'qi
诡道也,gui'dao'ye
轨道制动点,gui'dao'zhi'dong'dian
轨道周期,gui'dao'zhou'qi
规定任务,gui'ding'ren'wu
归队,gui'dui
规范和保障,gui'fan'he'bao'zhang
归建,gui'jian
桂陵之战,gui'ling'zhi'zhan
轨条砦,gui'tiao'zhai
贵於静也,gui'yu'jing'ye
归战,gui'zhan
轨枕根数,gui'zhen'gen'shu
跪姿,gui'zi
滚进,gun'jin
滚轮,gun'lun
滚筒,gun'tong
滚筒路面,gun'tong'lu'mian
滚筒码头,gun'tong'ma'tou
滚压式,gun'ya'shi
过渡轨道,guo'du'gui'dao
国防部,guo'fang'bu
国防大学,guo'fang'da'xue
国防工程施工,guo'fang'gong'cheng'shi'gong
国防公路,guo'fang'gong'lu
国防工事,guo'fang'gong'shi
国防供水勘探,guo'fang'gong'shui'kan'tan
国防工业,guo'fang'gong'ye
国防建设,guo'fang'jian'she
国防科工委,guo'fang'ke'gong'wei
国防科学技术,guo'fang'ke'xue'ji'shu
国防力量,guo'fang'li'liang
国防现代化,guo'fang'xian'dai'hua
国防要地进攻,guo'fang'yao'di'jin'gong
国防预算,guo'fang'yu'suan
国防政策,guo'fang'zheng'ce
国际信号,guo'ji'xin'hao
国际主义,guo'ji'zhu'yi
国家规定管制,guo'jia'gui'ding'guan'zhi
国家军事机密,guo'jia'jun'shi'ji'mi
国家考试,guo'jia'kao'shi
国界标志,guo'jie'biao'zhi
国界线,guo'jie'xian
国军队,guo'jun'dui
过滤式,guo'lv'shi
过滤通风装置,guo'lv'tong'feng'zhuang'zhi
过滤吸收器,guo'lv'xi'shou'qi
国民党,guo'min'dang
国民党海军,guo'min'dang'hai'jun
国民党军队,guo'min'dang'jun'dui
国民经济动员,guo'min'jing'ji'dong'yuan
国内战争,guo'nei'zhan'zheng
过去,guo'qu
过水路面,guo'shui'lu'mian
国土防空,guo'tu'fang'kong
国土防空军,guo'tu'fang'kong'jun
国尉,guo'wei
国之大事,guo'zhi'da'shi
国之辅也,guo'zhi'fu'ye
哈军工,ha'jun'gong
哈奇开斯,ha'qi'kai'si
海岸防空,hai'an'fang'kong
海岸防御,hai'an'fang'yu
海岸防御战斗,hai'an'fang'yu'zhan'dou
海岸警备队,hai'an'jing'bei'dui
海岸炮,hai'an'pao
海岸炮兵,hai'an'pao'bing
海岸声纳站,hai'an'sheng'na'zhan
海岸线,hai'an'xian
海岸训练,hai'an'xun'lian
海岸巡逻,hai'an'xun'luo
海拔影响因素,hai'ba'ying'xiang'yin'su
海豹格斗刀,hai'bao'ge'dou'dao
海道测量,hai'dao'ce'liang
海底地貌,hai'di'di'mao
海底电缆,hai'di'dian'lan
海底电缆线路,hai'di'dian'lan'xian'lu
海防,hai'fang
海防寒服,hai'fang'han'fu
海防前哨,hai'fang'qian'shao
海防侦察,hai'fang'zhen'cha
海港,hai'gang
海港训练,hai'gang'xun'lian
海国图志,hai'guo'tu'zhi
氦核流,hai'he'liu
海疆,hai'jiang
还将比,hai'jiang'bi
海警,hai'jing
海军,hai'jun
海军岸防兵,hai'jun'an'fang'bing
海军兵力,hai'jun'bing'li
海军大校,hai'jun'da'xiao
海军帆缆,hai'jun'fan'lan
海军帆缆勤务,hai'jun'fan'lan'qin'wu
海军港湾,hai'jun'gang'wan
海军港湾勤务,hai'jun'gang'wan'qin'wu
海军航空兵,hai'jun'hang'kong'bing
海军轰炸机,hai'jun'hong'zha'ji
海军基地,hai'jun'ji'di
海军基地防御,hai'jun'ji'di'fang'yu
海军舰艇,hai'jun'jian'ting
海军进攻作战,hai'jun'jin'gong'zuo'zhan
海军军徽,hai'jun'jun'hui
海军军事医学,hai'jun'jun'shi'yi'xue
海军陆战队,hai'jun'lu'zhan'dui
海军陆战队和,hai'jun'lu'zhan'dui'he
海军陆战队员,hai'jun'lu'zhan'dui'yuan
海军炮,hai'jun'pao
海军旗,hai'jun'qi
海军强击机,hai'jun'qiang'ji'ji
海军上将,hai'jun'shang'jiang
海军上尉,hai'jun'shang'wei
海军上校,hai'jun'shang'xiao
海军少将,hai'jun'shao'jiang
海军少尉,hai'jun'shao'wei
海军少校,hai'jun'shao'xiao
海军武器舰船,hai'jun'wu'qi'jian'chuan
海军武器装备,hai'jun'wu'qi'zhuang'bei
海军五项,hai'jun'wu'xiang
海军信号通信,hai'jun'xin'hao'tong'xin
海军学员,hai'jun'xue'yuan
海军医学,hai'jun'yi'xue
海军元帅,hai'jun'yuan'shuai
海军战斗保障,hai'jun'zhan'dou'bao'zhang
海军战略,hai'jun'zhan'lue
海军战术,hai'jun'zhan'shu
海军战役,hai'jun'zhan'yi
海军中将,hai'jun'zhong'jiang
海军中尉,hai'jun'zhong'wei
海军中校,hai'jun'zhong'xiao
海军诸兵种,hai'jun'zhu'bing'zhong
还可发射,hai'ke'fa'she
海空协同通信,hai'kong'xie'tong'tong'xin
海里,hai'li
还没有透露,hai'mei'you'tou'lu
海区,hai'qu
海区水文条件,hai'qu'shui'wen'tiao'jian
海区资料,hai'qu'zi'liao
海区总图,hai'qu'zong'tu
海上保障队,hai'shang'bao'zhang'dui
海上编队,hai'shang'bian'dui
海上补给,hai'shang'bu'gei
海上待机点,hai'shang'dai'ji'dian
海上反封锁,hai'shang'fan'feng'suo
海上封锁,hai'shang'feng'suo
海上航行,hai'shang'hang'xing
海上会合点,hai'shang'hui'he'dian
海上会合区,hai'shang'hui'he'qu
海上活动目标,hai'shang'huo'dong'mu'biao
海上加油,hai'shang'jia'you
海上交通线,hai'shang'jiao'tong'xian
海上进攻战,hai'shang'jin'gong'zhan
海上警戒,hai'shang'jing'jie
海上救护,hai'shang'jiu'hu
海上救生,hai'shang'jiu'sheng
海上空域,hai'shang'kong'yu
海上目标,hai'shang'mu'biao
海上破袭战,hai'shang'po'xi'zhan
海上起渡点,hai'shang'qi'du'dian
海上输送,hai'shang'shu'song
海上跳伞,hai'shang'tiao'san
海上突击,hai'shang'tu'ji
海上拖靶,hai'shang'tuo'ba
海上拖曳飞行,hai'shang'tuo'ye'fei'xing
海上袭击战,hai'shang'xi'ji'zhan
海上训练,hai'shang'xun'lian
海上巡逻,hai'shang'xun'luo
海上巡逻机,hai'shang'xun'luo'ji
海上掩护队,hai'shang'yan'hu'dui
海上运输线,hai'shang'yun'shu'xian
海上遭遇战,hai'shang'zao'yu'zhan
海上战斗指挥,hai'shang'zhan'dou'zhi'hui
海上战役,hai'shang'zhan'yi
海上侦察,hai'shang'zhen'cha
海上指挥部,hai'shang'zhi'hui'bu
海上指挥所,hai'shang'zhi'hui'suo
海上走廊,hai'shang'zou'lang
海水淡化,hai'shui'dan'hua
海水发光,hai'shui'fa'guang
海水密度,hai'shui'mi'du
海水透明度,hai'shui'tou'ming'du
海水脱盐,hai'shui'tuo'yan
海水盐度,hai'shui'yan'du
海图,hai'tu
还未脱离,hai'wei'tuo'li
海洋测量,hai'yang'ce'liang
海洋地势图,hai'yang'di'shi'tu
海洋地形图,hai'yang'di'xing'tu
海洋调查船,hai'yang'diao'cha'chuan
海洋号,hai'yang'hao
海洋监视卫星,hai'yang'jian'shi'wei'xing
海洋水文,hai'yang'shui'wen
海洋伪装,hai'yang'wei'zhuang
海鹞,hai'yao
还要接替,hai'yao'jie'ti
海鹰号,hai'ying'hao
还有崩,hai'you'beng
害战,hai'zhan
海战,hai'zhan
海战战术,hai'zhan'zhan'shu
寒潮前锋,han'chao'qian'feng
涵洞,han'dong
含光,han'guang
汉人八旗,han'ren'ba'qi
函授作业,han'shou'zuo'ye
寒星点点,han'xing'dian'dian
航标,hang'biao
航材,hang'cai
航测,hang'ce
航程,hang'cheng
航次,hang'ci
航道,hang'dao
航渡,hang'du
航渡指挥所,hang'du'zhi'hui'suo
航海,hang'hai
航海保障,hang'hai'bao'zhang
航海部门,hang'hai'bu'men
航海计划,hang'hai'ji'hua
航海日志,hang'hai'ri'zhi
航海医学,hang'hai'yi'xue
航迹,hang'ji
航空爆破弹,hang'kong'bao'po'dan
航空标志弹,hang'kong'biao'zhi'dan
航空兵,hang'kong'bing
航空兵师,hang'kong'bing'shi
航空兵团,hang'kong'bing'tuan
航空布雷,hang'kong'bu'lei
航空穿甲弹,hang'kong'chuan'jia'dan
航空地理要素,hang'kong'di'li'yao'su
航空低阻弹,hang'kong'di'zu'dan
航空电台,hang'kong'dian'tai
航空反潜,hang'kong'fan'qian
航空反潜鱼雷,hang'kong'fan'qian'yu'lei
航空反坦克弹,hang'kong'fan'tan'ke'dan
航空附油,hang'kong'fu'you
航空攻潜,hang'kong'gong'qian
航空火箭,hang'kong'huo'jian
航空火力支援,hang'kong'huo'li'zhi'yuan
航空火力准备,hang'kong'huo'li'zhun'bei
航空机关炮,hang'kong'ji'guan'pao
航空机枪,hang'kong'ji'qiang
航空减速弹,hang'kong'jian'su'dan
航空救生设备,hang'kong'jiu'sheng'she'bei
航空军械,hang'kong'jun'xie
航空煤油,hang'kong'mei'you
航空母舰,hang'kong'mu'jian
航空器,hang'kong'qi
航空器材,hang'kong'qi'cai
航空汽油,hang'kong'qi'you
航空情况通信,hang'kong'qing'kuang'tong'xin
航空燃烧弹,hang'kong'ran'shao'dan
航空润滑油,hang'kong'run'hua'you
航空润滑脂,hang'kong'run'hua'zhi
航空扫雷,hang'kong'sao'lei
航空杀伤弹,hang'kong'sha'shang'dan
航空摄影,hang'kong'she'ying
航空摄影测量,hang'kong'she'ying'ce'liang
航空深弹,hang'kong'shen'dan
航空深水炸弹,hang'kong'shen'shui'zha'dan
航空声纳,hang'kong'sheng'na
航空声纳浮标,hang'kong'sheng'na'fu'biao
航空水雷,hang'kong'shui'lei
航空搜潜,hang'kong'sou'qian
航空搜潜设备,hang'kong'sou'qian'she'bei
航空特种液,hang'kong'te'zhong'ye
航空图,hang'kong'tu
航空卫生,hang'kong'wei'sheng
航空烟幕弹,hang'kong'yan'mu'dan
航空遥感,hang'kong'yao'gan
航空遥感任务,hang'kong'yao'gan'ren'wu
航空要素,hang'kong'yao'su
航空医学,hang'kong'yi'xue
航空油料,hang'kong'you'liao
航空鱼雷,hang'kong'yu'lei
航空运输,hang'kong'yun'shu
航空炸弹,hang'kong'zha'dan
航空炸弹圆径,hang'kong'zha'dan'yuan'jing
航空照明弹,hang'kong'zhao'ming'dan
航空照相,hang'kong'zhao'xiang
航空照相弹,hang'kong'zhao'xiang'dan
航空侦察,hang'kong'zhen'cha
航空主油,hang'kong'zhu'you
航空子母弹,hang'kong'zi'mu'dan
航路,hang'lu
航路导航,hang'lu'dao'hang
航路导航点,hang'lu'dao'hang'dian
航路捷径,hang'lu'jie'jing
航路中心线,hang'lu'zhong'xin'xian
航母,hang'mu
航拍,hang'pai
航炮,hang'pao
航区,hang'qu
航速,hang'su
航天,hang'tian
航天飞机,hang'tian'fei'ji
航天器,hang'tian'qi
航天摄影,hang'tian'she'ying
航天摄影测量,hang'tian'she'ying'ce'liang
航天医学,hang'tian'yi'xue
航天侦察,hang'tian'zhen'cha
航图,hang'tu
航线,hang'xian
航线天气预报,hang'xian'tian'qi'yu'bao
航向,hang'xiang
航向机枪,hang'xiang'ji'qiang
航向天线,hang'xiang'tian'xian
航向正北,hang'xiang'zheng'bei
航校,hang'xiao
航行,hang'xing
航行队形,hang'xing'dui'xing
航行管制,hang'xing'guan'zhi
航行加油,hang'xing'jia'you
航行警戒,hang'xing'jing'jie
