阿拉伯语基础语法,a'la'bo'yu'ji'chu'yu'fa
庄严,zhuang'yan
自律委员会,zi'lv'wei'yuan'hui
紫薇堂,zi'wei'tang
综合德语,zong'he'de'yu
综合法语,zong'he'fa'yu
综合技能大赛,zong'he'ji'neng'da'sai
综合课,zong'he'ke
综合楼,zong'he'lou
综合楼办公区,zong'he'lou'ban'gong'qu
综合日语,zong'he'ri'yu
综合英语,zong'he'ying'yu
邹小勤,zou'xiao'qin
组织行为学,zu'zhi'xing'wei'xue
左丽农,zuo'li'nong
左媚柳,zuo'mei'liu
