爱国楼,ai'guo'lou
群石村,qun'shi'cun
群石小学,qun'shi'xiao'xue
群英南路,qun'ying'nan'lu
群英中路,qun'ying'zhong'lu
染厝,ran'cuo
人才大厦,ren'cai'da'sha
人民保险,ren'min'bao'xian
榕桥,rong'qiao
榕桥三堡,rong'qiao'san'bao
榕桥站,rong'qiao'zhan
榕桥中学北站,rong'qiao'zhong'xue'bei'zhan
榕桥中学南站,rong'qiao'zhong'xue'nan'zhan
榕桥中学站,rong'qiao'zhong'xue'zhan
荣溪宫,rong'xi'gong
荣誉,rong'yu
荣誉大酒店,rong'yu'da'jiu'dian
瑞士花园,rui'shi'hua'yuan
瑞像岩,rui'xiang'yan
赛特医院,sai'te'yi'yuan
三堡小学站,san'bao'xiao'xue'zhan
三光天,san'guang'tian
三合村,san'he'cun
三千坛,san'qian'tan
三吴,san'wu
三兴集团,san'xing'ji'tuan
三中,san'zhong
桑林站,sang'lin'zhan
森利发,sen'li'fa
森林公园,sen'lin'gong'yuan
森隆电讯,sen'long'dian'xun
森美,sen'mei
沙美,sha'mei
沙塘,sha'tang
沙塘路口,sha'tang'lu'kou
山边,shan'bian
山兜,shan'dou
山美,shan'mei
山仔路口,shan'zai'lu'kou
上埕路口,shang'cheng'lu'kou
上村路口,shang'cun'lu'kou
上村路口站,shang'cun'lu'kou'zhan
上埭洪窟,shang'dai'hong'ku
上郭,shang'guo
上郭路口,shang'guo'lu'kou
商贸学校,shang'mao'xue'xiao
商贸学院,shang'mao'xue'yuan
上下村,shang'xia'cun
烧厝,shao'cuo
少体校,shao'ti'xiao
社店食品市场,she'dian'shi'pin'shi'chang
深埕,shen'cheng
审计,shen'ji
盛达花园,sheng'da'hua'yuan
圣福花苑,sheng'fu'hua'yuan
省经贸学校,sheng'jing'mao'xue'xiao
圣墓,sheng'mu
省五建,sheng'wu'jian
市标,shi'biao
狮标,shi'biao
石船,shi'chuan
仕春村,shi'chun'cun
时代广场,shi'dai'guang'chang
仕公岭,shi'gong'ling
市国税局,shi'guo'shui'ju
石蚶路,shi'han'lu
石湖码头,shi'hu'ma'tou
世纪大道,shi'ji'da'dao
世纪公园,shi'ji'gong'yuan
世纪豪园,shi'ji'hao'yuan
市教委,shi'jiao'wei
石锦大道溪前路口,shi'jin'da'dao'xi'qian'lu'kou
仕林坑,shi'lin'keng
石灵路,shi'ling'lu
市人民警察训练学校,shi'ren'min'jing'cha'xun'lian'xue'xiao
石狮,shi'shi
石狮服装城,shi'shi'fu'zhuang'cheng
石狮服装城北区,shi'shi'fu'zhuang'cheng'bei'qu
石狮服装城客运站,shi'shi'fu'zhuang'cheng'ke'yun'zhan
石狮服装城南区,shi'shi'fu'zhuang'cheng'nan'qu
石狮交警大队,shi'shi'jiao'jing'da'dui
石狮日报社,shi'shi'ri'bao'she
石狮医院,shi'shi'yi'yuan
仕头,shi'tou
市委党校,shi'wei'dang'xiao
市委党校站,shi'wei'dang'xiao'zhan
市行政服务中心,shi'xing'zheng'fu'wu'zhong'xin
实验中学,shi'yan'zhong'xue
市医院,shi'yi'yuan
市医院站,shi'yi'yuan'zhan
市医站院,shi'yi'zhan'yuan
石永路,shi'yong'lu
师院新校区,shi'yuan'xin'xiao'qu
室仔前,shi'zai'qian
市政府,shi'zheng'fu
市直宿舍,shi'zhi'su'she
市中医院,shi'zhong'yi'yuan
首富商城,shou'fu'shang'cheng
蔬菜公司,shu'cai'gong'si
双沟村委会,shuang'gou'cun'wei'hui
双沟环岛,shuang'gou'huan'dao
双沟旧货市场,shuang'gou'jiu'huo'shi'chang
双沟居委会,shuang'gou'ju'wei'hui
双沟桥头,shuang'gou'qiao'tou
双溪口,shuang'xi'kou
双阳工业区路口,shuang'yang'gong'ye'qu'lu'kou
双阳镇,shuang'yang'zhen
双阳镇政府,shuang'yang'zhen'zheng'fu
双阳中学,shuang'yang'zhong'xue
水漷村口,shui'huo'cun'kou
水利大厦,shui'li'da'sha
水流坑,shui'liu'keng
水门巷口,shui'men'xiang'kou
水闸,shui'zha
顺济新桥,shun'ji'xin'qiao
四黄,si'huang
四甲村,si'jia'cun
送客亭,song'ke'ting
宋塘路,song'tang'lu
松苑,song'yuan
苏垵路口,su'an'lu'kou
苏厝,su'cuo
苏夫人姑庙,su'fu'ren'gu'miao
苏坑,su'keng
苏塘,su'tang
笋浯,sun'wu
塔山,ta'shan
塔山部队,ta'shan'bu'dui
塔石,ta'shi
泰和兴业,tai'he'xing'ye
台联塑料,tai'lian'su'liao
台联塑料站,tai'lian'su'liao'zhan
台商服务中心,tai'shang'fu'wu'zhong'xin
塘岸街,tang'an'jie
塘边,tang'bian
糖厂,tang'chang
唐厝,tang'cuo
糖房,tang'fang
糖房中路,tang'fang'zhong'lu
堂头,tang'tou
塘头,tang'tou
塘尾埔,tang'wei'pu
塘西,tang'xi
塘西工业园,tang'xi'gong'ye'yuan
塘园村委会,tang'yuan'cun'wei'hui
塘圆村委会,tang'yuan'cun'wei'hui
特步集团,te'bu'ji'tuan
特殊教育学校,te'shu'jiao'yu'xue'xiao
体校站,ti'xiao'zhan
体育公园,ti'yu'gong'yuan
体育馆,ti'yu'guan
体育馆东,ti'yu'guan'dong
体育馆东站,ti'yu'guan'dong'zhan
体育馆西,ti'yu'guan'xi
体育馆西站,ti'yu'guan'xi'zhan
体育馆站,ti'yu'guan'zhan
体育街北段,ti'yu'jie'bei'duan
体育街东段,ti'yu'jie'dong'duan
体育街南段,ti'yu'jie'nan'duan
体育街西段,ti'yu'jie'xi'duan
体育中心,ti'yu'zhong'xin
田板站,tian'ban'zhan
田边,tian'bian
田边村口,tian'bian'cun'kou
天都,tian'du
天都酒店,tian'du'jiu'dian
天后宫,tian'hou'gong
天后路北段,tian'hou'lu'bei'duan
天湖路口,tian'hu'lu'kou
田洋,tian'yang
田洋村,tian'yang'cun
田中,tian'zhong
铁路桥下站,tie'lu'qiao'xia'zhan
亭林村,ting'lin'cun
同兴街,tong'xing'jie
土地后,tu'di'hou
外国语中学,wai'guo'yu'zhong'xue
万吨自来水厂,wan'dun'zi'lai'shui'chang
万虹路口,wan'hong'lu'kou
万鸿医院,wan'hong'yi'yuan
万岁脚,wan'sui'jiao
万通,wan'tong
万祥汽车站,wan'xiang'qi'che'zhan
万祥医院,wan'xiang'yi'yuan
万源花苑,wan'yuan'hua'yuan
王厝,wang'cuo
王宫,wang'gong
微波站,wei'bo'zhan
尾透,wei'tou
威远楼停车场,wei'yuan'lou'ting'che'chang
文化宫,wen'hua'gong
温陵北路,wen'ling'bei'lu
温陵北路口,wen'ling'bei'lu'kou
温陵医院,wen'ling'yi'yuan
翁厝站,weng'cuo'zhan
沃尔玛,wo'er'ma
梧垵节,wu'an'jie
伍堡,wu'bao
乌墩村口,wu'dun'cun'kou
五金城,wu'jin'cheng
武荣大厦,wu'rong'da'sha
武荣大厦站,wu'rong'da'sha'zhan
浯沙,wu'sha
梧山,wu'shan
乌石路口,wu'shi'lu'kou
乌石路口站,wu'shi'lu'kou'zhan
浯潭,wu'tan
五一工业区,wu'yi'gong'ye'qu
五洲,wu'zhou
西坂,xi'ban
溪边,xi'bian
溪东,xi'dong
溪东中学,xi'dong'zhong'xue
西福,xi'fu
西港,xi'gang
西湖公园,xi'hu'gong'yuan
西湖街东段,xi'hu'jie'dong'duan
西湖街西段,xi'hu'jie'xi'duan
西湖街中段,xi'hu'jie'zhong'duan
西湖小区,xi'hu'xiao'qu
西华岩寺,xi'hua'yan'si
西郊,xi'jiao
西教堂,xi'jiao'tang
西坑,xi'keng
西美,xi'mei
溪美大酒店,xi'mei'da'jiu'dian
溪美大酒店站,xi'mei'da'jiu'dian'zhan
溪美街,xi'mei'jie
溪美街站,xi'mei'jie'zhan
西门城下,xi'men'cheng'xia
溪前,xi'qian
溪墘,xi'qian
溪墘村口,xi'qian'cun'kou
溪石,xi'shi
西水厂,xi'shui'chang
溪头,xi'tou
溪西,xi'xi
西溪中学,xi'xi'zhong'xue
西溪中学东门站,xi'xi'zhong'xue'dong'men'zhan
溪一村委会,xi'yi'cun'wei'hui
溪一三叉路口,xi'yi'san'cha'lu'kou
喜盈门,xi'ying'men
西园街道,xi'yuan'jie'dao
溪洲,xi'zhou
西庄村口,xi'zhuang'cun'kou
西庄路口,xi'zhuang'lu'kou
下坂,xia'ban
下堡,xia'bao
下曾,xia'ceng
吓厝,xia'cuo
霞东,xia'dong
霞东大桥,xia'dong'da'qiao
下都村委会站,xia'dou'cun'wei'hui'zhan
霞福村口,xia'fu'cun'kou
厦航大厦,xia'hang'da'sha
下路口,xia'lu'kou
霞露口,xia'lu'kou
霞茂村,xia'mao'cun
霞茂路口,xia'mao'lu'kou
霞美,xia'mei
霞美村口,xia'mei'cun'kou
霞美路口,xia'mei'lu'kou
霞美新街,xia'mei'xin'jie
霞美镇政府,xia'mei'zhen'zheng'fu
下倪,xia'ni
下塘,xia'tang
霞塘,xia'tang
霞溪,xia'xi
霞西,xia'xi
霞贤路口,xia'xian'lu'kou
下星,xia'xing
霞洲,xia'zhou
下庄路口,xia'zhuang'lu'kou
现代广场,xian'dai'guang'chang
现代医院,xian'dai'yi'yuan
仙公山公园,xian'gong'shan'gong'yuan
仙塘,xian'tang
仙塘社区,xian'tang'she'qu
线务局,xian'wu'ju
贤鑫路口,xian'xin'lu'kou
祥农码头,xiang'nong'ma'tou
象山,xiang'shan
祥堂村站,xiang'tang'cun'zhan
祥堂小学站,xiang'tang'xiao'xue'zhan
祥业花园,xiang'ye'hua'yuan
祥远路口,xiang'yuan'lu'kou
祥远路南段,xiang'yuan'lu'nan'duan
巷仔口,xiang'zai'kou
祥芝,xiang'zhi
肖厝,xiao'cuo
小四路口站,xiao'si'lu'kou'zhan
鞋城,xie'cheng
鞋都,xie'dou
协兴彩印,xie'xing'cai'yin
新垵,xin'an
新车站,xin'che'zhan
新店,xin'dian
新国泰,xin'guo'tai
信合,xin'he
信和,xin'he
信合站,xin'he'zhan
信和站,xin'he'zhan
新华都,xin'hua'du
新华旱闸,xin'hua'han'zha
新华街,xin'hua'jie
新华南路,xin'hua'nan'lu
新华南路尾,xin'hua'nan'lu'wei
新华南路站,xin'hua'nan'lu'zhan
新华侨,xin'hua'qiao
新华桥,xin'hua'qiao
新华小区,xin'hua'xiao'qu
新门菜市,xin'men'cai'shi
新门街头,xin'men'jie'tou
新农校,xin'nong'xiao
新埔,xin'pu
新前,xin'qian
新山,xin'shan
新市政府,xin'shi'zheng'fu
信泰集团,xin'tai'ji'tuan
新塘办事处,xin'tang'ban'shi'chu
新田,xin'tian
鑫威集团,xin'wei'ji'tuan
新行政审批中心,xin'xing'zheng'shen'pi'zhong'xin
信用联社,xin'yong'lian'she
信用联社站,xin'yong'lian'she'zhan
鑫源,xin'yuan
鑫源国贸商城,xin'yuan'guo'mao'shang'cheng
新宅,xin'zhai
幸福街口,xing'fu'jie'kou
幸福路口,xing'fu'lu'kou
杏后路口,xing'hou'lu'kou
杏莲工业区,xing'lian'gong'ye'qu
杏莲工业区北,xing'lian'gong'ye'qu'bei
杏莲工业区北站,xing'lian'gong'ye'qu'bei'zhan
杏莲工业区站,xing'lian'gong'ye'qu'zhan
杏莲站,xing'lian'zhan
杏埔村,xing'pu'cun
杏埔大桥,xing'pu'da'qiao
杏埔桥头,xing'pu'qiao'tou
兴泰路,xing'tai'lu
杏田,xing'tian
杏田村口,xing'tian'cun'kou
杏尾村,xing'wei'cun
杏秀路,xing'xiu'lu
兴业银行路口,xing'ye'yin'hang'lu'kou
杏宅路口,xing'zhai'lu'kou
行政服务中心,xing'zheng'fu'wu'zhong'xin
行政执法局,xing'zheng'zhi'fa'ju
兴紫路,xing'zi'lu
许厝,xu'cuo
许塘,xu'tang
宣化村委会,xuan'hua'cun'wei'hui
宣化东边,xuan'hua'dong'bian
宣化路口,xuan'hua'lu'kou
学府街西段,xue'fu'jie'xi'duan
浔美,xun'mei
浔美工业区东段,xun'mei'gong'ye'qu'dong'duan
浔美工业区西段,xun'mei'gong'ye'qu'xi'duan
浔美工业区中段,xun'mei'gong'ye'qu'zhong'duan
衙口,ya'kou
雅泰路,ya'tai'lu
延陵岐山,yan'ling'qi'shan
杨厝村,yang'cuo'cun
仰大附中,yang'da'fu'zhong
洋埭邮电局,yang'dai'you'dian'ju
洋店,yang'dian
阳光广场,yang'guang'guang'chang
阳光时代广场,yang'guang'shi'dai'guang'chang
洋仕村口,yang'shi'cun'kou
洋仕路口,yang'shi'lu'kou
洋仕路口站,yang'shi'lu'kou'zhan
洋尾路口,yang'wei'lu'kou
洋下,yang'xia
亿达工业区,yi'da'gong'ye'qu
移动大厦,yi'dong'da'sha
医高专,yi'gao'zhuan
义全大厦,yi'quan'da'sha
义全街口,yi'quan'jie'kou
义全街西段,yi'quan'jie'xi'duan
亿泰,yi'tai
亿兴电力,yi'xing'dian'li
医药商场,yi'yao'shang'chang
医药商场站,yi'yao'shang'chang'zhan
医院,yi'yuan
医院路口,yi'yuan'lu'kou
一中,yi'zhong
隐秀寺,yin'xiu'si
营边村,ying'bian'cun
迎宾广场,ying'bin'guang'chang
英厝头,ying'cuo'tou
拥军路口,yong'jun'lu'kou
永宁,yong'ning
永宁中学,yong'ning'zhong'xue
邮电公寓,you'dian'gong'yu
邮电局,you'dian'ju
邮电局站,you'dian'ju'zhan
邮电新村,you'dian'xin'cun
邮电新村站,you'dian'xin'cun'zhan
游乐园,you'le'yuan
游泳馆,you'yong'guan
俞大猷公园路口,yu'da'you'gong'yuan'lu'kou
玉井村,yu'jing'cun
玉田村,yu'tian'cun
玉田村口,yu'tian'cun'kou
玉犀巷口,yu'xi'xiang'kou
玉叶,yu'ye
玉叶站,yu'ye'zhan
园坂,yuan'ban
院东,yuan'dong
元福路口,yuan'fu'lu'kou
远华中学,yuan'hua'zhong'xue
源泰皮业,yuan'tai'pi'ye
远太苑,yuan'tai'yuan
元兴花园,yuan'xing'hua'yuan
月埔,yue'pu
云谷公交站,yun'gu'gong'jiao'zhan
云谷工业区,yun'gu'gong'ye'qu
云鹿路,yun'lu'lu
云鹿路口,yun'lu'lu'kou
云山公交停车场,yun'shan'gong'jiao'ting'che'chang
云山公交站,yun'shan'gong'jiao'zhan
云庄村口,yun'zhuang'cun'kou
云庄村老年协会,yun'zhuang'cun'lao'nian'xie'hui
云庄村委会,yun'zhuang'cun'wei'hui
在水一方,zai'shui'yi'fang
渣塘站,zha'tang'zhan
寨仔,zhai'zai
展览城,zhan'lan'cheng
站前大道,zhan'qian'da'dao
樟崎村口,zhang'qi'cun'kou
樟崎路口,zhang'qi'lu'kou
樟崎路口站,zhang'qi'lu'kou'zhan
赵厝路口,zhao'cuo'lu'kou
招贤路口,zhao'xian'lu'kou
镇山村委会站,zhen'shan'cun'wei'hui'zhan
振狮开发区,zhen'shi'kai'fa'qu
振兴路,zhen'xing'lu
正骨医院,zheng'gu'yi'yuan
征途汽配,zheng'tu'qi'pei
指挥巷口,zhi'hui'xiang'kou
智泰路口,zhi'tai'lu'kou
中北大门,zhong'bei'da'men
中行,zhong'hang
钟楼,zhong'lou
中旅,zhong'lv
中旅站,zhong'lv'zhan
中南酒店,zhong'nan'jiu'dian
中山北路,zhong'shan'bei'lu
中山街,zhong'shan'jie
中山街北,zhong'shan'jie'bei
中山街北站,zhong'shan'jie'bei'zhan
中山街南,zhong'shan'jie'nan
中山街南站,zhong'shan'jie'nan'zhan
中意集团,zhong'yi'ji'tuan
中医院,zhong'yi'yuan
中远学校,zhong'yuan'xue'xiao
筑路机厂,zhu'lu'ji'chang
竹园小区,zhu'yuan'xiao'qu
砖埕站,zhuan'cheng'zhan
庄顶,zhuang'ding
庄顶站,zhuang'ding'zhan
庄顶中心,zhuang'ding'zhong'xin
卓辉汇景城,zhuo'hui'hui'jing'cheng
子芳路,zi'fang'lu
紫湖村委会,zi'hu'cun'wei'hui
自来水厂,zi'lai'shui'chang
紫帽出口加工区,zi'mao'chu'kou'jia'gong'qu
紫帽镇政府,zi'mao'zhen'zheng'fu
紫帽中心小学,zi'mao'zhong'xin'xiao'xue
子英医院,zi'ying'yi'yuan
总站,zong'zhan
