阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
步入招提路,bu'ru'zhao'ti'lu
不爇香炉烟,bu'ruo'xiang'lu'yan
不是别家愁,bu'shi'bie'jia'chou
不是仇梅至,bu'shi'chou'mei'zhi
不是愁人亦断肠,bu'shi'chou'ren'yi'duan'chang
不识传呼獬豸威,bu'shi'chuan'hu'xie'zhi'wei
不是春相背,bu'shi'chun'xiang'bei
不是风光催柳色,bu'shi'feng'guang'cui'liu'se
不识贵门仪,bu'shi'gui'men'yi
不使军书夜刺闺,bu'shi'jun'shu'ye'ci'gui
不是灵蛇吐,bu'shi'ling'she'tu
不使落风沙,bu'shi'luo'feng'sha
不是弃繻人,bu'shi'qi'ru'ren
不是人间离别人,bu'shi'ren'jian'li'bie'ren
不是仙人不得攀,bu'shi'xian'ren'bu'de'pan
不是谢公亭,bu'shi'xie'gong'ting
不是行人不解愁,bu'shi'xing'ren'bu'jie'chou
不识冶游伴,bu'shi'ye'you'ban
不识玉门关外路,bu'shi'yu'men'guan'wai'lu
不是征人亦泪流,bu'shi'zheng'ren'yi'lei'liu
不受马超勋,bu'shou'ma'chao'xun
不思得岸各休去,bu'si'de'an'ge'xiu'qu
不似京华侠少年,bu'si'jing'hua'xia'shao'nian
不算子牟心,bu'suan'zi'mou'xin
不随淮海变,bu'sui'huai'hai'bian
不题三五字,bu'ti'san'wu'zi
不同疏广老方归,bu'tong'shu'guang'lao'fang'gui
不脱弊裘轻锦绮,bu'tuo'bi'qiu'qing'jin'qi
不为愁人住少时,bu'wei'chou'ren'zhu'shao'shi
不为寒暑还,bu'wei'han'shu'hai
不谓心如练,bu'wei'xin'ru'lian
不闻惊浪与啼猿,bu'wen'jing'lang'yu'ti'yuan
步舞分行踏锦筵,bu'wu'fen'hang'ta'jin'yan
部伍严以整,bu'wu'yan'yi'zheng
不惜千金买一弄,bu'xi'qian'jin'mai'yi'nong
不羡江陵千木奴,bu'xian'jiang'ling'qian'mu'nu
不向秋风怨别时,bu'xiang'qiu'feng'yuan'bie'shi
不向俗流传此心,bu'xiang'su'liu'chuan'ci'xin
步虚时绕最高峰,bu'xu'shi'rao'zui'gao'feng
不须辛苦上龙门,bu'xu'xin'ku'shang'long'men
不学陶公醉,bu'xue'tao'gong'zui
不学铸金思范蠡,bu'xue'zhu'jin'si'fan'li
不学朱云能折槛,bu'xue'zhu'yun'neng'zhe'kan
不寻诗伯重寻谁,bu'xun'shi'bo'zhong'xun'shui
不以外家荣,bu'yi'wai'jia'rong
不宜有谬,bu'yi'you'miu
步移月亦出,bu'yi'yue'yi'chu
不因稽旧典,bu'yin'ji'jiu'dian
布影期高赏,bu'ying'qi'gao'shang
不应憔悴老明时,bu'ying'qiao'cui'lao'ming'shi
不应休去老岩扃,bu'ying'xiu'qu'lao'yan'jiong
不用愁来双泪垂,bu'yong'chou'lai'shuang'lei'chui
不用看书帙,bu'yong'kan'shu'zhi
不用通名姓,bu'yong'tong'ming'xing
不用问从谁,bu'yong'wen'cong'shui
不有封侯相,bu'you'feng'hou'xiang
不语焚香坐,bu'yu'fen'xiang'zuo
不语看芳径,bu'yu'kan'fang'jing
不遇烂柯叟,bu'yu'lan'ke'sou
不与梦魂通,bu'yu'meng'hun'tong
不与名利隔,bu'yu'ming'li'ge
不欲频回步,bu'yu'pin'hui'bu
不与郑环同,bu'yu'zheng'huan'tong
不语自伤春,bu'yu'zi'shang'chun
不愿贵相离,bu'yuan'gui'xiang'li
不缘频上落,bu'yuan'pin'shang'luo
步月访诸邻,bu'yue'fang'zhu'lin
不战四夷平,bu'zhan'si'yi'ping
步帐歌声转,bu'zhang'ge'sheng'zhuan
步障三千隘将断,bu'zhang'san'qian'ai'jiang'duan
不照箜篌声里能,bu'zhao'kong'hou'sheng'li'neng
不知笔砚缘封事,bu'zhi'bi'yan'yuan'feng'shi
不知尘俗士,bu'zhi'chen'su'shi
不知丞相意,bu'zhi'cheng'xiang'yi
不知登座客,bu'zhi'deng'zuo'ke
不知叠嶂重霞里,bu'zhi'die'zhang'zhong'xia'li
不知飞锡后,bu'zhi'fei'xi'hou
不知飞在灵嘉寺,bu'zhi'fei'zai'ling'jia'si
不知歌舞用黄金,bu'zhi'ge'wu'yong'huang'jin
不知更漏意,bu'zhi'geng'lou'yi
不知何处去,bu'zhi'he'chu'qu
不知何处入空山,bu'zhi'he'chu'ru'kong'shan
不知何处销兹恨,bu'zhi'he'chu'xiao'zi'hen
不知何代公侯墓,bu'zhi'he'dai'gong'hou'mu
不知何道士,bu'zhi'he'dao'shi
不知何世界,bu'zhi'he'shi'jie
不知何者是君恩,bu'zhi'he'zhe'shi'jun'en
不知将巧笑,bu'zhi'jiang'qiao'xiao
不知浇酒为何人,bu'zhi'jiao'jiu'wei'he'ren
不知今夕是何年,bu'zhi'jin'xi'shi'he'nian
不知秦与汉,bu'zhi'qin'yu'han
不知琴月夜,bu'zhi'qin'yue'ye
不知人意远,bu'zhi'ren'yi'yuan
不知戎事竟何成,bu'zhi'rong'shi'jing'he'cheng
不知山吏部,bu'zhi'shan'li'bu
不知谁家更张设,bu'zhi'shui'jia'geng'zhang'she
不知水上有楼台,bu'zhi'shui'shang'you'lou'tai
不知谁在凌云阁,bu'zhi'shui'zai'ling'yun'ge
不知丝色后,bu'zhi'si'se'hou
不知廷尉念冤无,bu'zhi'ting'wei'nian'yuan'wu
不知霄汉侣,bu'zhi'xiao'han'lv
不知竹雨竹风夜,bu'zhi'zhu'yu'zhu'feng'ye
不种自生一株橘,bu'zhong'zi'sheng'yi'zhu'ju
不逐晓风颠,bu'zhu'xiao'feng'dian
不奏登封时不容,bu'zou'deng'feng'shi'bu'rong
不醉莫停杯,bu'zui'mo'ting'bei
不作草堂招远客,bu'zuo'cao'tang'zhao'yuan'ke
不作多时别,bu'zuo'duo'shi'bie
不作十日别,bu'zuo'shi'ri'bie
彩笔长裾会晋祠,cai'bi'chang'ju'hui'jin'ci
才比弃繻年,cai'bi'qi'ru'nian
彩笔征枚叟,cai'bi'zheng'mei'sou
采采者蜡,cai'cai'zhe'la
才出浮萍值罟师,cai'chu'fu'ping'zhi'gu'shi
彩翠竟昏晓,cai'cui'jing'hun'xiao
才大不应成滞客,cai'da'bu'ying'cheng'zhi'ke
采得马鞭长且坚,cai'de'ma'bian'chang'qie'jian
采得新诗题石壁,cai'de'xin'shi'ti'shi'bi
彩蝶戏芳圃,cai'die'xi'fang'pu
采掇山无主,cai'duo'shan'wu'zhu
采掇献吾君,cai'duo'xian'wu'jun
采拂稽山曲,cai'fu'ji'shan'qu
彩服戎装拟塞垣,cai'fu'rong'zhuang'ni'sai'yuan
彩蛤攒锦囊,cai'ha'cuan'jin'nang
才华尔自强,cai'hua'er'zi'qiang
采花湖岸菊,cai'hua'hu'an'ju
采菊上东山,cai'ju'shang'dong'shan
采莲溪上女,cai'lian'xi'shang'nv
裁罗裁绮无钝时,cai'luo'cai'qi'wu'dun'shi
才名荷宠光,cai'ming'he'chong'guang
采藕平湖上,cai'ou'ping'hu'shang
才牵雅制馀,cai'qian'ya'zhi'yu
彩缛承颜面,cai'ru'cheng'yan'mian
采桑春陌上,cai'sang'chun'mo'shang
才省用兵初,cai'sheng'yong'bing'chu
裁诗岂易酬,cai'shi'qi'yi'chou
裁书寄关右,cai'shu'ji'guan'you
才闻篱外响,cai'wen'li'wai'xiang
蔡琰愁处胡笳哀,cai'yan'chou'chu'hu'jia'ai
彩衣人竞看,cai'yi'ren'jing'kan
蔡泽无媒原宪贫,cai'ze'wu'mei'yuan'xian'pin
采摘愧芳鲜,cai'zhai'kui'fang'xian
彩雉斗时频驻马,cai'zhi'dou'shi'pin'zhu'ma
才子向天涯,cai'zi'xiang'tian'ya
才子又清贫,cai'zi'you'qing'pin
才子尊前画,cai'zi'zun'qian'hua
残兵斗落晖,can'bing'dou'luo'hui
惨惨寒日没,can'can'han'ri'mei
粲粲美仍都,can'can'mei'reng'dou
残芳遍丘墟,can'fang'bian'qiu'xu
惭非蒋生径,can'fei'jiang'sheng'jing
残更驿树深,can'geng'yi'shu'shen
残花犹发万年枝,can'hua'you'fa'wan'nian'zhi
惭愧石尤风,can'kui'shi'you'feng
惭叹东陵柏,can'tan'dong'ling'bai
蚕屋朝寒闭,can'wu'chao'han'bi
残雪初晴后,can'xue'chu'qing'hou
残雪过风微,can'xue'guo'feng'wei
残阳贯平坂,can'yang'guan'ping'ban
残药沾鸡犬,can'yao'zhan'ji'quan
残雨北山里,can'yu'bei'shan'li
残月暗车尘,can'yue'an'che'chen
惭知暗室不曾欺,can'zhi'an'shi'bu'ceng'qi
残妆色浅髻鬟开,can'zhuang'se'qian'ji'huan'kai
苍鬓欲如君,cang'bin'yu'ru'jun
沧波伏忠信,cang'bo'fu'zhong'xin
沧波寄一身,cang'bo'ji'yi'shen
苍苍此明月,cang'cang'ci'ming'yue
苍苍枫树林,cang'cang'feng'shu'lin
苍苍宫树锁青苔,cang'cang'gong'shu'suo'qing'tai
苍苍三径微,cang'cang'san'jing'wei
苍苍天色愁,cang'cang'tian'se'chou
苍苍万里道,cang'cang'wan'li'dao
苍苍幽桂期,cang'cang'you'gui'qi
苍苍照水营,cang'cang'zhao'shui'ying
苍翠新秋色,cang'cui'xin'qiu'se
沧海风涛广,cang'hai'feng'tao'guang
沧海有枯鳞,cang'hai'you'ku'lin
苍黄豺虎争,cang'huang'chai'hu'zheng
苍皇荡魂魄,cang'huang'dang'hun'po
沧江白发新,cang'jiang'bai'fa'xin
沧江枫叶鸣,cang'jiang'feng'ye'ming
沧江雁送秋,cang'jiang'yan'song'qiu
沧江一身客,cang'jiang'yi'shen'ke
沧浪渡头柳花发,cang'lang'du'tou'liu'hua'fa
沧浪者谁子,cang'lang'zhe'shui'zi
苍岭和云色更寒,cang'ling'he'yun'se'geng'han
苍茫日初宴,cang'mang'ri'chu'yan
沧溟在一毫,cang'ming'zai'yi'hao
苍髯道士两三人,cang'ran'dao'shi'liang'san'ren
苍然凌石屏,cang'ran'ling'shi'ping
苍苔随雨生,cang'tai'sui'yu'sheng
苍天暨有念,cang'tian'ji'you'nian
苍梧接桂林,cang'wu'jie'gui'lin
苍梧无还飙,cang'wu'wu'hai'biao
苍梧野外不归云,cang'wu'ye'wai'bu'gui'yun
藏虚唯耳鸣,cang'xu'wei'er'ming
苍崖抱寒泉,cang'ya'bao'han'quan
沧州老一年,cang'zhou'lao'yi'nian
沧洲诗社散,cang'zhou'shi'she'san
沧州夜月圆,cang'zhou'ye'yue'yuan
沧洲纵不去,cang'zhou'zong'bu'qu
草碧露漫漫,cao'bi'lu'man'man
草遍德阳宫,cao'bian'de'yang'gong
草遍暮阶间,cao'bian'mu'jie'jian
嘈囋一声钟鼓歇,cao'can'yi'sheng'zhong'gu'xie
草草还草草,cao'cao'hai'cao'cao
草长花落树,cao'chang'hua'luo'shu
草虫惊暗壁,cao'chong'jing'an'bi
草合废宫深,cao'he'fei'gong'shen
草露前朝事,cao'lu'qian'chao'shi
草履蹑云轻,cao'lv'nie'yun'qing
草莽人烟少,cao'mang'ren'yan'shao
草没栖洲鹭,cao'mei'qi'zhou'lu
草木承风偃,cao'mu'cheng'feng'yan
草木凉初变,cao'mu'liang'chu'bian
草木生春融,cao'mu'sheng'chun'rong
草木十年秋,cao'mu'shi'nian'qiu
草木推年长数公,cao'mu'tui'nian'chang'shu'gong
草木正摇落,cao'mu'zheng'yao'luo
草木自凄凉,cao'mu'zi'qi'liang
草平秦故殿,cao'ping'qin'gu'dian
草气厨烟咽不开,cao'qi'chu'yan'yan'bu'kai
草色合遥空,cao'se'he'yao'kong
草色微风长,cao'se'wei'feng'chang
草上依微众山道,cao'shang'yi'wei'zhong'shan'dao
草深莺断续,cao'shen'ying'duan'xu
草生分路处,cao'sheng'fen'lu'chu
草生兮阶间,cao'sheng'xi'jie'jian
草树还如旧,cao'shu'hai'ru'jiu
草头只觉风吹入,cao'tou'zhi'jue'feng'chui'ru
曹溪第六祖,cao'xi'di'liu'zu
草檐宜日过,cao'yan'yi'ri'guo
草亦不知风到来,cao'yi'bu'zhi'feng'dao'lai
草拥惊泉树带风,cao'yong'jing'quan'shu'dai'feng
草奏才偏委,cao'zou'cai'pian'wei
草奏风生笔,cao'zou'feng'sheng'bi
草座留山月,cao'zuo'liu'shan'yue
册拜申恩重,ce'bai'shen'en'zhong
侧弁向清漪,ce'bian'xiang'qing'yi
策名在公车,ce'ming'zai'gong'che
侧身天地心茫然,ce'shen'tian'di'xin'mang'ran
侧听宫官说,ce'ting'gong'guan'shuo
策行须耻战,ce'xing'xu'chi'zhan
墄以崇阶,ce'yi'chong'jie
策杖曾簪獬豸冠,ce'zhang'ceng'zan'xie'zhi'guan
参差不自意,cen'ci'bu'zi'yi
参差互明灭,cen'ci'hu'ming'mie
参差撩乱妒春风,cen'ci'liao'luan'du'chun'feng
参差启洞房,cen'ci'qi'dong'fang
参差万戟合,cen'ci'wan'ji'he
参差岩障东,cen'ci'yan'zhang'dong
参差已断肠,cen'ci'yi'duan'chang
参差引雁翼,cen'ci'yin'yan'yi
涔阳女儿花满头,cen'yang'nv'er'hua'man'tou
层城登云韶,ceng'cheng'deng'yun'shao
曾到金山处处行,ceng'dao'jin'shan'chu'chu'xing
曾共刘谘议,ceng'gong'liu'zi'yi
曾见长生玉殿开,ceng'jian'chang'sheng'yu'dian'kai
曾将示孔融,ceng'jiang'shi'kong'rong
曾经汉主游,ceng'jing'han'zhu'you
曾经永日绝人行,ceng'jing'yong'ri'jue'ren'hang
曾居第一流,ceng'ju'di'yi'liu
曾绝朱缨吐锦茵,ceng'jue'zhu'ying'tu'jin'yin
曾看流水没桑田,ceng'kan'liu'shui'mei'sang'tian
曾看乐官录,ceng'kan'yue'guan'lu
曾蒙丹凤借枝柯,ceng'meng'dan'feng'jie'zhi'ke
曾擒射雕者,ceng'qin'she'diao'zhe
曾识将军段匹磾,ceng'shi'jiang'jun'duan'pi'di
曾是鲁诸生,ceng'shi'lu'zhu'sheng
曾听巴猿向月啼,ceng'ting'ba'yuan'xiang'yue'ti
曾向巫山峡里行,ceng'xiang'wu'shan'xia'li'xing
曾掩赵张名,ceng'yan'zhao'zhang'ming
曾隐南朝人,ceng'yin'nan'chao'ren
曾营近海山,ceng'ying'jin'hai'shan
曾与右军鹅,ceng'yu'you'jun'e
插鬓茱萸来未尽,cha'bin'zhu'yu'lai'wei'jin
差池讵相见,cha'chi'ju'xiang'jian
差池跨海鳞,cha'chi'kua'hai'lin
差肩曳长裾,cha'jian'ye'chang'ju
插槿作篱新,cha'jin'zuo'li'xin
槎枯返有荑,cha'ku'fan'you'yi
茶烹松火红,cha'peng'song'huo'hong
查溪非故林,cha'xi'fei'gu'lin
茶香别院风,cha'xiang'bie'yuan'feng
柴桑政自闲,chai'sang'zheng'zi'xian
廛閈高低尽,chan'bi'gao'di'jin
蝉鬓蛾眉明井底,chan'bin'e'mei'ming'jing'di
蟾蜍同汉月,chan'chu'tong'han'yue
禅地自知高,chan'di'zi'zhi'gao
禅宫亦销歇,chan'gong'yi'xiao'xie
禅客共因依,chan'ke'gong'yin'yi
禅林枝干折,chan'lin'zhi'gan'zhe
蝉鸣觉昼空,chan'ming'jue'zhou'kong
蝉鸣兮夕曛,chan'ming'xi'xi'xun
蝉声过雨稀,chan'sheng'guo'yu'xi
禅室夜闻风过竹,chan'shi'ye'wen'feng'guo'zhu
禅庭古树秋,chan'ting'gu'shu'qiu
禅庭未可恋,chan'ting'wei'ke'lian
禅翁静扣月明中,chan'weng'jing'kou'yue'ming'zhong
蝉稀金谷树,chan'xi'jin'gu'shu
禅心如落叶,chan'xin'ru'luo'ye
谗言亦已空,chan'yan'yi'yi'kong
单于近突围,chan'yu'jin'tu'wei
单于竟未灭,chan'yu'jing'wei'mie
单于夜遁逃,chan'yu'ye'dun'tao
潺湲听一声,chan'yuan'ting'yi'sheng
蝉噪槐花已四秋,chan'zao'huai'hua'yi'si'qiu
长安车马随轻肥,chang'an'che'ma'sui'qing'fei
长安道,chang'an'dao
长安豪贵惜春残,chang'an'hao'gui'xi'chun'can
长安君到日,chang'an'jun'dao'ri
长安陌上又相逢,chang'an'mo'shang'you'xiang'feng
长安三月春,chang'an'san'yue'chun
常悲仙路赊,chang'bei'xian'lu'she
长鼻黄发拳,chang'bi'huang'fa'quan
怅别临晴野,chang'bie'lin'qing'ye
长波漾白鸥,chang'bo'yang'bai'ou
长策威殊俗,chang'ce'wei'shu'su
长城草发花,chang'cheng'cao'fa'hua
肠断天涯草空碧,chang'duan'tian'ya'cao'kong'bi
肠断仙郎隔年别,chang'duan'xian'lang'ge'nian'bie
肠断晓猿声渐稀,chang'duan'xiao'yuan'sheng'jian'xi
长对晋阳宫,chang'dui'jin'yang'gong
长对未央宫,chang'dui'wei'yang'gong
嫦娥一入月中去,chang'e'yi'ru'yue'zhong'qu
常逢明月马尘间,chang'feng'ming'yue'ma'chen'jian
长竿横空上下走,chang'gan'heng'kong'shang'xia'zou
长弓挽满月,chang'gong'wan'man'yue
阊阖静无风,chang'he'jing'wu'feng
长恨古人醒,chang'hen'gu'ren'xing
惝恍靡所征,chang'huang'mi'suo'zheng
长戟与我归,chang'ji'yu'wo'gui
常嗟骨肉分,chang'jie'gu'rou'fen
长接故园春,chang'jie'gu'yuan'chun
常嗟外族弟兄稀,chang'jie'wai'zu'di'xiong'xi
长景谢谭谐,chang'jing'xie'tan'xie
长裾间貔虎,chang'ju'jian'pi'hu
长沮笑问津,chang'ju'xiao'wen'jin
长裾珠履飒轻尘,chang'ju'zhu'lv'sa'qing'chen
尝恐河汉远,chang'kong'he'han'yuan
长廊朝雨毕,chang'lang'chao'yu'bi
长乐宫连上苑春,chang'le'gong'lian'shang'yuan'chun
长留梦寐中,chang'liu'meng'mei'zhong
长路百花新,chang'lu'bai'hua'xin
长路多逢轻薄儿,chang'lu'duo'feng'qing'bo'er
长路皆同病,chang'lu'jie'tong'bing
长眉老僧同佛力,chang'mei'lao'seng'tong'fo'li
长门寒水流,chang'men'han'shui'liu
长门未有春,chang'men'wei'you'chun
畅目亦伤情,chang'mu'yi'shang'qing
长拟静三边,chang'ni'jing'san'bian
长年只自清,chang'nian'zhi'zi'qing
倡女蒲葵扇,chang'nv'pu'kui'shan
菖蒲翻叶柳交枝,chang'pu'fan'ye'liu'jiao'zhi
长倩赠生刍,chang'qian'zeng'sheng'chu
长桥今夜月,chang'qiao'jin'ye'yue
长卿未遇杨朱泣,chang'qing'wei'yu'yang'zhu'qi
长衢雨歇无纤尘,chang'qu'yu'xie'wu'xian'chen
怅然风景馀,chang'ran'feng'jing'yu
长日临池看落花,chang'ri'lin'chi'kan'luo'hua
长沙流谪君非远,chang'sha'liu'zhe'jun'fei'yuan
长沙仆旧谙,chang'sha'pu'jiu'an
长衫刺雪生犀束,chang'shan'ci'xue'sheng'xi'shu
长山与夜江,chang'shan'yu'ye'jiang
长是北人攀,chang'shi'bei'ren'pan
常时多病因多雨,chang'shi'duo'bing'yin'duo'yu
长侍昭阳殿,chang'shi'zhao'yang'dian
长绶趋遥泉,chang'shou'qu'yao'quan
常叹苏生官太屈,chang'tan'su'sheng'guan'tai'qu
长亭十里外,chang'ting'shi'li'wai
怅望冲天羽,chang'wang'chong'tian'yu
长望凤凰楼,chang'wang'feng'huang'lou
怅望浮云隐落霞,chang'wang'fu'yun'yin'luo'xia
常闻坑儒后,chang'wen'keng'ru'hou
尝闻生别离,chang'wen'sheng'bie'li
常闻铁剑利,chang'wen'tie'jian'li
尝闻谢守贤,chang'wen'xie'shou'xian
常闻兄弟乐,chang'wen'xiong'di'le
尝闻玉清洞,chang'wen'yu'qing'dong
尝闻赠琼玖,chang'wen'zeng'qiong'jiu
常衔浊水泥,chang'xian'zhuo'shui'ni
尝想同夜禅,chang'xiang'tong'ye'chan
长啸临绝巘,chang'xiao'lin'jue'yan
长夜何时晓,chang'ye'he'shi'xiao
长忆江头执别时,chang'yi'jiang'tou'zhi'bie'shi
长揖夔龙朝,chang'yi'kui'long'chao
怅矣徒登临,chang'yi'tu'deng'lin
长吟佳句掩笙歌,chang'yin'jia'ju'yan'sheng'ge
常欲激昂论上策,chang'yu'ji'ang'lun'shang'ce
长与梦相亲,chang'yu'meng'xiang'qin
常与秦山对,chang'yu'qin'shan'dui
长云迷一雁,chang'yun'mi'yi'yan
长醉非关酒,chang'zui'fei'guan'jiu
朝臣冠剑退,chao'chen'guan'jian'tui
朝从山寺还,chao'cong'shan'si'hai
巢蜂半坠泥,chao'feng'ban'zhui'ni
巢鹤竟何从,chao'he'jing'he'cong
朝欢暮戚如掌翻,chao'huan'mu'qi'ru'zhang'fan
朝回更授兵,chao'hui'geng'shou'bing
朝昏多病色,chao'hun'duo'bing'se
朝昏望亦迷,chao'hun'wang'yi'mi
潮尽炉峰出,chao'jin'lu'feng'chu
朝沐敞南闱,chao'mu'chang'nan'wei
朝盘香积饭,chao'pan'xiang'ji'fan
巢禽亦倾耳,chao'qin'yi'qing'er
朝日照灵山,chao'ri'zhao'ling'shan
朝市三千里,chao'shi'san'qian'li
潮水忽复过,chao'shui'hu'fu'guo
朝天万国同,chao'tian'wan'guo'tong
朝天玉塞东,chao'tian'yu'sai'dong
朝廷视听新,chao'ting'shi'ting'xin
潮头西去长,chao'tou'xi'qu'chang
朝屯雪山下,chao'tun'xue'shan'xia
巢乌乳燕满高楼,chao'wu'ru'yan'man'gao'lou
朝行楚水阴,chao'xing'chu'shui'yin
朝行九衢不得意,chao'xing'jiu'qu'bu'de'yi
朝阳斋前桃李树,chao'yang'zhai'qian'tao'li'shu
朝游碧峰三十六,chao'you'bi'feng'san'shi'liu
朝与佳人期,chao'yu'jia'ren'qi
朝与名山期,chao'yu'ming'shan'qi
朝云湿未开,chao'yun'shi'wei'kai
潮作浇田雨,chao'zuo'jiao'tian'yu
彻底碧潭滋涸溜,che'di'bi'tan'zi'he'liu
车马出山阳,che'ma'chu'shan'yang
车马去迟迟,che'ma'qu'chi'chi
车马上河桥,che'ma'shang'he'qiao
车马亦裴回,che'ma'yi'pei'hui
车骑俨将前,che'qi'yan'jiang'qian
车书四海家,che'shu'si'hai'jia
车书万里同,che'shu'wan'li'tong
车徒促夜装,che'tu'cu'ye'zhuang
掣曳旗交电,che'ye'qi'jiao'dian
尘暗玉阶綦迹断,chen'an'yu'jie'qi'ji'duan
陈蕃榻更崇,chen'bo'ta'geng'chong
沈沈江上天,chen'chen'jiang'shang'tian
尘烦暂觉清,chen'fan'zan'jue'qing
尘飞塞北境,chen'fei'sai'bei'jing
嗔怪见官迟,chen'guai'jian'guan'chi
陈后主题诗,chen'hou'zhu'ti'shi
陈迹留金地,chen'ji'liu'jin'di
晨鸡自有期,chen'ji'zi'you'qi
尘镜愁多掩,chen'jing'chou'duo'yan
宸居穆清受天历,chen'ju'mu'qing'shou'tian'li
陈琳草奏才还在,chen'lin'cao'zou'cai'hai'zai
陈琳能草檄,chen'lin'neng'cao'xi
尘陌望松雪,chen'mo'wang'song'xue
尘泥来自晚,chen'ni'lai'zi'wan
晨趋本郡府,chen'qu'ben'jun'fu
尘衢锦绣鞋,chen'qu'jin'xiu'xie
尘容不在照,chen'rong'bu'zai'zhao
尘容带病何堪问,chen'rong'dai'bing'he'kan'wen
尘沙晴天迷道路,chen'sha'qing'tian'mi'dao'lu
尘事日为劳,chen'shi'ri'wei'lao
尘世休飞锡,chen'shi'xiu'fei'xi
尘世转堪哀,chen'shi'zhuan'kan'ai
辰属东方之仁,chen'shu'dong'fang'zhi'ren
沈思瞩仙侣,chen'si'zhu'xian'lv
陈王抗表日,chen'wang'kang'biao'ri
晨霞耀中轩,chen'xia'yao'zhong'xuan
尘心忽自悲,chen'xin'hu'zi'bei
尘心莫问年,chen'xin'mo'wen'nian
尘心稍自宽,chen'xin'shao'zi'kuan
臣心瞻北阙,chen'xin'zhan'bei'que
宸扆亲唯敬,chen'yi'qin'wei'jing
沈吟限一方,chen'yin'xian'yi'fang
沉忧敢望金门召,chen'you'gan'wang'jin'men'zhao
宸游近甸荣,chen'you'jin'dian'rong
晨渔旧浦移,chen'yu'jiu'pu'yi
沉郁自中肠,chen'yu'zi'zhong'chang
沈约在关东,chen'yue'zai'guan'dong
尘札在空床,chen'zha'zai'kong'chuang
尘中难久留,chen'zhong'nan'jiu'liu
辰州万里外,chen'zhou'wan'li'wai
晨装凌莽渺,chen'zhuang'ling'mang'miao
澄澄物象生,cheng'cheng'wu'xiang'sheng
称从意何疏,cheng'cong'yi'he'shu
城摧旧战功,cheng'cui'jiu'zhan'gong
成都今日雨,cheng'du'jin'ri'yu
城郭连增媚,cheng'guo'lian'zeng'mei
城郭喧喧争送远,cheng'guo'xuan'xuan'zheng'song'yuan
城郭亦在眼,cheng'guo'yi'zai'yan
成壶体更圆,cheng'hu'ti'geng'yuan
称宦即星辰,cheng'huan'ji'xing'chen
承诲访沈潜,cheng'hui'fang'shen'qian
承家剑艺全,cheng'jia'jian'yi'quan
承家岂退耕,cheng'jia'qi'tui'geng
城笳三奏晓,cheng'jia'san'zou'xiao
成家望子孙,cheng'jia'wang'zi'sun
澄江荡桨人,cheng'jiang'dang'jiang'ren
赪景宣叠丽,cheng'jing'xuan'die'li
城开山日早,cheng'kai'shan'ri'zao
澄来见柳阴,cheng'lai'jian'liu'yin
乘流喜得路,cheng'liu'xi'de'lu
澄明山满池,cheng'ming'shan'man'chi
承平圣主欢,cheng'ping'sheng'zhu'huan
城欹残照入,cheng'qi'can'zhao'ru
成器虽因匠,cheng'qi'sui'yin'jiang
城阙望烟霞,cheng'que'wang'yan'xia
城阙夜千重,cheng'que'ye'qian'zhong
称荣在上堂,cheng'rong'zai'shang'tang
城上画角哀,cheng'shang'hua'jiao'ai
称觞即上公,cheng'shang'ji'shang'gong
承时庆自均,cheng'shi'qing'zi'jun
乘时玉历长,cheng'shi'yu'li'chang
城头春霭晓濛濛,cheng'tou'chun'ai'xiao'meng'meng
城外平人驱欲尽,cheng'wai'ping'ren'qu'yu'jin
乘夕棹归舟,cheng'xi'zhao'gui'zhou
城下乱山多,cheng'xia'luan'shan'duo
丞相兼扬万古名,cheng'xiang'jian'yang'wan'gu'ming
乘兴偏难改,cheng'xing'pian'nan'gai
成性却沈泉,cheng'xing'que'shen'quan
乘兴醉青楼,cheng'xing'zui'qing'lou
乘轺奉紫泥,cheng'yao'feng'zi'ni
城邑分华夏,cheng'yi'fen'hua'xia
乘月烛来稀,cheng'yue'zhu'lai'xi
程在洛中遥,cheng'zai'luo'zhong'yao
乘兹第八识,cheng'zi'di'ba'shi
持杯话故乡,chi'bei'hua'gu'xiang
持杯凝远睇,chi'bei'ning'yuan'di
持杯收水水已覆,chi'bei'shou'shui'shui'yi'fu
池边草作径,chi'bian'cao'zuo'jing
尺帛无长裁,chi'bo'wu'chang'cai
迟迟履归辙,chi'chi'lv'gui'zhe
踟蹰复踟蹰,chi'chu'fu'chi'chu
敕赐樱桃向几家,chi'ci'ying'tao'xiang'ji'jia
持此赠君君饮之,chi'ci'zeng'jun'jun'yin'zhi
尺寸分洲岛,chi'cun'fen'zhou'dao
驰道玉声寒,chi'dao'yu'sheng'han
持刀斫地翻作泥,chi'dao'zhuo'di'fan'zuo'ni
持法去烦苛,chi'fa'qu'fan'ke
驰凤阙,chi'feng'que
持斧持斧,chi'fu'chi'fu
驰归百年内,chi'gui'bai'nian'nei
驰毫骤墨剧奔驷,chi'hao'zhou'mo'ju'ben'si
赤黄绦索金鎝头,chi'huang'tao'suo'jin'da'tou
耻将名利托交亲,chi'jiang'ming'li'tuo'jiao'qin
持经奉紫微,chi'jing'feng'zi'wei
池净荷香发,chi'jing'he'xiang'fa
迟客高斋瞰浙江,chi'ke'gao'zhai'kan'zhe'jiang
