阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
便抛印绶从归隐,bian'pao'yin'shou'cong'gui'yin
边韶唯昼眠,bian'shao'wei'zhou'mian
便是莲花不染身,bian'shi'lian'hua'bu'ran'shen
便随琛赆入,bian'sui'chen'jin'ru
边心雁带还,bian'xin'yan'dai'hai
便因当五夜,bian'yin'dang'wu'ye
变作北邙山上尘,bian'zuo'bei'mang'shan'shang'chen
表里尽虚明,biao'li'jin'xu'ming
别愁已万绪,bie'chou'yi'wan'xu
别此几时攀,bie'ci'ji'shi'pan
别国桑榆在,bie'guo'sang'yu'zai
别鹤一声遥,bie'he'yi'sheng'yao
别后几凄凄,bie'hou'ji'qi'qi
别后南风起,bie'hou'nan'feng'qi
别后谁人更议文,bie'hou'shui'ren'geng'yi'wen
别后相思何处边,bie'hou'xiang'si'he'chu'bian
别后相思意深浅,bie'hou'xiang'si'yi'shen'qian
别来曾住最高峰,bie'lai'ceng'zhu'zui'gao'feng
别离千里风,bie'li'qian'li'feng
别离又兹夕,bie'li'you'zi'xi
别离重骨惊,bie'li'zhong'gu'jing
别袂重凄霜,bie'mei'zhong'qi'shuang
别情君独深,bie'qing'jun'du'shen
别时多,bie'shi'duo
别墅小长干,bie'shu'xiao'chang'gan
别弦添楚思,bie'xian'tian'chu'si
别易会难今古事,bie'yi'hui'nan'jin'gu'shi
别营分骑过龙溪,bie'ying'fen'qi'guo'long'xi
别有无巢燕,bie'you'wu'chao'yan
别有烟霞似弟兄,bie'you'yan'xia'si'di'xiong
别有玉盘承露冷,bie'you'yu'pan'cheng'lu'leng
别远泪初干,bie'yuan'lei'chu'gan
别酌无辞醉百杯,bie'zhuo'wu'ci'zui'bai'bei
鬓发成新髻,bin'fa'cheng'xin'ji
鬓发缘愁白,bin'fa'yuan'chou'bai
鬓毛今与草争新,bin'mao'jin'yu'cao'zheng'xin
鬓毛衰尽路尘中,bin'mao'shuai'jin'lu'chen'zhong
宾仆亦阑干,bin'pu'yi'lan'gan
宾日已知春,bin'ri'yi'zhi'chun
鬓似衰蓬心似灰,bin'si'shuai'peng'xin'si'hui
鬓下初惊白发时,bin'xia'chu'jing'bai'fa'shi
鬓星星而已白,bin'xing'xing'er'yi'bai
宾筵秩秩,bin'yan'zhi'zhi
秉笔参帷帟,bing'bi'can'wei'yi
柄裁沈节香袭人,bing'cai'shen'jie'xiang'xi'ren
兵尘犹澒洞,bing'chen'you'gong'dong
冰渡晓无人,bing'du'xiao'wu'ren
病多知药性,bing'duo'zhi'yao'xing
冰河一曲旌旗满,bing'he'yi'qu'jing'qi'man
冰河足雁声,bing'he'zu'yan'sheng
并楫湖上游,bing'ji'hu'shang'you
兵间百赋存,bing'jian'bai'fu'cun
冰坚细流咽,bing'jian'xi'liu'yan
冰开素浐滨,bing'kai'su'chan'bin
病老正相仍,bing'lao'zheng'xiang'reng
邴曼更知名,bing'man'geng'zhi'ming
禀命孤且贱,bing'ming'gu'qie'jian
冰容入镜纤埃静,bing'rong'ru'jing'xian'ai'jing
冰水近开渔浦出,bing'shui'jin'kai'yu'pu'chu
并枉五言赠,bing'wang'wu'yan'zeng
冰为溪水玉为山,bing'wei'xi'shui'yu'wei'shan
秉心转孤直,bing'xin'zhuan'gu'zhi
冰雪两仙翁,bing'xue'liang'xian'weng
兵依武库雄,bing'yi'wu'ku'xiong
冰质夏长清,bing'zhi'xia'chang'qing
病中饶泪眼常昏,bing'zhong'rao'lei'yan'chang'hun
并州花木迟,bing'zhou'hua'mu'chi
并州难绾竟何人,bing'zhou'nan'wan'jing'he'ren
秉烛古人诗,bing'zhu'gu'ren'shi
秉烛会吾曹,bing'zhu'hui'wu'cao
秉烛张筵乐清景,bing'zhu'zhang'yan'yue'qing'jing
波从少海息,bo'cong'shao'hai'xi
波底共星悬,bo'di'gong'xing'xuan
波动晓烟轻,bo'dong'xiao'yan'qing
帛短谁人收,bo'duan'shui'ren'shou
波翻远水蒹葭动,bo'fan'yuan'shui'jian'jia'dong
伯舅礼仍崇,bo'jiu'li'reng'chong
伯劳东去鹤西还,bo'lao'dong'qu'he'xi'hai
卜邻空遂约,bo'lin'kong'sui'yue
薄命今犹在,bo'ming'jin'you'zai
卜命知身贱,bo'ming'zhi'shen'jian
薄暮不同归,bo'mu'bu'tong'gui
薄暮毁垣春雨里,bo'mu'hui'yuan'chun'yu'li
薄暮秋风至,bo'mu'qiu'feng'zhi
薄暮人争渡口船,bo'mu'ren'zheng'du'kou'chuan
博山吹云龙脑香,bo'shan'chui'yun'long'nao'xiang
袯襫锄犁,bo'shi'chu'li
帛书秋海断,bo'shu'qiu'hai'duan
薄田临谷口,bo'tian'lin'gu'kou
博望自封侯,bo'wang'zi'feng'hou
波喧警醉眠,bo'xuan'jing'zui'mian
泊雁鸣深渚,bo'yan'ming'shen'zhu
蕃音虏曲一难分,bo'yin'lu'qu'yi'nan'fen
伯禹明灵降,bo'yu'ming'ling'jiang
波中岁又春,bo'zhong'sui'you'chun
泊舟古城下,bo'zhou'gu'cheng'xia
卜筑汉江边,bo'zhu'han'jiang'bian
卜筑三川上,bo'zhu'san'chuan'shang
不蔽秋天雁,bu'bi'qiu'tian'yan
步兵终日饮,bu'bing'zhong'ri'yin
不并子猷归,bu'bing'zi'you'gui
不才充野客,bu'cai'chong'ye'ke
步迟乘羽客,bu'chi'cheng'yu'ke
不出来时径,bu'chu'lai'shi'jing
步出南轩时,bu'chu'nan'xuan'shi
步出青门去,bu'chu'qing'men'qu
不从人言,bu'cong'ren'yan
不待逢沮溺,bu'dai'feng'ju'ni
不待易朝衣,bu'dai'yi'chao'yi
不惮薜萝寒,bu'dan'bi'luo'han
不道君心不如石,bu'dao'jun'xin'bu'ru'shi
不到山阴十二春,bu'dao'shan'yin'shi'er'chun
不到山中更不逢,bu'dao'shan'zhong'geng'bu'feng
不得更迟留,bu'de'geng'chi'liu
不得亲随日月旗,bu'de'qin'sui'ri'yue'qi
不得在郎罢前,bu'de'zai'lang'ba'qian
不独远公知,bu'du'yuan'gong'zhi
布帆轻白浪,bu'fan'qing'bai'lang
不分先悲旅馆丧,bu'fen'xian'bei'lv'guan'sang
不复待加年,bu'fu'dai'jia'nian
不复待猿吟,bu'fu'dai'yuan'yin
不复问华簪,bu'fu'wen'hua'zan
不负折芳心,bu'fu'zhe'fang'xin
不服朱审李将军,bu'fu'zhu'shen'li'jiang'jun
不敢举头看,bu'gan'ju'tou'kan
不敢苦相留,bu'gan'ku'xiang'liu
不敢望求羊,bu'gan'wang'qiu'yang
不敢问归桡,bu'gan'wen'gui'rao
不敢绣为衣,bu'gan'xiu'wei'yi
不共本心期,bu'gong'ben'xin'qi
不关秋水事,bu'guan'qiu'shui'shi
不化捕鱼人,bu'hua'bu'yu'ren
捕蝗归来守空屋,bu'huang'gui'lai'shou'kong'wu
不遑居也,bu'huang'ju'ye
不击不考终不闻,bu'ji'bu'kao'zhong'bu'wen
不及东溪月,bu'ji'dong'xi'yue
不及归黄泉,bu'ji'gui'huang'quan
不记逃乡里,bu'ji'tao'xiang'li
不记屠沽儿,bu'ji'tu'gu'er
不及屠沽儿,bu'ji'tu'gu'er
不及往年时,bu'ji'wang'nian'shi
不及未栽时,bu'ji'wei'zai'shi
不及向桑榆,bu'ji'xiang'sang'yu
不及游鱼乐,bu'ji'you'yu'le
不集于鸟雀,bu'ji'yu'niao'que
不见朝生菌,bu'jian'chao'sheng'jun
不见故乡人,bu'jian'gu'xiang'ren
不见路人唯见土,bu'jian'lu'ren'wei'jian'tu
不见洛阳人,bu'jian'luo'yang'ren
步蹇强登游藻井,bu'jian'qiang'deng'you'zao'jing
不见僧中旧,bu'jian'seng'zhong'jiu
不见山中人半载,bu'jian'shan'zhong'ren'ban'zai
不见天边青作冢,bu'jian'tian'bian'qing'zuo'zhong
不见相如驷马归,bu'jian'xiang'ru'si'ma'gui
不见星河见雁行,bu'jian'xing'he'jian'yan'hang
不见一人闲,bu'jian'yi'ren'xian
不见元生已数朝,bu'jian'yuan'sheng'yi'shu'chao
不见枝上花,bu'jian'zhi'shang'hua
不将桃李共争春,bu'jiang'tao'li'gong'zheng'chun
不解老人心,bu'jie'lao'ren'xin
不解如君任此生,bu'jie'ru'jun'ren'ci'sheng
不解饮灵泉,bu'jie'yin'ling'quan
不接朱门坐中客,bu'jie'zhu'men'zuo'zhong'ke
不觉尘埃厚,bu'jue'chen'ai'hou
不觉春风换柳条,bu'jue'chun'feng'huan'liu'tiao
不觉老将春共至,bu'jue'lao'jiang'chun'gong'zhi
不觉老将至,bu'jue'lao'jiang'zhi
不觉倾欹獬豸冠,bu'jue'qing'qi'xie'zhi'guan
不觉桃花逐水流,bu'jue'tao'hua'zhu'shui'liu
不觉五逢春,bu'jue'wu'feng'chun
不堪楼上角,bu'kan'lou'shang'jiao
不堪秋气入金疮,bu'kan'qiu'qi'ru'jin'chuang
不可以游息,bu'ke'yi'you'xi
不肯低头受羁束,bu'ken'di'tou'shou'ji'shu
不愧知音识,bu'kui'zhi'yin'shi
不劳骑马看扬州,bu'lao'qi'ma'kan'yang'zhou
不离国门前,bu'li'guo'men'qian
不料相逢日,bu'liao'xiang'feng'ri
不乱和氏璧,bu'luan'he'shi'bi
步履雪深时,bu'lv'xue'shen'shi
不卖毗陵负郭田,bu'mai'pi'ling'fu'guo'tian
不眠同此夜,bu'mian'tong'ci'ye
不免向君求此物,bu'mian'xiang'jun'qiu'ci'wu
补衲随缘住,bu'na'sui'yuan'zhu
不能经纶大经,bu'neng'jing'lun'da'jing
不能无事习蛇矛,bu'neng'wu'shi'xi'she'mao
步暖先逢日,bu'nuan'xian'feng'ri
不弃相如家旧贫,bu'qi'xiang'ru'jia'jiu'pin
不遣胡儿匹马还,bu'qian'hu'er'pi'ma'hai
不遣浔阳湖向西,bu'qian'xun'yang'hu'xiang'xi
不去复何依,bu'qu'fu'he'yi
补阙思冲融,bu'que'si'chong'rong
不任耕耘早,bu'ren'geng'yun'zao
不忍回头看此井,bu'ren'hui'tou'kan'ci'jing
不如彼蜂蝶,bu'ru'bi'feng'die
不如拂衣且归去,bu'ru'fu'yi'qie'gui'qu
