暧暧澄湖光,ai'ai'cheng'hu'guang
才兼识量通,cai'jian'shi'liang'tong
才愧小鳞烹,cai'kui'xiao'lin'peng
才能收箧笥,cai'neng'shou'qie'si
彩女褰罗幕,cai'nv'qian'luo'mu
才青摘已无,cai'qing'zhai'yi'wu
裁书欲谁诉,cai'shu'yu'shui'su
采薇可为肴,cai'wei'ke'wei'yao
才惜过年华,cai'xi'guo'nian'hua
猜嫌伤薏苡,cai'xian'shang'yi'yi
彩云荡漾不可见,cai'yun'dang'yang'bu'ke'jian
才子乘春来骋望,cai'zi'cheng'chun'lai'cheng'wang
才子趋庭兼胜游,cai'zi'qu'ting'jian'sheng'you
残兵哭辽水,can'bing'ku'liao'shui
惨惨天寒独掩扃,can'can'tian'han'du'yan'jiong
残春锦障外,can'chun'jin'zhang'wai
惭非皋鹤鸣,can'fei'gao'he'ming
残经窗下依然在,can'jing'chuang'xia'yi'ran'zai
残阳归掩门,can'yang'gui'yan'men
残月生海门,can'yue'sheng'hai'men
残妆添石黛,can'zhuang'tian'shi'dai
沧波风袅袅,cang'bo'feng'niao'niao
沧波孤客稀,cang'bo'gu'ke'xi
沧波极天末,cang'bo'ji'tian'mo
沧波满归路,cang'bo'man'gui'lu
沧波意空托,cang'bo'yi'kong'tuo
沧波一年别,cang'bo'yi'nian'bie
沧波朝暮流,cang'bo'zhao'mu'liu
苍苍闭古关,cang'cang'bi'gu'guan
苍苍古木中,cang'cang'gu'mu'zhong
苍苍古松列,cang'cang'gu'song'lie
苍苍来暮雨,cang'cang'lai'mu'yu
苍苍远树低,cang'cang'yuan'shu'di
苍苍竹林寺,cang'cang'zhu'lin'si
苍翠空在眼,cang'cui'kong'zai'yan
苍荻寒沧江,cang'di'han'cang'jiang
藏弓身已退,cang'gong'shen'yi'tui
沧海初看汉月明,cang'hai'chu'kan'han'yue'ming
沧海横流人荡覆,cang'hai'heng'liu'ren'dang'fu
沧海今犹滞,cang'hai'jin'you'zhi
沧海空自流,cang'hai'kong'zi'liu
沧海天连水,cang'hai'tian'lian'shui
沧海一穷鳞,cang'hai'yi'qiong'lin
沧海意如何,cang'hai'yi'ru'he
沧海意相亲,cang'hai'yi'xiang'qin
沧海有微波,cang'hai'you'wei'bo
沧江空自流,cang'jiang'kong'zi'liu
沧江一钓竿,cang'jiang'yi'diao'gan
沧江欲暮自沾衣,cang'jiang'yu'mu'zi'zhan'yi
沧江朝暮流,cang'jiang'zhao'mu'liu
沧浪有孤棹,cang'lang'you'gu'zhao
沧浪有馀迹,cang'lang'you'yu'ji
沧浪自有歌,cang'lang'zi'you'ge
苍然暮相对,cang'ran'mu'xiang'dui
苍然雨中夕,cang'ran'yu'zhong'xi
