阿波罗型,a'bo'luo'xing
审美教育理论,shen'mei'jiao'yu'li'lun
审美静观,shen'mei'jing'guan
审美经验,shen'mei'jing'yan
审美快感,shen'mei'kuai'gan
审美理念,shen'mei'li'nian
审美理想,shen'mei'li'xiang
审美满足,shen'mei'man'zu
审美明证体验,shen'mei'ming'zheng'ti'yan
审美判断,shen'mei'pan'duan
审美判断力,shen'mei'pan'duan'li
审美批评,shen'mei'pi'ping
审美态度,shen'mei'tai'du
审美体验,shen'mei'ti'yan
审美享受,shen'mei'xiang'shou
审美效果,shen'mei'xiao'guo
审美信息理论,shen'mei'xin'xi'li'lun
审美意识,shen'mei'yi'shi
审美印象,shen'mei'yin'xiang
审美直观,shen'mei'zhi'guan
神秘剧,shen'mi'ju
神之美,shen'zhi'mei
生产工艺,sheng'chan'gong'yi
生存形态,sheng'cun'xing'tai
生活,sheng'huo
生活艺术论,sheng'huo'yi'shu'lun
升降舞台,sheng'jiang'wu'tai
生理学美学,sheng'li'xue'mei'xue
省略法,sheng'lue'fa
声明,sheng'ming
生命美,sheng'ming'mei
生命样式,sheng'ming'yang'shi
生命哲学,sheng'ming'zhe'xue
圣谭,sheng'tan
声乐,sheng'yue
诗,shi
石版画,shi'ban'hua
湿壁画,shi'bi'hua
时称,shi'cheng
世代,shi'dai
世代样式,shi'dai'yang'shi
时代样式,shi'dai'yang'shi
示导动机,shi'dao'dong'ji
诗的破格,shi'de'po'ge
诗的语言,shi'de'yu'yan
十二音技法,shi'er'yin'ji'fa
十二音体系,shi'er'yin'ti'xi
十二音音阶,shi'er'yin'yin'jie
十二音音乐,shi'er'yin'yin'le
石构建筑,shi'gou'jian'zhu
诗行,shi'hang
诗画界限论,shi'hua'jie'xian'lun
视幻艺术,shi'huan'yi'shu
事件小说,shi'jian'xiao'shuo
时间艺术,shi'jian'yi'shu
世界文学,shi'jie'wen'xue
世界性文学,shi'jie'xing'wen'xue
诗剧,shi'ju
视觉,shi'jue
视觉传达,shi'jue'chuan'da
视觉思考,shi'jue'si'kao
视觉型,shi'jue'xing
视觉性,shi'jue'xing
视觉形像,shi'jue'xing'xiang
视觉艺术,shi'jue'yi'shu
蚀刻版画,shi'ke'ban'hua
视空间,shi'kong'jian
实空间,shi'kong'jian
时空艺术,shi'kong'yi'shu
时髦,shi'mao
市民悲剧,shi'min'bei'ju
室内合唱,shi'nei'he'chang
室内画,shi'nei'hua
室内剧,shi'nei'ju
室内音乐,shi'nei'yin'yue
时评,shi'ping
诗如画,shi'ru'hua
十四行体诗,shi'si'xing'ti'shi
世俗合唱,shi'su'he'chang
世俗剧,shi'su'ju
世俗音乐,shi'su'yin'yue
实体感表现法,shi'ti'gan'biao'xian'fa
视听觉教育,shi'ting'jue'jiao'yu
视听觉艺术,shi'ting'jue'yi'shu
室外剧场,shi'wai'ju'chang
室外摄影,shi'wai'she'ying
事物艺术,shi'wu'yi'shu
诗学,shi'xue
实验美学,shi'yan'mei'xue
实演艺术,shi'yan'yi'shu
诗意,shi'yi
适意,shi'yi
实用雕塑,shi'yong'diao'su
实用音乐,shi'yong'yin'yue
实在论形式,shi'zai'lun'xing'shi
视知觉,shi'zhi'jue
手段,shou'duan
手段式创作动机,shou'duan'shi'chuang'zuo'dong'ji
手工艺,shou'gong'yi
守旧主义,shou'jiu'zhu'yi
首句反复法,shou'ju'fan'fu'fa
受难剧,shou'nan'ju
受难曲,shou'nan'qu
书,shu
数,shu
书道,shu'dao
书法,shu'fa
数量的崇高,shu'liang'de'chong'gao
抒情剧,shu'qing'ju
抒情诗,shu'qing'shi
抒情文学,shu'qing'wen'xue
抒情性体裁,shu'qing'xing'ti'cai
抒情语言活动,shu'qing'yu'yan'huo'dong
抒情直观,shu'qing'zhi'guan
书信体小说,shu'xin'ti'xiao'shuo
水彩画,shui'cai'hua
水墨画墨画,shui'mo'hua'mo'hua
死,si
思辨美学,si'bian'mei'xue
四分音音乐,si'fen'yin'yin'yue
思想画,si'xiang'hua
思想胚胎,si'xiang'pei'tai
思想诗,si'xiang'shi
私小说,si'xiao'shuo
素材,su'cai
素材冲动,su'cai'chong'dong
速度,su'du
素描,su'miao
素朴,su'pu
素朴性,su'pu'xing
随笔,sui'bi
塔希画派,ta'xi'hua'pai
台词,tai'ci
太阳神型,tai'yang'shen'xing
陶瓷,tao'ci
特殊美,te'shu'mei
特殊艺术学,te'shu'yi'shu'xue
特性美,te'xing'mei
题材,ti'cai
体裁,ti'cai
体裁诗学,ti'cai'shi'xue
题材兴趣,ti'cai'xing'qu
体裁样式,ti'cai'yang'shi
体操舞蹈,ti'cao'wu'dao
提示部,ti'shi'bu
提台词者,ti'tai'ci'zhe
体验,ti'yan
体验表白,ti'yan'biao'bai
天才,tian'cai
天才教育,tian'cai'jiao'yu
调和,tiao'he
调和的本质形式,tiao'he'de'ben'zhi'xing'shi
条件反射,tiao'jian'fan'she
铁建筑,tie'jian'zhu
听觉艺术,ting'jue'yi'shu
庭园艺术,ting'yuan'yi'shu
听众,ting'zhong
铜版画,tong'ban'hua
童话,tong'hua
同时表现,tong'shi'biao'xian
铜锈,tong'xiu
透视法,tou'shi'fa
头韵,tou'yun
图像,tu'xiang
图像志,tu'xiang'zhi
外部集中,wai'bu'ji'zhong
外光派,wai'guang'pai
完成,wan'cheng
婉曲法,wan'qu'fa
完全性,wan'quan'xing
婉约美,wan'yue'mei
未来派,wei'lai'pai
唯美主义,wei'mei'zhu'yi
为人生的艺术,wei'ren'sheng'de'yi'shu
尾声,wei'sheng
维也纳古典派,wei'ye'na'gu'dian'pai
维也纳学派,wei'ye'na'xue'pai
维也纳样式,wei'ye'na'yang'shi
为艺术的艺术,wei'yi'shu'de'yi'shu
伪作,wei'zuo
文法的破格,wen'fa'de'po'ge
文化,wen'hua
文脉,wen'mai
文饰,wen'shi
问题,wen'ti
文体,wen'ti
问题剧,wen'ti'ju
文体论,wen'ti'lun
问题史,wen'ti'shi
问题小说,wen'ti'xiao'shuo
文献学,wen'xian'xue
文学,wen'xue
文学的科学,wen'xue'de'ke'xue
文学批评,wen'xue'pi'ping
文学史,wen'xue'shi
文学思想,wen'xue'si'xiang
文学性,wen'xue'xing
文学学,wen'xue'xue
文艺复兴,wen'yi'fu'xing
文艺复兴剧场,wen'yi'fu'xing'ju'chang
文字,wen'zi
五部三点说,wu'bu'san'dian'shuo
无产阶级文学,wu'chan'jie'ji'wen'xue
舞蹈,wu'dao
无调性,wu'diao'xing
无关心性,wu'guan'xin'xing
无声电影,wu'sheng'dian'ying
无时间性,wu'shi'jian'xing
舞台,wu'tai
舞台布景,wu'tai'bu'jing
舞台布景剧,wu'tai'bu'jing'ju
舞台服装,wu'tai'fu'zhuang
舞台美术,wu'tai'mei'shu
舞台艺术,wu'tai'yi'shu
舞台照明,wu'tai'zhao'ming
舞台指导书,wu'tai'zhi'dao'shu
舞台转换,wu'tai'zhuan'huan
物体色,wu'ti'se
物体造型性,wu'ti'zao'xing'xing
无调色,wu'tiao'se
乌托邦机能,wu'tuo'bang'ji'neng
乌托邦文学,wu'tuo'bang'wen'xue
无我,wu'wo
五音音阶,wu'yin'yin'jie
无韵诗,wu'yun'shi
细部,xi'bu
喜歌剧,xi'ge'ju
喜剧,xi'ju
戏剧,xi'ju
戏剧博物馆,xi'ju'bo'wu'guan
喜剧电影,xi'ju'dian'ying
戏剧电影,xi'ju'dian'ying
戏剧空间,xi'ju'kong'jian
戏剧理论,xi'ju'li'lun
戏剧诗,xi'ju'shi
戏剧史,xi'ju'shi
戏剧文学,xi'ju'wen'xue
戏剧小说,xi'ju'xiao'shuo
戏剧学,xi'ju'xue
戏剧学校,xi'ju'xue'xiao
戏剧艺术学,xi'ju'yi'shu'xue
戏剧运动,xi'ju'yun'dong
希腊化,xi'la'hua
希腊剧,xi'la'ju
细密画,xi'mi'hua
狭义的美,xia'yi'de'mei
线,xian
现代剧,xian'dai'ju
现代舞蹈,xian'dai'wu'dao
现代音乐,xian'dai'yin'yue
线雕刻,xian'diao'ke
先锋派电影,xian'feng'pai'dian'ying
线画,xian'hua
线空间,xian'kong'jian
现实反映,xian'shi'fan'ying
现实感情说,xian'shi'gan'qing'shuo
现实美,xian'shi'mei
现实主义理论,xian'shi'zhu'yi'li'lun
线透视法,xian'tou'shi'fa
纤维工艺,xian'wei'gong'yi
现象的完全性,xian'xiang'de'wan'quan'xing
现象关系,xian'xiang'guan'xi
现象价值,xian'xiang'jia'zhi
现象学的美学,xian'xiang'xue'de'mei'xue
现象中的自由,xian'xiang'zhong'de'zi'you
线性,xian'xing
先验美学,xian'yan'mei'xue
先验诗,xian'yan'shi
弦乐四重奏,xian'yue'si'chong'zou
先兆,xian'zhao
香道,xiang'dao
相对美,xiang'dui'mei
相片剪辑,xiang'pian'jian'ji
享受,xiang'shou
享受美学,xiang'shou'mei'xue
乡土艺术,xiang'tu'yi'shu
想象,xiang'xiang
想象画,xiang'xiang'hua
想象力,xiang'xiang'li
想象艺术,xiang'xiang'yi'shu
想象直观,xiang'xiang'zhi'guan
象牙雕刻,xiang'ya'diao'ke
象牙细工,xiang'ya'xi'gong
象征,xiang'zheng
象征共感,xiang'zheng'gong'gan
象征派,xiang'zheng'pai
象征性,xiang'zheng'xing
象征形式,xiang'zheng'xing'shi
象征性移情,xiang'zheng'xing'yi'qing
象征艺术形式,xiang'zheng'yi'shu'xing'shi
象征主义,xiang'zheng'zhu'yi
小调,xiao'diao
小歌剧电影,xiao'ge'ju'dian'ying
小歌曲,xiao'ge'qu
效果美学,xiao'guo'mei'xue
效果瞬间,xiao'guo'shun'jian
消极移情,xiao'ji'yi'qing
小剧场,xiao'ju'chang
小说,xiao'shuo
肖像画,xiao'xiang'hua
效用技术,xiao'yong'ji'shu
效用艺术,xiao'yong'yi'shu
协和音,xie'he'yin
写景诗,xie'jing'shi
谢肉节剧,xie'rou'jie'ju
写实,xie'shi
写实主义,xie'shi'zhu'yi
写实主义样式,xie'shi'zhu'yi'yang'shi
谐调,xie'tiao
谐调性,xie'tiao'xing
谐谑性,xie'xue'xing
协奏曲,xie'zou'qu
协奏曲样式,xie'zou'qu'yang'shi
新包浩斯,xin'bao'hao'si
新柏拉图学派,xin'bo'la'tu'xue'pai
新超现实主义,xin'chao'xian'shi'zhu'yi
新哥特式,xin'ge'te'shi
新古典主义,xin'gu'dian'zhu'yi
新近剧场,xin'jin'ju'chang
新康德派,xin'kang'de'pai
新浪漫派,xin'lang'man'pai
心理小说,xin'li'xiao'shuo
心理学,xin'li'xue
心理学美学,xin'li'xue'mei'xue
心理学批评,xin'li'xue'pi'ping
新批评,xin'pi'ping
新实验小说,xin'shi'yan'xiao'shuo
新实证主义,xin'shi'zheng'zhu'yi
新闻电影,xin'wen'dian'ying
新文献学派,xin'wen'xian'xue'pai
信息理论美学,xin'xi'li'lun'mei'xue
心象,xin'xiang
新艺术,xin'yi'shu
新印象主义,xin'yin'xiang'zhu'yi
新造型主义,xin'zao'xing'zhu'yi
新传记,xin'zhuan'ji
行,xing
形,xing
形成,xing'cheng
行动,xing'dong
行动小说,xing'dong'xiao'shuo
行动主义,xing'dong'zhu'yi
形而上美学,xing'er'shang'mei'xue
形而上学,xing'er'shang'xue
形而上学的美学,xing'er'shang'xue'de'mei'xue
形而下美学,xing'er'xia'mei'xue
性格,xing'ge
性格悲剧,xing'ge'bei'ju
性格的,xing'ge'de
性格描写,xing'ge'miao'xie
性格喜剧,xing'ge'xi'ju
性格小说,xing'ge'xiao'shuo
行空间,xing'kong'jian
形式,xing'shi
形式冲动,xing'shi'chong'dong
形式感情,xing'shi'gan'qing
形式价值,xing'shi'jia'zhi
形式美,xing'shi'mei
形式美学,xing'shi'mei'xue
形式主义,xing'shi'zhu'yi
形式主义美学,xing'shi'zhu'yi'mei'xue
形态,xing'tai
形态学,xing'tai'xue
形象,xing'xiang
形相,xing'xiang
形象艺术,xing'xiang'yi'shu
性之美,xing'zhi'mei
雄辨术,xiong'bian'shu
胸像,xiong'xiang
修辞,xiu'ci
修辞学,xiu'ci'xue
修饰形容词,xiu'shi'xing'rong'ci
虚构,xu'gou
虚构式体裁,xu'gou'shi'ti'cai
序剧,xu'ju
虚空间,xu'kong'jian
序曲,xu'qu
叙事的综合,xu'shi'de'zong'he
叙事诗,xu'shi'shi
叙事文学,xu'shi'wen'xue
叙事戏剧,xu'shi'xi'ju
叙述的原状,xu'shu'de'yuan'zhuang
旋法,xuan'fa
旋律,xuan'lv
学术学校,xue'shu'xue'xiao
学校戏剧,xue'xiao'xi'ju
学校艺术教育,xue'xiao'yi'shu'jiao'yu
学院派,xue'yuan'pai
哑剧,ya'ju
亚历山大体,ya'li'shan'da'ti
压抑美,ya'yi'mei
宴乐,yan'le
演员,yan'yuan
演员艺术,yan'yuan'yi'shu
演奏,yan'zou
演奏会场音乐,yan'zou'hui'chang'yin'yue
演奏家,yan'zou'jia
演奏理论,yan'zou'li'lun
演奏史,yan'zou'shi
阳刚美戏画,yang'gang'mei'xi'hua
羊人剧,yang'ren'ju
样式,yang'shi
样式的感受力,yang'shi'de'gan'shou'li
样式的批判哲学,yang'shi'de'pi'pan'zhe'xue
样式化,yang'shi'hua
样式史,yang'shi'shi
样式艺术,yang'shi'yi'shu
样式主义,yang'shi'zhu'yi
野兽派,ye'shou'pai
野兽主义,ye'shou'zhu'yi
野外音乐,ye'wai'yin'yue
艺,yi
一般艺术学,yi'ban'yi'shu'xue
意大利喜剧,yi'da'li'xi'ju
移动舞台,yi'dong'wu'tai
一段式,yi'duan'shi
异国情调,yi'guo'qing'diao
异化效果,yi'hua'xiao'guo
伊丽莎白剧场,yi'li'sha'bai'ju'chang
移情,yi'qing
移情冲动,yi'qing'chong'dong
移情美学,yi'qing'mei'xue
仪式,yi'shi
意识流,yi'shi'liu
艺术,yi'shu
艺术雏型,yi'shu'chu'xing
艺术创作,yi'shu'chuang'zuo
艺术存在,yi'shu'cun'zai
艺术的技能,yi'shu'de'ji'neng
艺术的真实,yi'shu'de'zhen'shi
艺术的种类,yi'shu'de'zhong'lei
艺术符号论,yi'shu'fu'hao'lun
艺术感契机,yi'shu'gan'qi'ji
艺术机能论,yi'shu'ji'neng'lun
艺术家,yi'shu'jia
艺术家的冒险性,yi'shu'jia'de'mao'xian'xing
艺术教育,yi'shu'jiao'yu
艺术教育理论,yi'shu'jiao'yu'li'lun
艺术教育运动,yi'shu'jiao'yu'yun'dong
艺术科学,yi'shu'ke'xue
艺术类型,yi'shu'lei'xing
艺术理论,yi'shu'li'lun
艺术美,yi'shu'mei
艺术批评,yi'shu'pi'ping
艺术认识,yi'shu'ren'shi
艺术上层建筑论,yi'shu'shang'ceng'jian'zhu'lun
艺术社会学,yi'shu'she'hui'xue
艺术神话学,yi'shu'shen'hua'xue
艺术诗,yi'shu'shi
艺术思想,yi'shu'si'xiang
艺术系统论,yi'shu'xi'tong'lun
艺术心理学,yi'shu'xin'li'xue
艺术性,yi'shu'xing
艺术叙事诗,yi'shu'xu'shi'shi
艺术学,yi'shu'xue
艺术样式,yi'shu'yang'shi
艺术意识,yi'shu'yi'shi
艺术意味论,yi'shu'yi'wei'lun
艺术音乐,yi'shu'yin'yue
艺术哲学,yi'shu'zhe'xue
艺术指导,yi'shu'zhi'dao
艺术作品,yi'shu'zuo'pin
艺术作品的存在方式,yi'shu'zuo'pin'de'cun'zai'fang'shi
艺术作品的构造,yi'shu'zuo'pin'de'gou'zao
异乡文学,yi'xiang'wen'xue
音步,yin'bu
音高,yin'gao
音高线,yin'gao'xian
音画,yin'hua
音阶,yin'jie
音律,yin'lv
音色,yin'se
音色法,yin'se'fa
因袭,yin'xi
印象,yin'xiang
印象派,yin'xiang'pai
印象批评,yin'xiang'pi'ping
音响生理学,yin'xiang'sheng'li'xue
音响物理学,yin'xiang'wu'li'xue
音响心理学,yin'xiang'xin'li'xue
音响学,yin'xiang'xue
印象艺术,yin'xiang'yi'shu
印象主义,yin'xiang'zhu'yi
吟游诗人,yin'you'shi'ren
隐喻,yin'yu
音乐,yin'yue
音乐的要素,yin'yue'de'yao'su
音乐教育,yin'yue'jiao'yu
音乐教育学,yin'yue'jiao'yu'xue
音乐解释学,yin'yue'jie'shi'xue
音乐理论,yin'yue'li'lun
音乐美学,yin'yue'mei'xue
音乐民俗学,yin'yue'min'su'xue
音乐民族学,yin'yue'min'zu'xue
音乐批评,yin'yue'pi'ping
音乐社会学,yin'yue'she'hui'xue
音乐史学,yin'yue'shi'xue
音乐戏剧,yin'yue'xi'ju
音乐心理学,yin'yue'xin'li'xue
音乐学,yin'yue'xue
音乐学校,yin'yue'xue'xiao
音乐样式,yin'yue'yang'shi
音组织,yin'zu'zhi
应答,ying'da
影像,ying'xiang
影像手段,ying'xiang'shou'duan
英雄对韵句,ying'xiong'dui'yun'ju
英雄风景画,ying'xiong'feng'jing'hua
英雄格,ying'xiong'ge
英雄诗,ying'xiong'shi
英雄叙事诗,ying'xiong'xu'shi'shi
应用艺术,ying'yong'yi'shu
应用音乐学,ying'yong'yin'yue'xue
泳叹调,yong'tan'tiao
油彩画,you'cai'hua
有彩色,you'cai'se
油画,you'hua
有机美学,you'ji'mei'xue
有节歌曲,you'jie'ge'qu
优美,you'mei
优美的线,you'mei'de'xian
优美心灵,you'mei'xin'ling
有声电影,you'sheng'dian'ying
游戏,you'xi
游戏冲动,you'xi'chong'dong
游戏之美,you'xi'zhi'mei
幽玄,you'xuan
优雅,you'ya
有意识自我欺瞒,you'yi'shi'zi'wo'qi'man
有用,you'yong
有用性,you'yong'xing
娱乐文学,yu'le'wen'xue
迂说法,yu'shuo'fa
语言,yu'yan
寓言,yu'yan
语言美学,yu'yan'mei'xue
语言学,yu'yan'xue
语言艺术,yu'yan'yi'shu
寓意,yu'yi
语音,yu'yin
御用画像,yu'yong'hua'xiang
圆雕,yuan'diao
原美,yuan'mei
原木建筑,yuan'mu'jian'zhu
原色,yuan'se
原始的,yuan'shi'de
原始美术,yuan'shi'mei'shu
原始文学,yuan'shi'wen'xue
院体画,yuan'ti'hua
远像,yuan'xiang
原像的自然,yuan'xiang'de'zi'ran
原型,yuan'xing
原型解释,yuan'xing'jie'shi
圆形剧场,yuan'xing'ju'chang
圆型露天剧场,yuan'xing'lu'tian'ju'chang
原型批评,yuan'xing'pi'ping
乐谱,yue'pu
乐器,yue'qi
乐器法,yue'qi'fa
乐音,yue'yin
韵,yun
匀称,yun'chen
运动,yun'dong
运动的,yun'dong'de
运动绘画,yun'dong'hui'hua
运动空间,yun'dong'kong'jian
运动式创作动机,yun'dong'shi'chuang'zuo'dong'ji
运动型,yun'dong'xing
运动艺术,yun'dong'yi'shu
韵律,yun'lv
韵律学,yun'lv'xue
韵文,yun'wen
韵文律,yun'wen'lv
再创造性批评,zai'chuang'zao'xing'pi'ping
再生艺术,zai'sheng'yi'shu
再现,zai'xian
再现部,zai'xian'bu
再现艺术,zai'xian'yi'shu
造型教育,zao'xing'jiao'yu
造型性自然,zao'xing'xing'zi'ran
噪音,zao'yin
展开部,zhan'kai'bu
展开价值,zhan'kai'jia'zhi
战争文学,zhan'zheng'wen'xue
照相,zhao'xiang
照相机,zhao'xiang'ji
遮蔽,zhe'bi
哲理文学,zhe'li'wen'xue
真,zhen
真实性,zhen'shi'xing
正面律,zheng'mian'lv
整体演出场面,zheng'ti'yan'chu'chang'mian
政治文学,zheng'zhi'wen'xue
直感技术,zhi'gan'ji'shu
直感性,zhi'gan'xing
直感性格,zhi'gan'xing'ge
直观,zhi'guan
直观范畴,zhi'guan'fan'chou
直观认识,zhi'guan'ren'shi
直观想象,zhi'guan'xiang'xiang
知觉直观,zhi'jue'zhi'guan
直立式创作动机,zhi'li'shi'chuang'zuo'dong'ji
纸拼贴,zhi'pin'tie
知性直观,zhi'xing'zhi'guan
秩序,zhi'xu
直喻,zhi'yu
制作,zhi'zuo
中间色绘画,zhong'jian'se'hui'hua
中间韵,zhong'jian'yun
种类,zhong'lei
中篇小说,zhong'pian'xiao'shuo
主从律,zhu'cong'lv
主观的滑稽,zhu'guan'de'hua'ji
主观合目的性,zhu'guan'he'mu'di'xing
主观美学,zhu'guan'mei'xue
主观普遍性,zhu'guan'pu'bian'xing
主观艺术,zhu'guan'yi'shu
主角,zhu'jue
主情主义美学,zhu'qing'zhu'yi'mei'xue
主人公,zhu'ren'gong
注释,zhu'shi
主题,zhu'ti
主题小说,zhu'ti'xiao'shuo
主题学,zhu'ti'xue
主体主义,zhu'ti'zhu'yi
诸艺术的互相解释,zhu'yi'shu'de'hu'xiang'jie'shi
主知主义美学,zhu'zhi'zhu'yi'mei'xue
转调,zhuan'diao
砖瓦建筑,zhuan'wa'jian'zhu
转义,zhuan'yi
转置法,zhuan'zhi'fa
状况,zhuang'kuang
壮美,zhuang'mei
壮年样式,zhuang'nian'yang'shi
装饰,zhuang'shi
装饰冲动,zhuang'shi'chong'dong
装饰雕刻,zhuang'shi'diao'ke
装饰美术,zhuang'shi'mei'shu
装饰乐段,zhuang'shi'yue'duan
状态感情,zhuang'tai'gan'qing
自画像,zi'hua'xiang
自然感契机,zi'ran'gan'qi'ji
自然美,zi'ran'mei
自然诗,zi'ran'shi
自然文学,zi'ran'wen'xue
自我价值感,zi'wo'jia'zhi'gan
自我享受,zi'wo'xiang'shou
自由节奏,zi'you'jie'zou
自由剧场,zi'you'ju'chang
自由科,zi'you'ke
自由律,zi'you'lv
自由美,zi'you'mei
自由色,zi'you'se
自由色见平面色自由诗,zi'you'se'jian'ping'mian'se'zi'you'shi
自由艺术,zi'you'yi'shu
自由音乐,zi'you'yin'yue
自由游动,zi'you'you'dong
自传体小说,zi'zhuan'ti'xiao'shuo
综合戏剧,zong'he'xi'ju
宗教画,zong'jiao'hua
宗教剧,zong'jiao'ju
宗教文学,zong'jiao'wen'xue
总体感情,zong'ti'gan'qing
奏呜曲,zou'wu'qu
奏呜曲形式,zou'wu'qu'xing'shi
组曲,zu'qu
组曲形式,zu'qu'xing'shi
最初原像,zui'chu'yuan'xiang
尊严,zun'yan
作家样式,zuo'jia'yang'shi
作家样式见个人样式,zuo'jia'yang'shi'jian'ge'ren'yang'shi
作品诗学,zuo'pin'shi'xue
作曲,zuo'qu
作曲家,zuo'qu'jia
作曲理论,zuo'qu'li'lun
作曲学,zuo'qu'xue
作诗艺术,zuo'shi'yi'shu
作文,zuo'wen
坐像,zuo'xiang
