阿大,a'da
咋嗯遭,za'en'zao
咋儿好,za'er'hao
杂杂拉拉,za'za'la'la
赞嗯,zan'en
赞显,zan'xian
早范,zao'fan
早界,zao'jie
早接力,zao'jie'li
燥裂裂,zao'lie'lie
早日,zao'ri
早时,zao'shi
燥猪屎,zao'zhu'shi
泽国,ze'guo
贼皮狗脸,zei'pi'gou'lian
贼头狗脸形,zei'tou'gou'lian'xing
贼头狗型,zei'tou'gou'xing
贼头狗形,zei'tou'gou'xing
怎儿,zen'er
粘粘绕绕,zhan'zhan'rao'rao
张加张,zhang'jia'zhang
张猫幽,zhang'mao'you
胀沙,zhang'sha
张头望脑,zhang'tou'wang'nao
张头望眼,zhang'tou'wang'yan
折角讲,zhe'jiao'jiang
珍珠米,zhen'zhu'mi
只加只,zhi'jia'zhi
只驴,zhi'lv
纸头,zhi'tou
知知节节,zhi'zhi'jie'jie
纣筋,zhou'jin
竹竿娘,zhu'gan'niang
株加株,zhu'jia'zhu
著泥迫壳,zhu'ni'po'ke
猪娘,zhu'niang
猪杀倒板油,zhu'sha'dao'ban'you
猪头三,zhu'tou'san
逐眼,zhu'yan
猪咬靠,zhu'yao'kao
猪鱼头,zhu'yu'tou
猪种,zhu'zhong
专门朝上,zhuan'men'chao'shang
赚人端,zhuan'ren'duan
转日,zhuan'ri
装扮,zhuang'ban
装饭,zhuang'fan
壮鼓鼓,zhuang'gu'gu
撞浪,zhuang'lang
装玩样,zhuang'wan'yang
装屋,zhuang'wu
装帐,zhuang'zhang
捉勿上手,zhuo'wu'shang'shou
捉下巴谗,zhuo'xia'ba'chan
自来火,zi'lai'huo
棕榈头,zong'lv'tou
走走趟趟,zou'zou'tang'tang
做神做鬼,zuo'shen'zuo'gui
