阿特贝限,a'te'bei'xian
淋淀层段,lin'dian'ceng'duan
淋淀作用,lin'dian'zuo'yong
磷肥,lin'fei
临界电位,lin'jie'dian'wei
临界荷载点,lin'jie'he'zai'dian
临界径流,lin'jie'jing'liu
临界水位,lin'jie'shui'wei
临界值诊断法,lin'jie'zhi'zhen'duan'fa
鳞片状侵蚀,lin'pian'zhuang'qin'shi
淋溶层,lin'rong'ceng
淋溶土,lin'rong'tu
淋溶作用,lin'rong'zuo'yong
磷酸固定,lin'suan'gu'ding
磷酸吸持,lin'suan'xi'chi
磷酸吸附,lin'suan'xi'fu
磷位,lin'wei
淋洗作用,lin'xi'zuo'yong
磷循环,lin'xun'huan
淋移作用,lin'yi'zuo'yong
磷质石灰土,lin'zhi'shi'hui'tu
留茬耕作,liu'cha'geng'zuo
流动培养,liu'dong'pei'yang
流动沙丘,liu'dong'sha'qiu
硫肥,liu'fei
柳谷坊,liu'gu'fang
硫化物物质,liu'hua'wu'wu'zhi
硫化作用,liu'hua'zuo'yong
流沙,liu'sha
流水侵蚀,liu'shui'qin'shi
硫酸盐形成物,liu'suan'yan'xing'cheng'wu
硫细菌,liu'xi'jun
流限,liu'xian
硫循环,liu'xun'huan
垄作区田,long'zuo'qu'tian
裸露埋藏土,luo'lu'mai'cang'tu
铝醇基,lv'chun'ji
铝毒,lv'du
绿肥,lv'fei
铝硅酸盐,lv'gui'suan'yan
铝聚合作用,lv'ju'he'zuo'yong
绿泥石,lv'ni'shi
绿色胡敏酸,lv'se'hu'min'suan
绿色空间,lv'se'kong'jian
绿脱石,lv'tuo'shi
埋藏层,mai'cang'ceng
埋藏土,mai'cang'tu
漫岗,man'gang
盲沟,mang'gou
芒塞尔土色卡,mang'sai'er'tu'se'ka
毛管边缘,mao'guan'bian'yuan
毛管锋,mao'guan'feng
毛管凝结水,mao'guan'ning'jie'shui
毛管水,mao'guan'shui
毛管水活动带,mao'guan'shui'huo'dong'dai
毛管悬着水,mao'guan'xuan'zhao'shui
毛管支持水,mao'guan'zhi'chi'shui
镁肥,mei'fei
美国土壤系统分类,mei'guo'tu'rang'xi'tong'fen'lei
酶学诊断法,mei'xue'zhen'duan'fa
蒙脱石,meng'tuo'shi
蒙皂石,meng'zao'shi
米采利希定律,mi'cai'li'xi'ding'lv
弥散,mi'san
弥散系数,mi'san'xi'shu
免耕,mian'geng
面蚀,mian'shi
明沟排水,ming'gou'pai'shui
模拟降雨装置,mo'ni'jiang'yu'zhuang'zhi
模拟模型,mo'ni'mo'xing
磨蚀,mo'shi
牧草痉挛症,mu'cao'jing'luan'zheng
母岩,mu'yan
母质,mu'zhi
木质部运输,mu'zhi'bu'yun'shu
母质层,mu'zhi'ceng
钠交换比,na'jiao'huan'bi
钠吸附比,na'xi'fu'bi
钠质层,na'zhi'ceng
钠质黏粒,na'zhi'nian'li
耐量试验,nai'liang'shi'yan
难溶性磷肥,nan'rong'xing'lin'fei
难溶性养分,nan'rong'xing'yang'fen
内表面,nei'biao'mian
内共生体,nei'gong'sheng'ti
内垒结,nei'lei'jie
内圈络合物,nei'quan'luo'he'wu
内生菌,nei'sheng'jun
内生菌根,nei'sheng'jun'gen
内通透性,nei'tong'tou'xing
能量传输,neng'liang'chuan'shu
能量交换,neng'liang'jiao'huan
能量利用系数,neng'liang'li'yong'xi'shu
能量平衡,neng'liang'ping'heng
能量释放,neng'liang'shi'fang
能量收支,neng'liang'shou'zhi
能量损失,neng'liang'sun'shi
能量转变,neng'liang'zhuan'bian
能量转化率,neng'liang'zhuan'hua'lv
能流,neng'liu
能斯特方程,neng'si'te'fang'cheng
泥流,ni'liu
泥沙,ni'sha
泥沙输移比,ni'sha'shu'yi'bi
泥沙质量评价,ni'sha'zhi'liang'ping'jia
泥石流,ni'shi'liu
泥炭,ni'tan
泥炭层,ni'tan'ceng
泥炭土,ni'tan'tu
泥炭形成,ni'tan'xing'cheng
年代序列,nian'dai'xu'lie
黏化,nian'hua
黏化层,nian'hua'ceng
黏粒,nian'li
黏粒薄膜,nian'li'bao'mo
黏粒活度,nian'li'huo'du
黏粒集结体,nian'li'ji'jie'ti
黏粒假晶,nian'li'jia'jing
黏粒胶膜,nian'li'jiao'mo
黏粒矿物,nian'li'kuang'wu
黏粒淋失斑,nian'li'lin'shi'ban
黏粒桥,nian'li'qiao
黏粒填塞体,nian'li'tian'se'ti
黏粒镶边,nian'li'xiang'bian
黏粒形成物,nian'li'xing'cheng'wu
黏磐,nian'pan
黏磐土,nian'pan'tu
黏壤土,nian'rang'tu
黏绨土,nian'ti'tu
黏土,nian'tu
黏土矿物,nian'tu'kuang'wu
黏细菌,nian'xi'jun
黏着点,nian'zhuo'dian
脲酶抑制剂,niao'mei'yi'zhi'ji
凝块,ning'kuai
凝团,ning'tuan
浓聚物,nong'ju'wu
农田防护林,nong'tian'fang'hu'lin
农药污染,nong'yao'wu'ran
农业化学,nong'ye'hua'xue
农业化学分析,nong'ye'hua'xue'fen'xi
农业生态系统,nong'ye'sheng'tai'xi'tong
农用食盐,nong'yong'shi'yan
沤肥,ou'fei
配成复合肥料,pei'cheng'fu'he'fei'liao
配位体交换,pei'wei'ti'jiao'huan
盆栽试验,pen'zai'shi'yan
膨转特征,peng'zhuan'te'zheng
膨转土,peng'zhuan'tu
偏害共栖现象,pian'hai'gong'qi'xian'xiang
偏利共栖现象,pian'li'gong'qi'xian'xiang
片蚀,pian'shi
片状层,pian'zhuang'ceng
片状结构,pian'zhuang'jie'gou
漂白层,piao'bai'ceng
漂白物质,piao'bai'wu'zhi
漂白物质指间状延伸,piao'bai'wu'zhi'zhi'jian'zhuang'yan'shen
漂洗层,piao'xi'ceng
漂洗水稻土,piao'xi'shui'dao'tu
贫营养化,pin'ying'yang'hua
贫营养微生物,pin'ying'yang'wei'sheng'wu
贫营养性,pin'ying'yang'xing
平均停留时间,ping'jun'ting'liu'shi'jian
坡长,po'chang
坡度,po'du
坡积物,po'ji'wu
破裂系数,po'lie'xi'shu
坡面侵蚀,po'mian'qin'shi
坡式梯田,po'shi'ti'tian
剖面构型,pou'mian'gou'xing
剖面性态,pou'mian'xing'tai
谱系式分类,pu'xi'shi'fen'lei
脐腐症,qi'fu'zheng
弃耕地,qi'geng'di
弃耕地演替,qi'geng'di'yan'ti
气体肥料,qi'ti'fei'liao
气通量,qi'tong'liang
气相容积,qi'xiang'rong'ji
嵌插作用,qian'cha'zuo'yong
浅耕,qian'geng
浅沟,qian'gou
浅沟侵蚀,qian'gou'qin'shi
浅海沉积物,qian'hai'chen'ji'wu
潜育层,qian'yu'ceng
潜育水稻土,qian'yu'shui'dao'tu
潜育特征,qian'yu'te'zheng
潜育土,qian'yu'tu
潜育作用,qian'yu'zuo'yong
潜在肥力,qian'zai'fei'li
潜在侵蚀,qian'zai'qin'shi
潜在蒸散,qian'zai'zheng'san
潜在蒸腾,qian'zai'zheng'teng
强度因素,qiang'du'yin'su
羟基表面,qiang'ji'biao'mian
羟基化作用,qiang'ji'hua'zuo'yong
羟基铝间层,qiang'ji'lv'jian'ceng
切沟,qie'gou
切沟侵蚀,qie'gou'qin'shi
侵入线,qin'ru'xian
侵蚀比率,qin'shi'bi'lv
侵蚀垂直分布,qin'shi'chui'zhi'fen'bu
侵蚀地貌,qin'shi'di'mao
侵蚀环境,qin'shi'huan'jing
侵蚀基准面,qin'shi'ji'zhun'mian
侵蚀力学,qin'shi'li'xue
侵蚀劣地,qin'shi'lie'de
侵蚀临界坡度,qin'shi'lin'jie'po'du
侵蚀区域分布,qin'shi'qu'yu'fen'bu
侵蚀水平分布,qin'shi'shui'ping'fen'bu
侵蚀速率,qin'shi'su'lv
侵蚀土地,qin'shi'tu'di
侵蚀土壤,qin'shi'tu'rang
侵蚀土壤剖面,qin'shi'tu'rang'pou'mian
氰氨态氮肥,qing'an'tai'dan'fei
氢铝质黏粒,qing'lv'zhi'nian'li
轻黏土,qing'nian'tu
轻壤土,qing'rang'tu
轻组腐殖物质,qing'zu'fu'zhi'wu'zhi
蚯蚓粪,qiu'yin'fen
趋化性,qu'hua'xing
曲率,qu'lv
区田,qu'tian
全层施肥,quan'ceng'shi'fei
全氮,quan'dan
全钾,quan'jia
全磷,quan'lin
缺素培养液,que'su'pei'yang'ye
群落,qun'luo
壤砂土,rang'sha'tu
壤土,rang'tu
壤中流,rang'zhong'liu
扰动剖面,rao'dong'pou'mian
热法磷肥,re'fa'lin'fei
热力学土壤体系,re'li'xue'tu'rang'ti'xi
热通量密度,re'tong'liang'mi'du
热性温度状况,re'xing'wen'du'zhuang'kuang
人粪尿,ren'fen'niao
人工降雨,ren'gong'jiang'yu
韧皮部运输,ren'pi'bu'yun'shu
人为表层,ren'wei'biao'ceng
人为肥力,ren'wei'fei'li
人为侵蚀,ren'wei'qin'shi
人为土,ren'wei'tu
人为土壤,ren'wei'tu'rang
容积热容量,rong'ji're'rong'liang
溶蚀,rong'shi
融雪侵蚀,rong'xue'qin'shi
溶质对流,rong'zhi'dui'liu
溶质扩散,rong'zhi'kuo'san
溶质弥散,rong'zhi'mi'san
溶质运移,rong'zhi'yun'yi
入渗量,ru'shen'liang
入渗曲线,ru'shen'qu'xian
入渗通量,ru'shen'tong'liang
软粉状石灰,ruan'fen'zhuang'shi'hui
软埝,ruan'nian
弱分解有机层,ruo'fen'jie'you'ji'ceng
撒施,sa'shi
三八面体片,san'ba'mian'ti'pian
三水铝石,san'shui'lv'shi
三要素比例,san'yao'su'bi'li
森林立地,sen'lin'li'di
森林土壤,sen'lin'tu'rang
沙暴,sha'bao
砂姜,sha'jiang
砂姜黑土,sha'jiang'hei'tu
砂粒,sha'li
沙垅,sha'long
沙漠,sha'mo
砂黏土,sha'nian'tu
砂培,sha'pei
沙丘,sha'qiu
砂壤土,sha'rang'tu
砂土,sha'tu
砂性土,sha'xing'tu
杀真菌剂,sha'zhen'jun'ji
砂质黏壤土,sha'zhi'nian'rang'tu
山边沟,shan'bian'gou
山地草甸土,shan'di'cao'dian'tu
山地土壤,shan'di'tu'rang
珊瑚砂,shan'hu'sha
山坡防护林,shan'po'fang'hu'lin
山塘,shan'tang
商品肥料,shang'pin'fei'liao
少耕,shao'geng
奢侈吸收,she'chi'xi'shou
舌状层,she'zhuang'ceng
舌状延伸,she'zhuang'yan'shen
深层施肥,shen'ceng'shi'fei
深耕,shen'geng
渗滤,shen'lv
渗滤率,shen'lv'lv
渗滤水采集器,shen'lv'shui'cai'ji'qi
渗透势,shen'tou'shi
渗透吸力,shen'tou'xi'li
渗育层,shen'yu'ceng
生产者,sheng'chan'zhe
生化强度,sheng'hua'qiang'du
生化需氧量,sheng'hua'xu'yang'liang
生境,sheng'jing
生理碱性肥料,sheng'li'jian'xing'fei'liao
生理酸性肥料,sheng'li'suan'xing'fei'liao
生理中性肥料,sheng'li'zhong'xing'fei'liao
生态位,sheng'tai'wei
生态样块,sheng'tai'yang'kuai
生土,sheng'tu
生土层,sheng'tu'ceng
生物变质,sheng'wu'bian'zhi
生物处理,sheng'wu'chu'li
生物地埂,sheng'wu'di'geng
生物地理群落,sheng'wu'di'li'qun'luo
生物地球化学循环,sheng'wu'di'qiu'hua'xue'xun'huan
生物发光技术,sheng'wu'fa'guang'ji'shu
生物风化,sheng'wu'feng'hua
生物富集,sheng'wu'fu'ji
生物固持作用,sheng'wu'gu'chi'zuo'yong
生物固氮作用,sheng'wu'gu'dan'zuo'yong
生物积累作用,sheng'wu'ji'lei'zuo'yong
生物降解,sheng'wu'jiang'jie
生物拮抗现象,sheng'wu'jie'kang'xian'xiang
生物可降解性,sheng'wu'ke'jiang'jie'xing
生物培养诊断法,sheng'wu'pei'yang'zhen'duan'fa
生物形成物,sheng'wu'xing'cheng'wu
生物治疗,sheng'wu'zhi'liao
生物转化,sheng'wu'zhuan'hua
剩余收缩,sheng'yu'shou'suo
生长抑制剂,sheng'zhang'yi'zhi'ji
始成土,shi'cheng'tu
食虫真菌,shi'chong'zhen'jun
湿地土壤,shi'di'tu'rang
湿度梯度,shi'du'ti'du
湿法磷肥,shi'fa'lin'fei
施肥,shi'fei
施肥技术,shi'fei'ji'shu
施肥诊断法,shi'fei'zhen'duan'fa
施肥制度,shi'fei'zhi'du
石膏层,shi'gao'ceng
石膏晶簇,shi'gao'jing'cu
石膏聚积作用,shi'gao'ju'ji'zuo'yong
石膏土,shi'gao'tu
适耕性,shi'geng'xing
石谷坊,shi'gu'fang
石化钙积层,shi'hua'gai'ji'ceng
石化石膏层,shi'hua'shi'gao'ceng
石化铁质接触面,shi'hua'tie'zhi'jie'chu'mian
石灰斑,shi'hui'ban
石灰位,shi'hui'wei
石灰性土,shi'hui'xing'tu
石灰需要量,shi'hui'xu'yao'liang
实际阳离子交换量,shi'ji'yang'li'zi'jiao'huan'liang
实际蒸散,shi'ji'zheng'san
噬菌体,shi'jun'ti
石坎梯田,shi'kan'ti'tian
石块,shi'kuai
石块质,shi'kuai'zhi
石砾,shi'li
失绿症,shi'lv'zheng
势毛管运动,shi'mao'guan'yun'dong
嗜热微生物,shi're'wei'sheng'wu
湿润锋,shi'run'feng
湿润热,shi'run're
湿润水分状况,shi'run'shui'fen'zhuang'kuang
食物链,shi'wu'lian
适性酶,shi'xing'mei
试验误差,shi'yan'wu'cha
石质接触面,shi'zhi'jie'chu'mian
石质土,shi'zhi'tu
示踪测定,shi'zong'ce'ding
示踪核素,shi'zong'he'su
鼠墩,shu'dun
束缚水,shu'fu'shui
数量因素,shu'liang'yin'su
输沙量,shu'sha'liang
疏松岩性土,shu'song'yan'xing'tu
熟土,shu'tu
熟土层,shu'tu'ceng
双淋淀层段,shuang'lin'dian'ceng'duan
水成土,shui'cheng'tu
水稻土,shui'dao'tu
水分供应,shui'fen'gong'ying
水分亏缺,shui'fen'kui'que
水分胁迫,shui'fen'xie'po
水耕表层,shui'geng'biao'ceng
水解氮,shui'jie'dan
水解酶类,shui'jie'mei'lei
水力,shui'li
水力势,shui'li'shi
水力梯度,shui'li'ti'du
水铝英石,shui'lv'ying'shi
水培,shui'pei
水平沟,shui'ping'gou
水平阶,shui'ping'jie
水平台地,shui'ping'tai'di
水平梯田,shui'ping'ti'tian
水汽运动,shui'qi'yun'dong
水溶性磷肥,shui'rong'xing'lin'fei
水溶性养分,shui'rong'xing'yang'fen
水生绿肥,shui'sheng'lv'fei
水蚀,shui'shi
水势梯度,shui'shi'ti'du
水涮窝,shui'shuan'wo
水田土壤,shui'tian'tu'rang
水铁矿,shui'tie'kuang
水通量,shui'tong'liang
水通量密度,shui'tong'liang'mi'du
水土保持,shui'tu'bao'chi
水土保持产业,shui'tu'bao'chi'chan'ye
水土保持措施,shui'tu'bao'chi'cuo'shi
水土保持调查,shui'tu'bao'chi'diao'cha
水土保持法,shui'tu'bao'chi'fa
水土保持法规,shui'tu'bao'chi'fa'gui
水土保持耕作措施,shui'tu'bao'chi'geng'zuo'cuo'shi
水土保持工程措施,shui'tu'bao'chi'gong'cheng'cuo'shi
水土保持工作条例,shui'tu'bao'chi'gong'zuo'tiao'li
水土保持规划,shui'tu'bao'chi'gui'hua
水土保持经济林,shui'tu'bao'chi'jing'ji'lin
水土保持经济效益,shui'tu'bao'chi'jing'ji'xiao'yi
水土保持林业措施,shui'tu'bao'chi'lin'ye'cuo'shi
水土保持区划,shui'tu'bao'chi'qu'hua
水土保持社会效益,shui'tu'bao'chi'she'hui'xiao'yi
水土保持生态效益,shui'tu'bao'chi'sheng'tai'xiao'yi
水土保持生物措施,shui'tu'bao'chi'sheng'wu'cuo'shi
水土保持数据库,shui'tu'bao'chi'shu'ju'ku
水土保持效益,shui'tu'bao'chi'xiao'yi
水土保持专家系统,shui'tu'bao'chi'zhuan'jia'xi'tong
水土流失,shui'tu'liu'shi
水稳性团聚体,shui'wen'xing'tuan'ju'ti
水文循环,shui'wen'xun'huan
水循环,shui'xun'huan
水源涵养林,shui'yuan'han'yang'lin
水云母,shui'yun'mu
顺坡,shun'po
顺坡耕种,shun'po'geng'zhong
四面体片,si'mian'ti'pian
斯托克斯定律,si'tuo'ke'si'ding'lv
速率因素,su'lv'yin'su
塑限,su'xian
速效肥料,su'xiao'fei'liao
塑性距,su'xing'ju
塑性流定律,su'xing'liu'ding'lv
塑性指数,su'xing'zhi'shu
溯源侵蚀,su'yuan'qin'shi
酸解氮,suan'jie'dan
酸溶性养分,suan'rong'xing'yang'fen
酸性肥料,suan'xing'fei'liao
酸性硫酸盐土,suan'xing'liu'suan'yan'tu
酸性土,suan'xing'tu
酸性土壤,suan'xing'tu'rang
酸性指示植物,suan'xing'zhi'shi'zhi'wu
酸雨,suan'yu
随机区组试验,sui'ji'qu'zu'shi'yan
碎裂,sui'lie
碎屑风化壳,sui'xie'feng'hua'qiao
碎屑食物链,sui'xie'shi'wu'lian
碳氮比,tan'dan'bi
碳酸盐风化壳,tan'suan'yan'feng'hua'qiao
碳酸盐形成物,tan'suan'yan'xing'cheng'wu
探索播种,tan'suo'bo'zhong
碳循环,tan'xun'huan
体积含水量,ti'ji'han'shui'liang
梯田,ti'tian
田间持水量,tian'jian'chi'shui'liang
田间工程,tian'jian'gong'cheng
田间试验,tian'jian'shi'yan
填土动物穴,tian'tu'dong'wu'xue
铁醇基,tie'chun'ji
铁解作用,tie'jie'zuo'yong
铁铝风化壳,tie'lv'feng'hua'qiao
铁铝化,tie'lv'hua
铁铝土,tie'lv'tu
铁锰结核,tie'meng'jie'he
铁锰形成物,tie'meng'xing'cheng'wu
铁磐,tie'pan
铁细菌,tie'xi'jun
铁载体,tie'zai'ti
铁质化,tie'zhi'hua
统计检验,tong'ji'jian'yan
同晶置换,tong'jing'zhi'huan
通量,tong'liang
通气孔隙度,tong'qi'kong'xi'du
通用土壤流失方程,tong'yong'tu'rang'liu'shi'fang'cheng
透水层,tou'shui'ceng
土被,tu'bei
土被结构,tu'bei'jie'gou
土传植物病菌,tu'chuan'zhi'wu'bing'jun
土地生物处理,tu'di'sheng'wu'chu'li
土动力学性质,tu'dong'li'xue'xing'zhi
土纲,tu'gang
土块,tu'kuai
土块分布,tu'kuai'fen'bu
土类,tu'lei
土粒沉降累积曲线,tu'li'chen'jiang'lei'ji'qu'xian
土粒电荷,tu'li'dian'he
土粒胶结,tu'li'jiao'jie
土粒密度,tu'li'mi'du
土粒凝聚,tu'li'ning'ju
土力学,tu'li'xue
土粒有效直径,tu'li'you'xiao'zhi'jing
土链,tu'lian
土培,tu'pei
土壤,tu'rang
土壤饱和磁化强度,tu'rang'bao'he'ci'hua'qiang'du
土壤饱和浸出液,tu'rang'bao'he'jin'chu'ye
土壤饱和水流,tu'rang'bao'he'shui'liu
土壤薄片,tu'rang'bao'pian
土壤比表面,tu'rang'bi'biao'mian
土壤比容,tu'rang'bi'rong
土壤比阻,tu'rang'bi'zu
土壤变形,tu'rang'bian'xing
土壤表观黏度,tu'rang'biao'guan'nian'du
土壤表面化学,tu'rang'biao'mian'hua'xue
土壤表面酸度,tu'rang'biao'mian'suan'du
土壤标准物质,tu'rang'biao'zhun'wu'zhi
土壤波谱特性,tu'rang'bo'pu'te'xing
土壤不浃地带性,tu'rang'bu'jia'di'dai'xing
土壤残留碱度,tu'rang'can'liu'jian'du
土壤残留酸度,tu'rang'can'liu'suan'du
土壤测定,tu'rang'ce'ding
土壤层次,tu'rang'ceng'ci
土壤层段,tu'rang'ceng'duan
土壤超微形态学,tu'rang'chao'wei'xing'tai'xue
土壤超显微技术,tu'rang'chao'xian'wei'ji'shu
土壤承载力,tu'rang'cheng'zai'li
土壤储积酶,tu'rang'chu'ji'mei
土壤穿入阻力,tu'rang'chuan'ru'zu'li
土壤垂直带谱,tu'rang'chui'zhi'dai'pu
土壤垂直地带性,tu'rang'chui'zhi'di'dai'xing
土壤垂直分布,tu'rang'chui'zhi'fen'bu
土壤次生矿物,tu'rang'ci'sheng'kuang'wu
土壤磁性,tu'rang'ci'xing
土壤单项污染指数,tu'rang'dan'xiang'wu'ran'zhi'shu
土壤单元,tu'rang'dan'yuan
土壤导水率,tu'rang'dao'shui'lv
土壤地带性,tu'rang'di'dai'xing
土壤地理,tu'rang'di'li
土壤地球化学,tu'rang'di'qiu'hua'xue
土壤电磁性,tu'rang'dian'ci'xing
土壤电化学,tu'rang'dian'hua'xue
土壤电性,tu'rang'dian'xing
土壤电阻,tu'rang'dian'zu
土壤调查,tu'rang'diao'cha
土壤动力学性质,tu'rang'dong'li'xue'xing'zhi
土壤动物残体,tu'rang'dong'wu'can'ti
土壤动物孔道,tu'rang'dong'wu'kong'dao
土壤动物区系,tu'rang'dong'wu'qu'xi
土壤动物学,tu'rang'dong'wu'xue
土壤多糖,tu'rang'duo'tang
土壤发生,tu'rang'fa'sheng
土壤发生层,tu'rang'fa'sheng'ceng
土壤发生分类,tu'rang'fa'sheng'fen'lei
土壤发生分类和制图,tu'rang'fa'sheng'fen'lei'he'zhi'tu
土壤发育,tu'rang'fa'yu
土壤发育序列,tu'rang'fa'yu'xu'lie
土壤反磁质,tu'rang'fan'ci'zhi
土壤反馈信息,tu'rang'fan'kui'xin'xi
土壤反应,tu'rang'fan'ying
土壤放射性污染,tu'rang'fang'she'xing'wu'ran
土壤非饱和水流,tu'rang'fei'bao'he'shui'liu
土壤非活体酶,tu'rang'fei'huo'ti'mei
土壤肥力,tu'rang'fei'li
土壤肥力保持,tu'rang'fei'li'bao'chi
土壤肥力等级,tu'rang'fei'li'deng'ji
土壤肥力分级,tu'rang'fei'li'fen'ji
土壤肥力管理,tu'rang'fei'li'guan'li
土壤肥力级差,tu'rang'fei'li'ji'cha
土壤肥力监测,tu'rang'fei'li'jian'ce
土壤肥力减退,tu'rang'fei'li'jian'tui
土壤肥力评价,tu'rang'fei'li'ping'jia
土壤肥力特征,tu'rang'fei'li'te'zheng
土壤肥力图,tu'rang'fei'li'tu
土壤肥力学说,tu'rang'fei'li'xue'shuo
土壤肥力因子,tu'rang'fei'li'yin'zi
土壤肥力指标,tu'rang'fei'li'zhi'biao
土壤分布,tu'rang'fen'bu
土壤分段命名法,tu'rang'fen'duan'ming'ming'fa
土壤分类,tu'rang'fen'lei
土壤分类制,tu'rang'fen'lei'zhi
土壤分散,tu'rang'fen'san
土壤分散剂,tu'rang'fen'san'ji
土壤分析化学,tu'rang'fen'xi'hua'xue
土壤富集法,tu'rang'fu'ji'fa
土壤复区,tu'rang'fu'qu
土壤复原,tu'rang'fu'yuan
土壤腐殖质化学,tu'rang'fu'zhi'zhi'hua'xue
土壤概查,tu'rang'gai'cha
土壤改良剂,tu'rang'gai'liang'ji
土壤概图,tu'rang'gai'tu
土壤高级分类,tu'rang'gao'ji'fen'lei
土壤耕性,tu'rang'geng'xing
土壤耕作,tu'rang'geng'zuo
土壤固结,tu'rang'gu'jie
土壤固态水,tu'rang'gu'tai'shui
土壤管理,tu'rang'guan'li
土壤管状物,tu'rang'guan'zhuang'wu
土壤含水量,tu'rang'han'shui'liang
土壤含盐量,tu'rang'han'yan'liang
土壤耗竭,tu'rang'hao'jie
土壤和地表体数字化数据库,tu'rang'he'di'biao'ti'shu'zi'hua'shu'ju'ku
土壤呼吸,tu'rang'hu'xi
土壤呼吸强度,tu'rang'hu'xi'qiang'du
土壤化学,tu'rang'hua'xue
土壤化学固定,tu'rang'hua'xue'gu'ding
土壤缓冲容量,tu'rang'huan'chong'rong'liang
土壤缓冲物质,tu'rang'huan'chong'wu'zhi
土壤缓冲性,tu'rang'huan'chong'xing
土壤环境,tu'rang'huan'jing
土壤环境保护,tu'rang'huan'jing'bao'hu
土壤环境工程,tu'rang'huan'jing'gong'cheng
土壤环境监测,tu'rang'huan'jing'jian'ce
土壤环境容量,tu'rang'huan'jing'rong'liang
土壤环境因子,tu'rang'huan'jing'yin'zi
土壤环境质量,tu'rang'huan'jing'zhi'liang
土壤环境质量评价,tu'rang'huan'jing'zhi'liang'ping'jia
土壤环境指示物,tu'rang'huan'jing'zhi'shi'wu
土壤环流术,tu'rang'huan'liu'shu
土壤活性酸度,tu'rang'huo'xing'suan'du
土壤级别,tu'rang'ji'bie
土壤基层分类,tu'rang'ji'ceng'fen'lei
土壤基质,tu'rang'ji'zhi
土壤碱度,tu'rang'jian'du
土壤碱化作用,tu'rang'jian'hua'zuo'yong
土壤碱胶体,tu'rang'jian'jiao'ti
土壤剪切,tu'rang'jian'qie
土壤坚实度,tu'rang'jian'shi'du
土壤交换性酸度,tu'rang'jiao'huan'xing'suan'du
土壤胶体,tu'rang'jiao'ti
土壤胶体化学,tu'rang'jiao'ti'hua'xue
土壤结持度,tu'rang'jie'chi'du
土壤结持性,tu'rang'jie'chi'xing
土壤结构,tu'rang'jie'gou
土壤结构度,tu'rang'jie'gou'du
土壤结构分类,tu'rang'jie'gou'fen'lei
土壤结构改良剂,tu'rang'jie'gou'gai'liang'ji
土壤结构类型,tu'rang'jie'gou'lei'xing
土壤结构体,tu'rang'jie'gou'ti
土壤揭片,tu'rang'jie'pian
土壤界线,tu'rang'jie'xian
土壤浸出液,tu'rang'jin'chu'ye
土壤浸提剂,tu'rang'jin'ti'ji
土壤景观,tu'rang'jing'guan
土壤局部灭菌,tu'rang'ju'bu'mie'jun
土壤绝对年龄,tu'rang'jue'dui'nian'ling
土壤抗冲性,tu'rang'kang'chong'xing
土壤抗逆性,tu'rang'kang'ni'xing
土壤抗蚀性,tu'rang'kang'shi'xing
土壤颗粒,tu'rang'ke'li
土壤颗粒大小分布,tu'rang'ke'li'da'xiao'fen'bu
土壤颗粒大小分析,tu'rang'ke'li'da'xiao'fen'xi
土壤可溶盐,tu'rang'ke'rong'yan
土壤可蚀性,tu'rang'ke'shi'xing
土壤可蚀性参数,tu'rang'ke'shi'xing'can'shu
土壤可蚀性诺漠图,tu'rang'ke'shi'xing'nuo'mo'tu
土壤可蚀性指标,tu'rang'ke'shi'xing'zhi'biao
土壤可压缩收,tu'rang'ke'ya'suo'shou
土壤空间,tu'rang'kong'jian
土壤空间分布,tu'rang'kong'jian'fen'bu
土壤空间分布模型,tu'rang'kong'jian'fen'bu'mo'xing
土壤空气,tu'rang'kong'qi
土壤空气交换,tu'rang'kong'qi'jiao'huan
土壤空气扩散,tu'rang'kong'qi'kuo'san
土壤空气扩散系数,tu'rang'kong'qi'kuo'san'xi'shu
土壤空气容量,tu'rang'kong'qi'rong'liang
土壤空气相对扩散系数,tu'rang'kong'qi'xiang'dui'kuo'san'xi'shu
土壤空气状况,tu'rang'kong'qi'zhuang'kuang
土壤空气组成,tu'rang'kong'qi'zu'cheng
土壤孔隙,tu'rang'kong'xi
土壤孔隙度,tu'rang'kong'xi'du
土壤库,tu'rang'ku
土壤矿物,tu'rang'kuang'wu
土壤矿物化学,tu'rang'kuang'wu'hua'xue
土壤矿物学,tu'rang'kuang'wu'xue
土壤矿质胶体,tu'rang'kuang'zhi'jiao'ti
土壤类别,tu'rang'lei'bie
土壤垒结,tu'rang'lei'jie
土壤类群,tu'rang'lei'qun
土壤立体网络,tu'rang'li'ti'wang'luo
土壤力学,tu'rang'li'xue
土壤利用,tu'rang'li'yong
土壤利用图,tu'rang'li'yong'tu
土壤连续命名法,tu'rang'lian'xu'ming'ming'fa
土壤流变学,tu'rang'liu'bian'xue
土壤流失,tu'rang'liu'shi
土壤流失估算,tu'rang'liu'shi'gu'suan
土壤流失量,tu'rang'liu'shi'liang
土壤酶,tu'rang'mei
土壤酶保护容量,tu'rang'mei'bao'hu'rong'liang
土壤酶促反应,tu'rang'mei'cu'fan'ying
土壤酶活性,tu'rang'mei'huo'xing
土壤酶激活,tu'rang'mei'ji'huo
土壤酶稳定性,tu'rang'mei'wen'ding'xing
土壤酶学,tu'rang'mei'xue
土壤酶抑制剂,tu'rang'mei'yi'zhi'ji
土壤密度,tu'rang'mi'du
土壤命名,tu'rang'ming'ming
