阿嫲,a'ma
下下,xia'xia
下昼,xia'zhou
嫌钱腥,xian'qian'xing
咸湿,xian'shi
闲闲地,xian'xian'di
香枧,xiang'jian
香碱,xiang'jian
香口胶,xiang'kou'jiao
响雷,xiang'lei
乡里,xiang'li
小儿科,xiao'er'ke
小气,xiao'qi
笑笑口,xiao'xiao'kou
小学鸡,xiao'xue'ji
小厣,xiao'yan
宵夜,xiao'ye
笑吟吟,xiao'yin'yin
卸膊,xie'bo
些少,xie'shao
歇手,xie'shou
鞋踭,xie'zheng
心大心细,xin'da'xin'xi
心淡,xin'dan
心多,xin'duo
心甘,xin'gan
心甘情愿,xin'gan'qing'yuan
心挂挂,xin'gua'gua
心惊惊,xin'jing'jing
心口,xin'kou
新年流流,xin'nian'liu'liu
新屎坑,xin'shi'keng
心水,xin'shui
心水清,xin'shui'qing
心息,xin'xi
新鲜滚热辣,xin'xian'gun're'la
新鲜屎坑三日兴,xin'xian'shi'keng'san'ri'xing
行白云山,xing'bai'yun'shan
擤鼻涕,xing'bi'ti
行差踏错,xing'cha'ta'cuo
行船,xing'chuan
型到跌渣,xing'dao'die'zha
醒定,xing'ding
行街,xing'jie
行雷,xing'lei
行路,xing'lu
醒目,xing'mu
醒目仔,xing'mu'zi
醒神,xing'shen
行衰运,xing'shuai'yun
凶神恶煞,xiong'shen'e'sha
羞家,xiu'jia
须刨,xu'bao
裇衫,xu'shan
雪柜,xue'gui
学生哥,xue'sheng'ge
雪条,xue'tiao
寻日,xun'ri
寻晚,xun'wan
芽菜,ya'cai
牙齿当金使,ya'chi'dang'jin'shi
牙尖嘴利,ya'jian'zui'li
牙铰,ya'jiao
鸭乸,ya'na
牙肉,ya'rou
鸭膶,ya'run
牙哨,ya'shao
牙罅,ya'xia
牙罅疏,ya'xia'shu
崖烟,ya'yan
崖鹰,ya'ying
烟囱,yan'cong
眼定定,yan'ding'ding
眼光光,yan'guang'guang
眼鬼火爆,yan'gui'huo'bao
眼核,yan'he
烟灰盅,yan'hui'zhong
眼火爆,yan'huo'bao
盐焗鸡,yan'ju'ji
晏觉,yan'jue
眼睩睩,yan'lu'lu
眼眉,yan'mei
眼瞢,yan'meng
檐蛇,yan'she
眼湿湿,yan'shi'shi
芫荽,yan'sui
眼凸凸,yan'tu'tu
眼眢,yan'yuan
眼眨眨,yan'zha'zha
晏昼,yan'zhou
椰菜花,ye'cai'hua
曳曳,ye'ye
野仔,ye'zai
医病,yi'bing
衣车,yi'che
一哥,yi'ge
一羹,yi'geng
易过借火,yi'guo'jie'huo
抑或,yi'huo
一镬泡,yi'huo'pao
一镬熟,yi'huo'shu
一脚踢,yi'jiao'ti
一碌木,yi'lu'mu
姨妈,yi'ma
一仆一辘,yi'pu'yi'lu
一身蚁,yi'shen'yi
姨甥,yi'sheng
意头,yi'tou
一头雾水,yi'tou'wu'shui
姨丈,yi'zhang
一陣,yi'zhen
一支公,yi'zhi'gong
一箸,yi'zhu
银包,yin'bao
饮大,yin'da
阴功,yin'gong
饮胜,yin'sheng
阴声细气,yin'sheng'xi'qi
阴湿,yin'shi
阴司纸,yin'si'zhi
瘾笑,yin'xiao
阴阴笑,yin'yin'xiao
银纸,yin'zhi
阴鸷,yin'zhi
阴鸷事,yin'zhi'shi
饮醉,yin'zui
应承,ying'cheng
应份,ying'fen
硬颈,ying'jing
影相机,ying'xiang'ji
拥趸,yong'dun
油耳,you'er
有几何,you'ji'he
游离浪荡,you'li'lang'dang
有理冇理,you'li'mao'li
有冇,you'mao
有排,you'pai
游水,you'shui
有突,you'tu
幼细,you'xi
忧心,you'xin
甴曱,you'yue
油炸鬼,you'zha'gui
预备,yu'bei
鱼腩,yu'nan
逳佢,yu'qu
逳身逳勢,yu'shen'yu'shi
于是乎,yu'shi'hu
鱼云,yu'yun
预早,yu'zao
雨遮,yu'zhe
原本,yuan'ben
援救,yuan'jiu
圆碌碌,yuan'lu'lu
圆辘辘,yuan'lu'lu
芫茜,yuan'qian
元肉,yuan'rou
岳高头,yue'gao'tou
云耳,yun'er
晕浪,yun'lang
晕酡酡,yun'tuo'tuo
仔大仔世界,zai'da'zai'shi'jie
仔乸,zai'na
早响,zao'xiang
啫喱,ze'li
贼仔,zei'zai
赠庆,zeng'qing
诈嗲,zha'dia
闸住,zha'zhu
照计,zhao'ji
照杀,zhao'sha
找数,zhao'shu
朝头早,zhao'tou'zao
朝早,zhao'zao
着草,zhe'cao
摺叠,zhe'die
遮骨,zhe'gu
折墮,zhe'hui
着紧,zhe'jin
着裤,zhe'ku
着衫,zhe'shan
着鞋,zhe'xie
这这那那,zhe'zhe'na'na
摺纸,zhe'zhi
斟酒,zhen'jiu
枕住,zhen'zhu
整饼,zheng'bing
整定,zheng'ding
整蛊,zheng'gu
整蛊作怪,zheng'gu'zuo'guai
正话,zheng'hua
睁眉突眼,zheng'mei'tu'yan
争拗,zheng'niu
整色整水,zheng'se'zheng'shui
正衰公,zheng'shuai'gong
执波仔,zhi'bo'zai
只不过,zhi'bu'guo
直程,zhi'cheng
只抽,zhi'chou
执笠,zhi'li
纸皮,zhi'pi
知悭识俭,zhi'qian'shi'jian
执拾,zhi'shi
芝士,zhi'shi
执手尾,zhi'shou'wei
执输,zhi'shu
执死鸡,zhi'si'ji
质素,zhi'su
直头,zhi'tou
执头执尾,zhi'tou'zhi'wei
执药,zhi'yao
窒瘾,zhi'yin
志在,zhi'zai
吱喳,zhi'zha
纸镇,zhi'zhen
枝竹,zhi'zhu
终归,zhong'gui
终须,zhong'xu
中学鸡,zhong'xue'ji
钟意,zhong'yi
仲有,zhong'you
周街,zhou'jie
周身,zhou'shen
周身骨痛,zhou'shen'gu'tong
周时,zhou'shi
猪横脷,zhu'heng'li
猪红,zhu'hong
猪脷,zhu'li
猪乸,zhu'na
猪朋狗友,zhu'peng'gou'you
猪膶,zhu'run
猪手,zhu'shou
竹丝鸡,zhu'si'ji
专登,zhuan'deng
转归,zhuan'gui
转行,zhuan'hang
转屋,zhuan'wu
撞到正,zhuang'dao'zheng
装饭,zhuang'fan
撞鬼,zhuang'gui
装假狗,zhuang'jia'gou
壮健,zhuang'jian
撞见,zhuang'jian
戇居,zhuang'ju
撞聋,zhuang'long
撞面,zhuang'mian
撞亲,zhuang'qin
准算,zhun'suan
浊亲,zhuo'qin
着数,zhuo'shu
滋油,zi'you
资质,zi'zhi
走宝,zou'bao
走鬼,zou'gui
走鸡,zou'ji
走佬,zou'lao
走趯,zou'yue
走趱,zou'zan
阻吓,zu'xia
卒之,zu'zhi
阻滯,zu'zhi
醉酒佬,zui'jiu'lao
坐低,zuo'di
坐监,zuo'jian
做乜,zuo'mie
坐硬,zuo'ying
