八宝茶,ba'bao'cha
牛鼻栓,niu'bi'shuan
牛扁,niu'bian
牛肠,niu'chang
牛抄藤,niu'chao'teng
牛齿,niu'chi
牛胆,niu'dan
牛胆参,niu'dan'can
牛迭肚,niu'die'du
牛肚,niu'du
牛耳草,niu'er'cao
牛耳大黄,niu'er'da'huang
牛耳大黄叶,niu'er'da'huang'ye
牛耳朵,niu'er'duo
牛耳枫根,niu'er'feng'gen
牛耳枫枝叶,niu'er'feng'zhi'ye
牛耳枫子,niu'er'feng'zi
牛肺,niu'fei
牛肝,niu'gan
牛骨,niu'gu
牛含水,niu'han'shui
牛喉咙,niu'hou'long
牛黄,niu'huang
牛角,niu'jiao
牛角瓜,niu'jiao'gua
牛角鳃,niu'jiao'sai
牛角藓,niu'jiao'xian
牛筋,niu'jin
牛筋草,niu'jin'cao
牛筋果,niu'jin'guo
牛口涎,niu'kou'xian
牛肋筋,niu'lei'jin
牛泷草,niu'long'cao
牛马藤,niu'ma'teng
牛毛七,niu'mao'qi
牛毛毡,niu'mao'zhan
牛明胶,niu'ming'jiao
牛目椒,niu'mu'jiao
牛奶柴,niu'nai'chai
牛奶浆,niu'nai'jiang
牛奶浆根,niu'nai'jiang'gen
牛奶莓,niu'nai'mei
牛奶树,niu'nai'shu
牛奶树子,niu'nai'shu'zi
牛奶子,niu'nai'zi
牛脑,niu'nao
牛脾,niu'pi
牛皮草,niu'pi'cao
牛肉,niu'rou
牛乳,niu'ru
牛嗓管树,niu'sang'guan'shu
牛嗓管树根,niu'sang'guan'shu'gen
牛舌草,niu'she'cao
牛舌头,niu'she'tou
牛肾,niu'shen
牛肾精子,niu'shen'jing'zi
牛屎树,niu'shi'shu
牛髓,niu'sui
牛蹄,niu'ti
牛蹄甲,niu'ti'jia
牛尾菜,niu'wei'cai
牛尾独活,niu'wei'du'huo
牛尾泡,niu'wei'pao
牛膝,niu'xi
牛膝茎叶,niu'xi'jing'ye
牛西西,niu'xi'xi
牛心梨,niu'xin'li
牛心梨树皮,niu'xin'li'shu'pi
牛心梨叶,niu'xin'li'ye
牛心茄子,niu'xin'qie'zi
牛血,niu'xue
牛眼马钱,niu'yan'ma'qian
牛羊草结,niu'yang'cao'jie
牛靥,niu'ye
牛脂,niu'zhi
糯稻根须,nuo'dao'gen'xu
糯米,nuo'mi
糯米泔,nuo'mi'gan
糯米藤,nuo'mi'teng
糯米条,nuo'mi'tiao
糯芋,nuo'yu
女儿茶,nv'er'cha
女儿红根,nv'er'hong'gen
女儿红叶,nv'er'hong'ye
女娄菜,nv'lou'cai
女菀,nv'wan
女萎,nv'wei
女贞根,nv'zhen'gen
女贞皮,nv'zhen'pi
女贞叶,nv'zhen'ye
女贞子,nv'zhen'zi
霹雳罗芙木,pi'li'luo'fu'mu
器甲,qi'jia
七角风,qi'jiao'feng
七里明,qi'li'ming
七里香,qi'li'xiang
麒麟菜,qi'lin'cai
麒麟尾,qi'lin'wei
器肉,qi'rou
七鳃鳗,qi'sai'man
七鳃镘肉,qi'sai'man'rou
气桐子,qi'tong'zi
七星剑,qi'xing'jian
七叶胆,qi'ye'dan
七叶莲,qi'ye'lian
七叶一把伞,qi'ye'yi'ba'san
七爪风,qi'zhao'feng
千层塔,qian'ceng'ta
千打锤,qian'da'chui
千斤拔,qian'jin'ba
千金花,qian'jin'hua
千金藤,qian'jin'teng
千金子,qian'jin'zi
千里光,qian'li'guang
千里香杜鹃,qian'li'xiang'du'juan
千里找根,qian'li'zhao'gen
千灵丹,qian'ling'dan
千年耗子屎种子,qian'nian'hao'zi'shi'zhong'zi
千年健,qian'nian'jian
千屈菜,qian'qu'cai
千日红,qian'ri'hong
千针万线草,qian'zhen'wan'xian'cao
千子连,qian'zi'lian
人面子,ren'mian'zi
人面子根皮,ren'mian'zi'gen'pi
人尿,ren'niao
人乳汁,ren'ru'zhi
人参,ren'shen
人参果,ren'shen'guo
人参花,ren'shen'hua
人参芦,ren'shen'lu
人参条,ren'shen'tiao
人参娃儿藤,ren'shen'wa'er'teng
人参须,ren'shen'xu
人参叶,ren'shen'ye
人参子,ren'shen'zi
人指甲,ren'zhi'jia
人中白,ren'zhong'bai
人中黄,ren'zhong'huang
日本扁鲨肝油,ri'ben'bian'sha'gan'you
日本蝠鲼鱼脑,ri'ben'fu'fen'yu'nao
日本蝠鲼鱼鳃,ri'ben'fu'fen'yu'sai
日本黄脊蝗,ri'ben'huang'ji'huang
日本吉丁虫,ri'ben'ji'ding'chong
日本镜蛤壳,ri'ben'jing'ge'ke
日本木瓜,ri'ben'mu'gua
日本绒螯蟹,ri'ben'rong'ao'xie
日本樱花,ri'ben'ying'hua
日照飘拂草,ri'zhao'piao'fu'cao
入地金牛,ru'di'jin'niu
入地蜈蚣,ru'di'wu'gong
三白草,san'bai'cao
三白草根,san'bai'cao'gen
三叉凤尾蕨,san'cha'feng'wei'jue
三叉虎根,san'cha'hu'gen
三叉蕨,san'cha'jue
三翅铁角蕨,san'chi'tie'jiao'jue
三刺皂角,san'ci'zao'jiao
三点金草,san'dian'jin'cao
三朵云,san'duo'yun
三分三,san'fen'san
三辐柴胡,san'fu'chai'hu
三股筋,san'gu'jin
三画,san'hua
三花冬青,san'hua'dong'qing
三尖杉,san'jian'shan
三角瓣花,san'jiao'ban'hua
三角草,san'jiao'cao
三角风,san'jiao'feng
三角咪,san'jiao'mi
三角叶驴蹄草,san'jiao'ye'lv'ti'cao
三角叶囊吾,san'jiao'ye'nang'wu
三角叶荨麻,san'jiao'ye'qian'ma
三开瓢,san'kai'piao
三颗针,san'ke'zhen
三块瓦,san'kuai'wa
三棱,san'leng
三棱草,san'leng'cao
三楞草,san'leng'cao
三楞筋骨草,san'leng'jin'gu'cao
三铃子,san'ling'zi
三轮蒿,san'lun'hao
三面刀,san'mian'dao
三匹箭,san'pi'jian
三匹叶,san'pi'ye
三七,san'qi
三七草,san'qi'cao
三七花,san'qi'hua
三七叶,san'qi'ye
三稔,san'ren
三色堇,san'se'jin
三升米,san'sheng'mi
三十六荡,san'shi'liu'dang
三索锦蛇胆,san'suo'jin'she'dan
三索锦蛇肉,san'suo'jin'she'rou
三索锦蛇蜕,san'suo'jin'she'tui
三台红花,san'tai'hong'hua
三条筋,san'tiao'jin
三尾青皮槭,san'wei'qing'pi'qi
三线闭壳龟板,san'xian'bi'ke'gui'ban
三线闭壳龟肉,san'xian'bi'ke'gui'rou
三线闭壳龟炭,san'xian'bi'ke'gui'tan
三消草,san'xiao'cao
三丫苦叶,san'ya'ku'ye
三叶赤,san'ye'chi
三叶海棠,san'ye'hai'tang
三叶木蓝,san'ye'mu'lan
三叶藤橘,san'ye'teng'ju
三叶委陵菜,san'ye'wei'ling'cai
三叶委陵菜根,san'ye'wei'ling'cai'gen
三叶乌蔹莓,san'ye'wu'lian'mei
三疣梭子蟹壳,san'you'suo'zi'xie'ke
三疣梭子蟹肉,san'you'suo'zi'xie'rou
三张叶,san'zhang'ye
三籽两型豆,san'zi'liang'xing'dou
三钻风,san'zuan'feng
山艾叶,shan'ai'ye
山芭蕉子,shan'ba'jiao'zi
山百部,shan'bai'bu
山白菊,shan'bai'ju
山稗子,shan'bai'zi
山扁豆,shan'bian'dou
山扁豆子,shan'bian'dou'zi
山槟榔,shan'bing'lang
山薄荷,shan'bo'he
山菠萝根,shan'bo'luo'gen
山茶花,shan'cha'hua
山橙,shan'cheng
山刺柏,shan'ci'bai
山慈姑,shan'ci'gu
山慈姑花,shan'ci'gu'hua
山慈姑叶,shan'ci'gu'ye
山刺梨,shan'ci'li
山大刀,shan'da'dao
山大刀根,shan'da'dao'gen
山大黄,shan'da'huang
山大烟,shan'da'yan
山丹,shan'dan
山丹花,shan'dan'hua
山道年蒿,shan'dao'nian'hao
山地虎耳草,shan'di'hu'er'cao
山地麻晰,shan'di'ma'xi
山地香茶菜,shan'di'xiang'cha'cai
山东肿足蕨,shan'dong'zhong'zu'jue
山豆根,shan'dou'gen
山矾根,shan'fan'gen
山矾花,shan'fan'hua
山矾叶,shan'fan'ye
山凤仙,shan'feng'xian
山佛手,shan'fo'shou
山芙藿,shan'fu'huo
山甘草,shan'gan'cao
山甘草根,shan'gan'cao'gen
山柑算盘子,shan'gan'suan'pan'zi
山葛薯,shan'ge'shu
山根,shan'gen
山梗菜,shan'geng'cai
山桂花,shan'gui'hua
山海螺,shan'hai'luo
山海棠,shan'hai'tang
山核桃,shan'he'tao
山红活麻,shan'hong'huo'ma
山胡椒,shan'hu'jiao
山胡椒根,shan'hu'jiao'gen
山胡椒叶,shan'hu'jiao'ye
山黄豆藤,shan'huang'dou'teng
山黄瓜,shan'huang'gua
山黄菊,shan'huang'ju
山黄皮,shan'huang'pi
山茴芹,shan'hui'qin
山货榔,shan'huo'lang
山藿香,shan'huo'xiang
山鸡,shan'ji
山鸡蛋,shan'ji'dan
山尖菜,shan'jian'cai
山姜,shan'jiang
山姜花,shan'jiang'hua
山椒草,shan'jiao'cao
山椒根,shan'jiao'gen
山韭,shan'jiu
山韭菜,shan'jiu'cai
山橘叶,shan'ju'ye
山壳骨,shan'ke'gu
山苦菜,shan'ku'cai
山苦荬,shan'ku'mai
山冷水花,shan'leng'shui'hua
山黧豆,shan'li'dou
山里红,shan'li'hong
山荔枝果,shan'li'zhi'guo
山莲藕,shan'lian'ou
山楝子,shan'lian'zi
山柳菊,shan'liu'ju
山罗花,shan'luo'hua
山绿茶,shan'lv'cha
山驴骨,shan'lv'gu
山马豆根,shan'ma'dou'gen
山麻杆,shan'ma'gan
山马蝗,shan'ma'huang
山麻黄,shan'ma'huang
山马钱,shan'ma'qian
山麻雀,shan'ma'que
山猫儿,shan'mao'er
山梅花根皮,shan'mei'hua'gen'pi
山牡丹,shan'mu'dan
山木通,shan'mu'tong
山奈,shan'nai
山牛毛毡,shan'niu'mao'zhan
山枇把根,shan'pi'ba'gen
山枇把叶,shan'pi'ba'ye
山枇杷,shan'pi'pa
山皮条,shan'pi'tiao
山飘儿草,shan'piao'er'cao
山漆树,shan'qi'shu
山稔根,shan'ren'gen
山稔叶,shan'ren'ye
山稔子,shan'ren'zi
山肉桂,shan'rou'gui
山瑞鳖,shan'rui'bie
山苏木,shan'su'mu
山蒜,shan'suan
山藤藤秧,shan'teng'teng'yang
山铁树叶,shan'tie'shu'ye
山桐子,shan'tong'zi
山莴苣,shan'wo'ju
山乌桕根,shan'wu'jiu'gen
山乌桕叶,shan'wu'jiu'ye
山五味子,shan'wu'wei'zi
山吴萸果,shan'wu'yu'guo
山苋菜,shan'xian'cai
山香草,shan'xiang'cao
山小橘,shan'xiao'ju
山蟹,shan'xie
山辛夷,shan'xin'yi
山岩黄花,shan'yan'huang'hua
山烟筒子,shan'yan'tong'zi
山羊豆,shan'yang'dou
山羊肝,shan'yang'gan
山羊角,shan'yang'jiao
山杨柳,shan'yang'liu
山羊梅,shan'yang'mei
山羊肉,shan'yang'rou
山羊血,shan'yang'xue
山羊油,shan'yang'you
山药,shan'yao
山药藤,shan'yao'teng
山野豌豆,shan'ye'wan'dou
山一笼鸡,shan'yi'long'ji
山银柴胡,shan'yin'chai'hu
山樱桃,shan'ying'tao
山樱桃核,shan'ying'tao'he
山油柑果实,shan'you'gan'guo'shi
山油柑叶,shan'you'gan'ye
山油麻,shan'you'ma
鳝鱼,shan'yu
鳝鱼骨,shan'yu'gu
鳝鱼皮,shan'yu'pi
鳝鱼头,shan'yu'tou
鳝鱼血,shan'yu'xue
山楂,shan'zha
山楂根,shan'zha'gen
山楂核,shan'zha'he
山楂木,shan'zha'mu
山楂叶,shan'zha'ye
山枝根,shan'zhi'gen
山芝麻,shan'zhi'ma
山枝仁,shan'zhi'ren
山蜘蛛,shan'zhi'zhu
山珠半夏,shan'zhu'ban'xia
山竹叶青,shan'zhu'ye'qing
山茱萸,shan'zhu'yu
山竹子,shan'zhu'zi
上山龙,shang'shan'long
上树咳,shang'shu'ke
上思厚壳树,shang'si'hou'ke'shu
少果吴茱萸,shao'guo'wu'zhu'yu
少花柏拉木,shao'hua'bai'la'mu
少花黄眼草,shao'hua'huang'yan'cao
少花腰骨藤,shao'hua'yao'gu'teng
少年红,shao'nian'hong
少牙斑鲆,shao'ya'ban'ping
麝肉,she'rou
麝香,she'xiang
麝香草,she'xiang'cao
麝香壳,she'xiang'ke
升麻,sheng'ma
升麻草,sheng'ma'cao
升药,sheng'yao
升药底,sheng'yao'di
十八症,shi'ba'zheng
十大功劳叶,shi'da'gong'lao'ye
十三年花,shi'san'nian'hua
十万错,shi'wan'cuo
十姊妹,shi'zi'mei
手掌参,shou'zhang'can
四画,si'hua
蓑草,suo'cao
蓑荷,suo'he
蓑荷子,suo'he'zi
太白艾,tai'bai'ai
太白贝母,tai'bai'bei'mu
太白参,tai'bai'can
太白花,tai'bai'hua
太白菊,tai'bai'ju
太白鹿角,tai'bai'lu'jiao
太白秦艽,tai'bai'qin'jiao
太白三七,tai'bai'san'qi
太白小紫菀,tai'bai'xiao'zi'wan
太白岩黄芪,tai'bai'yan'huang'qi
太平莓,tai'ping'mei
太阳针,tai'yang'zhen
太子参,tai'zi'shen
天鹅毛,tian'e'mao
天狗角螺,tian'gou'jiao'luo
天胡荽,tian'hu'sui
天花粉,tian'hua'fen
天花忍冬,tian'hua'ren'dong
天浆壳,tian'jiang'ke
天脚板,tian'jiao'ban
天脚板果,tian'jiao'ban'guo
天韭,tian'jiu
天葵,tian'kui
天葵子,tian'kui'zi
天蓝韭,tian'lan'jiu
天萝水,tian'luo'shui
天麻,tian'ma
天麻茎叶,tian'ma'jing'ye
天麻子,tian'ma'zi
天门冬,tian'men'dong
天名精,tian'ming'jing
天目贝母,tian'mu'bei'mu
天目地黄,tian'mu'di'huang
天目木姜子,tian'mu'mu'jiang'zi
天目木兰,tian'mu'mu'lan
天南星,tian'nan'xing
天牛,tian'niu
天泡子,tian'pao'zi
天蓬草,tian'peng'cao
天荞麦根,tian'qiao'mai'gen
天茄子,tian'qie'zi
天青地白,tian'qing'di'bai
天山侧金盏花,tian'shan'ce'jin'zhan'hua
天山柴胡,tian'shan'chai'hu
天山大黄,tian'shan'da'huang
天山花楸,tian'shan'hua'qiu
天生草,tian'sheng'cao
天水蚁草,tian'shui'yi'cao
天王七,tian'wang'qi
天王七果实,tian'wang'qi'guo'shi
天王七叶,tian'wang'qi'ye
天文草,tian'wen'cao
天仙藤,tian'xian'teng
天仙子,tian'xian'zi
天香炉,tian'xiang'lu
天星藤,tian'xing'teng
天雄,tian'xiong
土阿魏,tu'a'wei
土八角,tu'ba'jiao
土百部,tu'bai'bu
土白及,tu'bai'ji
土白蔹,tu'bai'lian
土半夏,tu'ban'xia
土贝母,tu'bei'mu
土常山,tu'chang'shan
土大黄,tu'dai'huang
土大黄叶,tu'dai'huang'ye
土当归,tu'dang'gui
土党参,tu'dang'shen
土丁桂,tu'ding'gui
土蜂,tu'feng
土蜂子,tu'feng'zi
土附,tu'fu
土茯苓,tu'fu'ling
土附子,tu'fu'zi
土瓜,tu'gua
土瓜狼毒,tu'gua'lang'du
土黄连,tu'huang'lian
土箭芪,tu'jian'qi
土荆芥,tu'jing'jie
土荆皮,tu'jing'pi
土困儿,tu'kun'er
土连翘,tu'lian'qiao
土连翘叶,tu'lian'qiao'ye
土良姜,tu'liang'jiang
土蜜藤,tu'mi'teng
土牡蛎,tu'mu'li
土木香,tu'mu'xiang
土木贼,tu'mu'zei
土牛膝,tu'niu'xi
土泡参,tu'pao'can
土千年健,tu'qian'nian'jian
土千年健叶,tu'qian'nian'jian'ye
土羌活,tu'qiang'huo
土人参,tu'ren'shen
土人参叶,tu'ren'shen'ye
土三七,tu'san'qi
土砂仁,tu'sha'ren
土田七,tu'tian'qi
土香榧,tu'xiang'fei
土香薷,tu'xiang'ru
土燕窝,tu'yan'wo
土一枝蒿,tu'yi'zhi'hao
土银花叶,tu'yin'hua'ye
土远志,tu'yuan'zhi
土中闻,tu'zhong'wen
瓦草,wa'cao
瓦楞子,wa'leng'zi
瓦松,wa'song
瓦韦,wa'wei
万年蒿,wan'nian'hao
万年青根,wan'nian'qing'gen
万年青花,wan'nian'qing'hua
万年青叶,wan'nian'qing'ye
万年松,wan'nian'song
万寿菊,wan'shou'ju
万寿菊叶,wan'shou'ju'ye
万丈深,wan'zhang'shen
万丈深茎叶,wan'zhang'shen'jing'ye
王不留行,wang'bu'liu'xing
王瓜,wang'gua
王瓜根,wang'gua'gen
王瓜子,wang'gua'zi
王孙,wang'sun
文蛤,wen'ge
文冠果,wen'guan'guo
文殊兰果,wen'shu'lan'guo
文鳐鱼,wen'yao'yu
文竹,wen'zhu
五瓣寄生,wu'ban'ji'sheng
无斑雨蛙,wu'ban'yu'wa
五瓣子栋,wu'ban'zi'dong
五倍子,wu'bei'zi
五倍子苗,wu'bei'zi'miao
五倍子内虫,wu'bei'zi'nei'chong
乌翅真鲨,wu'chi'zhen'sha
乌翅真鲨翅心,wu'chi'zhen'sha'chi'xin
乌翅真鲨骨,wu'chi'zhen'sha'gu
乌翅真鲨皮,wu'chi'zhen'sha'pi
五除叶,wu'chu'ye
无刺根,wu'ci'gen
乌豆根,wu'dou'gen
无萼齿野豌豆,wu'e'chi'ye'wan'dou
乌饭子,wu'fan'zi
无粉报春,wu'fen'bao'chun
无粉报春根,wu'fen'bao'chun'gen
无粉海仙花,wu'fen'hai'xian'hua
五凤朝阳草,wu'feng'zhao'yang'cao
无缝珠,wu'feng'zhu
五谷虫,wu'gu'chong
乌骨鸡,wu'gu'ji
乌骨藤,wu'gu'teng
无冠克什米尔紫,wu'guan'ke'shi'mi'er'zi
无花果,wu'hua'guo
无花果根,wu'hua'guo'gen
无花果叶,wu'hua'guo'ye
无花果叶扁豆,wu'hua'guo'ye'bian'dou
五花紫金牛,wu'hua'zi'jin'niu
无患树,wu'huan'shu
无患树皮,wu'huan'shu'pi
无患子,wu'huan'zi
无患子皮,wu'huan'zi'pi
无患子叶,wu'huan'zi'ye
无患子中仁,wu'huan'zi'zhong'ren
五加皮,wu'jia'pi
五加叶,wu'jia'ye
五角叶葡萄,wu'jiao'ye'pu'tao
乌金草,wu'jin'cao
无茎龙胆,wu'jing'long'dan
乌桕木根皮,wu'jiu'mu'gen'pi
乌桕叶,wu'jiu'ye
乌桕子,wu'jiu'zi
乌口树,wu'kou'shu
乌榄,wu'lan
乌榄根,wu'lan'gen
乌榄仁,wu'lan'ren
乌榄叶,wu'lan'ye
乌连,wu'lian
乌蔹莓,wu'lian'mei
乌蔹莓五加,wu'lian'mei'wu'jia
五灵脂,wu'ling'zhi
乌柳根,wu'liu'gen
乌龙摆尾,wu'long'bai'wei
五龙根,wu'long'gen
无漏子,wu'lou'zi
五脉绿绒蒿花,wu'mai'lv'rong'hao'hua
五脉叶香豌豆,wu'mai'ye'xiang'wan'dou
无毛漏斗苣苔,wu'mao'lou'dou'ju'tai
乌梅,wu'mei
无名木皮,wu'ming'mu'pi
无名异,wu'ming'yi
无名子,wu'ming'zi
乌木屑,wu'mu'xie
乌奴龙胆,wu'nu'long'dan
乌泡刺根,wu'pao'ci'gen
乌泡刺叶,wu'pao'ci'ye
乌泡刺子,wu'pao'ci'zi
五气朝阳草,wu'qi'zhao'yang'cao
五蕊寄生,wu'rui'ji'sheng
乌骚风,wu'sao'feng
五色枫根,wu'se'feng'gen
五色梅,wu'se'mei
五色梅根,wu'se'mei'gen
五色梅花,wu'se'mei'hua
乌蛇,wu'she
乌蛇胆,wu'she'dan
乌蛇膏,wu'she'gao
乌蛇卵,wu'she'luan
乌蛇皮,wu'she'pi
五室五桠果,wu'shi'wu'ya'guo
乌苏里鼠李,wu'su'li'shu'li
乌头附子尖,wu'tou'fu'zi'jian
五味草,wu'wei'cao
无尾果,wu'wei'guo
五味子,wu'wei'zi
无腺木,wu'xian'mu
五香草,wu'xiang'cao
午香草,wu'xiang'cao
五香藤,wu'xiang'teng
五香血藤,wu'xiang'xue'teng
五星蒿,wu'xing'hao
乌鸦,wu'ya
乌鸦翅羽,wu'ya'chi'yu
乌鸦胆,wu'ya'dan
五桠果,wu'ya'guo
乌鸦头,wu'ya'tou
五眼果树皮,wu'yan'guo'shu'pi
乌药,wu'yao
乌药花,wu'yao'hua
乌药叶,wu'yao'ye
乌药子,wu'yao'zi
五叶黄精,wu'ye'huang'jing
无叶假木贼,wu'ye'jia'mu'zei
五叶泡,wu'ye'pao
五叶山小橘,wu'ye'shan'xiao'ju
五叶山小橘根,wu'ye'shan'xiao'ju'gen
无爷藤,wu'ye'teng
乌鱼刺,wu'yu'ci
乌鱼蛋,wu'yu'dan
五月茶,wu'yue'cha
五月霜,wu'yue'shuang
乌贼鱼腹中墨,wu'zei'yu'fu'zhong'mo
乌贼鱼肉,wu'zei'yu'rou
五爪风,wu'zhao'feng
五爪金龙,wu'zhao'jin'long
五爪金龙花,wu'zhao'jin'long'hua
五爪龙,wu'zhao'long
五指毛桃根,wu'zhi'mao'tao'gen
五指山参,wu'zhi'shan'can
五转七,wu'zhuan'qi
下果藤,xia'guo'teng
下延古当归,xia'yan'gu'dang'gui
下延三叉藏,xia'yan'san'cha'cang
下延沙皮藏,xia'yan'sha'pi'cang
镶边海星,xiang'bian'hai'xing
小百部,xiao'bai'bu
小白撑,xiao'bai'cheng
小白花苏,xiao'bai'hua'su
小败火草,xiao'bai'huo'cao
小白棉,xiao'bai'mian
小白薇,xiao'bai'wei
小苞叶猪屎豆,xiao'bao'ye'zhu'shi'dou
小被单草,xiao'bei'dan'cao
小扁豆,xiao'bian'dou
小檗,xiao'bo
小草,xiao'cao
小草寇,xiao'cao'kou
小草乌,xiao'cao'wu
小巢菜,xiao'chao'cai
小赤麻根,xiao'chi'ma'gen
小大黄,xiao'da'huang
小稻蝗,xiao'dao'huang
小地扭,xiao'di'niu
小顶冰花,xiao'ding'bing'hua
小丁香,xiao'ding'xiang
小二仙草,xiao'er'xian'cao
小肺筋草,xiao'fei'jin'cao
小飞杨草,xiao'fei'yang'cao
小粉,xiao'fen
小蜂斗草,xiao'feng'dou'cao
小凤尾草,xiao'feng'wei'cao
小谷精草,xiao'gu'jing'cao
小果倒地铃,xiao'guo'dao'di'ling
小过江龙,xiao'guo'jiang'long
小过路黄,xiao'guo'lu'huang
小果千金榆,xiao'guo'qian'jin'yu
小果荨麻,xiao'guo'qian'ma
小果菘蓝,xiao'guo'song'lan
小果唐松草,xiao'guo'tang'song'cao
小果唐松草根,xiao'guo'tang'song'cao'gen
小果雪兔子,xiao'guo'xue'tu'zi
小果叶下珠,xiao'guo'ye'xia'zhu
小果皂角,xiao'guo'zao'jiao
小黑升麻,xiao'hei'sheng'ma
小黑药,xiao'hei'yao
小红花,xiao'hong'hua
小红人,xiao'hong'ren
小红参,xiao'hong'shen
小红藤,xiao'hong'teng
小花盾叶薯蓣,xiao'hua'dun'ye'shu'yu
小花龙血树,xiao'hua'long'xue'shu
小画眉草,xiao'hua'mei'cao
小花牡蒿,xiao'hua'mu'hao
小花溲疏,xiao'hua'sou'shu
小花微籽,xiao'hua'wei'zi
小花蜘蛛抱蛋,xiao'hua'zhi'zhu'bao'dan
小黄鱼肠油,xiao'huang'yu'chang'you
小黄鱼肝,xiao'huang'yu'gan
小黄鱼精巢,xiao'huang'yu'jing'chao
小黄鱼鳍,xiao'huang'yu'qi
小灰包,xiao'hui'bao
小蓟,xiao'ji
小箭草,xiao'jian'cao
小接骨丹,xiao'jie'gu'dan
小接筋草,xiao'jie'jin'cao
小筋骨藤,xiao'jin'gu'teng
小金钱草,xiao'jin'qian'cao
小金挖耳,xiao'jin'wa'er
小金樱,xiao'jin'ying
小金樱子,xiao'jin'ying'zi
小九节铃,xiao'jiu'jie'ling
小距紫堇,xiao'ju'zi'jin
小蕨鸡,xiao'jue'ji
小口小金发藓,xiao'kou'xiao'jin'fa'xian
小蜡,xiao'la
小喇叭,xiao'la'ba
小连翘,xiao'lian'qiao
小柳拐,xiao'liu'guai
小龙胆草,xiao'long'dan'cao
小露兜,xiao'lu'dou
小罗伞,xiao'luo'san
小绿刺,xiao'lv'ci
小麦,xiao'mai
小麦麸,xiao'mai'fu
小麦苗,xiao'mai'miao
小毛香,xiao'mao'xiang
小茅香,xiao'mao'xiang
小米草,xiao'mi'cao
小米柴,xiao'mi'chai
小面瓜,xiao'mian'gua
小木通,xiao'mu'tong
小年药,xiao'nian'yao
小牛力,xiao'niu'li
小盘龙参,xiao'pan'long'can
小盘木,xiao'pan'mu
小乔木紫金牛,xiao'qiao'mu'zi'jin'niu
小茄,xiao'qie
小青藤香,xiao'qing'teng'xiang
小青杨,xiao'qing'yang
小人参,xiao'ren'shen
小三棵针,xiao'san'ke'zhen
小三叶耳蕨,xiao'san'ye'er'jue
小杉藻,xiao'shan'zao
小舌菊,xiao'she'ju
小舌紫菀,xiao'she'zi'wan
小伸筋草,xiao'shen'jin'cao
小石韦,xiao'shi'wei
小柿子,xiao'shi'zi
小柿子叶,xiao'shi'zi'ye
小蒜,xiao'suan
小蓑衣藤,xiao'suo'yi'teng
小天蒜,xiao'tian'suan
小通草,xiao'tong'cao
小铜锤,xiao'tong'chui
小万年草,xiao'wan'nian'cao
小乌泡根,xiao'wu'pao'gen
小无心菜,xiao'wu'xin'cai
小蓄,xiao'xu
小血光藤,xiao'xue'guang'teng
小雪人参,xiao'xue'ren'shen
小血藤,xiao'xue'teng
小芽虎耳草,xiao'ya'hu'er'cao
小岩白菜,xiao'yan'bai'cai
小眼子菜,xiao'yan'zi'cai
小羊角兰,xiao'yang'jiao'lan
小羊桃,xiao'yang'tao
小叶爱楠,xiao'ye'ai'nan
小叶薄荷,xiao'ye'bo'he
小叶杜鹃,xiao'ye'du'juan
小叶鹅掌柴,xiao'ye'e'zhang'chai
小叶凤凰尾巴草,xiao'ye'feng'huang'wei'ba'cao
小叶黑柴胡,xiao'ye'hei'chai'hu
小叶金花草,xiao'ye'jin'hua'cao
小叶金老梅,xiao'ye'jin'lao'mei
小叶冷水花,xiao'ye'leng'shui'hua
小叶柳,xiao'ye'liu
小叶密花远志,xiao'ye'mi'hua'yuan'zhi
小叶枇把,xiao'ye'pi'ba
小叶桑,xiao'ye'sang
小叶桑根,xiao'ye'sang'gen
小叶山鸡尾巴草,xiao'ye'shan'ji'wei'ba'cao
小叶蛇总管,xiao'ye'she'zong'guan
小叶石楠,xiao'ye'shi'nan
小叶石梓,xiao'ye'shi'zi
小叶鼠李,xiao'ye'shu'li
小叶双眼龙,xiao'ye'shuang'yan'long
小叶五月茶,xiao'ye'wu'yue'cha
小叶小羽藓,xiao'ye'xiao'yu'xian
小叶星宿菜,xiao'ye'xing'xiu'cai
小叶眼树莲,xiao'ye'yan'shu'lian
小叶野决明,xiao'ye'ye'jue'ming
小叶云实,xiao'ye'yun'shi
小芸木,xiao'yun'mu
小云雀,xiao'yun'que
小皱蝽,xiao'zhou'chun
小棕皮头,xiao'zong'pi'tou
小嘴乌鸦,xiao'zui'wu'ya
蟹壳,xie'ke
蟹爪兰,xie'zhao'lan
蟹爪,xie'zhua
心不干,xin'bu'gan
心胆草,xin'dan'cao
心叶大黄,xin'ye'da'huang
心叶荚根,xin'ye'jia'gen
心叶冷水花,xin'ye'leng'shui'hua
心叶水柏枝,xin'ye'shui'bai'zhi
牙疳药,ya'gan'yao
牙辣茄鱼,ya'la'qie'yu
牙鲆,ya'ping
牙痈草,ya'yong'cao
鼹鼠,yan'shu
一把蔑,yi'ba'mie
一点血,yi'dian'xue
一朵云叶,yi'duo'yun'ye
一箭球,yi'jian'qiu
一颗血,yi'ke'xue
一口红,yi'kou'hong
一年蓬,yi'nian'peng
一匹草,yi'pi'cao
一皮草,yi'pi'cao
一匹绸,yi'pi'chou
一扫光,yi'sao'guang
一碗水,yi'wan'shui
一味药,yi'wei'yao
一味药根,yi'wei'yao'gen
