按份共有,an'fen'gong'you
股份合作企业,gu'fen'he'zuo'qi'ye
股份两合公司,gu'fen'liang'he'gong'si
股份有限公司,gu'fen'you'xian'gong'si
股份招募,gu'fen'zhao'mu
股份转让,gu'fen'zhuan'rang
估价投保,gu'jia'tou'bao
股票盗卖,gu'piao'dao'mai
股票回购,gu'piao'hui'gou
股票认购权,gu'piao'ren'gou'quan
股票帐户,gu'piao'zhang'hu
股票质押,gu'piao'zhi'ya
股票转让,gu'piao'zhuan'rang
股权,gu'quan
股权变更,gu'quan'bian'geng
股权质押,gu'quan'zhi'ya
股权转让,gu'quan'zhuan'rang
股息,gu'xi
股息红利,gu'xi'hong'li
故意,gu'yi
雇佣保证,gu'yong'bao'zheng
雇佣关系,gu'yong'guan'xi
雇佣合同,gu'yong'he'tong
雇佣劳务合同纠纷,gu'yong'lao'wu'he'tong'jiu'fen
雇主责任,gu'zhu'ze'ren
雇主责任险,gu'zhu'ze'ren'xian
挂靠,gua'kao
挂靠经营,gua'kao'jing'ying
挂失,gua'shi
拐卖婚姻的法律效力,guai'mai'hun'yin'de'fa'lv'xiao'li
管货义务,guan'huo'yi'wu
关联企业,guan'lian'qi'ye
关税,guan'shui
关税壁垒,guan'shui'bi'lei
光船租赁合同,guang'chuan'zu'lin'he'tong
广告,guang'gao
广告发布者,guang'gao'fa'bu'zhe
广告欺诈,guang'gao'qi'zha
广告语,guang'gao'yu
广告主,guang'gao'zhu
规避法律,gui'bi'fa'lv
鬼船,gui'chuan
过错,guo'cuo
过错推定,guo'cuo'tui'ding
过错责任,guo'cuo'ze'ren
过错责任原则,guo'cuo'ze'ren'yuan'ze
国际惯例,guo'ji'guan'li
国际海运劳工联盟,guo'ji'hai'yun'lao'gong'lian'meng
国际货物多式联运合同,guo'ji'huo'wu'duo'shi'lian'yun'he'tong
国际货物运输保险,guo'ji'huo'wu'yun'shu'bao'xian
国际技术转让,guo'ji'ji'shu'zhuan'rang
国际清算,guo'ji'qing'suan
国际商事仲裁,guo'ji'shang'shi'zhong'cai
国际收支,guo'ji'shou'zhi
国际习惯做法,guo'ji'xi'guan'zuo'fa
国际许可证协议,guo'ji'xu'ke'zheng'xie'yi
国际支付手段,guo'ji'zhi'fu'shou'duan
国家财产豁免权,guo'jia'cai'chan'huo'mian'quan
国家赔偿程序,guo'jia'pei'chang'cheng'xu
国家赔偿计算标准,guo'jia'pei'chang'ji'suan'biao'zhun
国家赔偿义务机关,guo'jia'pei'chang'yi'wu'ji'guan
国家赔偿责任限制,guo'jia'pei'chang'ze'ren'xian'zhi
国家追偿权,guo'jia'zhui'chang'quan
国库券,guo'ku'quan
国民待遇,guo'min'dai'yu
过失,guo'shi
过失侵权,guo'shi'qin'quan
国营公司,guo'ying'gong'si
国有独资公司,guo'you'du'zi'gong'si
国有化,guo'you'hua
国有土地划拨,guo'you'tu'di'hua'bo
国有土地使用权,guo'you'tu'di'shi'yong'quan
国有资产,guo'you'zi'chan
国有资产产权,guo'you'zi'chan'chan'quan
国债回购,guo'zhai'hui'gou
过帐,guo'zhang
海关,hai'guan
海难救助,hai'nan'jiu'zhu
海上保险合同,hai'shang'bao'xian'he'tong
海上财产,hai'shang'cai'chan
海上财产无主,hai'shang'cai'chan'wu'zhu
海上货物索赔,hai'shang'huo'wu'suo'pei
海上货物运输保险,hai'shang'huo'wu'yun'shu'bao'xian
海上旅客运输合同,hai'shang'lv'ke'yun'shu'he'tong
海事赔偿责任限制,hai'shi'pei'chang'ze'ren'xian'zhi
海事赔偿责任限制基金,hai'shi'pei'chang'ze'ren'xian'zhi'ji'jin
海事强制令,hai'shi'qiang'zhi'ling
海事侵权损害赔偿,hai'shi'qin'quan'sun'hai'pei'chang
海事请求保全,hai'shi'qing'qiu'bao'quan
海事请求权,hai'shi'qing'qiu'quan
海事事故,hai'shi'shi'gu
海事行政,hai'shi'xing'zheng
海事债权登记,hai'shi'zhai'quan'deng'ji
海事债权确权,hai'shi'zhai'quan'que'quan
海事支付令,hai'shi'zhi'fu'ling
海事仲裁裁决,hai'shi'zhong'cai'cai'jue
海域污染,hai'yu'wu'ran
海运单,hai'yun'dan
海运欺诈,hai'yun'qi'zha
航次租船合同,hang'ci'zu'chuan'he'tong
航空运输,hang'kong'yun'shu
航线,hang'xian
行业管理部门规章的效力,hang'ye'guan'li'bu'men'gui'zhang'de'xiao'li
航运惯例,hang'yun'guan'li
合并,he'bing
合并条款,he'bing'tiao'kuan
合法财产,he'fa'cai'chan
合法行为,he'fa'xing'wei
合法占有,he'fa'zhan'you
合伙,he'huo
合伙财产,he'huo'cai'chan
合伙解散,he'huo'jie'san
合伙内部侵权,he'huo'nei'bu'qin'quan
合伙企业,he'huo'qi'ye
合伙协议,he'huo'xie'yi
合伙型联营,he'huo'xing'lian'ying
合伙债务,he'huo'zhai'wu
和解,he'jie
和解合同,he'jie'he'tong
和解协议,he'jie'xie'yi
合力保险,he'li'bao'xian
合理化建议,he'li'hua'jian'yi
合理使用,he'li'shi'yong
合理性原则,he'li'xing'yuan'ze
合立遗嘱,he'li'yi'zhu
合理注意义务,he'li'zhu'yi'yi'wu
合同保险金额,he'tong'bao'xian'jin'e
合同变更,he'tong'bian'geng
合同变更的主体,he'tong'bian'geng'de'zhu'ti
合同成立,he'tong'cheng'li
合同成立要件,he'tong'cheng'li'yao'jian
合同的必要条款,he'tong'de'bi'yao'tiao'kuan
合同的成立,he'tong'de'cheng'li
合同的鉴证,he'tong'de'jian'zheng
合同的解除,he'tong'de'jie'chu
合同的解释,he'tong'de'jie'shi
合同的履行,he'tong'de'lv'xing
合同的签订程序,he'tong'de'qian'ding'cheng'xu
合同的相对性,he'tong'de'xiang'dui'xing
合同的效力,he'tong'de'xiao'li
合同的形式,he'tong'de'xing'shi
合同的中止,he'tong'de'zhong'zhi
合同的终止,he'tong'de'zhong'zhi
合同的主要条款,he'tong'de'zhu'yao'tiao'kuan
合同的转让,he'tong'de'zhuan'rang
合同公证,he'tong'gong'zheng
合同解除,he'tong'jie'chu
合同落空,he'tong'luo'kong
合同履行,he'tong'lv'xing
合同履行不能,he'tong'lv'xing'bu'neng
合同履行地,he'tong'lv'xing'di
合同审批,he'tong'shen'pi
合同生效,he'tong'sheng'xiao
合同无效,he'tong'wu'xiao
合同型联营,he'tong'xing'lian'ying
合同有效,he'tong'you'xiao
合同责任,he'tong'ze'ren
合同诈骗,he'tong'zha'pian
合同主体资格,he'tong'zhu'ti'zi'ge
合同准据法,he'tong'zhun'ju'fa
合意,he'yi
合资建房,he'zi'jian'fang
合资经营,he'zi'jing'ying
合作开发,he'zuo'kai'fa
合作开发合同,he'zuo'kai'fa'he'tong
合作拍摄,he'zuo'pai'she
合作入股,he'zuo'ru'gu
合作协议,he'zuo'xie'yi
合作作品,he'zuo'zuo'pin
后手,hou'shou
后位继承,hou'wei'ji'cheng
户籍,hu'ji
户籍所在地,hu'ji'suo'zai'di
户口,hu'kou
互易合同,hu'yi'he'tong
划线支票,hua'xian'zhi'piao
换房合同,huan'fang'he'tong
环境污染损害赔偿,huan'jing'wu'ran'sun'hai'pei'chang
还款协议,huan'kuan'xie'yi
还盘,huan'pan
黄金条款,huang'jin'tiao'kuan
汇兑,hui'dui
恢复,hui'fu
恢复名誉,hui'fu'ming'yu
恢复原状,hui'fu'yuan'zhuang
回扣,hui'kou
汇票,hui'piao
汇票背书,hui'piao'bei'shu
汇票质押,hui'piao'zhi'ya
回赎权,hui'shu'quan
回头背书,hui'tou'bei'shu
汇校作品,hui'xiao'zuo'pin
回租合同,hui'zu'he'tong
混合过错责任,hun'he'guo'cuo'ze'ren
混合人寿保险,hun'he'ren'shou'bao'xian
混合责任,hun'he'ze'ren
混合赠与,hun'he'zeng'yu
婚前财产,hun'qian'cai'chan
婚生子女,hun'sheng'zi'nv
混同,hun'tong
混淆,hun'xiao
婚姻,hun'yin
婚姻登记,hun'yin'deng'ji
婚姻登记监督管理,hun'yin'deng'ji'jian'du'guan'li
婚姻基础,hun'yin'ji'chu
婚姻自由,hun'yin'zi'you
婚约,hun'yue
货差,huo'cha
获得报酬权,huo'de'bao'chou'quan
货换,huo'huan
货物留置,huo'wu'liu'zhi
货物落空,huo'wu'luo'kong
货物所有权,huo'wu'suo'you'quan
货物所有权转移,huo'wu'suo'you'quan'zhuan'yi
货物运输民事经济法律关系,huo'wu'yun'shu'min'shi'jing'ji'fa'lv'guan'xi
货物质量,huo'wu'zhi'liang
货物重量短损,huo'wu'zhong'liang'duan'sun
货运代理,huo'yun'dai'li
货运代理合同,huo'yun'dai'li'he'tong
货运代理人,huo'yun'dai'li'ren
火灾保险,huo'zai'bao'xian
火灾责任事故认定,huo'zai'ze'ren'shi'gu'ren'ding
基本帐户,ji'ben'zhang'hu
基本专利,ji'ben'zhuan'li
继承,ji'cheng
继承开始,ji'cheng'kai'shi
继承权,ji'cheng'quan
继承权的放弃,ji'cheng'quan'de'fang'qi
继承权的丧失,ji'cheng'quan'de'sang'shi
继承人,ji'cheng'ren
继承顺序,ji'cheng'shun'xu
继承资格的丧失,ji'cheng'zi'ge'de'sang'shi
寄存保管,ji'cun'bao'guan
继父母,ji'fu'mu
机关法人,ji'guan'fa'ren
集合物,ji'he'wu
计划生育,ji'hua'sheng'yu
基金,ji'jin
记名背书,ji'ming'bei'shu
记名公司债,ji'ming'gong'si'zhai
记名提单,ji'ming'ti'dan
记名有价证券,ji'ming'you'jia'zheng'quan
记名支票,ji'ming'zhi'piao
即期信用证,ji'qi'xin'yong'zheng
集市交易税,ji'shi'jiao'yi'shui
即时履行,ji'shi'lv'xing
即时买卖,ji'shi'mai'mai
即时取得,ji'shi'qu'de
寄售合同,ji'shou'he'tong
继受取得,ji'shou'qu'de
技术成果鉴定,ji'shu'cheng'guo'jian'ding
技术的实用性,ji'shu'de'shi'yong'xing
技术方案等同,ji'shu'fang'an'deng'tong
技术服务合同,ji'shu'fu'wu'he'tong
技术合同,ji'shu'he'tong
技术合作开发,ji'shu'he'zuo'kai'fa
技术鉴定,ji'shu'jian'ding
技术诀窍,ji'shu'jue'qiao
技术开发合同,ji'shu'kai'fa'he'tong
技术秘密,ji'shu'mi'mi
技术培训合同,ji'shu'pei'xun'he'tong
技术侵权,ji'shu'qin'quan
技术特征,ji'shu'te'zheng
技术信息,ji'shu'xin'xi
技术转让,ji'shu'zhuan'rang
技术转让合同,ji'shu'zhuan'rang'he'tong
技术咨询,ji'shu'zi'xun
技术咨询合同,ji'shu'zi'xun'he'tong
祭祀权,ji'si'quan
计算机软件侵权,ji'suan'ji'ruan'jian'qin'quan
计算机软件作品著作权,ji'suan'ji'ruan'jian'zuo'pin'zhu'zuo'quan
集体所有权,ji'ti'suo'you'quan
集体所有制,ji'ti'suo'you'zhi
集体提留,ji'ti'ti'liu
集体土地使用权,ji'ti'tu'di'shi'yong'quan
集体土地所有权,ji'ti'tu'di'suo'you'quan
继续履行,ji'xu'lv'xing
寄予售人,ji'yu'shou'ren
积载因数,ji'zai'yin'shu
集装箱,ji'zhuang'xiang
集资,ji'zi
继子女,ji'zi'nv
继子女关系,ji'zi'nv'guan'xi
价格保护,jia'ge'bao'hu
价格术语,jia'ge'shu'yu
加工承揽合同,jia'gong'cheng'lan'he'tong
加工定作合同,jia'gong'ding'zuo'he'tong
加工合同,jia'gong'he'tong
加害给付,jia'hai'gei'fu
加害人过错,jia'hai'ren'guo'cuo
假离婚逃废债务,jia'li'hun'tao'fei'zhai'wu
假冒,jia'mao
假冒商标,jia'mao'shang'biao
假冒商品,jia'mao'shang'pin
假冒他人姓名,jia'mao'ta'ren'xing'ming
假冒他人专利,jia'mao'ta'ren'zhuan'li
假冒伪劣产品,jia'mao'wei'lie'chan'pin
假冒注册商标罪,jia'mao'zhu'ce'shang'biao'zui
加密存款,jia'mi'cun'kuan
家属,jia'shu
加速到期,jia'su'dao'qi
家庭暴力,jia'ting'bao'li
家庭财产,jia'ting'cai'chan
家庭共同财产的分割,jia'ting'gong'tong'cai'chan'de'fen'ge
家庭经营,jia'ting'jing'ying
家庭联产承包责任制,jia'ting'lian'chan'cheng'bao'ze'ren'zhi
兼并,jian'bing
兼并的生效,jian'bing'de'sheng'xiao
建仓,jian'cang
鉴定,jian'ding
监管责任,jian'guan'ze'ren
监护,jian'hu
监护权,jian'hu'quan
监护人,jian'hu'ren
监护责任,jian'hu'ze'ren
间接代理,jian'jie'dai'li
间接反致,jian'jie'fan'zhi
间接损失,jian'jie'sun'shi
间接投资,jian'jie'tou'zi
间接义务,jian'jie'yi'wu
间接因果关系,jian'jie'yin'guo'guan'xi
监理人,jian'li'ren
减轻处罚,jian'qing'chu'fa
建设工程,jian'she'gong'cheng
建设工程合同,jian'she'gong'cheng'he'tong
建设用地,jian'she'yong'di
监事,jian'shi
监事会,jian'shi'hui
检验,jian'yan
鉴证,jian'zheng
兼职收入,jian'zhi'shou'ru
建筑质量,jian'zhu'zhi'liang
奖金,jiang'jin
交错要约,jiao'cuo'yao'yue
交付,jiao'fu
交付货物,jiao'fu'huo'wu
交割凭单,jiao'ge'ping'dan
交互计算,jiao'hu'ji'suan
交货地,jiao'huo'di
交货共同条件,jiao'huo'gong'tong'tiao'jian
交通事故,jiao'tong'shi'gu
交通事故损害赔偿,jiao'tong'shi'gu'sun'hai'pei'chang
交钥匙合同,jiao'yao'shi'he'tong
借仓交易,jie'cang'jiao'yi
解除合同,jie'chu'he'tong
解除婚姻关系,jie'chu'hun'yin'guan'xi
解除收养关系,jie'chu'shou'yang'guan'xi
解除条件,jie'chu'tiao'jian
解除同居关系的财产分割,jie'chu'tong'ju'guan'xi'de'cai'chan'fen'ge
借贷合同,jie'dai'he'tong
阶段性技术成果,jie'duan'xing'ji'shu'cheng'guo
接管,jie'guan
解汇,jie'hui
结婚,jie'hun
结婚彩礼的归属,jie'hun'cai'li'de'gui'shu
结婚的法定条件,jie'hun'de'fa'ding'tiao'jian
借婚姻索取财物,jie'hun'yin'suo'qu'cai'wu
揭开公司面纱,jie'kai'gong'si'mian'sha
借款合同,jie'kuan'he'tong
节目预报类作品的性质,jie'mu'yu'bao'lei'zuo'pin'de'xing'zhi
结清债权债务,jie'qing'zhai'quan'zhai'wu
结算合同,jie'suan'he'tong
借新还旧,jie'xin'hai'jiu
借用,jie'yong
借用合同,jie'yong'he'tong
解约定金,jie'yue'ding'jin
解约日,jie'yue'ri
进出口管制,jin'chu'kou'guan'zhi
紧急避险,jin'ji'bi'xian
进口出版许可证,jin'kou'chu'ban'xu'ke'zheng
进口配额制,jin'kou'pei'e'zhi
进口税,jin'kou'shui
进口替代,jin'kou'ti'dai
进口押金制,jin'kou'ya'jin'zhi
近亲属,jin'qin'shu
金融犯罪,jin'rong'fan'zui
金融票证,jin'rong'piao'zheng
金融凭证,jin'rong'ping'zheng
金融债券,jin'rong'zhai'quan
近似,jin'si
近似商标,jin'si'shang'biao
禁止流通物,jin'zhi'liu'tong'wu
禁止转让背书,jin'zhi'zhuan'rang'bei'shu
净持仓限额控制,jing'chi'cang'xian'e'kong'zhi
经济担保,jing'ji'dan'bao
经纪人,jing'ji'ren
竞买人,jing'mai'ren
精神病人,jing'shen'bing'ren
精神罚,jing'shen'fa
精神赔偿,jing'shen'pei'chang
精神损害,jing'shen'sun'hai
精神损害赔偿,jing'shen'sun'hai'pei'chang
精神损失费,jing'shen'sun'shi'fei
竞业禁止,jing'ye'jin'zhi
竞业限制,jing'ye'xian'zhi
经营典当业务资格,jing'ying'dian'dang'ye'wu'zi'ge
经营范围,jing'ying'fan'wei
经营权,jing'ying'quan
经营权租赁,jing'ying'quan'zu'lin
经营信息,jing'ying'xin'xi
经营许可证,jing'ying'xu'ke'zheng
经营自主权,jing'ying'zi'zhu'quan
竞争法律关系,jing'zheng'fa'lv'guan'xi
就高赔偿的原则,jiu'gao'pei'chang'de'yuan'ze
救济权,jiu'ji'quan
救助报酬,jiu'zhu'bao'chou
剧本上演合同,ju'ben'shang'yan'he'tong
居间,ju'jian
居间合同,ju'jian'he'tong
居间人,ju'jian'ren
居间行为,ju'jian'xing'wei
居间资格,ju'jian'zi'ge
拒绝承付,ju'jue'cheng'fu
拒绝证书,ju'jue'zheng'shu
居民委员会,ju'min'wei'yuan'hui
居所,ju'suo
居住权,ju'zhu'quan
捐赠,juan'zeng
捐助,juan'zhu
绝对权,jue'dui'quan
绝卖,jue'mai
军婚,jun'hun
开标,kai'biao
开采权投资,kai'cai'quan'tou'zi
开放公司,kai'fang'gong'si
勘察设计工程承包,kan'cha'she'ji'gong'cheng'cheng'bao
抗辩权,kang'bian'quan
可保利益,ke'bao'li'yi
可背书转让的票据,ke'bei'shu'zhuan'rang'de'piao'ju
可变更或撤销的民事行为,ke'bian'geng'huo'che'xiao'de'min'shi'xing'wei
可撤销合同,ke'che'xiao'he'tong
可得利益损失,ke'de'li'yi'sun'shi
可分物,ke'fen'wu
可分之债,ke'fen'zhi'zhai
科技成果权,ke'ji'cheng'guo'quan
可期待利益,ke'qi'dai'li'yi
可诉性,ke'su'xing
可消耗物,ke'xiao'hao'wu
可选择性指定交易制度,ke'xuan'ze'xing'zhi'ding'jiao'yi'zhi'du
可预见性损害,ke'yu'jian'xing'sun'hai
肯定条件,ken'ding'tiao'jian
空白背书,kong'bai'bei'shu
空白支票,kong'bai'zhi'piao
控股公司,kong'gu'gong'si
空壳公司,kong'ke'gong'si
空头提单,kong'tou'ti'dan
空头支票,kong'tou'zhi'piao
空转回购,kong'zhuan'hui'gou
扣船,kou'chuan
扣贷,kou'dai
口头合同,kou'tou'he'tong
口头委托,kou'tou'wei'tuo
口头委托协议,kou'tou'wei'tuo'xie'yi
口头遗嘱,kou'tou'yi'zhu
扣押,kou'ya
扣押船舶,kou'ya'chuan'bo
扣押船载货物,kou'ya'chuan'zai'huo'wu
跨国公司,kua'guo'gong'si
亏舱费,kui'cang'fei
来料加工,lai'liao'jia'gong
揽储人,lan'chu'ren
浪损,lang'sun
劳动报酬,lao'dong'bao'chou
劳动保险,lao'dong'bao'xian
劳动法律关系,lao'dong'fa'lv'guan'xi
劳动合同,lao'dong'he'tong
劳动合同的变更,lao'dong'he'tong'de'bian'geng
劳动合同的解除,lao'dong'he'tong'de'jie'chu
劳动合同的中止,lao'dong'he'tong'de'zhong'zhi
劳动合同的终止,lao'dong'he'tong'de'zhong'zhi
劳动试用期,lao'dong'shi'yong'qi
劳动争议,lao'dong'zheng'yi
劳动仲裁,lao'dong'zhong'cai
劳务报酬,lao'wu'bao'chou
劳务合同,lao'wu'he'tong
劳务纠纷,lao'wu'jiu'fen
劳务输出,lao'wu'shu'chu
类似商品,lei'si'shang'pin
类推适用,lei'tui'shi'yong
离岸价格,li'an'jia'ge
利害关系,li'hai'guan'xi
利害关系人,li'hai'guan'xi'ren
离婚,li'hun
离婚程序,li'hun'cheng'xu
离婚的法定条件,li'hun'de'fa'ding'tiao'jian
离婚的效力,li'hun'de'xiao'li
离婚条件,li'hun'tiao'jian
离婚协议,li'hun'xie'yi
利率,li'lv
理赔,li'pei
利润分配,li'run'fen'pei
利润留成,li'run'liu'cheng
历史遗留问题,li'shi'yi'liu'wen'ti
理算,li'suan
理算规则,li'suan'gui'ze
利息,li'xi
理智投资者,li'zhi'tou'zi'zhe
连带保证责任,lian'dai'bao'zheng'ze'ren
连带赔偿责任,lian'dai'pei'chang'ze'ren
连带责任,lian'dai'ze'ren
连带债权,lian'dai'zhai'quan
连带债务,lian'dai'zhai'wu
联合运输合同,lian'he'yun'shu'he'tong
联合制片人,lian'he'zhi'pian'ren
连环购销合同,lian'huan'gou'xiao'he'tong
连环航次租船合同,lian'huan'hang'ci'zu'chuan'he'tong
链接,lian'jie
连续工龄,lian'xu'gong'ling
联营,lian'ying
联营合同,lian'ying'he'tong
联营协议,lian'ying'xie'yi
联运协作关系,lian'yun'xie'zuo'guan'xi
两合公司,liang'he'gong'si
林地使用权,lin'di'shi'yong'quan
邻接权,lin'jie'quan
林木采伐权,lin'mu'cai'fa'quan
林木承包合同,lin'mu'cheng'bao'he'tong
临时保护期,lin'shi'bao'hu'qi
临时股东会,lin'shi'gu'dong'hui
临时营业执照,lin'shi'ying'ye'zhi'zhao
领货凭证,ling'huo'ping'zheng
流通物,liu'tong'wu
留置,liu'zhi
留置权,liu'zhi'quan
陆空保险,lu'kong'bao'xian
录音遗嘱,lu'yin'yi'zhu
录音制品,lu'yin'zhi'pin
旅客运输合同,lv'ke'yun'shu'he'tong
律师代理费,lv'shi'dai'li'fei
履行不能,lv'xing'bu'neng
履行迟延,lv'xing'chi'yan
履行地,lv'xing'di
履行法定职责,lv'xing'fa'ding'zhi'ze
履行责任,lv'xing'ze'ren
旅游合同,lv'you'he'tong
埋藏物,mai'cang'wu
买回权,mai'hui'quan
买卖不破租赁,mai'mai'bu'po'zu'lin
买卖合同,mai'mai'he'tong
买卖婚姻,mai'mai'hun'yin
买卖行为瑕疵,mai'mai'xing'wei'xia'ci
冒领存款,mao'ling'cun'kuan
冒用,mao'yong
美术作品,mei'shu'zuo'pin
美术作品独创性,mei'shu'zuo'pin'du'chuang'xing
秘密合伙人,mi'mi'he'huo'ren
秘密性,mi'mi'xing
免除,mian'chu
免税,mian'shui
免责条款,mian'ze'tiao'kuan
灭失,mie'shi
民间借贷,min'jian'jie'dai
民事无效行为,min'shi'wu'xiao'xing'wei
民事责任,min'shi'ze'ren
民事制裁,min'shi'zhi'cai
民事主体,min'shi'zhu'ti
民事主体资格,min'shi'zhu'ti'zi'ge
名称权,ming'cheng'quan
明示担保,ming'shi'dan'bao
明示合伙,ming'shi'he'huo
名为联营实为借贷,ming'wei'lian'ying'shi'wei'jie'dai
名义合伙人,ming'yi'he'huo'ren
名义价格,ming'yi'jia'ge
名优标志,ming'you'biao'zhi
名优产品荣誉权,ming'you'chan'pin'rong'yu'quan
名誉权,ming'yu'quan
明知,ming'zhi
默认,mo'ren
默示,mo'shi
默示担保,mo'shi'dan'bao
没收,mo'shou
母公司,mu'gong'si
募集设立,mu'ji'she'li
牧业税,mu'ye'shui
纳税人,na'shui'ren
男女平等,nan'nv'ping'deng
男女平等财产权利,nan'nv'ping'deng'cai'chan'quan'li
内部行政合同,nei'bu'xing'zheng'he'tong
内部职工股,nei'bu'zhi'gong'gu
内部职工股私下交易,nei'bu'zhi'gong'gu'si'xia'jiao'yi
内国法,nei'guo'fa
内幕交易,nei'mu'jiao'yi
内容错误,nei'rong'cuo'wu
内退,nei'tui
能源供应合同,neng'yuan'gong'ying'he'tong
能源运输合同,neng'yuan'yun'shu'he'tong
拟制血亲,ni'zhi'xue'qin
年度报告,nian'du'bao'gao
农村承包经营户,nong'cun'cheng'bao'jing'ying'hu
农村合作基金会,nong'cun'he'zuo'ji'jin'hui
农副产品收购合同,nong'fu'chan'pin'shou'gou'he'tong
农活承包,nong'huo'cheng'bao
农林特产税,nong'lin'te'chan'shui
农业税,nong'ye'shui
农业责任承包合同,nong'ye'ze'ren'cheng'bao'he'tong
诺成合同,nuo'cheng'he'tong
诺成性不要式合同,nuo'cheng'xing'bu'yao'shi'he'tong
女职工劳动保护,nv'zhi'gong'lao'dong'bao'hu
偶然因果关系,ou'ran'yin'guo'guan'xi
排除妨碍,pai'chu'fang'ai
拍卖,pai'mai
拍卖合同,pai'mai'he'tong
拍卖商,pai'mai'shang
旁系血亲,pang'xi'xue'qin
抛售,pao'shou
赔偿标准,pei'chang'biao'zhun
赔偿担保,pei'chang'dan'bao
赔偿范围,pei'chang'fan'wei
赔偿金,pei'chang'jin
赔偿请求人,pei'chang'qing'qiu'ren
赔偿数额,pei'chang'shu'e
赔偿损失,pei'chang'sun'shi
赔偿协议,pei'chang'xie'yi
赔偿义务,pei'chang'yi'wu
赔偿责任,pei'chang'ze'ren
赔偿责任限制,pei'chang'ze'ren'xian'zhi
配股除权,pei'gu'chu'quan
赔礼道歉,pei'li'dao'qian
配偶,pei'ou
培训费,pei'xun'fei
培养合同,pei'yang'he'tong
盆景作品,pen'jing'zuo'pin
碰撞责任,peng'zhuang'ze'ren
票据,piao'ju
票据保证,piao'ju'bao'zheng
票据变造,piao'ju'bian'zao
票据到期日,piao'ju'dao'qi'ri
票据的丧失,piao'ju'de'sang'shi
票据的伪造,piao'ju'de'wei'zao
票据关系,piao'ju'guan'xi
票据基础关系,piao'ju'ji'chu'guan'xi
票据抗辩,piao'ju'kang'bian
票据能力,piao'ju'neng'li
票据权利,piao'ju'quan'li
票据权利的善意取得,piao'ju'quan'li'de'shan'yi'qu'de
票据涂销,piao'ju'tu'xiao
票据退票,piao'ju'tui'piao
票据文义性,piao'ju'wen'yi'xing
票据无因性,piao'ju'wu'yin'xing
票据形式要件,piao'ju'xing'shi'yao'jian
票据行为,piao'ju'xing'wei
票据行为代理,piao'ju'xing'wei'dai'li
票据遗失,piao'ju'yi'shi
票据原因,piao'ju'yuan'yin
票据原因关系,piao'ju'yuan'yin'guan'xi
票据约定,piao'ju'yue'ding
票据责任,piao'ju'ze'ren
票据粘单,piao'ju'zhan'dan
票据资金,piao'ju'zi'jin
漂流物,piao'liu'wu
平安险,ping'an'xian
平仓,ping'cang
平等权,ping'deng'quan
平等自愿,ping'deng'zi'yuan
破产,po'chan
破产财产,po'chan'cai'chan
破产财产分配,po'chan'cai'chan'fen'pei
破产财团,po'chan'cai'tuan
破产程序,po'chan'cheng'xu
破产费用,po'chan'fei'yong
破产管理人,po'chan'guan'li'ren
破产界限,po'chan'jie'xian
破产清算,po'chan'qing'suan
破产申请,po'chan'shen'qing
破产条件,po'chan'tiao'jian
破产宣告,po'chan'xuan'gao
破产债权,po'chan'zhai'quan
破产债务,po'chan'zhai'wu
破产债务人,po'chan'zhai'wu'ren
破产终结,po'chan'zhong'jie
破损家庭,po'sun'jia'ting
普通股,pu'tong'gu
普通许可,pu'tong'xu'ke
普通许可使用,pu'tong'xu'ke'shi'yong
期后背书,qi'hou'bei'shu
期货交易,qi'huo'jiao'yi
期货经纪资格,qi'huo'jing'ji'zi'ge
期票,qi'piao
期权交易,qi'quan'jiao'yi
期日,qi'ri
起算点,qi'suan'dian
期限,qi'xian
企业产权界定,qi'ye'chan'quan'jie'ding
企业法人,qi'ye'fa'ren
企业法人名称的变更,qi'ye'fa'ren'ming'cheng'de'bian'geng
企业分立,qi'ye'fen'li
企业分立的债务承担,qi'ye'fen'li'de'zhai'wu'cheng'dan
企业改制,qi'ye'gai'zhi
企业改制的债务承担,qi'ye'gai'zhi'de'zhai'wu'cheng'dan
企业挂靠,qi'ye'gua'kao
企业合并,qi'ye'he'bing
企业合并的债务承担,qi'ye'he'bing'de'zhai'wu'cheng'dan
企业基金,qi'ye'ji'jin
企业集团,qi'ye'ji'tuan
企业兼并,qi'ye'jian'bing
企业兼并的债务承担,qi'ye'jian'bing'de'zhai'wu'cheng'dan
企业经营自主权,qi'ye'jing'ying'zi'zhu'quan
企业名称,qi'ye'ming'cheng
企业名称权,qi'ye'ming'cheng'quan
企业清算的债务承担,qi'ye'qing'suan'de'zhai'wu'cheng'dan
企业债券,qi'ye'zhai'quan
企业转让,qi'ye'zhuan'rang
企业字号,qi'ye'zi'hao
企业租赁,qi'ye'zu'lin
契约型基金,qi'yue'xing'ji'jin
欺诈,qi'zha
欺诈例外,qi'zha'li'wai
前手,qian'shou
签章,qian'zhang
前置程序,qian'zhi'cheng'xu
强迫购买,qiang'po'gou'mai
强行平仓,qiang'xing'ping'cang
强制保险,qiang'zhi'bao'xian
强制继续履行,qiang'zhi'ji'xu'lv'xing
强制交易,qiang'zhi'jiao'yi
强制卖船,qiang'zhi'mai'chuan
强制人身保险,qiang'zhi'ren'shen'bao'xian
强制销毁,qiang'zhi'xiao'hui
强制卸货,qiang'zhi'xie'huo
强制性规定,qiang'zhi'xing'gui'ding
强制性期限,qiang'zhi'xing'qi'xian
