阿达帕林凝胶,a'da'pa'lin'ning'jiao
香砂养胃丸,xiang'sha'yang'wei'wan
硝苯地平缓释片,xiao'ben'di'ping'huan'shi'pian
小柴胡颗粒,xiao'chai'hu'ke'li
小儿氨氛黄那敏颗粒,xiao'er'an'fen'huang'na'min'ke'li
小儿氨酚黄那敏颗粒,xiao'er'an'fen'huang'na'min'ke'li
小儿复方氨酚烷胺片,xiao'er'fu'fang'an'fen'wan'an'pian
小儿化食口服液,xiao'er'hua'shi'kou'fu'ye
小儿解感颗粒,xiao'er'jie'gan'ke'li
小儿解感片,xiao'er'jie'gan'pian
小儿麻甘颗粒,xiao'er'ma'gan'ke'li
小儿暖脐膏,xiao'er'nuan'qi'gao
小儿七星茶颗粒,xiao'er'qi'xing'cha'ke'li
小儿清肺化痰颗粒,xiao'er'qing'fei'hua'tan'ke'li
小儿清热止咳颗粒,xiao'er'qing're'zhi'ke'ke'li
小儿热速清颗粒,xiao'er're'su'qing'ke'li
小儿喜食糖浆,xiao'er'xi'shi'tang'jiang
小儿消咳片,xiao'er'xiao'ke'pian
硝呋太尔制霉素阴道软胶囊,xiao'fu'tai'er'zhi'mei'su'yin'dao'ruan'jiao'nang
小金丸,xiao'jin'wan
消咳胶囊,xiao'ke'jiao'nang
消朦片,xiao'meng'pian
消食健胃片,xiao'shi'jian'wei'pian
消食养胃片,xiao'shi'yang'wei'pian
消栓通络片,xiao'shuan'tong'luo'pian
硝酸咪康唑乳膏,xiao'suan'mi'kang'zuo'ru'gao
硝酸益康唑乳膏,xiao'suan'yi'kang'zuo'ru'gao
消旋卡多曲颗粒,xiao'xuan'ka'duo'qu'ke'li
消炎利胆片,xiao'yan'li'dan'pian
消炎镇痛膏,xiao'yan'zhen'tong'gao
消炎止咳片,xiao'yan'zhi'ke'pian
逍遥丸,xiao'yao'wan
血塞通滴丸,xie'sai'tong'di'wan
血塞通分散片,xie'sai'tong'fen'san'pian
缬沙坦分散片,xie'sha'tan'fen'san'pian
缬沙坦氢氯噻嗪片,xie'sha'tan'qing'lv'sai'qin'pian
心安胶囊,xin'an'jiao'nang
辛伐他汀片,xin'fa'ta'ting'pian
心可宁胶囊,xin'ke'ning'jiao'nang
心可舒胶囊,xin'ke'shu'jiao'nang
心律宁片,xin'lv'ning'pian
新霉素氟轻松乳膏,xin'mei'su'fu'qing'song'ru'gao
心脑康胶囊,xin'nao'kang'jiao'nang
心脑清软胶囊,xin'nao'qing'ruan'jiao'nang
心脑欣片,xin'nao'xin'pian
醒脑再造胶囊,xing'nao'zai'zao'jiao'nang
熊胆粉滴眼液,xiong'dan'fen'di'yan'ye
熊胆痔疮膏,xiong'dan'zhi'chuang'gao
玄麦甘桔颗粒,xuan'mai'gan'ju'ke'li
癣药膏,xuan'yao'gao
血府逐瘀颗粒,xue'fu'zhu'yu'ke'li
雪梨膏,xue'li'gao
荨麻疹丸,xun'ma'zhen'wan
牙痛药水,ya'tong'yao'shui
炎立消胶囊,yan'li'xiao'jiao'nang
盐酸氨基葡萄糖胶囊,yan'suan'an'ji'pu'tao'tang'jiao'nang
盐酸氨溴索分散片,yan'suan'an'xiu'suo'fen'san'pian
盐酸氨溴索缓释片,yan'suan'an'xiu'suo'huan'shi'pian
盐酸氨溴索颗粒,yan'suan'an'xiu'suo'ke'li
盐酸氨溴索口服溶液,yan'suan'an'xiu'suo'kou'fu'rong'ye
盐酸贝那普利片,yan'suan'bei'na'pu'li'pian
盐酸丙卡特罗口服液,yan'suan'bing'ka'te'luo'kou'fu'ye
盐酸多西环素片,yan'suan'duo'xi'huan'su'pian
盐酸二甲双胍缓释片,yan'suan'er'jia'shuang'gua'huan'shi'pian
盐酸二氧丙嗪颗粒,yan'suan'er'yang'bing'qin'ke'li
盐酸伐昔洛韦片,yan'suan'fa'xi'luo'wei'pian
盐酸氟桂利嗪胶囊,yan'suan'fu'gui'li'qin'jiao'nang
盐酸洛美沙星滴眼液,yan'suan'luo'mei'sha'xing'di'yan'ye
盐酸曲美他嗪片,yan'suan'qu'mei'ta'qin'pian
盐酸特比萘芬片,yan'suan'te'bi'nai'fen'pian
盐酸特比奈芬乳膏,yan'suan'te'bi'nai'fen'ru'gao
盐酸特拉唑嗪片,yan'suan'te'la'zuo'qin'pian
盐酸西替利嗪分散片,yan'suan'xi'ti'li'qin'fen'san'pian
盐酸小檗碱片,yan'suan'xiao'bo'jian'pian
盐酸左西替利嗪片,yan'suan'zuo'xi'ti'li'qin'pian
盐酸左氧氟沙星滴眼液,yan'suan'zuo'yang'fu'sha'xing'di'yan'ye
盐酸左氧氟沙星片,yan'suan'zuo'yang'fu'sha'xing'pian
咽炎含片,yan'yan'han'pian
咽炎片,yan'yan'pian
氧氟沙星滴耳液,yang'fu'sha'xing'di'er'ye
氧氟沙星滴眼液,yang'fu'sha'xing'di'yan'ye
氧氟沙星凝胶,yang'fu'sha'xing'ning'jiao
养胃舒软胶囊,yang'wei'shu'ruan'jiao'nang
养血安神颗粒哈药,yang'xue'an'shen'ke'li'ha'yao
养血安神片,yang'xue'an'shen'pian
养阴清肺丸,yang'yin'qing'fei'wan
养阴镇静片,yang'yin'zhen'jing'pian
腰腿痛丸,yao'tui'tong'wan
腰息痛胶囊,yao'xi'tong'jiao'nang
异丙嗪胆汁片,yi'bing'qin'dan'zhi'pian
益脉康胶囊,yi'mai'kang'jiao'nang
益母草颗粒,yi'mu'cao'ke'li
益脑宁片,yi'nao'ning'pian
益气养血口服液,yi'qi'yang'xue'kou'fu'ye
一清颗粒,yi'qing'ke'li
一清软胶囊,yi'qing'ruan'jiao'nang
依托红霉素颗粒,yi'tuo'hong'mei'su'ke'li
益心酮滴丸,yi'xin'tong'di'wan
益心酮分散片,yi'xin'tong'fen'san'pian
抑眩宁胶囊,yi'xuan'ning'jiao'nang
吲达帕胺缓释片,yin'da'pa'an'huan'shi'pian
吲达帕胺片,yin'da'pa'an'pian
吲哚美辛三七冰片栓,yin'duo'mei'xin'san'qi'bing'pian'shuan
银黄颗粒,yin'huang'ke'li
银黄片,yin'huang'pian
蚓激酶肠溶胶囊,yin'ji'mei'chang'rong'jiao'nang
银杏叶分散片,yin'xing'ye'fen'san'pian
银杏叶片,yin'xing'ye'pian
引阳索,yin'yang'suo
愈风宁心片,yu'feng'ning'xin'pian
元胡止痛片,yuan'hu'zhi'tong'pian
云南白药,yun'nan'bai'yao
云南白药创可贴,yun'nan'bai'yao'chuang'ke'tie
云南白药膏,yun'nan'bai'yao'gao
云南白药胶囊,yun'nan'bai'yao'jiao'nang
云南白药痔疮膏,yun'nan'bai'yao'zhi'chuang'gao
珍菊降压片,zhen'ju'jiang'ya'pian
贞芪扶正颗粒,zhen'qi'fu'zheng'ke'li
振源片,zhen'yuan'pian
珍珠层粉,zhen'zhu'ceng'fen
珍珠明目滴眼液,zhen'zhu'ming'mu'di'yan'ye
知柏地黄丸,zhi'bai'di'huang'wan
脂脉康胶囊,zhi'mai'kang'jiao'nang
制霉素阴道栓,zhi'mei'su'yin'dao'shuan
止嗽立效丸,zhi'sou'li'xiao'wan
止嗽青果丸,zhi'sou'qing'guo'wan
痔速宁片,zhi'su'ning'pian
止痛化癓片,zhi'tong'hua'wei'pian
栀子金花丸,zhi'zi'jin'hua'wan
肿节风胶囊,zhong'jie'feng'jiao'nang
众生胶囊,zhong'sheng'jiao'nang
朱砂安神丸,zhu'sha'an'shen'wan
珠芽蓼止泻颗粒,zhu'ya'liao'zhi'xie'ke'li
转移因子胶囊,zhuan'yi'yin'zi'jiao'nang
转移因子口服溶液,zhuan'yi'yin'zi'kou'fu'rong'ye
壮腰健肾口服液,zhuang'yao'jian'shen'kou'fu'ye
壮腰健肾片,zhuang'yao'jian'shen'pian
壮腰健肾丸,zhuang'yao'jian'shen'wan
紫蔻丸,zi'kou'wan
足光散,zu'guang'san
左羟丙哌嗪颗粒,zuo'qiang'bing'pai'qin'ke'li
左炔诺孕酮分散片,zuo'que'nuo'yun'tong'fen'san'pian
左炔诺孕酮片,zuo'que'nuo'yun'tong'pian
