阿里山大酒店,a'li'shan'da'jiu'dian
人民路前进街口,ren'min'lu'qian'jin'jie'kou
人民路铁西街口,ren'min'lu'tie'xi'jie'kou
荣耀心血管医院,rong'yao'xin'xue'guan'yi'yuan
肉联厂,rou'lian'chang
三堤村,san'di'cun
三局家属院,san'ju'jia'shu'yuan
三局建筑公司,san'ju'jian'zhu'gong'si
三局六处,san'ju'liu'chu
三陵乡,san'ling'xiang
三龙超市,san'long'chao'shi
三龙针纺城,san'long'zhen'fang'cheng
三十一处,san'shi'yi'chu
三十一中,san'shi'yi'zhong
三医院,san'yi'yuan
三中,san'zhong
沙河村,sha'he'cun
沙口,sha'kou
尚壁镇,shang'bi'zhen
商城,shang'cheng
商业局医院,shang'ye'ju'yi'yuan
烧伤医院,shao'shang'yi'yuan
设备厂家属院,she'bei'chang'jia'shu'yuan
神农高科园,shen'nong'gao'ke'yuan
圣井岗,sheng'jing'gang
圣井岗村口,sheng'jing'gang'cun'kou
生态园,sheng'tai'yuan
胜营村,sheng'ying'cun
十八中,shi'ba'zhong
市博物馆,shi'bo'wu'guan
市场街口,shi'chang'jie'kou
史村,shi'cun
市党校,shi'dang'xiao
市第一医院,shi'di'yi'yi'yuan
市二十八中学,shi'er'shi'ba'zhong'xue
市二十七中学,shi'er'shi'qi'zhong'xue
市二十三中,shi'er'shi'san'zhong
市二十五中学,shi'er'shi'wu'zhong'xue
市二医院,shi'er'yi'yuan
市二招,shi'er'zhao
市二中北校区,shi'er'zhong'bei'xiao'qu
师范学院,shi'fan'xue'yuan
师范专科学校,shi'fan'zhuan'ke'xue'xiao
市工贸学校,shi'gong'mao'xue'xiao
事故科,shi'gu'ke
世纪大街北仓路口,shi'ji'da'jie'bei'cang'lu'kou
世纪大街北头,shi'ji'da'jie'bei'tou
世纪花园,shi'ji'hua'yuan
世纪家园装饰城,shi'ji'jia'yuan'zhuang'shi'cheng
市技术监督局,shi'ji'shu'jian'du'ju
市交通局,shi'jiao'tong'ju
市教育局,shi'jiao'yu'ju
市劳教所,shi'lao'jiao'suo
视明眼镜公司,shi'ming'yan'jing'gong'si
石坡,shi'po
石桥村,shi'qiao'cun
石桥新村,shi'qiao'xin'cun
市人大,shi'ren'da
市三十一中学,shi'san'shi'yi'zhong'xue
市三中学,shi'san'zhong'xue
市十中学,shi'shi'zhong'xue
十塑,shi'su
市委,shi'wei
市卫生局,shi'wei'sheng'ju
市五医院,shi'wu'yi'yuan
市压力容器厂,shi'ya'li'rong'qi'chang
实验小学,shi'yan'xiao'xue
师窑,shi'yao
市一医院,shi'yi'yi'yuan
市医院,shi'yi'yuan
市一招,shi'yi'zhao
十一中,shi'yi'zhong
市一中,shi'yi'zhong
市一中学,shi'yi'zhong'xue
石油公司,shi'you'gong'si
市游泳池,shi'you'yong'chi
市政府,shi'zheng'fu
市政公司,shi'zheng'gong'si
市政管理处,shi'zheng'guan'li'chu
十中,shi'zhong
淑村,shu'cun
淑村矿,shu'cun'kuang
淑村桥,shu'cun'qiao
曙光街丛台路口,shu'guang'jie'cong'tai'lu'kou
曙光街人民路口,shu'guang'jie'ren'min'lu'kou
曙光街展览路口,shu'guang'jie'zhan'lan'lu'kou
曙光路口,shu'guang'lu'kou
曙光路人民路口,shu'guang'lu'ren'min'lu'kou
曙光路小学,shu'guang'lu'xiao'xue
曙光路展览路口,shu'guang'lu'zhan'lan'lu'kou
双马,shuang'ma
水泵厂,shui'beng'chang
水厂南路中华街口,shui'chang'nan'lu'zhong'hua'jie'kou
水城别苑,shui'cheng'bie'yuan
水电学院,shui'dian'xue'yuan
水泥厂,shui'ni'chang
水泥制品厂,shui'ni'zhi'pin'chang
水文队,shui'wen'dui
水榭花园,shui'xie'hua'yuan
丝绸厂,si'chou'chang
四公司,si'gong'si
四季青信用社,si'ji'qing'xin'yong'she
四留固,si'liu'gu
思特利,si'te'li
宋张策,song'zhang'ce
宋张策邯县七中,song'zhang'ce'han'xian'qi'zhong
苏曹,su'cao
苏曹中街,su'cao'zhong'jie
苏黄路口,su'huang'lu'kou
孙庄,sun'zhuang
太极广场,tai'ji'guang'chang
太极酒厂,tai'ji'jiu'chang
探矿厂,tan'kuang'chang
糖酒公司,tang'jiu'gong'si
陶二,tao'er
陶二矿,tao'er'kuang
陶一矿,tao'yi'kuang
特凿处,te'zao'chu
腾达花园,teng'da'hua'yuan
体育场,ti'yu'chang
天宏制品厂,tian'hong'zhi'pin'chang
天客隆超市,tian'ke'long'chao'shi
天立公司,tian'li'gong'si
天民购物中心,tian'min'gou'wu'zhong'xin
天台山口,tian'tai'shan'kou
天下第一龙,tian'xia'di'yi'long
铁路大院,tie'lu'da'yuan
铁路医院,tie'lu'yi'yuan
铁三局医院,tie'san'ju'yi'yuan
铁西大街人民路口,tie'xi'da'jie'ren'min'lu'kou
通达花园,tong'da'hua'yuan
通达名园,tong'da'ming'yuan
同仁医药公司,tong'ren'yi'yao'gong'si
同仁医院,tong'ren'yi'yuan
通山路,tong'shan'lu
图书馆,tu'shu'guan
屯庄,tun'zhuang
屯庄村,tun'zhuang'cun
万达,wan'da
万达商厦,wan'da'shang'sha
万隆仓五交化市场,wan'long'cang'wu'jiao'hua'shi'chang
王郎小学,wang'lang'xiao'xue
王朗新村,wang'lang'xin'cun
王郎新村,wang'lang'xin'cun
望岭路口,wang'ling'lu'kou
望岭路新兴街口,wang'ling'lu'xin'xing'jie'kou
王彭留村,wang'peng'liu'cun
王庄,wang'zhuang
魏峰路口,wei'feng'lu'kou
卫生院,wei'sheng'yuan
魏县汽车站,wei'xian'qi'che'zhan
魏县县标,wei'xian'xian'biao
蔚庄小区,wei'zhuang'xiao'qu
文化宫,wen'hua'gong
武安汽车站,wu'an'qi'che'zhan
五方宾馆,wu'fang'bin'guan
无缝钢管厂,wu'feng'gang'guan'chang
武吉路口,wu'ji'lu'kou
五矿,wu'kuang
五里铺,wu'li'pu
五里铺村北,wu'li'pu'cun'bei
五七钢厂,wu'qi'gang'chang
五医院,wu'yi'yuan
五洲学校,wu'zhou'xue'xiao
吴庄,wu'zhuang
物资学校,wu'zi'xue'xiao
物资中专学校,wu'zi'zhong'zhuan'xue'xiao
西长远,xi'chang'yuan
西大屯,xi'da'tun
西店子,xi'dian'zi
西杜堡,xi'du'bao
西方村,xi'fang'cun
西高河,xi'gao'he
西街路口,xi'jie'lu'kou
西井头,xi'jing'tou
西军师堡,xi'jun'shi'bao
西军师堡村口,xi'jun'shi'bao'cun'kou
西客站,xi'ke'zhan
西马堤村,xi'ma'di'cun
西南庄,xi'nan'zhuang
西前坊表,xi'qian'fang'biao
西山公园,xi'shan'gong'yuan
西尚壁,xi'shang'bi
西商城路口,xi'shang'cheng'lu'kou
西召里,xi'zhao'li
西佐,xi'zuo
夏庄,xia'zhuang
现代丽人医院,xian'dai'li'ren'yi'yuan
县党校,xian'dang'xiao
县交通局,xian'jiao'tong'ju
县医院,xian'yi'yuan
县一中,xian'yi'zhong
县政府,xian'zheng'fu
县职教中心,xian'zhi'jiao'zhong'xin
县中医院,xian'zhong'yi'yuan
向阳路光明街口,xiang'yang'lu'guang'ming'jie'kou
向阳路口,xiang'yang'lu'kou
小北堡,xiao'bei'bao
消防指挥中心,xiao'fang'zhi'hui'zhong'xin
晓峰口腔门诊,xiao'feng'kou'qiang'men'zhen
晓峰口腔诊所,xiao'feng'kou'qiang'zhen'suo
肖河村口,xiao'he'cun'kou
小康堡,xiao'kang'bao
小狼营,xiao'lang'ying
小平营,xiao'ping'ying
小隐豹,xiao'yin'bao
辛安镇,xin'an'zhen
新大街与农林路口,xin'da'jie'yu'nong'lin'lu'kou
新丹兰尚街,xin'dan'lan'shang'jie
新东客站,xin'dong'ke'zhan
鑫港国际商贸城,xin'gang'guo'ji'shang'mao'cheng
欣和电建公司,xin'he'dian'jian'gong'si
新科园小区,xin'ke'yuan'xiao'qu
新坡,xin'po
新世纪,xin'shi'ji
新兴大街,xin'xing'da'jie
新兴大街望岭路口,xin'xing'da'jie'wang'ling'lu'kou
新兴钢模板,xin'xing'gang'mu'ban
新兴钢模板厂,xin'xing'gang'mu'ban'chang
新兴铸管厂,xin'xing'zhu'guan'chang
新一中,xin'yi'zhong
鑫域国际,xin'yu'guo'ji
辛庄营路口,xin'zhuang'ying'lu'kou
邢东里堡,xing'dong'li'bao
幸福街丰收路口,xing'fu'jie'feng'shou'lu'kou
杏园,xing'yuan
旭日公司,xu'ri'gong'si
学步桥,xue'bu'qiao
雪驰集团,xue'chi'ji'tuan
学军街人民路口,xue'jun'jie'ren'min'lu'kou
血站路口,xue'zhan'lu'kou
薛庄路口,xue'zhuang'lu'kou
鸭池,ya'chi
亚林家具城,ya'lin'jia'ju'cheng
亚森家具城,ya'sen'jia'ju'cheng
亚盛工程公司,ya'sheng'gong'cheng'gong'si
亚太,ya'tai
亚太世纪花园,ya'tai'shi'ji'hua'yuan
亚细亚学校,ya'xi'ya'xue'xiao
烟酒批发市场,yan'jiu'pi'fa'shi'chang
闫浅村,yan'qian'cun
阳光三联电器,yang'guang'san'lian'dian'qi
阳光世贸广场,yang'guang'shi'mao'guang'chang
羊渠河,yang'qu'he
羊一,yang'yi
姚洼,yao'wa
药械厂,yao'xie'chang
移动通信大楼,yi'dong'tong'xin'da'lou
一纺机,yi'fang'ji
一矿,yi'kuang
医疗机械厂,yi'liao'ji'xie'chang
医疗器械厂,yi'liao'qi'xie'chang
一三八家属院,yi'san'ba'jia'shu'yuan
医药大厦,yi'yao'da'sha
一运汽修厂,yi'yun'qi'xiu'chang
一中队,yi'zhong'dui
一中南校区,yi'zhong'nan'xiao'qu
医专附属医院,yi'zhuan'fu'shu'yi'yuan
印染厂,yin'ran'chang
迎宾路联纺路口,ying'bin'lu'lian'fang'lu'kou
樱花大卖场,ying'hua'da'mai'chang
樱花商务会馆,ying'hua'shang'wu'hui'guan
永安超市,yong'an'chao'shi
永峰路口,yong'feng'lu'kou
永康医院,yong'kang'yi'yuan
永莲胃肠病研究院,yong'lian'wei'chang'bing'yan'jiu'yuan
永年电厂,yong'nian'dian'chang
永年钢材市场,yong'nian'gang'cai'shi'chang
永年县法院,yong'nian'xian'fa'yuan
永年县环保局,yong'nian'xian'huan'bao'ju
永年县交警支队,yong'nian'xian'jiao'jing'zhi'dui
永年县一中,yong'nian'xian'yi'zhong
永年县政府街口,yong'nian'xian'zheng'fu'jie'kou
永年县中医院,yong'nian'xian'zhong'yi'yuan
永平里小区,yong'ping'li'xiao'qu
油房村,you'fang'cun
邮局,you'ju
游泳池,you'yong'chi
育德花园,yu'de'hua'yuan
于二庄,yu'er'zhuang
育红路,yu'hong'lu
榆林村,yu'lin'cun
玉铁苑小区,yu'tie'yuan'xiao'qu
浴新大街农林路口,yu'xin'da'jie'nong'lin'lu'kou
元宝山,yuan'bao'shan
远大物流,yuan'da'wu'liu
园林宾馆,yuan'lin'bin'guan
园林花卉市场,yuan'lin'hua'hui'shi'chang
院上策,yuan'shang'ce
袁庄,yuan'zhuang
袁庄村委,yuan'zhuang'cun'wei
袁庄小学,yuan'zhuang'xiao'xue
运输公司家属院,yun'shu'gong'si'jia'shu'yuan
展览路,zhan'lan'lu
展览路公交家属院,zhan'lan'lu'gong'jiao'jia'shu'yuan
展览路光明街口,zhan'lan'lu'guang'ming'jie'kou
展览路口,zhan'lan'lu'kou
展览路曙光街口,zhan'lan'lu'shu'guang'jie'kou
展览路曙光路口,zhan'lan'lu'shu'guang'lu'kou
展览路小学,zhan'lan'lu'xiao'xue
站前大街丛台路口,zhan'qian'da'jie'cong'tai'lu'kou
站前大街人民路口,zhan'qian'da'jie'ren'min'lu'kou
漳东村,zhang'dong'cun
漳河店,zhang'he'dian
张岩嵛,zhang'yan'yu
张庄,zhang'zhuang
张庄桥,zhang'zhuang'qiao
赵都陵塔园,zhao'du'ling'ta'yuan
赵都商场,zhao'du'shang'chang
赵都小学,zhao'du'xiao'xue
赵王宾馆,zhao'wang'bin'guan
赵王宾馆东门,zhao'wang'bin'guan'dong'men
赵王宾馆西门,zhao'wang'bin'guan'xi'men
赵王酒业,zhao'wang'jiu'ye
招贤村,zhao'xian'cun
招贤集团,zhao'xian'ji'tuan
朝阳路口,zhao'yang'lu'kou
赵苑南门,zhao'yuan'nan'men
赵寨,zhao'zhai
赵张策,zhao'zhang'ce
政和小区,zheng'he'xiao'qu
政和小区西门,zheng'he'xiao'qu'xi'men
政通小区,zheng'tong'xiao'qu
郑庄,zheng'zhuang
纸坊,zhi'fang
职工疗养院,zhi'gong'liao'yang'yuan
质量检测中心,zhi'liang'jian'ce'zhong'xin
制氧站,zhi'yang'zhan
职业中专学校,zhi'ye'zhong'zhuan'xue'xiao
中堡,zhong'bao
中国移动通信,zhong'guo'yi'dong'tong'xin
中华大街北仓路口,zhong'hua'da'jie'bei'cang'lu'kou
中华大街北环路口,zhong'hua'da'jie'bei'huan'lu'kou
中华大街丛台路口,zhong'hua'da'jie'cong'tai'lu'kou
中华大街和平路口,zhong'hua'da'jie'he'ping'lu'kou
中华大街联纺路口,zhong'hua'da'jie'lian'fang'lu'kou
中华大街陵园路口,zhong'hua'da'jie'ling'yuan'lu'kou
中华大街贸东路口,zhong'hua'da'jie'mao'dong'lu'kou
中华大街贸易路口,zhong'hua'da'jie'mao'yi'lu'kou
中华大街渚河路口,zhong'hua'da'jie'zhu'he'lu'kou
中华街丛台路口,zhong'hua'jie'cong'tai'lu'kou
中华街和平路口,zhong'hua'jie'he'ping'lu'kou
中华街联纺路口,zhong'hua'jie'lian'fang'lu'kou
中华街贸东街口,zhong'hua'jie'mao'dong'jie'kou
中华街贸东路口,zhong'hua'jie'mao'dong'lu'kou
中华街贸易街口,zhong'hua'jie'mao'yi'jie'kou
中华街青年路口,zhong'hua'jie'qing'nian'lu'kou
中华街渚河路口,zhong'hua'jie'zhu'he'lu'kou
中华南小区,zhong'hua'nan'xiao'qu
中华桥,zhong'hua'qiao
中级法院,zhong'ji'fa'yuan
中柳林,zhong'liu'lin
中柳林村北,zhong'liu'lin'cun'bei
中马头,zhong'ma'tou
中煤,zhong'mei
中煤勘探一局,zhong'mei'kan'tan'yi'ju
中煤六十三处,zhong'mei'liu'shi'san'chu
中煤一公司,zhong'mei'yi'gong'si
中煤一局,zhong'mei'yi'ju
中煤医院,zhong'mei'yi'yuan
中亓固,zhong'qi'gu
中石油,zhong'shi'you
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中心学校,zhong'xin'xue'xiao
中心血站,zhong'xin'xue'zhan
中心医院,zhong'xin'yi'yuan
中心医院东门,zhong'xin'yi'yuan'dong'men
中医院,zhong'yi'yuan
中源纺织品批发市场,zhong'yuan'fang'zhi'pin'pi'fa'shi'chang
中原旧货市场,zhong'yuan'jiu'huo'shi'chang
中原配件商城,zhong'yuan'pei'jian'shang'cheng
中原汽配城,zhong'yuan'qi'pei'cheng
中原制冷,zhong'yuan'zhi'leng
中庄,zhong'zhuang
轴承厂,zhou'cheng'chang
渚河路光明街口,zhu'he'lu'guang'ming'jie'kou
渚河路邯山街口,zhu'he'lu'han'shan'jie'kou
渚河路口,zhu'he'lu'kou
渚河路小学,zhu'he'lu'xiao'xue
渚河路浴新街口,zhu'he'lu'yu'xin'jie'kou
渚河路与中华路口,zhu'he'lu'yu'zhong'hua'lu'kou
渚河路中华街口,zhu'he'lu'zhong'hua'jie'kou
渚河路中华路口,zhu'he'lu'zhong'hua'lu'kou
朱冀庄,zhu'ji'zhuang
自来水公司,zi'lai'shui'gong'si
紫山,zi'shan
紫祥花园,zi'xiang'hua'yuan
自行车总厂,zi'xing'che'zong'chang
纵横钢铁,zong'heng'gang'tie
左西,zuo'xi
左西村,zuo'xi'cun
