阿波,a'bo
三弹正,san'dan'zheng
三刀屋久佑,san'dao'wu'jiu'you
三方原会战,san'fang'yuan'hui'zhan
三好长庆,san'hao'chang'qing
三好长逸,san'hao'chang'yi
三好长治,san'hao'chang'zhi
三好康长,san'hao'kang'chang
三好三人众,san'hao'san'ren'zhong
三好实休,san'hao'shi'xiu
三好笑岩,san'hao'xiao'yan
三好义继,san'hao'yi'ji
三好义贤,san'hao'yi'xian
三好义兴,san'hao'yi'xing
三好元长,san'hao'yuan'chang
三好政康,san'hao'zheng'kang
三好政胜,san'hao'zheng'sheng
三河,san'he
三河魂,san'he'hun
三条公赖,san'tiao'gong'lai
三云成持,san'yun'cheng'chi
三枝守友,san'zhi'shou'you
三中老,san'zhong'lao
桑名吉成,sang'ming'ji'cheng
桑山重晴,sang'shan'zhong'qing
色部胜长,se'bu'sheng'chang
色部长实,se'bu'zhang'shi
森长可,sen'chang'ke
森村春,sen'cun'chun
森可成,sen'ke'cheng
森兰丸,sen'lan'wan
森下道与,sen'xia'dao'yu
森忠政,sen'zhong'zheng
杀生关白,sha'sheng'guan'bai
山岸尚家,shan'an'shang'jia
山本勘助,shan'ben'kan'zhu
山本寺定长,shan'ben'si'ding'chang
山城,shan'cheng
杉谷善住坊,shan'gu'shan'zhu'fang
山科言继,shan'ke'yan'ji
山名禅高,shan'ming'chan'gao
山名持丰,shan'ming'chi'feng
山名佑丰,shan'ming'you'feng
山名政丰,shan'ming'zheng'feng
山名宗全,shan'ming'zong'quan
山内千代,shan'nei'qian'dai
山内一丰,shan'nei'yi'feng
山浦国清,shan'pu'guo'qing
山崎长德,shan'qi'chang'de
山崎片家,shan'qi'pian'jia
山上宗二,shan'shang'zong'er
山田长政,shan'tian'chang'zheng
山田匡德,shan'tian'kuang'de
山田有信,shan'tian'you'xin
山县昌景,shan'xian'chang'jing
山阳道,shan'yang'dao
山阴道,shan'yin'dao
杉之坊照算,shan'zhi'fang'zhao'suan
山中俊好,shan'zhong'jun'hao
山中鹿介,shan'zhong'lu'jie
山中幸盛,shan'zhong'xing'sheng
上井觉兼,shang'jing'jue'jian
上洛,shang'luo
上泉信纲,shang'quan'xin'gang
上杉定宪,shang'shan'ding'xian
上杉辉虎,shang'shan'hui'hu
上杉景虎,shang'shan'jing'hu
上杉景胜,shang'shan'jing'sheng
上杉景信,shang'shan'jing'xin
上杉谦信,shang'shan'qian'xin
上杉宪政,shang'shan'xian'zheng
上条政繁,shang'tiao'zheng'fan
上野,shang'ye
上州第一枪,shang'zhou'di'yi'qiang
上总,shang'zong
涉谷与右卫门,she'gu'yu'you'wei'men
摄津,she'jin
神保氏张,shen'bao'shi'zhang
神保长城,shen'bao'zhang'cheng
神保长职,shen'bao'zhang'zhi
神保长住,shen'bao'zhang'zhu
神户具盛,shen'hu'ju'sheng
深水长智,shen'shui'chang'zhi
神屋宗湛,shen'wu'zong'zhan
神西元通,shen'xi'yuan'tong
深泽利重,shen'ze'li'zhong
生驹吉乃,sheng'ju'ji'nai
生驹亲正,sheng'ju'qin'zheng
生驹一正,sheng'ju'yi'zheng
石川高信,shi'chuan'gao'xin
市川经好,shi'chuan'jing'hao
石川数正,shi'chuan'shu'zheng
石川五右卫门,shi'chuan'wu'you'wei'men
石川昭光,shi'chuan'zhao'guang
室町幕府,shi'ding'mu'fu
室町御所,shi'ding'yu'suo
师冈一羽,shi'gang'yi'yu
世鬼政时,shi'gui'zheng'shi
十河存保,shi'he'cun'bao
十河一存,shi'he'yi'cun
氏家卜全,shi'jia'bu'quan
氏家光氏,shi'jia'guang'shi
氏家守栋,shi'jia'shou'dong
氏家行广,shi'jia'xing'guang
氏家直元,shi'jia'zhi'yuan
石见,shi'jian
世濑藏人,shi'lai'cang'ren
石母田景赖,shi'mu'tian'jing'lai
柿崎景家,shi'qi'jing'jia
柿崎晴家,shi'qi'qing'jia
石山御坊,shi'shan'yu'fang
石田三成,shi'tian'san'cheng
石田重家,shi'tian'zhong'jia
施药院全宗,shi'yao'yuan'quan'zong
矢沢赖纲,shi'ze'lai'gang
矢沢赖康,shi'ze'lai'kang
寿桂尼,shou'gui'ni
守护代,shou'hu'dai
狩野永德,shou'ye'yong'de
水谷胤重,shui'gu'yin'zhong
水野胜成,shui'ye'sheng'cheng
水野信元,shui'ye'xin'yuan
水野忠重,shui'ye'zhong'zhong
斯波诠真,si'bo'quan'zhen
斯波诠直,si'bo'quan'zhi
斯波义达,si'bo'yi'da
斯波义廉,si'bo'yi'lian
斯波义良,si'bo'yi'liang
斯波义敏,si'bo'yi'min
斯波义统,si'bo'yi'tong
斯波义银,si'bo'yi'yin
四国征伐,si'guo'zheng'fa
松波义亲,song'bo'yi'qin
松仓重信,song'cang'zhong'xin
松仓重政,song'cang'zhong'zheng
松井康之,song'jing'kang'zhi
松井友闲,song'jing'you'xian
松平广忠,song'ping'guang'zhong
松平清康,song'ping'qing'kang
松平信康,song'ping'xin'kang
松平元康,song'ping'yuan'kang
松平忠辉,song'ping'zhong'hui
松平忠吉,song'ping'zhong'ji
松浦隆信,song'pu'long'xin
松浦镇信,song'pu'zhen'xin
松前庆广,song'qian'qing'guang
松田宪秀,song'tian'xian'xiu
松下加兵卫,song'xia'jia'bing'wei
松永久通,song'yong'jiu'tong
松永久秀,song'yong'jiu'xiu
穗井田元清,sui'jing'tian'yuan'qing
太田长知,tai'tian'chang'zhi
太田道灌,tai'tian'dao'guan
太田牛一,tai'tian'niu'yi
太田三乐斋,tai'tian'san'le'zhai
太田氏资,tai'tian'shi'zi
太田宗正,tai'tian'zong'zheng
太原雪斋,tai'yuan'xue'zhai
太政大臣,tai'zheng'da'chen
汤浅五助,tang'qian'wu'zhu
逃弹正,tao'dan'zheng
陶晴贤,tao'qing'xian
藤堂高虎,teng'tang'gao'hu
鹈殿长照,ti'dian'chang'zhao
鹈殿氏长,ti'dian'shi'chang
鹈饲孙六,ti'si'sun'liu
田北镇周,tian'bei'zhen'zhou
天草四郎,tian'cao'si'lang
田村清显,tian'cun'qing'xian
田村重显,tian'cun'zhong'xian
畠山高政,tian'shan'gao'zheng
畠山义纲,tian'shan'yi'gang
畠山义就,tian'shan'yi'jiu
畠山义续,tian'shan'yi'xu
畠山政长,tian'shan'zheng'chang
畠山政国,tian'shan'zheng'guo
畠山植长,tian'shan'zhi'chang
天文,tian'wen
天文之乱,tian'wen'zhi'luan
天秀尼,tian'xiu'ni
天野康景,tian'ye'kang'jing
天野隆重,tian'ye'long'zhong
田原亲贤,tian'yuan'qin'xian
天正,tian'zheng
田中吉政,tian'zhong'ji'zheng
田中胜助,tian'zhong'sheng'zhu
筒井定次,tong'jing'ding'ci
筒井顺庆,tong'jing'shun'qing
桶狭间会战,tong'xia'jian'hui'zhan
土井利胜,tu'jing'li'sheng
土居宗珊,tu'ju'zong'shan
土岐成赖,tu'qi'cheng'lai
土岐赖次,tu'qi'lai'ci
土岐赖艺,tu'qi'lai'yi
土桥平次,tu'qiao'ping'ci
土田御前,tu'tian'yu'qian
土屋昌次,tu'wu'chang'ci
土屋昌恒,tu'wu'chang'heng
土佐,tu'zuo
拓植三之丞,tuo'zhi'san'zhi'cheng
丸目长惠,wan'mu'chang'hui
望月六郎,wang'yue'liu'lang
娓原景宗,wei'yuan'jing'zong
尾张,wei'zhang
尾张之虎,wei'zhang'zhi'hu
文龟,wen'gui
温井景隆,wen'jing'jing'long
文禄,wen'lu
文明,wen'ming
问驻所统景,wen'zhu'suo'tong'jing
五大老,wu'da'lao
屋代景赖,wu'dai'jing'lai
五代友喜,wu'dai'you'xi
五奉行,wu'feng'xing
武井夕庵,wu'jing'xi'an
五轮书,wu'lun'shu
武田胜赖,wu'tian'sheng'lai
武田逍遥轩,wu'tian'xiao'yao'xuan
武田信繁,wu'tian'xin'fan
武田信丰,wu'tian'xin'feng
武田信虎,wu'tian'xin'hu
武田信吉,wu'tian'xin'ji
武田信廉,wu'tian'xin'lian
武田信胜,wu'tian'xin'sheng
武田信玄,wu'tian'xin'xuan
武田义信,wu'tian'yi'xin
武田元明,wu'tian'yuan'ming
武野绍鸥,wu'ye'shao'ou
雾隐才藏,wu'yin'cai'cang
武藏,wu'zang
细川高国,xi'chuan'gao'guo
细川晴元,xi'chuan'qing'yuan
西川仁右卫门,xi'chuan'ren'you'wei'men
细川三斋,xi'chuan'san'zhai
细川胜元,xi'chuan'sheng'yuan
细川氏纲,xi'chuan'shi'gang
细川藤孝,xi'chuan'teng'xiao
细川幽斋,xi'chuan'you'zhai
细川元常,xi'chuan'yuan'chang
细川昭元,xi'chuan'zhao'yuan
细川政元,xi'chuan'zheng'yuan
细川忠兴,xi'chuan'zhong'xing
西国无双的大将,xi'guo'wu'shuang'de'da'jiang
西国之雄,xi'guo'zhi'xiong
西海道,xi'hai'dao
喜入季久,xi'ru'ji'jiu
西园寺公广,xi'yuan'si'gong'guang
下间赖廉,xia'jian'lai'lian
下间赖照,xia'jian'lai'zhao
下间仲孝,xia'jian'zhong'xiao
下克上,xia'ke'shang
夏目晴信,xia'mu'qing'xin
下野,xia'ye
虾夷,xia'yi
下总,xia'zong
仙石秀久,xian'shi'xiu'jiu
仙桃院,xian'tao'yuan
香川亲和,xiang'chuan'qin'he
香川元景,xiang'chuan'yuan'jing
香川之景,xiang'chuan'zhi'jing
向井正纲,xiang'jing'zheng'gang
相良义阳,xiang'liang'yi'yang
享禄,xiang'lu
相马盛胤,xiang'ma'sheng'yin
相马显胤,xiang'ma'xian'yin
相马义胤,xiang'ma'yi'yin
相模,xiang'mo
相模的狮子,xiang'mo'de'shi'zi
香宗我部亲泰,xiang'zong'wo'bu'qin'tai
小滨景隆,xiao'bin'jing'long
筱部堪二郎,xiao'bu'kan'er'lang
小岛职镇,xiao'dao'zhi'zhen
小豆坂合战,xiao'dou'ban'he'zhan
小督,xiao'du
小幡虎盛,xiao'fan'hu'sheng
小幡堪兵卫,xiao'fan'kan'bing'wei
小谷,xiao'gu
小崛远洲,xiao'jue'yuan'zhou
小濑甫庵,xiao'lai'fu'an
小笠原长时,xiao'li'yuan'chang'shi
小笠原少斋,xiao'li'yuan'shao'zhai
小梁川盛宗,xiao'liang'chuan'sheng'zong
小牧山长久手之战,xiao'mu'shan'chang'jiu'shou'zhi'zhan
小山田信茂,xiao'shan'tian'xin'mao
小山田信有,xiao'shan'tian'xin'you
小寺政职,xiao'si'zheng'zhi
小田氏治,xiao'tian'shi'zhi
小田原,xiao'tian'yuan
小田原征伐,xiao'tian'yuan'zheng'fa
小西行长,xiao'xi'hang'zhang
小西隆佐,xiao'xi'long'zuo
小野善鬼,xiao'ye'shan'gui
小野寺辉道,xiao'ye'si'hui'dao
小野寺义道,xiao'ye'si'yi'dao
小野镇幸,xiao'ye'zhen'xing
小野忠明,xiao'ye'zhong'ming
筱原长房,xiao'yuan'zhang'fang
小早川隆景,xiao'zao'chuan'long'jing
小早川秀包,xiao'zao'chuan'xiu'bao
小早川秀秋,xiao'zao'chuan'xiu'qiu
胁阪安治,xie'ban'an'zhi
新发田长敦,xin'fa'tian'chang'dun
新发田重家,xin'fa'tian'zhong'jia
新纳忠元,xin'na'zhong'yuan
信浓,xin'nong
熊谷信直,xiong'gu'xin'zhi
朽木元纲,xiu'mu'yuan'gang
须田满亲,xu'tian'man'qin
穴户隆家,xue'hu'long'jia
穴户梅轩,xue'hu'mei'xuan
穴户元续,xue'hu'yuan'xu
穴山梅雪,xue'shan'mei'xue
穴山小助,xue'shan'xiao'zhu
穴山信君,xue'shan'xin'jun
岩城常隆,yan'cheng'chang'long
岩成友通,yan'cheng'you'tong
延德,yan'de
岩剑城之战,yan'jian'cheng'zhi'zhan
延历寺,yan'li'si
塩市丸,yan'shi'wan
一乘谷,yi'cheng'gu
伊达成实,yi'da'cheng'shi
伊达辉宗,yi'da'hui'zong
伊达晴宗,yi'da'qing'zong
伊达实元,yi'da'shi'yuan
伊达政宗,yi'da'zheng'zong
伊达稙宗,yi'da'zhi'zong
伊丹康直,yi'dan'kang'zhi
伊地知重兴,yi'di'zhi'chong'xing
伊地知重秀,yi'di'zhi'zhong'xiu
伊东义佑,yi'dong'yi'you
伊东佑安,yi'dong'you'an
伊东佑兵,yi'dong'you'bing
伊豆,yi'dou
依冈左京,yi'gang'zuo'jing
伊贺,yi'he
伊贺崎道顺,yi'he'qi'dao'shun
伊集院忠仓,yi'ji'yuan'zhong'cang
伊集院忠栋,yi'ji'yuan'zhong'dong
一领具足,yi'ling'ju'zu
一门众,yi'men'zhong
伊木忠次,yi'mu'zhong'ci
伊奈忠次,yi'nai'zhong'ci
壹岐,yi'qi
一色义道,yi'se'yi'dao
一色义定,yi'se'yi'ding
一色义清,yi'se'yi'qing
一色义直,yi'se'yi'zhi
伊势,yi'shi
伊势盛时,yi'shi'sheng'shi
伊势贞亲,yi'shi'zhen'qin
一粟放牛,yi'su'fang'niu
伊藤物十郎,yi'teng'wu'shi'lang
伊藤一刀斋,yi'teng'yi'dao'zhai
益田元祥,yi'tian'yuan'xiang
一条兼定,yi'tiao'jian'ding
一条信龙,yi'tiao'xin'long
一万田鉴实,yi'wan'tian'jian'shi
一向一揆,yi'xiang'yi'kui
一向宗,yi'xiang'zong
以心崇纭,yi'xin'chong'yun
伊予,yi'yu
因幡,yin'fan
隐岐,yin'qi
樱井晴吉,ying'jing'qing'ji
应仁,ying'ren
应仁之乱,ying'ren'zhi'luan
鹰司孝子,ying'si'xiao'zi
鹰司信房,ying'si'xin'fang
颖娃久虎,ying'wa'jiu'hu
永禄,yong'lu
永田德本,yong'tian'de'ben
永正,yong'zheng
由比正雪,you'bi'zheng'xue
由布姬,you'bu'ji
由利镰之助,you'li'lian'zhi'zhu
有马晴信,you'ma'qing'xin
友野二郎兵卫,you'ye'er'lang'bing'wei
游佐长教,you'zuo'chang'jiao
游佐续光,you'zuo'xu'guang
羽柴秀长,yu'chai'xiu'chang
羽柴秀次,yu'chai'xiu'ci
羽柴秀吉,yu'chai'xiu'ji
羽柴秀胜,yu'chai'xiu'sheng
宇都宫广纲,yu'du'gong'guang'gang
宇都宫国纲,yu'du'gong'guo'gang
御馆之乱,yu'guan'zhi'luan
宇久纯定,yu'jiu'chun'ding
宇久纯玄,yu'jiu'chun'xuan
雨森弥兵卫,yu'sen'mi'bing'wei
宇山久兼,yu'shan'jiu'jian
御宿堪兵卫,yu'su'kan'bing'wei
宇喜多秀家,yu'xi'duo'xiu'jia
宇喜多直家,yu'xi'duo'zhi'jia
宇喜多忠家,yu'xi'duo'zhong'jia
宇野藤右卫门,yu'ye'teng'you'wei'men
宇佐美定满,yu'zuo'mei'ding'man
原长赖,yuan'chang'lai
原昌胤,yuan'chang'yin
圆城寺信胤,yuan'cheng'si'xin'yin
猿渡信光,yuan'du'xin'guang
猿飞佐助,yuan'fei'zuo'zhu
元龟,yuan'gui
元和,yuan'he
原虎胤,yuan'hu'yin
远江,yuan'jiang
远山纲景,yuan'shan'gang'jing
远山景任,yuan'shan'jing'ren
远山康光,yuan'shan'kang'guang
源氏,yuan'shi
远藤基信,yuan'teng'ji'xin
远藤直经,yuan'teng'zhi'jing
原田宗时,yuan'tian'zong'shi
垣屋光成,yuan'wu'guang'cheng
愿证寺证惠,yuan'zheng'si'zheng'hui
越后,yue'hou
越后之龙,yue'hou'zhi'long
越前,yue'qian
越中,yue'zhong
杂贺孙市,za'he'sun'shi
杂贺孙一,za'he'sun'yi
讃岐,zan'qi
糟屋武则,zao'wu'wu'ze
增田长盛,zeng'tian'chang'sheng
斋村政广,zhai'cun'zheng'guang
斋藤朝信,zhai'teng'chao'xin
斋藤传鬼坊,zhai'teng'chuan'gui'fang
斋藤道三,zhai'teng'dao'san
斋藤归蝶,zhai'teng'gui'die
斋藤利三,zhai'teng'li'san
斋藤龙兴,zhai'teng'long'xing
斋藤义龙,zhai'teng'yi'long
沼田佑光,zhao'tian'you'guang
真壁氏干,zhen'bi'shi'gan
真柄直澄,zhen'bing'zhi'cheng
真柄直隆,zhen'bing'zhi'long
真田昌辉,zhen'tian'chang'hui
真田昌幸,zhen'tian'chang'xing
真田大助,zhen'tian'da'zhu
真田十勇士,zhen'tian'shi'yong'shi
真田丸,zhen'tian'wan
真田信昌,zhen'tian'xin'chang
真田信繁,zhen'tian'xin'fan
真田信纲,zhen'tian'xin'gang
真田信吉,zhen'tian'xin'ji
真田信幸,zhen'tian'xin'xing
真田信政,zhen'tian'xin'zheng
真田信之,zhen'tian'xin'zhi
真田幸昌,zhen'tian'xing'chang
真田幸村,zhen'tian'xing'cun
真田幸隆,zhen'tian'xing'long
正木赖忠,zheng'mu'lai'zhong
正木时茂,zheng'mu'shi'mao
正木时忠,zheng'mu'shi'zhong
正亲町天皇,zheng'qin'ding'tian'huang
支仓常长,zhi'cang'chang'chang
志村光安,zhi'cun'guang'an
志贺亲次,zhi'he'qin'ci
志贺亲守,zhi'he'qin'shou
直江兼续,zhi'jiang'jian'xu
直江景纲,zhi'jiang'jing'gang
直江实纲,zhi'jiang'shi'gang
直江信纲,zhi'jiang'xin'gang
直江状,zhi'jiang'zhuang
志摩,zhi'mo
芝迁清右卫门,zhi'qian'qing'you'wei'men
芝山监物,zhi'shan'jian'wu
织田长次,zhi'tian'chang'ci
织田长益,zhi'tian'chang'yi
织田犬,zhi'tian'quan
织田胜长,zhi'tian'sheng'chang
织田市,zhi'tian'shi
织田信安,zhi'tian'xin'an
织田信包,zhi'tian'xin'bao
织田信长,zhi'tian'xin'chang
织田信定,zhi'tian'xin'ding
织田信高,zhi'tian'xin'gao
织田信光,zhi'tian'xin'guang
织田信广,zhi'tian'xin'guang
织田信好,zhi'tian'xin'hao
织田信吉,zhi'tian'xin'ji
织田信胜,zhi'tian'xin'sheng
织田信贤,zhi'tian'xin'xian
织田信孝,zhi'tian'xin'xiao
织田信行,zhi'tian'xin'xing
织田信兴,zhi'tian'xin'xing
织田信雄,zhi'tian'xin'xiong
织田信秀,zhi'tian'xin'xiu
织田信友,zhi'tian'xin'you
织田信贞,zhi'tian'xin'zhen
织田信正,zhi'tian'xin'zheng
织田信忠,zhi'tian'xin'zhong
织田秀孝,zhi'tian'xiu'xiao
织田秀信,zhi'tian'xiu'xin
织田有乐斋,zhi'tian'you'le'zhai
踯躅崎馆,zhi'zhu'qi'guan
中川光重,zhong'chuan'guang'zhong
中川清秀,zhong'chuan'qing'xiu
中村一荣,zhong'cun'yi'rong
中村一氏,zhong'cun'yi'shi
中村一忠,zhong'cun'yi'zhong
中岛可之助,zhong'dao'ke'zhi'zhu
中岛重房,zhong'dao'zhong'fang
钟卷自斋,zhong'juan'zi'zhai
中山朝正,zhong'shan'chao'zheng
中条景泰,zhong'tiao'jing'tai
中野宗时,zhong'ye'zong'shi
冢原卜传,zhong'yuan'bu'chuan
种子岛久时,zhong'zi'dao'jiu'shi
种子岛时尧,zhong'zi'dao'shi'yao
周防,zhou'fang
筑后,zhu'hou
诸角虎定,zhu'jiao'hu'ding
猪苗代盛国,zhu'miao'dai'sheng'guo
筑前,zhu'qian
筑田藤左兵卫,zhu'tian'teng'zuo'bing'wei
猪俣邦宪,zhu'yu'bang'xian
竹俣庆纲,zhu'yu'qing'gang
竹中半兵卫,zhu'zhong'ban'bing'wei
竹中重门,zhu'zhong'zhong'men
竹中重治,zhu'zhong'zhong'zhi
猪子兵介,zhu'zi'bing'jie
椎名康胤,zhui'ming'kang'yin
姊小路赖纲,zi'xiao'lu'lai'gang
宗义调,zong'yi'tiao
宗义智,zong'yi'zhi
诹访大明神,zou'fang'da'ming'shen
诹访湖,zou'fang'hu
诹访赖高,zou'fang'lai'gao
诹访赖满,zou'fang'lai'man
诹访赖重,zou'fang'lai'zhong
诹访御料人,zou'fang'yu'liao'ren
足利成氏,zu'li'cheng'shi
足利义材,zu'li'yi'cai
足利义澄,zu'li'yi'cheng
足利义辉,zu'li'yi'hui
足利义晴,zu'li'yi'qing
足利义荣,zu'li'yi'rong
足利义尚,zu'li'yi'shang
足利义视,zu'li'yi'shi
足利义氏,zu'li'yi'shi
足利义维,zu'li'yi'wei
足利义寻,zu'li'yi'xun
足利义昭,zu'li'yi'zhao
足利义政,zu'li'yi'zheng
足利义稙,zu'li'yi'zhi
足利政知,zu'li'zheng'zhi
足田丰五郎,zu'tian'feng'wu'lang
组屋源四郎,zu'wu'yuan'si'lang
最上义光,zui'shang'yi'guang
最上义姬,zui'shang'yi'ji
最上义时,zui'shang'yi'shi
最上义守,zui'shang'yi'shou
佐伯惟定,zuo'bo'wei'ding
佐渡,zuo'du
佐分利猪之助,zuo'fen'li'zhu'zhi'zhu
佐贺山,zuo'he'shan
佐甲藤太郎,zuo'jia'teng'tai'lang
佐久间盛政,zuo'jiu'jian'sheng'zheng
佐久间盛重,zuo'jiu'jian'sheng'zhong
佐久间信盛,zuo'jiu'jian'xin'sheng
佐世元嘉,zuo'shi'yuan'jia
佐田彦四郎,zuo'tian'yan'si'lang
佐胁良之,zuo'xie'liang'zhi
佐野房纲,zuo'ye'fang'gang
佐治信方,zuo'zhi'xin'fang
佐治一成,zuo'zhi'yi'cheng
佐竹义久,zuo'zhu'yi'jiu
佐竹义宣,zuo'zhu'yi'xuan
佐竹义昭,zuo'zhu'yi'zhao
佐竹义重,zuo'zhu'yi'zhong
佐佐成政,zuo'zuo'cheng'zheng
佐佐木小次郎,zuo'zuo'mu'xiao'ci'lang
佐佐政次,zuo'zuo'zheng'ci
