阿碧,a'bi
康广陵,kang'guang'ling
亢龙有悔,kang'long'you'hui
柯万钧,ke'wan'jun
柯镇恶,ke'zhen'e
控鹤功,kong'he'gong
空击苍鹰,kong'ji'cang'ying
空见,kong'jian
空明拳,kong'ming'quan
孔雀开屏,kong'que'kai'ping
崆峒派,kong'tong'pai
空闻,kong'wen
空心菜,kong'xin'cai
空性,kong'xing
空智,kong'zhi
枯草岭,ku'cao'ling
苦茶斋,ku'cha'zhai
枯木,ku'mu
苦恼拳,ku'nao'quan
枯荣禅功,ku'rong'chan'gong
枯荣长老,ku'rong'zhang'lao
快活三十掌,kuai'huo'san'shi'zhang
邝宝官,kuang'bao'guan
狂风快剑,kuang'feng'kuai'jian
邝天雄,kuang'tian'xiong
葵花宝典,kui'hua'bao'dian
昆仑剑法,kun'lun'jian'fa
昆仑派,kun'lun'pai
坤宁宫,kun'ning'gong
腊八粥,la'ba'zhou
来福儿,lai'fu'er
来鹤清泉,lai'he'qing'quan
蓝凤凰,lan'feng'huang
兰花拂穴手,lan'hua'fu'xue'shou
兰剑,lan'jian
烂柯山,lan'ke'shan
蓝秦,lan'qin
揽雀尾,lan'que'wei
蓝天和,lan'tian'he
琅環玉洞,lang'huan'yu'dong
浪迹天涯,lang'ji'tian'ya
郎师傅,lang'shi'fu
朗月无云,lang'yue'wu'yun
浪子回头,lang'zi'hui'tou
老不死,lao'bu'si
劳德诺,lao'de'nuo
老李,lao'li
劳太监,lao'tai'jian
老头子,lao'tou'zi
老王,lao'wang
老吴,lao'wu
捞月式,lao'yue'shi
老枝横斜,lao'zhi'heng'xie
乐厚,le'hou
乐寿堂,le'shou'tang
雷动於九天之上剑法,lei'dong'yu'jiu'tian'zhi'shang'jian'fa
擂鼓山,lei'gu'shan
雷猛,lei'meng
雷一啸,lei'yi'xiao
冷谦,leng'qian
力不从心,li'bu'cong'xin
李春来,li'chun'lai
丽春院,li'chun'yuan
李大元,li'da'yuan
黎夫人,li'fu'ren
黎刚,li'gang
厉鬼峰,li'gui'feng
李可秀,li'ke'xiu
李傀儡,li'kui'lei
李力世,li'li'shi
李莫愁,li'mo'chou
力劈三关,li'pi'san'guan
李萍,li'ping
李秋水,li'qiu'shui
李三,li'san
利涉大川,li'she'da'chuan
黎生,li'sheng
李式开,li'shi'kai
李四,li'si
李四摧,li'si'cui
李天恒,li'tian'heng
李廷豹,li'ting'bao
李万山,li'wan'shan
李文秀,li'wen'xiu
李西华,li'xi'hua
梨香院,li'xiang'yuan
李岩,li'yan
李沅芷,li'yuan'zhi
李志常,li'zhi'chang
李自成,li'zi'cheng
连诚诀,lian'cheng'jue
莲花山庄,lian'hua'shan'zhuang
怜花研姿,lian'hua'yan'zi
莲花掌,lian'hua'zhang
连环迷踪腿,lian'huan'mi'zong'tui
莲蓉豆泥蜜糖珍珠糊,lian'rong'dou'ni'mi'tang'zhen'zhu'hu
连山若波涛,lian'shan'ruo'bo'tao
梁发,liang'fa
两回玛法,liang'hui'ma'fa
两仪剑法,liang'yi'jian'fa
梁长老,liang'zhang'lao
梁自进,liang'zi'jin
梁子翁,liang'zi'weng
廖自砺,liao'zi'li
烈火丹,lie'huo'dan
林朝英,lin'chao'ying
林平之,lin'ping'zhi
林兴珠,lin'xing'zhu
林永超,lin'yong'chao
林玉龙,lin'yu'long
林远图,lin'yuan'tu
林震南,lin'zhen'nan
灵鳌步,ling'ao'bu
灵獒营,ling'ao'ying
凌波微步,ling'bo'wei'bu
灵龟阁,ling'gui'ge
令狐冲,ling'hu'chong
灵境寺,ling'jing'si
灵鹫宫,ling'jiu'gong
灵鹫听经,ling'jiu'ting'jing
灵山礼佛,ling'shan'li'fo
岭上双梅,ling'shang'shuang'mei
灵蛇岛,ling'she'dao
灵蛇拳,ling'she'quan
凌霜华,ling'shuang'hua
凌退思,ling'tui'si
凌霄城,ling'xiao'cheng
灵虚,ling'xu
灵应寺,ling'ying'si
灵智上人,ling'zhi'shang'ren
刘敖,liu'ao
刘乘风,liu'cheng'feng
刘处玄,liu'chu'xuan
柳大洪,liu'da'hong
刘芳亮,liu'fang'liang
刘鹤真,liu'he'zhen
刘菁,liu'jing
六脉神剑,liu'mai'shen'jian
刘培生,liu'pei'sheng
刘芹,liu'qin
流泉下山,liu'quan'xia'shan
六神不安,liu'shen'bu'an
六十四路轰天雷震挡法,liu'shi'si'lu'hong'tian'lei'zhen'dang'fa
刘氏宗祠,liu'shi'zong'ci
流星飞堕,liu'xing'fei'duo
流星赶月,liu'xing'gan'yue
柳絮剑法,liu'xu'jian'fa
刘玄处,liu'xuan'chu
柳燕,liu'yan
六阳正气丹,liu'yang'zheng'qi'dan
刘一舟,liu'yi'zhou
柳荫联句,liu'yin'lian'ju
刘瑛姑,liu'ying'gu
刘於义,liu'yu'yi
刘元鹤,liu'yuan'he
流云叠影,liu'yun'die'ying
流云使,liu'yun'shi
刘正风,liu'zheng'feng
刘之余,liu'zhi'yu
刘竹庄,liu'zhu'zhuang
刘宗敏,liu'zong'min
龙岛主,long'dao'zhu
龙德邻,long'de'lin
隆福门,long'fu'men
龙虎观,long'hu'guan
龙家关,long'jia'guan
龙驹镇,long'ju'zhen
龙骏,long'jun
龙泉铸剑谷,long'quan'zhu'jian'gu
龙蛇飞动,long'she'fei'dong
聋哑婆婆,long'ya'po'po
龙跃在渊,long'yue'zai'yuan
龙战于野,long'zhan'yu'ye
龙爪擒拿手,long'zhua'qin'na'shou
龙爪手,long'zhua'shou
搂膝拗步,lou'xi'niu'bu
陆伯,lu'bo
陆乘风,lu'cheng'feng
鲁达拔柳,lu'da'ba'liu
陆大有,lu'da'you
鹿鼎记,lu'ding'ji
陆鼎立,lu'ding'li
鹿鼎山,lu'ding'shan
陆二娘,lu'er'niang
陆菲青,lu'fei'qing
路副将,lu'fu'jiang
陆高轩,lu'gao'xuan
陆冠英,lu'guan'ying
六合刀,lu'he'dao
六合劲,lu'he'jin
六合枪,lu'he'qiang
六合拳,lu'he'quan
卢家庄,lu'jia'zhuang
陆家庄,lu'jia'zhuang
鲁坤,lu'kun
鲁连荣,lu'lian'rong
鹿清笃,lu'qing'du
陆天抒,lu'tian'shu
陆无双,lu'wu'shuang
卢一峰,lu'yi'feng
鲁有脚,lu'you'jiao
鹿杖客,lu'zhang'ke
鲁智深醉跌,lu'zhi'shen'zui'die
路自中峰上,lu'zi'zhong'feng'shang
乱环诀,luan'huan'jue
乱石寨,luan'shi'zhai
骆冰,luo'bing
罗大千,luo'da'qian
罗汉剑法,luo'han'jian'fa
罗汉拳,luo'han'quan
罗立如,luo'li'ru
罗人杰,luo'ren'jie
落日照大旗,luo'ri'zhao'da'qi
洛神凌波,luo'shen'ling'bo
罗信,luo'xin
螺旋九影,luo'xuan'jiu'ying
落雁拳,luo'yan'quan
洛阳韩家,luo'yang'han'jia
落英剑法,luo'ying'jian'fa
落英神剑掌,luo'ying'shen'jian'zhang
吕葆中,lv'bao'zhong
绿波香露刀解药,lv'bo'xiang'lu'dao'jie'yao
吕留良,lv'liu'liang
绿柳山庄,lv'liu'shan'zhuang
吕七,lv'qi
履霜冰至,lv'shuang'bing'zhi
吕文德,lv'wen'de
吕小妹,lv'xiao'mei
吕毅中,lv'yi'zhong
吕正平,lv'zheng'ping
绿竹林,lv'zhu'lin
绿竹翁,lv'zhu'weng
绿珠坠楼,lv'zhu'zhui'lou
马宝,ma'bao
马博仁,ma'bo'ren
马超兴,ma'chao'xing
马春花,ma'chun'hua
马大鸣,ma'da'ming
马大挺,ma'da'ting
马大元,ma'da'yuan
马法通,ma'fa'tong
马夫人,ma'fu'ren
马公子,ma'gong'zi
麻姑献寿,ma'gu'xian'shou
马光佐,ma'guang'zuo
马迹山,ma'ji'shan
马家骏,ma'jia'jun
马敬侠,ma'jing'xia
马喇,ma'la
玛米尔,ma'mi'er
马面挑心,ma'mian'tiao'xin
马鸣风萧萧,ma'ming'feng'xiao'xiao
马齐,ma'qi
马青雄,ma'qing'xiong
马善均,ma'shan'jun
马五德,ma'wu'de
麻溪铺,ma'xi'pu
马行空,ma'xing'kong
麻衣汉子,ma'yi'han'zi
马佑,ma'you
马钰,ma'yu
马真,ma'zhen
麦鲸,mai'jing
麦少帮主,mai'shao'bang'zhu
曼陀山庄,man'tuo'shan'zhuang
茅十八,mao'shi'ba
毛文珠,mao'wen'zhu
梅超风,mei'chao'feng
梅芳姑,mei'fang'gu
梅花拳,mei'hua'quan
梅剑,mei'jian
梅剑和,mei'jian'he
梅良鸣,mei'liang'ming
梅念笙,mei'nian'sheng
美女拳法,mei'nv'quan'fa
美人三招,mei'ren'san'zhao
梅文馨,mei'wen'xin
梅雪逢夏,mei'xue'feng'xia
梅雪争春,mei'xue'zheng'chun
闷香,men'xiang
孟伯飞,meng'bo'fei
蒙哥,meng'ge
梦姑,meng'gu
蒙古摔跤,meng'gu'shuai'jiao
蒙汗药,meng'han'yao
猛虎伏桩,meng'hu'fu'zhuang
猛虎下山,meng'hu'xia'shan
猛鸡夺粟,meng'ji'duo'su
孟家,meng'jia
孟家神拳,meng'jia'shen'quan
孟健雄,meng'jian'xiong
孟婆灌汤,meng'po'guan'tang
孟师叔,meng'shi'shu
孟铮,meng'zheng
孟正鸿,meng'zheng'hong
孟铸,meng'zhu
迷春酒,mi'chun'jiu
米横野,mi'heng'ye
弥勒庙,mi'le'miao
米思翰,mi'si'han
米为义,mi'wei'yi
密云不雨,mi'yun'bu'yu
面无人色,mian'wu'ren'se
绵掌,mian'zhang
妙风使,miao'feng'shi
苗家剑,miao'jia'jian
苗人凤,miao'ren'feng
苗若兰,miao'ruo'lan
妙相庵,miao'xiang'an
灭剑,mie'jian
灭绝师太,mie'jue'shi'tai
闵柔,min'rou
悯忠寺,min'zhong'si
闵子华,min'zi'hua
明教,ming'jiao
明驼骏足,ming'tuo'jun'zu
明霞岛,ming'xia'dao
鸣玉坊,ming'yu'fang
明月,ming'yue
明月羌笛,ming'yue'qiang'di
明珠,ming'zhu
莫愁,mo'chou
莫大,mo'da
摩诃巴思,mo'he'ba'si
摩诃指,mo'he'zhi
莫厘峰,mo'li'feng
魔龙天神剑,mo'long'tian'shen'jian
莫声谷,mo'sheng'gu
摩天崖,mo'tian'ya
木岛主,mu'dao'zhu
木高峰,mu'gao'feng
穆贵妃,mu'gui'fei
木华黎,mu'hua'li
沐家剑,mu'jia'jian
沐家拳,mu'jia'quan
沐剑屏,mu'jian'ping
沐剑声,mu'jian'sheng
木兰织衣,mu'lan'zhi'yi
穆念慈,mu'nian'ci
穆人清,mu'ren'qing
慕容博,mu'rong'bo
慕容复,mu'rong'fu
慕容景岳,mu'rong'jing'yue
木桑道长,mu'sang'dao'zhang
慕天颜,mu'tian'yan
木婉清,mu'wan'qing
沐王府,mu'wang'fu
木文察,mu'wen'cha
木叶萧萧,mu'ye'xiao'xiao
木卓伦,mu'zhuo'lun
纳斯尔丁,na'si'er'ding
拿云式,na'yun'shi
奈何功,nai'he'gong
南海椰花岛,nan'hai'ye'hua'dao
南怀仁,nan'huai'ren
南兰,nan'lan
南仁通,nan'ren'tong
南山掌法,nan'shan'zhang'fa
南少林派,nan'shao'lin'pai
南希仁,nan'xi'ren
内八卦掌法,nei'ba'gua'zhang'fa
倪不大,ni'bu'da
倪不小,ni'bu'xiao
霓裳金莲,ni'chang'jin'lian
倪浩,ni'hao
尼摩星,ni'mo'xing
泥鳅功,ni'qiu'gong
逆行经脉,ni'xing'jing'mai
拈花擒拿手,nian'hua'qin'na'shou
拈花寺,nian'hua'si
拈花指,nian'hua'zhi
聂钺,nie'yue
宁波天童寺心观和尚,ning'bo'tian'tong'si'xin'guan'he'shang
宁强盗,ning'qiang'dao
宁氏一剑,ning'shi'yi'jian
宁寿宫,ning'shou'gong
宁完我,ning'wan'wo
凝血神抓,ning'xue'shen'zhua
宁中则,ning'zhong'ze
牛黄犀角散,niu'huang'xi'jiao'san
牛黄血竭丹,niu'huang'xue'jie'dan
牛家村,niu'jia'cun
牛毛针解药,niu'mao'zhen'jie'yao
农夫,nong'fu
农妇,nong'fu
弄玉吹箫,nong'yu'chui'xiao
努儿海,nu'er'hai
女貌郎才珠万斛,nv'mao'lang'cai'zhu'wan'hu
欧阳峰,ou'yang'feng
欧阳锋,ou'yang'feng
欧阳公政,ou'yang'gong'zheng
欧阳克,ou'yang'ke
欧阳牧之,ou'yang'mu'zhi
徘徊空谷,pai'huai'kong'gu
盘根错节十八斧,pan'gen'cuo'jie'shi'ba'fu
盘弓射雕,pan'gong'she'diao
判官翻簿,pan'guan'fan'bu
盘回出壁箩,pan'hui'chu'bi'luo
潘天耕,pan'tian'geng
潘先生,pan'xian'sheng
潘秀达,pan'xiu'da
胖妇人,pang'fu'ren
胖丐,pang'gai
胖商人,pang'shang'ren
胖头陀,pang'tou'tuo
胖子,pang'zi
庖丁解牛掌,pao'ding'jie'niu'zhang
抛砖引玉,pao'zhuan'yin'yu
裴将军诗,pei'jiang'jun'shi
彭参将,peng'can'jiang
鹏程万里,peng'cheng'wan'li
彭连虎,peng'lian'hu
彭三春,peng'san'chun
彭莹玉,peng'ying'yu
彭长老,peng'zhang'lao
皮岛,pi'dao
批亢式,pi'kang'shi
劈空掌,pi'kong'zhang
霹雳拳,pi'li'quan
霹雳掌,pi'li'zhang
琵琶遮面,pi'pa'zhe'mian
皮清云,pi'qing'yun
砒霜,pi'shuang
砒鸩丸,pi'zhen'wan
缥缈峰,piao'miao'feng
飘雪穿云掌,piao'xue'chuan'yun'zhang
平阿四,ping'a'si
平等宝树王,ping'deng'bao'shu'wang
平夫人,ping'fu'ren
平工头,ping'gong'tou
平婆婆,ping'po'po
平四,ping'si
平旺先,ping'wang'xian
平威,ping'wei
平阳寨,ping'yang'zhai
平一指,ping'yi'zhi
破鞭式,po'bian'shi
破刀式,po'dao'shi
破盾,po'dun
破甲,po'jia
破剑式,po'jian'shi
破箭式,po'jian'shi
泼墨披麻剑法,po'mo'pi'ma'jian'fa
破衲功,po'na'gong
破牌,po'pai
破气式,po'qi'shi
破枪式,po'qiang'shi
破索式,po'suo'shi
破玉拳,po'yu'quan
破月锥,po'yue'zhui
破掌式,po'zhang'shi
普光寺,pu'guang'si
普济寺,pu'ji'si
普门杖法,pu'men'zhang'fa
菩提院,pu'ti'yuan
朴者和尚,pu'zhe'he'shang
齐伯涛,qi'bo'tao
戚长发,qi'chang'fa
七虫七花膏,qi'chong'qi'hua'gao
七虫软筋散,qi'chong'ruan'jin'san
戚芳,qi'fang
祁家剑,qi'jia'jian
祁六三,qi'liu'san
齐洛诺夫,qi'luo'nuo'fu
奇门三才刀,qi'men'san'cai'dao
奇门五转,qi'men'wu'zhuan
棋盘招式,qi'pan'zhao'shi
祁清彪,qi'qing'biao
杞人忧天,qi'ren'you'tian
七伤拳,qi'shang'quan
齐堂主,qi'tang'zhu
祁天彪,qi'tian'biao
七弦无形剑法,qi'xian'wu'xing'jian'fa
齐心宝树王,qi'xin'bao'shu'wang
七心海棠解药,qi'xin'hai'tang'jie'yao
齐元凯,qi'yuan'kai
齐云,qi'yun
祁志诚,qi'zhi'cheng
齐自勉,qi'zi'mian
千道纵横,qian'dao'zong'heng
千跌张,qian'die'zhang
钱二败,qian'er'bai
千古人龙,qian'gu'ren'long
千斤堕地,qian'jin'duo'di
千钧压驼,qian'jun'ya'tuo
乾坤大挪移,qian'kun'da'nuo'yi
钱老本,qian'lao'ben
千里不留行,qian'li'bu'liu'xing
千里横行,qian'li'heng'xing
千里流沙,qian'li'liu'sha
千里销魂香,qian'li'xiao'hun'xiang
千柳庄,qian'liu'zhuang
乾隆皇帝,qian'long'huang'di
潜龙堂,qian'long'tang
潜龙勿用,qian'long'wu'yong
乾清宫,qian'qing'gong
钱青健,qian'qing'jian
钱通四,qian'tong'si
钱正伦,qian'zheng'lun
千蛛万毒手,qian'zhu'wan'du'shou
抢珠式,qiang'zhu'shi
峭壁断云,qiao'bi'duan'yun
乔峰,qiao'feng
乔福,qiao'fu
俏鬼,qiao'gui
乔寨主,qiao'zhai'zhu
樵子,qiao'zi
秦栋,qin'dong
琴儿,qin'er
秦红棉,qin'hong'mian
秦娟,qin'juan
秦老五,qin'lao'wu
擒龙功,qin'long'gong
秦耐之,qin'nai'zhi
覃天丞,qin'tian'cheng
秦伟帮,qin'wei'bang
琴韵小筑,qin'yun'xiao'zhu
青城派,qing'cheng'pai
清毒复明膏药,qing'du'fu'ming'gao'yao
清风,qing'feng
青风阁,qing'feng'ge
清风引佩下瑶台,qing'feng'yin'pei'xia'yao'tai
青蜂针,qing'feng'zhen
晴画,qing'hua
情花坳,qing'hua'ao
清静庵,qing'jing'an
清凉寺,qing'liang'si
青灵子,qing'ling'zi
青龙滩,qing'long'tan
轻罗小扇,qing'luo'xiao'shan
轻上斜红,qing'shang'xie'hong
庆寿寺,qing'shou'si
青松望亭,qing'song'wang'ting
青陀罗花解药,qing'tuo'luo'hua'jie'yao
清心凝意,qing'xin'ning'yi
清虚道人,qing'xu'dao'ren
青阳观,qing'yang'guan
清音洞,qing'yin'dong
轻吟回风,qing'yin'hui'feng
清饮小酌,qing'yin'xiao'zhuo
青字九打,qing'zi'jiu'da
穷途末路,qiong'tu'mo'lu
丘处机,qiu'chu'ji
裘千尺,qiu'qian'chi
裘千仞,qiu'qian'ren
裘千丈,qiu'qian'zhang
邱山风,qiu'shan'feng
去傍马头生,qu'bang'ma'tou'sheng
去烦恼指,qu'fan'nao'zhi
曲非烟,qu'fei'yan
去腐消肌膏,qu'fu'xiao'ji'gao
取经棍法,qu'jing'gun'fa
曲三,qu'san
曲傻姑,qu'sha'gu
曲洋,qu'yang
曲走奈何,qu'zou'nai'he
全冠清,quan'guan'qing
泉建男,quan'jian'nan
全金发,quan'jin'fa
泉鸣芙蓉,quan'ming'fu'rong
全强盗,quan'qiang'dao
全真剑法,quan'zhen'jian'fa
全真教,quan'zhen'jiao
群邪辟易,qun'xie'pi'yi
群玉院,qun'yu'yuan
燃木刀法,ran'mu'dao'fa
绕指柔剑,rao'zhi'rou'jian
人厨子,ren'chu'zi
任飞燕,ren'fei'yan
人鬼同途,ren'gui'tong'tu
人参养荣丸,ren'shen'yang'rong'wan
任通武,ren'tong'wu
任我行,ren'wo'xing
任盈盈,ren'ying'ying
日精峰,ri'jing'feng
日月神教,ri'yue'shen'jiao
荣彩,rong'cai
容子矩,rong'zi'ju
柔儿,rou'er
柔情院,rou'qing'yuan
柔云剑术,rou'yun'jian'shu
如封似闭,ru'feng'si'bi
如来千手式,ru'lai'qian'shou'shi
如影随形腿,ru'ying'sui'xing'tui
阮士忠,ruan'shi'zhong
阮星竹,ruan'xing'zhu
蕊初,rui'chu
瑞大林,rui'da'lin
瑞栋,rui'dong
瑞芳,rui'fang
瑞婆婆,rui'po'po
若克琳,ruo'ke'lin
萨多,sa'duo
塞北白家堡,sai'bei'bai'jia'bao
赛总管,sai'zong'guan
三百六十一枚黑白棋子暗器手法,san'bai'liu'shi'yi'mei'hei'bai'qi'zi'an'qi'shou'fa
三杯吐言诺,san'bei'tu'yan'nuo
三虫三草毒,san'chong'san'cao'du
三斗坪,san'dou'ping
三分剑术,san'fen'jian'shu
三光寺,san'guang'si
三花聚顶掌法,san'hua'ju'ding'zhang'fa
散花掌,san'hua'zhang
三环套月,san'huan'tao'yue
三黄宝腊丸,san'huang'bao'la'wan
三入地狱,san'ru'di'yu
三圣庵,san'sheng'an
三圣坳,san'sheng'ao
三尸脑神丹,san'shi'nao'shen'dan
三无三不手,san'wu'san'bu'shou
三蜈五蟆烟,san'wu'wu'ma'yan
三笑逍遥散,san'xiao'xiao'yao'san
三休台,san'xiu'tai
三燕投林,san'yan'tou'lin
三铸神装,san'zhu'shen'zhuang
桑贝丸,sang'bei'wan
桑飞虹,sang'fei'hong
桑结,sang'jie
桑昆,sang'kun
桑拉巴,sang'la'ba
丧门鬼,sang'men'gui
桑三娘,sang'san'niang
桑斯,sang'si
桑土公,sang'tu'gong
扫荡群魔,sao'dang'qun'mo
扫雪烹茶,sao'xue'peng'cha
扫叶腿法,sao'ye'tui'fa
杀豹岗,sha'bao'gang
沙广天,sha'guang'tian
沙老大,sha'lao'da
莎梦坪,sha'meng'ping
煞神当道,sha'shen'dang'dao
煞神鬼,sha'shen'gui
沙天江,sha'tian'jiang
沙通天,sha'tong'tian
山从人面起,shan'cong'ren'mian'qi
闪电貂解药,shan'dian'diao'jie'yao
山门护法,shan'men'hu'fa
善人渡,shan'ren'du
山荪亭,shan'sun'ting
山外清音,shan'wai'qing'yin
山西童家,shan'xi'tong'jia
商宝震,shang'bao'zhen
上官,shang'guan
上官虹,shang'guan'hong
上官铁生,shang'guan'tie'sheng
上官毅山,shang'guan'yi'shan
上官云,shang'guan'yun
商家堡,shang'jia'bao
商老太,shang'lao'tai
上清观,shang'qing'guan
上清剑,shang'qing'jian
上清剑法,shang'qing'jian'fa
上清拳,shang'qing'quan
尚膳监,shang'shan'jian
赏心楼,shang'xin'lou
商阳剑,shang'yang'jian
少冲剑,shao'chong'jian
少妇,shao'fu
邵鹤,shao'he
少林长拳,shao'lin'chang'quan
少林伏魔神功,shao'lin'fu'mo'shen'gong
少林老僧,shao'lin'lao'seng
少林派,shao'lin'pai
少林擒拿十八打,shao'lin'qin'na'shi'ba'da
少商剑,shao'shang'jian
邵燕,shao'yan
少阳丹,shao'yang'dan
少泽剑,shao'ze'jian
蛇岛,she'dao
射雕英雄传,she'diao'ying'xiong'zhuan
慑服外道,she'fu'wai'dao
蛇口蜂针,she'kou'feng'zhen
舍利院,she'li'yuan
蛇磐青竹,she'pan'qing'zhu
蛇皮张,she'pi'zhang
舍身崖,she'shen'ya
蛇行狸翻,she'xing'li'fan
蛇行鼠窜,she'xing'shu'cuan
蛇药,she'yao
深藏身与名,shen'cang'shen'yu'ming
沈城,shen'cheng
沈德潜,shen'de'qian
神雕侠侣,shen'diao'xia'lv
身戒寺,shen'jie'si
神龙摆尾,shen'long'bai'wei
神龙教,shen'long'jiao
神门十三剑,shen'men'shi'san'jian
沈青刚,shen'qing'gang
申人俊,shen'ren'jun
神山上人,shen'shan'shang'ren
神蛇阁,shen'she'ge
参汤,shen'tang
神行百变,shen'xing'bai'bian
神音,shen'yin
神照经,shen'zhao'jing
神照上人,shen'zhao'shang'ren
申志凡,shen'zhi'fan
圣峰嶂,sheng'feng'zhang
圣火令武功,sheng'huo'ling'wu'gong
生生造化丹,sheng'sheng'zao'hua'dan
生死符,sheng'si'fu
生死符解药,sheng'si'fu'jie'yao
生死令,sheng'si'ling
生死一线,sheng'si'yi'xian
升天丸,sheng'tian'wan
圣因师太,sheng'yin'shi'tai
狮鼻子,shi'bi'zi
史镖头,shi'biao'tou
史秉光,shi'bing'guang
史秉文,shi'bing'wen
史伯威,shi'bo'wei
十步杀一人,shi'bu'sha'yi'ren
时乘六龙,shi'cheng'liu'long
施戴子,shi'dai'zi
史登达,shi'deng'da
石佛庙,shi'fo'miao
石关回马,shi'guan'hui'ma
史红石,shi'hong'shi
史火龙,shi'huo'long
史季强,shi'ji'qiang
释迦掷象功,shi'jia'zhi'xiang'gong
侍剑,shi'jian
试剑亭,shi'jian'ting
石骏,shi'jun
施琅,shi'lang
室里,shi'li
石梁派,shi'liang'pai
事了拂衣去,shi'liao'fu'yi'qu
石廪剑法,shi'lin'jian'fa
石廪书声,shi'lin'shu'sheng
施令威,shi'ling'wei
史孟龙,shi'meng'long
石破天,shi'po'tian
石破天惊,shi'po'tian'jing
石清,shi'qing
石清露,shi'qing'lu
石嫂,shi'sao
史叔刚,shi'shu'gang
石双英,shi'shuang'ying
史松,shi'song
石万嗔,shi'wan'chen
十香迷魂散,shi'xiang'mi'hun'san
十香软筋散,shi'xiang'ruan'jin'san
史小翠,shi'xiao'cui
史仲俊,shi'zhong'jun
史仲猛,shi'zhong'meng
石中玉,shi'zhong'yu
狮子吼,shi'zi'hou
十字手,shi'zi'shou
守备,shou'bei
瘦丐,shou'gai
手挥琵琶,shou'hui'pi'pa
手挥五弦,shou'hui'wu'xian
寿康宫,shou'kang'gong
寿南山,shou'nan'shan
守缺式,shou'que'shi
瘦商人,shou'shang'ren
瘦头陀,shou'tou'tuo
术赤,shu'chi
蜀道难牌法,shu'dao'nan'pai'fa
书法武学,shu'fa'wu'xue
舒化龙,shu'hua'long
书记,shu'ji
书剑恩仇录,shu'jian'en'chou'lu
淑女剑,shu'nv'jian
舒奇,shu'qi
树梢擒猴,shu'shao'qin'hou
书生,shu'sheng
书僮,shu'tong
双儿,shuang'er
双凤驿,shuang'feng'yi
双龙取水,shuang'long'qu'shui
双手互搏,shuang'shou'hu'bo
双塔堡,shuang'ta'bao
双驼西来,shuang'tuo'xi'lai
水岱,shui'dai
水福,shui'fu
水鉴,shui'jian
水乐洞,shui'le'dong
水笙,shui'sheng
水仙庄,shui'xian'zhuang
水云道人,shui'yun'dao'ren
顺水推舟,shun'shui'tui'zhou
说不得,shuo'bu'de
朔风忽起,shuo'feng'hu'qi
朔风狂啸,shuo'feng'kuang'xiao
思过崖,si'guo'ya
四海遨游,si'hai'ao'you
司空玄,si'kong'xuan
丝萝百结,si'luo'bai'jie
司马大,si'ma'da
司马林,si'ma'lin
司徒伯雷,si'tu'bo'lei
司徒鹤,si'tu'he
司徒横,si'tu'heng
司徒雷,si'tu'lei
司徒千钟,si'tu'qian'zhong
四象步法,si'xiang'bu'fa
四象掌法,si'xiang'zhang'fa
宋德方,song'de'fang
松风观,song'feng'guan
松风剑法,song'feng'jian'fa
宋青书,song'qing'shu
嵩山剑法,song'shan'jian'fa
宋善朋,song'shan'peng
松韶关,song'shao'guan
宋太祖,song'tai'zu
松涛如雷,song'tao'ru'lei
宋天保,song'tian'bao
宋五,song'wu
松下对弈,song'xia'dui'yi
宋献策,song'xian'ce
嵩旭一振,song'xu'yi'zhen
嵩阳干元,song'yang'gan'yuan
嵩阳派,song'yang'pai
宋远桥,song'yuan'qiao
宋长老,song'zhang'lao
苏菲亚,su'fei'ya
苏冈,su'gang
苏鲁克,su'lu'ke
苏梦清,su'meng'qing
苏普,su'pu
苏荃,su'quan
苏习之,su'xi'zhi
苏星河,su'xing'he
苏辙,su'zhe
酸儒文人,suan'ru'wen'ren
孙不二,sun'bu'er
孙大善,sun'da'shan
孙伏虎,sun'fu'hu
孙刚峰,sun'gang'feng
孙均,sun'jun
孙克通,sun'ke'tong
孙老三,sun'lao'san
孙婆婆,sun'po'po
孙三毁,sun'san'hui
孙思克,sun'si'ke
孙万年,sun'wan'nian
损则有孚,sun'ze'you'fu
孙仲寿,sun'zhong'shou
孙仲尹,sun'zhong'yin
索额图,suo'e'tu
太别山,tai'bie'shan
太皇太后,tai'huang'tai'hou
太极剑,tai'ji'jian
太极门,tai'ji'men
太极拳,tai'ji'quan
台麓寺,tai'lu'si
泰山剑法,tai'shan'jian'fa
泰山派,tai'shan'pai
泰山十八盘,tai'shan'shi'ba'pan
胎死腹中,tai'si'fu'zhong
太虚子,tai'xu'zi
太乙派,tai'yi'pai
太岳三青峰,tai'yue'san'qing'feng
太祖棒,tai'zu'bang
太祖长拳,tai'zu'chang'quan
谭处端,tan'chu'duan
谭迪人,tan'di'ren
谭公,tan'gong
谭婆,tan'po
谭青,tan'qing
潭头铺,tan'tou'pu
谭文理,tan'wen'li
弹指峰,tan'zhi'feng
弹指神通,tan'zhi'shen'tong
唐光雄,tang'guang'xiong
汤和,tang'he
唐六爷,tang'liu'ye
唐努山,tang'nu'shan
汤沛,tang'pei
汤若望,tang'ruo'wang
唐诗剑法,tang'shi'jian'fa
唐文亮,tang'wen'liang
唐洋,tang'yang
汤祖德,tang'zu'de
陶百岁,tao'bai'sui
桃干仙,tao'gan'xian
桃根仙,tao'gen'xian
桃红,tao'hong
陶红英,tao'hong'ying
