阿斗当皇帝软弱无能,a'dou'dang'huang'di'ruan'ruo'wu'neng
耕农,geng'nong
耿武,geng'wu
攻必取,gong'bi'qu
弓兵,gong'bing
功曹,gong'cao
公曾,gong'ceng
公达,gong'da
龚都,gong'du
公覆,gong'fu
弓高,gong'gao
公衡,gong'heng
公祜,gong'hu
公纪,gong'ji
公绩,gong'ji
公节,gong'jie
公瑾,gong'jin
龚景,gong'jing
共抗曹军,gong'kang'cao'jun
共抗曹魏,gong'kang'cao'wei
公礼,gong'li
公刘,gong'liu
共六十五卷,gong'liu'shi'wu'juan
公路,gong'lu
攻雒城黄魏立功,gong'luo'cheng'huang'wei'li'gong
公闾,gong'lv
公明,gong'ming
公祺,gong'qi
龚起,gong'qi
公丘,gong'qiu
攻取汉中,gong'qu'han'zhong
公仁,gong'ren
公山,gong'shan
公寿,gong'shou
公嗣,gong'si
恭嗣,gong'si
公孙度,gong'sun'du
公孙恭,gong'sun'gong
公孙晃,gong'sun'huang
公孙康,gong'sun'kang
公孙修,gong'sun'xiu
公孙渊,gong'sun'yuan
公孙渊兵败死襄平,gong'sun'yuan'bing'bai'si'xiang'ping
公孙越,gong'sun'yue
公孙瓒,gong'sun'zan
公台,gong'tai
公悌,gong'ti
公伟,gong'wei
公威,gong'wei
恭武,gong'wu
龚袭,gong'xi
共县,gong'xian
巩县,gong'xian
公孝,gong'xiao
公休,gong'xiu
公绪,gong'xu
公琰,gong'yan
公业,gong'ye
公奕,gong'yi
攻占,gong'zhan
公昭,gong'zhao
公至,gong'zhi
巩志,gong'zhi
公知其一,gong'zhi'qi'yi
公祖,gong'zu
恭祖,gong'zu
苟安,gou'an
苟漏,gou'lou
沟曲,gou'qu
缑氏,gou'shi
故安,gu'an
谷昌,gu'chang
谷城,gu'cheng
故道,gu'dao
古锭刀,gu'ding'dao
固非一道,gu'fei'yi'dao
故高祖以宽仁得之,gu'gao'zu'yi'kuan'ren'de'zhi
谷利,gu'li
姑幕,gu'mu
固始,gu'shi
谷熟,gu'shu
鼓舞,gu'wu
谷阳,gu'yang
孤亦不能自保,gu'yi'bu'neng'zi'bao
顾雍,gu'yong
谷远,gu'yuan
姑臧,gu'zang
故鄣,gu'zhang
刮骨疗毒,gua'gu'liao'du
刮骨疗毒谈笑风声,gua'gu'liao'du'tan'xiao'feng'sheng
挂印封金,gua'yin'feng'jin
关纯,guan'chun
关帝庙里拜观音找错了门,guan'di'miao'li'bai'guan'yin'zhao'cuo'le'men
关帝庙里挂观音像名不符实,guan'di'miao'li'gua'guan'yin'xiang'ming'bu'fu'shi
关帝庙求子踏错了门,guan'di'miao'qiu'zi'ta'cuo'le'men
关定,guan'ding
关东,guan'dong
关东兵,guan'dong'bing
关东联军,guan'dong'lian'jun
关东州郡,guan'dong'zhou'jun
官渡之战,guan'du'zhi'zhan
关二爷,guan'er'ye
关公赴会单刀直入,guan'gong'fu'hui'dan'dao'zhi'ru
关公喝酒不怕脸红,guan'gong'he'jiu'bu'pa'lian'hong
关公进曹营单刀直入,guan'gong'jin'cao'ying'dan'dao'zhi'ru
关公开凤眼要杀人,guan'gong'kai'feng'yan'yao'sha'ren
关公面前耍大刀自不量力,guan'gong'mian'qian'shua'da'dao'zi'bu'liang'li
关公耍大刀拿手好戏,guan'gong'shua'da'dao'na'shou'hao'xi
关公战李逵大刀阔斧,guan'gong'zhan'li'kui'da'dao'kuo'fu
关公照镜子自觉脸红,guan'gong'zhao'jing'zi'zi'jue'lian'hong
关公赚城斩车胄,guan'gong'zhuan'cheng'zhan'che'zhou
管亥,guan'hai
观津,guan'jin
官爵至,guan'jue'zhi
冠军,guan'jun
关老爷面前耍大刀不自量力,guan'lao'ye'mian'qian'shua'da'dao'bu'zi'liang'li
管辂,guan'lu
管辂舅,guan'lu'jiu
关内侯,guan'nei'hou
关宁,guan'ning
管宁,guan'ning
关平,guan'ping
贯日,guan'ri
关索,guan'suo
馆陶,guan'tao
关兴,guan'xing
关兴为,guan'xing'wei
观阳,guan'yang
关彝,guan'yi
官雝,guan'yong
关羽,guan'yu
关羽打喷嚏自我吹嘘,guan'yu'da'pen'ti'zi'wo'chui'xu
关羽赴宴有胆有魄,guan'yu'fu'yan'you'dan'you'po
关羽看春秋一目了然,guan'yu'kan'chun'qiu'yi'mu'liao'ran
关羽流鼻血红上加红,guan'yu'liu'bi'xue'hong'shang'jia'hong
关羽卖肉没人敢来,guan'yu'mai'rou'mei'ren'gan'lai
关羽也,guan'yu'ye
关云长败走麦城,guan'yun'chang'bai'zou'mai'cheng
关云长单刀赴会,guan'yun'chang'dan'dao'fu'hui
关云长放屁不知脸红,guan'yun'chang'fang'pi'bu'zhi'lian'hong
关云长放水淹七军,guan'yun'chang'fang'shui'yan'qi'jun
关云长刮骨疗毒,guan'yun'chang'gua'gu'liao'du
关云长刮骨疗毒全无痛苦之色,guan'yun'chang'gua'gu'liao'du'quan'wu'tong'ku'zhi'se
关云长刮骨疗毒若无其事,guan'yun'chang'gua'gu'liao'du'ruo'wu'qi'shi
关云长刮骨下棋若无其事,guan'yun'chang'gua'gu'xia'qi'ruo'wu'qi'shi
关云长挂印封金,guan'yun'chang'gua'yin'feng'jin
关云长卖豆腐人硬货不硬,guan'yun'chang'mai'dou'fu'ren'ying'huo'bu'ying
关云长义释曹操,guan'yun'chang'yi'shi'cao'cao
关云长义释黄汉升,guan'yun'chang'yi'shi'huang'han'sheng
关云长走麦城大难临头,guan'yun'chang'zou'mai'cheng'da'nan'lin'tou
关张共擒王刘二将,guan'zhang'gong'qin'wang'liu'er'jiang
关张马黄赵传,guan'zhang'ma'huang'zhao'chuan
关中,guan'zhong
广昌,guang'chang
广川,guang'chuan
广都,guang'dou
广干,guang'gan
广汉,guang'han
广汉郡,guang'han'jun
广陵,guang'ling
广陵郡,guang'ling'jun
光禄大夫,guang'lu'dai'fu
光禄勋,guang'lu'xun
广牧,guang'mu
广年,guang'nian
广宁,guang'ning
犷平,guang'ping
广戚,guang'qi
广柔,guang'rou
广武,guang'wu
广县,guang'xian
广信,guang'xin
广衍,guang'yan
广阳,guang'yang
广阳郡,guang'yang'jun
广郁,guang'yu
广至,guang'zhi
广宗,guang'zong
眭固,gui'gu
妫览,gui'lan
桂林,gui'lin
归命侯,gui'ming'hou
贵山城,gui'shan'cheng
桂阳,gui'yang
桂阳郡,gui'yang'jun
眭元进,gui'yuan'jin
郭常,guo'chang
郭常子,guo'chang'zi
郭恩,guo'en
国辅,guo'fu
郭夫人,guo'fu'ren
郭贵妃,guo'gui'fei
郭淮,guo'huai
郭嘉,guo'jia
郭嘉遗计定辽东,guo'jia'yi'ji'ding'liao'dong
郭妻,guo'qi
国让,guo'rang
国山,guo'shan
郭胜,guo'sheng
郭汜,guo'si
郭图,guo'tu
过五关斩六将,guo'wu'guan'zhan'liu'jiang
崞县,guo'xian
郭奕,guo'yi
郭永,guo'yong
郭攸之,guo'you'zhi
国贼行凶杀贵妃,guo'zei'xing'xiong'sha'gui'fei
还比较大,hai'bi'jiao'da
海昏,hai'hun
海陵,hai'ling
海冥,hai'ming
海盐,hai'yan
海阳,hai'yang
汉安,han'an
汉兵劫寨破曹真,han'bing'jie'zhai'po'cao'zhen
汉昌,han'chang
韩崔高孙王传,han'cui'gao'sun'wang'chuan
邯郸,han'dan
韩当,han'dang
韩德,han'de
韩福,han'fu
韩馥,han'fu
韩浩,han'hao
韩珩,han'heng
憨侯,han'hou
韩暨,han'ji
汉嘉,han'jia
韩莒子,han'ju'zi
汉军,han'jun
含洭,han'kuang
汉灵帝,han'ling'di
韩猛,han'meng
汉末,han'mo
汉末群雄,han'mo'qun'xiong
汉末三国,han'mo'san'guo
汉宁,han'ning
韩琪,han'qi
韩琼,han'qiong
韩融,han'rong
汉升,han'sheng
汉室末路,han'shi'mo'lu
汉室倾颓,han'shi'qing'tui
汉寿,han'shou
汉寿侯五关斩六将,han'shou'hou'wu'guan'zhan'liu'jiang
汉书,han'shu
韩嵩,han'song
韩遂,han'sui
寒铁双股剑锻造书,han'tie'shuang'gu'jian'duan'zao'shu
汉王正位继大统,han'wang'zheng'wei'ji'da'tong
韩暹,han'xian
汉献帝,han'xian'di
韩玄,han'xuan
汉阳,han'yang
汉阳郡,han'yang'jun
韩瑶,han'yao
韩胤,han'yin
韩瑛,han'ying
含章,han'zhang
汉昭烈帝,han'zhao'lie'di
韩祯,han'zhen
汉中,han'zhong
韩忠,han'zhong
汉中郡,han'zhong'jun
汉中王,han'zhong'wang
含资,han'zi
韩综,han'zong
好兵而无权,hao'bing'er'wu'quan
豪烈,hao'lie
郝萌,hao'meng
好谋无断,hao'mou'wu'duan
豪强地主,hao'qiang'di'zhu
浩亹,hao'wei
郝昭,hao'zhao
河北,he'bei
河北遵化西北,he'bei'zun'hua'xi'bei
和常杨杜赵裴传,he'chang'yang'du'zhao'pei'chuan
河道,he'dao
河东郡,he'dong'jun
喝断当阳桥,he'duan'dang'yang'qiao
合肥,he'fei
合肥会战,he'fei'hui'zhan
河关,he'guan
何国舅,he'guo'jiu
何国舅谋诛宦竖,he'guo'jiu'mou'zhu'huan'shu
河间国,he'jian'guo
何进,he'jin
合久必分,he'jiu'bi'fen
何曼,he'man
何苗,he'miao
河南,he'nan
河南许昌东,he'nan'xu'chang'dong
河南尹,he'nan'yin
河内郡,he'nei'jun
河内温人,he'nei'wen'ren
合浦,he'pu
合浦郡,he'pu'jun
和洽,he'qia
贺全吕周钟离传,he'quan'lv'zhou'zhong'li'chuan
何氏,he'shi
何太后,he'tai'hou
合乡,he'xiang
何须千古名不朽,he'xu'qian'gu'ming'bu'xiu
何晏,he'yan
河阳,he'yang
颌阳,he'yang
何仪,he'yi
河阴,he'yin
何顒,he'yu
何植,he'zhi
何宗,he'zong
何足忧乎,he'zu'you'hu
黑麒麟,hei'qi'lin
佷山,hen'shan
横江将军,heng'jiang'jiang'jun
弘农,hong'nong
弘农郡,hong'nong'jun
虹县,hong'xian
鸿豫,hong'yu
后槽,hou'cao
侯成,hou'cheng
候城,hou'cheng
后典军,hou'dian'jun
后妃传第五,hou'fei'chuan'di'wu
后汉书,hou'han'shu
后加晋王,hou'jia'jin'wang
后将军,hou'jiang'jun
侯爵,hou'jue
后军,hou'jun
侯览,hou'lan
厚丘,hou'qiu
侯相,hou'xiang
侯选,hou'xuan
后主传,hou'zhu'chuan
后主降魏不知羞耻,hou'zhu'jiang'wei'bu'zhi'xiu'chi
胡班,hu'ban
虎豹骑,hu'bao'qi
湖北宜都,hu'bei'yi'du
虎贲大刀,hu'ben'da'dao
虎贲方天戟,hu'ben'fang'tian'ji
虎贲中郎将,hu'ben'zhong'lang'jiang
胡才,hu'cai
胡车儿,hu'che'er
虎臣,hu'chen
虎痴,hu'chi
胡赤儿,hu'chi'er
胡冲,hu'chong
胡奋,hu'fen
壶关,hu'guan
虎侯许褚,hu'hou'xu'chu
胡华,hu'hua
胡济,hu'ji
呼揭,hu'jie
护军,hu'jun
护军将军,hu'jun'jiang'jun
虎牢关,hu'lao'guan
胡烈,hu'lie
湖陆,hu'lu
胡邈,hu'miao
狐奴,hu'nu
胡氏,hu'shi
湖熟,hu'shu
虎王牙炼,hu'wang'ya'lian
虎威将军,hu'wei'jiang'jun
湖县,hu'xian
鄠县,hu'xian
湖阳,hu'yang
胡渊,hu'yuan
胡轸,hu'zhen
胡质,hu'zhi
胡忠,hu'zhong
胡遵,hu'zun
华核,hua'he
华容,hua'rong
华容道,hua'rong'dao
华铤,hua'ting
华佗,hua'tuo
华歆,hua'xin
华雄,hua'xiong
华阴,hua'yin
花永,hua'yong
花鬃马,hua'zong'ma
淮河,huai'he
槐里,huai'li
淮陵,huai'ling
淮南部分,huai'nan'bu'fen
淮浦,huai'pu
怀王霸之计,huai'wang'ba'zhi'ji
怀县,huai'xian
淮阴,huai'yin
獂道,huan'dao
桓二陈徐卫卢传,huan'er'chen'xu'wei'lu'chuan
桓范,huan'fan
宦官,huan'guan
桓嘉,huan'jia
桓玠,huan'jie
桓阶,huan'jie
欢泥,huan'ni
环眼贼,huan'yan'zei
圜阳,huan'yang
桓彝,huan'yi
圜阴,huan'yin
黄承彦,huang'cheng'yan
黄崇,huang'chong
黄初,huang'chu
黄初元年,huang'chu'yuan'nian
黄帝剑,huang'di'jian
皇甫闿,huang'fu'kai
皇甫郦,huang'fu'li
皇甫嵩,huang'fu'song
黄盖,huang'gai
黄皓,huang'hao
黄鹤楼,huang'he'lou
黄巾军,huang'jin'jun
黄巾军三十万,huang'jin'jun'san'shi'wan
黄巾起义,huang'jin'qi'yi
黄巾之乱,huang'jin'zhi'luan
黄奎,huang'kui
黄李吕马王张传,huang'li'lv'ma'wang'zhang'chuan
黄龙,huang'long
黄门丞,huang'men'cheng
黄门令,huang'men'ling
黄门侍郎,huang'men'shi'lang
黄权,huang'quan
黄劭,huang'shao
黄氏,huang'shi
皇叔,huang'shu
皇叔败走投袁绍,huang'shu'bai'zou'tou'yuan'shao
黄天当立,huang'tian'dang'li
黄琬,huang'wan
黄武,huang'wu
黄县,huang'xian
皇者之路,huang'zhe'zhi'lu
黄忠,huang'zhong
黄忠交朋友人老心不老,huang'zhong'jiao'peng'you'ren'lao'xin'bu'lao
黄忠抡大锤老当益壮,huang'zhong'lun'da'chui'lao'dang'yi'zhuang
黄忠射关公手下留情,huang'zhong'she'guan'gong'shou'xia'liu'qing
黄忠射箭百发百中,huang'zhong'she'jian'bai'fa'bai'zhong
黄祖,huang'zu
回复,hui'fu
恢复结盟关系,hui'fu'jie'meng'guan'xi
会古城主臣聚义,hui'gu'cheng'zhu'chen'ju'yi
挥泪斩马谡,hui'lei'zhan'ma'su
惠恕,hui'shu
会水,hui'shui
会晤,hui'wu
诲西,hui'xi
混乱,hun'luan
浑弥,hun'mi
祸福共之,huo'fu'gong'zhi
火攻荆州,huo'gong'jing'zhou
火鬼葫芦,huo'gui'hu'lu
祸国大师,huo'guo'da'shi
获嘉,huo'jia
霍峻,huo'jun
火麒麟,huo'qi'lin
火烧博望坡,huo'shao'bo'wang'po
火烧曹兵,huo'shao'cao'bing
火烧连营,huo'shao'lian'ying
火烧新野,huo'shao'xin'ye
火神娘娘,huo'shen'niang'niang
火矢,huo'shi
霍王向张杨费传,huo'wang'xiang'zhang'yang'fei'chuan
霍弋,huo'yi
活跃,huo'yue
蠖泽,huo'ze
或者在,huo'zhe'zai
祸至无日矣,huo'zhi'wu'ri'yi
济北,ji'bei
济北国,ji'bei'guo
季弼,ji'bi
计必从,ji'bi'cong
机伯,ji'bo
季才,ji'cai
季常,ji'chang
继东汉而出现,ji'dong'han'er'chu'xian
季珪,ji'gui
祭酒,ji'jiu
箕陵,ji'ling
纪灵,ji'ling
祭泸水汉相班师,ji'lu'shui'han'xiang'ban'shi
吉邈,ji'miao
即墨,ji'mo
吉穆,ji'mu
济南国,ji'nan'guo
季宁,ji'ning
吉平,ji'ping
季平,ji'ping
激起,ji'qi
即丘,ji'qiu
季权,ji'quan
季然,ji'ran
既生瑜何生亮,ji'sheng'yu'he'sheng'liang
己氏,ji'shi
记室,ji'shi
际氏,ji'shi
给事中,ji'shi'zhong
技术,ji'shu
记孙权称,ji'sun'quan'cheng
吉太,ji'tai
吉太医下毒遭刑,ji'tai'yi'xia'du'zao'xing
机铁螭虎图,ji'tie'chi'hu'tu
机铁火神弓锻造书,ji'tie'huo'shen'gong'duan'zao'shu
机铁连环弓,ji'tie'lian'huan'gong
机铁神鹰图,ji'tie'shen'ying'tu
机铁狻猊图,ji'tie'suan'ni'tu
机铁炎凰图,ji'tie'yan'huang'tu
机铁异龙图,ji'tie'yi'long'tu
己吾,ji'wu
冀县,ji'xian
汲县,ji'xian
蓟县,ji'xian
季行,ji'xing
急兄仇张飞遇害,ji'xiong'chou'zhang'fei'yu'hai
季休,ji'xiu
稽徐,ji'xu
季彦,ji'yan
棘阳,ji'yang
讥议,ji'yi
济阴,ji'yin
济阴郡,ji'yin'jun
季玉,ji'yu
季重,ji'zhong
冀州,ji'zhou
冀州刺史部,ji'zhou'ci'shi'bu
冀州牧,ji'zhou'mu
纪传体国别史,ji'zhuan'ti'guo'bie'shi
季佐,ji'zuo
贾充,jia'chong
贾范,jia'fan
嘉禾,jia'he
贾华,jia'hua
贾逵,jia'kui
家令,jia'ling
葭萌,jia'meng
嘉平,jia'ping
假投降巧计成虚话,jia'tou'xiang'qiao'ji'cheng'xu'hua
假途灭虢,jia'tu'mie'guo
贾文和料敌决胜,jia'wen'he'liao'di'jue'sheng
郏县,jia'xian
贾诩,jia'xu
家族背景,jia'zu'bei'jing
建安,jian'an
建安八年,jian'an'ba'nian
建安二年,jian'an'er'nian
建安风骨,jian'an'feng'gu
建安九年,jian'an'jiu'nian
建安六年,jian'an'liu'nian
建安七年,jian'an'qi'nian
建安三年,jian'an'san'nian
建安十二年,jian'an'shi'er'nian
建安十六年,jian'an'shi'liu'nian
建安十年,jian'an'shi'nian
建安十三年,jian'an'shi'san'nian
建安十四年,jian'an'shi'si'nian
建安十五年,jian'an'shi'wu'nian
建安十一年,jian'an'shi'yi'nian
建安四年,jian'an'si'nian
建安文学,jian'an'wen'xue
建安五年,jian'an'wu'nian
建安元年,jian'an'yuan'nian
建昌,jian'chang
建城,jian'cheng
湔氐道,jian'di'dao
间谍,jian'die
荐杜预老将献新谋,jian'du'yu'lao'jiang'xian'xin'mou
建公,jian'gong
建国曹魏,jian'guo'cao'wei
建衡,jian'heng
建晋朝,jian'jin'chao
监军春秋,jian'jun'chun'qiu
建康,jian'kang
坚昆,jian'kun
建伶,jian'ling
见木像魏都督丧胆,jian'mu'xiang'wei'du'du'sang'dan
监农御史,jian'nong'yu'shi
建平,jian'ping
蹇硕,jian'shuo
建威将军,jian'wei'jiang'jun
键为郡,jian'wei'jun
键为属国,jian'wei'shu'guo
建武将军,jian'wu'jiang'jun
建武中郎将,jian'wu'zhong'lang'jiang
菅县,jian'xian
见小利而忘命,jian'xiao'li'er'wang'ming
建兴,jian'xing
建阳,jian'yang
建业,jian'ye
监冶谒者,jian'ye'ye'zhe
谏议大夫,jian'yi'da'fu
渐以陵替,jian'yi'ling'ti
简雍,jian'yong
建元,jian'yuan
蒋班,jiang'ban
蒋斌,jiang'bin
姜伯约归降孔明,jiang'bo'yue'gui'xiang'kong'ming
江乘,jiang'cheng
江东,jiang'dong
江东部分,jiang'dong'bu'fen
江都,jiang'du
蒋干,jiang'gan
蒋干盗书,jiang'gan'dao'shu
蒋干盗书上了大当,jiang'gan'dao'shu'shang'le'da'dang
蒋济,jiang'ji
姜冏,jiang'jiong
将军,jiang'jun
将军外托服从之名,jiang'jun'wai'tuo'fu'cong'zhi'ming
江陵,jiang'ling
江陵侯,jiang'ling'hou
蒋奇,jiang'qi
蒋钦,jiang'qin
蒋舒,jiang'shu
降孙皓三分归一统,jiang'sun'hao'san'fen'gui'yi'tong
蒋琬,jiang'wan
蒋琬费祎姜维传,jiang'wan'fei'yi'jiang'wei'chuan
姜维,jiang'wei
姜维背水破大敌,jiang'wei'bei'shui'po'da'di
姜维兵败牛头山,jiang'wei'bing'bai'niu'tou'shan
姜维斗阵破邓艾,jiang'wei'dou'zhen'po'deng'ai
姜维弃粮胜魏兵,jiang'wei'qi'liang'sheng'wei'bing
江西九江西南,jiang'xi'jiu'jiang'xi'nan
江夏郡,jiang'xia'jun
蒋显,jiang'xian
将形疲神困,jiang'xing'pi'shen'kun
姜叙,jiang'xu
姜叙母,jiang'xu'mu
蒋延,jiang'yan
江阳,jiang'yang
绛邑,jiang'yi
蒋义渠,jiang'yi'qu
疆域,jiang'yu
江原,jiang'yuan
江州,jiang'zhou
将作大臣,jiang'zuo'da'chen
焦炳,jiao'bing
焦伯,jiao'bo
焦触,jiao'chu
胶东,jiao'dong
交河城,jiao'he'cheng
教令,jiao'ling
焦彝,jiao'yi
交趾郡,jiao'zhi'jun
交州,jiao'zhou
交州刺史部,jiao'zhou'ci'shi'bu
阶层,jie'ceng
借东风,jie'dong'feng
皆贵在随机应变,jie'gui'zai'sui'ji'ying'bian
结盟,jie'meng
结盟关系,jie'meng'guan'xi
皆轻佻果躁,jie'qing'tiao'guo'zao
皆人杰也,jie'ren'jie'ye
劫乌巢孟德烧粮,jie'wu'chao'meng'de'shao'liang
皆言其情,jie'yan'qi'qing
揭阳,jie'yang
今安徽亳州,jin'an'hui'bo'zhou
金曹从事,jin'cao'cong'shi
晋朝,jin'chao
晋朝朝臣,jin'chao'chao'chen
进乘,jin'cheng
金城,jin'cheng
金城郡,jin'cheng'jun
晋承魏,jin'cheng'wei
晋代,jin'dai
晋代魏,jin'dai'wei
锦帆贼,jin'fan'zei
今河南温县,jin'he'nan'wen'xian
今湖北蒲圻西北,jin'hu'bei'pu'qi'xi'bei
金虎枪,jin'hu'qiang
金环三结,jin'huan'san'jie
金甲雄狮,jin'jia'xiong'shi
尽揽朝政,jin'lan'chao'zheng
今刘璋暗弱,jin'liu'zhang'an'ruo
锦马超,jin'ma'chao
今蒙主上托以重任者,jin'meng'zhu'shang'tuo'yi'zhong'ren'zhe
晋灭东吴,jin'mie'dong'wu
晋灭吴,jin'mie'wu
今内蒙古包头,jin'nei'meng'gu'bao'tou
今日受死,jin'ri'shou'si
进入益州,jin'ru'yi'zhou
金尚,jin'shang
金石之言,jin'shi'zhi'yan
晋书,jin'shu
今所志未遂,jin'suo'zhi'wei'sui
晋文帝,jin'wen'di
晋武帝,jin'wu'di
金乡,jin'xiang
靳祥,jin'xiang
金旋,jin'xuan
晋宣帝,jin'xuan'di
晋阳,jin'yang
晋阳侯,jin'yang'hou
金祎,jin'yi
金印紫绶,jin'yin'zi'shou
金羽扇,jin'yu'shan
今与吾水火相敌者,jin'yu'wu'shui'huo'xiang'di'zhe
今战败则羞,jin'zhan'bai'ze'xiu
今浙江富阳,jin'zhe'jiang'fu'yang
敬才,jing'cai
景初,jing'chu
景初二年,jing'chu'er'nian
景春,jing'chun
敬达,jing'da
惊帆,jing'fan
敬风,jing'feng
经济发展,jing'ji'fa'zhan
经济生产,jing'ji'sheng'chan
精绝,jing'jue
惊雷锻造书,jing'lei'duan'zao'shu
敬礼,jing'li
京陵,jing'ling
竟陵,jing'ling
景明,jing'ming
景倩,jing'qian
景升,jing'sheng
京县,jing'xian
泾县,jing'xian
荆襄九郡,jing'xiang'jiu'jun
荆襄之变,jing'xiang'zhi'bian
井陉,jing'xing
景兴,jing'xing
景耀,jing'yao
景元,jing'yuan
景元四年,jing'yuan'si'nian
京兆尹,jing'zhao'yin
敬仲,jing'zhong
荆州,jing'zhou
荆州城公子三求计,jing'zhou'cheng'gong'zi'san'qiu'ji
荆州刺史部,jing'zhou'ci'shi'bu
荆州混战,jing'zhou'hun'zhan
救白马曹操解重围,jiu'bai'ma'cao'cao'jie'chong'wei
九伐中原,jiu'fa'zhong'yuan
酒豪,jiu'hao
九江郡,jiu'jiang'jun
九门,jiu'men
九牛二虎丸,jiu'niu'er'hu'wan
酒泉郡,jiu'quan'jun
救寿春于诠死节,jiu'shou'chun'yu'quan'si'jie
臼水,jiu'shui
厩奚,jiu'xi
九原,jiu'yuan
九真郡,jiu'zhen'jun
句安,ju'an
聚兵反抗,ju'bing'fan'kang
居巢,ju'chao
巨达,ju'da
居风,ju'feng
巨高,ju'gao
据汉水赵云寡胜少,ju'han'shui'zhao'yun'gua'sheng'shao
沮鹄,ju'hu
巨鹿,ju'lu
巨鹿郡,ju'lu'jun
巨平,ju'ping
巨阙剑,ju'que'jian
句容,ju'rong
沮授,ju'shou
居肃,ju'su
剧县,ju'xian
巨先,ju'xian
沮县,ju'xian
莒县,ju'xian
居延,ju'yan
居延属国,ju'yan'shu'guo
剧阳,ju'yang
句阳,ju'yang
沮阳,ju'yang
巨野,ju'ye
巨源,ju'yuan
句章,ju'zhang
鄄城,juan'cheng
卷县,juan'xian
绝代佳人,jue'dai'jia'ren
爵加则知荣,jue'jia'ze'zhi'rong
决胜于千里之外,jue'sheng'yu'qian'li'zhi'wai
爵位,jue'wei
绝影,jue'ying
决漳河许攸献计,jue'zhang'he'xu'you'xian'ji
君臣之道,jun'chen'zhi'dao
军都,jun'dou
军祭酒,jun'ji'jiu
君郎,jun'lang
俊靡,jun'mi
浚遒,jun'qiu
君荣,jun'rong
军士,jun'shi
军师,jun'shi
军师祭酒,jun'shi'ji'jiu
君嗣,jun'si
军尉,jun'wei
郡县,jun'xian
浚仪,jun'yi
军议校尉,jun'yi'xiao'wei
均只有传,jun'zhi'you'chuan
军主力,jun'zhu'li
开封,kai'feng
开阳,kai'yang
看三国掉泪替古人担忧,kan'san'guo'diao'lei'ti'gu'ren'dan'you
看三国掉眼泪为古人担忧,kan'san'guo'diao'yan'lei'wei'gu'ren'dan'you
阚泽,kan'ze
阚泽密献诈降书,kan'ze'mi'xian'zha'xiang'shu
抗辩,kang'bian
亢父,kang'fu
抗天兵蛮王初受执,kang'tian'bing'man'wang'chu'shou'zhi
亢宗,kang'zong
考城,kao'cheng
轲比能,ke'bi'neng
孔才,kong'cai
空城计,kong'cheng'ji
孔亻由,kong'dan'you
孔庙,kong'miao
孔明,kong'ming
孔明北伐,kong'ming'bei'fa
孔明定计捉张任,kong'ming'ding'ji'zhuo'zhang'ren
孔明二气周公瑾,kong'ming'er'qi'zhou'gong'jin
孔明挥泪斩马谡,kong'ming'hui'lei'zhan'ma'su
孔明练琴老生常谈,kong'ming'lian'qin'lao'sheng'chang'tan
孔明巧布八阵图,kong'ming'qiao'bu'ba'zhen'tu
孔明三气周公瑾,kong'ming'san'qi'zhou'gong'jin
孔明耍羽扇出计不出面,kong'ming'shua'yu'shan'chu'ji'bu'chu'mian
孔明弹琴退仲达临危不乱,kong'ming'tan'qin'tui'zhong'da'lin'wei'bu'luan
孔明一气周公瑾,kong'ming'yi'qi'zhou'gong'jin
孔明用智激周瑜,kong'ming'yong'zhi'ji'zhou'yu
孔融,kong'rong
孔硕,kong'shuo
孔休,kong'xiu
孔秀,kong'xiu
孔昱,kong'yu
孔璋,kong'zhang
孔宙,kong'zhou
骷髅马,ku'lou'ma
苦肉计,ku'rou'ji
苦县,ku'xian
哭祖庙一王死孝,ku'zu'miao'yi'wang'si'xiao
会稽郡,kuai'ji'jun
会稽王,kuai'ji'wang
蒯良,kuai'liang
蒯越,kuai'yue
馈金珠李肃说吕布,kui'jin'zhu'li'su'shuo'lv'bu
困司马汉将奇谋,kun'si'ma'han'jiang'qi'mou
昆阳,kun'yang
昆泽,kun'ze
扩及,kuo'ji
赖恭,lai'gong
来敏,lai'min
莱芜,lai'wu
兰陵,lan'ling
兰卿,lan'qing
兰石,lan'shi
蓝田,lan'tian
郎陵,lang'ling
狼孟,lang'meng
琅邪,lang'xie
琅邪国,lang'xie'guo
阆中,lang'zhong
老黄忠计夺天荡山,lao'huang'zhong'ji'duo'tian'dang'shan
乐陵,lao'ling
乐安,le'an
乐安国,le'an'guo
乐成,le'cheng
乐都,le'du
乐躬耕于陇亩兮,le'gong'geng'yu'long'mu'xi
乐涫,le'guan
乐进,le'jin
乐就,le'jiu
乐浪郡,le'lang'jun
乐平,le'ping
乐綝,le'shen
雷薄,lei'bo
雷公鞭,lei'gong'bian
雷铜,lei'tong
雷叙,lei'xu
耒阳,lei'yang
耒阳县凤雏理事,lei'yang'xian'feng'chu'li'shi
雷斩刀锻造书,lei'zhan'dao'duan'zao'shu
李别,li'bie
利城,li'cheng
历城,li'cheng
李崇,li'chong
李春香,li'chun'xiang
李典,li'dian
李丰,li'feng
李封,li'feng
李伏,li'fu
李孚,li'fu
李服,li'fu
李福,li'fu
李辅,li'fu
骊肝,li'gan
李珪,li'gui
郦国,li'guo
李虎,li'hu
离狐,li'hu
梨花枪,li'hua'qiang
李恢,li'hui
立节中郎将,li'jie'zhong'lang'jiang
李傕,li'jue
