安眠,an'mian
筑宾,zhu'bin
筑宾穴,zhu'bin'xue
子宫,zi'gong
紫宫,zi'gong
子宫穴,zi'gong'xue
紫宫穴,zi'gong'xue
足厥阴,zu'jue'yin
足厥阴肝经,zu'jue'yin'gan'jing
足临泣,zu'lin'qi
足临泣穴,zu'lin'qi'xue
足窍阴,zu'qiao'yin
足窍阴穴,zu'qiao'yin'xue
足三里,zu'san'li
足三里穴,zu'san'li'xue
足三阳,zu'san'yang
足三阴,zu'san'yin
足少阳,zu'shao'yang
足少阳胆经,zu'shao'yang'dan'jing
足少阴,zu'shao'yin
足少阴肾经,zu'shao'yin'shen'jing
足太阳,zu'tai'yang
足太阳膀胱经,zu'tai'yang'pang'guang'jing
足太阴,zu'tai'yin
足太阴脾经,zu'tai'yin'pi'jing
足通谷,zu'tong'gu
足通谷穴,zu'tong'gu'xue
足五里,zu'wu'li
足五里穴,zu'wu'li'xue
足阳明,zu'yang'ming
足阳明胃经,zu'yang'ming'wei'jing
醉点,zui'dian
坐骨神经,zuo'gu'shen'jing
