庵边路口,an'bian'lu'kou
西滨小学,xi'bin'xiao'xue
西堤,xi'di
溪东,xi'dong
西洪塘路,xi'hong'tang'lu
西湖村,xi'hu'cun
西柯,xi'ke
西柯路口,xi'ke'lu'kou
西林,xi'lin
西林翔安,xi'lin'xiang'an
西林云顶,xi'lin'yun'ding
西埔路口,xi'pu'lu'kou
西塘,xi'tang
西亭小学,xi'ting'xiao'xue
溪尾,xi'wei
下坂,xia'ban
下坂村,xia'ban'cun
下边,xia'bian
下曾,xia'ceng
厦大医院,xia'da'yi'yuan
下峰,xia'feng
厦门宾馆,xia'men'bin'guan
厦门茶厂,xia'men'cha'chang
厦门茶叶,xia'men'cha'ye
厦门机场航空港大酒店,xia'men'ji'chang'hang'kong'gang'da'jiu'dian
厦门卷烟厂,xia'men'juan'yan'chang
厦门软件学院,xia'men'ruan'jian'xue'yuan
厦门十中,xia'men'shi'zhong
下埔,xia'pu
下山头,xia'shan'tou
霞梧,xia'wu
霞梧翔安,xia'wu'xiang'an
下溪头,xia'xi'tou
夏新电子,xia'xin'dian'zi
霞阳,xia'yang
厦友公司,xia'you'gong'si
县后路口,xian'hou'lu'kou
仙景村,xian'jing'cun
县口,xian'kou
仙鹭,xian'lu
线务局,xian'wu'ju
仙岳花园,xian'yue'hua'yuan
仙岳路口,xian'yue'lu'kou
翔安前埔,xiang'an'qian'pu
翔安一中,xiang'an'yi'zhong
翔安友达光电,xiang'an'you'da'guang'dian
祥店上店,xiang'dian'shang'dian
祥露,xiang'lu
翔鹭花城,xiang'lu'hua'cheng
翔鹭化纤,xiang'lu'hua'xian
翔鹭石化,xiang'lu'shi'hua
巷南中学,xiang'nan'zhong'xue
乡埔,xiang'pu
祥桥路口,xiang'qiao'lu'kou
祥梧,xiang'wu
祥西林场,xiang'xi'lin'chang
象屿,xiang'yu
小东山村,xiao'dong'shan'cun
小东山村口,xiao'dong'shan'cun'kou
消防,xiao'fang
霄垄,xiao'long
小西门,xiao'xi'men
新垵,xin'an
新长城钢构,xin'chang'cheng'gang'gou
新村,xin'cun
新村集美,xin'cun'ji'mei
新厝,xin'cuo
新店,xin'dian
新店集美,xin'dian'ji'mei
新丰三路,xin'feng'san'lu
新华路口原文化宫,xin'hua'lu'kou'yuan'wen'hua'gong
新民镇政府,xin'min'zhen'zheng'fu
新树金属,xin'shu'jin'shu
新西桥,xin'xi'qiao
新霞,xin'xia
新圩,xin'xu
新圩工商所,xin'xu'gong'shang'suo
新圩交管站,xin'xu'jiao'guan'zhan
新圩路口,xin'xu'lu'kou
新圩市场,xin'xu'shi'chang
新阳街道办,xin'yang'jie'dao'ban
新阳正新,xin'yang'zheng'xin
新源路口,xin'yuan'lu'kou
杏北路,xing'bei'lu
杏滨社区卫生所,xing'bin'she'qu'wei'sheng'suo
兴才学院,xing'cai'xue'yuan
杏东路,xing'dong'lu
兴港路口,xing'gang'lu'kou
行宫,xing'gong
兴鸿广场,xing'hong'guang'chang
杏林长途车站,xing'lin'chang'tu'che'zhan
杏林车站,xing'lin'che'zhan
杏林建行,xing'lin'jian'hang
杏林内茂,xing'lin'nei'mao
杏林派出所,xing'lin'pai'chu'suo
杏林消防,xing'lin'xiao'fang
杏林行政中心,xing'lin'xing'zheng'zhong'xin
杏林正新,xing'lin'zheng'xin
杏林中学,xing'lin'zhong'xue
杏美,xing'mei
杏南,xing'nan
杏南中学,xing'nan'zhong'xue
杏苑,xing'yuan
许厝,xu'cuo
旭日海湾鼓浪湾,xu'ri'hai'wan'gu'lang'wan
薛岭,xue'ling
鲟窟,xun'ku
衙里,ya'li
眼科医院,yan'ke'yi'yuan
岩内村,yan'nei'cun
洋坑村,yang'keng'cun
阳台山,yang'tai'shan
阳塘,yang'tang
洋塘,yang'tang
杨宅湖,yang'zhai'hu
瑶头新村,yao'tou'xin'cun
椰风寨,ye'feng'zhai
野生动物园,ye'sheng'dong'wu'yuan
谊爱路,yi'ai'lu
义芳鞋业,yi'fang'xie'ye
逸夫中学,yi'fu'zhong'xue
怡景花园,yi'jing'hua'yuan
一七四医院,yi'qi'si'yi'yuan
一中,yi'zhong
医专学校,yi'zhuan'xue'xiao
银安大厦,yin'an'da'sha
银城商厦,yin'cheng'shang'sha
印斗路口师范学院,yin'dou'lu'kou'shi'fan'xue'yuan
银华机械厂,yin'hua'ji'xie'chang
英才路口,ying'cai'lu'kou
英村小学,ying'cun'xiao'xue
英埭头理工学院,ying'dai'tou'li'gong'xue'yuan
永大橡胶,yong'da'xiang'jiao
永大橡塑,yong'da'xiang'su
永大橡塑厂,yong'da'xiang'su'chang
涌泉,yong'quan
友达南门,you'da'nan'men
邮电大楼,you'dian'da'lou
屿后北里,yu'hou'bei'li
屿后南里,yu'hou'nan'li
玉泉花园,yu'quan'hua'yuan
禹州大酒店,yu'zhou'da'jiu'dian
禹州花园,yu'zhou'hua'yuan
禹洲花园,yu'zhou'hua'yuan
禹州新村,yu'zhou'xin'cun
禹洲新村,yu'zhou'xin'cun
园博园,yuan'bo'yuan
园博园东站,yuan'bo'yuan'dong'zhan
袁厝,yuan'cuo
园山,yuan'shan
悦华公寓,yue'hua'gong'yu
悦华路口,yue'hua'lu'kou
岳阳小区,yue'yang'xiao'qu
云埔,yun'pu
芸尾路口,yun'wei'lu'kou
芸溪居住公园,yun'xi'ju'zhu'gong'yuan
云霄村,yun'xiao'cun
云洋小学,yun'yang'xiao'xue
曾山,zeng'shan
寨上村口,zhai'shang'cun'kou
寨上小学,zhai'shang'xiao'xue
寨下,zhai'xia
寨阳,zhai'yang
贞庵,zhen'an
贞岱村,zhen'dai'cun
镇海路,zhen'hai'lu
珍珠湾,zhen'zhu'wan
郑坂,zheng'ban
正新,zheng'xin
植物园,zhi'wu'yuan
植物园东门,zhi'wu'yuan'dong'men
中沧公路,zhong'cang'gong'lu
中堤路口,zhong'di'lu'kou
中孚花园,zhong'fu'hua'yuan
中港花园,zhong'gang'hua'yuan
中行,zhong'hang
中航技,zhong'hang'ji
中华儿女美术馆,zhong'hua'er'nv'mei'shu'guan
钟楼,zhong'lou
忠仑忠仑公园,zhong'lun'zhong'lun'gong'yuan
中埔,zhong'pu
钟山,zhong'shan
中山工业区,zhong'shan'gong'ye'qu
中山公园,zhong'shan'gong'yuan
中山路,zhong'shan'lu
中山医院,zhong'shan'yi'yuan
中铁家园,zhong'tie'jia'yuan
中心小学,zhong'xin'xiao'xue
中医院,zhong'yi'yuan
中医院分院,zhong'yi'yuan'fen'yuan
中医院江头分院,zhong'yi'yuan'jiang'tou'fen'yuan
钟宅,zhong'zhai
钟宅村口,zhong'zhai'cun'kou
竹坝,zhu'ba
竹坝华侨新村,zhu'ba'hua'qiao'xin'cun
