阿尔山温泉,a'er'shan'wen'quan
三条石福聚兴机器厂旧址,san'tiao'shi'fu'ju'xing'ji'qi'chang'jiu'zhi
三一八烈士墓,san'yi'ba'lie'shi'mu
三藏塔,san'zang'ta
扫叶楼,sao'ye'lou
啬园,se'yuan
山顶洞人遗址,shan'ding'dong'ren'yi'zhi
山海关,shan'hai'guan
善化寺,shan'hua'si
善化寺大雄宝殿,shan'hua'si'da'xiong'bao'dian
善化寺普贤阁,shan'hua'si'pu'xian'ge
善化寺三圣殿,shan'hua'si'san'sheng'dian
善化寺山门,shan'hua'si'shan'men
善卷洞,shan'juan'dong
山神峪千佛洞,shan'shen'yu'qian'fo'dong
山西省博物馆,shan'xi'sheng'bo'wu'guan
上帝庙,shang'di'miao
上方山,shang'fang'shan
上海博物馆,shang'hai'bo'wu'guan
上海动物园,shang'hai'dong'wu'yuan
上海鲁迅故属,shang'hai'lu'xun'gu'shu
上海体育馆,shang'hai'ti'yu'guan
上海植物园,shang'hai'zhi'wu'yuan
上海自然博物馆,shang'hai'zi'ran'bo'wu'guan
上京会宁府遗址,shang'jing'hui'ning'fu'yi'zhi
上堂门,shang'tang'men
烧锅营子燕长城址,shao'guo'ying'zi'yan'chang'cheng'zhi
少林寺,shao'lin'si
社稷坛,she'ji'tan
舍利塔,she'li'ta
神乐署,shen'le'shu
神武门,shen'wu'men
沈阳故宫,shen'yang'gu'gong
圣姑庙,sheng'gu'miao
圣母殿,sheng'mu'dian
圣母庙,sheng'mu'miao
胜棋楼,sheng'qi'lou
圣寿寺,sheng'shou'si
圣寿寺舍利塔,sheng'shou'si'she'li'ta
圣塔院寺塔,sheng'ta'yuan'si'ta
圣天寺,sheng'tian'si
什刹海,shi'cha'hai
时池,shi'chi
石灯塔,shi'deng'ta
十渡,shi'du
十方普觉寺,shi'fang'pu'jue'si
石房子,shi'fang'zi
释迦如来舍利塔,shi'jia'ru'lai'she'li'ta
石金刚,shi'jin'gang
石景山冰川擦痕,shi'jing'shan'bing'chuan'ca'hen
史可法祠墓,shi'ke'fa'ci'mu
石马寺,shi'ma'si
施耐庵墓,shi'nai'an'mu
石牌坊,shi'pai'fang
石棚山,shi'peng'shan
石棚山石棚,shi'peng'shan'shi'peng
十七孔桥,shi'qi'kong'qiao
实胜寺,shi'sheng'si
石塔,shi'ta
石头诚,shi'tou'cheng
石像生,shi'xiang'sheng
室相寺旭华之阁,shi'xiang'si'xu'hua'zhi'ge
狮子林,shi'zi'lin
狮子窝琉璃塔,shi'zi'wo'liu'li'ta
首都体育馆,shou'du'ti'yu'guan
寿皇殿,shou'huang'dian
首山,shou'shan
瘦西湖,shou'xi'hu
殊像寺,shu'xiang'si
双林寺,shuang'lin'si
双清别墅,shuang'qing'bie'shu
双塔,shuang'ta
双塔交影,shuang'ta'jiao'ying
双塔岭双塔,shuang'ta'ling'shuang'ta
双塔山,shuang'ta'shan
双塔寺,shuang'ta'si
水东楼,shui'dong'lou
水芳岩秀,shui'fang'yan'xiu
水绘园,shui'hui'yuan
水帘洞,shui'lian'dong
水神庙,shui'shen'miao
水心榭,shui'xin'xie
四大部洲,si'da'bu'zhou
四林塔,si'lin'ta
司马光墓及祖茔,si'ma'guang'mu'ji'zu'ying
四面云山,si'mian'yun'shan
四明公所旧址,si'ming'gong'suo'jiu'zhi
斯诺墓,si'nuo'mu
四望亭,si'wang'ting
四知书屋,si'zhi'shu'wu
松鹤斋,song'he'zhai
松江明刻照壁,song'jiang'ming'ke'zhao'bi
松江清真寺,song'jiang'qing'zhen'si
松江唐经幢,song'jiang'tang'jing'chuang
宋教仁墓,song'jiao'ren'mu
宋璟碑,song'jing'bei
松筠庵,song'jun'an
松郡九峰,song'jun'jiu'feng
宋庆龄故居,song'qing'ling'gu'ju
宋庆龄故屠,song'qing'ling'gu'tu
宋庆龄墓,song'qing'ling'mu
松堂,song'tang
崧泽古文化遗址,song'ze'gu'wen'hua'yi'zhi
宿城,su'cheng
苏军烈士纪念塔,su'jun'lie'shi'ji'nian'ta
宿云檐,su'yun'yan
隋炀帝陵,sui'yang'di'ling
绥远城将军衙署旧址,sui'yuan'cheng'jiang'jun'ya'shu'jiu'zhi
孙中山故居,sun'zhong'shan'gu'ju
孙中山纪念堂,sun'zhong'shan'ji'nian'tang
孙中山临财大总统办公原址,sun'zhong'shan'lin'cai'da'zong'tong'ban'gong'yuan'zhi
孙中山行馆,sun'zhong'shan'xing'guan
塔虎城,ta'hu'cheng
塔营子古城址,ta'ying'zi'gu'cheng'zhi
塔院寺,ta'yuan'si
塔子城遗址,ta'zi'cheng'yi'zhi
泰伯庙,tai'bo'miao
泰伯墓,tai'bo'mu
台城,tai'cheng
太符观,tai'fu'guan
太行第一峰,tai'hang'di'yi'feng
泰陵,tai'ling
太平天国戴王府,tai'ping'tian'guo'dai'wang'fu
太平天国辅王府,tai'ping'tian'guo'fu'wang'fu
太平天国护王府,tai'ping'tian'guo'hu'wang'fu
太平天国历史博物馆,tai'ping'tian'guo'li'shi'bo'wu'guan
太平天国烈士墓,tai'ping'tian'guo'lie'shi'mu
太平天国天王府遗址,tai'ping'tian'guo'tian'wang'fu'yi'zhi
太平无国忠王府,tai'ping'wu'guo'zhong'wang'fu
太清宫,tai'qing'gong
太山寺,tai'shan'si
太岁殿,tai'sui'dian
太王陵,tai'wang'ling
太阳岛,tai'yang'dao
太液池,tai'ye'chi
弹琴峡,tan'qin'xia
潭柘寺,tan'zhe'si
唐单于都护府城遗址,tang'chan'yu'du'hu'fu'cheng'yi'zhi
汤岗子温泉,tang'gang'zi'wen'quan
唐花坞,tang'hua'wu
唐陵,tang'ling
汤泉,tang'quan
汤山,tang'shan
唐塔,tang'ta
汤王庙,tang'wang'miao
唐一岑墓,tang'yi'cen'mu
唐寅墓,tang'yin'mu
堂子街太平天国壁画,tang'zi'jie'tai'ping'tian'guo'bi'hua
陶庵留碧,tao'an'liu'bi
韬奋故居,tao'fen'gu'ju
陶然亭公园,tao'ran'ting'gong'yuan
桃温万户府故城,tao'wen'wan'hu'fu'gu'cheng
天安门,tian'an'men
天保城,tian'bao'cheng
天桂山,tian'gui'shan
天津市艺术博物馆,tian'jin'shi'yi'shu'bo'wu'guan
天龙山石窟,tian'long'shan'shi'ku
天马山摩崖石刻,tian'ma'shan'mo'ya'shi'ke
天宁寺,tian'ning'si
天宁寺木塔,tian'ning'si'mu'ta
天宁寺双塔,tian'ning'si'shuang'ta
天台庵,tian'tai'an
天坛,tian'tan
天下第一关,tian'xia'di'yi'guan
天下第一江山石刻,tian'xia'di'yi'jiang'shan'shi'ke
天险,tian'xian
铁背山山城,tie'bei'shan'shan'cheng
铁铃关,tie'ling'guan
铁人井,tie'ren'jing
铁刹山,tie'sha'shan
铁影壁,tie'ying'bi
听鹂馆,ting'li'guan
同德殿,tong'de'dian
铜牛,tong'niu
铜雀台,tong'que'tai
铜亭,tong'ting
童子寺燃灯塔,tong'zi'si'ran'deng'ta
透雕石牌搂,tou'diao'shi'pai'lou
团城,tuan'cheng
团城演武厅,tuan'cheng'yan'wu'ting
退翁亭,tui'weng'ting
外八庙,wai'ba'miao
万部华严经塔,wan'bu'hua'yan'jing'ta
丸都山城,wan'dou'shan'cheng
万佛阁,wan'fo'ge
万佛堂,wan'fo'tang
万佛堂石窟,wan'fo'tang'shi'ku
万固寺,wan'gu'si
万壑松风,wan'he'song'feng
宛山塔,wan'shan'ta
万寿富,wan'shou'fu
万寿山,wan'shou'shan
万寿山昆明湖石碑,wan'shou'shan'kun'ming'hu'shi'bei
万寿塔,wan'shou'ta
万树国,wan'shu'guo
万松老人塔,wan'song'lao'ren'ta
万松寺,wan'song'si
完颜希尹家族墓地,wan'yan'xi'yin'jia'zu'mu'di
万忠墓,wan'zhong'mu
王德墓,wang'de'mu
望都壁画墓,wang'du'bi'hua'mu
望儿山,wang'er'shan
望海楼教堂,wang'hai'lou'jiao'tang
王杰墓,wang'jie'mu
望京石,wang'jing'shi
王澜堂,wang'lan'tang
网师园,wang'shi'yuan
伪满洲国皇宫,wei'man'zhou'guo'huang'gong
魏太和造像,wei'tai'he'zao'xiang
韦驮像,wei'tuo'xiang
文昌阁,wen'chang'ge
文峰塔,wen'feng'ta
文津阁,wen'jin'ge
文庙,wen'miao
文殊殿,wen'shu'dian
文溯阁,wen'su'ge
文天样祠,wen'tian'yang'ci
文通塔,wen'tong'ta
文星阁,wen'xing'ge
文游台,wen'you'tai
卧佛寺,wo'fo'si
蜗皇宫,wo'huang'gong
倭子坟,wo'zi'fen
五大连池,wu'da'lian'chi
五当召,wu'dang'zhao
五峰园,wu'feng'yuan
五佛顾,wu'fo'gu
乌骨城,wu'gu'cheng
乌龟石,wu'gui'shi
无后宫,wu'hou'gong
五回头城遗址,wu'hui'tou'cheng'yi'zhi
无纪宫碑,wu'ji'gong'bei
五盔坟五号墓,wu'kui'fen'wu'hao'mu
乌拉古城,wu'la'gu'cheng
无梁殿,wu'liang'dian
无量殿,wu'liang'dian
无量观,wu'liang'guan
五龙背温泉,wu'long'bei'wen'quan
五龙宫,wu'long'gong
五龙亭,wu'long'ting
午门,wu'men
无宁寺,wu'ning'si
五女山山城,wu'nv'shan'shan'cheng
五人墓,wu'ren'mu
伍仁桥,wu'ren'qiao
五圣祠,wu'sheng'ci
无盛号石桥,wu'sheng'hao'shi'qiao
五十家子塔,wu'shi'jia'zi'ta
无暑清凉,wu'shu'qing'liang
乌素图召,wu'su'tu'zhao
五塔寺,wu'ta'si
五台山,wu'tai'shan
五亭桥,wu'ting'qiao
舞踊墓,wu'yong'mu
无柱山,wu'zhu'shan
无尊阁,wu'zun'ge
西柏坡中共中央旧址,xi'bai'po'zhong'gong'zhong'yang'jiu'zhi
西堤六桥,xi'di'liu'qiao
西侯度遗址,xi'hou'du'yi'zhi
西黄寺,xi'huang'si
吸江楼,xi'jiang'lou
锡晋斋,xi'jin'zhai
席力图召,xi'li'tu'zhao
析木城全塔,xi'mu'cheng'quan'ta
析木城石棚,xi'mu'cheng'shi'peng
西炮台,xi'pao'tai
锡山,xi'shan
西山八大处,xi'shan'ba'da'chu
西什库教堂,xi'shi'ku'jiao'tang
西洋楼,xi'yang'lou
西园,xi'yuan
西嶂排青,xi'zhang'pai'qing
下定林寺塔,xia'ding'lin'si'ta
夏允彝夏完淳父子墓,xia'yun'yi'xia'wan'chun'fu'zi'mu
献殿,xian'dian
仙鹤寺,xian'he'si
先农坛,xian'nong'tan
仙人台,xian'ren'tai
祆神楼,xian'shen'lou
仙堂寺,xian'tang'si
显通寺,xian'tong'si
仙翁庙,xian'weng'miao
仙枕石,xian'zhen'shi
襄汾造像碑,xiang'fen'zao'xiang'bei
香界寺,xiang'jie'si
香炉峰,xiang'lu'feng
响琴榭,xiang'qin'xie
香山,xiang'shan
香山寺,xiang'shan'si
响水玉瀑,xiang'shui'yu'pu
响堂铺伏击战纪念碑,xiang'tang'pu'fu'ji'zhan'ji'nian'bei
响堂寺石富,xiang'tang'si'shi'fu
响堂寺石庙,xiang'tang'si'shi'miao
香岩寺,xiang'yan'si
萧憺石刻,xiao'dan'shi'ke
小金山,xiao'jin'shan
孝陵,xiao'ling
小盘谷,xiao'pan'gu
小汤山温泉,xiao'tang'shan'wen'quan
小西天,xiao'xi'tian
蝎殿,xie'dian
写秋轩,xie'qiu'xuan
谐趣园,xie'qu'yuan
新洞人遗址,xin'dong'ren'yi'zhi
辛亥滦州革命先烈纪念塔,xin'hai'luan'zhou'ge'ming'xian'lie'ji'nian'ta
新乐新石器时代遗址,xin'le'xin'shi'qi'shi'dai'yi'zhi
兴城温泉,xing'cheng'wen'quan
杏花村,xing'hua'cun
兴凯湖,xing'kai'hu
兴隆寺,xing'long'si
兴圣教寺塔,xing'sheng'jiao'si'ta
兴源寺,xing'yuan'si
熊成基墓,xiong'cheng'ji'mu
秀道者塔,xiu'dao'zhe'ta
徐悲鸿纪念馆,xu'bei'hong'ji'nian'guan
徐达墓,xu'da'mu
徐光启故屠,xu'guang'qi'gu'tu
徐光启墓,xu'guang'qi'mu
徐家汇天主堂,xu'jia'hui'tian'zhu'tang
须弥福寿之庙,xu'mi'fu'shou'zhi'miao
徐霞客墓,xu'xia'ke'mu
宣化辽墓,xuan'hua'liao'mu
悬空石,xuan'kong'shi
悬空寺,xuan'kong'si
玄妙观,xuan'miao'guan
玄武湖,xuan'wu'hu
悬阳洞,xuan'yang'dong
玄中寺,xuan'zhong'si
学步桥,xue'bu'qiao
薛仁贵寒窑,xue'ren'gui'han'yao
亚沟摩崖石刻像,ya'gou'mo'ya'shi'ke'xiang
烟波致爽,yan'bo'zhi'shuang
淹城,yan'cheng
燕墩,yan'dun
延福寺,yan'fu'si
衍福寺双塔,yan'fu'si'shuang'ta
沿河城,yan'he'cheng
眼镜湖,yan'jing'hu
延陵季子墓碑,yan'ling'ji'zi'mu'bei
雁门关,yan'men'guan
延庆寺大佛殿,yan'qing'si'da'fo'dian
燕塞湖,yan'sai'hu
岩山寺,yan'shan'si
雁塔,yan'ta
燕下都遗址,yan'xia'dou'yi'zhi
烟雨楼,yan'yu'lou
燕州城,yan'zhou'cheng
燕子矶,yan'zi'ji
杨根思烈士陵园,yang'gen'si'lie'shi'ling'yuan
杨翚碑,yang'hui'bei
杨家祠堂,yang'jia'ci'tang
杨椒山祠,yang'jiao'shan'ci
扬仁风,yang'ren'feng
阳山孝陵碑材,yang'shan'xiao'ling'bei'cai
羊头山石窟,yang'tou'shan'shi'ku
养心殿,yang'xin'dian
扬州唐城遗址,yang'zhou'tang'cheng'yi'zhi
杨子荣烈士陵园,yang'zi'rong'lie'shi'ling'yuan
姚存天祚岩题名石刻,yao'cun'tian'zuo'yan'ti'ming'shi'ke
尧陵,yao'ling
尧庙,yao'miao
邺城遗址,ye'cheng'yi'zhi
耶律楚材墓,ye'lv'chu'cai'mu
义慈惠石柱,yi'ci'hui'shi'zhu
猗玕亭,yi'gan'ting
颐和园,yi'he'yuan
漪澜堂,yi'lan'tang
翼伦堂,yi'lun'tang
一片云,yi'pian'yun
艺圃,yi'pu
医巫闾山,yi'wu'lv'shan
怡园,yi'yuan
宜芸馆,yi'yun'guan
银山宝塔,yin'shan'bao'ta
音乐寺,yin'yue'si
营城子壁画墓,ying'cheng'zi'bi'hua'mu
鹰角亭,ying'jiao'ting
瀛台,ying'tai
樱桃沟,ying'tao'gou
应县木塔,ying'xian'mu'ta
永安莽喀诗碑,yong'an'mang'ka'shi'bei
永安湃围场殪虎诗碑,yong'an'pai'wei'chang'yi'hu'shi'bei
永安桥,yong'an'qiao
永安石桥,yong'an'shi'qiao
永安寺,yong'an'si
永筹寺塔,yong'chou'si'ta
雍和宫,yong'he'gong
永乐宫,yong'le'gong
永陵,yong'ling
永通桥,yong'tong'qiao
永佑寺舍利塔,yong'you'si'she'li'ta
幽居寺塔,you'ju'si'ta
佑顺寺,you'shun'si
游仙寺,you'xian'si
雨禅寺大殿,yu'chan'si'da'dian
玉带桥,yu'dai'qiao
玉佛寺,yu'fo'si
禹工城址,yu'gong'cheng'zhi
雨花台,yu'hua'tai
御花园,yu'hua'yuan
玉皇阁,yu'huang'ge
玉皇观,yu'huang'guan
玉皇庙,yu'huang'miao
郁林观石刻,yu'lin'guan'shi'ke
裕陵,yu'ling
禹门口,yu'men'kou
于木兰作诗碑,yu'mu'lan'zuo'shi'bei
雨涅水石刻造像,yu'nie'shui'shi'ke'zao'xiang
于谦祠,yu'qian'ci
玉泉山,yu'quan'shan
豫让桥,yu'rang'qiao
雨山积雪,yu'shan'ji'xue
豫园,yu'yuan
鱼沼飞梁,yu'zhao'fei'liang
元好问墓,yuan'hao'wen'mu
圆觉寺砖塔,yuan'jue'si'zhuan'ta
圆明园遗址,yuan'ming'yuan'yi'zhi
原起寺,yuan'qi'si
圜丘坛,yuan'qiu'tan
元上城遗址,yuan'shang'cheng'yi'zhi
元上都城遗址,yuan'shang'du'cheng'yi'zhi
元帅林,yuan'shuai'lin
鼋头渚,yuan'tou'zhu
圆照寺,yuan'zhao'si
越城遗迹,yue'cheng'yi'ji
阅吉楼,yue'ji'lou
粤军阵亡烈士墓,yue'jun'zhen'wang'lie'shi'mu
月色江声,yue'se'jiang'sheng
月坛,yue'tan
悦心殿,yue'xin'dian
云冈第五第大窟,yun'gang'di'wu'di'da'ku
云冈东部窟群,yun'gang'dong'bu'ku'qun
云冈露天大佛,yun'gang'lu'tian'da'fo
云冈石窟,yun'gang'shi'ku
云冈昙曜五窟,yun'gang'tan'yao'wu'ku
云冈五华洞,yun'gang'wu'hua'dong
云冈西部窟群,yun'gang'xi'bu'ku'qun
云接寺塔,yun'jie'si'ta
云居寺塔,yun'ju'si'ta
云林寺,yun'lin'si
云龙山,yun'long'shan
云龙山石佛,yun'long'shan'shi'fo
云山胜地,yun'shan'sheng'di
云水洞,yun'shui'dong
云台山,yun'tai'shan
云岩寺二山门,yun'yan'si'er'shan'men
云岩寺塔,yun'yan'si'ta
皂河龙王庙,zao'he'long'wang'miao
藻咏厅,zao'yong'ting
则天庙,ze'tian'miao
憎冠蜂,zeng'guan'feng
扎兰屯,zha'lan'tun
扎龙自然保护区,zha'long'zi'ran'bao'hu'qu
斋宫,zhai'gong
詹天佑铜像,zhan'tian'you'tong'xiang
瞻园,zhan'yuan
张公洞,zhang'gong'dong
丈和殿,zhang'he'dian
赵杲观,zhao'gao'guan
昭关石塔,zhao'guan'shi'ta
赵邯郸故城,zhao'han'dan'gu'cheng
昭君墓,zhao'jun'mu
昭陵,zhao'ling
昭庙,zhao'miao
招隐寺,zhao'yin'si
赵州陀罗尼经幢,zhao'zhou'tuo'luo'ni'jing'chuang
珍妃井,zhen'fei'jing
镇岗塔,zhen'gang'ta
镇国寺,zhen'guo'si
镇国寺塔,zhen'guo'si'ta
镇海寺,zhen'hai'si
镇淮楼,zhen'huai'lou
贞节贾母碑,zhen'jie'jia'mu'bei
真觉寺,zhen'jue'si
阵庆歼灭战纪念碑,zhen'qing'jian'mie'zhan'ji'nian'bei
真如寺,zhen'ru'si
镇朔楼,zhen'shuo'lou
郑板桥故居,zheng'ban'qiao'gu'ju
正北楼,zheng'bei'lou
证果寺,zheng'guo'si
正觉寺,zheng'jue'si
郑文英墓,zheng'wen'ying'mu
正阳门,zheng'yang'men
知春亭,zhi'chun'ting
智度寺塔,zhi'du'si'ta
智慧海,zhi'hui'hai
芝径云堤,zhi'jing'yun'di
支云塔,zhi'yun'ta
织造署旧址,zhi'zao'shu'jiu'zhi
中共满洲省委机关旧址,zhong'gong'man'zhou'sheng'wei'ji'guan'jiu'zhi
中国革命博物馆,zhong'guo'ge'ming'bo'wu'guan
中国共产党代表团驻沪办事处旧址,zhong'guo'gong'chan'dang'dai'biao'tuan'zhu'hu'ban'shi'chu'jiu'zhi
中国历史博物馆,zhong'guo'li'shi'bo'wu'guan
中国美术馆,zhong'guo'mei'shu'guan
中国人民革命军事博物馆,zhong'guo'ren'min'ge'ming'jun'shi'bo'wu'guan
中国社会主义青年团中央机关旧址,zhong'guo'she'hui'zhu'yi'qing'nian'tuan'zhong'yang'ji'guan'jiu'zhi
中国猿人遗址,zhong'guo'yuan'ren'yi'zhi
中和殿,zhong'he'dian
中华门,zhong'hua'men
中会寺,zhong'hui'si
中泠泉,zhong'ling'quan
钟楼,zhong'lou
中南海,zhong'nan'hai
钟山,zhong'shan
中山公园,zhong'shan'gong'yuan
中山陵,zhong'shan'ling
钟山陆游题名石刻,zhong'shan'lu'you'ti'ming'shi'ke
中山门,zhong'shan'men
中山堂,zhong'shan'tang
中苏友谊纪念塔,zhong'su'you'yi'ji'nian'ta
周处庙,zhou'chu'miao
周恩来故居,zhou'en'lai'gu'ju
周恩来在津活动旧址,zhou'en'lai'zai'jin'huo'dong'jiu'zhi
周公祠,zhou'gong'ci
周口店鱼化石产地,zhou'kou'dian'yu'hua'shi'chan'di
竹林寺,zhu'lin'si
朱氏牌楼,zhu'shi'pai'lou
茱萸湾,zhu'yu'wan
转轮藏,zhuan'lun'cang
撞道口,zhuang'dao'kou
拙政园,zhuo'zheng'yuan
紫大阁,zi'da'ge
自凤冢,zi'feng'zhong
紫禁城,zi'jin'cheng
紫荆关,zi'jing'guan
紫气东来城关,zi'qi'dong'lai'cheng'guan
自求恩模范病室旧址,zi'qiu'en'mo'fan'bing'shi'jiu'zhi
紫全山天文台,zi'quan'shan'tian'wen'tai
资圣寺,zi'sheng'si
资寿寺,zi'shou'si
自塔,zi'ta
自云观,zi'yun'guan
紫竹院,zi'zhu'yuan
邹容墓,zou'rong'mu
祖氏石坊,zu'shi'shi'fang
祖师塔,zu'shi'ta
祖越寺,zu'yue'si
醉白池,zui'bai'chi
尊胜陀罗尼经幢,zun'sheng'tuo'luo'ni'jing'chuang
左权墓,zuo'quan'mu
