爱辰,ai'chen
德阳中源,de'yang'zhong'yuan
等磁力线,deng'ci'li'xian
邓鸿权,deng'hong'quan
登记,deng'ji
等级,deng'ji
灯架,deng'jia
灯泡,deng'pao
等式,deng'shi
等温淬火,deng'wen'cui'huo
等温的,deng'wen'de
等温冷却,deng'wen'leng'que
等温退火,deng'wen'tui'huo
等温线,deng'wen'xian
等效刚度,deng'xiao'gang'du
等效粘性阻尼,deng'xiao'nian'xing'zu'ni
等效系统,deng'xiao'xi'tong
等效质量,deng'xiao'zhi'liang
地板,di'ban
底板,di'ban
地板用,di'ban'yong
底衬,di'chen
滴定,di'ding
底稿,di'gao
低合金钢,di'he'jin'gang
低合金工具钢,di'he'jin'gong'ju'gang
狄佳悦,di'jia'yue
底脚,di'jiao
底脚导轨,di'jiao'dao'gui
地脚螺钉,di'jiao'luo'ding
抵抗,di'kang
抵抗的,di'kang'de
低劣,di'lie
底面,di'mian
底漆,di'qi
低氢型焊条,di'qing'xing'han'tiao
地球,di'qiu
底视图,di'shi'tu
低水位,di'shui'wei
低碳钢,di'tan'gang
低通滤波器,di'tong'lv'bo'qi
低温恒温器,di'wen'heng'wen'qi
低温实验法,di'wen'shi'yan'fa
低温学的,di'wen'xue'de
抵销,di'xiao
低压侧的,di'ya'ce'de
第一机械工业部,di'yi'ji'xie'gong'ye'bu
电厂,dian'chang
电场强度,dian'chang'qiang'du
电池,dian'chi
电磁的,dian'ci'de
电磁阀,dian'ci'fa
电磁计算,dian'ci'ji'suan
电磁铁,dian'ci'tie
电磁应力,dian'ci'ying'li
电导,dian'dao
电的,dian'de
点电荷,dian'dian'he
电动测功机,dian'dong'ce'gong'ji
电动的,dian'dong'de
电动发电机组,dian'dong'fa'dian'ji'zu
电动葫芦,dian'dong'hu'lu
电动势,dian'dong'shi
电镀,dian'du
电度表,dian'du'biao
电镀的,dian'du'de
电镀术,dian'du'shu
电感,dian'gan
电感性负载,dian'gan'xing'fu'zai
电感性阻抗,dian'gan'xing'zu'kang
电感应,dian'gan'ying
电隔离的,dian'ge'li'de
电工,dian'gong
电工钢片,dian'gong'gang'pian
电工绝缘材料,dian'gong'jue'yuan'cai'liao
电工试验台,dian'gong'shi'yan'tai
点焊,dian'han
电焊,dian'han
点焊机,dian'han'ji
电焊机,dian'han'ji
电焊条,dian'han'tiao
电荷,dian'he
电弧,dian'hu
电弧长,dian'hu'chang
电弧点焊,dian'hu'dian'han
电弧焊接,dian'hu'han'jie
电弧喷涂,dian'hu'pen'tu
电弧偏吹,dian'hu'pian'chui
电弧气氛,dian'hu'qi'fen
电弧钎焊,dian'hu'qian'han
电弧切割,dian'hu'qie'ge
电弧挺直性,dian'hu'ting'zhi'xing
电弧稳定性,dian'hu'wen'ding'xing
电弧自身调节,dian'hu'zi'shen'tiao'jie
电话,dian'hua
电话号码,dian'hua'hao'ma
电话机房,dian'hua'ji'fang
电话纸,dian'hua'zhi
电话总局,dian'hua'zong'ju
点火,dian'huo
电火花,dian'huo'hua
电火花加工,dian'huo'hua'jia'gong
电火花加工机床,dian'huo'hua'jia'gong'ji'chuang
电击,dian'ji
电极,dian'ji
电机厂,dian'ji'chang
电机厂三号门,dian'ji'chang'san'hao'men
电击穿,dian'ji'chuan
电机的规格,dian'ji'de'gui'ge
电机冷却,dian'ji'leng'que
电极面积,dian'ji'mian'ji
电加热钎焊,dian'jia're'qian'han
电解,dian'jie
电解槽,dian'jie'cao
电解分析,dian'jie'fen'xi
电解腐蚀,dian'jie'fu'shi
电解磨削,dian'jie'mo'xue
电抗,dian'kang
电抗电流,dian'kang'dian'liu
电抗电路,dian'kang'dian'lu
电抗电桥,dian'kang'dian'qiao
电抗器,dian'kang'qi
电抗器起动,dian'kang'qi'qi'dong
电抗线圈,dian'kang'xian'quan
电抗性,dian'kang'xing
垫块,dian'kuai
电缆,dian'lan
电缆接头,dian'lan'jie'tou
电缆芯,dian'lan'xin
电缆油,dian'lan'you
电缆纸,dian'lan'zhi
电烙铁,dian'lao'tie
电力电缆,dian'li'dian'lan
电力工程,dian'li'gong'cheng
电离击穿,dian'li'ji'chuan
电量单位,dian'liang'dan'wei
电流,dian'liu
电流变动,dian'liu'bian'dong
电流波动,dian'liu'bo'dong
电流互感器,dian'liu'hu'gan'qi
电流密度,dian'liu'mi'du
电流强度,dian'liu'qiang'du
电流下降,dian'liu'xia'jiang
电流谐振,dian'liu'xie'zhen
电炉,dian'lu
电路,dian'lu
电路图,dian'lu'tu
电路网络,dian'lu'wang'luo
电码,dian'ma
电能监造,dian'neng'jian'zao
垫片,dian'pian
电屏,dian'ping
电瓶车,dian'ping'che
电器,dian'qi
电气的,dian'qi'de
电气化,dian'qi'hua
电气绝缘强度试验,dian'qi'jue'yuan'qiang'du'shi'yan
电气强度,dian'qi'qiang'du
电气组,dian'qi'zu
电桥,dian'qiao
电桥法,dian'qiao'fa
垫圈,dian'quan
电容器,dian'rong'qi
电容器油,dian'rong'qi'you
电容器纸,dian'rong'qi'zhi
电容性负载,dian'rong'xing'fu'zai
电势,dian'shi
电视传真电报,dian'shi'chuan'zhen'dian'bao
电势图,dian'shi'tu
电枢,dian'shu
电枢反应,dian'shu'fan'ying
电枢漏磁场,dian'shu'lou'ci'chang
电枢漏抗,dian'shu'lou'kang
电枢绕组,dian'shu'rao'zu
电枢铁心,dian'shu'tie'xin
电刷,dian'shua
电刷架,dian'shua'jia
电刷损失,dian'shua'sun'shi
电刷压力,dian'shua'ya'li
电梯,dian'ti
电网电压,dian'wang'dian'ya
电网供电,dian'wang'gong'dian
电位,dian'wei
电位差,dian'wei'cha
电位降法,dian'wei'jiang'fa
电位梯度,dian'wei'ti'du
电位图,dian'wei'tu
电线,dian'xian
电线接头,dian'xian'jie'tou
典型的,dian'xing'de
电压,dian'ya
电压比,dian'ya'bi
电压变动,dian'ya'bian'dong
电压表,dian'ya'biao
电压标准,dian'ya'biao'zhun
电压测量,dian'ya'ce'liang
电压差,dian'ya'cha
电压冲击,dian'ya'chong'ji
电压电源,dian'ya'dian'yuan
电压范围,dian'ya'fan'wei
电压分,dian'ya'fen
电压畸变,dian'ya'ji'bian
电压极性,dian'ya'ji'xing
电压检测仪,dian'ya'jian'ce'yi
电压降,dian'ya'jiang
电压降测阻法,dian'ya'jiang'ce'zu'fa
电压浪涌,dian'ya'lang'yong
电压平衡,dian'ya'ping'heng
电压试验,dian'ya'shi'yan
电压误差,dian'ya'wu'cha
电压效率,dian'ya'xiao'lv
电源,dian'yuan
电源变压器,dian'yuan'bian'ya'qi
电源频率,dian'yuan'pin'lv
电晕,dian'yun
电晕电压,dian'yun'dian'ya
电晕放电,dian'yun'fang'dian
电晕防护层,dian'yun'fang'hu'ceng
电晕损失,dian'yun'sun'shi
电晕效应,dian'yun'xiao'ying
电渣焊,dian'zha'han
电装,dian'zhuang
电装工区,dian'zhuang'gong'qu
电装检验,dian'zhuang'jian'yan
垫子,dian'zi
电子轨迹,dian'zi'gui'ji
电子束焊接,dian'zi'shu'han'jie
电阻,dian'zu
电阻测温法,dian'zu'ce'wen'fa
电阻电桥,dian'zu'dian'qiao
电阻电压降,dian'zu'dian'ya'jiang
电阻焊接,dian'zu'han'jie
电阻检温计,dian'zu'jian'wen'ji
电阻率,dian'zu'lv
电阻起动电动机,dian'zu'qi'dong'dian'dong'ji
电阻式钎焊机,dian'zu'shi'qian'han'ji
电阻损耗,dian'zu'sun'hao
电阻温度计,dian'zu'wen'du'ji
电阻线圈,dian'zu'xian'quan
电阻元件,dian'zu'yuan'jian
吊车,diao'che
调度,diao'du
调度处,diao'du'chu
吊钩,diao'gou
吊攀,diao'pan
刁品红,diao'pin'hong
吊装的,diao'zhuang'de
叠包,die'bao
迭片,die'pian
迭片铁心,die'pian'tie'xin
迭绕组,die'rao'zu
蝶形弹簧,die'xing'tan'huang
定标器,ding'biao'qi
顶部,ding'bu
丁大章,ding'da'zhang
订单号,ding'dan'hao
顶点,ding'dian
顶端淬火,ding'duan'cui'huo
定额,ding'e
顶峰,ding'feng
丁辉,ding'hui
订货,ding'huo
订货单,ding'huo'dan
订货规范,ding'huo'gui'fan
订货资料,ding'huo'zi'liao
丁基橡胶电缆,ding'ji'xiang'jiao'dian'lan
顶夹座,ding'jia'zuo
顶尖,ding'jian
定量分析,ding'liang'fen'xi
定期,ding'qi
定期检查,ding'qi'jian'cha
定嵌,ding'qian
定嵌班,ding'qian'ban
丁氰,ding'qing
定时,ding'shi
定时继电器,ding'shi'ji'dian'qi
顶视图,ding'shi'tu
顶替,ding'ti
定位,ding'wei
定位件,ding'wei'jian
定位筋,ding'wei'jin
丁为民,ding'wei'min
定位器,ding'wei'qi
顶隙,ding'xi
定向,ding'xiang
定向的,ding'xiang'de
定向晶粒,ding'xiang'jing'li
顶压式接触焊机,ding'ya'shi'jie'chu'han'ji
定义,ding'yi
顶油孔,ding'you'kong
丁钰芳,ding'yu'fang
定则,ding'ze
定中心点,ding'zhong'xin'dian
定中心工具,ding'zhong'xin'gong'ju
定子,ding'zi
定子班,ding'zi'ban
定子槽尺寸,ding'zi'cao'chi'cun
丁字尺,ding'zi'chi
定子冲片,ding'zi'chong'pian
定子电负荷,ding'zi'dian'fu'he
定子电工组,ding'zi'dian'gong'zu
定子叠片,ding'zi'die'pian
定子端部铁心,ding'zi'duan'bu'tie'xin
定子金工组,ding'zi'jin'gong'zu
定子冷,ding'zi'leng
定子嵌线,ding'zi'qian'xian
定子绕组装配,ding'zi'rao'zu'zhuang'pei
定子铁心,ding'zi'tie'xin
定子铁心端部屏敝,ding'zi'tie'xin'duan'bu'ping'bi
定子线棒,ding'zi'xian'bang
定子线棒绝缘厚度,ding'zi'xian'bang'jue'yuan'hou'du
定子线棒空心导线,ding'zi'xian'bang'kong'xin'dao'xian
定子线圈,ding'zi'xian'quan
定子线圈制造,ding'zi'xian'quan'zhi'zao
定子压板,ding'zi'ya'ban
定子运输,ding'zi'yun'shu
定子组,ding'zi'zu
东电,dong'dian
东浩,dong'hao
董宏达,dong'hong'da
动力,dong'li
动力工程,dong'li'gong'cheng
动力粘度,dong'li'nian'du
动力吸振器,dong'li'xi'zhen'qi
动力消耗,dong'li'xiao'hao
东门,dong'men
动粘度,dong'nian'du
动配合,dong'pei'he
动平衡及超速试验,dong'ping'heng'ji'chao'su'shi'yan
东汽,dong'qi
东升绝缘,dong'sheng'jue'yuan
动态的,dong'tai'de
动态平衡,dong'tai'ping'heng
动铁式仪表,dong'tie'shi'yi'biao
动压力,dong'ya'li
窦春毅,dou'chun'yi
镀巴氏合金炉,du'ba'shi'he'jin'lu
度的,du'de
杜逢辰,du'feng'chen
镀铬,du'ge
杜哈梅积分,du'ha'mei'ji'fen
杜红燕,du'hong'yan
度量的,du'liang'de
镀镍,du'nie
读数器,du'shu'qi
镀铜,du'tong
镀锡,du'xi
镀锡罐,du'xi'guan
镀锡铁圈,du'xi'tie'quan
杜晓牧,du'xiao'mu
镀锌,du'xin
镀锌的,du'xin'de
镀银,du'yin
杜瑜,du'yu
读者,du'zhe
杜振华,du'zhen'hua
端部,duan'bu
端部进风,duan'bu'jin'feng
端部绝缘,duan'bu'jue'yuan
端部空间,duan'bu'kong'jian
端部屏敝,duan'bu'ping'bi
端部压板铁心粘合,duan'bu'ya'ban'tie'xin'nian'he
断电,duan'dian
端盖,duan'gai
端盖式轴承,duan'gai'shi'zhou'cheng
锻钢,duan'gang
端箍,duan'gu
端箍绝缘,duan'gu'jue'yuan
锻焊,duan'han
端环,duan'huan
锻件,duan'jian
端接焊缝,duan'jie'han'feng
端接接头,duan'jie'jie'tou
短矩绕组,duan'ju'rao'zu
断开,duan'kai
断开容量,duan'kai'rong'liang
断裂,duan'lie
断裂机理,duan'lie'ji'li
断路,duan'lu
短路,duan'lu
短路比,duan'lu'bi
断路器,duan'lu'qi
断路容量,duan'lu'rong'liang
短路特性,duan'lu'te'xing
锻铝合金,duan'lv'he'jin
端面,duan'mian
端面车,duan'mian'che
端面车削,duan'mian'che'xiao
端面仿形,duan'mian'fang'xing
端面磨床,duan'mian'mo'chuang
断面收缩率,duan'mian'shou'suo'lv
端面铣刀齿,duan'mian'xi'dao'chi
锻模,duan'mo
端视图,duan'shi'tu
锻铁,duan'tie
端铣刀,duan'xi'dao
断线,duan'xian
锻屑,duan'xie
断续,duan'xu
断续角焊缝,duan'xu'jiao'han'feng
锻压机,duan'ya'ji
锻造,duan'zao
锻造范围,duan'zao'fan'wei
锻造机,duan'zao'ji
锻造裂纹,duan'zao'lie'wen
锻造性能,duan'zao'xing'neng
端罩,duan'zhao
端罩插床,duan'zhao'cha'chuang
短轴,duan'zhou
对比,dui'bi
对称,dui'chen
对称的,dui'chen'de
对地电压,dui'di'dian'ya
对地电阻,dui'di'dian'zu
对地绝缘,dui'di'jue'yuan
对地绝缘云母带层数,dui'di'jue'yuan'yun'mu'dai'ceng'shu
对分,dui'fen
对分机座,dui'fen'ji'zuo
堆焊,dui'han
堆焊焊道,dui'han'han'dao
堆积,dui'ji
对角位置导柱,dui'jiao'wei'zhi'dao'zhu
对接,dui'jie
对接焊法,dui'jie'han'fa
对接焊缝的实际厚度,dui'jie'han'feng'de'shi'ji'hou'du
对立的,dui'li'de
对面的,dui'mian'de
对数纸,dui'shu'zhi
对西屋公司的补偿,dui'xi'wu'gong'si'de'bu'chang
对象,dui'xiang
对中心,dui'zhong'xin
对准零位,dui'zhun'ling'wei
钝化,dun'hua
多层焊,duo'ceng'han
多功能的,duo'gong'neng'de
多股线,duo'gu'xian
多极电机,duo'ji'dian'ji
多级轴流压气式风扇,duo'ji'zhou'liu'ya'qi'shi'feng'shan
多胶,duo'jiao
多胶带,duo'jiao'dai
多孔性的,duo'kong'xing'de
多片瓦轴承,duo'pian'wa'zhou'cheng
多速电动机,duo'su'dian'dong'ji
多头油压机,duo'tou'you'ya'ji
多相电机,duo'xiang'dian'ji
多心电缆,duo'xin'dian'lan
惰性,duo'xing
惰性气体,duo'xing'qi'ti
多余,duo'yu
多余的,duo'yu'de
轭安匝,e'an'za
轭磁通,e'ci'tong
额定,e'ding
额定出力,e'ding'chu'li
额定的,e'ding'de
额定电流,e'ding'dian'liu
额定电压,e'ding'dian'ya
额定短时电流,e'ding'duan'shi'dian'liu
额定负荷,e'ding'fu'he
额定功率,e'ding'gong'lv
额定工作方法,e'ding'gong'zuo'fang'fa
额定励磁,e'ding'li'ci
额定频率,e'ding'pin'lv
额定千伏安,e'ding'qian'fu'an
额定容量,e'ding'rong'liang
额定速度,e'ding'su'du
额定温度,e'ding'wen'du
额定温升电流,e'ding'wen'sheng'dian'liu
额定线,e'ding'xian
额定效率,e'ding'xiao'lv
额定需要,e'ding'xu'yao
额定需要功率,e'ding'xu'yao'gong'lv
额定压力,e'ding'ya'li
额定转矩,e'ding'zhuan'ju
轭空气隙,e'kong'qi'xi
轭宽,e'kuan
轭铁,e'tie
遏止,e'zhi
二重,er'chong
二处,er'chu
二处电气组,er'chu'dian'qi'zu
二处机械组,er'chu'ji'xie'zu
二处总体组,er'chu'zong'ti'zu
二工位,er'gong'wei
二极的,er'ji'de
二极管,er'ji'guan
二甲苯,er'jia'ben
二维的,er'wei'de
二氧化硅,er'yang'hua'gui
二氧化碳,er'yang'hua'tan
二元的,er'yuan'de
发表,fa'biao
发布,fa'bu
发电机,fa'dian'ji
发电机端,fa'dian'ji'duan
发电机轴,fa'dian'ji'zhou
发电机主要部件,fa'dian'ji'zhu'yao'bu'jian
发电机转子试验设备,fa'dian'ji'zhuan'zi'shi'yan'she'bei
发电机组,fa'dian'ji'zu
发电能力,fa'dian'neng'li
发电设备,fa'dian'she'bei
发货,fa'huo
罚款,fa'kuan
发裂,fa'lie
阀门,fa'men
发明,fa'ming
发热量,fa're'liang
法如,fa'ru
发生,fa'sheng
发生故障,fa'sheng'gu'zhang
发送,fa'song
发行,fa'xing
发运处,fa'yun'chu
发展,fa'zhan
范成西,fan'cheng'xi
反的,fan'de
反电动势,fan'dian'dong'shi
反电势,fan'dian'shi
反电压,fan'dian'ya
反对的,fan'dui'de
反共,fan'gong
反过来也是一样,fan'guo'lai'ye'shi'yi'yang
范红,fan'hong
范剑伟,fan'jian'wei
反馈,fan'kui
反射,fan'she
反射测试仪,fan'she'ce'shi'yi
凡士林,fan'shi'lin
反时针方向,fan'shi'zhen'fang'xiang
范围,fan'wei
反向的,fan'xiang'de
反向电流,fan'xiang'dian'liu
范晓晟,fan'xiao'sheng
范正翎,fan'zheng'ling
反转,fan'zhuan
反作用,fan'zuo'yong
妨碍,fang'ai
方案,fang'an
防爆,fang'bao
防爆的,fang'bao'de
方便,fang'bian
方超,fang'chao
防潮的,fang'chao'de
防尘,fang'chen
防尘面罩,fang'chen'mian'zhao
方程的阶,fang'cheng'de'jie
方城君,fang'cheng'jun
方程式,fang'cheng'shi
防虫害,fang'chong'hai
放出,fang'chu
放出阀,fang'chu'fa
放出管,fang'chu'guan
方锉,fang'cuo
放大,fang'da
放大机,fang'da'ji
放大器,fang'da'qi
放大系统,fang'da'xi'tong
防滴,fang'di
放电,fang'dian
放电器,fang'dian'qi
方法,fang'fa
防飞溅剂,fang'fei'jian'ji
防腐蚀,fang'fu'shi
方钢,fang'gang
方格纸,fang'ge'zhi
防护,fang'hu
防护装置,fang'hu'zhuang'zhi
防溅,fang'jian
方螺纹,fang'luo'wen
防霉漆,fang'mei'qi
方面,fang'mian
防喷火,fang'pen'huo
放气,fang'qi
放气阀,fang'qi'fa
放气管,fang'qi'guan
放热,fang're
放热的,fang're'de
方式,fang'shi
放水,fang'shui
防水的,fang'shui'de
防水式电气设备,fang'shui'shi'dian'qi'she'bei
放松,fang'song
方头,fang'tou
方向,fang'xiang
芳香的,fang'xiang'de
方向性,fang'xiang'xing
芳香族二酐,fang'xiang'zu'er'gan
仿形,fang'xing
仿形车床,fang'xing'che'chuang
仿形机床,fang'xing'ji'chuang
仿型切割,fang'xing'qie'ge
仿形铣床,fang'xing'xi'chuang
防锈,fang'xiu
防锈的,fang'xiu'de
防锈漆,fang'xiu'qi
防锈涂层,fang'xiu'tu'ceng
方烨,fang'ye
防雨的,fang'yu'de
防晕,fang'yun
防晕漆,fang'yun'qi
防振措施,fang'zhen'cuo'shi
防振的,fang'zhen'de
防止,fang'zhi
放逐,fang'zhu
非常有经验的,fei'chang'you'jing'yan'de
非常状态,fei'chang'zhuang'tai
飞驰,fei'chi
非磁性的,fei'ci'xing'de
非磁性钢,fei'ci'xing'gang
非对称的,fei'dui'chen'de
飞冠阀门,fei'guan'fa'men
飞虹,fei'hong
非金属,fei'jin'shu
非金属夹杂物,fei'jin'shu'jia'za'wu
废料,fei'liao
飞轮,fei'lun
飞轮效应,fei'lun'xiao'ying
废品,fei'pin
非设计点,fei'she'ji'dian
废物,fei'wu
非线性系统,fei'xian'xing'xi'tong
非线性振动,fei'xian'xing'zhen'dong
非线性阻尼,fei'xian'xing'zu'ni
飞逸转速,fei'yi'zhuan'su
费用,fei'yong
肥皂水,fei'zao'shui
非周期性的,fei'zhou'qi'xing'de
分贝,fen'bei
分别的,fen'bie'de
分布,fen'bu
分布绕组,fen'bu'rao'zu
分布系数,fen'bu'xi'shu
分布系统,fen'bu'xi'tong
分层,fen'ceng
分层的,fen'ceng'de
分度,fen'du
分度头,fen'du'tou
分段退焊,fen'duan'tui'han
奋翮,fen'he
粉红色,fen'hong'se
分级淬火,fen'ji'cui'huo
分解,fen'jie
分开,fen'kai
分类,fen'lei
分离,fen'li
分离面,fen'li'mian
分流器,fen'liu'qi
粉末喷涂,fen'mo'pen'tu
粉末冶金,fen'mo'ye'jin
分配,fen'pei
分期发展规划,fen'qi'fa'zhan'gui'hua
酚醛尼板,fen'quan'ni'ban
酚醛漆,fen'quan'qi
分散,fen'san
分数槽绕组,fen'shu'cao'rao'zu
酚酞,fen'tai
分析,fen'xi
分析器,fen'xi'qi
分线箱,fen'xian'xiang
分压,fen'ya
粉云母带,fen'yun'mu'dai
粉云母纸,fen'yun'mu'zhi
粉状钎料,fen'zhuang'qian'liao
封闭,feng'bi
封闭母线,feng'bi'mu'xian
风淬,feng'cui
风道数宽度,feng'dao'shu'kuan'du
封底焊缝,feng'di'han'feng
风动工具,feng'dong'gong'ju
峰峰值,feng'feng'zhi
丰富的,feng'fu'de
风钢,feng'gang
风管,feng'guan
风化试验,feng'hua'shi'yan
风机,feng'ji
冯建进,feng'jian'jin
风口,feng'kou
奉利,feng'li
锋利的,feng'li'de
风量,feng'liang
冯梅,feng'mei
风扇,feng'shan
风扇环,feng'shan'huan
风扇压环,feng'shan'ya'huan
风扇叶片,feng'shan'ye'pian
风扇叶梢,feng'shan'ye'shao
风扇座,feng'shan'zuo
风扇座环,feng'shan'zuo'huan
风速计,feng'su'ji
蜂窝状的,feng'wo'zhuang'de
峰信号,feng'xin'hao
风压,feng'ya
冯姚亘,feng'yao'gen
风罩,feng'zhao
峰值,feng'zhi
峰值负荷,feng'zhi'fu'he
峰值系数,feng'zhi'xi'shu
伏安,fu'an
负表压,fu'biao'ya
服从,fu'cong
服从的,fu'cong'de
负担,fu'dan
负的,fu'de
负电的,fu'dian'de
服电动机,fu'dian'dong'ji
复叠绕组,fu'die'rao'zu
浮动环,fu'dong'huan
复动压力机,fu'dong'ya'li'ji
幅度,fu'du
复盖,fu'gai
复盖层,fu'gai'ceng
复盖漆,fu'gai'qi
符号,fu'hao
负号,fu'hao
符合,fu'he
负荷波动,fu'he'bo'dong
复合焊丝,fu'he'han'si
负荷特性,fu'he'te'xing
负荷增长率,fu'he'zeng'zhang'lv
辅机,fu'ji
附加,fu'jia
附加的,fu'jia'de
附加电阻,fu'jia'dian'zu
附加费,fu'jia'fei
附加费用,fu'jia'fei'yong
附加负载,fu'jia'fu'zai
附加物,fu'jia'wu
附近,fu'jin
付款条件,fu'kuan'tiao'jian
腐烂,fu'lan
付岚贵,fu'lan'gui
浮力,fu'li
氟利昂,fu'li'ang
副励磁机,fu'li'ci'ji
附录,fu'lu
腐蚀,fu'shi
腐蚀的,fu'shi'de
复式模,fu'shi'mo
腐蚀抛光法,fu'shi'pao'guang'fa
服务组,fu'wu'zu
负线,fu'xian
复写纸,fu'xie'zhi
阜新新能,fu'xin'xin'neng
负序,fu'xu
负序电抗,fu'xu'dian'kang
负序电流,fu'xu'dian'liu
负序分量,fu'xu'fen'liang
负序阻抗,fu'xu'zu'kang
负压力,fu'ya'li
复印间,fu'yin'jian
氟油,fu'you
复原,fu'yuan
复杂的,fu'za'de
负载,fu'zai
负载变化,fu'zai'bian'hua
负载不足,fu'zai'bu'zu
负载不足的,fu'zai'bu'zu'de
负载电压,fu'zai'dian'ya
幅值,fu'zhi
复制品,fu'zhi'pin
富重,fu'zhong
负重,fu'zhong
附注,fu'zhu
辅助抽头,fu'zhu'chou'tou
辅助的,fu'zhu'de
辅助设备,fu'zhu'she'bei
辅助时间,fu'zhu'shi'jian
辅助轴承,fu'zhu'zhou'cheng
附着,fu'zhuo
附着的,fu'zhuo'de
浮子阀,fu'zi'fa
改进,gai'jin
钙钠基润滑油,gai'na'ji'run'hua'you
概念,gai'nian
改善,gai'shan
盖上,gai'shang
改正,gai'zheng
干保良,gan'bao'liang
干法云母带,gan'fa'yun'mu'dai
干胶带,gan'jiao'dai
干扰,gan'rao
感谢,gan'xie
干燕,gan'yan
感应,gan'ying
感应的,gan'ying'de
感应电流,gan'ying'dian'liu
感应加热设备,gan'ying'jia're'she'bei
感应加热式消除应力设备,gan'ying'jia're'shi'xiao'chu'ying'li'she'bei
感应钎焊,gan'ying'qian'han
感应式传感器,gan'ying'shi'chuan'gan'qi
感应式钎焊机,gan'ying'shi'qian'han'ji
感应特性,gan'ying'te'xing
感应系数,gan'ying'xi'shu
感应线圈,gan'ying'xian'quan
干燥器,gan'zao'qi
感振系统,gan'zhen'xi'tong
钢板,gang'ban
钢锭,gang'ding
钢度,gang'du
钢卷尺,gang'juan'chi
钢坯,gang'pi
钢丝绳,gang'si'sheng
钢丝刷,gang'si'shua
钢条,gang'tiao
刚性,gang'xing
刚性连接,gang'xing'lian'jie
刚性轴,gang'xing'zhou
钢印,gang'yin
高超的,gao'chao'de
高次谐波,gao'ci'xie'bo
高导磁,gao'dao'ci
高度的,gao'du'de
高度制造技术,gao'du'zhi'zao'ji'shu
高合金钢,gao'he'jin'gang
高宏,gao'hong
高级的,gao'ji'de
高级铸铁,gao'ji'zhu'tie
高静,gao'jing
高丽娜,gao'li'na
高灵敏度钻床,gao'ling'min'du'zuan'chuang
高锰酸钾,gao'meng'suan'jia
高强度钢,gao'qiang'du'gang
高森,gao'sen
高顺龙,gao'shun'long
高速车削,gao'su'che'xiao
高速钢,gao'su'gang
高速工具钢,gao'su'gong'ju'gang
高速金属切削,gao'su'jin'shu'qie'xiao
高速切削,gao'su'qie'xiao
高速自动断路器,gao'su'zi'dong'duan'lu'qi
高碳钢,gao'tan'gang
高温退火,gao'wen'tui'huo
高压,gao'ya
高压变压器,gao'ya'bian'ya'qi
高压顶油孔,gao'ya'ding'you'kong
高压绝缘子,gao'ya'jue'yuan'zi
高压直流试验装置,gao'ya'zhi'liu'shi'yan'zhuang'zhi
高琰,gao'yan
高质量铁,gao'zhi'liang'tie
葛宝良,ge'bao'liang
各别的,ge'bie'de
割断,ge'duan
葛发余,ge'fa'yu
隔绝,ge'jue
隔绝汇流排,ge'jue'hui'liu'pai
隔离,ge'li
隔离变压器,ge'li'bian'ya'qi
隔离的,ge'li'de
隔离器,ge'li'qi
隔膜,ge'mo
铬铁,ge'tie
鸽尾,ge'wei
搁线架,ge'xian'jia
各向同性,ge'xiang'tong'xing
各向异性,ge'xiang'yi'xing
革新,ge'xin
隔音,ge'yin
隔音室,ge'yin'shi
隔振结构,ge'zhen'jie'gou
隔振器,ge'zhen'qi
隔振弹簧钢板,ge'zhen'tan'huang'gang'ban
给液泵,gei'ye'beng
根据,gen'ju
跟踪滤波器,gen'zong'lv'bo'qi
更换件,geng'huan'jian
耿文骥,geng'wen'ji
更喜欢,geng'xi'huan
更重量的,geng'zhong'liang'de
公布,gong'bu
公差,gong'cha
公差范围,gong'cha'fan'wei
公差极限,gong'cha'ji'xian
公差与配合,gong'cha'yu'pei'he
工厂,gong'chang
工场,gong'chang
工厂标准,gong'chang'biao'zhun
工厂管理,gong'chang'guan'li
工厂管理部,gong'chang'guan'li'bu
工厂规划,gong'chang'gui'hua
工厂平面图,gong'chang'ping'mian'tu
工程,gong'cheng
工程部,gong'cheng'bu
公称容量,gong'cheng'rong'liang
工程学,gong'cheng'xue
公称压力,gong'cheng'ya'li
工代,gong'dai
工地代表,gong'di'dai'biao
供电,gong'dian
供电设备,gong'dian'she'bei
供电系统,gong'dian'xi'tong
工段长,gong'duan'zhang
供方,gong'fang
巩固,gong'gu
供货厂,gong'huo'chang
供货条件,gong'huo'tiao'jian
供给,gong'ji
共计,gong'ji
工件,gong'jian
工件夹具,gong'jian'jia'ju
工具,gong'ju
弓锯,gong'ju
工具钢,gong'ju'gang
工具间设备,gong'ju'jian'she'bei
工具磨床,gong'ju'mo'chuang
工具室,gong'ju'shi
工具总库,gong'ju'zong'ku
龚俊杰,gong'jun'jie
功率,gong'lv
功率表法,gong'lv'biao'fa
功率电压变压器,gong'lv'dian'ya'bian'ya'qi
功率消耗,gong'lv'xiao'hao
功率因素,gong'lv'yin'su
功率因素表,gong'lv'yin'su'biao
功能,gong'neng
功能的,gong'neng'de
龚培雷,gong'pei'lei
工区,gong'qu
公式,gong'shi
工位,gong'wei
工业内窥镜,gong'ye'nei'kui'jing
工业频率,gong'ye'pin'lv
工艺处,gong'yi'chu
工艺电工,gong'yi'dian'gong
工艺工程师,gong'yi'gong'cheng'shi
工艺工装,gong'yi'gong'zhuang
工艺规程,gong'yi'gui'cheng
