安得广厦千万间,an'de'guang'sha'qian'wan'jian
一览众山小,yi'lan'zhong'shan'xiao
毅魄归来日,yi'po'gui'lai'ri
一曲新词酒一杯,yi'qu'xin'ci'jiu'yi'bei
一任群芳妒,yi'ren'qun'fang'du
一山放出一山拦,yi'shan'fang'chu'yi'shan'lan
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
驿外断桥边,yi'wai'duan'qiao'bian
义亦我所欲也,yi'yi'wo'suo'yu'ye
衣沾不足惜,yi'zhan'bu'zu'xi
已知泉路近,yi'zhi'quan'lu'jin
吟鞭东指即天涯,yin'bian'dong'zhi'ji'tian'ya
饮酒,yin'jiu
阴阳割昏晓,yin'yang'ge'hun'xiao
嬴得生前身后名,ying'de'sheng'qian'shen'hou'ming
赢得生前身后名,ying'de'sheng'qian'shen'hou'ming
影入平羌江水流,ying'ru'ping'qiang'jiang'shui'liu
盈缩之期,ying'suo'zhi'qi
影徒随我身,ying'tu'sui'wo'shen
盈盈一水间,ying'ying'yi'shui'jian
永结无情游,yong'jie'wu'qing'you
勇气也,yong'qi'ye
有暗香盈袖,you'an'xiang'ying'xiu
又何妨,you'he'fang
有龙则灵,you'long'ze'ling
有朋自远方来,you'peng'zi'yuan'fang'lai
游蕲水清泉寺,you'qi'shui'qing'quan'si
右擎苍,you'qing'cang
悠然见南山,you'ran'jian'nan'shan
游山西村,you'shan'xi'cun
右手秉遗穗,you'shou'bing'yi'sui
猷有竟时,you'you'jing'shi
有约不来过夜半,you'yue'bu'lai'guo'ye'ban
欲报倾城随太守,yu'bao'qing'cheng'sui'tai'shou
欲辨已忘言,yu'bian'yi'wang'yan
欲别故乡难,yu'bie'gu'xiang'nan
予独爱莲之出淤泥而不染,yu'du'ai'lian'zhi'chu'yu'ni'er'bu'ran
欲济无舟楫,yu'ji'wu'zhou'ji
渔家傲,yu'jia'ao
雨脚如麻未断绝,yu'jiao'ru'ma'wei'duan'jue
与君离别意,yu'jun'li'bie'yi
欲上青天揽明月,yu'shang'qing'tian'lan'ming'yue
鱼我所欲也,yu'wo'suo'yu'ye
欲有求于我也,yu'you'qiu'yu'wo'ye
玉枕纱橱,yu'zhen'sha'chu
猿鸣三声泪沾裳,yuan'ming'san'sheng'lei'zhan'shang
远贤臣,yuan'xian'chen
远小人,yuan'xiao'ren
月既不解饮,yue'ji'bu'jie'yin
月下飞天镜,yue'xia'fei'tian'jing
月有阴晴圆缺,yue'you'yin'qing'yuan'que
云从窗里出,yun'cong'chuang'li'chu
云生结海楼,yun'sheng'jie'hai'lou
再而衰,zai'er'shuai
在河之洲,zai'he'zhi'zhou
在乎山水之间也,zai'hu'shan'shui'zhi'jian'ye
在水一方,zai'shui'yi'fang
在水之湄,zai'shui'zhi'mei
在水之涘,zai'shui'zhi'si
暂伴月将影,zan'ban'yue'jiang'ying
暂凭杯酒长精神,zan'ping'bei'jiu'zhang'jing'shen
早春呈水部张十八员外,zao'chun'cheng'shui'bu'zhang'shi'ba'yuan'wai
造化钟神秀,zao'hua'zhong'shen'xiu
择其善者而从之,ze'qi'shan'zhe'er'cong'zhi
札札弄机杼,zha'zha'nong'ji'zhu
朝露待日晞,zhao'lu'dai'ri'xi
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
争渡争渡,zheng'du'zheng'du
正入万山圈子里,zheng'ru'wan'shan'quan'zi'li
正是江南好风景,zheng'shi'jiang'nan'hao'feng'jing
直挂云帆济沧海,zhi'gua'yun'fan'ji'cang'hai
只有香如故,zhi'you'xiang'ru'gu
只缘身在最高层,zhi'yuan'shen'zai'zui'gao'ceng
志在千里,zhi'zai'qian'li
知之为知之,zhi'zhi'wei'zhi'zhi
种豆南山下,zhong'dou'nan'shan'xia
中间小谢又清发,zhong'jian'xiao'xie'you'qing'fa
中军置酒饮归客,zhong'jun'zhi'jiu'yin'gui'ke
终日不成章,zhong'ri'bu'cheng'zhang
终为土灰,zhong'wei'tu'hui
竹径通幽处,zhu'jing'tong'you'chu
拄杖无时夜叩门,zhu'zhang'wu'shi'ye'kou'men
竹中窥落日,zhu'zhong'kui'luo'ri
赚得行人错喜欢,zhuan'de'xing'ren'cuo'xi'huan
壮心不已,zhuang'xin'bu'yi
浊酒一杯家万里,zhuo'jiu'yi'bei'jia'wan'li
濯清涟而不妖,zhuo'qing'lian'er'bu'yao
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
自经丧乱少睡眠,zi'jing'sang'luan'shao'shui'mian
自缘身在最高层,zi'yuan'shen'zai'zui'gao'ceng
足蒸暑土气,zu'zheng'shu'tu'qi
最爱湖东行不足,zui'ai'hu'dong'xing'bu'zu
醉后各分散,zui'hou'ge'fen'san
醉里挑灯看剑,zui'li'tiao'deng'kan'jian
最是一年春好处,zui'shi'yi'nian'chun'hao'chu
醉翁之意不在酒,zui'weng'zhi'yi'bu'zai'jiu
左臂悬敝筐,zuo'bi'xuan'bi'kuang
坐观垂钓者,zuo'guan'chui'diao'zhe
左牵黄,zuo'qian'huang
昨日之日不可留,zuo'ri'zhi'ri'bu'ke'liu
