阿婆,a'po
咧钻子,lie'zuan'zi
林兴兴,lin'xing'xing
灵泛,ling'fan
另另鼓,ling'ling'gu
零零光,ling'ling'guang
刘超,liu'chao
刘丹,liu'dan
六度庵村,liu'du'an'cun
溜光的,liu'guang'de
刘家展,liu'jia'zhan
刘江威,liu'jiang'wei
刘俊,liu'jun
刘康丽,liu'kang'li
刘琳,liu'lin
柳林八都,liu'lin'ba'du
刘启亮,liu'qi'liang
刘倩,liu'qian
刘强,liu'qiang
刘巧玲,liu'qiao'ling
流沙河,liu'sha'he
流沙河社区,liu'sha'he'she'qu
刘少奇,liu'shao'qi
刘申,liu'shen
刘旺,liu'wang
刘文卓,liu'wen'zhuo
刘喜波,liu'xi'bo
刘霞,liu'xia
刘湘,liu'xiang
刘雄,liu'xiong
刘艳花,liu'yan'hua
六寨村,liu'zhai'cun
垅枫村,long'feng'cun
龙凤二都,long'feng'er'dou
龙凤花园,long'feng'hua'yuan
龙凤山,long'feng'shan
龙凤山村,long'feng'shan'cun
龙佳村,long'jia'cun
龙灵,long'ling
龙马村,long'ma'cun
龙桥村,long'qiao'cun
龙泉村,long'quan'cun
龙石村,long'shi'cun
龙田,long'tian
龙田社区,long'tian'she'qu
龙王村,long'wang'cun
龙威,long'wei
龙溪村,long'xi'cun
陋经,lou'jing
楼霞新村,lou'xia'xin'cun
卤菜,lu'cai
罗纯,luo'chun
锣鼓喧天,luo'gu'xuan'tian
落花生,luo'hua'sheng
罗宦村,luo'huan'cun
罗凯平,luo'kai'ping
箩筐,luo'kuang
罗琳凤,luo'lin'feng
罗梦,luo'meng
络腮胡子,luo'sai'hu'zi
罗巷新村,luo'xiang'xin'cun
吕正泽,lv'zheng'ze
麻公,ma'gong
码联村,ma'lian'cun
麻鲢子,ma'lian'zi
麻山,ma'shan
麻山村,ma'shan'cun
卖关子,mai'guan'zi
麦田,mai'tian
麦田村,mai'tian'cun
蛮不讲理,man'bu'jiang'li
蛮屌,man'diao
蛮巧,man'qiao
蛮巧摆,man'qiao'bai
慢条斯理,man'tiao'si'li
盲人不忘视,mang'ren'bu'wang'shi
冇睬你,mao'cai'ni
冇得,mao'de
冇得钱,mao'de'qian
冇点检实,mao'dian'jian'shi
毛公桥,mao'gong'qiao
毛栗子,mao'li'zi
毛毛虫,mao'mao'chong
貌美未必成淑女,mao'mei'wei'bi'cheng'shu'nv
贸然,mao'ran
毛桃子,mao'tao'zi
卯田村,mao'tian'cun
毛泽宇,mao'ze'yu
么子,me'zi
么子喽,me'zi'lou
么子陋经,me'zi'lou'jing
梅湖村,mei'hu'cun
眉毛胡子一把抓,mei'mao'hu'zi'yi'ba'zhua
梅鸣村,mei'ming'cun
煤炭坝,mei'tan'ba
煤炭坝社区,mei'tan'ba'she'qu
妹头,mei'tou
妹坨,mei'tuo
梅益才,mei'yi'cai
没辙,mei'zhe
没辙了,mei'zhe'le
焖菜,men'cai
焖饭,men'fan
闷葫芦,men'hu'lu
门闩,men'shuan
米珍,mi'zhen
面包车,mian'bao'che
绵别个,mian'bie'ge
绵夫子,mian'fu'zi
绵里针忍耐,mian'li'zhen'ren'nai
腼腆,mian'tian
绵我咯,mian'wo'ge
灭黑的,mie'hei'de
咩黑滴,mie'hei'di
蔑匠,mie'jiang
蔑片子,mie'pian'zi
篾席,mie'xi
明摆着,ming'bai'zhe
莫拌哒,mo'ban'da
莫宝咯,mo'bao'ge
莫策,mo'ce
莫策我咯,mo'ce'wo'ge
莫咯,mo'ge
摸黑,mo'hei
莫噻,mo'sai
抹一鼻子灰,mo'yi'bi'zi'hui
木佳村,mu'jia'cun
木匠,mu'jiang
哪个人前不说人,na'ge'ren'qian'bu'shuo'ren
那还了得,na'hai'liao'de
那号人物,na'hao'ren'wu
哪凉快哪呆着去,na'liang'kuai'na'dai'zhe'qu
哪门子,na'men'zi
那确实,na'que'shi
那只,na'zhi
南芬塘村,nan'fen'tang'cun
难怪,nan'guai
男家,nan'jia
南岭村,nan'ling'cun
南太湖村,nan'tai'hu'cun
南塘村,nan'tang'cun
南田坪,nan'tian'ping
南田坪村,nan'tian'ping'cun
南苑社区,nan'yuan'she'qu
南洲村,nan'zhou'cun
南竹村,nan'zhu'cun
楠竹山村,nan'zhu'shan'cun
闹场子,nao'chang'zi
脑袋短路,nao'dai'duan'lu
闹洞房,nao'dong'fang
闹脾气,nao'pi'qi
内裤,nei'ku
嫩白的,nen'bai'de
你不怕风大闪了舌头,ni'bu'pa'feng'da'shan'le'she'tou
你还没脱黄,ni'hai'mei'tuo'huang
你很屌,ni'hen'diao
你就有蛮猛来,ni'jiu'you'man'meng'lai
你妈妈的屄,ni'ma'ma'de'bi
你喃嘎,ni'nan'ga
你少来这套,ni'shao'lai'zhe'tao
你小子欠扁,ni'xiao'zi'qian'bian
你小子欠揍,ni'xiao'zi'qian'zou
你有毛病,ni'you'mao'bing
你有种,ni'you'zhong
年富力强,nian'fu'li'qiang
年怕中秋月怕十五,nian'pa'zhong'qiu'yue'pa'shi'wu
拈香礼佛,nian'xiang'li'fo
娘的个蛋,niang'de'ge'dan
娘老子,niang'lao'zi
鸟鸣村,niao'ming'cun
嬲你娘的,niao'ni'niang'de
嬲塞,niao'sai
宁峰村,ning'feng'cun
宁南村,ning'nan'cun
凝香华都,ning'xiang'hua'du
牛吃棉花一口尽白,niu'chi'mian'hua'yi'kou'jin'bai
牛角村,niu'jiao'cun
牛桊,niu'juan
牛山村,niu'shan'cun
女为悦己者容,nv'wei'yue'ji'zhe'rong
哦噶,o'ga
哦解,o'jie
沤粪,ou'fen
怄气,ou'qi
藕塘湾村,ou'tang'wan'cun
熰蚊子,ou'wen'zi
欧阳毅,ou'yang'yi
怄躁,ou'zao
怕懒得,pa'lan'de
筢子,pa'zi
盘费,pan'fei
盘龙村,pan'long'cun
胖鼓鼓,pang'gu'gu
炮筒子,pao'tong'zi
碰哒你只鬼,peng'da'ni'zhi'gui
碰钉子,peng'ding'zi
彭奇耀,peng'qi'yao
碰一鼻子灰,peng'yi'bi'zi'hui
漂亮话,piao'liang'hua
娉姐,ping'jie
凭你那点花花肠子,ping'ni'na'dian'hua'hua'chang'zi
平生不做亏心事,ping'sheng'bu'zuo'kui'xin'shi
坪石村,ping'shi'cun
笸箩货,po'luo'huo
铺岭村,pu'ling'cun
起梗子,qi'geng'zi
戚佳山村,qi'jia'shan'cun
漆烂黑,qi'lan'hei
七里八里,qi'li'ba'li
七里村,qi'li'cun
七里山,qi'li'shan
启仁村,qi'ren'cun
起色,qi'se
起身,qi'shen
奇石村,qi'shi'cun
七星村,qi'xing'cun
恰伴片,qia'ban'pian
恰哒饭冒事做,qia'da'fan'mao'shi'zuo
恰饭,qia'fan
恰嘎哒,qia'ga'da
恰好,qia'hao
欠不得子,qian'bu'de'zi
前例可援,qian'li'ke'yuan
钳子,qian'zi
强龙不压地头蛇,qiang'long'bu'ya'di'tou'she
桥北村,qiao'bei'cun
敲锣打鼓,qiao'luo'da'gu
窍门,qiao'men
瞧你那德行,qiao'ni'na'de'xing
秦塘村,qin'tang'cun
亲兄弟明算账,qin'xiong'di'ming'suan'zhang
青白眼,qing'bai'yan
亲家母,qing'jia'mu
清江村,qing'jiang'cun
青筋暴露,qing'jin'bao'lu
青泉村,qing'quan'cun
清泉河村,qing'quan'he'cun
青山桥,qing'shan'qiao
青山桥村,qing'shan'qiao'cun
清石村,qing'shi'cun
清洋村,qing'yang'cun
清一色,qing'yi'se
穷出来的聪明,qiong'chu'lai'de'cong'ming
穷酸饿醋,qiong'suan'e'cu
秋老虎,qiu'lao'hu
秋老虎不要怕,qiu'lao'hu'bu'yao'pa
邱武,qiu'wu
求之不得,qiu'zhi'bu'de
去他妈的,qu'ta'ma'de
泉福村,quan'fu'cun
泉江村,quan'jiang'cun
泉井村,quan'jing'cun
泉柳村,quan'liu'cun
全民,quan'min
全民村,quan'min'cun
泉山村,quan'shan'cun
泉塘,quan'tang
泉塘村,quan'tang'cun
圈套,quan'tao
泉湾村,quan'wan'cun
鹊山村,que'shan'cun
棤树村,que'shu'cun
瘸子,que'zi
群星村,qun'xing'cun
绕弯子,rao'wan'zi
人不可貌相,ren'bu'ke'mao'xiang
人多智慧广,ren'duo'zhi'hui'guang
仁福村,ren'fu'cun
仁桥村,ren'qiao'cun
仁泉村,ren'quan'cun
人算不如天算,ren'suan'bu'ru'tian'suan
人有三分负财力,ren'you'san'fen'fu'cai'li
日头,ri'tou
肉感,rou'gan
乳罩,ru'zhao
软耳朵,ruan'er'duo
软骨头,ruan'gu'tou
撒酒疯,sa'jiu'feng
三打哈,san'da'ha
三江村,san'jiang'cun
三角寨,san'jiao'zhai
三角寨落雨急得哭,san'jiao'zhai'luo'yu'ji'de'ku
三毛妮,san'mao'ni
三民村,san'min'cun
三桥村,san'qiao'cun
三天不打上房揭瓦,san'tian'bu'da'shang'fang'jie'wa
三仙坳,san'xian'ao
三仙坳村,san'xian'ao'cun
散洋子,san'yang'zi
三一三十一,san'yi'san'shi'yi
骚货,sao'huo
骚主意,sao'zhu'yi
森金村,sen'jin'cun
杀翻,sha'fan
杀回马枪,sha'hui'ma'qiang
沙坪,sha'ping
沙坪村,sha'ping'cun
杀人不见血吃人不吐骨,sha'ren'bu'jian'xie'chi'ren'bu'tu'gu
杀人偿命欠债还钱,sha'ren'chang'ming'qian'zhai'huan'qian
杀手锏,sha'shou'jian
沙田,sha'tian
沙田村,sha'tian'cun
杀猪,sha'zhu
晒谷,shai'gu
晒谷坪,shai'gu'ping
山坳,shan'ao
珊瑚,shan'hu
珊瑚冲村,shan'hu'chong'cun
山林街,shan'lin'jie
山龙村,shan'long'cun
善弱,shan'ruo
善山岭,shan'shan'ling
善山岭村,shan'shan'ling'cun
山无碍路路自通山,shan'wu'ai'lu'lu'zi'tong'shan
山有百草人有百性,shan'you'bai'cao'ren'you'bai'xing
山园村,shan'yuan'cun
扇子排,shan'zi'pai
上草窠树,shang'cao'ke'shu
上炕瞒不了锅台,shang'kang'man'bu'liao'guo'tai
上流村,shang'liu'cun
上无片瓦下无寸土,shang'wu'pian'wa'xia'wu'cun'tu
上香,shang'xiang
少不得,shao'bu'de
少不了,shao'bu'liao
韶光村,shao'guang'cun
韶河村,shao'he'cun
少年夫妻老来伴,shao'nian'fu'qi'lao'lai'ban
烧钱纸,shao'qian'zhi
烧石灰见不得卖面的,shao'shi'hui'jian'bu'de'mai'mian'di
烧汤河村,shao'tang'he'cun
烧香,shao'xiang
勺子,shao'zi
谁人背后无人说,shei'ren'bei'hou'wu'ren'shuo
神不伦通,shen'bu'lun'tong
身段,shen'duan
神武村,shen'wu'cun
省得,sheng'de
生的乖一世乖,sheng'de'guai'yi'shi'guai
生得贱,sheng'de'jian
生怕,sheng'pa
省事,sheng'shi
绳索,sheng'suo
胜溪村,sheng'xi'cun
省油的灯,sheng'you'de'deng
狮北村,shi'bei'cun
狮冲村,shi'chong'cun
是非窝,shi'fei'wo
失格,shi'ge
狮顾一都,shi'gu'yi'dou
实话好说瞎话难编,shi'hua'hao'shuo'xia'hua'nan'bian
世纪阳光,shi'ji'yang'guang
石家山村,shi'jia'shan'cun
石家湾,shi'jia'wan
石家湾村,shi'jia'wan'cun
世间苦事莫若哭,shi'jian'ku'shi'mo'ruo'ku
石江村,shi'jiang'cun
食尽鸟投林,shi'jin'niao'tou'lin
失敬,shi'jing
石立村,shi'li'cun
石梁村,shi'liang'cun
石龙洞村,shi'long'dong'cun
石梅村,shi'mei'cun
十年九不遇,shi'nian'jiu'bu'yu
石蒲,shi'pu
石琪,shi'qi
石奇村,shi'qi'cun
石桥铺村,shi'qiao'pu'cun
石清村,shi'qing'cun
世情看冷暖人面逐高低,shi'qing'kan'leng'nuan'ren'mian'zhu'gao'di
石泉村,shi'quan'cun
石山村,shi'shan'cun
世上谁见男儿丑,shi'shang'shui'jian'nan'er'chou
世上万般哀苦事,shi'shang'wan'ban'ai'ku'shi
世上无难事只怕有心人,shi'shang'wu'nan'shi'zhi'pa'you'xin'ren
是什么虫蛀什么木,shi'shen'me'chong'zhu'shen'me'mu
石狮村,shi'shi'cun
石殊知,shi'shu'zhi
石笋村,shi'sun'cun
石潭五都,shi'tan'wu'dou
石头坑村,shi'tou'keng'cun
士为知己者死,shi'wei'zhi'ji'zhe'si
石屋村,shi'wu'cun
石谢青,shi'xie'qing
石新村,shi'xin'cun
使眼色,shi'yan'se
是因缘棒打不回,shi'yin'yuan'bang'da'bu'hui
石柱四都,shi'zhu'si'dou
手霸子,shou'ba'zi
手板塘村,shou'ban'tang'cun
收船好在顺风时,shou'chuan'hao'zai'shun'feng'shi
收得谷,shou'de'gu
守法朝朝乐欺公日日忙,shou'fa'zhao'zhao'le'qi'gong'ri'ri'mang
收割机,shou'ge'ji
收谷,shou'gu
收谷机,shou'gu'ji
收禾,shou'he
手巧不如家什秒,shou'qiao'bu'ru'jia'shi'miao
树不修不成材,shu'bu'xiu'bu'cheng'cai
树高千尺落叶归根,shu'gao'qian'chi'luo'ye'gui'gen
书卷气,shu'juan'qi
熟能生巧巧能生精,shu'neng'sheng'qiao'qiao'neng'sheng'jing
书生气,shu'sheng'qi
耍把戏,shua'ba'xi
耍笔杆,shua'bi'gan
耍嘴皮子,shua'zui'pi'zi
帅呆了,shuai'dai'le
摔一跤,shuai'yi'jiao
双东村,shuang'dong'cun
双凫村,shuang'fu'cun
双福村,shuang'fu'cun
双凫铺,shuang'fu'pu
双凫铺社区,shuang'fu'pu'she'qu
双桂村,shuang'gui'cun
双河村,shuang'he'cun
双建村,shuang'jian'cun
双江口,shuang'jiang'kou
双江口村,shuang'jiang'kou'cun
双江口社区,shuang'jiang'kou'she'qu
双金村,shuang'jin'cun
双井村,shuang'jing'cun
双柳村,shuang'liu'cun
双龙村,shuang'long'cun
双龙潭村,shuang'long'tan'cun
双盆村,shuang'pen'cun
双抢,shuang'qiang
双青村,shuang'qing'cun
双拳难敌四手,shuang'quan'nan'di'si'shou
双树村,shuang'shu'cun
双舞村,shuang'wu'cun
双溪村,shuang'xi'cun
双燕村,shuang'yan'cun
水岸星城,shui'an'xing'cheng
水晶郦城,shui'jing'li'cheng
水老倌,shui'lao'guan
水木天成,shui'mu'tian'cheng
水南村,shui'nan'cun
水涨船高船长码头高,shui'zhang'chuan'gao'chuan'zhang'ma'tou'gao
顺请说好话正直惹人嫌,shun'qing'shuo'hao'hua'zheng'zhi're'ren'xian
顺天者昌逆天者亡,shun'tian'zhe'chang'ni'tian'zhe'wang
说不定,shuo'bu'ding
说曹操曹操到,shuo'cao'cao'cao'cao'dao
硕的死,shuo'de'si
说话带刺,shuo'hua'dai'ci
硕腿,shuo'tui
死抱葫芦不开瓢,si'bao'hu'lu'bu'kai'piao
死嘎哒,si'ga'da
泗海村,si'hai'cun
死马当做活马医,si'ma'dang'zuo'huo'ma'yi
丝芒子打草鞋假忙子忙,si'mang'zi'da'cao'xie'jia'mang'zi'mang
死皮赖脸,si'pi'lai'lian
死血皮,si'xue'pi
送撮哒,song'cuo'da
送黑哒,song'hei'da
松华村,song'hua'cun
送雷哒,song'lei'da
送磊哒,song'lei'da
送篓哒,song'lou'da
松文古定剑,song'wen'gu'ding'jian
松溪村,song'xi'cun
粟溪村,su'xi'cun
算八字,suan'ba'zi
算哒,suan'da
算你狠,suan'ni'hen
随大流,sui'da'liu
随风倒,sui'feng'dao
锁匙冲村,suo'shi'chong'cun
索性,suo'xing
索子,suo'zi
他妈妈的,ta'ma'ma'de
太岛,tai'dao
太公,tai'gong
太和桥村,tai'he'qiao'cun
太平桥村,tai'ping'qiao'cun
太平山村,tai'ping'shan'cun
太婆,tai'po
泰山,tai'shan
檀桂村,tan'gui'cun
檀木桥,tan'mu'qiao
探囊取物手到拈来,tan'nang'qu'wu'shou'dao'nian'lai
谈强,tan'qiang
檀树湾,tan'shu'wan
檀树湾村,tan'shu'wan'cun
炭子冲村,tan'zi'chong'cun
汤匙,tang'chi
唐洁娣,tang'jie'di
堂客,tang'ke
堂客们,tang'ke'men
汤泉七都,tang'quan'qi'du
汤泉社区,tang'quan'she'qu
堂上一呼阶下百诺,tang'shang'yi'hu'jie'xia'bai'nuo
唐市,tang'shi
唐市村,tang'shi'cun
唐市社区,tang'shi'she'qu
塘湾村,tang'wan'cun
唐泽剑,tang'ze'jian
讨饭怕狗咬秀才怕岁考,tao'fan'pa'gou'yao'xiu'cai'pa'sui'kao
讨饭三年懒做官,tao'fan'san'nian'lan'zuo'guan
陶家湾村,tao'jia'wan'cun
桃林桥,tao'lin'qiao
桃林桥村,tao'lin'qiao'cun
讨卵嫌,tao'luan'xian
陶汝鼐,tao'ru'nai
逃生不避路到处便为家,tao'sheng'bu'bi'lu'dao'chu'bian'wei'jia
提篮子,ti'lan'zi
提手,ti'shou
天不打吃饭人,tian'bu'da'chi'fan'ren
甜从苦中来福从祸中生,tian'cong'ku'zhong'lai'fu'cong'huo'zhong'sheng
天鹅村,tian'e'cun
田鸡要命蛇要饱,tian'ji'yao'ming'she'yao'bao
天里村,tian'li'cun
天马新村,tian'ma'xin'cun
田怕秋旱人怕老贫,tian'pa'qiu'han'ren'pa'lao'pin
田坪,tian'ping
田坪村,tian'ping'cun
天石村,tian'shi'cun
田心铺村,tian'xin'pu'cun
甜言美语三冬暖,tian'yan'mei'yu'san'dong'nuan
田艳琼,tian'yan'qiong
田要冬耕崽要亲生,tian'yao'dong'geng'zai'yao'qin'sheng
添油加醋,tian'you'jia'cu
跳到黄河洗不清,tiao'dao'huang'he'xi'bu'qing
调口味,tiao'kou'wei
粜米,tiao'mi
调皮,tiao'pi
调皮的骡子不能拉套,tiao'pi'de'luo'zi'bu'neng'la'tao
跳起鸬鹚一样,tiao'qi'lu'ci'yi'yang
跳起驴子一样,tiao'qi'lv'zi'yi'yang
挑水瞒不了井台,tiao'shui'man'bu'liao'jing'tai
铁冲,tie'chong
铁冲村,tie'chong'cun
铁杵磨成针只要功夫深,tie'chu'mo'cheng'zhen'zhi'yao'gong'fu'shen
铁佛伤心石人落泪,tie'fo'shang'xin'shi'ren'luo'lei
铁锹,tie'qiao
听不听枕头风,ting'bu'ting'zhen'tou'feng
停钟,ting'zhong
彤红的,tong'hong'de
桶抹滴,tong'mo'di
同庆村,tong'qing'cun
通溪村,tong'xi'cun
同兴村,tong'xing'cun
通益社区,tong'yi'she'qu
偷花不为贱,tou'hua'bu'wei'jian
偷鸡不成蚀把米,tou'ji'bu'cheng'shi'ba'mi
偷食猫儿性不改,tou'shi'mao'er'xing'bu'gai
偷油伯,tou'you'bo
团鱼,tuan'yu
腿夫子,tui'fu'zi
退后一步自然宽,tui'hou'yi'bu'zi'ran'kuan
推上坡,tui'shang'po
退一步想过十年看,tui'yi'bu'xiang'guo'shi'nian'kan
陀螺不抽不转,tuo'luo'bu'chou'bu'zhuan
拖人下水先打湿脚,tuo'ren'xia'shui'xian'da'shi'jiao
驮腿,tuo'tui
挖耳子,wa'er'zi
瓦罐不离井口破,wa'guan'bu'li'jing'kou'po
挖空心思,wa'kong'xin'si
瓦片也有翻身日,wa'pian'ye'you'fan'shen'ri
挖墙脚,wa'qiang'jiao
瓦子坪,wa'zi'ping
瓦子坪村,wa'zi'ping'cun
万般皆是命半点不由人,wan'ban'jie'shi'ming'ban'dian'bu'you'ren
万福村,wan'fu'cun
万龙村,wan'long'cun
万年千载不生尘,wan'nian'qian'zai'bu'sheng'chen
万寿山,wan'shou'shan
万寿山社区,wan'shou'shan'she'qu
望北峰村,wang'bei'feng'cun
望北六都,wang'bei'liu'dou
王海明,wang'hai'ming
王欢,wang'huan
网开一面路留一条,wang'kai'yi'mian'lu'liu'yi'tiao
王珂,wang'ke
望山跑死马,wang'shan'pao'si'ma
王文清,wang'wen'qing
王晓琳,wang'xiao'lin
王元湖,wang'yuan'hu
王珍,wang'zhen
为臣当忠为友当义,wei'chen'dang'zhong'wei'you'dang'yi
沩丰坝村,wei'feng'ba'cun
未归三尺土难保百年身,wei'gui'san'chi'tu'nan'bao'bai'nian'shen
沩河村,wei'he'cun
煨红薯,wei'hong'shu
沩桥村,wei'qiao'cun
沩清村,wei'qing'cun
为人处世两件宝,wei'ren'chu'shi'liang'jian'bao
沩山,wei'shan
沩山村,wei'shan'cun
沩山密印寺,wei'shan'mi'yin'si
沩山十都,wei'shan'shi'dou
沩水村,wei'shui'cun
未晚先投宿鸡鸣早看天,wei'wan'xian'tou'su'ji'ming'zao'kan'tian
沩乌,wei'wu
沩乌村,wei'wu'cun
唯有感恩和积恨,wei'you'gan'en'he'ji'hen
沩源村,wei'yuan'cun
卫子,wei'zi
蚊虫遭扇打只为嘴伤人,wen'chong'zao'shan'da'zhi'wei'zui'shang'ren
文官把笔安天下,wen'guan'ba'bi'an'tian'xia
文惠芝,wen'hui'zhi
文剑,wen'jian
文建明,wen'jian'ming
文杰明,wen'jie'ming
文兰,wen'lan
文柳,wen'liu
文梦,wen'meng
文文,wen'wen
文旭,wen'xu
文亚杰,wen'ya'jie
文亚雄,wen'ya'xiong
文艳芳,wen'yan'fang
文正波,wen'zheng'bo
文中社区,wen'zhong'she'qu
我不入地狱谁入地狱,wo'bu'ru'di'yu'shei'ru'di'yu
窝麻子,wo'ma'zi
我呸,wo'pei
我有救人心人无怜我意,wo'you'jiu'ren'xin'ren'wu'lian'wo'yi
无本难求利,wu'ben'nan'qiu'li
无胆之人事事难,wu'dan'zhi'ren'shi'shi'nan
无毒不丈夫,wu'du'bu'zhang'fu
无非生死与别离,wu'fei'sheng'si'yu'bie'li
五官八字强无福不能受,wu'guan'ba'zi'qiang'wu'fu'bu'neng'shou
乌龟不笑鳖都在泥里歇,wu'gui'bu'xiao'bie'dou'zai'ni'li'xie
乌龟也有出头时,wu'gui'ye'you'chu'tou'shi
武将提刀定太平,wu'jiang'ti'dao'ding'tai'ping
无可奉告,wu'ke'feng'gao
五里村,wu'li'cun
五里堆,wu'li'dui
屋里无女一家没主,wu'li'wu'nv'yi'jia'mei'zhu
污七八黑,wu'qi'ba'hei
乌七八糟,wu'qi'ba'zao
吴强,wu'qiang
吴晓波,wu'xiao'bo
乌鸦擦粉照样黑,wu'ya'ca'fen'zhao'yang'hei
屋檐水点点滴,wu'yan'shui'dian'dian'di
无言之哭最为苦,wu'yan'zhi'ku'zui'wei'ku
屋要人支人要粮撑,wu'yao'ren'zhi'ren'yao'liang'cheng
五一村,wu'yi'cun
乌有反哺之义,wu'you'fan'bu'zhi'yi
西冲山,xi'chong'shan
西冲山村,xi'chong'shan'cun
戏法无真黄金无假,xi'fa'wu'zhen'huang'jin'wu'jia
锡福村,xi'fu'cun
稀释胯烂,xi'shi'kua'lan
鼷鼠杀象蜈蚣杀龙,xi'shu'sha'xiang'wu'gong'sha'long
稀下的,xi'xia'de
细伢子,xi'ya'zi
西元村,xi'yuan'cun
夏铎铺,xia'duo'pu
夏铎铺社区,xia'duo'pu'she'qu
呷饭,xia'fan
呷噶饭冇,xia'ga'fan'mao
夏慧兰,xia'hui'lan
下家,xia'jia
狭路相逢勇者胜,xia'lu'xiang'feng'yong'zhe'sheng
瞎猫碰上死耗子,xia'mao'peng'shang'si'hao'zi
下皮,xia'pi
下三滥的手段,xia'san'lan'de'shou'duan
峡塘村,xia'tang'cun
下雪不冷化雪寒,xia'xue'bu'leng'hua'xue'han
现屌,xian'diao
仙洪坝村,xian'hong'ba'cun
现话得,xian'hua'de
先君子后小人,xian'jun'zi'hou'xiao'ren
仙龙潭村,xian'long'tan'cun
嫌人易丑等人易久,xian'ren'yi'chou'deng'ren'yi'jiu
现世宝,xian'shi'bao
闲时不烧香急来抱佛脚,xian'shi'bu'shao'xiang'ji'lai'bao'fo'jiao
先下手为强后下手遭殃,xian'xia'shou'wei'qiang'hou'xia'shou'zao'yang
乡寸别,xiang'cun'bie
香饵之下必有死鱼,xiang'er'zhi'xia'bi'you'si'yu
相逢知己话偏长,xiang'feng'zhi'ji'hua'pian'chang
响鼓不用重锤,xiang'gu'bu'yong'zhong'chui
乡蛮子,xiang'man'zi
向情向不了礼,xiang'qing'xiang'bu'liao'li
香山冲村,xiang'shan'chong'cun
香山社区,xiang'shan'she'qu
巷市村,xiang'shi'cun
向阳村,xiang'yang'cun
想治疮不能怕挖肉,xiang'zhi'chuang'bu'neng'pa'wa'rou
巷子口,xiang'zi'kou
巷子口社区,xiang'zi'kou'she'qu
肖伯文,xiao'bo'wen
肖畅,xiao'chang
小洞不补大洞吃苦,xiao'dong'bu'bu'da'dong'chi'ku
肖凤,xiao'feng
小福由命大富由天,xiao'fu'you'ming'da'fu'you'tian
小孩盼过年大人愁腊月,xiao'hai'pan'guo'nian'da'ren'chou'la'yue
小家伙,xiao'jia'huo
小栗子,xiao'li'zi
晓林,xiao'lin
肖凌波,xiao'ling'bo
小曲好唱口难开,xiao'qu'hao'chang'kou'nan'kai
肖艳,xiao'yan
肖勇,xiao'yong
肖志波,xiao'zhi'bo
谢灿兵,xie'can'bing
谢丹,xie'dan
斜对门,xie'dui'men
谢觉哉,xie'jue'zai
偕乐桥,xie'le'qiao
偕乐桥社区,xie'le'qiao'she'qu
谢凌峰,xie'ling'feng
谢罗义,xie'luo'yi
谢天谢地,xie'tian'xie'di
新宝塔村,xin'bao'ta'cun
新城社区,xin'cheng'she'qu
新飞村,xin'fei'cun
新风村,xin'feng'cun
心坚石也开,xin'jian'shi'ye'kai
新街社区,xin'jie'she'qu
新开河村,xin'kai'he'cun
新联村,xin'lian'cun
新民村,xin'min'cun
新桥村,xin'qiao'cun
新书村,xin'shu'cun
心田,xin'tian
心田村,xin'tian'cun
新香社区,xin'xiang'she'qu
鑫星村,xin'xing'cun
新颜村,xin'yan'cun
新一家村,xin'yi'jia'cun
新宇城南嘉园,xin'yu'cheng'nan'jia'yuan
新郑村,xin'zheng'cun
心中有粮心中不慌,xin'zhong'you'liang'xin'zhong'bu'huang
行船走马三分险,xing'chuan'zou'ma'san'fen'xian
杏村,xing'cun
星多夜空亮,xing'duo'ye'kong'liang
性感,xing'gan
兴哥,xing'ge
星光村,xing'guang'cun
兴桂村,xing'gui'cun
行路,xing'lu
醒门子,xing'men'zi
行头,xing'tou
兴旺村,xing'wang'cun
熊头鼓,xiong'tou'gu
胸衣,xiong'yi
羞涩,xiu'se
许家坝村,xu'jia'ba'cun
许家垅村,xu'jia'long'cun
徐亚,xu'ya
悬梁子,xuan'liang'zi
学庵社区,xue'an'she'qu
熏蚊子,xun'wen'zi
伢老官,ya'lao'guan
伢子,ya'zi
沿江村,yan'jiang'cun
檐老鼠,yan'lao'shu
雁翎砌就穿金甲,yan'ling'qi'jiu'chuan'jin'jia
严敏,yan'min
眼皮子浅,yan'pi'zi'qian
燕山村,yan'shan'cun
颜塘村,yan'tang'cun
烟田村,yan'tian'cun
烟溪村,yan'xi'cun
样范,yang'fan
杨华江村,yang'hua'jiang'cun
养家糊口,yang'jia'hu'kou
杨靖,yang'jing
阳具,yang'ju
杨林村,yang'lin'cun
杨林桥,yang'lin'qiao
杨柳桥村,yang'liu'qiao'cun
羊毛出在羊身上,yang'mao'chu'zai'yang'shen'shang
洋泉三都,yang'quan'san'du
杨世焯,yang'shi'chao
杨塘村,yang'tang'cun
杨无六宗,yang'wu'liu'zong
洋西村,yang'xi'cun
杨亚琼,yang'ya'qiong
羊有跪乳之恩,yang'you'gui'ru'zhi'en
杨再红,yang'zai'hong
杨再军,yang'zai'jun
要得,yao'de
要的咯,yao'de'ge
窑里村,yao'li'cun
要杀要剐悉听尊便,yao'sha'yao'gua'xi'ting'zun'bian
嘢勺,ye'shao
野味,ye'wei
夜瞎子,ye'xia'zi
一当门户一当风,yi'dang'men'hu'yi'dang'feng
易祓,yi'fu
咦噶,yi'ga
一个好汉三个帮,yi'ge'hao'han'san'ge'bang
