阿尔必阶,a'er'bi'jie
古纬度,gu'wei'du
固相线,gu'xiang'xian
骨屑,gu'xie
古新世,gu'xin'shi
古新统,gu'xin'tong
古元古代,gu'yuan'gu'dai
古元古界,gu'yuan'gu'jie
古陨击坑,gu'yun'ji'keng
关底阶,guan'di'jie
关底期,guan'di'qi
关底组,guan'di'zu
灌桨,guan'jiang
馆陶组,guan'tao'zu
观音桥组,guan'yin'qiao'zu
管涌,guan'yong
广海,guang'hai
光亮煤,guang'liang'mei
光卤石,guang'lu'shi
光率体,guang'lv'ti
光片,guang'pian
光性方位,guang'xing'fang'wei
光性异常,guang'xing'yi'chang
广义,guang'yi
光泽,guang'ze
光轴,guang'zhou
光轴角,guang'zhou'jiao
光轴面,guang'zhou'mian
归并,gui'bing
贵橄榄石,gui'gan'lan'shi
硅灰石,gui'hui'shi
硅碱指数,gui'jian'zhi'shu
硅孔雀石,gui'kong'que'shi
硅铝层,gui'lv'ceng
硅铝层上,gui'lv'ceng'shang
硅铝矿物,gui'lv'kuang'wu
硅镁层,gui'mei'ceng
硅镁层上,gui'mei'ceng'shang
硅镁石,gui'mei'shi
硅硼钙石,gui'peng'gai'shi
硅铍石化,gui'pi'shi'hua
硅酸盐,gui'suan'yan
硅锌矿,gui'xin'kuang
硅藻土,gui'zao'tu
硅质岩,gui'zhi'yan
过程,guo'cheng
过渡相,guo'du'xiang
过剩氩,guo'sheng'ya
哈得孙期,ha'de'sun'qi
海滨砂矿,hai'bin'sha'kuang
海底扩张,hai'di'kuo'zhang
海底喷发,hai'di'pen'fa
海底热泉,hai'di're'quan
海沟,hai'gou
海解,hai'jie
海进,hai'jin
骸晶结构,hai'jing'jie'gou
海绿石,hai'lv'shi
海绵岩,hai'mian'yan
海泡石,hai'pao'shi
海侵,hai'qin
海退,hai'tui
海西阶段,hai'xi'jie'duan
海西期,hai'xi'qi
海相,hai'xiang
海洋化探,hai'yang'hua'tan
海洋环境,hai'yang'huan'jing
焓氯图解,han'lv'tu'jie
含煤岩系,han'mei'yan'xi
含水层,han'shui'ceng
含水层系,han'shui'ceng'xi
含水量,han'shui'liang
含水岩组,han'shui'yan'zu
寒武纪,han'wu'ji
寒武系,han'wu'xi
含氧系数,han'yang'xi'shu
含油地层,han'you'di'ceng
含铀硅岩,han'you'gui'yan
含油面积,han'you'mian'ji
含油气区,han'you'qi'qu
含油气省,han'you'qi'sheng
含铀页岩,han'you'ye'yan
航空化探,hang'kong'hua'tan
合成矿物,he'cheng'kuang'wu
河口湾,he'kou'wan
河口湾相,he'kou'wan'xiang
褐帘石,he'lian'shi
河流阶地,he'liu'jie'di
河流相,he'liu'xiang
褐煤,he'mei
核年代学,he'nian'dai'xue
和尚沟组,he'shang'gou'zu
合纹石,he'wen'shi
黑电气石,hei'dian'qi'shi
黑钨矿,hei'wu'kuang
黑曜岩,hei'yao'yan
黑云母,hei'yun'mu
痕量元素,hen'liang'yuan'su
横向分带,heng'xiang'fen'dai
红宝石,hong'bao'shi
红花园组,hong'hua'yuan'zu
红帘石,hong'lian'shi
红石矿,hong'shi'kuang
洪水庄组,hong'shui'zhuang'zu
红土,hong'tu
红土化,hong'tu'hua
红外光谱,hong'wai'guang'pu
红柱石,hong'zhu'shi
后滨,hou'bin
后成河,hou'cheng'he
后冲断层,hou'chong'duan'ceng
后陆,hou'lu
厚皮构造,hou'pi'gou'zao
后生成岩,hou'sheng'cheng'yan
后生矿床,hou'sheng'kuang'chuang
后生异常,hou'sheng'yi'chang
后生作用,hou'sheng'zuo'yong
弧后扩张,hu'hou'kuo'zhang
弧后盆地,hu'hou'pen'di
胡乐阶,hu'le'jie
胡乐期,hu'le'qi
胡乐组,hu'le'zu
湖泊相,hu'po'xiang
弧前盆地,hu'qian'pen'di
滹沱群,hu'tuo'qun
花斑岩,hua'ban'yan
滑动,hua'dong
滑动面,hua'dong'mian
花岗结构,hua'gang'jie'gou
花岗岩,hua'gang'yan
华力西期,hua'li'xi'qi
滑劈理,hua'pi'li
滑坡,hua'po
滑石,hua'shi
滑石板阶,hua'shi'ban'jie
滑石板期,hua'shi'ban'qi
滑石板组,hua'shi'ban'zu
滑石矿床,hua'shi'kuang'chuang
滑石片岩,hua'shi'pian'yan
滑塌构造,hua'ta'gou'zao
滑脱,hua'tuo
滑陷构造,hua'xian'gou'zao
化学物种,hua'xue'wu'zhong
化学形式,hua'xue'xing'shi
滑移,hua'yi
滑移面,hua'yi'mian
滑移系,hua'yi'xi
滑移线,hua'yi'xian
环带,huan'dai
环带轴,huan'dai'zhou
环带组构,huan'dai'zu'gou
环境背景,huan'jing'bei'jing
环境变迁,huan'jing'bian'qian
环境储库,huan'jing'chu'ku
环境规划,huan'jing'gui'hua
环境监测,huan'jing'jian'ce
环境界面,huan'jing'jie'mian
环境介质,huan'jing'jie'zhi
环境模拟,huan'jing'mo'ni
环境评价,huan'jing'ping'jia
环境区划,huan'jing'qu'hua
环境容量,huan'jing'rong'liang
环境退化,huan'jing'tui'hua
环境污染,huan'jing'wu'ran
环境效应,huan'jing'xiao'ying
环境要素,huan'jing'yao'su
环境异常,huan'jing'yi'chang
环境因子,huan'jing'yin'zi
环境影响,huan'jing'ying'xiang
环境质量,huan'jing'zhi'liang
环境自净,huan'jing'zi'jing
缓坡,huan'po
幻数规则,huan'shu'gui'ze
还原环境,huan'yuan'huan'jing
环状岩墙,huan'zhuang'yan'qiang
煌斑结构,huang'ban'jie'gou
煌斑岩,huang'ban'yan
黄长石,huang'chang'shi
黄河矿,huang'he'kuang
黄家磴组,huang'jia'deng'zu
黄钾铁矾,huang'jia'tie'fan
黄砷榴石,huang'shen'liu'shi
黄锑矿,huang'ti'kuang
黄铁矿,huang'tie'kuang
黄铁矿床,huang'tie'kuang'chuang
黄铜矿,huang'tong'kuang
黄土,huang'tu
黄玉,huang'yu
辉铋矿,hui'bi'kuang
辉长结构,hui'chang'jie'gou
辉长岩,hui'chang'yan
回返,hui'fan
辉沸石,hui'fei'shi
回灌井,hui'guan'jing
回灌水,hui'guan'shui
会聚边界,hui'ju'bian'jie
辉绿结构,hui'lv'jie'gou
辉绿岩,hui'lv'yan
辉钼矿,hui'mu'kuang
辉砷钴矿,hui'shen'gu'kuang
辉石,hui'shi
辉石岩,hui'shi'yan
辉锑矿,hui'ti'kuang
辉铜矿,hui'tong'kuang
灰瓦岩,hui'wa'yan
灰岩,hui'yan
辉银矿,hui'yin'kuang
混合晶体,hun'he'jing'ti
混合流,hun'he'liu
混合模型,hun'he'mo'xing
混合水,hun'he'shui
混合岩,hun'he'yan
混合岩浆,hun'he'yan'jiang
混杂堆积,hun'za'dui'ji
火成岩,huo'cheng'yan
活动带,huo'dong'dai
活动断层,huo'dong'duan'ceng
活动构造,huo'dong'gou'zao
活动论,huo'dong'lun
活动褶皱,huo'dong'zhe'zhou
活化,huo'hua
活火山,huo'huo'shan
活塞,huo'sai
火山,huo'shan
火山带,huo'shan'dai
火山弹,huo'shan'dan
火山地震,huo'shan'di'zhen
火山构造,huo'shan'gou'zao
火山弧,huo'shan'hu
火山灰,huo'shan'hui
火山活动,huo'shan'huo'dong
火山机构,huo'shan'ji'gou
火山机体,huo'shan'ji'ti
火山颈,huo'shan'jing
火山口,huo'shan'kou
火山口湖,huo'shan'kou'hu
火山砾,huo'shan'li
火山泥,huo'shan'ni
火山穹丘,huo'shan'qiong'qiu
火山砂,huo'shan'sha
火山通道,huo'shan'tong'dao
火山旋回,huo'shan'xuan'hui
火山学,huo'shan'xue
火山岩,huo'shan'yan
火山岩相,huo'shan'yan'xiang
火山韵律,huo'shan'yun'lv
火山渣,huo'shan'zha
火山渣锥,huo'shan'zha'zhui
火山锥,huo'shan'zhui
火山作用,huo'shan'zuo'yong
活性碳法,huo'xing'tan'fa
活性铀,huo'xing'you
击变玻璃,ji'bian'bo'li
继承氩,ji'cheng'ya
挤出构造,ji'chu'gou'zao
基底,ji'di
基底胶结,ji'di'jiao'jie
基堵拉组,ji'du'la'zu
季节冻土,ji'jie'dong'tu
击坑,ji'keng
集料,ji'liao
集群绝灭,ji'qun'jue'mie
寄生褶皱,ji'sheng'zhe'zhou
计时,ji'shi
集水井,ji'shui'jing
吉维阶,ji'wei'jie
基威诺群,ji'wei'nuo'qun
吉维期,ji'wei'qi
蓟县纪,ji'xian'ji
蓟县矿,ji'xian'kuang
蓟县群,ji'xian'qun
蓟县系,ji'xian'xi
基性岩,ji'xing'yan
基岩,ji'yan
积岩,ji'yan
基质,ji'zhi
集中载荷,ji'zhong'zai'he
脊柱,ji'zhu
基准井,ji'zhun'jing
基准温度,ji'zhun'wen'du
击作用,ji'zuo'yong
假等时线,jia'deng'shi'xian
夹矸,jia'gan
钾化带,jia'hua'dai
加积,jia'ji
假蓝宝石,jia'lan'bao'shi
加里东期,jia'li'dong'qi
嘉陵江组,jia'ling'jiang'zu
假象,jia'xiang
钾硝石,jia'xiao'shi
钾盐,jia'yan
钾盐矿床,jia'yan'kuang'chuang
假异常,jia'yi'chang
假整合,jia'zheng'he
间冰期,jian'bing'qi
简单剪切,jian'dan'jian'qie
建德群,jian'de'qun
间断,jian'duan
间隔带,jian'ge'dai
碱湖,jian'hu
尖晶石,jian'jing'shi
健康效应,jian'kang'xiao'ying
间粒结构,jian'li'jie'gou
尖灭,jian'mie
剪切带,jian'qie'dai
间歇分带,jian'xie'fen'dai
间歇泉,jian'xie'quan
间歇熔融,jian'xie'rong'rong
渐新世,jian'xin'shi
渐新统,jian'xin'tong
碱性环境,jian'xing'huan'jing
碱性泉,jian'xing'quan
碱性系列,jian'xing'xi'lie
碱性岩,jian'xing'yan
碱玄岩,jian'xuan'yan
间隐结构,jian'yin'jie'gou
建造,jian'zao
建筑材料,jian'zhu'cai'liao
降尘,jiang'chen
降解作用,jiang'jie'zuo'yong
角斑岩,jiao'ban'yan
交错层理,jiao'cuo'ceng'li
交代,jiao'dai
交代结构,jiao'dai'jie'gou
交代作用,jiao'dai'zuo'yong
交沸石,jiao'fei'shi
交换平衡,jiao'huan'ping'heng
交接,jiao'jie
胶结,jiao'jie
胶结类型,jiao'jie'lei'xing
胶结物,jiao'jie'wu
角砾岩,jiao'li'yan
胶磷矿,jiao'lin'kuang
焦煤,jiao'mei
胶泥煤,jiao'ni'mei
礁圈闭,jiao'quan'bi
角闪石,jiao'shan'shi
角闪石岩,jiao'shan'shi'yan
角闪岩,jiao'shan'yan
角闪岩相,jiao'shan'yan'xiang
胶体沉积,jiao'ti'chen'ji
礁相,jiao'xiang
角岩,jiao'yan
角岩相,jiao'yan'xiang
角页岩,jiao'ye'yan
角银矿,jiao'yin'kuang
交织结构,jiao'zhi'jie'gou
角质体,jiao'zhi'ti
胶状构造,jiao'zhuang'gou'zao
接触,jie'chu
接触胶结,jie'chu'jiao'jie
接触泉,jie'chu'quan
阶地,jie'di
介电常量,jie'dian'chang'liang
阶段加温,jie'duan'jia'wen
结构,jie'gou
结构面,jie'gou'mian
结构要素,jie'gou'yao'su
结构因子,jie'gou'yin'zi
结核,jie'he
接合面,jie'he'mian
结晶,jie'jing
结晶度,jie'jing'du
结晶基底,jie'jing'ji'di
结晶片岩,jie'jing'pian'yan
结晶水,jie'jing'shui
结晶学,jie'jing'xue
结晶指数,jie'jing'zhi'shu
结晶轴,jie'jing'zhou
节理,jie'li
解理,jie'li
节理组,jie'li'zu
介壳灰岩,jie'qiao'hui'yan
界线层型,jie'xian'ceng'xing
界线粘土,jie'xian'nian'tu
紧闭褶皱,jin'bi'zhe'zhou
金伯利岩,jin'bo'li'yan
金刚光泽,jin'gang'guang'ze
金刚石,jin'gang'shi
金红石,jin'hong'shi
晋宁阶段,jin'ning'jie'duan
晋宁期,jin'ning'qi
堇青石,jin'qing'shi
金沙江石,jin'sha'jiang'shi
金属光泽,jin'shu'guang'ze
金属矿床,jin'shu'kuang'chuang
金属矿物,jin'shu'kuang'wu
金属镍铁,jin'shu'nie'tie
金云母,jin'yun'mu
晶胞,jing'bao
晶胞参数,jing'bao'can'shu
晶畴,jing'chou
晶簇构造,jing'cu'gou'zao
晶带,jing'dai
晶带符号,jing'dai'fu'hao
晶带指数,jing'dai'zhi'shu
晶带轴,jing'dai'zhou
晶洞构造,jing'dong'gou'zao
景儿峪组,jing'er'yu'zu
晶格,jing'ge
静海石,jing'hai'shi
经济矿床,jing'ji'kuang'chuang
静力触探,jing'li'chu'tan
镜煤,jing'mei
晶面,jing'mian
晶面指数,jing'mian'zhi'shu
晶体,jing'ti
晶体测角,jing'ti'ce'jiao
晶体对称,jing'ti'dui'chen
晶体光学,jing'ti'guang'xue
晶体结构,jing'ti'jie'gou
晶体取向,jing'ti'qu'xiang
晶体缺陷,jing'ti'que'xian
晶体习性,jing'ti'xi'xing
晶体学,jing'ti'xue
晶体印痕,jing'ti'yin'hen
晶屑,jing'xie
井涌水量,jing'yong'shui'liang
靖远组,jing'yuan'zu
晶质,jing'zhi
静止水位,jing'zhi'shui'wei
晶质铀矿,jing'zhi'you'kuang
镜质组,jing'zhi'zu
九佛堂组,jiu'fo'tang'zu
九龙山组,jiu'long'shan'zu
旧司组,jiu'si'zu
局部背景,ju'bu'bei'jing
局部平衡,ju'bu'ping'heng
聚合模型,ju'he'mo'xing
聚合物,ju'he'wu
聚合作用,ju'he'zuo'yong
巨砾,ju'li
居里点,ju'li'dian
聚煤盆地,ju'mei'pen'di
聚煤期,ju'mei'qi
聚煤区,ju'mei'qu
聚煤作用,ju'mei'zuo'yong
聚凝,ju'ning
聚片双晶,ju'pian'shuang'jing
巨旋回,ju'xuan'hui
绢英带,juan'ying'dai
绢云母,juan'yun'mu
绢云母化,juan'yun'mu'hua
绝对丰度,jue'dui'feng'du
绝热压缩,jue're'ya'suo
均变论,jun'bian'lun
均衡说,jun'heng'shuo
均键结构,jun'jian'jie'gou
菌类体,jun'lei'ti
均夷,jun'yi
均匀流,jun'yun'liu
均匀应变,jun'yun'ying'bian
均质,jun'zhi
卡洛维阶,ka'luo'wei'jie
卡洛维期,ka'luo'wei'qi
卡尼阶,ka'ni'jie
卡尼期,ka'ni'qi
卡片,ka'pian
喀斯特,ka'si'te
喀斯特泉,ka'si'te'quan
喀斯特水,ka'si'te'shui
喀斯特相,ka'si'te'xiang
喀斯特柱,ka'si'te'zhu
卡赞阶,ka'zan'jie
卡赞期,ka'zan'qi
开发井,kai'fa'jing
开阔台地,kai'kuo'tai'di
开阔褶皱,kai'kuo'zhe'zhou
凯诺拉期,kai'nuo'la'qi
坎儿井,kan'er'jing
坎潘阶,kan'pan'jie
坎潘期,kan'pan'qi
康定岩群,kang'ding'yan'qun
克拉通,ke'la'tong
克拉通化,ke'la'tong'hua
颗粒灰岩,ke'li'hui'yan
颗粒形状,ke'li'xing'zhuang
颗粒组构,ke'li'zu'gou
科马提岩,ke'ma'ti'yan
克山病,ke'shan'bing
柯石英,ke'shi'ying
壳相,ke'xiang
可疑地体,ke'yi'de'ti
壳源,ke'yuan
孔店组,kong'dian'zu
孔洞,kong'dong
空谷阶,kong'gu'jie
空谷期,kong'gu'qi
空间化学,kong'jian'hua'xue
空间群,kong'jian'qun
空晶石,kong'jing'shi
孔雀石,kong'que'shi
孔隙,kong'xi
孔隙比,kong'xi'bi
孔隙度,kong'xi'du
孔隙胶结,kong'xi'jiao'jie
孔隙溶液,kong'xi'rong'ye
孔隙水,kong'xi'shui
孔隙体积,kong'xi'ti'ji
孔隙压力,kong'xi'ya'li
孔兹岩,kong'zi'yan
寇家村组,kou'jia'cun'zu
块断作用,kuai'duan'zuo'yong
块体运动,kuai'ti'yun'dong
块状构造,kuai'zhuang'gou'zao
矿产开发,kuang'chan'kai'fa
矿产勘查,kuang'chan'kan'cha
矿产普查,kuang'chan'pu'cha
矿床,kuang'chuang
矿床模式,kuang'chuang'mo'shi
矿床品位,kuang'chuang'pin'wei
矿点,kuang'dian
矿顶相,kuang'ding'xiang
矿根相,kuang'gen'xiang
矿化度,kuang'hua'du
矿化剂,kuang'hua'ji
矿化流体,kuang'hua'liu'ti
矿化水,kuang'hua'shui
矿化作用,kuang'hua'zuo'yong
矿浆,kuang'jiang
矿井疏干,kuang'jing'shu'gan
矿坑排水,kuang'keng'pai'shui
矿坑水,kuang'keng'shui
矿棉,kuang'mian
矿区,kuang'qu
矿泉,kuang'quan
矿石,kuang'shi
矿水,kuang'shui
矿田,kuang'tian
矿物,kuang'wu
矿物合成,kuang'wu'he'cheng
矿物化学,kuang'wu'hua'xue
矿物物性,kuang'wu'wu'xing
矿物相变,kuang'wu'xiang'bian
矿物相律,kuang'wu'xiang'lv
矿物学,kuang'wu'xue
矿物种,kuang'wu'zhong
矿物组合,kuang'wu'zu'he
矿相学,kuang'xiang'xue
矿源层,kuang'yuan'ceng
矿源岩,kuang'yuan'yan
昆阳群,kun'yang'qun
扩散分馏,kuo'san'fen'liu
扩散晕,kuo'san'yun
扩散作用,kuo'san'zuo'yong
扩张极,kuo'zhang'ji
扩张脊,kuo'zhang'ji
扩张速率,kuo'zhang'su'lv
拉斑,la'ban
拉斑系列,la'ban'xi'lie
拉长石,la'chang'shi
拉丁阶,la'ding'jie
拉丁期,la'ding'qi
拉分,la'fen
拉伸线理,la'shen'xian'li
莱茨,lai'ci
莱河矿,lai'he'kuang
蓝宝石,lan'bao'shi
兰代洛阶,lan'dai'luo'jie
兰代洛期,lan'dai'luo'qi
蓝方石,lan'fang'shi
兰海阶,lan'hai'jie
兰海期,lan'hai'qi
蓝晶石,lan'jing'shi
蓝旗组,lan'qi'zu
蓝闪石,lan'shan'shi
蓝田组,lan'tian'zu
蓝铁矿,lan'tie'kuang
蓝铜矿,lan'tong'kuang
兰维恩阶,lan'wei'en'jie
兰维恩期,lan'wei'en'qi
蓝线石,lan'xian'shi
劳埃群,lao'ai'qun
劳厄群,lao'e'qun
老红砂岩,lao'hong'sha'yan
老虎台组,lao'hu'tai'zu
勒拿阶,le'na'jie
勒拿期,le'na'qi
乐平煤,le'ping'mei
乐平组,le'ping'zu
累乘晕,lei'cheng'yun
雷公墨,lei'gong'mo
累积系数,lei'ji'xi'shu
累积因子,lei'ji'yin'zi
累积作用,lei'ji'zuo'yong
累加晕,lei'jia'yun
镭平衡,lei'ping'heng
类质同象,lei'zhi'tong'xiang
冷水沟组,leng'shui'gou'zu
冷提取,leng'ti'qu
锂电气石,li'dian'qi'shi
立方体,li'fang'ti
里菲群,li'fei'qun
粒硅镁石,li'gui'mei'shi
锂辉石,li'hui'shi
粒泥灰岩,li'ni'hui'yan
锂铍石,li'pi'shi
沥青,li'qing
沥青砂,li'qing'sha
沥青铀矿,li'qing'you'kuang
沥青质体,li'qing'zhi'ti
离散边界,li'san'bian'jie
砾屑灰岩,li'xie'hui'yan
砾屑岩,li'xie'yan
犁形断层,li'xing'duan'ceng
粒序层理,li'xu'ceng'li
砾岩,li'yan
锂云母,li'yun'mu
砾质土,li'zhi'tu
栗子沟组,li'zi'gou'zu
离子交换,li'zi'jiao'huan
离子探针,li'zi'tan'zhen
联合弧,lian'he'hu
莲花山阶,lian'hua'shan'jie
莲花山期,lian'hua'shan'qi
莲花山组,lian'hua'shan'zu
连滩组,lian'tan'zu
莲沱组,lian'tuo'zu
连续反应,lian'xu'fan'ying
亮甲山组,liang'jia'shan'zu
亮晶,liang'jing
亮晶灰岩,liang'jing'hui'yan
亮煤,liang'mei
辽河群,liao'he'qun
鬣刺结构,lie'ci'jie'gou
捩断层,lie'duan'ceng
裂谷,lie'gu
裂谷作用,lie'gu'zuo'yong
裂理,lie'li
裂隙脉,lie'xi'mai
裂隙泉,lie'xi'quan
裂隙水,lie'xi'shui
磷光,lin'guang
磷灰石,lin'hui'shi
淋积矿床,lin'ji'kuang'chuang
临界浓度,lin'jie'nong'du
磷块岩,lin'kuai'yan
鳞绿泥石,lin'lv'ni'shi
鳞石英,lin'shi'ying
磷酸盐,lin'suan'yan
磷酸盐岩,lin'suan'yan'yan
磷霞岩,lin'xia'yan
临湘组,lin'xiang'zu
磷型矿化,lin'xing'kuang'hua
磷钇矿,lin'yi'kuang
菱沸石,ling'fei'shi
菱镁矿,ling'mei'kuang
菱锰矿,ling'meng'kuang
菱面体,ling'mian'ti
菱铁矿,ling'tie'kuang
菱锌矿,ling'xin'kuang
陵夷,ling'yi
六八面体,liu'ba'mian'ti
流沉,liu'chen
流动构造,liu'dong'gou'zao
六方晶系,liu'fang'jing'xi
硫化物,liu'hua'wu
硫磺泉,liu'huang'quan
榴辉岩,liu'hui'yan
榴辉岩相,liu'hui'yan'xiang
刘家沟组,liu'jia'gou'zu
流面构造,liu'mian'gou'zao
六面体,liu'mian'ti
流劈理,liu'pi'li
硫砷钌矿,liu'shen'liao'kuang
硫酸盐,liu'suan'yan
流体,liu'ti
流体超压,liu'ti'chao'ya
流体对流,liu'ti'dui'liu
流网,liu'wang
流纹结构,liu'wen'jie'gou
流纹岩,liu'wen'yan
流限,liu'xian
流线构造,liu'xian'gou'zao
硫循环,liu'xun'huan
瘤状构造,liu'zhuang'gou'zao
龙华山组,long'hua'shan'zu
龙马溪阶,long'ma'xi'jie
龙马溪期,long'ma'xi'qi
龙马溪组,long'ma'xi'zu
隆起,long'qi
龙潭组,long'tan'zu
龙王庙阶,long'wang'miao'jie
龙王庙期,long'wang'miao'qi
龙王庙组,long'wang'miao'zu
陆表海,lu'biao'hai
陆潮,lu'chao
陆地环境,lu'di'huan'jing
禄丰组,lu'feng'zu
卤化物,lu'hua'wu
陆解,lu'jie
陆壳,lu'ke
陆内碰撞,lu'nei'peng'zhuang
卤水,lu'shui
路特阶,lu'te'jie
路特期,lu'te'qi
陆相,lu'xiang
滦河矿,luan'he'kuang
伦坡拉群,lun'po'la'qun
落错,luo'cuo
罗德洛世,luo'de'luo'shi
罗德洛统,luo'de'luo'tong
罗富组,luo'fu'zu
罗圈组,luo'quan'zu
罗惹坪组,luo're'ping'zu
螺型位错,luo'xing'wei'cuo
螺旋轴,luo'xuan'zhou
绿钙闪石,lv'gai'shan'shi
绿辉石,lv'hui'shi
绿帘石,lv'lian'shi
吕梁阶段,lv'liang'jie'duan
吕梁期,lv'liang'qi
吕梁群,lv'liang'qun
绿泥石,lv'ni'shi
绿泥石化,lv'ni'shi'hua
绿片岩,lv'pian'yan
绿片岩相,lv'pian'yan'xiang
吕珀尔阶,lv'po'er'jie
吕珀尔期,lv'po'er'qi
绿松石,lv'song'shi
绿脱石,lv'tuo'shi
绿纤石,lv'xian'shi
绿纤石相,lv'xian'shi'xiang
绿岩,lv'yan
绿岩带,lv'yan'dai
铝质岩,lv'zhi'yan
绿柱石,lv'zhu'shi
绿柱石化,lv'zhu'shi'hua
马兰组,ma'lan'zu
麻粒岩,ma'li'yan
麻粒岩相,ma'li'yan'xiang
马平阶,ma'ping'jie
马平期,ma'ping'qi
马平组,ma'ping'zu
埋藏阶地,mai'cang'jie'di
脉动,mai'dong
脉动分带,mai'dong'fen'dai
脉动说,mai'dong'shuo
脉石,mai'shi
脉状构造,mai'zhuang'gou'zao
幔源,man'yuan
盲矿,mang'kuang
芒硝,mang'xiao
芒硝矿床,mang'xiao'kuang'chuang
冒地槽,mao'di'cao
冒地斜,mao'di'xie
茅口阶,mao'kou'jie
茅口期,mao'kou'qi
茅口组,mao'kou'zu
毛细管,mao'xi'guan
毛细管水,mao'xi'guan'shui
锚桩,mao'zhuang
毛庄组,mao'zhuang'zu
煤层,mei'ceng
煤层对比,mei'ceng'dui'bi
煤层分叉,mei'ceng'fen'cha
煤成气,mei'cheng'qi
煤地质学,mei'di'zhi'xue
镁电气石,mei'dian'qi'shi
煤垩,mei'e
镁橄榄石,mei'gan'lan'shi
煤核,mei'hu
煤华,mei'hua
煤化作用,mei'hua'zuo'yong
煤级,mei'ji
煤精,mei'jing
煤矿地质,mei'kuang'di'zhi
镁铝榴石,mei'lv'liu'shi
镁钠闪石,mei'na'shan'shi
梅内夫阶,mei'nei'fu'jie
梅内夫期,mei'nei'fu'qi
煤盆地,mei'pen'di
梅树村阶,mei'shu'cun'jie
梅树村期,mei'shu'cun'qi
梅树村组,mei'shu'cun'zu
煤炭,mei'tan
湄潭组,mei'tan'zu
煤田,mei'tian
镁铁闪石,mei'tie'shan'shi
镁铁质岩,mei'tie'zhi'yan
煤系,mei'xi
煤相,mei'xiang
镁星叶石,mei'xing'ye'shi
煤岩学,mei'yan'xue
门卡墩组,men'ka'dun'zu
锰结核,meng'jie'he
锰铝榴石,meng'lv'liu'shi
锰团块,meng'tuan'kuai
蒙脱石,meng'tuo'shi
蒙脱石化,meng'tuo'shi'hua
锰质岩,meng'zhi'yan
蜜黄长石,mi'huang'chang'shi
米勒,mi'le
米勒指数,mi'le'zhi'shu
糜棱结构,mi'leng'jie'gou
糜棱岩,mi'leng'yan
糜棱岩化,mi'leng'yan'hua
弥散系数,mi'san'xi'shu
弥散晕,mi'san'yun
面金属量,mian'jin'shu'liang
面心格子,mian'xin'ge'zi
面状构造,mian'zhuang'gou'zao
妙高阶,miao'gao'jie
妙高期,miao'gao'qi
妙高组,miao'gao'zu
庙坡组,miao'po'zu
敏感粘土,min'gan'nian'tu
敏感系数,min'gan'xi'shu
明矾石,ming'fan'shi
明化镇组,ming'hua'zhen'zu
明水组,ming'shui'zu
莫尔图,mo'er'tu
磨拉石,mo'la'shi
莫来石,mo'lai'shi
模拟实验,mo'ni'shi'yan
磨蚀,mo'shi
模式年龄,mo'shi'nian'ling
莫氏硬度,mo'shi'ying'du
莫斯科阶,mo'si'ke'jie
莫斯科期,mo'si'ke'qi
墨西拿阶,mo'xi'na'jie
墨西拿期,mo'xi'na'qi
钼铅矿,mu'qian'kuang
木栓质体,mu'shuan'zhi'ti
钼酸盐,mu'suan'yan
纳标组,na'biao'zu
钠长石,na'chang'shi
那高岭阶,na'gao'ling'jie
那高岭期,na'gao'ling'qi
那高岭组,na'gao'ling'zu
纳缪尔阶,na'miu'er'jie
纳缪尔期,na'miu'er'qi
钠闪石,na'shan'shi
钠铁闪石,na'tie'shan'shi
钠硝石,na'xiao'shi
钠云母,na'yun'mu
钠柱石,na'zhu'shi
耐火材料,nai'huo'cai'liao
南津关组,nan'jin'guan'zu
南平石,nan'ping'shi
南沱组,nan'tuo'zu
南雄组,nan'xiong'zu
挠曲,nao'qu
内滨,nei'bin
内动力,nei'dong'li
内反射,nei'fan'she
内核,nei'he
内聚力,nei'ju'li
内陆盆地,nei'lu'pen'di
内生异常,nei'sheng'yi'chang
内生作用,nei'sheng'zuo'yong
内碎屑,nei'sui'xie
内营力,nei'ying'li
嫩江组,nen'jiang'zu
能动断层,neng'dong'duan'ceng
逆冲断层,ni'chong'duan'ceng
逆断层,ni'duan'ceng
泥河湾组,ni'he'wan'zu
泥化,ni'hua
泥火山,ni'huo'shan
泥晶灰岩,ni'jing'hui'yan
泥砾,ni'li
泥粒灰岩,ni'li'hui'yan
泥裂,ni'lie
泥流,ni'liu
泥盆纪,ni'pen'ji
泥盆系,ni'pen'xi
逆牵引,ni'qian'yin
霓石,ni'shi
泥石流,ni'shi'liu
霓霞岩,ni'xia'yan
逆向分带,ni'xiang'fen'dai
泥屑灰岩,ni'xie'hui'yan
泥屑岩,ni'xie'yan
泥岩,ni'yan
泥质岩,ni'zhi'yan
粘结灰岩,nian'jie'hui'yan
年龄测定,nian'ling'ce'ding
年龄谱,nian'ling'pu
粘土,nian'tu
粘土矿床,nian'tu'kuang'chuang
粘土矿物,nian'tu'kuang'wu
粘土粒级,nian'tu'li'ji
粘土岩,nian'tu'yan
粘质砂土,nian'zhi'sha'tu
粘着力,nian'zhuo'li
鸟眼构造,niao'yan'gou'zao
镍黄铁矿,nie'huang'tie'kuang
聂拉木群,nie'la'mu'qun
镍纹石,nie'wen'shi
宁国阶,ning'guo'jie
宁国期,ning'guo'qi
宁国组,ning'guo'zu
