暗合页,an'he'ye
双绞线,shuang'jiao'xian
双跑楼梯,shuang'pao'lou'ti
双人床,shuang'ren'chuang
双人沙发,shuang'ren'sha'fa
双人浴缸,shuang'ren'yu'gang
双掷开关,shuang'zhi'kai'guan
水泵房,shui'beng'fang
水表井,shui'biao'jing
水池,shui'chi
水处理间,shui'chu'li'jian
水封井,shui'feng'jing
水疗室,shui'liao'shi
水磨石,shui'mo'shi
水泥砂浆,shui'ni'sha'jiang
水泥砂浆或彩色砂浆灌缝打蜡出光,shui'ni'sha'jiang'huo'cai'se'sha'jiang'guan'feng'da'la'chu'guang
水泥瓦,shui'ni'wa
水泥压缩板,shui'ni'ya'suo'ban
水泥砖,shui'ni'zhuan
水盆,shui'pen
水刷石,shui'shua'shi
水塔,shui'ta
水箱间,shui'xiang'jian
水箱间平面,shui'xiang'jian'ping'mian
四层平面,si'ceng'ping'mian
四季厅,si'ji'ting
四类线,si'lei'xian
送风口,song'feng'kou
塑钢窗,su'gang'chuang
塑钢门,su'gang'men
塑料,su'liao
素水泥,su'shui'ni
素水泥浆一道内掺建筑胶,su'shui'ni'jiang'yi'dao'nei'chan'jian'zhu'jiao
素水泥结合层一道,su'shui'ni'jie'he'ceng'yi'dao
素土夯实,su'tu'hang'shi
素土夯实压实系数,su'tu'hang'shi'ya'shi'xi'shu
台阶,tai'jie
台面板,tai'mian'ban
台式洗脸盆,tai'shi'xi'lian'pen
弹簧门,tan'huang'men
套内面积,tao'nei'mian'ji
踢脚,ti'jiao
天窗,tian'chuang
天沟,tian'gou
天花板,tian'hua'ban
天井,tian'jing
天然,tian'ran
天线插座,tian'xian'cha'zuo
调理台,tiao'li'tai
贴瓷砖,tie'ci'zhuan
铁壳开关,tie'ke'kai'guan
铁栏杆,tie'lan'gan
铁艺栏杆,tie'yi'lan'gan
停车场,ting'che'chang
筒灯,tong'deng
通风道,tong'feng'dao
通风孔,tong'feng'kong
通廊,tong'lang
通体砖,tong'ti'zhuan
铜芯塑料电缆,tong'xin'su'liao'dian'lan
铜芯塑料线,tong'xin'su'liao'xian
同轴电缆,tong'zhou'dian'lan
同轴线,tong'zhou'xian
图表,tu'biao
图例,tu'li
图纸目录,tu'zhi'mu'lu
推拉窗,tui'la'chuang
推拉门,tui'la'men
瓦楞铁,wa'leng'tie
瓦楞铁屋面,wa'leng'tie'wu'mian
外墙,wai'qiang
外墙面砖,wai'qiang'mian'zhuan
外墙砖,wai'qiang'zhuan
万用插座,wan'yong'cha'zuo
网吧,wang'ba
网络插座,wang'luo'cha'zuo
网球场,wang'qiu'chang
微波炉,wei'bo'lu
微孔板,wei'kong'ban
卫生柜,wei'sheng'gui
卫生间,wei'sheng'jian
卫生间大样,wei'sheng'jian'da'yang
卫生间大样图,wei'sheng'jian'da'yang'tu
维修间,wei'xiu'jian
卫浴间,wei'yu'jian
卫浴间大样,wei'yu'jian'da'yang
位置示意,wei'zhi'shi'yi
温度,wen'du
文件柜,wen'jian'gui
卧室,wo'shi
卧式,wo'shi
五层平面,wu'ceng'ping'mian
屋顶,wu'ding
屋顶层平面,wu'ding'ceng'ping'mian
五斗柜,wu'dou'gui
无光漆,wu'guang'qi
五合一,wu'he'yi
屋架,wu'jia
五类线,wu'lei'xian
五厘板,wu'li'ban
物流运输,wu'liu'yun'shu
屋面板,wu'mian'ban
屋面平面,wu'mian'ping'mian
污水池,wu'shui'chi
污水处理场,wu'shui'chu'li'chang
舞台,wu'tai
物业管理,wu'ye'guan'li
西餐厅,xi'can'ting
洗涤盆,xi'di'pen
吸顶灯,xi'ding'deng
西立面,xi'li'mian
洗脸间,xi'lian'jian
洗脸盆,xi'lian'pen
细木工板,xi'mu'gong'ban
西配楼,xi'pei'lou
细石混凝土面层从门口处向地漏找泛水最薄处不小于厚上撒水泥砂子压实赶光,xi'shi'hun'ning'tu'mian'ceng'cong'men'kou'chu'xiang'di'lou'zhao'fan'shui'zui'bo'chu'bu'xiao'yu'hou'shang'sa'shui'ni'sha'zi'ya'shi'gan'guang
系统图,xi'tong'tu
洗碗机,xi'wan'ji
席纹拼花地板背面刷氟化钠防腐剂,xi'wen'pin'hua'di'ban'bei'mian'shua'fu'hua'na'fang'fu'ji
洗衣机,xi'yi'ji
洗衣间,xi'yi'jian
吸音,xi'yin
线灯,xian'deng
纤维板,xian'wei'ban
小便槽,xiao'bian'cao
消毒池,xiao'du'chi
消毒柜,xiao'du'gui
消防控制,xiao'fang'kong'zhi
消防楼梯,xiao'fang'lou'ti
消防平面图,xiao'fang'ping'mian'tu
消防梯,xiao'fang'ti
消防系统图,xiao'fang'xi'tong'tu
消火栓,xiao'huo'shuan
硝基清漆,xiao'ji'qing'qi
小区,xiao'qu
校区,xiao'qu
泄水井,xie'shui'jing
写字间,xie'zi'jian
写字楼,xie'zi'lou
写字台,xie'zi'tai
新风管,xin'feng'guan
新风机,xin'feng'ji
新建,xin'jian
信息插座,xin'xi'cha'zuo
型钢,xing'gang
星盆,xing'pen
休息平台,xiu'xi'ping'tai
休息室,xiu'xi'shi
休息厅,xiu'xi'ting
蓄水池,xu'shui'chi
蓄水箱,xu'shui'xiang
玄关,xuan'guan
血库,xue'ku
亚光漆,ya'guang'qi
压花玻璃,ya'hua'bo'li
压沿木满涂防腐剂用双股号镀锌低碳钢丝绑牢于地垄墙上,ya'yan'mu'man'tu'fang'fu'ji'yong'shuang'gu'hao'du'xin'di'tan'gang'si'bang'lao'yu'di'long'qiang'shang
烟感,yan'gan
檐沟,yan'gou
研究室,yan'jiu'shi
研究所,yan'jiu'suo
檐口,yan'kou
阳台,yang'tai
阳台顶蓬大样,yang'tai'ding'peng'da'yang
阳台立面,yang'tai'li'mian
业务部,ye'wu'bu
业务接待,ye'wu'jie'dai
一次成型板,yi'ci'cheng'xing'ban
衣柜,yi'gui
衣帽间,yi'mao'jian
银粉漆,yin'fen'qi
音响设备,yin'xiang'she'bei
荧光灯,ying'guang'deng
应急标志灯,ying'ji'biao'zhi'deng
应急灯,ying'ji'deng
硬木,ying'mu
营业厅,ying'ye'ting
有机玻璃,you'ji'bo'li
油库,you'ku
釉面砖,you'mian'zhuan
油漆,you'qi
油烟机,you'yan'ji
游泳场,you'yong'chang
游泳池,you'yong'chi
油毡,you'zhan
浴场,yu'chang
浴池,yu'chi
浴缸,yu'gang
娱乐,yu'le
预留孔,yu'liu'kong
羽毛球场,yu'mao'qiu'chang
浴盆,yu'pen
雨蓬,yu'peng
雨蓬大样,yu'peng'da'yang
浴室,yu'shi
雨水管,yu'shui'guan
雨水口,yu'shui'kou
预应力,yu'ying'li
雨罩,yu'zhao
预制,yu'zhi
圆钢,yuan'gang
圆弧玻璃,yuan'hu'bo'li
圆弧楼梯,yuan'hu'lou'ti
圆形化粪池,yuan'xing'hua'fen'chi
跃层,yue'ceng
乐池,yue'chi
阅览室,yue'lan'shi
运动场,yun'dong'chang
杂物柜,za'wu'gui
灶台,zao'tai
闸刀开关,zha'dao'kai'guan
斩假石,zhan'jia'shi
展开,zhan'kai
展开立面,zhan'kai'li'mian
展开立面图,zhan'kai'li'mian'tu
站台,zhan'tai
展厅,zhan'ting
照度,zhao'du
照明,zhao'ming
照明配电箱,zhao'ming'pei'dian'xiang
照明平面,zhao'ming'ping'mian
找平层,zhao'ping'ceng
找坡,zhao'po
折叠门,zhe'die'men
遮阳板,zhe'yang'ban
正立面,zheng'li'mian
蒸汽浴房,zheng'qi'yu'fang
蒸汽浴室,zheng'qi'yu'shi
值班室,zhi'ban'shi
指标,zhi'biao
质量,zhi'liang
治疗室,zhi'liao'shi
纸面石膏板,zhi'mian'shi'gao'ban
直跑楼梯,zhi'pao'lou'ti
止水带,zhi'shui'dai
职员办公室,zhi'yuan'ban'gong'shi
中餐厅,zhong'can'ting
中和池,zhong'he'chi
中距,zhong'ju
中距龙骨垫块横撑满刷防腐剂,zhong'ju'long'gu'dian'kuai'heng'cheng'man'shua'fang'fu'ji
中密度板,zhong'mi'du'ban
中庭,zhong'ting
中央空调,zhong'yang'kong'tiao
中轴线,zhong'zhou'xian
轴侧图,zhou'ce'tu
轴网,zhou'wang
贮藏室,zhu'cang'shi
柱距,zhu'ju
主楼,zhu'lou
主任办公室,zhu'ren'ban'gong'shi
主入口,zhu'ru'kou
贮水池,zhu'shui'chi
铸铁管,zhu'tie'guan
柱网,zhu'wang
主卧室,zhu'wo'shi
主席台,zhu'xi'tai
住宅,zhu'zhai
转换层,zhuan'huan'ceng
转角楼梯,zhuan'jiao'lou'ti
转角沙发,zhuan'jiao'sha'fa
专用空调,zhuan'yong'kong'tiao
装饰板,zhuang'shi'ban
装饰柜,zhuang'shi'gui
自动扶梯,zi'dong'fu'ti
资料档案,zi'liao'dang'an
子女卧室,zi'nv'wo'shi
自然排风,zi'ran'pai'feng
自然通风,zi'ran'tong'feng
自行车库,zi'xing'che'ku
总裁办公室,zong'cai'ban'gong'shi
纵缝,zong'feng
综合布线,zong'he'bu'xian
总经理办公室,zong'jing'li'ban'gong'shi
总平面,zong'ping'mian
走道,zou'dao
走廊,zou'lang
足球场,zu'qiu'chang
组线箱,zu'xian'xiang
最大冻土深度,zui'da'dong'tu'shen'du
坐便器,zuo'bian'qi
坐标系,zuo'biao'xi
做法详见,zuo'fa'xiang'jian
坐式大便器,zuo'shi'da'bian'qi
作图法,zuo'tu'fa
坐席排列平面,zuo'xi'pai'lie'ping'mian
