班格尔马辛席,ban'ge'er'ma'xin'xi
江湖佬,jiang'hu'lao
讲话,jiang'hua
将近,jiang'jin
讲开又讲,jiang'kai'you'jiang
讲漏嘴,jiang'lou'zui
讲乜,jiang'mie
讲咩,jiang'mie
讲乜啊,jiang'mie'a
讲咩啊,jiang'mie'a
讲起又讲,jiang'qi'you'jiang
讲人事,jiang'ren'shi
讲三讲四,jiang'san'jiang'si
讲实,jiang'shi
讲数口,jiang'shu'kou
讲笑,jiang'xiao
江珧柱,jiang'yao'zhu
讲嘢啊,jiang'ye'a
讲耶稣,jiang'ye'su
讲饮讲食,jiang'yin'jiang'shi
姜酌,jiang'zhuo
脚坳,jiao'ao
脚板,jiao'ban
脚板底,jiao'ban'di
脚板脚板底,jiao'ban'jiao'ban'di
胶擦,jiao'ca
搅肠痧,jiao'chang'sha
娇嗲,jiao'dia
脚肚,jiao'du
脚肚瓤,jiao'du'rang
教飞,jiao'fei
脚骨,jiao'gu
脚骨力,jiao'gu'li
脚瓜,jiao'gua
脚瓜瓤,jiao'gua'rang
交关,jiao'guan
胶喉,jiao'hou
交吉,jiao'ji
叫鸡,jiao'ji
交际舞,jiao'ji'wu
脚甲,jiao'jia
铰剪,jiao'jian
较脚,jiao'jiao
娇娇滴滴,jiao'jiao'di'di
觉觉猪,jiao'jiao'zhu
教路,jiao'lu
角落头,jiao'luo'tou
脚面,jiao'mian
姣婆,jiao'po
姣气,jiao'qi
叫起手,jiao'qi'shou
姣尸扽笃,jiao'shi'den'du
搅屎棍,jiao'shi'gun
搅是搅非,jiao'shi'jiao'fei
叫数,jiao'shu
胶丝,jiao'si
茭笋,jiao'sun
胶通,jiao'tong
交通灯点红点绿,jiao'tong'deng'dian'hong'dian'lv
胶拖,jiao'tuo
噍完松,jiao'wan'song
较为,jiao'wei
较爲,jiao'wei
滘校飞,jiao'xiao'fei
脚眼,jiao'yan
脚鱼,jiao'yu
脚踭,jiao'zheng
脚趾公,jiao'zhi'gong
脚趾屘,jiao'zhi'man
脚趾罅,jiao'zhi'xia
接驳,jie'bo
街灯,jie'deng
戒方,jie'fang
街坊大姐,jie'fang'da'jie
喼弗,jie'fu
结恭,jie'gong
节瓜,jie'gua
借借,jie'jie
街口,jie'kou
戒口,jie'kou
芥辣,jie'la
芥兰头,jie'lan'tou
喼帽,jie'mao
戒奶,jie'nai
喼枪,jie'qiang
街市,jie'shi
姐手姐脚,jie'shou'jie'jiao
借头借路,jie'tou'jie'lu
借歪,jie'wai
借歪啲,jie'wai'di
街巷,jie'xiang
接续,jie'xu
结厣,jie'yan
杰嘢,jie'ye
借一借,jie'yi'jie
皆因解,jie'yin'jie
街招,jie'zhao
喼汁,jie'zhi
喼纸,jie'zhi
阶砖,jie'zhuan
金埕,jin'cheng
尽地一煲,jin'di'yi'bao
金鈪,jin'e
金瓜,jin'gua
金龟,jin'gui
矜贵,jin'gui
金脚带,jin'jiao'dai
进进出出,jin'jin'chu'chu
金睛火眼,jin'jing'huo'yan
近嚟,jin'li
妗母,jin'mu
妗婆,jin'po
尽人事,jin'ren'shi
今日,jin'ri
金山,jin'shan
金山橙,jin'shan'cheng
金山丁,jin'shan'ding
金山客,jin'shan'ke
禁谂,jin'shen
今时唔同往日,jin'shi'wu'tong'wang'ri
浸死鸭乸,jin'si'ya'na
紧要,jin'yao
金银膶,jin'yin'run
金鱼黄,jin'yu'huang
襟章,jin'zhang
今朝,jin'zhao
金针,jin'zhen
近住,jin'zhu
精出骨,jing'chu'gu
精打细算,jing'da'xi'suan
劲歌,jing'ge
精乖,jing'guai
精乖伶俐,jing'guai'ling'li
景轰,jing'hong
颈喉,jing'hou
颈喉纽,jing'hou'niu
静鷄鷄,jing'ji'ji
静鸡鸡,jing'ji'ji
镜架,jing'jia
颈巾,jing'jin
静局,jing'ju
颈渴,jing'ke
精叻,jing'le
颈疬,jing'li
颈癧,jing'li
颈链,jing'lian
精灵,jing'ling
精埋一便,jing'mai'yi'bian
净面,jing'mian
惊青惊住,jing'qing'jing'zhu
精神爽利整,jing'shen'shuang'li'zheng
精甩辫,jing'shuai'bian
惊死,jing'si
净喺,jing'xi
净系,jing'xi
擏惜,jing'xi
经已,jing'yi
静英英,jing'ying'ying
擏住擏住,jing'zhu'jing'zhu
精仔,jing'zi
酒凹,jiu'ao
酒饼,jiu'bing
久不久,jiu'bu'jiu
酒埕,jiu'cheng
九成九,jiu'cheng'jiu
九大鬼,jiu'da'gui
九大簋,jiu'da'gui
旧底,jiu'di
酒店,jiu'dian
鸠呃,jiu'e
鸠呃呃,jiu'e'e
鸠呃犯,jiu'e'fan
鸠呃佬,jiu'e'lao
舅父,jiu'fu
舅公,jiu'gong
酒家,jiu'jia
酒精灯,jiu'jing'deng
鸠鸠屎,jiu'jiu'shi
鸠鸠死,jiu'jiu'si
旧口,jiu'kou
就来,jiu'lai
鸠佬,jiu'lao
就嚟,jiu'li
旧历年,jiu'li'nian
酒米,jiu'mi
旧年,jiu'nian
九曲桥散步行弯路,jiu'qu'qiao'san'bu'xing'wan'lu
旧日,jiu'ri
旧生,jiu'sheng
鸠屎,jiu'shi
旧时,jiu'shi
就手,jiu'shou
鸠死,jiu'si
久唔久,jiu'wu'jiu
就系,jiu'xi
就系囉,jiu'xi'luo
九因歌,jiu'yin'ge
旧阵时,jiu'zhen'shi
就至,jiu'zhi
舅仔,jiu'zi
焗饭,ju'fan
巨揈,ju'hong
举荐,ju'jian
焗脚,ju'jiao
焗焗缩缩,ju'ju'suo'suo
焗炉,ju'lu
焗闷,ju'men
掬气,ju'qi
焗亲,ju'qin
焗热,ju're
局缩,ju'suo
局缩气,ju'suo'qi
举一反三,ju'yi'fan'san
拘执,ju'zhi
焗盅,ju'zhong
绝情,jue'qing
觉眼,jue'yan
均码,jun'ma
君是,jun'shi
君之,jun'zhi
咖啡,ka'fei
卡拉,ka'la
卡片,ka'pian
卡士,ka'shi
卡通片,ka'tong'pian
卡位,ka'wei
卡罅,ka'xia
开吖,kai'a
开便,kai'bian
开波,kai'bo
开档,kai'dang
开裆裤,kai'dang'ku
开刀,kai'dao
开底,kai'di
开估,kai'gu
开讲有话,kai'jiang'you'hua
开口埋口,kai'kou'mai'kou
开口枣开嚟,kai'kou'zao'kai'li
开啦,kai'la
开明车马,kai'ming'che'ma
开年,kai'nian
开盘,kai'pan
开片,kai'pian
开铺,kai'pu
开气,kai'qi
开膳,kai'shan
开身,kai'shen
开声,kai'sheng
开首,kai'shou
开摊,kai'tan
开头,kai'tou
开胃,kai'wei
开硬弓,kai'ying'gong
揩油,kai'you
揩油索油,kai'you'suo'you
开咗,kai'zuo
冚棒唥,kan'bang'lang
冚被,kan'bei
看不下去,kan'bu'xia'qu
冚档,kan'dang
冚啲,kan'di
冚斗,kan'dou
冚赌,kan'du
看更,kan'geng
冚家,kan'jia
冚家铲,kan'jia'chan
冚家富贵,kan'jia'fu'gui
坎头埋墙,kan'tou'mai'qiang
看医生,kan'yi'sheng
冚盅,kan'zhong
糠耳炕,kang'er'kang
康健,kang'jian
炕面包,kang'mian'bao
炕沙,kang'sha
拷贝,kao'bei
靠害,kao'hai
考起,kao'qi
趷跛跛,ke'bo'bo
柯打,ke'da
客饭,ke'fan
柯非时,ke'fei'shi
柯傅,ke'fu
克戟,ke'ji
客家占地主,ke'jia'zhan'di'zhu
趷脚,ke'jiao
可口可乐,ke'kou'ke'le
趷路,ke'lu
柯路,ke'lu
可恼,ke'nao
可恼也,ke'nao'ye
渴市,ke'shi
科文,ke'wen
瞌眼瞓合桃,ke'yan'fen'he'tao
瞌一阵,ke'yi'zhen
客仔,ke'zi
啃亲,ken'qin
坑腩,keng'nan
坑渠,keng'qu
空姐,kong'jie
空寥寥,kong'liao'liao
空笼,kong'long
扣布,kou'bu
口齿,kou'chi
口唇,kou'chun
口唇膏,kou'chun'gao
口淡,kou'dan
口多多,kou'duo'duo
口嚡脷素,kou'hai'li'su
口痕,kou'hen
口痕友,kou'hen'you
口花花,kou'hua'hua
口立湿,kou'li'shi
抠乱,kou'luan
口码,kou'ma
口密,kou'mi
口面口角,kou'mian'kou'jiao
口疏,kou'shu
口爽,kou'shuang
口水澂,kou'shui'cheng
口水澄,kou'shui'cheng
口水多过茶,kou'shui'duo'guo'cha
口水花,kou'shui'hua
口水肩,kou'shui'jian
口水佬,kou'shui'lao
口水痰,kou'shui'tan
口响,kou'xiang
扣针,kou'zhen
口窒窒,kou'zhi'zhi
扣盅,kou'zhong
苦茶,ku'cha
苦刁刁,ku'diao'diao
苦瓜噉嘅面,ku'gua'dan'ge'mian
苦过弟弟,ku'guo'di'di
苦口苦面,ku'kou'ku'mian
苦麦,ku'mai
裤头,ku'tou
裤头带,ku'tou'dai
快把,kuai'ba
快掣,kuai'che
快脆,kuai'cui
快啲,kuai'di
快活,kuai'huo
快快脆脆,kuai'kuai'cui'cui
快佬,kuai'lao
快劳,kuai'lao
快趣,kuai'qu
快手,kuai'shou
款头,kuan'tou
亏柴,kui'chai
葵瓜子,kui'gua'zi
亏佬,kui'lao
阔佬,kuo'lao
阔佬懒理,kuo'lao'lan'li
阔咧啡,kuo'lie'fei
阔落,kuo'luo
拉吖,la'a
蜡板,la'ban
拉柴,la'chai
腊肠,la'chang
腊肠裤,la'chang'ku
拉扯,la'che
拉臣,la'chen
拉尺,la'chi
拉大缆,la'da'lan
攋低,la'di
垃圾虫,la'ji'chong
垃圾篸,la'ji'sen
拉啦,la'la
蜡蜡靓,la'la'liang
啦啦乱,la'la'luan
擸擸乱乱,la'la'luan'luan
擸擸埋埋,la'la'mai'mai
啦啦声,la'la'sheng
拉缆,la'lan
揦脷,la'li
瘌痢,la'li
蜡靓,la'liang
啦吗,la'ma
揦埋,la'mai
攋尿虾,la'niao'xia
拉牛上树,la'niu'shang'shu
蜡青,la'qing
擸晒网顶,la'shai'wang'ding
拉上补下,la'shang'bu'xia
啦声,la'sheng
拉士,la'shi
揦手,la'shou
楋手唔成势,la'shou'wu'cheng'shi
拉手仔拉苏,la'shou'zi'la'su
邋遢,la'ta
拉头缆,la'tou'lan
擸网顶,la'wang'ding
揦西,la'xi
拉线,la'xian
拉油,la'you
拉匀,la'yun
垃杂,la'za
揦鮓,la'zha
拉住,la'zhu
揦住,la'zhu
拉咗,la'zuo
癞疮,lai'chuang
来路,lai'lu
赖猫,lai'mao
赖猫君,lai'mao'jun
来由,lai'you
癞渣,lai'zha
烂湴,lan'ban
烂船都有三斤钉,lan'chuan'dou'you'san'jin'ding
烂打,lan'da
烂笪笪,lan'da'da
懒到出骨,lan'dao'chu'gu
烂地,lan'di
烂窦,lan'dou
烂赌,lan'du
烂饭,lan'fan
烂瞓,lan'fen
烂瞓猪烂鬼,lan'fen'zhu'lan'gui
烂喊,lan'han
烂喊猫,lan'han'mao
拦河,lan'he
烂贱,lan'jian
揽颈,lan'jing
烂口,lan'kou
烂佬,lan'lao
懒佬工夫,lan'lao'gong'fu
懒佬鞋,lan'lao'xie
懒佬椅,lan'lao'yi
懒理,lan'li
躝嚟躝去,lan'li'lan'qu
烂命,lan'ming
烂泥扶唔上壁,lan'ni'fu'wu'shang'bi
烂女,lan'nv
懒人多屎尿,lan'ren'duo'shi'niao
烂茸茸,lan'rong'rong
烂溶溶,lan'rong'rong
懒散,lan'san
懒蛇,lan'she
揽身揽势,lan'shen'lan'shi
烂身烂势,lan'shen'lan'shi
烂生,lan'sheng
躝尸,lan'shi
烂食,lan'shi
烂市,lan'shi
躝尸趷路,lan'shi'ke'lu
烂熟,lan'shu
烂头蟀,lan'tou'shuai
烂头粥,lan'tou'zhou
烂瘾,lan'yin
烂仔,lan'zi
狼毒,lang'du
狼过华秀只狗,lang'guo'hua'xiu'zhi'gou
啷箕,lang'ji
浪口,lang'kou
浪口洗面,lang'kou'xi'mian
狼戾,lang'li
狼忙,lang'mang
狼命,lang'ming
朗拿度,lang'na'du
朗斯,lang'si
狼胎,lang'tai
唥钟,lang'zhong
唥锺,lang'zhong
捞边行,lao'bian'hang
老表,lao'biao
老餠,lao'bing
老饼,lao'bing
唠嘈,lao'cao
老衬,lao'chen
老抽,lao'chou
老大,lao'da
老定,lao'ding
老豆,lao'dou
老窦,lao'dou
老奀茄,lao'en'jia
老番,lao'fan
劳烦,lao'fan
老公,lao'gong
老公泼扇凄凉,lao'gong'po'shan'qi'liang
老公仔,lao'gong'zi
老姑婆,lao'gu'po
老倌,lao'guan
捞过界,lao'guo'jie
老虎都,lao'hu'dou
老虎乸,lao'hu'na
老虎头上钉虱乸,lao'hu'tou'shang'ding'shi'na
老虎蟹,lao'hu'xie
老积,lao'ji
捞鷄,lao'ji
捞鸡,lao'ji
捞家,lao'jia
老阶,lao'jie
老襟,lao'jin
捞静水,lao'jing'shui
老举,lao'ju
老举寨,lao'ju'zhai
老糠老行尊,lao'kang'lao'xing'zun
老坑,lao'keng
老坑公,lao'keng'gong
老辣,lao'la
老马失蹄,lao'ma'shi'ti
老妈子,lao'ma'zi
老猫烧须,lao'mao'shao'xu
老懵懂,lao'meng'dong
捞面,lao'mian
老母,lao'mu
老泥,lao'ni
老啮啮,lao'nie'nie
捞女,lao'nv
老藕,lao'ou
老朋,lao'peng
老婆,lao'po
老婆担遮阴功,lao'po'dan'zhe'yin'gong
老婆乸,lao'po'na
老婆仔,lao'po'zi
劳气,lao'qi
捞起,lao'qi
老千,lao'qian
老禽骑,lao'qin'qi
老少平安,lao'shao'ping'an
老世,lao'shi
老实,lao'shi
捞世界,lao'shi'jie
老实威,lao'shi'wei
老鼠货,lao'shu'huo
老鼠拉龟冇订埋手,lao'shu'la'gui'mao'ding'mai'shou
老鼠仔,lao'shu'zi
老水,lao'shui
老水鸭,lao'shui'ya
捞松,lao'song
老同,lao'tong
捞头,lao'tou
老头子,lao'tou'zi
老土,lao'tu
老味,lao'wei
老蚊公,lao'wen'gong
老蚊婆,lao'wen'po
老细,lao'xi
老想着,lao'xiang'zhe
老嘢,lao'ye
老爷,lao'ye
老嘢老友,lao'ye'lao'you
老友鬼鬼,lao'you'gui'gui
老友记,lao'you'ji
老卓,lao'zhuo
老宗,lao'zong
老祖,lao'zu
簕窦,le'dou
了哥,le'ge
了哥命就食就屙,le'ge'ming'jiu'shi'jiu'e
勒哈费尔,le'ha'fei'er
叻马,le'ma
叻女,le'nv
叻唔切,le'wu'qie
扐住,le'zhu
叻仔,le'zi
嘞噃,lei'bo
雷恩,lei'en
雷公,lei'gong
雷公轰,lei'gong'hong
雷公蛇,lei'gong'she
镭射,lei'she
镭射唱机,lei'she'chang'ji
雷射唱机,lei'she'chang'ji
累事,lei'shi
嘞牙,lei'ya
冷饭,leng'fan
冷衫,leng'shan
冷手执个热煎冷天,leng'shou'zhi'ge're'jian'leng'tian
冷巷,leng'xiang
里昂,li'ang
哩吧啦,li'ba'la
礼拜,li'bai
里便,li'bian
利便,li'bian
厘戥,li'deng
里底,li'di
利毒,li'du
利尔,li'er
理发店,li'fa'dian
理发师傅,li'fa'shi'fu
笠高帽,li'gao'mao
脷刮,li'gua
嚟架,li'jia
利口,li'kou
哩啦,li'la
离离,li'li
哩哩啦啦,li'li'la'la
笠笠乱,li'li'luan
笠乱,li'luan
栗米,li'mi
例牌,li'pai
理气,li'qi
笠衫,li'shan
嚟神,li'shen
粒声唔出,li'sheng'wu'chu
利市,li'shi
篱士,li'shi
立实心肠,li'shi'xin'chang
理数,li'shu
脷苔,li'tai
嚟唔嚟,li'wu'li
立心,li'xin
力行鷄,li'xing'ji
力行鸡,li'xing'ji
离行离迾,li'xing'li'lie
礼衣边,li'yi'bian
离远,li'yuan
莲花,lian'hua
链冚,lian'kan
联乱咁舂,lian'luan'gan'chong
连埋,lian'mai
僆妹,lian'mei
莲藕,lian'ou
连气,lian'qi
连仁,lian'ren
连随,lian'sui
联针,lian'zhen
僆仔,lian'zi
莲子蓉面口,lian'zi'rong'mian'kou
靓爆镜,liang'bao'jing
凉茶凉菓,liang'cha'liang'guo
两睇,liang'di
两份,liang'fen
靓歌,liang'ge
两公婆,liang'gong'po
两公孙,liang'gong'sun
凉瓜,liang'gua
两家,liang'jia
凉浸浸,liang'jin'jin
两抠,liang'kou
靓女,liang'nv
两撇鷄,liang'pie'ji
两撇鸡,liang'pie'ji
晾衫,liang'shan
凉爽,liang'shuang
凉水,liang'shui
量天尺,liang'tian'chi
两头蛇,liang'tou'she
两头唔到岸,liang'tou'wu'dao'an
两头唔受中间受,liang'tou'wu'shou'zhong'jian'shou
晾蚊帐,liang'wen'zhang
靓仔,liang'zai
两仔乸,liang'zi'na
两仔爷,liang'zi'ye
寮刁,liao'diao
鹩哥,liao'ge
缭繑,liao'qiao
撩是斗非,liao'shi'dou'fei
咧啡,lie'fei
捩手掉咗,lie'shou'diao'zuo
冧巴,lin'ba
冧巴温,lin'ba'wen
拎畀我,lin'bi'wo
林沉,lin'chen
凛抌,lin'dan
冧档,lin'dang
冧宫头,lin'gong'tou
临记,lin'ji
临急开坑,lin'ji'kai'keng
冧酒,lin'jiu
临老学吹打,lin'lao'xue'chui'da
林林森森,lin'lin'sen'sen
冧女,lin'nv
冧篷头,lin'peng'tou
林沈,lin'shen
临天光赖尿临时临急,lin'tian'guang'lai'niao'lin'shi'lin'ji
冧友,lin'you
领呔,ling'dai
领当,ling'dang
零加池塘多尻余,ling'jia'chi'tang'duo'kao'yu
铃铃,ling'ling
零零丁丁,ling'ling'ding'ding
铃铃都掉埋,ling'ling'dou'diao'mai
掕掕跳,ling'ling'tiao
玲珑浮突,ling'long'fu'tu
灵擎,ling'qing
令人讨厌,ling'ren'tao'yan
零舍零星落索,ling'she'ling'xing'luo'suo
领太,ling'tai
伶牙俐齿,ling'ya'li'chi
领嘢,ling'ye
鲮鱼,ling'yu
溜鷄,liu'ji
溜鸡,liu'ji
流口水,liu'kou'shui
流离浪荡,liu'li'lang'dang
流流,liu'liu
流马尿,liu'ma'niao
留堂,liu'tang
流嘢,liu'ye
留医,liu'yi
龙虎凤,long'hu'feng
龙精虎猛,long'jing'hu'meng
竉竉罅罅,long'long'xia'xia
竉路,long'lu
龙门,long'men
龙虱,long'shi
窿罅,long'xia
龙牙蕉,long'ya'jiao
龙眼,long'yan
龙舟,long'zhou
龙舟节,long'zhou'jie
龙舟水,long'zhou'shui
喽当,lou'dang
漏底,lou'di
楼花,lou'hua
漏鷄,lou'ji
漏鸡,lou'ji
喽口,lou'kou
漏口,lou'kou
漏口佬,lou'kou'lao
漏气,lou'qi
搂席,lou'xi
漏罅,lou'xia
漏夜,lou'ye
睩大眼,lu'da'yan
碌地沙,lu'di'sha
碌葛,lu'ge
碌架床,lu'jia'chuang
碌架牀,lu'jia'chuang
碌蕉,lu'jiao
陆军装,lu'jun'zhuang
露翘翘,lu'qiao'qiao
渌亲,lu'qin
碌士,lu'shi
路数,lu'shu
卤味,lu'wei
渌吓,lu'xia
录像机,lu'xiang'ji
录影机,lu'ying'ji
碌柚,lu'you
乱咁囄,luan'gan'li
挛瓹,luan'juan
乱嚟,luan'li
乱笠笠,luan'li'li
乱龙,luan'long
挛挛蜎蜎,luan'luan'yuan'yuan
挛毛,luan'mao
乱晒坑,luan'shai'keng
乱噏廿四,luan'xi'nian'si
乱噏无为,luan'xi'wu'wei
乱噏无爲,luan'xi'wu'wei
略略,lue'lue
轮更,lun'geng
伦滘糕,lun'jiao'gao
论尽,lun'jin
萝卜仔,luo'bo'zi
攞胆,luo'dan
萝底橙,luo'di'cheng
箩底橙,luo'di'cheng
落定,luo'ding
捋高,luo'gao
落膈,luo'ge
罗汉,luo'han
罗汉请观音,luo'han'qing'guan'yin
囉呵,luo'he
落货,luo'huo
落街,luo'jie
攞景,luo'jing
攞景赠庆,luo'jing'zeng'qing
落课,luo'ke
攞苦嚟辛,luo'ku'li'xin
落力,luo'li
摞囄,luo'li
攞嚟贱,luo'li'jian
攞嚟讲,luo'li'jiang
攞嚟衰,luo'li'shuai
落楼,luo'lou
囉挛,luo'luan
囉囉挛,luo'luo'luan
落面,luo'mian
落名,luo'ming
攞命,luo'ming
攞便宜,luo'pian'yi
囉气,luo'qi
捋起,luo'qi
摞钱,luo'qian
罗伞帐,luo'san'zhang
落晒形,luo'shai'xing
落剩,luo'sheng
落手,luo'shou
落手落脚,luo'shou'luo'jiao
捋手捋脚,luo'shou'luo'jiao
螺丝批,luo'si'pi
螺丝起子,luo'si'qi'zi
囉嗦,luo'suo
落堂,luo'tang
落贴,luo'tie
落形,luo'xing
落雪水,luo'xue'shui
囉柚,luo'you
罗柚,luo'you
落雨湿湿,luo'yu'shi'shi
落雨丝湿,luo'yu'si'shi
落妆落足,luo'zhuang'luo'zu
落足嘴头,luo'zu'zui'tou
绿豆公,lv'dou'gong
褛屘,lv'man
褛裙,lv'qun
绿油油,lv'you'you
孖辫,ma'bian
麻查,ma'cha
马辰席,ma'chen'xi
马达,ma'da
唛大口得个窿,ma'da'kou'de'ge'long
码钉,ma'ding
孖份,ma'fen
孖公仔,ma'gong'zai
麻骨,ma'gu
麻骨拐杖,ma'gu'guai'zhang
妈姐,ma'jie
马狂螂,ma'kuang'lang
麻叻,ma'le
麻利,ma'li
马骝,ma'liu
马骝干,ma'liu'gan
马骝精,ma'liu'jing
马骝升官唔系人咁品,ma'liu'sheng'guan'wu'xi'ren'gan'pin
麻麻,ma'ma
嫲嫲,ma'ma
麻麻哋,ma'ma'di
麻麻地,ma'ma'di
嘛嘛哋,ma'ma'di
妈妈声,ma'ma'sheng
妈咪,ma'mi
孖女,ma'nv
孖铺,ma'pu
麻雀,ma'que
马赛,ma'sai
孖生,ma'sheng
麻石,ma'shi
麻甩,ma'shuai
麻甩佬,ma'shuai'lao
麻甩女,ma'shuai'nv
马死落地行,ma'si'luo'di'xing
蔴糖鷄,ma'tang'ji
麻糖鸡,ma'tang'ji
马蹄,ma'ti
马蹄粉,ma'ti'fen
唛头,ma'tou
码头级,ma'tou'ji
麻鹰,ma'ying
蔴油,ma'you
麻油,ma'you
马仔,ma'zai
孖仔,ma'zai
孖展,ma'zhan
码子,ma'zi
埋便,mai'bian
埋单,mai'dan
埋底,mai'di
麦豆,mai'dou
卖风,mai'feng
埋柜,mai'gui
卖花赞花香,mai'hua'zan'hua'xiang
卖鲩鱼尾搭嘴,mai'huan'yu'wei'da'zui
埋街,mai'jie
埋口,mai'kou
卖口乖,mai'kou'guai
埋嚟,mai'li
卖卖大包,mai'mai'da'bao
脉门,mai'men
卖面光,mai'mian'guang
埋去,mai'qu
埋晒,mai'shai
卖剩脚,mai'sheng'jiao
卖生藕,mai'sheng'ou
卖剩尾,mai'sheng'wei
卖剩蔗,mai'sheng'zhe
埋手,mai'shou
埋手打三更,mai'shou'da'san'geng
埋数,mai'shu
买水,mai'shui
埋台,mai'tai
埋头,mai'tou
埋头埋脑,mai'tou'mai'nao
卖头卖尾,mai'tou'mai'wei
埋位,mai'wei
埋尾,mai'wei
埋席,mai'xi
埋牙,mai'ya
卖鱼佬冲凉冇晒腥气,mai'yu'lao'chong'liang'mao'shai'xing'qi
卖鱼佬有声气,mai'yu'lao'you'sheng'qi
埋栈,mai'zhan
埋站,mai'zhan
卖猪仔,mai'zhu'zai
卖咗佢,mai'zuo'qu
满肚密圈,man'du'mi'quan
满肚文章,man'du'wen'zhang
屘二,man'er
屘屘屎,man'man'shi
慢吓手,man'xia'shou
盲公开眼酸嘟嘟,mang'gong'kai'yan'suan'du'du
盲公盲公饼,mang'gong'mang'gong'bing
盲火,mang'huo
盲佬,mang'lao
忙忙狼狼,mang'mang'lang'lang
盲摸摸,mang'mo'mo
盲婆,mang'po
盲棋,mang'qi
盲拳打死老师傅,mang'quan'da'si'lao'shi'fu
盲眼,mang'yan
冇啊,mao'a
冇本心,mao'ben'xin
冇表情,mao'biao'qing
冇柄士巴拉得棚牙,mao'bing'shi'ba'la'de'peng'ya
毛布,mao'bu
冇错,mao'cuo
冇搭霎,mao'da'sha
冇胆,mao'dan
冇胆匪类,mao'dan'fei'lei
冇得,mao'de
冇得顶,mao'de'ding
冇得倾,mao'de'qing
冇得弹,mao'de'tan
冇埞企,mao'di'qi
冇定性冇定准,mao'ding'xing'mao'ding'zhun
冇度数,mao'du'shu
猫儿,mao'er
冇耳茶煲得把嘴,mao'er'cha'bao'de'ba'zui
猫儿洗面系咁意,mao'er'xi'mian'xi'gan'yi
冇耳性,mao'er'xing
冇符,mao'fu
冇咁好气,mao'gan'hao'qi
冇根蔸,mao'gen'dou
冇勾秆得把声,mao'gou'gan'de'ba'sheng
毛管,mao'guan
冇话,mao'hua
冇计,mao'ji
冇几何,mao'ji'he
冇几耐,mao'ji'nai
冇记性,mao'ji'xing
冇几远,mao'ji'yuan
冇家教,mao'jia'jiao
冇交易,mao'jiao'yi
冇解,mao'jie
冇口齿,mao'kou'chi
茂里,mao'li
冇厘搭霎,mao'li'da'sha
冇厘神气,mao'li'shen'qi
冇厘瘾,mao'li'yin
冇厘瘾头,mao'li'yin'tou
茅寮,mao'liao
冇料,mao'liao
冇料到,mao'liao'dao
冇漏罅,mao'lou'xia
冇脉,mao'mai
冇毛鸡打交啖啖到肉,mao'mao'ji'da'jiao'dan'dan'dao'rou
冇乜,mao'mie
冇咩,mao'mie
猫乸,mao'na
冇谱,mao'pu
冇钱,mao'qian
冇晒,mao'shai
冇晒表情冇晒符,mao'shai'biao'qing'mao'shai'fu
冇晒瘾,mao'shai'yin
冇声气,mao'sheng'qi
冇省起,mao'sheng'qi
冇事,mao'shi
冇世艺,mao'shi'yi
冇手尾,mao'shou'wei
冇所谓,mao'suo'wei
冇头冇尾,mao'tou'mao'wei
冇头乌蝇,mao'tou'wu'ying
冇王管,mao'wang'guan
冇尾飞铊,mao'wei'fei'ta
冇尾飞堶,mao'wei'fei'tuo
冇纹路,mao'wen'lu
冇相干,mao'xiang'gan
冇心肝,mao'xin'gan
冇心机,mao'xin'ji
冇行,mao'xing
冇性,mao'xing
冇修,mao'xiu
冇眼睇,mao'yan'di
冇厣鷄笼,mao'yan'ji'long
冇厣鸡笼,mao'yan'ji'long
冇掩鸡笼自出自入,mao'yan'ji'long'zi'chu'zi'ru
冇研究,mao'yan'jiu
冇腰骨,mao'yao'gu
冇嘢,mao'ye
冇嘢到,mao'ye'dao
冇嘢嚟,mao'ye'li
冇益,mao'yi
冇意思,mao'yi'si
冇瘾,mao'yin
冇有怕,mao'you'pa
冇准,mao'zhun
冇走趱,mao'zou'zan
癦屎,me'shi
霉菜,mei'cai
妹钉,mei'ding
眉豆,mei'dou
眉精眼企,mei'jing'yan'qi
没良心,mei'liang'xin
妹裙,mei'qun
媒人婆,mei'ren'po
脢肉,mei'rou
煤屎,mei'shi
昧水,mei'shui
霉香咸鱼,mei'xiang'xian'yu
没心肝,mei'xin'gan
没心情,mei'xin'qing
眉眨眼,mei'zha'yan
梅酌,mei'zhuo
妹仔,mei'zi
门飞,men'fei
门铰,men'jiao
焖焗,men'ju
门口狗,men'kou'gou
盟鼻,meng'bi
懵闭闭,meng'bi'bi
蒙比利埃,meng'bi'li'ai
蒙查查,meng'cha'cha
懵懂,meng'dong
猛咁,meng'gan
蒙古大夫,meng'gu'dai'fu
懵居,meng'ju
盟笼,meng'long
掹猫尾,meng'mao'wei
曚曚光,meng'meng'guang
掹掹紧,meng'meng'jin
盟塞,meng'sai
掹衫尾,meng'shan'wei
懵剩剩,meng'sheng'sheng
懵盛盛,meng'sheng'sheng
猛嘢,meng'ye
蒙在鼓里,meng'zai'gu'li
密底算盘,mi'di'suan'pan
密底算盘冇漏罅,mi'di'suan'pan'mao'lou'xia
咪搞,mi'gao
咪搞我,mi'gao'wo
米高佐敦,mi'gao'zuo'dun
蜜瓜,mi'gua
米机米骨,mi'ji'mi'gu
咪家,mi'jia
咪拘,mi'ju
密蜡,mi'la
秘捞,mi'lao
