阿魏无真,a'wei'wu'zhen
人前莫道春光好,ren'qian'mo'dao'chun'guang'hao
人亲财不亲,ren'qin'cai'bu'qin
人情似水分高下,ren'qing'si'shui'fen'gao'xia
人穷志不穷,ren'qiong'zhi'bu'qiong
人穷志短,ren'qiong'zhi'duan
人善被人欺,ren'shan'bei'ren'qi
人善人欺天不欺,ren'shan'ren'qi'tian'bu'qi
人生不满百,ren'sheng'bu'man'bai
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人生似鸟同林宿,ren'sheng'si'niao'tong'lin'su
人生一世,ren'sheng'yi'shi
人生知足何时足,ren'sheng'zhi'zu'he'shi'zu
人太察则无谋,ren'tai'cha'ze'wu'mou
人为财死,ren'wei'cai'si
人无横财不富,ren'wu'heng'cai'bu'fu
人无两度再少年,ren'wu'liang'du'zai'shao'nian
人无千日好,ren'wu'qian'ri'hao
人无远虑,ren'wu'yuan'lv
人心比天高,ren'xin'bi'tian'gao
人心似铁,ren'xin'si'tie
人心犹未足,ren'xin'you'wei'zu
忍一句,ren'yi'ju
仁义值千金,ren'yi'zhi'qian'jin
人有善愿,ren'you'shan'yuan
人在家中坐,ren'zai'jia'zhong'zuo
日食三升,ri'shi'san'sheng
日月如梭,ri'yue'ru'suo
日子未倒,ri'zi'wei'dao
如驹过隙,ru'ju'guo'xi
入门休问荣枯事,ru'men'xiu'wen'rong'ku'shi
入山不怕伤人虎,ru'shan'bu'pa'shang'ren'hu
儒为席上珍,ru'wei'xi'shang'zhen
若登高必自卑,ruo'deng'gao'bi'zi'bei
若涉远必自迩,ruo'she'yuan'bi'zi'er
若要断酒法,ruo'yao'duan'jiu'fa
若要十分都使尽,ruo'yao'shi'fen'dou'shi'jin
若争小可,ruo'zheng'xiao'ke
三杯通大道,san'bei'tong'da'dao
三人行必有我师焉,san'ren'xing'bi'you'wo'shi'yan
三十不豪,san'shi'bu'hao
三思而行,san'si'er'xing
僧院道房终不如,seng'yuan'dao'fang'zhong'bu'ru
杀人可恕,sha'ren'ke'shu
杀人一万,sha'ren'yi'wan
善必寿考,shan'bi'shou'kao
善恶到头终有报,shan'e'dao'tou'zhong'you'bao
善恶随人作,shan'e'sui'ren'zuo
山高不算高,shan'gao'bu'suan'gao
善话不足,shan'hua'bu'zu
善事可做,shan'shi'ke'zuo
善有善报,shan'you'shan'bao
山中也有千年树,shan'zhong'ye'you'qian'nian'shu
山中有直树,shan'zhong'you'zhi'shu
伤人一语,shang'ren'yi'yu
少壮不努力,shao'zhuang'bu'nu'li
赊去物件不取钱,she'qu'wu'jian'bu'qu'qian
神灵庙祝肥,shen'ling'miao'zhu'fei
神木如电,shen'mu'ru'dian
神钦鬼服人各有心,shen'qin'gui'fu'ren'ge'you'xin
深山毕竟藏猛虎,shen'shan'bi'jing'cang'meng'hu
生不认魂,sheng'bu'ren'hun
胜读十年书,sheng'du'shi'nian'shu
圣贤言语,sheng'xian'yan'yu
胜造七级浮屠,sheng'zao'qi'ji'fu'tu
事不为不成,shi'bu'wei'bu'cheng
事到头来不自由,shi'dao'tou'lai'bu'zi'you
是非只为多开口,shi'fei'zhi'wei'duo'kai'kou
是非终日有,shi'fei'zhong'ri'you
十分伶俐使七分,shi'fen'ling'li'shi'qi'fen
事过心清凉,shi'guo'xin'qing'liang
世间好语书说尽,shi'jian'hao'yu'shu'shuo'jin
世间无水不朝东,shi'jian'wu'shui'bu'chao'dong
事久见人心,shi'jiu'jian'ren'xin
使口不如自走,shi'kou'bu'ru'zi'zou
时来风送滕王阁,shi'lai'feng'song'teng'wang'ge
时来铁似金,shi'lai'tie'si'jin
十年身到凤凰池,shi'nian'shen'dao'feng'huang'chi
是亲不是亲,shi'qin'bu'shi'qin
失却半年粮,shi'que'ban'nian'liang
识人多处是非多,shi'ren'duo'chu'shi'fei'duo
世上难逢百岁人,shi'shang'nan'feng'bai'sui'ren
世上若要人情好,shi'shang'ruo'yao'ren'qing'hao
世上无直人,shi'shang'wu'zhi'ren
世上新人赶旧人,shi'shang'xin'ren'gan'jiu'ren
世上应无切齿人,shi'shang'ying'wu'qie'chi'ren
世上最难得着兄弟,shi'shang'zui'nan'de'zhe'xiong'di
世事明如镜,shi'shi'ming'ru'jing
世事如棋局局新,shi'shi'ru'qi'ju'ju'xin
世事如云任卷舒,shi'shi'ru'yun'ren'juan'shu
诗向会人吟,shi'xiang'hui'ren'yin
十载寒窗无人问,shi'zai'han'chuang'wu'ren'wen
士者国之宝,shi'zhe'guo'zhi'bao
失之千里,shi'zhi'qian'li
受恩深处宜先退,shou'en'shen'chu'yi'xian'tui
守口如瓶,shou'kou'ru'ping
收之实难,shou'zhi'shi'nan
疏而不漏,shu'er'bu'lou
疏懒人没吃,shu'lan'ren'mei'chi
输人算之机,shu'ren'suan'zhi'ji
恕人之心恕人,shu'ren'zhi'xin'shu'ren
书堂隐相儒,shu'tang'yin'xiang'ru
树由枝分,shu'you'zhi'fen
树正何愁月影斜,shu'zheng'he'chou'yue'ying'xie
书中自有千钟粟,shu'zhong'zi'you'qian'zhong'su
书中自有颜如玉,shu'zhong'zi'you'yan'ru'yu
爽口食多偏作病,shuang'kou'shi'duo'pian'zuo'bing
水平不流,shui'ping'bu'liu
谁人背后无人说,shui'ren'bei'hou'wu'ren'shuo
谁人不爱千钟粟,shui'ren'bu'ai'qian'zhong'su
谁人不爱子孙贤,shui'ren'bu'ai'zi'sun'xian
水太清则无鱼,shui'tai'qing'ze'wu'yu
谁知东流海样深,shui'zhi'dong'liu'hai'yang'shen
顺天者存,shun'tian'zhe'cun
死不认尸,si'bu'ren'shi
驷马难追,si'ma'nan'zhui
死生有命,si'sheng'you'ming
四十不富,si'shi'bu'fu
似我不如无,si'wo'bu'ru'wu
送君千里,song'jun'qian'li
随分耕锄收地利,sui'fen'geng'chu'shou'di'li
笋因落箨方成竹,sun'yin'luo'tuo'fang'cheng'zhu
他人不知忙,ta'ren'bu'zhi'mang
他时饱暖谢苍天,ta'shi'bao'nuan'xie'cang'tian
贪他一斗米,tan'ta'yi'dou'mi
螳螂捕蝉,tang'lang'bu'chan
堂上二老是活佛,tang'shang'er'lao'shi'huo'fo
剔起佛前灯,ti'qi'fo'qian'deng
天必佑之,tian'bi'you'zhi
天上众星皆拱北,tian'shang'zhong'xing'jie'gong'bei
天时不如地利,tian'shi'bu'ru'di'li
田土深耕足养家,tian'tu'shen'geng'zu'yang'jia
天闻如雷,tian'wen'ru'lei
天下名山僧占多,tian'xia'ming'shan'seng'zhan'duo
天下无不是的父母,tian'xia'wu'bu'shi'de'fu'mu
天眼恢恢,tian'yan'hui'hui
天眼昭昭,tian'yan'zhao'zhao
庭前生瑞草,ting'qian'sheng'rui'cao
庭栽栖凤竹,ting'zai'qi'feng'zhu
同君一席话,tong'jun'yi'xi'hua
退步思量事事宽,tui'bu'si'liang'shi'shi'kuan
退一步,tui'yi'bu
万般皆下品,wan'ban'jie'xia'pin
万恶淫为首,wan'e'yin'wei'shou
万事不由人计较,wan'shi'bu'you'ren'ji'jiao
万事皆已定,wan'shi'jie'yi'ding
万事劝人休瞒昧,wan'shi'quan'ren'xiu'man'mei
忘恩负义,wang'en'fu'yi
