阿比比比基拉,a'bi'bi'bi'ji'la
骑乘位,qi'cheng'wei
七夹,qi'jia
气绞,qi'jiao
起桥,qi'qiao
起跳,qi'tiao
前摆腿,qian'bai'tui
前摆腿击脚靶,qian'bai'tui'ji'jiao'ba
前冲弧圈球,qian'chong'hu'quan'qiu
前锋,qian'feng
前弓步,qian'gong'bu
钱光鑑,qian'guang'jian
前滚翻拍地,qian'gun'fan'pai'di
前滑步,qian'hua'bu
前交叉步,qian'jiao'cha'bu
前脚反勾踢,qian'jiao'fan'gou'ti
前软翻,qian'ruan'fan
前三板,qian'san'ban
前上踢,qian'shang'ti
前受身,qian'shou'shen
前踢,qian'ti
前踢脚靶,qian'ti'jiao'ba
前腿横踢,qian'tui'heng'ti
前腿横踢接下劈接后踢,qian'tui'heng'ti'jie'xia'pi'jie'hou'ti
前腿下劈,qian'tui'xia'pi
前卫,qian'wei
前腰,qian'yao
前跃步,qian'yue'bu
牵制,qian'zhi
抢冲,qiang'chong
强打者,qiang'da'zhe
抢拉,qiang'la
抢跑,qiang'pao
乔治安德烈,qiao'zhi'an'de'lie
乔治米兹,qiao'zhi'mi'zi
切阳什姐,qie'yang'shen'jie
寝技,qin'ji
秦凯,qin'kai
秦强,qin'qiang
秦志戬,qin'zhi'jian
青棒联盟,qing'bang'lian'meng
轻吊球,qing'diao'qiu
清垒,qing'lei
球板,qiu'ban
球棒,qiu'bang
邱波,qiu'bo
球车,qiu'che
球队犯规,qiu'dui'fan'gui
球队总教练,qiu'dui'zong'jiao'lian
球落地,qiu'luo'di
球性,qiu'xing
邱钰涵,qiu'yu'han
球员休息室,qiu'yuan'xiu'xi'shi
曲棍球,qu'gun'qiu
曲球,qu'qiu
曲速球,qu'su'qiu
拳击,quan'ji
全垒打,quan'lei'da
全乒乓,quan'ping'pang
拳卧撑,quan'wo'cheng
任灿灿,ren'can'can
忍耐克己,ren'nai'ke'ji
任少芬,ren'shao'fen
任文君,ren'wen'jun
任烨,ren'ye
日直,ri'zhi
柔道,rou'dao
入江陵介,ru'jiang'ling'jie
萨马兰奇体育发展基金会,sa'ma'lan'qi'ti'yu'fa'zhan'ji'jin'hui
赛艇,sai'ting
三次上段攻防技术,san'ci'shang'duan'gong'fang'ji'shu
三次中段攻防技术,san'ci'zhong'duan'gong'fang'ji'shu
三飞击靶,san'fei'ji'ba
三飞踢接后摆腿,san'fei'ti'jie'hou'bai'tui
三飞腿,san'fei'tui
三角固,san'jiao'gu
三角绞,san'jiao'jiao
三垒,san'lei
三垒安打,san'lei'an'da
三垒手,san'lei'shou
三盘两胜制,san'pan'liang'sheng'zhi
三杀,san'sha
三振,san'zhen
扫吊进腰,sao'diao'jin'yao
扫吊进足,sao'diao'jin'zu
扫技,sao'ji
扫腰,sao'yao
莎拉波娃,sha'la'bo'wa
沙滩排球,sha'tan'pai'qiu
山地自行车,shan'di'zi'xing'che
山岚,shan'lan
山姆鹰,shan'mu'ying
上半场,shang'ban'chang
上格挡,shang'ge'dang
上垒率,shang'lei'lv
上升球,shang'sheng'qiu
上四方固,shang'si'fang'gu
上位,shang'wei
尚修堂,shang'xiu'tang
上旋球,shang'xuan'qiu
少棒联盟,shao'bang'lian'meng
邵建华,shao'jian'hua
邵静,shao'jing
邵依雯,shao'yi'wen
射程,she'cheng
射击,she'ji
射箭,she'jian
舍身技,she'shen'ji
沈惠,shen'hui
沈洁,shen'jie
沈克俭,shen'ke'jian
深入型半防守,shen'ru'xing'ban'fang'shou
沈志刚,shen'zhi'gang
胜场,sheng'chang
盛江,sheng'jiang
胜利纪念球,sheng'li'ji'nian'qiu
胜投,sheng'tou
史蒂夫奥维特,shi'di'fu'ao'wei'te
史冬鹏,shi'dong'peng
施健,shi'jian
世界大赛,shi'jie'da'sai
世界排,shi'jie'pai
世界排名,shi'jie'pai'ming
世界跆拳道联盟,shi'jie'tai'quan'dao'lian'meng
十进,shi'jin
史丽丽,shi'li'li
史庆兰,shi'qing'lan
试球,shi'qiu
史腾飞,shi'teng'fei
失误,shi'wu
施扬,shi'yang
施之皓,shi'zhi'hao
十字,shi'zi
十字固,shi'zi'gu
十字绞,shi'zi'jiao
守备,shou'bei
守备率,shou'bei'lv
手臂三角绞,shou'bi'san'jiao'jiao
手刀内格挡,shou'dao'nei'ge'dang
手刀内格接撞肘对拆,shou'dao'nei'ge'jie'zhuang'zhou'dui'chai
手刀外格挡,shou'dao'wai'ge'dang
手刀一块砖,shou'dao'yi'kuai'zhuan
手技,shou'ji
守门员,shou'men'yuan
手球,shou'qiu
受伤名单,shou'shang'ming'dan
受身,shou'shen
摔跤,shuai'jiao
双盗垒,shuang'dao'lei
双飞接后摆踢,shuang'fei'jie'hou'bai'ti
双飞腿,shuang'fei'tui
双杠,shuang'gang
双杠李宁大回环,shuang'gang'li'ning'da'hui'huan
双杀,shuang'sha
双手侧翻,shuang'shou'ce'fan
双手负肩摔,shuang'shou'fu'jian'shuai
双手刈,shuang'shou'yi
双腿连续转身高位横踢脚靶,shuang'tui'lian'xu'zhuan'shen'gao'wei'heng'ti'jiao'ba
双腿腾空向前双拍脚接分腿拍脚,shuang'tui'teng'kong'xiang'qian'shuang'pai'jiao'jie'fen'tui'pai'jiao
双腿腾空左右分腿拍脚,shuang'tui'teng'kong'zuo'you'fen'tui'pai'jiao
双误,shuang'wu
水球,shui'qiu
顺逆旋,shun'ni'xuan
顺旋,shun'xuan
死边,si'bian
斯蒂法尼娅贝尔蒙多,si'di'fa'ni'ya'bei'er'meng'duo
四方固,si'fang'gu
四坏球,si'huai'qiu
司俊,si'jun
四面格挡,si'mian'ge'dang
四面攻,si'mian'gong
四面攻击,si'mian'gong'ji
司天峰,si'tian'feng
死网,si'wang
司线员,si'xian'yuan
宋冬伦,song'dong'lun
送襟绞,song'jin'jiao
宋清龄,song'qing'ling
宋汶岩,song'wen'yan
宋晓云,song'xiao'yun
苏炳添,su'bing'tian
苏联莫斯科奥运会火炬,su'lian'mo'si'ke'ao'yun'hui'huo'ju
苏玉玲,su'yu'ling
孙凤武,sun'feng'wu
孙海平,sun'hai'ping
孙惠子,sun'hui'zi
孙基祯,sun'ji'zhen
孙杰,sun'jie
孙晋芳,sun'jin'fang
孙盛伟,sun'sheng'wei
孙思楠,sun'si'nan
孙文雁,sun'wen'yan
孙雅婷,sun'ya'ting
孙雅薇,sun'ya'wei
孙杨,sun'yang
孙晔,sun'ye
孙永言,sun'yong'yan
孙玉洁,sun'yu'jie
孙玉君,sun'yu'jun
孙悦,sun'yue
缩棒,suo'bang
太白,tai'bai
太极八章,tai'ji'ba'zhang
太极二章,tai'ji'er'zhang
太极六章,tai'ji'liu'zhang
太极七章,tai'ji'qi'zhang
太极三章,tai'ji'san'zhang
太极四章,tai'ji'si'zhang
太极五章,tai'ji'wu'zhang
太极一章,tai'ji'yi'zhang
跆拳道,tai'quan'dao
跆拳道精神,tai'quan'dao'jing'shen
泰晤士河,tai'wu'shi'he
谭建,tan'jian
谭宗亮,tan'zong'liang
唐宾,tang'bin
唐春玲,tang'chun'ling
唐学华,tang'xue'hua
唐奕,tang'yi
陶菲克,tao'fei'ke
套路,tao'lu
淘汰赛,tao'tai'sai
套腿法对拆,tao'tui'fa'dui'chai
特技木板,te'ji'mu'ban
滕飞,teng'fei
滕海滨,teng'hai'bin
腾空侧踢,teng'kong'ce'ti
腾空侧踢飞人,teng'kong'ce'ti'fei'ren
腾空反抡踢,teng'kong'fan'lun'ti
腾空横踢,teng'kong'heng'ti
腾空后踢,teng'kong'hou'ti
腾空后旋,teng'kong'hou'xuan
腾空抡踢,teng'kong'lun'ti
腾空上踢,teng'kong'shang'ti
替补队员,ti'bu'dui'yuan
体操,ti'cao
体落,ti'luo
踢腿,ti'tui
田秉毅,tian'bing'yi
田得祥,tian'de'xiang
天狗摔,tian'gou'shuai
田径,tian'jing
田靓,tian'liang
田奇乐,tian'qi'le
田卿,tian'qing
天拳,tian'quan
田渝陵,tian'yu'ling
田中,tian'zhong
跳板,tiao'ban
挑边器,tiao'bian'qi
跳步,tiao'bu
挑打,tiao'da
跳换步,tiao'huan'bu
跳卷进,tiao'juan'jin
跳马,tiao'ma
跳劈脚靶,tiao'pi'jiao'ba
跳起接球,tiao'qi'jie'qiu
跳水,tiao'shui
跳台,tiao'tai
跳腰,tiao'yao
铁莉娅,tie'li'ya
铁人三项,tie'ren'san'xiang
童非移位,tong'fei'yi'wei
童非转体,tong'fei'zhuan'ti
童卫松,tong'wei'song
佟文,tong'wen
投捕手总称,tou'bu'shou'zong'cheng
投球局数,tou'qiu'ju'shu
投球姿势,tou'qiu'zi'shi
投手,tou'shou
投手防御率,tou'shou'fang'yu'lv
投手假动作,tou'shou'jia'dong'zuo
投手丘,tou'shou'qiu
投手完封,tou'shou'wan'feng
投手先发场次,tou'shou'xian'fa'chang'ci
投手责任失分,tou'shou'ze'ren'shi'fen
头线,tou'xian
投掷,tou'zhi
团身前空翻,tuan'shen'qian'kong'fan
腿部木村锁,tui'bu'mu'cun'suo
推挡,tui'dang
腿法,tui'fa
退回原垒,tui'hui'yuan'lei
腿木村锁,tui'mu'cun'suo
推踢接前摆腿,tui'ti'jie'qian'bai'tui
瓦伦汀曼金,wa'lun'ting'man'jin
外格挡,wai'ge'dang
外角球,wai'jiao'qiu
外卷进,wai'juan'jin
外开球线,wai'kai'qiu'xian
外线,wai'xian
外野手,wai'ye'shou
腕挫十字固,wan'cuo'shi'zi'gu
腕固,wan'gu
腕缄,wan'jian
万建辉,wan'jian'hui
王爱忱,wang'ai'chen
王晨,wang'chen
王铖湘,wang'cheng'xiang
王崇升转体,wang'chong'sheng'zhuan'ti
王渡,wang'du
王飞,wang'fei
王冠,wang'guan
王国新,wang'guo'xin
王海滨,wang'hai'bin
王海冰,wang'hai'bing
汪皓,wang'hao
王浩,wang'hao
王皓,wang'hao
王辉,wang'hui
王惠莹转体,wang'hui'ying'zhuan'ti
王佳丽,wang'jia'li
王娇,wang'jiao
王敬之,wang'jing'zhi
王衎,wang'kan
王可,wang'ke
王琳,wang'lin
王梦雨,wang'meng'yu
汪敏,wang'min
王敏,wang'min
王明娟,wang'ming'juan
网前球,wang'qian'qiu
网球,wang'qiu
王群策,wang'qun'ce
王世斌,wang'shi'bin
王施佳,wang'shi'jia
王仕鹏,wang'shi'peng
汪顺,wang'shun
王涛,wang'tao
王铁鑫,wang'tie'xin
王伟,wang'wei
王伟东,wang'wei'dong
王炜一,wang'wei'yi
王晓丽,wang'xiao'li
王晓理,wang'xiao'li
王晓燕腾跃,wang'xiao'yan'teng'yue
汪鑫,wang'xin
王玄玄,wang'xuan'xuan
王雪芹,wang'xue'qin
王艳,wang'yan
王毅,wang'yi
王义夫,wang'yi'fu
王仪涵,wang'yi'han
王一梅,wang'yi'mei
王莹,wang'ying
王越,wang'yue
王镇,wang'zhen
王志杰,wang'zhi'jie
王智伟,wang'zhi'wei
王治郅,wang'zhi'zhi
魏代顺,wei'dai'shun
维凯拉斯,wei'kai'la'si
维拉恰斯拉夫斯卡,wei'la'qia'si'la'fu'si'ka
威廉姆斯,wei'lian'mu'si
魏宁,wei'ning
魏秋月,wei'qiu'yue
魏伟,wei'wei
卫雍绩,wei'yong'ji
韦永丽,wei'yong'li
文洛克,wen'luo'ke
握拍法,wo'pai'fa
无安打,wu'an'da
吴超梅,wu'chao'mei
吴崇魁,wu'chong'kui
无道衣柔术,wu'dao'yi'rou'shu
乌龟式防守,wu'gui'shi'fang'shou
吴国年转体,wu'guo'nian'zhuan'ti
五夹,wu'jia
吴景彪,wu'jing'biao
吴静钰,wu'jing'yu
吴敏霞,wu'min'xia
吴鹏,wu'peng
吴鹏根,wu'peng'gen
吴树根,wu'shu'gen
吴卫凤,wu'wei'feng
吴亚男,wu'ya'nan
吴怡文,wu'yi'wen
吴玉彪,wu'yu'biao
系道带,xi'dao'dai
牺牲打,xi'sheng'da
下蹲发球,xia'dun'fa'qiu
下蹲式发球,xia'dun'shi'fa'qiu
下格挡,xia'ge'dang
下劈,xia'pi
下劈腿,xia'pi'tui
下踢,xia'ti
下位,xia'wei
虾行,xia'xing
夏煊泽,xia'xuan'ze
下坠球,xia'zhui'qiu
现代五项,xian'dai'wu'xiang
降服技,xiang'fu'ji
向国旗敬礼,xiang'guo'qi'jing'li
橡皮式防守,xiang'pi'shi'fang'shou
小高抛,xiao'gao'pao
肖昊鹏,xiao'hao'peng
肖空翻,xiao'kong'fan
小轮车,xiao'lun'che
小内刈,xiao'nei'yi
肖天,xiao'tian
小外挂,xiao'wai'gua
小外刈,xiao'wai'yi
谢迪赫,xie'di'he
谢尔盖布勃卡,xie'er'gai'bu'bo'ka
谢荔梅,xie'li'mei
谢礼文,xie'li'wen
蟹钳,xie'qian
斜上踢,xie'shang'ti
蝎尾固,xie'wei'gu
谢文骏,xie'wen'jun
斜线球,xie'xian'qiu
谢震业,xie'zhen'ye
信兰成,xin'lan'cheng
辛鑫,xin'xin
新秀,xin'xiu
行礼,xing'li
邢宇,xing'yu
熊邦欣,xiong'bang'xin
熊凤山,xiong'feng'shan
袖车,xiu'che
许安琪,xu'an'qi
徐晨,xu'chen
徐东香,xu'dong'xiang
徐国义,xu'guo'yi
许海峰,xu'hai'feng
徐嘉余,xu'jia'yu
徐晶,xu'jing
许敬法,xu'jing'fa
徐惊雷,xu'jing'lei
徐利,xu'li
徐莉佳,xu'li'jia
徐丽丽,xu'li'li
徐林胤,xu'lin'yin
许琦,xu'qi
许晓旭,xu'xiao'xu
许昕,xu'xin
许学宁,xu'xue'ning
徐云丽,xu'yun'li
旋风踢,xuan'feng'ti
旋风腿,xuan'feng'tui
选球力,xuan'qiu'li
旋转球,xuan'zhuan'qiu
旋转十字绞,xuan'zhuan'shi'zi'jiao
薛保全,xue'bao'quan
薛晨,xue'chen
薛刚,xue'gang
血绞,xue'jiao
循环赛,xun'huan'sai
延长局,yan'chang'ju
燕返,yan'fan
杨波跳,yang'bo'tiao
杨珺,yang'jun
杨珺菁,yang'jun'jing
杨廼军,yang'nai'jun
杨善德,yang'shan'de
杨树安,yang'shu'an
杨晓强,yang'xiao'qiang
杨秀丽,yang'xiu'li
杨雁盛,yang'yan'sheng
杨之贤,yang'zhi'xian
腰车,yao'che
腰技,yao'ji
姚金男,yao'jin'nan
姚强,yao'qiang
姚懿格,yao'yi'ge
叶奎刚,ye'kui'gang
叶诗文,ye'shi'wen
一本背负投,yi'ben'bei'fu'tou
一对一,yi'dui'yi
一发球员,yi'fa'qiu'yuan
伊菲图斯,yi'fei'tu'si
伊根爱德华,yi'gen'ai'de'hua
易建联,yi'jian'lian
伊朗杯,yi'lang'bei
一垒,yi'lei
一垒安打,yi'lei'an'da
一垒手,yi'lei'shou
易立,yi'li
艺术体操,yi'shu'ti'cao
易思玲,yi'si'ling
移腰,yi'yao
尹安娜,yin'an'na
殷宝林,yin'bao'lin
引进返,yin'jin'fan
泳姿,yong'zi
右半场,you'ban'chang
尤伯罗斯,you'bo'luo'si
有道衣柔术,you'dao'yi'rou'shu
右后卫,you'hou'wei
游击手,you'ji'shou
游击手守备范围,you'ji'shou'shou'bei'fan'wei
优拉,you'la
右前卫,you'qian'wei
右手打者,you'shou'da'zhe
右手投手,you'shou'tou'shou
右外野手,you'wai'ye'shou
友谊,you'yi
游泳,you'yong
右站势,you'zhan'shi
余成刚,yu'cheng'gang
喻丹,yu'dan
隅返,yu'fan
俞觉敏,yu'jue'min
于腊梅,yu'la'mei
隅落,yu'luo
羽毛,yu'mao
羽毛球,yu'mao'qiu
羽毛球场,yu'mao'qiu'chang
羽毛球混合双打,yu'mao'qiu'hun'he'shuang'da
羽毛球拍,yu'mao'qiu'pai
于洋,yu'yang
袁朝明,yuan'chao'ming
原地侧踢,yuan'di'ce'ti
原地正踢,yuan'di'zheng'ti
原家玮,yuan'jia'wei
袁静,yuan'jing
袁灵犀,yuan'ling'xi
远台,yuan'tai
远台打法,yuan'tai'da'fa
远台防守,yuan'tai'fang'shou
原有湖,yuan'you'hu
袁媛,yuan'yuan
月久空翻,yue'jiu'kong'fan
泽麦特里乌斯维凯拉斯,ze'mai'te'li'wu'si'wei'kai'la'si
张阿虎,zhang'a'hu
张成龙,zhang'cheng'long
张崇瑶,zhang'chong'yao
张传良,zhang'chuan'liang
张春强,zhang'chun'qiang
张恩剑,zhang'en'jian
张帆,zhang'fan
仉方兵,zhang'fang'bing
张丰林,zhang'feng'lin
张阜新,zhang'fu'xin
张国林,zhang'guo'lin
张国伟,zhang'guo'wei
张海峰,zhang'hai'feng
张豪杰,zhang'hao'jie
张宏鹏,zhang'hong'peng
张洪涛,zhang'hong'tao
张继科,zhang'ji'ke
张健,zhang'jian
张建华,zhang'jian'hua
张杰,zhang'jie
张劲戈,zhang'jin'ge
张景龙,zhang'jing'long
张军,zhang'jun
张竣,zhang'jun
张磊,zhang'lei
张蕾,zhang'lei
张莉,zhang'li
张亮,zhang'liang
张良,zhang'liang
张亮亮,zhang'liang'liang
张淼,zhang'miao
张楠,zhang'nan
张宁,zhang'ning
张培萌,zhang'pei'meng
张秋萍,zhang'qiu'ping
张帅,zhang'shuai
张添,zhang'tian
张挺,zhang'ting
张文杰,zhang'wen'jie
张文宁腾跃,zhang'wen'ning'teng'yue
张文秀,zhang'wen'xiu
张希,zhang'xi
张娴,zhang'xian
张晓蕾,zhang'xiao'lei
张晓一,zhang'xiao'yi
张新,zhang'xin
张秀云,zhang'xiu'yun
张萱,zhang'xuan
张亚歌,zhang'ya'ge
张雁全,zhang'yan'quan
张杨杨,zhang'yang'yang
张一,zhang'yi
张毅,zhang'yi
张益萌,zhang'yi'meng
张兆旭,zhang'zhao'xu
张志磊,zhang'zhi'lei
赵建国,zhao'jian'guo
赵瑾,zhao'jin
赵菁,zhao'jing
赵琪,zhao'qi
赵沙沙,zhao'sha'sha
赵爽,zhao'shuang
赵文进,zhao'wen'jin
赵玉雕,zhao'yu'diao
赵郁馨,zhao'yu'xin
赵芸蕾,zhao'yun'lei
真舍身技,zhen'she'shen'ji
正吊,zheng'diao
郑东升,zheng'dong'sheng
正胶,zheng'jiao
郑洁,zheng'jie
正面技法,zheng'mian'ji'fa
正拍,zheng'pai
正手反攻,zheng'shou'fan'gong
正手防守,zheng'shou'fang'shou
正手俯卧撑,zheng'shou'fu'wo'cheng
整套动作,zheng'tao'dong'zuo
郑薇,zheng'wei
郑幸娟,zheng'xing'juan
正站势,zheng'zhan'shi
直板横打,zhi'ban'heng'da
直板横拉,zhi'ban'heng'la
智道馆,zhi'dao'guan
支吊进腰,zhi'diao'jin'yao
支吊进足,zhi'diao'jin'zu
指定打击,zhi'ding'da'ji
趾固,zhi'gu
指节,zhi'jie
指节变化球,zhi'jie'bian'hua'qiu
直拍,zhi'pai
直拍横打,zhi'pai'heng'da
直球,zhi'qiu
直拳击靶,zhi'quan'ji'ba
趾锁,zhi'suo
织田干雄,zhi'tian'gan'xiong
直腿踝固,zhi'tui'huai'gu
指卧撑,zhi'wo'cheng
钟波,zhong'bo
中段手刀外展格档对拆,zhong'duan'shou'dao'wai'zhan'ge'dang'dui'chai
重发球,zhong'fa'qiu
中锋,zhong'feng
中国奥运代表团,zhong'guo'ao'yun'dai'biao'tuan
中国代表团,zhong'guo'dai'biao'tuan
中国跆拳道协会,zhong'guo'tai'quan'dao'xie'hui
中国武术,zhong'guo'wu'shu
中后卫,zhong'hou'wei
重剑护面,zhong'jian'hu'mian
中近台,zhong'jin'tai
仲满,zhong'man
中圈,zhong'quan
钟少珍,zhong'shao'zhen
中投,zhong'tou
中外野手,zhong'wai'ye'shou
中线,zhong'xian
中远台,zhong'yuan'tai
周长城,zhou'chang'cheng
周春秀,zhou'chun'xiu
周端空翻,zhou'duan'kong'fan
周继红,zhou'ji'hong
周嘉威,zhou'jia'wei
周京,zhou'jing
周俊,zhou'jun
周璐璐,zhou'lu'lu
周鹏,zhou'peng
宙斯之盾,zhou'si'zhi'dun
周玉,zhou'yu
周玉波,zhou'yu'bo
主场优势,zhu'chang'you'shi
朱芳雨,zhu'fang'yu
助攻,zhu'gong
主攻手,zhu'gong'shou
朱俊,zhu'jun
朱敏,zhu'min
朱启南,zhu'qi'nan
朱倩蔚,zhu'qian'wei
助杀,zhu'sha
主审,zhu'shen
朱韦伟,zhu'wei'wei
朱晓琳,zhu'xiao'lin
朱志根,zhu'zhi'gen
转身,zhuan'shen
转身步,zhuan'shen'bu
转身侧踢,zhuan'shen'ce'ti
转身挂踢,zhuan'shen'gua'ti
转身横踢,zhuan'shen'heng'ti
转身后踢,zhuan'shen'hou'ti
转身抡踢,zhuan'shen'lun'ti
卓贤麟,zhuo'xian'lin
卓越,zhuo'yue
自行车,zi'xing'che
自选动作,zi'xuan'dong'zuo
自由球员,zi'you'qiu'yuan
自由人,zi'you'ren
自由体操,zi'you'ti'cao
总教练,zong'jiao'lian
邹凯,zou'kai
邹利敏空翻,zou'li'min'kong'fan
邹市明,zou'shi'ming
足部犯规,zu'bu'fan'gui
足跟勾,zu'gen'gou
足固,zu'gu
足技,zu'ji
足球,zu'qiu
足球场,zu'qiu'chang
最有价值球员,zui'you'jia'zhi'qiu'yuan
尊重,zun'zhong
左半场,zuo'ban'chang
左后卫,zuo'hou'wei
左前卫,zuo'qian'wei
坐式防守,zuo'shi'fang'shou
左手打者,zuo'shou'da'zhe
左手投手,zuo'shou'tou'shou
左推右攻,zuo'tui'you'gong
左外野手,zuo'wai'ye'shou
左站势,zuo'zhan'shi
左志勇,zuo'zhi'yong
