阿尔玛尼格拉,a'er'ma'ni'ge'la
年纪之冠,nian'ji'zhi'guan
粘土石魔,nian'tu'shi'mo
牛魔王,niu'mo'wang
牛魔王之角,niu'mo'wang'zhi'jiao
牛魔王之皮,niu'mo'wang'zhi'pi
牛魔王之皮甲,niu'mo'wang'zhi'pi'jia
牛魔王之蹄,niu'mo'wang'zhi'ti
弩弓,nu'gong
诺科蓝遗物,nuo'ke'lan'yi'wu
女伯爵,nv'bo'jue
女眷住处,nv'juan'zhu'chu
女神之翼,nv'shen'zhi'yi
女士标枪,nv'shi'biao'qiang
女士长矛,nv'shi'chang'mao
女士之矛,nv'shi'zhi'mao
女巫,nv'wu
女巫法球,nv'wu'fa'qiu
女武神,nv'wu'shen
女妖,nv'yao
女妖之骨,nv'yao'zhi'gu
女族长之标枪,nv'zu'zhang'zhi'biao'qiang
女族长之长矛,nv'zu'zhang'zhi'chang'mao
女族长之弓,nv'zu'zhang'zhi'gong
女族长之矛,nv'zu'zhang'zhi'mao
欧姆,ou'mu
欧特,ou'te
爬行的容貌,pa'xing'de'rong'mao
叛逆,pan'ni
盘绕战甲,pan'rao'zhan'jia
庞大湿地,pang'da'shi'di
炮轰,pao'hong
皮甲,pi'jia
皮手套,pi'shou'tao
皮靴,pi'xue
漂泊者洞穴,piao'bo'zhe'dong'xue
品牌,pin'pai
平衡斧,ping'heng'fu
平衡小刀,ping'heng'xiao'dao
破骨,po'gu
破坏者,po'huai'zhe
破隐,po'yin
破隐法杖,po'yin'fa'zhang
普尔,pu'er
祈祷,qi'dao
启迪,qi'di
七个古墓,qi'ge'gu'mu
漆甲,qi'jia
其他,qi'ta
恰西,qia'xi
潜行,qian'xing
强波刀,qiang'bo'dao
强化钉头锤,qiang'hua'ding'tou'chui
强化双斧,qiang'hua'shuang'fu
强威权杖,qiang'wei'quan'zhang
强制,qiang'zhi
乔丹之石,qiao'dan'zhi'shi
巧工弩,qiao'gong'nu
乔木棒,qiao'mu'bang
切肉斧,qie'rou'fu
禽兽,qin'shou
轻便头盔,qing'bian'tou'kui
轻盾,qing'dun
轻风,qing'feng
轻钢盔,qing'gang'kui
轻扣带,qing'kou'dai
轻十字弓,qing'shi'zi'gong
青蛙恶魔,qing'wa'e'mo
轻型金属靴,qing'xing'jin'shu'xue
轻型铁手套,qing'xing'tie'shou'tao
轻型装甲,qing'xing'zhuang'jia
轻圆盾,qing'yuan'dun
蛆虫巢穴,qu'chong'chao'xue
权冠,quan'guan
拳剑,quan'jian
权杖,quan'zhang
群虫,qun'chong
群魔堡垒,qun'mo'bao'lei
群蛇峡谷,qun'she'xia'gu
燃烧者,ran'shao'zhe
热情,re'qing
任务,ren'wu
刃爪,ren'zhao
刃之怒,ren'zhi'nu
刃之守卫,ren'zhi'shou'wei
荣光之斧,rong'guang'zhi'fu
熔浆巨岩,rong'jiang'ju'yan
荣耀,rong'yao
荣耀之链,rong'yao'zhi'lian
锐匕,rui'bi
锐利之斧,rui'li'zhi'fu
锐矛,rui'mao
撒卡兰姆,sa'ka'lan'mu
撒卡兰坶盾牌,sa'ka'lan'mu'dun'pai
撒卡兰姆狂战士,sa'ka'lan'mu'kuang'zhan'shi
撒卡兰姆牧师,sa'ka'lan'mu'mu'shi
撒卡兰姆使者,sa'ka'lan'mu'shi'zhe
萨拉森的机会,sa'la'sen'de'ji'hui
三叉长枪,san'cha'chang'qiang
三叉戟,san'cha'ji
三重冠,san'chong'guan
僧院大门,seng'yuan'da'men
沙暴之旅,sha'bao'zhi'lv
鲨齿战甲,sha'chi'zhan'jia
沙虫,sha'chong
沙虫幼虫,sha'chong'you'chong
沙虫之蛋,sha'chong'zhi'dan
沙地骑士,sha'di'qi'shi
杉木弓,sha'mu'gong
杉木之棍,sha'mu'zhi'gun
鲨皮手套,sha'pi'shou'tao
鲨皮腰带,sha'pi'yao'dai
鲨皮之靴,sha'pi'zhi'xue
沙撒璧,sha'sa'bi
沙撒璧的鬼魂释放者,sha'sa'bi'de'gui'hun'shi'fang'zhe
沙撒璧的精神之鞘,sha'sa'bi'de'jing'shen'zhi'qiao
沙撒璧的雄伟贡品,sha'sa'bi'de'xiong'wei'gong'pin
沙撒璧歉悔之钴,sha'sa'bi'qian'hui'zhi'gu
杀手防护面甲,sha'shou'fang'hu'mian'jia
闪避,shan'bi
闪电,shan'dian
闪电弹,shan'dian'dan
闪电攻击,shan'dian'gong'ji
闪电螺旋,shan'dian'luo'xuan
闪电球,shan'dian'qiu
闪电网,shan'dian'wang
闪电爪,shan'dian'zhao
闪电之怒,shan'dian'zhi'nu
闪电支配,shan'dian'zhi'pei
山克,shan'ke
闪耀之珠,shan'yao'zhi'zhu
伤害加深,shang'hai'jia'shen
烧焦之杖,shao'jiao'zhi'zhang
蛇魔法师之皮,she'mo'fa'shi'zhi'pi
蛇魔女十字弓,she'mo'nv'shi'zi'gong
神罚之城,shen'fa'zhi'cheng
神符,shen'fu
神符之语,shen'fu'zhi'yu
神话,shen'hua
神龙摆尾,shen'long'bai'wei
神秘避难所,shen'mi'bi'nan'suo
神秘之斧,shen'mi'zhi'fu
神秘之剑,shen'mi'zhi'jian
审判信念,shen'pan'xin'nian
神圣冰冻,shen'sheng'bing'dong
神圣冲击,shen'sheng'chong'ji
神圣盔甲,shen'sheng'kui'jia
神圣轻圆盾,shen'sheng'qing'yuan'dun
神圣天球,shen'sheng'tian'qiu
神圣小盾,shen'sheng'xiao'dun
神圣羽毛,shen'sheng'yu'mao
神圣之盾,shen'sheng'zhi'dun
神使之杖,shen'shi'zhi'zhang
神属权杖,shen'shu'quan'zhang
圣光弹,sheng'guang'dan
圣火,sheng'huo
圣甲虫恶魔,sheng'jia'chong'e'mo
圣甲虫壳皮甲,sheng'jia'chong'ke'pi'jia
圣甲虫壳靴,sheng'jia'chong'ke'xue
圣雷,sheng'lei
生命偷取,sheng'ming'tou'qu
圣骑,sheng'qi
圣骑士,sheng'qi'shi
圣水喷杖,sheng'shui'pen'zhang
圣堂,sheng'tang
圣堂武士外袍,sheng'tang'wu'shi'wai'pao
尸爆,shi'bao
饰带,shi'dai
弑夫刃,shi'fu'ren
诗歌匕首,shi'ge'bi'shou
石弓,shi'gong
世界之石大殿,shi'jie'zhi'shi'da'dian
世界之石要塞,shi'jie'zhi'shi'yao'sai
饰金盾,shi'jin'dun
饰金盾牌,shi'jin'dun'pai
狮鹫兽头盔,shi'jiu'shou'tou'kui
弑君者,shi'jun'zhe
石块,shi'kuai
石块旷野,shi'kuai'kuang'ye
食人魔铁手套,shi'ren'mo'tie'shou'tao
食人魔之槌,shi'ren'mo'zhi'chui
食人魔之斧,shi'ren'mo'zhi'fu
蚀肉骑士,shi'rou'qi'shi
食尸藤,shi'shi'teng
尸体发火,shi'ti'fa'huo
狮头尖盔,shi'tou'jian'kui
石乌鸦,shi'wu'ya
石像鬼之噬,shi'xiang'gui'zhi'shi
石像鬼之首,shi'xiang'gui'zhi'shou
狮心,shi'xin
誓约,shi'yue
实战铠甲,shi'zhan'kai'jia
十字弓,shi'zi'gong
十字军铁手套,shi'zi'jun'tie'shou'tao
十字军之弓,shi'zi'jun'zhi'gong
手斧,shou'fu
守护者,shou'hu'zhe
守护者皇冠面甲,shou'hu'zhe'huang'guan'mian'jia
手镰,shou'lian
手套,shou'tao
手杖,shou'zhang
手掌的安置,shou'zhang'de'an'zhi
书尔,shu'er
树皮之杖,shu'pi'zhi'zhang
术士的峡谷,shu'shi'de'xia'gu
述说之珠,shu'shuo'zhi'zhu
树头木拳,shu'tou'mu'quan
衰老,shuai'lao
双锋战戟,shuang'feng'zhan'ji
双弓,shuang'gong
双龙爪,shuang'long'zhao
双刃大刀,shuang'ren'da'dao
双刃斧,shuang'ren'fu
双刃镰,shuang'ren'lian
双手挥击,shuang'shou'hui'ji
双手剑,shuang'shou'jian
双手饰剑,shuang'shou'shi'jian
双手投掷,shuang'shou'tou'zhi
双头斧,shuang'tou'fu
霜之新星,shuang'zhi'xin'xing
水晶剑,shui'jing'jian
水晶天球,shui'jing'tian'qiu
水晶通道,shui'jing'tong'dao
水魔陷阱,shui'mo'xian'jing
思考之声,si'kao'zhi'sheng
死灵,si'ling
死灵法师,si'ling'fa'shi
死神,si'shen
死神的丧钟,si'shen'de'sang'zhong
司事印记,si'shi'yin'ji
死亡的守护,si'wang'de'shou'hu
死亡的伪装,si'wang'de'wei'zhuang
死亡呼吸,si'wang'hu'xi
死亡面具,si'wang'mian'ju
死亡深度,si'wang'shen'du
死亡碎片,si'wang'sui'pian
死亡之触,si'wang'zhi'chu
死亡之殿,si'wang'zhi'dian
死亡之手,si'wang'zhi'shou
死刑之剑,si'xing'zhi'jian
速度爆发,su'du'bao'fa
碎冰甲,sui'bing'jia
随待之骨,sui'dai'zhi'gu
碎骨者,sui'gu'zhe
碎石荒地,sui'shi'huang'di
索尔,suo'er
锁环甲,suo'huan'jia
锁链手套,suo'lian'shou'tao
锁链靴,suo'lian'xue
锁子甲,suo'zi'jia
塔迪克宝盒,ta'di'ke'bao'he
塔迪克方块,ta'di'ke'fang'kuai
塔盾,ta'dun
塔尔,ta'er
塔格奥,ta'ge'ao
塔格奥的化身,ta'ge'ao'de'hua'shen
塔格奥之鳞,ta'ge'ao'zhi'lin
塔格奥之手,ta'ge'ao'zhi'shou
塔格奥之束带,ta'ge'ao'zhi'shu'dai
塔格奥之外装,ta'ge'ao'zhi'wai'zhuang
塔格奥之翼,ta'ge'ao'zhi'yi
塔拉夏,ta'la'xia
塔拉夏的古墓,ta'la'xia'de'gu'mu
塔拉夏的判决,ta'la'xia'de'pan'jue
塔拉夏的判决迪克纹章,ta'la'xia'de'pan'jue'di'ke'wen'zhang
塔拉夏的守护,ta'la'xia'de'shou'hu
塔拉夏的外袍,ta'la'xia'de'wai'pao
塔拉夏的织细衣服,ta'la'xia'de'zhi'xi'yi'fu
塔力克,ta'li'ke
泰弓的的光荣,tai'gong'de'de'guang'rong
泰摩高地,tai'mo'gao'di
泰瑞尔,tai'rui'er
泰坦的复仇,tai'tan'de'fu'chou
太阳藤,tai'yang'teng
太阳之灵,tai'yang'zhi'ling
坦克雷,tan'ke'lei
坦克雷的怪诞,tan'ke'lei'de'guai'dan
坦克雷的脊柱,tan'ke'lei'de'ji'zhu
坦克雷的平头钉,tan'ke'lei'de'ping'tou'ding
坦克雷的鸦嘴钳,tan'ke'lei'de'ya'zui'qian
坦克雷的战斗工具,tan'ke'lei'de'zhan'dou'gong'ju
坦克雷之骷髅,tan'ke'lei'zhi'ku'lou
套装,tao'zhuang
特尔,te'er
剃刀之弓,ti'dao'zhi'gong
剃刀之尾,ti'dao'zhi'wei
提格莱特战甲,ti'ge'lai'te'zhan'jia
天底,tian'di
天罚之锤,tian'fa'zhi'chui
天空之灵,tian'kong'zhi'ling
天上的衣服,tian'shang'de'yi'fu
天使的镰刀,tian'shi'de'lian'dao
天使的披风,tian'shi'de'pi'feng
天使之光,tian'shi'zhi'guang
天使之翼,tian'shi'zhi'yi
天堂的信徒,tian'tang'de'xin'tu
天堂之拳,tian'tang'zhi'quan
天堂之石,tian'tang'zhi'shi
跳跃,tiao'yue
跳跃攻击,tiao'yue'gong'ji
跳跃者,tiao'yue'zhe
铁布衫,tie'bu'shan
铁匠,tie'jiang
铁皮鞭,tie'pi'bian
铁手套,tie'shou'tao
通道的祭典,tong'dao'de'ji'dian
痛苦蠕虫,tong'ku'ru'chong
痛苦之厅,tong'ku'zhi'ting
统治者大盾,tong'zhi'zhe'da'dun
头冠,tou'guan
头盔,tou'kui
偷取骷髅,tou'qu'ku'lou
投石怪,tou'shi'guai
投石器,tou'shi'qi
投掷武器,tou'zhi'wu'qi
土耳其剑,tu'er'qi'jian
突击冲锋,tu'ji'chong'feng
突击盔,tu'ji'kui
屠杀的迪克之杖,tu'sha'de'di'ke'zhi'zhang
屠杀的门特的巢穴,tu'sha'de'men'te'de'chao'xue
屠杀的修女,tu'sha'de'xiu'nv
屠杀头盔,tu'sha'tou'kui
图腾面具狼盔,tu'teng'mian'ju'lang'kui
凸纹战甲,tu'wen'zhan'jia
秃鹰恶魔,tu'ying'e'mo
凸缘钉头锤,tu'yuan'ding'tou'chui
托克,tuo'ke
瓦特之厅,wa'te'zhi'ting
瓦夏,wa'xia
外侧回廊,wai'ce'hui'lang
腕刺,wan'ci
腕刀,wan'dao
弯刀,wan'dao
腕剑,wan'jian
弯形大刀,wan'xing'da'dao
弯月斧,wan'yue'fu
亡者守卫,wang'zhe'shou'wei
微暗灵视,wei'an'ling'shi
韦布,wei'bu
维达拉,wei'da'la
维达拉的距毛,wei'da'la'de'ju'mao
维达拉的配备,wei'da'la'de'pei'bei
维达拉的突袭,wei'da'la'de'tu'xi
维达拉的陷阱,wei'da'la'de'xian'jing
维而登戈的心结,wei'er'deng'ge'de'xin'jie
威力一击,wei'li'yi'ji
威廉,wei'lian
威廉的禁忌,wei'lian'de'jin'ji
威廉的迷信,wei'lian'de'mi'xin
威廉的模范,wei'lian'de'mo'fan
威廉的碎石,wei'lian'de'sui'shi
威廉的愚行,wei'lian'de'yu'xing
威廉的自尊,wei'lian'de'zi'zun
微弯剑,wei'wan'jian
温暖,wen'nuan
瘟疫标枪,wen'yi'biao'qiang
纹章盾,wen'zhang'dun
握扣法珠,wo'kou'fa'zhu
涡流水晶,wo'liu'shui'jing
无颊头盔,wu'jia'tou'kui
物品,wu'pin
武器格挡,wu'qi'ge'dang
武器装备,wu'qi'zhuang'bei
污染怪,wu'ran'guai
物神印记,wu'shen'yin'ji
巫师之刺,wu'shi'zhi'ci
巫師之怒,wu'shi'zhi'nu
无限,wu'xian
乌鸦,wu'ya
乌鸦之霜,wu'ya'zhi'shuang
乌鸦之王,wu'ya'zhi'wang
巫妖法杖,wu'yao'fa'zhang
武装号召,wu'zhuang'hao'zhao
希弗伯,xi'fu'bo
希弗伯的法衣,xi'fu'bo'de'fa'yi
希弗伯的防护,xi'fu'bo'de'fang'hu
西刚,xi'gang
西刚的木鞋,xi'gang'de'mu'xie
西刚的披肩,xi'gang'de'pi'jian
西刚的全套刀剑,xi'gang'de'quan'tao'dao'jian
西刚的守护,xi'gang'de'shou'hu
西刚的挑战,xi'gang'de'tiao'zhan
西刚的遮蔽,xi'gang'de'zhe'bi
西刚之面甲,xi'gang'zhi'mian'jia
洗练法杖,xi'lian'fa'zhang
牺牲,xi'sheng
牺牲之箭,xi'sheng'zhi'jian
吸血鬼,xi'xue'gui
吸血鬼的凝视,xi'xue'gui'de'ning'shi
吸血鬼骸骨手套,xi'xue'gui'hai'gu'shou'tao
吸血鬼燎牙腰带,xi'xue'gui'liao'ya'yao'dai
吸血鬼手套,xi'xue'gui'shou'tao
吸引,xi'yin
下水道,xia'shui'dao
鲜血荒地,xian'xue'huang'di
鲜血石魔,xian'xue'shi'mo
线羊毛皮甲,xian'yang'mao'pi'jia
向导箭,xiang'dao'jian
橡木智者,xiang'mu'zhi'zhe
镶嵌甲,xiang'qian'jia
橡树之心,xiang'shu'zhi'xin
小矮人,xiao'ai'ren
小矮人巫师,xiao'ai'ren'wu'shi
小盾,xiao'dun
小盾牌,xiao'dun'pai
小斧,xiao'fu
小符,xiao'fu
小护身符,xiao'hu'shen'fu
小剑,xiao'jian
小型护身符,xiao'xing'hu'shen'fu
小旋风,xiao'xuan'feng
小站,xiao'zhan
邪恶,xie'e
邪恶洞穴,xie'e'dong'xue
邪恶之母,xie'e'zhi'mu
邪恶之手,xie'e'zhi'shou
邪恶之子,xie'e'zhi'zi
谐角之冠,xie'jiao'zhi'guan
心灵爆震,xin'ling'bao'zhen
心灵传动,xin'ling'chuan'dong
心灵之锤,xin'ling'zhi'chui
信条,xin'tiao
信心,xin'xin
新星,xin'xing
新月,xin'yue
胸甲,xiong'jia
熊人变化,xiong'ren'bian'hua
雄伟的混沌大臣,xiong'wei'de'hun'dun'da'chen
雄伟权杖,xiong'wei'quan'zhang
修女埋骨之地,xiu'nv'mai'gu'zhi'di
旭日东升,xu'ri'dong'sheng
虚伪之刃,xu'wei'zhi'ren
旋风,xuan'feng
旋风盾,xuan'feng'dun
漩涡球,xuan'wo'qiu
漩涡之石,xuan'wo'zhi'shi
血鸟,xue'niao
血鸟的袭击,xue'niao'de'xi'ji
削弱,xue'ruo
学识,xue'shi
血腥的巴特克,xue'xing'de'ba'te'ke
血腥丘陵,xue'xing'qiu'ling
血腥之灵,xue'xing'zhi'ling
血印记骨,xue'yin'ji'gu
血鹰,xue'ying
血鹰之巢,xue'ying'zhi'chao
血之王,xue'zhi'wang
寻找物品,xun'zhao'wu'pin
寻找药剂,xun'zhao'yao'ji
亚克南轻圆盾,ya'ke'nan'qing'yuan'dun
亚克南圆盾,ya'ke'nan'yuan'dun
亚马逊,ya'ma'xun
牙皮,ya'pi
亚瑞特的面容,ya'rui'te'de'mian'rong
亚瑞特高原,ya'rui'te'gao'yuan
亚瑞特山的救援行动,ya'rui'te'shan'de'jiu'yuan'xing'dong
亚瑞特山脉颠峰,ya'rui'te'shan'mai'dian'feng
亚特玛,ya'te'ma
亚特玛的圣甲虫,ya'te'ma'de'sheng'jia'chong
烟尘,yan'chen
眼镜蛇攻击击,yan'jing'she'gong'ji'ji
眼魔,yan'mo
炎魔皮板甲,yan'mo'pi'ban'jia
炎魔之矛,yan'mo'zhi'mao
炎魔之刃,yan'mo'zhi'ren
眼球,yan'qiu
焰拳,yan'quan
岩石制动器,yan'shi'zhi'dong'qi
焰爪,yan'zhao
羊人,yang'ren
腰带,yao'dai
腰刀,yao'dao
遥远的绿洲,yao'yuan'de'lv'zhou
野蛮人,ye'man'ren
野蛮人头盔,ye'man'ren'tou'kui
野兽,ye'shou
野性狂暴,ye'xing'kuang'bao
夜翼面纱,ye'yi'mian'sha
翼刀,yi'dao
翼斧,yi'fu
议会成员,yi'hui'cheng'yuan
翼盔,yi'kui
依雷撒,yi'lei'sa
依雷撒的精洗炉,yi'lei'sa'de'jing'xi'lu
依雷撒的线圈,yi'lei'sa'de'xian'quan
依雷撒的项圈,yi'lei'sa'de'xiang'quan
依雷撒的袖口,yi'lei'sa'de'xiu'kou
依雷撒之绳,yi'lei'sa'zhi'sheng
翼魔陷阱,yi'mo'xian'jing
依森哈德,yi'sen'ha'de
依森哈德的光之烙铁,yi'sen'ha'de'de'guang'zhi'lao'tie
依森哈德的号角,yi'sen'ha'de'de'hao'jiao
依森哈德的闪避,yi'sen'ha'de'de'shan'bi
依森哈德的外壳,yi'sen'ha'de'de'wai'ke
依森哈德的武器室,yi'sen'ha'de'de'wu'qi'shi
遗失的城市,yi'shi'de'cheng'shi
仪式的走道,yi'shi'de'zou'dao
伊司,yi'si
伊司特,yi'si'te
遗忘骑士,yi'wang'qi'shi
遗忘之塔,yi'wang'zhi'ta
翼鱼叉,yi'yu'cha
衣卒尔,yi'zu'er
印都,yin'dou
银刃斧,yin'ren'fu
阴影弓,yin'ying'gong
阴影铠甲,yin'ying'kai'jia
硬皮甲,ying'pi'jia
影杀者,ying'sha'zhe
鹰之法珠,ying'zhi'fa'zhu
影子大师,ying'zi'da'shi
影子战士,ying'zi'zhan'shi
永恒,yong'heng
幽暗,you'an
诱饵,you'er
幽梦之灵,you'meng'zhi'ling
游侠盾牌,you'xia'dun'pai
优雅旋律,you'ya'xuan'lv
优雅之剑,you'ya'zhi'jian
优雅之刃,you'ya'zhi'ren
鱼叉,yu'cha
圆盾,yuan'dun
远古誓言,yuan'gu'shi'yan
远古之路,yuan'gu'zhi'lu
怨恨,yuan'hen
圆型盾,yuan'xing'dun
圆月弯刀,yuan'yue'wan'dao
原则,yuan'ze
月精灵护盾,yue'jing'ling'hu'dun
韵律,yun'lv
运气守护,yun'qi'shou'hu
陨石,yun'shi
云雾之球,yun'wu'zhi'qiu
再生尸,zai'sheng'shi
再生妖,zai'sheng'yao
憎恨的囚牢,zeng'hen'de'qiu'lao
增加耐力,zeng'jia'nai'li
战场处子,zhan'chang'chu'zi
战场娜,zhan'chang'na
战场手套,zhan'chang'shou'tao
战场腰带,zhan'chang'yao'dai
战场之靴,zhan'chang'zhi'xue
战槌,zhan'chui
战刺,zhan'ci
战斗法杖,zhan'dou'fa'zhang
战斗飞镖,zhan'dou'fei'biao
战斗斧,zhan'dou'fu
战斗剑,zhan'dou'jian
战斗狂嗥,zhan'dou'kuang'hao
战斗镰刀,zhan'dou'lian'dao
战斗体制,zhan'dou'ti'zhi
战斗铁槌,zhan'dou'tie'chui
战斗指挥,zhan'dou'zhi'hui
战嗥,zhan'hao
战戟,zhan'ji
战帽,zhan'mao
战枪,zhan'qiang
战拳,zhan'quan
斩首斧,zhan'shou'fu
斩铁剑,zhan'tie'jian
战仪杖,zhan'yi'zhang
战争之旅,zhan'zheng'zhi'lv
长老之杖,zhang'lao'zhi'zhang
长牙剑,zhang'ya'jian
召唤抵抗,zhao'huan'di'kang
召唤鬼狼,zhao'huan'gui'lang
召唤灰熊,zhao'huan'hui'xiong
召唤狂狼,zhao'huan'kuang'lang
召唤者,zhao'huan'zhe
震波,zhen'bo
针刺,zhen'ci
征服者皇冠面甲,zheng'fu'zhe'huang'guan'mian'jia
征服之剑,zheng'fu'zhi'jian
正义之手,zheng'yi'zhi'shou
执法者,zhi'fa'zhe
致命攻击,zhi'ming'gong'ji
支配冰冷,zhi'pei'bing'leng
支配长棍,zhi'pei'chang'gun
支配长剑,zhi'pei'chang'jian
支配长矛,zhi'pei'chang'mao
支配钉头锤,zhi'pei'ding'tou'chui
支配飞掷,zhi'pei'fei'zhi
支配斧头,zhi'pei'fu'tou
支配骷髅,zhi'pei'ku'lou
支配利爪,zhi'pei'li'zhua
支配石魔,zhi'pei'shi'mo
支配之焰,zhi'pei'zhi'yan
织网腰带,zhi'wang'yao'dai
织网战甲,zhi'wang'zhan'jia
织网之靴,zhi'wang'zhi'xue
执政官铠甲,zhi'zheng'guan'kai'jia
执政官之杖,zhi'zheng'guan'zhi'zhang
蜘蛛洞穴,zhi'zhu'dong'xue
蜘蛛弓,zhi'zhu'gong
蜘蛛森林,zhi'zhu'sen'lin
重击,zhong'ji
重扣带,zhong'kou'dai
钟乳石之杖,zhong'ru'shi'zhi'zhang
重十字弓,zhong'shi'zi'gong
重手套,zhong'shou'tao
重型手镯,zhong'xing'shou'zhuo
重靴,zhong'xue
祝福瞄准,zhu'fu'miao'zhun
祝福之槌,zhu'fu'zhi'chui
侏儒,zhu'ru
蛛网腰带,zhu'wang'yao'dai
转化,zhuan'hua
专家级,zhuan'jia'ji
专心,zhuan'xin
专注,zhuan'zhu
撞槌,zhuang'chui
卓格南,zhuo'ge'nan
卓肉之握,zhuo'rou'zhi'wo
卓越标枪,zhuo'yue'biao'qiang
卓越巨棍,zhuo'yue'ju'gun
卓越头盔,zhuo'yue'tou'kui
卓越之斧,zhuo'yue'zhi'fu
卓越之剑,zhuo'yue'zhi'jian
自然抵抗,zi'ran'di'kang
自杀随从,zi'sha'sui'cong
紫杉之杖,zi'shan'zhi'zhang
组合弓,zu'he'gong
诅咒的阿克姆,zu'zhou'de'a'ke'mu
钻地的冰虫,zuan'di'de'bing'chong
钻石弓,zuan'shi'gong
钻石锁子甲,zuan'shi'suo'zi'jia
最后希望,zui'hou'xi'wang
遵从,zun'cong
