阿斗当皇帝,a'dou'dang'huang'di
金不换,jin'bu'huan
尽见鬼,jin'jian'gui
尽讲风凉话,jin'jiang'feng'liang'hua
斤斤计较,jin'jin'ji'jiao
进来容易出去难,jin'lai'rong'yi'chu'qu'nan
浸湿的木头,jin'shi'de'mu'tou
尽是老调,jin'shi'lao'diao
进退两难,jin'tui'liang'nan
尽往上看,jin'wang'shang'kan
紧往上爬,jin'wang'shang'pa
尽想好事,jin'xiang'hao'shi
紧相连,jin'xiang'lian
紧着裤子数日月,jin'zhe'ku'zi'shu'ri'yue
尽捉弄人,jin'zhuo'nong'ren
经不起风雨,jing'bu'qi'feng'yu
经不起推敲,jing'bu'qi'tui'qiao
经得起打击,jing'de'qi'da'ji
惊弓之鸟,jing'gong'zhi'niao
京戏走台步,jing'xi'zou'tai'bu
惊蛰后的蜈蚣,jing'zhe'hou'de'wu'gong
镜子里亲嘴,jing'zi'li'qin'zui
就当自己长得白,jiu'dang'zi'ji'zhang'de'bai
酒鬼掉进酒池里,jiu'gui'diao'jin'jiu'chi'li
酒鬼喝汽水,jiu'gui'he'qi'shui
揪着马尾巴赛跑,jiu'zhe'ma'wei'ba'sai'pao
就着猪肉吃油条,jiu'zhe'zhu'rou'chi'you'tiao
酒盅里拌黄瓜,jiu'zhong'li'ban'huang'gua
决不回头,jue'bu'hui'tou
绝户头得个改家子,jue'hu'tou'de'ge'gai'jia'zi
决了堤的水,jue'le'di'de'shui
撅着屁股看天,jue'zhe'pi'gu'kan'tian
开弓的箭,kai'gong'de'jian
开卦府的包公,kai'gua'fu'de'bao'gong
开棺验尸,kai'guan'yan'shi
开花的白菜,kai'hua'de'bai'cai
开花期遇暴雨,kai'hua'qi'yu'bao'yu
开会差半点,kai'hui'cha'ban'dian
开会请了假,kai'hui'qing'le'jia
开局摆开拦河车,kai'ju'bai'kai'lan'he'che
开局的兵卒,kai'ju'de'bing'zu
开了闸的河水,kai'le'zha'de'he'shui
开溜,kai'liu
开水里捞肥皂,kai'shui'li'lao'fei'zao
开水泡黄豆,kai'shui'pao'huang'dou
开水泼老鼠,kai'shui'po'lao'shu
开水碗上的葱花,kai'shui'wan'shang'de'cong'hua
开水洗脸,kai'shui'xi'lian
开水煮白玉,kai'shui'zhu'bai'yu
开洋荤,kai'yang'hun
开着电扇聊天,kai'zhe'dian'shan'liao'tian
开着收音机听戏,kai'zhe'shou'yin'ji'ting'xi
开着拖拉机撵兔子,kai'zhe'tuo'la'ji'nian'tu'zi
砍不倒大树,kan'bu'dao'da'shu
看不上眼,kan'bu'shang'yan
看错人了,kan'cuo'ren'le
砍倒大树捉鸟,kan'dao'da'shu'zhuo'niao
砍倒的柳树,kan'dao'de'liu'shu
看多少算多少,kan'duo'shao'suan'duo'shao
看家拳头,kan'jia'quan'tou
看见和尚喊姨夫,kan'jian'he'shang'han'yi'fu
看见尼姑喊嫂子,kan'jian'ni'gu'han'sao'zi
看见外公叫爷爷,kan'jian'wai'gong'jiao'ye'ye
看门的神仙,kan'men'de'shen'xian
看你咋吹,kan'ni'za'chui
看破戏尘,kan'po'xi'chen
看人挑担,kan'ren'tiao'dan
砍树吃桔子,kan'shu'chi'ju'zi
看戏挑媳妇,kan'xi'tiao'xi'fu
看羊的狗,kan'yang'de'gou
看衣裳行事,kan'yi'shang'xing'shi
看着天说话,kan'zhe'tian'shuo'hua
靠不住,kao'bu'zhu
刻薄,ke'bo
嗑瓜子吃核桃,ke'gua'zi'chi'he'tao
嗑瓜子瞌出个臭虫,ke'gua'zi'ke'chu'ge'chou'chong
嗑瓜子嗑出虾米来,ke'gua'zi'ke'chu'xia'mi'lai
客气碰着老实,ke'qi'peng'zhe'lao'shi
瞌睡送个枕头,ke'shui'song'ge'zhen'tou
磕完头撒供,ke'wan'tou'sa'gong
肯定,ken'ding
肯定了,ken'ding'le
啃着鱼骨聊天,ken'zhe'yu'gu'liao'tian
坑到家了,keng'dao'jia'le
坑人不浅,keng'ren'bu'qian
空袋了,kong'dai'le
空肚子打饱隔,kong'du'zi'da'bao'ge
空费芯,kong'fei'xin
空架子,kong'jia'zi
空劳神,kong'lao'shen
空手进衙门,kong'shou'jin'ya'men
空手跑进中药店,kong'shou'pao'jin'zhong'yao'dian
空手抓白鱼,kong'shou'zhua'bai'yu
空想,kong'xiang
空心罗汉,kong'xin'luo'han
口蜜腹剑,kou'mi'fu'jian
窟窿套窟窿,ku'long'tao'ku'long
苦苗苗,ku'miao'miao
苦生苦长,ku'sheng'ku'chang
苦水里泡大的,ku'shui'li'pao'da'de
苦也,ku'ye
苦竹子根头出苦笋,ku'zhu'zi'gen'tou'chu'ku'sun
筷子搭桥,kuai'zi'da'qiao
筷子顶豆腐,kuai'zi'ding'dou'fu
筷子里拔旗杆,kuai'zi'li'ba'qi'gan
筐里选瓜,kuang'li'xuan'gua
葵花籽里拌盐水,kui'hua'zi'li'ban'yan'shui
拉肚子吃泻药,la'du'zi'chi'xie'yao
垃圾堆里的破鞋,la'ji'dui'li'de'po'xie
辣椒炒豆腐,la'jiao'chao'dou'fu
蜡台上无油,la'tai'shang'wu'you
腊鸭子煮到锅里头,la'ya'zi'zhu'dao'guo'li'tou
腊月里扇扇子,la'yue'li'shan'shan'zi
拉着手走路,la'zhe'shou'zou'lu
蜡烛的脾气,la'zhu'de'pi'qi
癞蛤蟆穿大红袍,lai'ha'ma'chuan'da'hong'pao
癞蛤蟆打吹欠,lai'ha'ma'da'chui'qian
赖泥下窑,lai'ni'xia'yao
来头不小,lai'tou'bu'xiao
癞子的脑袋,lai'zi'de'nao'dai
烂板桥上的龙王,lan'ban'qiao'shang'de'long'wang
懒厨子做席,lan'chu'zi'zuo'xi
滥竿充数,lan'gan'chong'shu
烂膏药贴在好肉上,lan'gao'yao'tie'zai'hao'rou'shang
懒驴上磨,lan'lv'shang'mo
烂泥里打桩子,lan'ni'li'da'zhuang'zi
烂泥菩萨,lan'ni'pu'sa
烂泥菩萨洗脸,lan'ni'pu'sa'xi'lian
烂泥土下窑,lan'ni'tu'xia'yao
懒婆娘的裹脚布,lan'po'niang'de'guo'jiao'bu
烂鱼开了膛,lan'yu'kai'le'tang
狼吃狼,lang'chi'lang
榔头对锤子,lang'tou'dui'chui'zi
狼惜猪娃,lang'xi'zhu'wa
浪中行船,lang'zhong'hang'chuan
浪子回头,lang'zi'hui'tou
老等,lao'deng
老调子,lao'diao'zi
劳而无功,lao'er'wu'gong
牢房里赌博,lao'fang'li'du'bo
老肥猪上屠场,lao'fei'zhu'shang'tu'chang
老坟头里的尸骨,lao'fen'tou'li'de'shi'gu
老鸹叮蚌壳,lao'gua'ding'bang'ke
老光棍,lao'guang'gun
老海瑞上金殿,lao'hai'rui'shang'jin'dian
老猴爬旗杆,lao'hou'pa'qi'gan
老虎的儿子,lao'hu'de'er'zi
老虎和猪生的,lao'hu'he'zhu'sheng'de
老虎皮兔子胆,lao'hu'pi'tu'zi'dan
老糊涂,lao'hu'tu
老奸巨猾,lao'jian'ju'hua
老来俏,lao'lai'qiao
老驴打滚,lao'lv'da'gun
老母猪爬楼梯,lao'mu'zhu'pa'lou'ti
老母猪上山,lao'mu'zhu'shang'shan
老牛拉破车,lao'niu'la'po'che
老牛钻狗洞,lao'niu'zuan'gou'dong
老实人,lao'shi'ren
老鼠扒屎盆,lao'shu'ba'shi'pen
老鼠管仓,lao'shu'guan'cang
老鼠爬香炉,lao'shu'pa'xiang'lu
老鼠碰见猫,lao'shu'peng'jian'mao
老鼠睡猫窝,lao'shu'shui'mao'wo
老鼠偷秤砣,lao'shu'tou'cheng'tuo
老鼠咬屁股,lao'shu'yao'pi'gu
老水牛拉马车,lao'shui'niu'la'ma'che
老太婆过年,lao'tai'po'guo'nian
老太婆啃鸡筋,lao'tai'po'ken'ji'jin
老太太扎鞋底,lao'tai'tai'zha'xie'di
老太爷看告示,lao'tai'ye'kan'gao'shi
老鹰吃鸡毛,lao'ying'chi'ji'mao
老主意,lao'zhu'yi
老子纳妾儿姘居,lao'zi'na'qie'er'pin'ju
老子偷猪儿偷牛,lao'zi'tou'zhu'er'tou'niu
老子坐班房,lao'zi'zuo'ban'fang
乐颠了馅儿,le'dian'le'xian'er
冷不防,leng'bu'fang
冷落,leng'luo
立不起来,li'bu'qi'lai
立场不稳,li'chang'bu'wen
理亏,li'kui
里外发烧,li'wai'fa'shao
恋恋不舍,lian'lian'bu'she
脸上无光,lian'shang'wu'guang
两人一份,liang'ren'yi'fen
两想,liang'xiang
两袖清风,liang'xiu'qing'feng
两眼墨黑,liang'yan'mo'hei
亮月下耍大刀,liang'yue'xia'shua'da'dao
料不到,liao'bu'dao
零比零,ling'bi'ling
灵丹妙药,ling'dan'miao'yao
另搞一套,ling'gao'yi'tao
另有所图,ling'you'suo'tu
溜了,liu'le
留神,liu'shen
溜须不要命,liu'xu'bu'yao'ming
溜须拍马,liu'xu'pai'ma
留一手,liu'yi'shou
露底,lou'di
路不宽,lu'bu'kuan
露骨,lu'gu
露了蹄半山崖的观音,lu'le'ti'ban'shan'ya'de'guan'yin
露头角,lu'tou'jiao
卤煮寒鸭子,lu'zhu'han'ya'zi
乱蹦乱跳,luan'beng'luan'tiao
乱联系,luan'lian'xi
乱牵扯,luan'qian'che
乱认亲,luan'ren'qin
略使小技,lue'shi'xiao'ji
略显其能,lue'xian'qi'neng
马鞭打牛,ma'bian'da'niu
马槽边上的苍蝇,ma'cao'bian'shang'de'cang'ying
马车过沼泽地,ma'che'guo'zhao'ze'di
麻袋里装麦秸,ma'dai'li'zhuang'mai'jie
麻袋做龙袍,ma'dai'zuo'long'pao
麻秆搭桥,ma'gan'da'qiao
麻秆做术腿,ma'gan'zuo'shu'tui
麻姑娘搽雪花膏,ma'gu'niang'cha'xue'hua'gao
蚂蟥叭在牛尾上,ma'huang'ba'zai'niu'wei'shang
麻秸抵门,ma'jie'di'men
马脸比母猪头,ma'lian'bi'mu'zhu'tou
麻脸姑娘掉井里,ma'lian'gu'niang'diao'jing'li
麻脸媳妇拜见上嘴婆,ma'lian'xi'fu'bai'jian'shang'zui'po
蚂蛉长毛,ma'ling'chang'mao
麻柳树解板子,ma'liu'shu'jie'ban'zi
马路上跑火车,ma'lu'shang'pao'huo'che
马路新闻,ma'lu'xin'wen
麻婆打扮,ma'po'da'ban
麻婆照镜子,ma'po'zhao'jing'zi
麻雀搬家,ma'que'ban'jia
麻雀吃桑葚,ma'que'chi'sang'shen
麻雀的肚腹,ma'que'de'du'fu
麻雀掉到洞庭湖里,ma'que'diao'dao'dong'ting'hu'li
麻雀斗鸡,ma'que'dou'ji
麻雀嫁女,ma'que'jia'nv
马群里的骆驼,ma'qun'li'de'luo'tuo
马勺当锣打,ma'shao'dang'luo'da
麻蛇钻刺棵,ma'she'zuan'ci'ke
麻绳穿针,ma'sheng'chuan'zhen
麻绳打毛衣,ma'sheng'da'mao'yi
马食槽不许驴插嘴,ma'shi'cao'bu'xu'lv'cha'zui
马桶里倒香水,ma'tong'li'dao'xiang'shui
马桶上插花,ma'tong'shang'cha'hua
码头工人扛麻包,ma'tou'gong'ren'kang'ma'bao
马王爷,ma'wang'ye
马尾穿萝卜,ma'wei'chuan'luo'bo
马尾拴鸡蛋,ma'wei'shuan'ji'dan
麻线搓绳,ma'xian'cuo'sheng
蚂蚁打食,ma'yi'da'shi
麻油炒豆腐,ma'you'chao'dou'fu
蚂蚱配蝗虫,ma'zha'pei'huang'chong
码子前面添零,ma'zi'qian'mian'tian'ling
麻子敲门,ma'zi'qiao'men
麻子跳伞,ma'zi'tiao'san
买车不要骡子,mai'che'bu'yao'luo'zi
卖棺材的闻人重病,mai'guan'cai'de'wen'ren'zhong'bing
卖棺材的咬牙,mai'guan'cai'de'yao'ya
买回彩电带回发票,mai'hui'cai'dian'dai'hui'fa'piao
麦秸烧火,mai'jie'shao'huo
买卖不大架子大,mai'mai'bu'da'jia'zi'da
麦芒戮到眼睛里,mai'mang'lu'dao'yan'jing'li
买帽子当鞋穿,mai'mao'zi'dang'xie'chuan
卖弄风流,mai'nong'feng'liu
麦田里的韭菜,mai'tian'li'de'jiu'cai
麦田里撒豌豆,mai'tian'li'sa'wan'dou
买眼药进了石灰店,mai'yan'yao'jin'le'shi'hui'dian
蛮不讲理,man'bu'jiang'li
满肚子熊点子,man'du'zi'xiong'dian'zi
慢工出细活,man'gong'chu'xi'huo
慢慢挪,man'man'nuo
慢慢腾腾,man'man'teng'teng
满嘴喷粪,man'zui'pen'fen
忙上加忙,mang'shang'jia'mang
冒充打猎人,mao'chong'da'lie'ren
冒充富态,mao'chong'fu'tai
冒货,mao'huo
没安好心,mei'an'hao'xin
没出息,mei'chu'xi
没得用,mei'de'yong
没肚量,mei'du'liang
没多大劲,mei'duo'da'jin
没方子,mei'fang'zi
没福,mei'fu
没高的,mei'gao'de
没骨气,mei'gu'qi
没几步跑头,mei'ji'bu'pao'tou
没见过大场面,mei'jian'guo'da'chang'mian
没进步,mei'jin'bu
没脸回江东,mei'lian'hui'jiang'dong
没人领情,mei'ren'ling'qing
没人要的货,mei'ren'yao'de'huo
美上天了,mei'shang'tian'le
没什么两样,mei'shen'me'liang'yang
没水吃渴死人,mei'shui'chi'ke'si'ren
没一点情味,mei'yi'dian'qing'wei
没影子,mei'ying'zi
没用处,mei'yong'chu
没有出路,mei'you'chu'lu
没有回音,mei'you'hui'yin
没有几句,mei'you'ji'ju
没有看出你来,mei'you'kan'chu'ni'lai
没有热乎劲,mei'you're'hu'jin
没有日子了,mei'you'ri'zi'le
没有一块好的,mei'you'yi'kuai'hao'de
没有用,mei'you'yong
没缘,mei'yuan
没长劲,mei'zhang'jin
没指望,mei'zhi'wang
没咒念,mei'zhou'nian
没准儿,mei'zhun'er
门当户对,men'dang'hu'dui
闷起来了,men'qi'lai'le
懵门了,meng'men'le
迷迷糊糊,mi'mi'hu'hu
弥天大谎,mi'tian'da'huang
面面有用,mian'mian'you'yong
勉强不得,mian'qiang'bu'de
面生,mian'sheng
明打明,ming'da'ming
命根子,ming'gen'zi
明砍,ming'kan
明看不成器丢又舍不得,ming'kan'bu'cheng'qi'diu'you'she'bu'de
摸不着底,mo'bu'zhao'di
摸出来的,mo'chu'lai'de
莫名其妙,mo'ming'qi'miao
莫想,mo'xiang
莫须有,mo'xu'you
木匠铺里拉大锯,mu'jiang'pu'li'la'da'ju
目空一切,mu'kong'yi'qie
木偶流眼泪,mu'ou'liu'yan'lei
牧人不刮胡子,mu'ren'bu'gua'hu'zi
木头人过河,mu'tou'ren'guo'he
拿菜刀哄孩子,na'cai'dao'hong'hai'zi
拿根面条去上吊,na'gen'mian'tiao'qu'shang'diao
哪还用言,na'hai'yong'yan
拿脑袋撞墙,na'nao'dai'zhuang'qiang
拿乌龟当锅盖,na'wu'gui'dang'guo'gai
哪一壶不开单提哪一壶,na'yi'hu'bu'kai'dan'ti'na'yi'hu
拿着车票进戏馆子,na'zhe'che'piao'jin'xi'guan'zi
拿着碾盆打月亮,na'zhe'nian'pen'da'yue'liang
拿着铁锹当锅使,na'zhe'tie'qiao'dang'guo'shi
奈何不得,nai'he'bu'de
耐滑头,nai'hua'tou
难产,nan'chan
难缠,nan'chan
难撑,nan'cheng
难得,nan'de
难得一回,nan'de'yi'hui
难分色,nan'fen'se
难逢,nan'feng
难过,nan'guo
难回头,nan'hui'tou
难交,nan'jiao
难嚼难咽,nan'jiao'nan'yan
难看,nan'kan
难劈,nan'pi
难通过,nan'tong'guo
难脱身,nan'tuo'shen
难下手,nan'xia'shou
难养活,nan'yang'huo
闹个不停,nao'ge'bu'ting
闹了个大窝脖,nao'le'ge'da'wo'bo
脑门上开口,nao'men'shang'kai'kou
脑门上长瘤,nao'men'shang'zhang'liu
恼一个好一个,nao'yi'ge'hao'yi'ge
闹钟打哈哈,nao'zhong'da'ha'ha
哪吒战小龙,ne'zha'zhan'xiao'long
内行,nei'hang
内外勾结,nei'wai'gou'jie
泥巴捏的小人,ni'ba'nie'de'xiao'ren
你吃鸡鸭肉我啃窝窝头,ni'chi'ji'ya'rou'wo'ken'wo'wo'tou
你东我西,ni'dong'wo'xi
逆风点火,ni'feng'dian'huo
泥佛爷的眼珠儿,ni'fo'ye'de'yan'zhu'er
尼姑生孩子,ni'gu'sheng'hai'zi
你来我去,ni'lai'wo'qu
你卖门神我卖鬼,ni'mai'men'shen'wo'mai'gui
泥菩萨洗脸,ni'pu'sa'xi'lian
你去南极我去北极,ni'qu'nan'ji'wo'qu'bei'ji
泥人经不起雨打,ni'ren'jing'bu'qi'yu'da
泥神笑菩萨,ni'shen'xiao'pu'sa
逆水行船,ni'shui'xing'chuan
逆水行舟,ni'shui'xing'zhou
你算哪一路,ni'suan'na'yi'lu
腻透了,ni'tou'le
你行我也行,ni'xing'wo'ye'xing
你也好不了多少,ni'ye'hao'bu'liao'duo'shao
你有秤杆我有砣,ni'you'cheng'gan'wo'you'tuo
泥蒸的馒头,ni'zheng'de'man'tou
你做生意我教书,ni'zuo'sheng'yi'wo'jiao'shu
年年都一样,nian'nian'dou'yi'yang
碾盘对碾盘,nian'pan'dui'nian'pan
拈轻怕重,nian'qing'pa'zhong
念完了经打和尚,nian'wan'le'jing'da'he'shang
撵走孤狸住上狼,nian'zou'gu'li'zhu'shang'lang
鸟儿搬家,niao'er'ban'jia
鸟枪换炮,niao'qiang'huan'pao
捏死手中鸟,nie'si'shou'zhong'niao
捏着鼻尖儿做梦,nie'zhe'bi'jian'er'zuo'meng
宁折不弯,ning'zhe'bu'wan
牛背上翻踉头,niu'bei'shang'fan'liang'tou
牛犊子叫街,niu'du'zi'jiao'jie
牛犊子上套,niu'du'zi'shang'tao
牛皮鼓湿水,niu'pi'gu'shi'shui
牛牵鼻子马抓鬃,niu'qian'bi'zi'ma'zhua'zong
牛头不对马嘴,niu'tou'bu'dui'ma'zui
牛羊的肚腹,niu'yang'de'du'fu
弄不多柴禾,nong'bu'duo'chai'he
暖水瓶爆烈,nuan'shui'ping'bao'lie
女孩子打架,nv'hai'zi'da'jia
女人的手腕,nv'ren'de'shou'wan
女婿认不得丈人,nv'xu'ren'bu'de'zhang'ren
藕炒豆芽,ou'chao'dou'ya
沤烂的花生,ou'lan'de'hua'sheng
偶像面前磕头,ou'xiang'mian'qian'ke'tou
怕是真的,pa'shi'zhen'de
怕死碰见鬼子兵,pa'si'peng'jian'gui'zi'bing
趴在磨子上睡觉,pa'zai'mo'zi'shang'shui'jiao
拍照片不上卷,pai'zhao'pian'bu'shang'juan
判官拍照,pan'guan'pai'zhao
判官敲门,pan'guan'qiao'men
判官玩魔术,pan'guan'wan'mo'shu
潘仁美挂帅,pan'ren'mei'gua'shuai
盼月亮从西出,pan'yue'liang'cong'xi'chu
盘子里生豆芽,pan'zi'li'sheng'dou'ya
胖大海掉进黄连水,pang'da'hai'diao'jin'huang'lian'shui
螃蟹过门槛,pang'xie'guo'men'kan
螃蟹爬到路上,pang'xie'pa'dao'lu'shang
螃蟹上树,pang'xie'shang'shu
胖子排横队,pang'zi'pai'heng'dui
跑不了,pao'bu'liao
炮打林中鸟,pao'da'lin'zhong'niao
跑得快,pao'de'kuai
跑马吃烤鸭,pao'ma'chi'kao'ya
跑马使绊子,pao'ma'shi'ban'zi
配得起你,pei'de'qi'ni
喷云吐雾,pen'yun'tu'wu
碰了一鼻灰,peng'le'yi'bi'hui
捧着泥鳅玩,peng'zhe'ni'qiu'wan
碰着啥咬啥,peng'zhe'sha'yao'sha
屁股上扫帚,pi'gu'shang'sao'zhou
屁股上捅一刀,pi'gu'shang'tong'yi'dao
披虎皮上山,pi'hu'pi'shang'shan
皮匠不带锥子,pi'jiang'bu'dai'zhui'zi
皮裤套棉裤,pi'ku'tao'mian'ku
皮老心不老,pi'lao'xin'bu'lao
琵琶断了弦,pi'pa'duan'le'xian
脾气不一样,pi'qi'bu'yi'yang
脾气相投,pi'qi'xiang'tou
皮球上戳眼眼,pi'qiu'shang'chuo'yan'yan
皮球上磨刀,pi'qiu'shang'mo'dao
砒霜拌大葱,pi'shuang'ban'da'cong
皮鞋打蜡,pi'xie'da'la
便宜买回的处理品,pian'yi'mai'hui'de'chu'li'pin
骗子碰到骗子,pian'zi'peng'dao'pian'zi
贫血病人,pin'xue'bing'ren
平地搭梯子,ping'di'da'ti'zi
瓶子里的苍蝇,ping'zi'li'de'cang'ying
破罐子破摔,po'guan'zi'po'shuai
破棉袄套绸衫,po'mian'ao'tao'chou'shan
破庙里的菩萨,po'miao'li'de'pu'sa
破土的春笋,po'tu'de'chun'sun
破袜子补帽沿,po'wa'zi'bu'mao'yan
破网打鱼,po'wang'da'yu
婆媳吵架儿子劝,po'xi'chao'jia'er'zi'quan
破鞋帮,po'xie'bang
破蒸笼蒸馒头,po'zheng'long'zheng'man'tou
剖腹献肝胆,pou'fu'xian'gan'dan
剖鱼得珠,pou'yu'de'zhu
葡萄汁充花露水,pu'tao'zhi'chong'hua'lu'shui
扑腾不开,pu'teng'bu'kai
七八月的南瓜,qi'ba'yue'de'nan'gua
气不打一处来,qi'bu'da'yi'chu'lai
七尺汉子六尺门,qi'chi'han'zi'liu'chi'men
气得嘣八丈高,qi'de'beng'ba'zhang'gao
七颠八倒,qi'dian'ba'dao
乞丐过日子,qi'gai'guo'ri'zi
乞丐跳舞,qi'gai'tiao'wu
漆黑一团,qi'hei'yi'tuan
齐桓公用管仲,qi'huan'gong'yong'guan'zhong
气急败坏,qi'ji'bai'huai
起了心,qi'le'xin
骑驴看唱本,qi'lv'kan'chang'ben
骑驴望着坐轿的,qi'lv'wang'zhe'zuo'jiao'de
骑马上天山,qi'ma'shang'tian'shan
骑马时间少擦镫时间多,qi'ma'shi'jian'shao'ca'deng'shi'jian'duo
骑牛找牛,qi'niu'zhao'niu
棋盘里的老将,qi'pan'li'de'lao'jiang
砌墙的砖头,qi'qiang'de'zhuan'tou
七石缸里捞芝麻,qi'shi'gang'li'lao'zhi'ma
七手八脚,qi'shou'ba'jiao
齐头并迸,qi'tou'bing'beng
七仙女嫁董永,qi'xian'nv'jia'dong'yong
骑着骆驼吃包子,qi'zhe'luo'tuo'chi'bao'zi
起重机吊鸡毛,qi'zhong'ji'diao'ji'mao
钱串子脑袋,qian'chuan'zi'nao'dai
千斤顶干活,qian'jin'ding'gan'huo
千里送客,qian'li'song'ke
千里姻缘一线牵,qian'li'yin'yuan'yi'xian'qian
千年的大树,qian'nian'de'da'shu
千年的铜钟,qian'nian'de'tong'zhong
浅滩上放木排,qian'tan'shang'fang'mu'pai
钱塘江涨潮,qian'tang'jiang'zhang'chao
前途光明,qian'tu'guang'ming
谦虚,qian'xu
钱也有权也有,qian'ye'you'quan'ye'you
前有强敌后有追兵,qian'you'qiang'di'hou'you'zhui'bing
千真万真,qian'zhen'wan'zhen
强盗发善心,qiang'dao'fa'shan'xin
强盗碰着贼爷爷,qiang'dao'peng'zhe'zei'ye'ye
强盗照镜子,qiang'dao'zhao'jing'zi
强拉媳妇成亲,qiang'la'xi'fu'cheng'qin
强人所难,qiang'ren'suo'nan
墙头上的种白菜,qiang'tou'shang'de'zhong'bai'cai
墙头上种菜,qiang'tou'shang'zhong'cai
强装有本事,qiang'zhuang'you'ben'shi
巧媳妇,qiao'xi'fu
巧言哄人,qiao'yan'hong'ren
秦桧杀岳飞的罪名,qin'hui'sha'yue'fei'de'zui'ming
亲肉一块,qin'rou'yi'kuai
秦叔宝的黄骡马,qin'shu'bao'de'huang'luo'ma
亲员,qin'yuan
轻而易举,qing'er'yi'ju
清高,qing'gao
清了吧,qing'le'ba
青石板上的青苔,qing'shi'ban'shang'de'qing'tai
青石板上摔鸟龟,qing'shi'ban'shang'shuai'niao'gui
青蛙吃黄蜂,qing'wa'chi'huang'feng
青蛙过冬,qing'wa'guo'dong
青蛙求偶,qing'wa'qiu'ou
青蛙拴生鞭梢上,qing'wa'shuan'sheng'bian'shao'shang
青娃望玉兔,qing'wa'wang'yu'tu
青娃笑蝌蚪,qing'wa'xiao'ke'dou
请小姨子作伴,qing'xiao'yi'zi'zuo'ban
蜻蜒点水鱼打花,qing'yan'dian'shui'yu'da'hua
青竹竿掏茅坑,qing'zhu'gan'tao'mao'keng
穷得叮当响,qiong'de'ding'dang'xiang
穷鬼们聚到一块了,qiong'gui'men'ju'dao'yi'kuai'le
穷横,qiong'heng
穷极了,qiong'ji'le
穷快活,qiong'kuai'huo
穷相毕露,qiong'xiang'bi'lu
穷壮胆,qiong'zhuang'dan
求之不得,qiu'zhi'bu'de
全靠别人施舍,quan'kao'bie'ren'shi'she
全落空,quan'luo'kong
全凭手快,quan'ping'shou'kuai
全凭一张嘴,quan'ping'yi'zhang'zui
全是酸的,quan'shi'suan'de
拳头打跳蚤,quan'tou'da'tiao'zao
蜷腿带拱腰,quan'tui'dai'gong'yao
全仗嘴,quan'zhang'zui
缺牙啃西瓜,que'ya'ken'xi'gua
瘸子骑瞎驴,que'zi'qi'xia'lv
瘸子走山路,que'zi'zou'shan'lu
染布不匀,ran'bu'bu'yun
染坊的常客,ran'fang'de'chang'ke
染坊的大缸,ran'fang'de'da'gang
染房里吹笛子,ran'fang'li'chui'di'zi
染坊里的衣料,ran'fang'li'de'yi'liao
染缸里的衣服,ran'gang'li'de'yi'fu
染缸里落白布,ran'gang'li'luo'bai'bu
染匠的衣服,ran'jiang'de'yi'fu
染匠下河,ran'jiang'xia'he
让结巴念绕回令,rang'jie'ba'nian'rao'hui'ling
让了香瓜寻苦瓜,rang'le'xiang'gua'xun'ku'gua
饶舌的鸟鸦,rao'she'de'niao'ya
饶舌的乌鸦,rao'she'de'wu'ya
热锅爆米花,re'guo'bao'mi'hua
热锅里的鸭子,re'guo'li'de'ya'zi
热锅上的蚂蚁,re'guo'shang'de'ma'yi
热锅上的蒸笼,re'guo'shang'de'zheng'long
热火盆里抽火炭,re'huo'pen'li'chou'huo'tan
热炕头上的白面,re'kang'tou'shang'de'bai'mian
热面孔碰到冷毛巾,re'mian'kong'peng'dao'leng'mao'jin
热情在里头,re'qing'zai'li'tou
热水瓶,re'shui'ping
热水瓶脾气,re'shui'ping'pi'qi
热水瓶上系索子,re'shui'ping'shang'xi'suo'zi
热蹄子马,re'ti'zi'ma
热窝炒豆子,re'wo'chao'dou'zi
热中送扇雪中送炭,re'zhong'song'shan'xue'zhong'song'tan
人把狗咬死了,ren'ba'gou'yao'si'le
人才市场填个表,ren'cai'shi'chang'tian'ge'biao
人到矮檐下,ren'dao'ai'yan'xia
人到古稀穿花衣,ren'dao'gu'xi'chuan'hua'yi
人各有志,ren'ge'you'zhi
人急跳窗户,ren'ji'tiao'chuang'hu
人老心不老,ren'lao'xin'bu'lao
人面鬼心,ren'mian'gui'xin
任人摆布,ren'ren'bai'bu
任人解剖,ren'ren'jie'pou
忍痛图好看,ren'tong'tu'hao'kan
人熊家伙笨,ren'xiong'jia'huo'ben
人在屋檐下,ren'zai'wu'yan'xia
人在心不在,ren'zai'xin'bu'zai
人造牛黄,ren'zao'niu'huang
任重道远,ren'zhong'dao'yuan
人走家散,ren'zou'jia'san
扔下讨饭篮打乞丐,reng'xia'tao'fan'lan'da'qi'gai
扔下铁锤拿灯草,reng'xia'tie'chui'na'deng'cao
日出西山水倒流,ri'chu'xi'shan'shui'dao'liu
日落西山,ri'luo'xi'shan
日子难过,ri'zi'nan'guo
容不得半点火垦,rong'bu'de'ban'dian'huo'ken
绒毛鸭子刚下水,rong'mao'ya'zi'gang'xia'shui
绒球打脸,rong'qiu'da'lian
绒球打锣,rong'qiu'da'luo
肉案上的买卖,rou'an'shang'de'mai'mai
肉包子打狗,rou'bao'zi'da'gou
肉骨头擂大鼓,rou'gu'tou'lei'da'gu
肉骨头落了锅,rou'gu'tou'luo'le'guo
肉锅里煮元宵,rou'guo'li'zhu'yuan'xiao
