阿方索三世,a'fang'suo'san'shi
政府干预,zheng'fu'gan'yu
正式颁布,zheng'shi'ban'bu
正式建交,zheng'shi'jian'jiao
正式生效,zheng'shi'sheng'xiao
政治地位,zheng'zhi'di'wei
政治对手,zheng'zhi'dui'shou
政治改革,zheng'zhi'gai'ge
政治革命,zheng'zhi'ge'ming
政治观念,zheng'zhi'guan'nian
政治上,zheng'zhi'shang
制定了,zhi'ding'le
至公元前,zhi'gong'yuan'qian
制衡力量,zhi'heng'li'liang
直接战争费用,zhi'jie'zhan'zheng'fei'yong
殖民地代表,zhi'min'di'dai'biao
殖民据点,zhi'min'ju'dian
殖民主义,zhi'min'zhu'yi
之孙,zhi'sun
制宪,zhi'xian
执政党,zhi'zheng'dang
执政官,zhi'zheng'guan
中产阶级,zhong'chan'jie'ji
重大利益,zhong'da'li'yi
中国北部,zhong'guo'bei'bu
中日和平友好条约,zhong'ri'he'ping'you'hao'tiao'yue
中日联合声明,zhong'ri'lian'he'sheng'ming
中日两国,zhong'ri'liang'guo
终身国家元首,zhong'shen'guo'jia'yuan'shou
种姓制度,zhong'xing'zhi'du
中亚大草原,zhong'ya'da'cao'yuan
中央集权君主制,zhong'yang'ji'quan'jun'zhu'zhi
中央权力,zhong'yang'quan'li
周边国家,zhou'bian'guo'jia
周王国,zhou'wang'guo
诸城邦,zhu'cheng'bang
逐渐成为,zhu'jian'cheng'wei
主权国家,zhu'quan'guo'jia
朱特人,zhu'te'ren
铸造货币,zhu'zao'huo'bi
主张建立,zhu'zhang'jian'li
专制天皇制,zhuan'zhi'tian'huang'zhi
专制制度,zhuan'zhi'zhi'du
资本主义世界,zi'ben'zhu'yi'shi'jie
资产阶级革命,zi'chan'jie'ji'ge'ming
自任,zi'ren
自由市场经济,zi'you'shi'chang'jing'ji
自治领,zi'zhi'ling
总贸易额,zong'mao'yi'e
最高权力,zui'gao'quan'li
最高苏维埃,zui'gao'su'wei'ai
最高执政官,zui'gao'zhi'zheng'guan
最后几块,zui'hou'ji'kuai
最早出现,zui'zao'chu'xian
做斗争,zuo'dou'zheng
坐落于,zuo'luo'yu
