阿,a
温有方,wen'you'fang
温正,wen'zheng
文醉翁,wen'zui'weng
窝阔台,wo'kuo'tai
吴柏英,wu'bai'ying
吴宝宇,wu'bao'yu
吴长风,wu'chang'feng
无常鬼,wu'chang'gui
无尘道人,wu'chen'dao'ren
无尘道长,wu'chen'dao'zhang
吴大鹏,wu'da'peng
吴道通,wu'dao'tong
武敦儒,wu'dun'ru
五符,wu'fu
无根道人,wu'gen'dao'ren
五姑,wu'gu
吴光胜,wu'guang'sheng
吴国栋,wu'guo'dong
吴劲草,wu'jing'cao
吴坎,wu'kan
乌老大,wu'lao'da
吴立身,wu'li'shen
吴良,wu'liang
武烈,wu'lie
吴领军,wu'ling'jun
吴六破,wu'liu'po
吴六奇,wu'liu'qi
武铭,wu'ming
吴平,wu'ping
吴青烈,wu'qing'lie
武青婴,wu'qing'ying
无青子,wu'qing'zi
吴三桂,wu'san'gui
武三娘,wu'san'niang
武三通,wu'san'tong
无色,wu'se
吴天德,wu'tian'de
乌旺阿普,wu'wang'a'pu
无相禅师,wu'xiang'chan'shi
武修文,wu'xiu'wen
无崖子,wu'ya'zi
吴应熊,wu'ying'xiong
吴祯,wu'zhen
吴之荣,wu'zhi'rong
西奥图三世,xi'ao'tu'san'shi
西宝,xi'bao
西华子,xi'hua'zi
西灵道人,xi'ling'dao'ren
西门观止,xi'men'guan'zhi
西夏宫女,xi'xia'gong'nv
奚长老,xi'zhang'lao
夏国相,xia'guo'xiang
侠客行,xia'ke'xing
夏老拳师,xia'lao'quan'shi
夏雪宜,xia'xue'yi
夏胄,xia'zhou
鲜于通,xian'yu'tong
向大年,xiang'da'nian
相国夫人,xiang'guo'fu'ren
向问天,xiang'wen'tian
项长老,xiang'zhang'lao
笑傲江湖,xiao'ao'jiang'hu
萧半和,xiao'ban'he
小棒头,xiao'bang'tou
小翠,xiao'cui
小凤,xiao'feng
小桂子,xiao'gui'zi
小虹,xiao'hong
小菊,xiao'ju
笑脸鬼,xiao'lian'gui
小玲,xiao'ling
小龙女,xiao'long'nv
小沙弥,xiao'sha'mi
小王将军,xiao'wang'jiang'jun
潇湘子,xiao'xiang'zi
小玄子,xiao'xuan'zi
逍遥子,xiao'yao'zi
萧远山,xiao'yuan'shan
小昭,xiao'zhao
萧中慧,xiao'zhong'hui
谢不当,xie'bu'dang
谢逊,xie'xun
谢烟客,xie'yan'ke
辛国梁,xin'guo'liang
辛然,xin'ran
辛双清,xin'shuang'qing
心溪,xin'xi
心砚,xin'yan
行痴,xing'chi
行颠,xing'dian
熊元献,xiong'yuan'xian
徐达,xu'da
徐天川,xu'tian'chuan
徐天宏,xu'tian'hong
许雪亭,xu'xue'ting
徐长老,xu'zhang'lao
徐铮,xu'zheng
虚竹,xu'zhu
许卓诚,xu'zhuo'cheng
玄慈,xuan'ci
玄寂,xuan'ji
玄苦,xuan'ku
玄难,xuan'nan
玄生,xuan'sheng
玄痛,xuan'tong
玄烨,xuan'ye
玄真道人,xuan'zhen'dao'ren
血刀老祖,xue'dao'lao'zu
薛公远,xue'gong'yuan
薛匠,xue'jiang
薛慕华,xue'mu'hua
薛鹊,xue'que
雪山飞狐,xue'shan'fei'hu
哑巴,ya'ba
哑婆婆,ya'po'po
哑梢公,ya'shao'gong
言伯乾,yan'bo'qian
言达平,yan'da'ping
颜恒,yan'heng
阎基,yan'ji
严妈妈,yan'ma'ma
严三星,yan'san'xing
阎世魁,yan'shi'kui
阎世章,yan'shi'zhang
杨宾,yang'bin
杨不悔,yang'bu'hui
杨成协,yang'cheng'xie
阳顶天,yang'ding'tian
杨夫人,yang'fu'ren
杨光,yang'guang
杨过,yang'guo
杨姐姐,yang'jie'jie
杨景亭,yang'jing'ting
杨康,yang'kang
杨莲亭,yang'lian'ting
杨鹏举,yang'peng'ju
杨铁心,yang'tie'xin
杨逍,yang'xiao
杨溢之,yang'yi'zhi
杨中慧,yang'zhong'hui
姚必达,yao'bi'da
姚伯当,yao'bo'dang
姚春,yao'chun
姚清泉,yao'qing'quan
叶长青,ye'chang'qing
叶二娘,ye'er'niang
耶律楚材,ye'lv'chu'cai
耶律洪基,ye'lv'hong'ji
耶律晋,ye'lv'jin
耶律莫哥,ye'lv'mo'ge
耶律涅鲁古,ye'lv'nie'lu'gu
耶律齐,ye'lv'qi
耶律燕,ye'lv'yan
耶律重元,ye'lv'zhong'yuan
易大彪,yi'da'biao
一灯大师,yi'deng'da'shi
易国梓,yi'guo'zi
仪和,yi'he
易吉,yi'ji
仪琳,yi'lin
仪清,yi'qing
易三娘,yi'san'niang
义生,yi'sheng
易师爷,yi'shi'ye
易堂主,yi'tang'zhu
倚天屠龙记,yi'tian'tu'long'ji
殷吉,yin'ji
殷锦,yin'jin
尹克西,yin'ke'xi
殷离,yin'li
殷梨亭,yin'li'ting
殷素素,yin'su'su
殷天正,yin'tian'zheng
殷无福,yin'wu'fu
殷无禄,yin'wu'lu
殷无寿,yin'wu'shou
殷野王,yin'ye'wang
尹章垓,yin'zhang'gai
尹志平,yin'zhi'ping
殷仲翔,yin'zhong'xiang
英颚,ying'e
应松,ying'song
英堂主,ying'tang'zhu
英长老,ying'zhang'lao
幽草,you'cao
尤得胜,you'de'sheng
游骥,you'ji
游驹,you'ju
右书僮,you'shu'tong
游坦之,you'tan'zhi
游迅,you'xun
于八,yu'ba
余沧海,yu'cang'hai
俞朝奉,yu'chao'feng
尉迟连,yu'chi'lian
俞岱岩,yu'dai'yan
鱼贩头子,yu'fan'tou'zi
于管家,yu'guan'jia
郁光标,yu'guang'biao
于光豪,yu'guang'hao
玉玑子,yu'ji'zi
俞连舟,yu'lian'zhou
玉林,yu'lin
玉灵道人,yu'ling'dao'ren
余婆婆,yu'po'po
玉磬子,yu'qing'zi
渔人,yu'ren
于人豪,yu'ren'hao
余人彦,yu'ren'yan
玉如意,yu'ru'yi
于嫂,yu'sao
于万亭,yu'wan'ting
玉音子,yu'yin'zi
余鱼同,yu'yu'tong
余兆兴,yu'zhao'xing
玉真子,yu'zhen'zi
玉钟子,yu'zhong'zi
元悲,yuan'bei
元澄道人,yuan'cheng'dao'ren
袁承志,yuan'cheng'zhi
袁夫人,yuan'fu'ren
缘根,yuan'gen
袁冠南,yuan'guan'nan
元广波,yuan'guang'bo
袁枚,yuan'mei
元伤,yuan'shang
袁士霄,yuan'shi'xiao
元痛,yuan'tong
圆心,yuan'xin
鸳鸯刀,yuan'yang'dao
圆业,yuan'ye
元义方,yuan'yi'fang
圆音,yuan'yin
圆真,yuan'zhen
袁紫衣,yuan'zi'yi
岳不群,yue'bu'qun
岳老三,yue'lao'san
岳灵珊,yue'ling'shan
云岛主,yun'dao'zhu
云鹤,yun'he
云强盗,yun'qiang'dao
云素梅,yun'su'mei
云中鹤,yun'zhong'he
札木合,zha'mu'he
摘星子,zhai'xing'zi
詹春,zhan'chun
展飞,zhan'fei
张,zhang
张阿生,zhang'a'sheng
张安官,zhang'an'guan
掌棒龙头,zhang'bang'long'tou
掌钵龙头,zhang'bo'long'tou
张朝唐,zhang'chao'tang
张春九,zhang'chun'jiu
张翠山,zhang'cui'shan
张淡月,zhang'dan'yue
张二叔,zhang'er'shu
张飞雄,zhang'fei'xiong
张夫人,zhang'fu'ren
张管家,zhang'guan'jia
章进,zhang'jin
张金鏊,zhang'jin'ao
张九,zhang'jiu
张君宝,zhang'jun'bao
张康,zhang'kang
张康年,zhang'kang'nian
章老三,zhang'lao'san
张妈,zhang'ma
张全祥,zhang'quan'xiang
张若谷,zhang'ruo'gu
张三,zhang'san
张三丰,zhang'san'feng
张十五,zhang'shi'wu
张松溪,zhang'song'xi
张无忌,zhang'wu'ji
张信,zhang'xin
张姓老者,zhang'xing'lao'zhe
张一氓,zhang'yi'mang
张勇,zhang'yong
张召重,zhang'zhao'zhong
张志光,zhang'zhi'guang
张中,zhang'zhong
张总管,zhang'zong'guan
赵半山,zhao'ban'shan
兆惠,zhao'hui
赵良栋,zhao'liang'dong
赵敏,zhao'min
赵齐贤,zhao'qi'xian
赵钱孙,zhao'qian'sun
照虚,zhao'xu
赵洵,zhao'xun
赵一伤,zhao'yi'shang
赵志敬,zhao'zhi'jing
者勒米,zhe'le'mi
哲罗星,zhe'luo'xing
震山子,zhen'shan'zi
郑板桥,zheng'ban'qiao
郑镖头,zheng'biao'tou
郑萼,zheng'e
郑光芝,zheng'guang'zhi
郑克爽,zheng'ke'shuang
郑七灭,zheng'qi'mie
郑起云,zheng'qi'yun
郑三娘,zheng'san'niang
郑长老,zheng'zhang'lao
执法长老,zhi'fa'zhang'lao
智光大师,zhi'guang'da'shi
止清,zhi'qing
钟阿四,zhong'a'si
钟灵,zhong'ling
中年武师,zhong'nian'wu'shi
钟四嫂,zhong'si'sao
钟万仇,zhong'wan'chou
钟小二,zhong'xiao'er
钟兆能,zhong'zhao'neng
钟兆文,zhong'zhao'wen
钟兆英,zhong'zhao'ying
钟镇,zhong'zhen
钟志灵,zhong'zhi'ling
周阿三,zhou'a'san
周伯通,zhou'bo'tong
周大奶奶,zhou'da'nai'nai
周颠,zhou'dian
周孤桐,zhou'gu'tong
周隆,zhou'long
周牧,zhou'mu
周圻,zhou'qi
周绮,zhou'qi
周铁鹤,zhou'tie'he
周威信,zhou'wei'xin
周五输,zhou'wu'shu
周英杰,zhou'ying'jie
周云阳,zhou'yun'yang
周芷若,zhou'zhi'ruo
周仲英,zhou'zhong'ying
诸保昆,zhu'bao'kun
祝镖头,zhu'biao'tou
朱长龄,zhu'chang'ling
朱丹臣,zhu'dan'chen
褚轰,zhu'hong
褚红柏,zhu'hong'bai
竹剑,zhu'jian
朱九真,zhu'jiu'zhen
褚万春,zhu'wan'chun
褚万里,zhu'wan'li
褚圆,zhu'yuan
朱元璋,zhu'yuan'zhang
朱子柳,zhu'zi'liu
朱祖荫,zhu'zu'yin
庄夫人,zhuang'fu'ren
庄廷龙,zhuang'ting'long
庄允城,zhuang'yun'cheng
庄铮,zhuang'zheng
卓不凡,zhuo'bu'fan
卓天雄,zhuo'tian'xiong
子聪,zi'cong
宗维侠,zong'wei'xia
宗雄,zong'xiong
宗赞王子,zong'zan'wang'zi
祖大寿,zu'da'shou
祖千秋,zu'qian'qiu
祖新,zu'xin
左冷禅,zuo'leng'chan
左书僮,zuo'shu'tong
左子穆,zuo'zi'mu
