阿贝比长原理,a'bei'bi'chang'yuan'li
登陆突击,deng'lu'tu'ji
登陆先遣支队,deng'lu'xian'qian'zhi'dui
登陆战斗,deng'lu'zhan'dou
登陆战役,deng'lu'zhan'yi
登陆作战,deng'lu'zuo'zhan
等偏摄影,deng'pian'she'ying
等齐斜面,deng'qi'xie'mian
等倾摄影,deng'qing'she'ying
等权代替法,deng'quan'dai'ti'fa
灯色,deng'se
登山家,deng'shan'jia
等设备,deng'she'bei
等深距,deng'shen'ju
等深线,deng'shen'xian
等速射,deng'su'she
灯塔,deng'ta
邓小平,deng'xiao'ping
等鱼雷,deng'yu'lei
等值灰度尺,deng'zhi'hui'du'chi
等值区域法,deng'zhi'qu'yu'fa
等值区域图,deng'zhi'qu'yu'tu
等值线地图,deng'zhi'xian'di'tu
等值线法,deng'zhi'xian'fa
灯桩,deng'zhuang
等组成的,deng'zu'cheng'de
堤坝施工测量,di'ba'shi'gong'ce'liang
底板测点,di'ban'ce'dian
地堡,di'bao
地爆连,di'bao'lian
地爆试验,di'bao'shi'yan
敌变我变,di'bian'wo'bian
地标,di'biao
地表移动观测站,di'biao'yi'dong'guan'ce'zhan
底部喷气,di'bu'pen'qi
底部喷气榴弹,di'bu'pen'qi'liu'dan
地产界测量,di'chan'jie'ce'liang
低潮适淹礁,di'chao'shi'yan'jiao
低潮线,di'chao'xian
地磁经纬仪,di'ci'jing'wei'yi
地磁仪,di'ci'yi
地带,di'dai
地道,di'dao
地道工事,di'dao'gong'shi
地道网,di'dao'wang
地道战,di'dao'zhan
地地导弹,di'di'dao'dan
地底点,di'di'dian
地地战略导弹部队训练,di'di'zhan'lue'dao'dan'bu'dui'xun'lian
地地战术导弹,di'di'zhan'shu'dao'dan
底点纬度,di'dian'wei'du
地段,di'duan
地段调理员,di'duan'tiao'li'yuan
第二次世界大战,di'er'ci'shi'jie'da'zhan
第二代理人,di'er'dai'li'ren
第二代伞兵伞,di'er'dai'san'bing'san
第二发,di'er'fa
第二方面军,di'er'fang'mian'jun
第二年就,di'er'nian'jiu
第二偏心率,di'er'pian'xin'lv
第二梯队,di'er'ti'dui
第二野战军,di'er'ye'zhan'jun
第二宇宙速度,di'er'yu'zhou'su'du
第二阵地,di'er'zhen'di
敌反坦克火器,di'fan'tan'ke'huo'qi
敌方,di'fang
地方部队,di'fang'bu'dui
地方军,di'fang'jun
地方时,di'fang'shi
敌防坦克障碍物,di'fang'tan'ke'zhang'ai'wu
地方武装,di'fang'wu'zhuang
地幅,di'fu
敌辐射袭击企图,di'fu'she'xi'ji'qi'tu
地固坐标系,di'gu'zuo'biao'xi
低轨道,di'gui'dao
帝国主义战争,di'guo'zhu'yi'zhan'zheng
敌后,di'hou
敌后观察射击,di'hou'guan'cha'she'ji
敌后游击战,di'hou'you'ji'zhan
敌后侦察,di'hou'zhen'cha
敌后作战,di'hou'zuo'zhan
敌化学袭击,di'hua'xue'xi'ji
底火,di'huo
敌火下,di'huo'xia
敌火下运动,di'huo'xia'yun'dong
地极,di'ji
地籍,di'ji
敌机,di'ji
地籍簿,di'ji'bu
地籍册,di'ji'ce
地籍测量,di'ji'ce'liang
敌基地,di'ji'di
地籍调查,di'ji'diao'cha
地籍更新,di'ji'geng'xin
地籍管理,di'ji'guan'li
敌机距离,di'ji'ju'li
地籍图,di'ji'tu
地基系统,di'ji'xi'tong
地籍修测,di'ji'xiu'ce
地籍制图,di'ji'zhi'tu
地极坐标系,di'ji'zuo'biao'xi
递减率,di'jian'lv
地角,di'jiao
低界,di'jie
地界测量,di'jie'ce'liang
抵近射击,di'jin'she'ji
敌进我进,di'jin'wo'jin
敌进我退,di'jin'wo'tui
地境,di'jing
抵抗,di'kang
低空,di'kong
低空爆炸,di'kong'bao'zha
地空导弹,di'kong'dao'dan
地空导弹兵,di'kong'dao'dan'bing
地空导弹兵训练,di'kong'dao'dan'bing'xun'lian
地空导弹兵战斗准备等级,di'kong'dao'dan'bing'zhan'dou'zhun'bei'deng'ji
地空导弹部队,di'kong'dao'dan'bu'dui
地空导弹发射架,di'kong'dao'dan'fa'she'jia
地空导弹发射区,di'kong'dao'dan'fa'she'qu
地空导弹发射阵地,di'kong'dao'dan'fa'she'zhen'di
地空导弹火力范围,di'kong'dao'dan'huo'li'fan'wei
地空导弹禁射区,di'kong'dao'dan'jin'she'qu
地空导弹杀伤概率,di'kong'dao'dan'sha'shang'gai'lv
地空导弹杀伤区,di'kong'dao'dan'sha'shang'qu
地空导弹射击指挥,di'kong'dao'dan'she'ji'zhi'hui
地空导弹责任射界,di'kong'dao'dan'ze'ren'she'jie
低空飞行,di'kong'fei'xing
低空飞行侦察,di'kong'fei'xing'zhen'cha
低空盲区,di'kong'mang'qu
低空目标,di'kong'mu'biao
地空通信,di'kong'tong'xin
地空协同作战区分空域,di'kong'xie'tong'zuo'zhan'qu'fen'kong'yu
地空协同作战区分目标,di'kong'xie'tong'zuo'zhan'qu'fen'mu'biao
地空协同作战区分区域,di'kong'xie'tong'zuo'zhan'qu'fen'qu'yu
地空协同作战区分时间,di'kong'xie'tong'zuo'zhan'qu'fen'shi'jian
低空性能,di'kong'xing'neng
地块测量,di'kuai'ce'liang
地雷,di'lei
地雷爆破,di'lei'bao'po
地雷爆破器材,di'lei'bao'po'qi'cai
地雷场,di'lei'chang
地类界图,di'lei'jie'tu
地雷群,di'lei'qun
地雷战,di'lei'zhan
地理格网,di'li'ge'wang
地理视距,di'li'shi'ju
地理图,di'li'tu
地理信息传输,di'li'xin'xi'chuan'shu
地理信息系统,di'li'xin'xi'xi'tong
地理要素,di'li'yao'su
地理坐标,di'li'zuo'biao
地理坐标参考系,di'li'zuo'biao'can'kao'xi
地貌,di'mao
地貌特征点,di'mao'te'zheng'dian
地貌图,di'mao'tu
地貌形态示量图,di'mao'xing'tai'shi'liang'tu
地面爆炸,di'mian'bao'zha
地面标识,di'mian'biao'zhi
地面导航设备,di'mian'dao'hang'she'bei
地面点的天文纬度呈,di'mian'dian'de'tian'wen'wei'du'cheng
地面电子侦察站,di'mian'dian'zi'zhen'cha'zhan
地面发射,di'mian'fa'she
地面风,di'mian'feng
地面核爆炸,di'mian'he'bao'zha
地面核试验,di'mian'he'shi'yan
地面机动发射,di'mian'ji'dong'fa'she
地面接收站,di'mian'jie'shou'zhan
地面立体测图仪,di'mian'li'ti'ce'tu'yi
地面盲区,di'mian'mang'qu
地面目标,di'mian'mu'biao
地面能见度,di'mian'neng'jian'du
地面炮兵,di'mian'pao'bing
地面炮兵群,di'mian'pao'bing'qun
地面炮兵声测侦察站,di'mian'pao'bing'sheng'ce'zhen'cha'zhan
地面气象观测,di'mian'qi'xiang'guan'ce
地面染毒,di'mian'ran'du
地面热像仪,di'mian're'xiang'yi
地面摄谱仪,di'mian'she'pu'yi
地面摄影测量,di'mian'she'ying'ce'liang
地面摄影机,di'mian'she'ying'ji
地面实况,di'mian'shi'kuang
地面询问机,di'mian'xun'wen'ji
地面遥测装置,di'mian'yao'ce'zhuang'zhi
地面站,di'mian'zhan
地面战斗阶段,di'mian'zhan'dou'jie'duan
地面障碍物所遮蔽的盲区,di'mian'zhang'ai'wu'suo'zhe'bi'de'mang'qu
地面照度,di'mian'zhao'du
地面照射率,di'mian'zhao'she'lv
地面照射率衰变规律,di'mian'zhao'she'lv'shuai'bian'gui'lv
地面侦察,di'mian'zhen'cha
地面指挥引导,di'mian'zhi'hui'yin'dao
地面作战,di'mian'zuo'zhan
地名,di'ming
地名标准化,di'ming'biao'zhun'hua
地名录,di'ming'lu
地名数据库,di'ming'shu'ju'ku
地名索引,di'ming'suo'yin
地名通名,di'ming'tong'ming
地名学,di'ming'xue
地名正名,di'ming'zheng'ming
地名转写,di'ming'zhuan'xie
底盘,di'pan
地炮,di'pao
敌炮,di'pao
地炮群,di'pao'qun
敌炮射程,di'pao'she'cheng
地炮阵地电话,di'pao'zhen'di'dian'hua
地炮阵地通话器,di'pao'zhen'di'tong'hua'qi
地炮指挥机,di'pao'zhi'hui'ji
敌疲我打,di'pi'wo'da
地平线摄影机,di'ping'xian'she'ying'ji
地平线像片,di'ping'xian'xiang'pian
敌前登陆,di'qian'deng'lu
地壳均衡,di'qiao'jun'heng
地壳均衡改正,di'qiao'jun'heng'gai'zheng
地壳形变观测,di'qiao'xing'bian'guan'ce
地倾斜观测,di'qing'xie'guan'ce
敌情侦察图,di'qing'zhen'cha'tu
地球,di'qiu
地球长半轴,di'qiu'chang'ban'zhou
地球磁极,di'qiu'ci'ji
地球定向参数,di'qiu'ding'xiang'can'shu
地球动力扁率,di'qiu'dong'li'bian'lv
地球动力因子,di'qiu'dong'li'yin'zi
地球短半轴,di'qiu'duan'ban'zhou
地球同步卫星,di'qiu'tong'bu'wei'xing
地球椭球,di'qiu'tuo'qiu
地球椭球扁率,di'qiu'tuo'qiu'bian'lv
地球位,di'qiu'wei
地球位数,di'qiu'wei'shu
地球位系数,di'qiu'wei'xi'shu
地球物理战,di'qiu'wu'li'zhan
地球形状,di'qiu'xing'zhuang
地球仪,di'qiu'yi
地球引力,di'qiu'yin'li
地球引力摄动,di'qiu'yin'li'she'dong
地球重力场模型,di'qiu'zhong'li'chang'mo'xing
地球资源卫星,di'qiu'zi'yuan'wei'xing
地球自转参数,di'qiu'zi'zhuan'can'shu
地球自转角速度,di'qiu'zi'zhuan'jiao'su'du
地球自转修正量,di'qiu'zi'zhuan'xiu'zheng'liang
地区,di'qu
敌区,di'qu
敌人,di'ren
第三代理人,di'san'dai'li'ren
第三发,di'san'fa
第三梯队,di'san'ti'dui
第三野战军,di'san'ye'zhan'jun
第三宇宙速度,di'san'yu'zhou'su'du
第三阵地,di'san'zhen'di
底色去除,di'se'qu'chu
底色增益,di'se'zeng'yi
低伸弹道,di'shen'dan'dao
地势图,di'shi'tu
低水桥,di'shui'qiao
第四次中东战争,di'si'ci'zhong'dong'zhan'zheng
第四方面军,di'si'fang'mian'jun
第四野战军,di'si'ye'zhan'jun
地速,di'su
地图,di'tu
地图比例尺,di'tu'bi'li'chi
地图编辑,di'tu'bian'ji
地图编印,di'tu'bian'yin
地图编制,di'tu'bian'zhi
地图标定,di'tu'biao'ding
地图表示法,di'tu'biao'shi'fa
地图标注式战斗命令,di'tu'biao'zhu'shi'zhan'dou'ming'ling
地图储备,di'tu'chu'bei
地图传输,di'tu'chuan'shu
地图叠置分析,di'tu'die'zhi'fen'xi
地图分类,di'tu'fen'lei
地图分析,di'tu'fen'xi
地图符号库,di'tu'fu'hao'ku
地图符号学,di'tu'fu'hao'xue
地图复杂性,di'tu'fu'za'xing
地图负载量,di'tu'fu'zai'liang
地图复制,di'tu'fu'zhi
地图感受,di'tu'gan'shou
地图更新,di'tu'geng'xin
地图供应,di'tu'gong'ying
地图集,di'tu'ji
地图集信息系统,di'tu'ji'xin'xi'xi'tong
地图利用,di'tu'li'yong
地图量算法,di'tu'liang'suan'fa
地图模型,di'tu'mo'xing
地图内容结构,di'tu'nei'rong'jie'gou
地图判读,di'tu'pan'du
地图评价,di'tu'ping'jia
地图潜信息,di'tu'qian'xin'xi
地图清晰性,di'tu'qing'xi'xing
地图色标,di'tu'se'biao
地图色谱,di'tu'se'pu
地图上所有辅助要素,di'tu'shang'suo'you'fu'zhu'yao'su
地图设计,di'tu'she'ji
地图数据结构,di'tu'shu'ju'jie'gou
地图数据库,di'tu'shu'ju'ku
地图数字化,di'tu'shu'zi'hua
地图投影,di'tu'tou'ying
地图图式,di'tu'tu'shi
地图显示,di'tu'xian'shi
地图信息,di'tu'xin'xi
地图信息系统,di'tu'xin'xi'xi'tong
地图学,di'tu'xue
地图研究法,di'tu'yan'jiu'fa
地图易读性,di'tu'yi'du'xing
地图印刷,di'tu'yin'shua
地图语法,di'tu'yu'fa
地图语言,di'tu'yu'yan
地图语义,di'tu'yu'yi
地图语用,di'tu'yu'yong
地图阅读,di'tu'yue'du
地图整饰,di'tu'zheng'shi
地图制图,di'tu'zhi'tu
地图制图软件,di'tu'zhi'tu'ruan'jian
地图制印,di'tu'zhi'yin
地图注记,di'tu'zhu'ji
地图注记式战斗命令,di'tu'zhu'ji'shi'zhan'dou'ming'ling
敌退我追,di'tui'wo'zhui
敌我,di'wo
敌我必争的要地,di'wo'bi'zheng'de'yao'di
敌我情况图,di'wo'qing'kuang'tu
敌我识别器,di'wo'shi'bie'qi
敌我双方,di'wo'shuang'fang
敌我态势,di'wo'tai'shi
地物,di'wu
地物波谱特性,di'wu'bo'pu'te'xing
地下管道,di'xia'guan'dao
地下管线测量,di'xia'guan'xian'ce'liang
地下河,di'xia'he
地下核爆炸,di'xia'he'bao'zha
地下核试验,di'xia'he'shi'yan
地下化,di'xia'hua
地下化建设,di'xia'hua'jian'she
地下机动发射,di'xia'ji'dong'fa'she
地下建筑物,di'xia'jian'zhu'wu
地下设施,di'xia'she'shi
地下铁道测量,di'xia'tie'dao'ce'liang
地下油库测量,di'xia'you'ku'ce'liang
地线,di'xian
地心经度,di'xin'jing'du
地心纬度,di'xin'wei'du
地心引力常数,di'xin'yin'li'chang'shu
地心坐标系,di'xin'zuo'biao'xi
地形,di'xing
地形测量,di'xing'ce'liang
地形等高线匹配制导,di'xing'deng'gao'xian'pi'pei'zhi'dao
地形底图,di'xing'di'tu
地形方位,di'xing'fang'wei
地形改正,di'xing'gai'zheng
地形控制点,di'xing'kong'zhi'dian
地形略图,di'xing'lue'tu
地形判读,di'xing'pan'du
地形匹配制导,di'xing'pi'pei'zhi'dao
地形倾斜角,di'xing'qing'xie'jiao
地形数据库,di'xing'shu'ju'ku
地形图,di'xing'tu
地形图分幅编号,di'xing'tu'fen'fu'bian'hao
地形图更新,di'xing'tu'geng'xin
地形图图式,di'xing'tu'tu'shi
地形要素,di'xing'yao'su
地形要图,di'xing'yao'tu
地形侦察,di'xing'zhen'cha
第一次世界大战,di'yi'ci'shi'jie'da'zhan
第一代理人,di'yi'dai'li'ren
第一发,di'yi'fa
第一方面军,di'yi'fang'mian'jun
第一偏心率,di'yi'pian'xin'lv
第一梯队,di'yi'ti'dui
第一野战军,di'yi'ye'zhan'jun
第一宇宙速度,di'yi'yu'zhou'su'du
第一阵地,di'yi'zhen'di
地域,di'yu
地域防空,di'yu'fang'kong
地狱守卫犬,di'yu'shou'wei'quan
抵御外来侵略,di'yu'wai'lai'qin'lue
地域消毒,di'yu'xiao'du
地域侦察,di'yu'zhen'cha
敌则能战之,di'ze'neng'zhan'zhi
地战,di'zhan
地者,di'zhe
地震波探测,di'zhen'bo'tan'ce
地震台精密测量,di'zhen'tai'jing'mi'ce'liang
底质,di'zhi
底质采样,di'zhi'cai'yang
地质测量,di'zhi'ce'liang
地质点测量,di'zhi'dian'ce'liang
底质调查,di'zhi'diao'cha
底质分布图,di'zhi'fen'bu'tu
地质略图,di'zhi'lue'tu
地质剖面测量,di'zhi'pou'mian'ce'liang
地质剖面图,di'zhi'pou'mian'tu
地中海,di'zhong'hai
地轴,di'zhou
敌驻我扰,di'zhu'wo'rao
低阻,di'zu
低阻榴弹,di'zu'liu'dan
低阻弹,di'zu'tan
电报,dian'bao
电报等级,dian'bao'deng'ji
电报机,dian'bao'ji
电报交换机,dian'bao'jiao'huan'ji
电报全程预告,dian'bao'quan'cheng'yu'gao
电报数据,dian'bao'shu'ju
电报数据集中站,dian'bao'shu'ju'ji'zhong'zhan
电报数据自动交换,dian'bao'shu'ju'zi'dong'jiao'huan
电报通信,dian'bao'tong'xin
电报网,dian'bao'wang
电报站,dian'bao'zhan
奠边府,dian'bian'fu
奠边府战役,dian'bian'fu'zhan'yi
电场强度,dian'chang'qiang'du
电磁波测距,dian'ci'bo'ce'ju
电磁波测距仪,dian'ci'bo'ce'ju'yi
电磁波吸收材料,dian'ci'bo'xi'shou'cai'liao
电磁辐射,dian'ci'fu'she
电磁辐射源,dian'ci'fu'she'yuan
电磁轨道炮,dian'ci'gui'dao'pao
电磁脉冲,dian'ci'mai'chong
电磁脉冲探测,dian'ci'mai'chong'tan'ce
电磁脉冲武器,dian'ci'mai'chong'wu'qi
电动鱼雷,dian'dong'yu'lei
电发,dian'fa
点方式,dian'fang'shi
点防御,dian'fang'yu
电杆,dian'gan
电荷耦合器件,dian'he'ou'he'qi'jian
殿后舰,dian'hou'jian
电话,dian'hua
电话保密设备,dian'hua'bao'mi'she'bei
电话等级,dian'hua'deng'ji
电化教学,dian'hua'jiao'xue
电话网,dian'hua'wang
电话站,dian'hua'zhan
点火,dian'huo
点火按钮,dian'huo'an'niu
点火法,dian'huo'fa
点火管,dian'huo'guan
点火机,dian'huo'ji
点火站,dian'huo'zhan
电解液活化,dian'jie'ye'huo'hua
电缆,dian'lan
电缆线路,dian'lan'xian'lu
电雷管,dian'lei'guan
电离层探测卫星,dian'li'ceng'tan'ce'wei'xing
电离层折射改正,dian'li'ceng'zhe'she'gai'zheng
点目标,dian'mu'biao
电脑数据自动交换网,dian'nao'shu'ju'zi'dong'jiao'huan'wang
点射,dian'she
电视,dian'shi
电视导引头,dian'shi'dao'yin'tou
电视寻的制导,dian'shi'xun'de'zhi'dao
电视侦察,dian'shi'zhen'cha
电视侦收,dian'shi'zhen'shou
电视制导,dian'shi'zhi'dao
电视制导炸弹,dian'shi'zhi'dao'zha'dan
电视指令制导,dian'shi'zhi'ling'zhi'dao
电算加密,dian'suan'jia'mi
电台,dian'tai
电网,dian'wang
点位中误差,dian'wei'zhong'wu'cha
电文,dian'wen
点下对中,dian'xia'dui'zhong
电信设备,dian'xin'she'bei
典型图形平差,dian'xing'tu'xing'ping'cha
典型战例,dian'xing'zhan'li
点验,dian'yan
电源配套,dian'yuan'pei'tao
电源配套系统,dian'yuan'pei'tao'xi'tong
电源设备,dian'yuan'she'bei
点值法,dian'zhi'fa
点之记,dian'zhi'ji
电指向,dian'zhi'xiang
点状符号,dian'zhuang'fu'hao
电子测距仪,dian'zi'ce'ju'yi
电子出版系统,dian'zi'chu'ban'xi'tong
电子地图集,dian'zi'de'tu'ji
电子地图,dian'zi'di'tu
电子对抗,dian'zi'dui'kang
电子对抗保障计划,dian'zi'dui'kang'bao'zhang'ji'hua
电子对抗飞机,dian'zi'dui'kang'fei'ji
电子对抗模拟试验场,dian'zi'dui'kang'mo'ni'shi'yan'chang
电子对抗演习,dian'zi'dui'kang'yan'xi
电子防御,dian'zi'fang'yu
电子分色机,dian'zi'fen'se'ji
电子干扰,dian'zi'gan'rao
电子干扰飞机,dian'zi'gan'rao'fei'ji
电子干扰机,dian'zi'gan'rao'ji
电子干扰设备,dian'zi'gan'rao'she'bei
电子干扰艇,dian'zi'gan'rao'ting
电子干扰装置,dian'zi'gan'rao'zhuang'zhi
电子告警,dian'zi'gao'jing
电子告警设备,dian'zi'gao'jing'she'bei
电子海图数据库,dian'zi'hai'tu'shu'ju'ku
电子计算机,dian'zi'ji'suan'ji
电子计算机程序设计,dian'zi'ji'suan'ji'cheng'xu'she'ji
电子经纬仪,dian'zi'jing'wei'yi
电子密码机,dian'zi'mi'ma'ji
电子平板仪,dian'zi'ping'ban'yi
电子求积仪,dian'zi'qiu'ji'yi
电子手簿,dian'zi'shou'bu
电子水准仪,dian'zi'shui'zhun'yi
电子速测仪,dian'zi'su'ce'yi
电子外弹道测量,dian'zi'wai'dan'dao'ce'liang
电子显微摄影测量,dian'zi'xian'wei'she'ying'ce'liang
电子相关,dian'zi'xiang'guan
电子信息装备,dian'zi'xin'xi'zhuang'bei
电子印像机,dian'zi'yin'xiang'ji
电子诱饵,dian'zi'you'er
电子预警,dian'zi'yu'jing
电子预警机,dian'zi'yu'jing'ji
电子战训练,dian'zi'zhan'xun'lian
电子侦察,dian'zi'zhen'cha
电子侦察船,dian'zi'zhen'cha'chuan
电子侦察飞机,dian'zi'zhen'cha'fei'ji
电子侦察卫星,dian'zi'zhen'cha'wei'xing
电子侦察装置,dian'zi'zhen'cha'zhuang'zhi
碉堡,diao'bao
吊臂,diao'bi
掉刀,diao'dao
调防,diao'fang
吊放式,diao'fang'shi
雕花柄大马士革猎,diao'hua'bing'da'ma'shi'ge'lie
吊架,diao'jia
吊桥,diao'qiao
叠标线,die'biao'xian
叠幅,die'fu
叠加,die'jia
叠伞,die'san
叠印,die'yin
叠栅条纹图,die'zha'tiao'wen'tu
顶板测点,ding'ban'ce'dian
定编,ding'bian
定程保养,ding'cheng'bao'yang
定点保障,ding'dian'bao'zhang
定点加油,ding'dian'jia'you
定点修理,ding'dian'xiu'li
定点掩护,ding'dian'yan'hu
定光,ding'guang
定角度发射式,ding'jiao'du'fa'she'shi
顶空,ding'kong
顶空盲区,ding'kong'mang'qu
定偏,ding'pian
定秦,ding'qin
定深,ding'shen
定深扫海,ding'shen'sao'hai
定时地雷,ding'shi'de'lei
定时开机值班,ding'shi'kai'ji'zhi'ban
定时守听,ding'shi'shou'ting
定时炸弹,ding'shi'zha'dan
定位,ding'wei
定位标记,ding'wei'biao'ji
定位点间距,ding'wei'dian'jian'ju
定位检索,ding'wei'jian'suo
定位精度方位角,ding'wei'jing'du'fang'wei'jiao
定位雷达,ding'wei'lei'da
定位统计图表法,ding'wei'tong'ji'tu'biao'fa
定下决心,ding'xia'jue'xin
定线测量,ding'xian'ce'liang
定向爆破,ding'xiang'bao'po
定向地雷,ding'xiang'di'lei
定向点,ding'xiang'dian
定向连接测量,ding'xiang'lian'jie'ce'liang
定向连接点,ding'xiang'lian'jie'dian
定向能武器,ding'xiang'neng'wu'qi
定向器,ding'xiang'qi
定向台,ding'xiang'tai
定向天线,ding'xiang'tian'xian
定向运动地图,ding'xiang'yun'dong'di'tu
定性检索,ding'xing'jian'suo
定义在,ding'yi'zai
定影,ding'ying
订制版双刃快开,ding'zhi'ban'shuang'ren'kuai'kai
丢失目标,diu'shi'mu'biao
东北军区,dong'bei'jun'qu
东北抗日联军,dong'bei'kang'ri'lian'jun
东北野战军,dong'bei'ye'zhan'jun
动磁引信,dong'ci'yin'xin
动磁引信水雷,dong'ci'yin'xin'shui'lei
动感,dong'gan
动高度截击,dong'gao'du'jie'ji
动画引导,dong'hua'yin'dao
动画制图,dong'hua'zhi'tu
动力传动部分,dong'li'chuan'dong'bu'fen
动力大地测量学,dong'li'da'di'ce'liang'xue
动力飞行伞,dong'li'fei'xing'san
动力高度,dong'li'gao'du
动力伞,dong'li'san
动力升限,dong'li'sheng'xian
动力室,dong'li'shi
动力舟,dong'li'zhou
动力装置,dong'li'zhuang'zhi
动能武器,dong'neng'wu'qi
动升限,dong'sheng'xian
峒室爆破,dong'shi'bao'po
动态变量,dong'tai'bian'liang
动态地景仿真,dong'tai'de'jing'fang'zhen
动态地图,dong'tai'di'tu
动态定位,dong'tai'ding'wei
动态遥感器,dong'tai'yao'gan'qi
东条英机,dong'tiao'ying'ji
东西星等高测时法,dong'xi'xing'deng'gao'ce'shi'fa
冬用驻锄,dong'yong'zhu'chu
动员,dong'yuan
动员机构,dong'yuan'ji'gou
动员计划,dong'yuan'ji'hua
动员令,dong'yuan'ling
动作拉力,dong'zuo'la'li
动作绕圈,dong'zuo'rao'quan
动作压力,dong'zuo'ya'li
动作要领,dong'zuo'yao'ling
都曾,dou'ceng
兜击,dou'ji
都是枪术,dou'shi'qiang'shu
陡石山,dou'shi'shan
都娴武艺,dou'xian'wu'yi
陡崖,dou'ya
都在,dou'zai
渡场,du'chang
渡场长,du'chang'chang
渡场撤收,du'chang'che'shou
渡场出发线,du'chang'chu'fa'xian
渡场救护打捞站,du'chang'jiu'hu'da'lao'zhan
渡场勤务,du'chang'qin'wu
渡场水上巡逻队,du'chang'shui'shang'xun'luo'dui
渡场调整哨,du'chang'tiao'zheng'shao
渡场指挥所,du'chang'zhi'hui'suo
杜德森常数,du'de'sen'chang'shu
毒害,du'hai
毒害剂量,du'hai'ji'liang
渡海作战,du'hai'zuo'zhan
渡河,du'he
渡河地段,du'he'di'duan
渡河地区,du'he'di'qu
渡河点,du'he'dian
渡河机械,du'he'ji'xie
渡河架桥机械,du'he'jia'qiao'ji'xie
渡河检查站,du'he'jian'cha'zhan
渡河器材,du'he'qi'cai
渡河器材集结场,du'he'qi'cai'ji'jie'chang
堵击,du'ji
毒剂,du'ji
毒剂报警器,du'ji'bao'jing'qi
毒剂持久度,du'ji'chi'jiu'du
毒剂地雷,du'ji'di'lei
毒剂扩散,du'ji'kuo'san
毒剂扩散界,du'ji'kuo'san'jie
毒剂袭击,du'ji'xi'ji
毒剂性质,du'ji'xing'zhi
毒剂液滴持久度,du'ji'ye'di'chi'jiu'du
毒剂云团,du'ji'yun'tuan
毒剂种类,du'ji'zhong'lei
堵歼,du'jian
渡江,du'jiang
渡江河进攻,du'jiang'he'jin'gong
渡江战役,du'jiang'zhan'yi
渡口,du'kou
独立大队,du'li'da'dui
独立刀匠,du'li'dao'jiang
独立地物,du'li'di'wu
独立房屋,du'li'fang'wu
独立工程兵,du'li'gong'cheng'bing
独立交会高程点,du'li'jiao'hui'gao'cheng'dian
独立坦克修理营,du'li'tan'ke'xiu'li'ying
独立自由勋章,du'li'zi'you'xun'zhang
独立坐标系,du'li'zuo'biao'xi
独立作战,du'li'zuo'zhan
度盘,du'pan
毒区,du'qu
毒区边界,du'qu'bian'jie
毒伤,du'shang
毒伤急救,du'shang'ji'jiu
读史方舆纪要,du'shi'fang'yu'ji'yao
毒袭区,du'xi'qu
度斜坡,du'xie'po
毒性,du'xing
毒烟施放器材,du'yan'shi'fang'qi'cai
杜聿明,du'yu'ming
端保险道,duan'bao'xian'dao
短兵火力,duan'bing'huo'li
短柄双锤,duan'bing'shuang'chui
短兵相接,duan'bing'xiang'jie
短波,duan'bo
短波通信,duan'bo'tong'xin
短波无线电通信,duan'bo'wu'xian'dian'tong'xin
断敌退路,duan'di'tui'lu
短点射,duan'dian'she
短洞,duan'dong
短后座,duan'hou'zuo
端净空区,duan'jing'kong'qu
短距,duan'ju
短距出击,duan'ju'chu'ji
短距起落,duan'ju'qi'luo
短距起落飞机,duan'ju'qi'luo'fei'ji
断绝地,duan'jue'di
短款三棱刺刀,duan'kuan'san'leng'ci'dao
断路器,duan'lu'qi
断面仪,duan'mian'yi
端末调理员,duan'mo'tiao'li'yuan
短枪管,duan'qiang'guan
短时间内,duan'shi'jian'nei
断水,duan'shui
短停,duan'ting
短停顿射击,duan'ting'dun'she'ji
短停射击,duan'ting'she'ji
断崖,duan'ya
短延期,duan'yan'qi
短延期引信,duan'yan'qi'yin'xin
对波长,dui'bo'chang
对称电缆线路,dui'chen'dian'lan'xian'lu
对刺,dui'ci
对刺基本动作,dui'ci'ji'ben'dong'zuo
对单个目标的歼灭射击,dui'dan'ge'mu'biao'de'jian'mie'she'ji
对德作战,dui'de'zuo'zhan
对飞机射击,dui'fei'ji'she'ji
对固定目标,dui'gu'ding'mu'biao
对孤立薄弱据点之敌的进攻战斗,dui'gu'li'bo'ruo'ju'dian'zhi'di'de'jin'gong'zhan'dou
对海警戒雷达,dui'hai'jing'jie'lei'da
对海面观察,dui'hai'mian'guan'cha
对海搜索雷达,dui'hai'sou'suo'lei'da
对壕作业,dui'hao'zuo'ye
对活动目标,dui'huo'dong'mu'biao
堆积式工事,dui'ji'shi'gong'shi
对坚固阵地防御之敌的进攻战斗,dui'jian'gu'zhen'di'fang'yu'zhi'di'de'jin'gong'zhan'dou
对进突击,dui'jin'tu'ji
对景图,dui'jing'tu
对抗模拟技术,dui'kang'mo'ni'ji'shu
对抗射击,dui'kang'she'ji
对抗声纳,dui'kang'sheng'na
对抗演习,dui'kang'yan'xi
对空防御,dui'kong'fang'yu
对空观察哨,dui'kong'guan'cha'shao
对空观察哨报知通信,dui'kong'guan'cha'shao'bao'zhi'tong'xin
对空观察哨网,dui'kong'guan'cha'shao'wang
对空火力,dui'kong'huo'li
对空警戒,dui'kong'jing'jie
