阿贝尔,a'bei'er
平面设计,ping'mian'she'ji
平面直角坐标系,ping'mian'zhi'jiao'zuo'biao'xi
平行,ping'xing
平行公理,ping'xing'gong'li
平行六面体,ping'xing'liu'mian'ti
平行四边形,ping'xing'si'bian'xing
平行四边形的判定,ping'xing'si'bian'xing'de'pan'ding
平行四边形法则,ping'xing'si'bian'xing'fa'ze
平行线,ping'xing'xian
平行移动,ping'xing'yi'dong
平移,ping'yi
七边形,qi'bian'xing
齐次方程,qi'ci'fang'cheng
期望,qi'wang
切点,qie'dian
切面,qie'mian
切线,qie'xian
切线法,qie'xian'fa
切线方程,qie'xian'fang'cheng
