岸礁,an'jiao
判读标志,pan'du'biao'zhi
抛物线形沙丘,pao'wu'xian'xing'sha'qiu
盆地,pen'di
喷发,pen'fa
棚户区,peng'hu'qu
片蚀,pian'shi
漂砾,piao'li
贫民区,pin'min'qu
贫营养沼泽,pin'ying'yang'zhao'ze
平顶海山,ping'ding'hai'shan
平均海平面,ping'jun'hai'ping'mian
平原,ping'yuan
平原沼泽,ping'yuan'zhao'ze
坡地,po'di
坡度,po'du
坡积物,po'ji'wu
坡面流,po'mian'liu
坡水堆积物,po'shui'dui'ji'wu
坡向,po'xiang
瀑布,pu'bu
普那草原,pu'na'cao'yuan
普通地理图,pu'tong'di'li'tu
普通地理学,pu'tong'di'li'xue
普通地图,pu'tong'di'tu
普通地图集,pu'tong'di'tu'ji
普通地图学,pu'tong'di'tu'xue
普通自然地理学,pu'tong'zi'ran'di'li'xue
气候,qi'hou
气候变迁,qi'hou'bian'qian
气候带,qi'hou'dai
气候地貌学,qi'hou'di'mao'xue
气候分类,qi'hou'fen'lei
气候区,qi'hou'qu
气候区划,qi'hou'qu'hua
气候系统,qi'hou'xi'tong
气候型,qi'hou'xing
气候学,qi'hou'xue
气候灾害,qi'hou'zai'hai
气候志,qi'hou'zhi
气候资源,qi'hou'zi'yuan
气象卫星,qi'xiang'wei'xing
潜能模式,qian'neng'mo'shi
潜蚀作用,qian'shi'zuo'yong
迁徙耕作,qian'xi'geng'zuo
迁移扩散,qian'yi'kuo'san
侵蚀,qin'shi
侵蚀基准面,qin'shi'ji'zhun'mian
侵蚀面,qin'shi'mian
侵蚀循环,qin'shi'xun'huan
丘陵,qiu'ling
区划,qu'hua
区划图,qu'hua'tu
曲流,qu'liu
区位理论,qu'wei'li'lun
区位三角形,qu'wei'san'jiao'xing
区位商,qu'wei'shang
区位系数,qu'wei'xi'shu
区位因子,qu'wei'yin'zi
区域,qu'yu
区域地理学,qu'yu'di'li'xue
区域地图集,qu'yu'di'tu'ji
区域分析,qu'yu'fen'xi
区域分异,qu'yu'fen'yi
区域规划,qu'yu'gui'hua
区域环境,qu'yu'huan'jing
区域经济地理学,qu'yu'jing'ji'di'li'xue
区域开发,qu'yu'kai'fa
区域科学,qu'yu'ke'xue
区域历史地理,qu'yu'li'shi'di'li
区域气候,qu'yu'qi'hou
区域系统,qu'yu'xi'tong
泉华沉积,quan'hua'chen'ji
全球性海面升降,quan'qiu'xing'hai'mian'sheng'jiang
群丛,qun'cong
群岛,qun'dao
群落生境,qun'luo'sheng'jing
群系,qun'xi
壤中流,rang'zhong'liu
热带,re'dai
热带雨林气候,re'dai'yu'lin'qi'hou
热害,re'hai
热红外遥感,re'hong'wai'yao'gan
热湖,re'hu
热喀斯特,re'ka'si'te
热喀斯特湖,re'ka'si'te'hu
热水平衡,re'shui'ping'heng
人本主义地理学,ren'ben'zhu'yi'di'li'xue
人地关系,ren'di'guan'xi
人工地貌,ren'gong'di'mao
人工湖,ren'gong'hu
刃脊,ren'ji
人口地理学,ren'kou'di'li'xue
人口结构,ren'kou'jie'gou
人口零增长,ren'kou'ling'zeng'zhang
人口密度,ren'kou'mi'du
人口平衡,ren'kou'ping'heng
人口信息系统,ren'kou'xin'xi'xi'tong
人口压力,ren'kou'ya'li
人口总出生率,ren'kou'zong'chu'sheng'lv
人口总死亡率,ren'kou'zong'si'wang'lv
人口组成,ren'kou'zu'cheng
人类地理学,ren'lei'di'li'xue
人类生态学,ren'lei'sheng'tai'xue
人文地理学,ren'wen'di'li'xue
人种地理学,ren'zhong'di'li'xue
日界线,ri'jie'xian
溶斗,rong'dou
溶沟,rong'gou
融化指数,rong'hua'zhi'shu
溶蚀,rong'shi
溶蚀谷,rong'shi'gu
溶蚀盆,rong'shi'pen
融土,rong'tu
融雪径流,rong'xue'jing'liu
熔岩流,rong'yan'liu
入渗,ru'shen
萨瓦纳,sa'wa'na
萨瓦纳气候,sa'wa'na'qi'hou
三角洲,san'jiao'zhou
三维地带性,san'wei'di'dai'xing
三维图程序,san'wei'tu'cheng'xu
森林草原,sen'lin'cao'yuan
森林气候,sen'lin'qi'hou
森林上限,sen'lin'shang'xian
森林水文学,sen'lin'shui'wen'xue
森林土壤,sen'lin'tu'rang
沙暴,sha'bao
沙垅,sha'long
沙漠,sha'mo
沙漠历史地理,sha'mo'li'shi'di'li
沙丘,sha'qiu
沙嘴,sha'zui
山,shan
山地,shan'di
山地气候,shan'di'qi'hou
山地沼泽,shan'di'zhao'ze
山顶面,shan'ding'mian
山峰,shan'feng
山谷风,shan'gu'feng
珊瑚礁,shan'hu'jiao
山间盆地,shan'jian'pen'di
山麓,shan'lu
山麓堆积,shan'lu'dui'ji
山麓平原,shan'lu'ping'yuan
山麓侵蚀面,shan'lu'qin'shi'mian
山麓侵蚀平原,shan'lu'qin'shi'ping'yuan
山脉,shan'mai
山体效应,shan'ti'xiao'ying
山形,shan'xing
扇形论,shan'xing'lun
山岳冰川,shan'yue'bing'chuan
山志,shan'zhi
山嘴,shan'zui
商路,shang'lu
商品经济,shang'pin'jing'ji
商品性农业,shang'pin'xing'nong'ye
商品性生产基地,shang'pin'xing'sheng'chan'ji'di
商业地理学,shang'ye'di'li'xue
商业区,shang'ye'qu
商业网布局,shang'ye'wang'bu'ju
商业中心,shang'ye'zhong'xin
社会地理学,she'hui'di'li'xue
社会环境,she'hui'huan'jing
社会效益,she'hui'xiao'yi
社区,she'qu
深层地下水,shen'ceng'di'xia'shui
生产布局,sheng'chan'bu'ju
生产地理学,sheng'chan'di'li'xue
生产地域综合体,sheng'chan'di'yu'zong'he'ti
生产力布局,sheng'chan'li'bu'ju
生产专业化,sheng'chan'zhuan'ye'hua
生存空间,sheng'cun'kong'jian
生活型,sheng'huo'xing
生活型谱,sheng'huo'xing'pu
生境,sheng'jing
生命承载能力,sheng'ming'cheng'zai'neng'li
声纳遥感,sheng'na'yao'gan
生态地段,sheng'tai'di'duan
生态地理学,sheng'tai'di'li'xue
生态点,sheng'tai'dian
生态平衡,sheng'tai'ping'heng
生态区,sheng'tai'qu
生态区域,sheng'tai'qu'yu
生态系统,sheng'tai'xi'tong
生态小区,sheng'tai'xiao'qu
生态效益,sheng'tai'xiao'yi
生物地理群落,sheng'wu'di'li'qun'luo
生物地理学,sheng'wu'di'li'xue
生物分布,sheng'wu'fen'bu
生物分布学,sheng'wu'fen'bu'xue
生物风化作用,sheng'wu'feng'hua'zuo'yong
生物迁移,sheng'wu'qian'yi
生物圈,sheng'wu'quan
生物群,sheng'wu'qun
生物资源保护,sheng'wu'zi'yuan'bao'hu
生源景观,sheng'yuan'jing'guan
识别模式,shi'bie'mo'shi
市场,shi'chang
市场导向工业,shi'chang'dao'xiang'gong'ye
湿地,shi'di
湿害,shi'hai
石灰华,shi'hui'hua
时间分辨率,shi'jian'fen'bian'lv
世界地图集,shi'jie'di'tu'ji
石林,shi'lin
视频分类,shi'pin'fen'lei
时区,shi'qu
湿润气候,shi'run'qi'hou
湿生植物,shi'sheng'zhi'wu
市中心,shi'zhong'xin
氏族聚落,shi'zu'ju'luo
首都,shou'du
首位城市,shou'wei'cheng'shi
首位度,shou'wei'du
竖井,shu'jing
数量地理学,shu'liang'di'li'xue
数量底色法,shu'liang'di'se'fa
枢纽,shu'niu
枢纽区,shu'niu'qu
输沙能力,shu'sha'neng'li
树线,shu'xian
数字编码,shu'zi'bian'ma
数字地图,shu'zi'di'tu
数字地形模型,shu'zi'di'xing'mo'xing
数字滤波,shu'zi'lv'bo
数字图象处理,shu'zi'tu'xiang'chu'li
数字图象镶嵌,shu'zi'tu'xiang'xiang'qian
数字相关法,shu'zi'xiang'guan'fa
数字镶嵌,shu'zi'xiang'qian
衰落区,shuai'luo'qu
水产养殖基地,shui'chan'yang'zhi'ji'di
水成景观,shui'cheng'jing'guan
水道网,shui'dao'wang
水化学,shui'hua'xue
水力传导度,shui'li'chuan'dao'du
水利经济学,shui'li'jing'ji'xue
水力学,shui'li'xue
水量交换,shui'liang'jiao'huan
水面蒸发,shui'mian'zheng'fa
水能,shui'neng
水平地带,shui'ping'di'dai
水平地带性,shui'ping'di'dai'xing
水平衡,shui'ping'heng
水平降水,shui'ping'jiang'shui
水迁移,shui'qian'yi
水圈,shui'quan
水上景观,shui'shang'jing'guan
水生植物,shui'sheng'zhi'wu
水体,shui'ti
水土保持,shui'tu'bao'chi
水土流失,shui'tu'liu'shi
水团,shui'tuan
水位,shui'wei
水文测验,shui'wen'ce'yan
水文地理学,shui'wen'di'li'xue
水文过程,shui'wen'guo'cheng
水文情势,shui'wen'qing'shi
水文物理学,shui'wen'wu'li'xue
水文学,shui'wen'xue
水污染,shui'wu'ran
水下景观,shui'xia'jing'guan
水循环,shui'xun'huan
水俣病,shui'yu'bing
水灾,shui'zai
水质,shui'zhi
水资源,shui'zi'yuan
水资源保护,shui'zi'yuan'bao'hu
溯源堆积,su'yuan'dui'ji
溯源侵蚀,su'yuan'qin'shi
碎屑型风化壳,sui'xie'xing'feng'hua'qiao
苔草沼泽,tai'cao'zhao'ze
台地,tai'di
台风,tai'feng
泰加林,tai'jia'lin
太阳辐射,tai'yang'fu'she
苔原,tai'yuan
苔原气候,tai'yuan'qi'hou
滩地沼泽,tan'di'zhao'ze
滩脊,tan'ji
滩脊型潮滩,tan'ji'xing'chao'tan
滩脊型潮滩平原,tan'ji'xing'chao'tan'ping'yuan
掏蚀,tao'shi
天然堤,tian'ran'di
田园城市,tian'yuan'cheng'shi
统计地图,tong'ji'di'tu
通勤,tong'qin
通勤带,tong'qin'dai
痛痛病,tong'tong'bing
同心圆地带论,tong'xin'yuan'di'dai'lun
统一地理学,tong'yi'di'li'xue
投影变换,tou'ying'bian'huan
凸岸坝,tu'an'ba
土被,tu'bei
土地,tu'di
土地单元,tu'di'dan'yuan
土地分类,tu'di'fen'lei
土地改革,tu'di'gai'ge
土地改良,tu'di'gai'liang
土地功能,tu'di'gong'neng
土地管理,tu'di'guan'li
土地刻面,tu'di'ke'mian
土地类型,tu'di'lei'xing
土地利用,tu'di'li'yong
土地利用分类,tu'di'li'yong'fen'lei
土地利用类型,tu'di'li'yong'lei'xing
土地利用制度,tu'di'li'yong'zhi'du
土地能力,tu'di'neng'li
土地评价,tu'di'ping'jia
土地生产率,tu'di'sheng'chan'lv
土地生产能力,tu'di'sheng'chan'neng'li
土地适宜性,tu'di'shi'yi'xing
土地属性,tu'di'shu'xing
土地特性,tu'di'te'xing
土地系统,tu'di'xi'tong
土地限制性,tu'di'xian'zhi'xing
土地信息系统,tu'di'xin'xi'xi'tong
土地要素,tu'di'yao'su
土地质量,tu'di'zhi'liang
图例,tu'li
土链,tu'lian
图面自动注记,tu'mian'zi'dong'zhu'ji
土壤地理学,tu'rang'di'li'xue
土壤复区,tu'rang'fu'qu
土壤气候,tu'rang'qi'hou
土壤侵蚀,tu'rang'qin'shi
土壤圈,tu'rang'quan
土壤水,tu'rang'shui
土壤水文学,tu'rang'shui'wen'xue
土壤退化,tu'rang'tui'hua
土壤污染,tu'rang'wu'ran
土壤资源,tu'rang'zi'yuan
土壤组合,tu'rang'zu'he
土体蠕动,tu'ti'ru'dong
图象重叠,tu'xiang'chong'die
图象处理,tu'xiang'chu'li
图象复合,tu'xiang'fu'he
图象几何测定,tu'xiang'ji'he'ce'ding
图象模拟,tu'xiang'mo'ni
图象识别,tu'xiang'shi'bie
图象数据磁带,tu'xiang'shu'ju'ci'dai
图象数字化,tu'xiang'shu'zi'hua
图象投影变换,tu'xiang'tou'ying'bian'huan
图象增强,tu'xiang'zeng'qiang
退水曲线,tui'shui'qu'xian
托管地区,tuo'guan'di'qu
洼地,wa'di
外来名,wai'lai'ming
完全混合湖,wan'quan'hun'he'hu
网格地图,wang'ge'di'tu
微波遥感,wei'bo'yao'gan
未开发区,wei'kai'fa'qu
委任统治地,wei'ren'tong'zhi'di
微咸湖,wei'xian'hu
卫星城,wei'xing'cheng
卫星象片,wei'xing'xiang'pian
卫星遥感接收站,wei'xing'yao'gan'jie'shou'zhan
卫星影象,wei'xing'ying'xiang
温带,wen'dai
文化边界,wen'hua'bian'jie
文化地理学,wen'hua'di'li'xue
文化汇合,wen'hua'hui'he
文化景观,wen'hua'jing'guan
文化区,wen'hua'qu
纹泥,wen'ni
卧城,wo'cheng
无潮海,wu'chao'hai
物候学,wu'hou'xue
物理风化作用,wu'li'feng'hua'zuo'yong
无霜期,wu'shuang'qi
系列地图,xi'lie'di'tu
系统地理学,xi'tong'di'li'xue
吸引区,xi'yin'qu
峡谷,xia'gu
下切侵蚀,xia'qie'qin'shi
藓类沼泽,xian'lei'zhao'ze
限区,xian'qu
咸水湖,xian'shui'hu
闲暇地理,xian'xia'di'li
线性现象,xian'xing'xian'xiang
相,xiang
乡村地理学,xiang'cun'di'li'xue
乡村规划,xiang'cun'gui'hua
乡村人口,xiang'cun'ren'kou
相对高度,xiang'dui'gao'du
相关沉积,xiang'guan'chen'ji
相关掩模,xiang'guan'yan'mo
向量地图,xiang'liang'di'tu
相片判读,xiang'pian'pan'du
象限四分树,xiang'xian'si'fen'shu
象元,xiang'yuan
小冰期,xiao'bing'qi
消费地理学,xiao'fei'di'li'xue
小气候,xiao'qi'hou
小区,xiao'qu
消融区,xiao'rong'qu
小生境,xiao'sheng'jing
萧条区,xiao'tiao'qu
新北界,xin'bei'jie
新冰期,xin'bing'qi
信风,xin'feng
新构造运动,xin'gou'zao'yun'dong
新热带界,xin're'dai'jie
信息经济,xin'xi'jing'ji
信息提取,xin'xi'ti'qu
信息压缩,xin'xi'ya'suo
新月形沙丘,xin'yue'xing'sha'qiu
心脏地带,xin'zang'di'dai
行为地理学,xing'wei'di'li'xue
行为环境,xing'wei'huan'jing
行为矩阵,xing'wei'ju'zhen
行星风系,xing'xing'feng'xi
行政地理,xing'zheng'di'li
行政界线,xing'zheng'jie'xian
休耕,xiu'geng
悬冰川,xuan'bing'chuan
选举地理,xuan'ju'di'li
悬移质,xuan'yi'zhi
选址,xuan'zhi
雪崩,xue'beng
雪带,xue'dai
雪蚀,xue'shi
雪线,xue'xian
训练样本,xun'lian'yang'ben
训练样区,xun'lian'yang'qu
崖,ya
亚高山,ya'gao'shan
亚热带,ya're'dai
亚雪带,ya'xue'dai
岩崩,yan'beng
沿滨泥沙流,yan'bin'ni'sha'liu
沿革地理,yan'ge'di'li
沿海工业,yan'hai'gong'ye
盐湖,yan'hu
岩漠,yan'mo
盐漠,yan'mo
岩漆,yan'qi
岩石圈,yan'shi'quan
岩滩,yan'tan
演替,yan'ti
盐土,yan'tu
岩屑堆,yan'xie'dui
岩屑锥,yan'xie'zhui
盐沼,yan'zhao
洋,yang
羊背石,yang'bei'shi
洋盆,yang'pen
阳坡,yang'po
要冲城市,yao'chong'cheng'shi
遥感平台,yao'gan'ping'tai
遥感信息,yao'gan'xin'xi
遥感制图,yao'gan'zhi'tu
页状剥落,ye'zhuang'bo'luo
意境地图,yi'jing'di'tu
夷平面,yi'ping'mian
夷平作用,yi'ping'zuo'yong
医学地理学,yi'xue'di'li'xue
引力模式,yin'li'mo'shi
阴坡,yin'po
影象地图,ying'xiang'di'tu
影象分辨率,ying'xiang'fen'bian'lv
影象灰度,ying'xiang'hui'du
影象判读,ying'xiang'pan'du
影象质量,ying'xiang'zhi'liang
硬叶林,ying'ye'lin
应用地理学,ying'yong'di'li'xue
有潮河口,you'chao'he'kou
幼年土壤,you'nian'tu'rang
游憩地理,you'qi'di'li
游憩中心,you'qi'zhong'xin
游移湖,you'yi'hu
邮政地理学,you'zheng'di'li'xue
预报地图,yu'bao'di'tu
雨滴侵蚀,yu'di'qin'shi
雨林,yu'lin
阈限人口,yu'xian'ren'kou
语言地理学,yu'yan'di'li'xue
雨影,yu'ying
元地理学,yuan'di'li'xue
原型工业化,yuan'xing'gong'ye'hua
圆柱投影,yuan'zhu'tou'ying
运动线法,yun'dong'xian'fa
运输地理学,yun'shu'di'li'xue
运输联系,yun'shu'lian'xi
运输区划,yun'shu'qu'hua
运输枢纽,yun'shu'shu'niu
运输网布局,yun'shu'wang'bu'ju
运输网络,yun'shu'wang'luo
晕渲法,yun'xuan'fa
灾变论,zai'bian'lun
灾害地理学,zai'hai'di'li'xue
增长极论,zeng'zhang'ji'lun
障壁坝,zhang'bi'ba
照叶林,zhao'ye'lin
沼泽,zhao'ze
沼泽化,zhao'ze'hua
沼泽率,zhao'ze'lv
沼泽生态系统,zhao'ze'sheng'tai'xi'tong
沼泽水文,zhao'ze'shui'wen
沼泽形成过程,zhao'ze'xing'cheng'guo'cheng
沼泽学,zhao'ze'xue
沼泽植物,zhao'ze'zhi'wu
镇,zhen
针叶林,zhen'ye'lin
正残积风化壳,zheng'can'ji'feng'hua'qiao
正常地貌,zheng'chang'di'mao
正地貌,zheng'di'mao
蒸发,zheng'fa
正射影象地图,zheng'she'ying'xiang'di'tu
政治地理学,zheng'zhi'di'li'xue
植被,zhi'bei
植被型,zhi'bei'xing
指标图,zhi'biao'tu
直角坐标,zhi'jiao'zuo'biao
质量底色法,zhi'liang'di'se'fa
支流,zhi'liu
殖民地,zhi'min'di
智能圈,zhi'neng'quan
指示群落,zhi'shi'qun'luo
指示植物,zhi'shi'zhi'wu
制图精度,zhi'tu'jing'du
植物地理学,zhi'wu'di'li'xue
植物区系,zhi'wu'qu'xi
植物群落,zhi'wu'qun'luo
中立地带,zhong'li'di'dai
种群,zhong'qun
中生植物,zhong'sheng'zhi'wu
中位沼泽,zhong'wei'zhao'ze
中心城市,zhong'xin'cheng'shi
中心地理论,zhong'xin'di'li'lun
中心区位,zhong'xin'qu'wei
中心商业区,zhong'xin'shang'ye'qu
中央经线,zhong'yang'jing'xian
中营养沼泽,zhong'ying'yang'zhao'ze
种植园,zhong'zhi'yuan
种植制度,zhong'zhi'zhi'du
洲,zhou
猪背脊,zhu'bei'ji
主导工业,zhu'dao'gong'ye
砖红壤,zhuan'hong'rang
专题地图,zhuan'ti'di'tu
专题地图集,zhuan'ti'di'tu'ji
专题地图学,zhuan'ti'di'tu'xue
专题制图仪,zhuan'ti'zhi'tu'yi
专用地图,zhuan'yong'di'tu
准平原,zhun'ping'yuan
自成景观,zi'cheng'jing'guan
自动化制图,zi'dong'hua'zhi'tu
自给性农业,zi'ji'xing'nong'ye
资金密集工业,zi'jin'mi'ji'gong'ye
自流水盆地,zi'liu'shui'pen'di
自然保护,zi'ran'bao'hu
自然保护区,zi'ran'bao'hu'qu
自然地理过程,zi'ran'di'li'guo'cheng
自然地理学,zi'ran'di'li'xue
自然环境,zi'ran'huan'jing
自然景观,zi'ran'jing'guan
自然历,zi'ran'li
自然生产潜力,zi'ran'sheng'chan'qian'li
自然疫源地,zi'ran'yi'yuan'di
自然灾害,zi'ran'zai'hai
自然资源,zi'ran'zi'yuan
自然资源保护,zi'ran'zi'yuan'bao'hu
自然综合体,zi'ran'zong'he'ti
紫外遥感,zi'wai'yao'gan
自学系统,zi'xue'xi'tong
自由市场,zi'you'shi'chang
资源地理学,zi'yuan'di'li'xue
资源信息系统,zi'yuan'xin'xi'xi'tong
资源优势,zi'yuan'you'shi
自治区,zi'zhi'qu
棕钙土,zong'gai'tu
纵谷,zong'gu
综合地图集,zong'he'di'tu'ji
综合发展,zong'he'fa'zhan
综合考察,zong'he'kao'cha
综合评价地图,zong'he'ping'jia'di'tu
综合运输,zong'he'yun'shu
综合制图,zong'he'zhi'tu
综合自然地理学,zong'he'zi'ran'di'li'xue
综合自然区划,zong'he'zi'ran'qu'hua
宗教地理,zong'jiao'di'li
棕漠土,zong'mo'tu
总侵蚀基准面,zong'qin'shi'ji'zhun'mian
棕壤,zong'rang
总体开发,zong'ti'kai'fa
纵向沙丘,zong'xiang'sha'qiu
总蒸发,zong'zheng'fa
作物布局,zuo'wu'bu'ju
作物组合,zuo'wu'zu'he
