矮胖型,ai'pang'xing
多形细胞层,duo'xing'xi'bao'ceng
多羽肌,duo'yu'ji
多轴关节,duo'zhou'guan'jie
额板障静脉,e'ban'zhang'jing'mai
额鼻缝,e'bi'feng
腭扁桃体,e'bian'tao'ti
腭垂,e'chui
腭垂肌,e'chui'ji
腭大动脉,e'da'dong'mai
腭大沟,e'da'gou
腭大管,e'da'guan
腭大孔,e'da'kong
腭大神经,e'da'shen'jing
额顶岛盖,e'ding'dao'gai
额窦,e'dou
额窦口,e'dou'kou
额窦中隔,e'dou'zhong'ge
腭帆,e'fan
腭帆提肌,e'fan'ti'ji
腭帆张肌,e'fan'zhang'ji
腭帆张肌囊,e'fan'zhang'ji'nang
腭帆张肌神经,e'fan'zhang'ji'shen'jing
腭缝,e'feng
额缝,e'feng
额腹,e'fu
腭沟,e'gou
腭骨,e'gu
额骨,e'gu
腭横襞,e'heng'bi
腭横缝,e'heng'feng
腭嵴,e'ji
腭棘,e'ji
额嵴,e'ji
额极,e'ji
腭肌和咽门肌,e'ji'he'yan'men'ji
腭腱膜,e'jian'mo
腭降动脉,e'jiang'dong'mai
额角,e'jiao
额结节,e'jie'jie
额孔,e'kong
额泪缝,e'lei'feng
额鳞,e'lin
腭面,e'mian
额内侧回,e'nei'ce'hui
额钳,e'qian
腭鞘沟,e'qiao'gou
腭鞘管,e'qiao'guan
额桥束,e'qiao'shu
额切迹,e'qie'ji
额区,e'qu
额颧缝,e'quan'feng
腭筛缝,e'shai'feng
额筛缝,e'shai'feng
额上沟,e'shang'gou
腭上颌缝,e'shang'he'feng
额上颌缝,e'shang'he'feng
额上回,e'shang'hui
腭舌弓,e'she'gong
腭舌肌,e'she'ji
额神经,e'shen'jing
腭升动脉,e'sheng'dong'mai
腭突,e'tu
额突,e'tu
腭外静脉,e'wai'jing'mai
额下沟,e'xia'gou
额下回,e'xia'hui
腭腺,e'xian
腭小动脉,e'xiao'dong'mai
腭小管,e'xiao'guan
腭小孔,e'xiao'kong
腭小神经,e'xiao'shen'jing
额囟,e'xin
腭咽弓,e'yan'gong
腭咽肌,e'yan'ji
额叶,e'ye
额叶底内侧动脉,e'ye'di'nei'ce'dong'mai
额叶底外侧动脉,e'ye'di'wai'ce'dong'mai
额叶后内侧支,e'ye'hou'nei'ce'zhi
额叶静脉,e'ye'jing'mai
额叶前静脉,e'ye'qian'jing'mai
额叶前内侧支,e'ye'qian'nei'ce'zhi
额叶中内侧支,e'ye'zhong'nei'ce'zhi
额缘,e'yuan
腭圆枕,e'yuan'zhen
额枕束,e'zhen'shu
腭正中缝,e'zheng'zhong'feng
额支,e'zhi
腭中缝,e'zhong'feng
额中回,e'zhong'hui
额状面,e'zhuang'mian
额状轴,e'zhuang'zhou
鹅足囊,e'zu'nang
儿茶酚胺能神经元,er'cha'fen'an'neng'shen'jing'yuan
耳垂,er'chui
耳大神经,er'da'shen'jing
二叠体旁核,er'die'ti'pang'he
二分髌骨,er'fen'bin'gu
二腹肌,er'fu'ji
二腹肌窝,er'fu'ji'wo
二腹肌支,er'fu'ji'zhi
二腹小叶,er'fu'xiao'ye
耳郭,er'guo
耳郭横肌,er'guo'heng'ji
耳郭后沟,er'guo'hou'gou
耳郭后韧带,er'guo'hou'ren'dai
耳郭肌,er'guo'ji
耳郭尖,er'guo'jian
耳郭结节,er'guo'jie'jie
耳郭前韧带,er'guo'qian'ren'dai
耳郭韧带,er'guo'ren'dai
耳郭软骨,er'guo'ruan'gu
耳郭上韧带,er'guo'shang'ren'dai
耳郭斜肌,er'guo'xie'ji
耳郭锥状肌,er'guo'zhui'zhuang'ji
耳后动脉,er'hou'dong'mai
耳后肌,er'hou'ji
耳后静脉,er'hou'jing'mai
耳后神经,er'hou'shen'jing
耳甲,er'jia
耳甲隆起,er'jia'long'qi
耳甲腔,er'jia'qiang
耳甲艇,er'jia'ting
二尖瓣,er'jian'ban
耳界切迹,er'jie'qie'ji
耳廓,er'kuo
耳轮,er'lun
耳轮大肌,er'lun'da'ji
耳轮棘,er'lun'ji
耳轮脚,er'lun'jiao
耳轮脚沟,er'lun'jiao'gou
耳轮切迹肌,er'lun'qie'ji'ji
耳轮尾,er'lun'wei
耳轮小肌,er'lun'xiao'ji
耳毛,er'mao
耳颞神经,er'nie'shen'jing
耳颞神经交通支,er'nie'shen'jing'jiao'tong'zhi
耳屏,er'ping
耳屏板,er'ping'ban
耳屏肌,er'ping'ji
耳屏间切迹,er'ping'jian'qie'ji
耳屏上结节,er'ping'shang'jie'jie
耳前肌,er'qian'ji
耳前静脉,er'qian'jing'mai
耳前淋巴结,er'qian'lin'ba'jie
耳前切迹,er'qian'qie'ji
耳前神经,er'qian'shen'jing
耳前支,er'qian'zhi
耳区,er'qu
耳软骨峡,er'ruan'gu'xia
耳上肌,er'shang'ji
耳深动脉,er'shen'dong'mai
耳神经节,er'shen'jing'jie
耳蜗,er'wo
耳蜗动脉丝球,er'wo'dong'mai'si'qiu
耳下淋巴结,er'xia'lin'ba'jie
耳支,er'zhi
耳舟,er'zhou
耳舟隆起,er'zhou'long'qi
耳状面,er'zhuang'mian
反射弧,fan'she'hu
反折头,fan'zhe'tou
反转韧带,fan'zhuan'ren'dai
方部,fang'bu
房间隔,fang'jian'ge
房间束,fang'jian'shu
放射自显影术,fang'she'zi'xian'ying'shu
房室瓣,fang'shi'ban
房室隔,fang'shi'ge
房室沟,fang'shi'gou
房室交点,fang'shi'jiao'dian
房室结,fang'shi'jie
房室结支,fang'shi'jie'zhi
房室静脉,fang'shi'jing'mai
房室口,fang'shi'kou
房室束,fang'shi'shu
房室支,fang'shi'zhi
房水,fang'shui
方形肌,fang'xing'ji
方形结节,fang'xing'jie'jie
方形膜,fang'xing'mo
方形韧带,fang'xing'ren'dai
方形小叶,fang'xing'xiao'ye
方形小叶后部,fang'xing'xiao'ye'hou'bu
方形小叶前部,fang'xing'xiao'ye'qian'bu
方叶,fang'ye
腓侧,fei'ce
腓侧副热带,fei'ce'fu're'dai
腓侧副韧带,fei'ce'fu'ren'dai
腓肠,fei'chang
腓肠动脉,fei'chang'dong'mai
腓肠肌,fei'chang'ji
腓肠肌内侧头腱下囊,fei'chang'ji'nei'ce'tou'jian'xia'nang
腓肠肌外侧头腱下囊,fei'chang'ji'wai'ce'tou'jian'xia'nang
腓肠静脉,fei'chang'jing'mai
腓肠内侧皮神经,fei'chang'nei'ce'pi'shen'jing
腓肠神经,fei'chang'shen'jing
腓肠外侧皮神经,fei'chang'wai'ce'pi'shen'jing
肺丛,fei'cong
肺底,fei'di
肺动脉,fei'dong'mai
腓动脉,fei'dong'mai
肺动脉瓣,fei'dong'mai'ban
肺动脉杈,fei'dong'mai'cha
肺动脉窦,fei'dong'mai'dou
肺动脉干,fei'dong'mai'gan
肺动脉口,fei'dong'mai'kou
肺段支气管,fei'duan'zhi'qi'guan
肺段支气管支,fei'duan'zhi'qi'guan'zhi
非对称突触,fei'dui'chen'tu'chu
肺浮扬实验,fei'fu'yang'shi'yan
肺根,fei'gen
肺沟,fei'gou
腓骨,fei'gu
腓骨长肌,fei'gu'chang'ji
腓骨长肌腱沟,fei'gu'chang'ji'jian'gou
腓骨长肌足底腱鞘,fei'gu'chang'ji'zu'di'jian'qiao
腓骨短肌,fei'gu'duan'ji
腓骨肌滑车,fei'gu'ji'hua'che
腓骨肌上下支持带,fei'gu'ji'shang'xia'zhi'chi'dai
腓骨肌上支持带,fei'gu'ji'shang'zhi'chi'dai
腓骨肌下支持带,fei'gu'ji'xia'zhi'chi'dai
腓骨肌总腱鞘,fei'gu'ji'zong'jian'qiao
腓骨颈,fei'gu'jing
腓骨体,fei'gu'ti
腓骨头,fei'gu'tou
腓骨头骨间缘,fei'gu'tou'gu'jian'yuan
腓骨头关节面,fei'gu'tou'guan'jie'mian
腓骨头后韧带,fei'gu'tou'hou'ren'dai
腓骨头尖,fei'gu'tou'jian
腓骨头前韧带,fei'gu'tou'qian'ren'dai
腓骨滋养动脉,fei'gu'zi'yang'dong'mai
腓关节面,fei'guan'jie'mian
肺尖,fei'jian
肺静脉,fei'jing'mai
腓静脉,fei'jing'mai
肺静脉口,fei'jing'mai'kou
腓淋巴结,fei'lin'ba'jie
肺门,fei'men
肺面,fei'mian
肺泡,fei'pao
肺泡管,fei'pao'guan
肺泡囊,fei'pao'nang
腓浅神经,fei'qian'shen'jing
腓切迹,fei'qie'ji
肺韧带,fei'ren'dai
肺上静脉,fei'shang'jing'mai
肺上下静脉,fei'shang'xia'jing'mai
肺上叶,fei'shang'ye
腓神经交通支,fei'shen'jing'jiao'tong'zhi
腓深神经,fei'shen'shen'jing
肺食管旁淋巴结,fei'shi'guan'pang'lin'ba'jie
肺下静脉,fei'xia'jing'mai
肺下叶,fei'xia'ye
肺循环,fei'xun'huan
肺叶支气管,fei'ye'zhi'qi'guan
肺支,fei'zhi
腓总神经,fei'zong'shen'jing
分隔索,fen'ge'suo
分裂韧带,fen'lie'ren'dai
分泌神经元,fen'mi'shen'jing'yuan
分歧韧带,fen'qi'ren'dai
分子层,fen'zi'ceng
分子层纹,fen'zi'ceng'wen
缝骨,feng'gu
缝匠肌,feng'jiang'ji
缝匠肌腱下囊,feng'jiang'ji'jian'xia'nang
腹白线,fu'bai'xian
副半奇静脉,fu'ban'qi'jing'mai
副闭孔动脉,fu'bi'kong'dong'mai
副闭孔神经,fu'bi'kong'shen'jing
腹壁浅动脉,fu'bi'qian'dong'mai
腹壁浅静脉,fu'bi'qian'jing'mai
腹壁上动脉,fu'bi'shang'dong'mai
腹壁上静脉,fu'bi'shang'jing'mai
腹壁下动脉,fu'bi'xia'dong'mai
腹壁下静脉,fu'bi'xia'jing'mai
腹壁下淋巴结,fu'bi'xia'lin'ba'jie
腹部,fu'bu
腹侧,fu'ce
腹侧被盖区,fu'ce'bei'gai'qu
腹侧核群,fu'ce'he'qun
腹侧网状核,fu'ce'wang'zhuang'he
附睾,fu'gao
附睾窦,fu'gao'dou
附睾附件,fu'gao'fu'jian
附睾管,fu'gao'guan
附睾上韧带,fu'gao'shang'ren'dai
附睾体,fu'gao'ti
附睾头,fu'gao'tou
附睾尾,fu'gao'wei
附睾下韧带,fu'gao'xia'ren'dai
附睾小叶,fu'gao'xiao'ye
附睾支,fu'gao'zhi
伏隔核,fu'ge'he
副膈神经,fu'ge'shen'jing
跗骨,fu'gu
跗骨背侧韧带,fu'gu'bei'ce'ren'dai
跗骨窦,fu'gu'dou
腹股沟管,fu'gu'gou'guan
腹股沟管浅环,fu'gu'gou'guan'qian'huan
腹股沟管深环,fu'gu'gou'guan'shen'huan
腹股沟镰,fu'gu'gou'lian
腹股沟淋巴管,fu'gu'gou'lin'ba'guan
腹股沟淋巴结,fu'gu'gou'lin'ba'jie
腹股沟内侧窝,fu'gu'gou'nei'ce'wo
腹股沟浅环,fu'gu'gou'qian'huan
腹股沟浅淋巴结,fu'gu'gou'qian'lin'ba'jie
腹股沟区,fu'gu'gou'qu
腹股沟韧带,fu'gu'gou'ren'dai
腹股沟三角,fu'gu'gou'san'jiao
腹股沟上内侧浅淋巴结,fu'gu'gou'shang'nei'ce'qian'lin'ba'jie
腹股沟上外侧浅淋巴结,fu'gu'gou'shang'wai'ce'qian'lin'ba'jie
腹股沟深淋巴结,fu'gu'gou'shen'lin'ba'jie
腹股沟外侧窝,fu'gu'gou'wai'ce'wo
腹股沟下浅淋巴结,fu'gu'gou'xia'qian'lin'ba'jie
腹股沟支,fu'gu'gou'zhi
跗骨骨间韧带,fu'gu'gu'jian'ren'dai
跗骨间关节,fu'gu'jian'guan'jie
跗骨足底韧带,fu'gu'zu'di'ren'dai
复关节,fu'guan'jie
跗横关节,fu'heng'guan'jie
腹横肌,fu'heng'ji
腹横筋膜,fu'heng'jin'mo
腹后侧核,fu'hou'ce'he
腹后核,fu'hou'he
腹后内侧核,fu'hou'nei'ce'he
腹后内外侧核,fu'hou'nei'wai'ce'he
腹后外侧核,fu'hou'wai'ce'he
腹环,fu'huan
腹肌,fu'ji
副甲状腺,fu'jia'zhuang'xian
副交感部,fu'jiao'gan'bu
副交感根,fu'jiao'gan'gen
副交感神经,fu'jiao'gan'shen'jing
副交感神经节,fu'jiao'gan'shen'jing'jie
副交感支,fu'jiao'gan'zhi
浮肋,fu'lei
副泪腺,fu'lei'xian
腹膜,fu'mo
覆膜,fu'mo
腹膜襞,fu'mo'bi
腹膜后间隙,fu'mo'hou'jian'xi
腹膜后隙,fu'mo'hou'xi
腹膜会阴筋膜,fu'mo'hui'yin'jin'mo
腹膜腔,fu'mo'qiang
腹膜外间隙,fu'mo'wai'jian'xi
腹膜外筋膜,fu'mo'wai'jin'mo
腹膜外器官,fu'mo'wai'qi'guan
腹膜外隙,fu'mo'wai'xi
腹膜隐窝,fu'mo'yin'wo
跗内侧动脉,fu'nei'ce'dong'mai
腹内侧核,fu'nei'ce'he
腹内斜肌,fu'nei'xie'ji
副脾,fu'pi
腹皮下静脉,fu'pi'xia'jing'mai
附脐静脉,fu'qi'jing'mai
腹前壁腹膜,fu'qian'bi'fu'mo
腹前核,fu'qian'he
腹腔丛,fu'qiang'cong
腹腔动脉,fu'qiang'dong'mai
腹腔干,fu'qiang'gan
腹腔淋巴结,fu'qiang'lin'ba'jie
腹腔神经节,fu'qiang'shen'jing'jie
腹腔支,fu'qiang'zhi
副乳房,fu'ru'fang
副腮腺,fu'sai'xian
腹上区,fu'shang'qu
腹上窝,fu'shang'wo
辐射冠,fu'she'guan
副神经,fu'shen'jing
副神经干,fu'shen'jing'gan
副神经核,fu'shen'jing'he
副肾上腺,fu'shen'shang'xian
副头静脉,fu'tou'jing'mai
副突,fu'tu
跗外侧动脉,fu'wai'ce'dong'mai
腹外侧核,fu'wai'ce'he
腹外侧区,fu'wai'ce'qu
腹外斜肌,fu'wai'xie'ji
腹外斜肌腱膜,fu'wai'xie'ji'jian'mo
腹下丛,fu'xia'cong
副胰,fu'yi
副胰管,fu'yi'guan
副隐静脉,fu'yin'jing'mai
复羽状肌,fu'yu'zhuang'ji
跗跖背侧韧带,fu'zhi'bei'ce'ren'dai
附肢骨,fu'zhi'gu
附肢骨骼,fu'zhi'gu'ge
附肢骨连结,fu'zhi'gu'lian'jie
跗跖关节,fu'zhi'guan'jie
腹直肌,fu'zhi'ji
腹直肌鞘,fu'zhi'ji'qiao
跗跖足底韧带,fu'zhi'zu'di'ren'dai
腹中间核,fu'zhong'jian'he
腹主动脉,fu'zhu'dong'mai
腹主动脉丛,fu'zhu'dong'mai'cong
辐状纤维,fu'zhuang'xian'wei
副椎静脉,fu'zhui'jing'mai
附着板,fu'zhuo'ban
副左肾动脉,fu'zuo'shen'dong'mai
盖壁,gai'bi
盖膜,gai'mo
肝丛,gan'cong
肝蒂,gan'di
肝固有动脉,gan'gu'you'dong'mai
肝冠状韧带,gan'guan'zhuang'ren'dai
干骺端,gan'hou'duan
肝结肠韧带,gan'jie'chang'ren'dai
肝静脉,gan'jing'mai
感觉根,gan'jue'gen
感觉器,gan'jue'qi
感觉器官,gan'jue'qi'guan
感觉上皮,gan'jue'shang'pi
感觉神经,gan'jue'shen'jing
感觉神经元,gan'jue'shen'jing'yuan
橄榄,gan'lan
橄榄耳蜗束,gan'lan'er'wo'shu
橄榄核套,gan'lan'he'tao
橄榄后沟,gan'lan'hou'gou
橄榄后区,gan'lan'hou'qu
橄榄脊髓束,gan'lan'ji'sui'shu
橄榄小脑纤维,gan'lan'xiao'nao'xian'wei
肝镰状韧带,gan'lian'zhuang'ren'dai
肝淋巴结,gan'lin'ba'jie
肝裸区,gan'luo'qu
肝门,gan'men
肝门静脉,gan'men'jing'mai
肝门静脉右支,gan'men'jing'mai'you'zhi
肝韧带,gan'ren'dai
肝肾韧带,gan'shen'ren'dai
肝肾隐窝,gan'shen'yin'wo
肝十二指肠韧带,gan'shi'er'zhi'chang'ren'dai
感受器,gan'shou'qi
肝胃韧带,gan'wei'ren'dai
肝尾状叶,gan'wei'zhuang'ye
肝下隐窝,gan'xia'yin'wo
肝纤维附件,gan'xian'wei'fu'jian
肝小叶,gan'xiao'ye
肝血窦,gan'xue'dou
肝叶,gan'ye
肝胰襞,gan'yi'bi
肝胰壶腹,gan'yi'hu'fu
肝胰壶腹括约肌,gan'yi'hu'fu'kuo'yue'ji
肝右动静脉,gan'you'dong'jing'mai
肝右管,gan'you'guan
肝右静脉,gan'you'jing'mai
肝右叶,gan'you'ye
肝圆韧带,gan'yuan'ren'dai
肝圆韧带裂,gan'yuan'ren'dai'lie
肝圆韧带切迹,gan'yuan'ren'dai'qie'ji
肝支,gan'zhi
肝中间静脉,gan'zhong'jian'jing'mai
肝中静脉,gan'zhong'jing'mai
肝总动脉,gan'zong'dong'mai
肝总管,gan'zong'guan
肝左动静脉,gan'zuo'dong'jing'mai
肝左管,gan'zuo'guan
肝左静脉,gan'zuo'jing'mai
肝左叶,gan'zuo'ye
肛瓣,gang'ban
肛动脉,gang'dong'mai
肛窦,gang'dou
肛管,gang'guan
肛静脉,gang'jing'mai
肛门,gang'men
肛门括约肌,gang'men'kuo'yue'ji
肛门内括约肌,gang'men'nei'kuo'yue'ji
肛门内外括约肌,gang'men'nei'wai'kuo'yue'ji
肛门外括约肌,gang'men'wai'kuo'yue'ji
肛区,gang'qu
冈上肌,gang'shang'ji
冈上窝,gang'shang'wo
肛神经,gang'shen'jing
肛梳,gang'shu
肛提肌,gang'ti'ji
肛提肌腱弓,gang'ti'ji'jian'gong
肛尾韧带,gang'wei'ren'dai
肛尾神经,gang'wei'shen'jing
冈下肌,gang'xia'ji
冈下肌腱下囊,gang'xia'ji'jian'xia'nang
冈下窝,gang'xia'wo
肛直肠线,gang'zhi'chang'xian
肛柱,gang'zhu
高尔基复合体,gao'er'ji'fu'he'ti
睾丸,gao'wan
睾丸丛,gao'wan'cong
睾丸动静脉,gao'wan'dong'jing'mai
睾丸动脉,gao'wan'dong'mai
睾丸附件,gao'wan'fu'jian
睾丸静脉,gao'wan'jing'mai
睾丸鞘膜,gao'wan'qiao'mo
睾丸实质,gao'wan'shi'zhi
睾丸输出小管,gao'wan'shu'chu'xiao'guan
睾丸网,gao'wan'wang
睾丸小隔,gao'wan'xiao'ge
睾丸小叶,gao'wan'xiao'ye
睾丸纵隔,gao'wan'zong'ge
隔侧尖,ge'ce'jian
隔侧乳头肌,ge'ce'ru'tou'ji
膈腹支,ge'fu'zhi
膈脚,ge'jiao
膈结肠韧带,ge'jie'chang'ren'dai
膈面,ge'mian
隔区,ge'qu
膈上动脉,ge'shang'dong'mai
膈上静脉,ge'shang'jing'mai
膈上淋巴结,ge'shang'lin'ba'jie
膈神经,ge'shen'jing
膈神经核,ge'shen'jing'he
膈神经节,ge'shen'jing'jie
膈下动脉,ge'xia'dong'mai
膈下静脉,ge'xia'jing'mai
膈下淋巴结,ge'xia'lin'ba'jie
膈下隐窝,ge'xia'yin'wo
膈胸膜,ge'xiong'mo
膈胸膜筋膜,ge'xiong'mo'jin'mo
隔缘肉柱,ge'yuan'rou'zhu
隔缘束,ge'yuan'shu
膈纵隔隐窝,ge'zong'ge'yin'wo
跟腓韧带,gen'fei'ren'dai
跟骨,gen'gu
跟骨沟,gen'gu'gou
跟骨结节,gen'gu'jie'jie
跟骨结节内侧突,gen'gu'jie'jie'nei'ce'tu
跟骨结节外侧突,gen'gu'jie'jie'wai'ce'tu
跟骨小结节,gen'gu'xiao'jie'jie
跟腱,gen'jian
跟腱囊,gen'jian'nang
跟结节,gen'jie'jie
跟内侧支,gen'nei'ce'zhi
跟皮下囊,gen'pi'xia'nang
跟区,gen'qu
跟骰背侧韧带,gen'tou'bei'ce'ren'dai
跟骰关节,gen'tou'guan'jie
跟骰关节附横关节,gen'tou'guan'jie'fu'heng'guan'jie
跟骰韧带,gen'tou'ren'dai
跟骰足底韧带,gen'tou'zu'di'ren'dai
跟突,gen'tu
跟外侧支,gen'wai'ce'zhi
跟网,gen'wang
跟支,gen'zhi
跟舟韧带,gen'zhou'ren'dai
跟舟足底韧带,gen'zhou'zu'di'ren'dai
肱尺关节,gong'chi'guan'jie
肱尺头,gong'chi'tou
肱动脉,gong'dong'mai
肱二关肌内侧沟,gong'er'guan'ji'nei'ce'gou
肱二关肌外侧沟,gong'er'guan'ji'wai'ce'gou
肱二头肌,gong'er'tou'ji
肱二头肌长头腱,gong'er'tou'ji'chang'tou'jian
肱二头肌腱,gong'er'tou'ji'jian
肱二头肌腱膜,gong'er'tou'ji'jian'mo
肱二头肌桡骨囊,gong'er'tou'ji'rao'gu'nang
肱骨,gong'gu
肱骨横韧带,gong'gu'heng'ren'dai
肱骨滑车,gong'gu'hua'che
肱骨髁,gong'gu'ke
肱骨体,gong'gu'ti
肱骨头,gong'gu'tou
肱骨外上髁,gong'gu'wai'shang'ke
肱骨小头,gong'gu'xiao'tou
肱骨滋养动脉,gong'gu'zi'yang'dong'mai
肱肌,gong'ji
肱静脉,gong'jing'mai
肱淋巴结,gong'lin'ba'jie
巩膜,gong'mo
巩膜沟,gong'mo'gou
巩膜固有质,gong'mo'gu'you'zhi
巩膜角膜部,gong'mo'jiao'mo'bu
巩膜静脉,gong'mo'jing'mai
巩膜静脉窦,gong'mo'jing'mai'dou
巩膜筛板,gong'mo'shai'ban
巩膜外层,gong'mo'wai'ceng
巩膜外动脉,gong'mo'wai'dong'mai
巩膜外静脉,gong'mo'wai'jing'mai
巩膜外隙,gong'mo'wai'xi
巩膜棕黑层,gong'mo'zong'hei'ceng
肱桡关节,gong'rao'guan'jie
肱桡肌,gong'rao'ji
肱三头肌,gong'san'tou'ji
肱三头肌腱下囊,gong'san'tou'ji'jian'xia'nang
肱深动脉,gong'shen'dong'mai
肱头,gong'tou
弓形动脉,gong'xing'dong'mai
弓状动脉,gong'zhuang'dong'mai
弓状核,gong'zhuang'he
弓状嵴,gong'zhuang'ji
弓状静脉,gong'zhuang'jing'mai
弓状隆起,gong'zhuang'long'qi
弓状韧带,gong'zhuang'ren'dai
弓状下窝,gong'zhuang'xia'wo
弓状线,gong'zhuang'xian
弓状纤维,gong'zhuang'xian'wei
钩骨,gou'gu
钩骨钩,gou'gu'gou
沟后部,gou'hou'bu
钩回静脉,gou'hui'jing'mai
沟前部,gou'qian'bu
钩束,gou'shu
钩突,gou'tu
沟缘束,gou'yuan'shu
钩椎关节,gou'zhui'guan'jie
骨半规管,gu'ban'gui'guan
骨鼻中隔,gu'bi'zhong'ge
股薄肌,gu'bo'ji
骨部,gu'bu
鼓部,gu'bu
股丛,gu'cong
鼓大棘,gu'da'ji
鼓镫连结,gu'deng'lian'jie
股骶弓,gu'di'gong
固定肌,gu'ding'ji
股动脉,gu'dong'mai
鼓窦,gu'dou
骨端,gu'duan
骨腭,gu'e
股二头肌,gu'er'tou'ji
股二头肌腱,gu'er'tou'ji'jian
股二头肌上囊,gu'er'tou'ji'shang'nang
股二头肌下腱下囊,gu'er'tou'ji'xia'jian'xia'nang
股方肌,gu'fang'ji
股方肌神经,gu'fang'ji'shen'jing
骨干,gu'gan
骨骼,gu'ge
骨骼肌,gu'ge'ji
骨骼系统,gu'ge'xi'tong
鼓沟,gu'gou
股骨,gu'gu
股骨髌面,gu'gu'bin'mian
股骨大转子,gu'gu'da'zhuan'zi
股骨颈,gu'gu'jing
股骨内侧髁,gu'gu'nei'ce'ke
股骨内上髁,gu'gu'nei'shang'ke
股骨体,gu'gu'ti
股骨头,gu'gu'tou
股骨头凹,gu'gu'tou'ao
股骨头韧带,gu'gu'tou'ren'dai
股骨外侧髁,gu'gu'wai'ce'ke
股骨外上髁,gu'gu'wai'shang'ke
股骨滋养动脉,gu'gu'zi'yang'dong'mai
股管,gu'guan
骨骺,gu'hou
股后皮神经,gu'hou'pi'shen'jing
股后区,gu'hou'qu
骨壶腹,gu'hu'fu
骨化点,gu'hua'dian
骨化中心,gu'hua'zhong'xin
股环,gu'huan
鼓环,gu'huan
股环隔,gu'huan'ge
骨间背侧肌,gu'jian'bei'ce'ji
骨间返动脉,gu'jian'fan'dong'mai
骨间关节,gu'jian'guan'jie
骨间后动脉,gu'jian'hou'dong'mai
骨间后静脉,gu'jian'hou'jing'mai
骨间后神经,gu'jian'hou'shen'jing
骨间嵴,gu'jian'ji
骨间膜,gu'jian'mo
骨间前动脉,gu'jian'qian'dong'mai
骨间前静脉,gu'jian'qian'jing'mai
骨间前神经,gu'jian'qian'shen'jing
骨间缘,gu'jian'yuan
骨间掌侧肌,gu'jian'zhang'ce'ji
骨间总动脉,gu'jian'zong'dong'mai
骨间足底肌,gu'jian'zu'di'ji
骨脚,gu'jiao
骨胶原纤维,gu'jiao'yuan'xian'wei
骨胶原纤维束,gu'jiao'yuan'xian'wei'shu
鼓阶,gu'jie
股静脉,gu'jing'mai
孤立淋巴滤泡,gu'li'lin'ba'lv'pao
骨连结,gu'lian'jie
鼓鳞裂,gu'lin'lie
骨螺旋板,gu'luo'xuan'ban
骨迷路,gu'mi'lu
骨密质,gu'mi'zhi
骨膜,gu'mo
鼓膜,gu'mo
鼓膜壁,gu'mo'bi
鼓膜后隐窝,gu'mo'hou'yin'wo
鼓膜脐,gu'mo'qi
鼓膜前隐窝,gu'mo'qian'yin'wo
鼓膜上隐窝,gu'mo'shang'yin'wo
鼓膜张肌,gu'mo'zhang'ji
鼓膜张肌半管,gu'mo'zhang'ji'ban'guan
鼓膜张肌神经,gu'mo'zhang'ji'shen'jing
鼓膜支,gu'mo'zhi
股内侧肌,gu'nei'ce'ji
股内侧肌间隔,gu'nei'ce'ji'jian'ge
股内侧浅静脉,gu'nei'ce'qian'jing'mai
股内侧区,gu'nei'ce'qu
骨内膜,gu'nei'mo
骨盆,gu'pen
骨盆骶岬,gu'pen'di'jia
骨盆腔,gu'pen'qiang
骨盆倾斜度,gu'pen'qing'xie'du
骨盆上口,gu'pen'shang'kou
骨盆下口,gu'pen'xia'kou
骨盆轴,gu'pen'zhou
古皮质,gu'pi'zhi
骨皮质,gu'pi'zhi
股前区,gu'qian'qu
鼓切迹,gu'qie'ji
鼓乳裂,gu'ru'lie
股三角,gu'san'jiao
股深动脉,gu'shen'dong'mai
股神经,gu'shen'jing
股深静脉,gu'shen'jing'mai
鼓室,gu'shi
鼓室丛,gu'shi'cong
鼓室丛交通支,gu'shi'cong'jiao'tong'zhi
鼓室盖,gu'shi'gai
鼓室后动脉,gu'shi'hou'dong'mai
鼓室静脉,gu'shi'jing'mai
鼓室黏膜,gu'shi'nian'mo
鼓室前动脉,gu'shi'qian'dong'mai
鼓室上动脉,gu'shi'shang'dong'mai
鼓室上隐窝,gu'shi'shang'yin'wo
鼓室神经,gu'shi'shen'jing
鼓室神经膨大,gu'shi'shen'jing'peng'da
鼓室下动脉,gu'shi'xia'dong'mai
鼓室小房,gu'shi'xiao'fang
鼓室小管,gu'shi'xiao'guan
孤束,gu'shu
孤束核,gu'shu'he
股四头肌,gu'si'tou'ji
股四头肌腱,gu'si'tou'ji'jian
骨松质,gu'song'zhi
骨髓,gu'sui
鼓索,gu'suo
鼓索襞,gu'suo'bi
鼓索交通支,gu'suo'jiao'tong'zhi
鼓索小管,gu'suo'xiao'guan
鼓索小管鼓室口,gu'suo'xiao'guan'gu'shi'kou
股外侧肌,gu'wai'ce'ji
股外侧肌间隔,gu'wai'ce'ji'jian'ge
股外侧皮神经,gu'wai'ce'pi'shen'jing
股外侧浅静脉,gu'wai'ce'qian'jing'mai
骨外膜,gu'wai'mo
骨细胞,gu'xi'bao
鼓小棘,gu'xiao'ji
骨小梁,gu'xiao'liang
古小脑,gu'xiao'nao
骨性鼻腔,gu'xing'bi'qiang
骨性部,gu'xing'bu
骨性结合,gu'xing'jie'he
骨性口腔,gu'xing'kou'qiang
骨学,gu'xue
骨学及关节学,gu'xue'ji'guan'jie'xue
固有口腔,gu'you'kou'qiang
