哎呀我要飞跃,ai'ya'wo'yao'fei'yue
雾满龙冈千嶂暗,wu'man'long'gang'qian'zhang'an
乌蒙磅礴走泥丸,wu'meng'pang'bo'zou'ni'wan
无限风光在险峰,wu'xian'feng'guang'zai'xian'feng
五言诗,wu'yan'shi
午夜惊鸣鸡,wu'ye'jing'ming'ji
无意苦争春,wu'yi'ku'zheng'chun
五月七日,wu'yue'qi'ri
五洲震荡风雷激,wu'zhou'zhen'dang'feng'lei'ji
西风烈,xi'feng'lie
西风漫卷孤城,xi'feng'man'juan'gu'cheng
西江月井冈山,xi'jiang'yue'jing'gang'shan
西江月秋收起义,xi'jiang'yue'qiu'shou'qi'yi
席卷江西直捣湘和鄂,xi'juan'jiang'xi'zhi'dao'xiang'he'e
喜看稻菽千重浪,xi'kan'dao'shu'qian'zhong'lang
惜秦皇汉武,xi'qin'huang'han'wu
吓倒蓬间雀,xia'dao'peng'jian'que
夏日消融,xia'ri'xiao'rong
纤笔一支谁与似,xian'bi'yi'zhi'shei'yu'si
险处不须看,xian'chu'bu'xu'kan
湘滨春溜回,xiang'bin'chun'liu'hui
湘江北去,xiang'jiang'bei'qu
小儿时节,xiao'er'shi'jie
萧瑟秋风今又是,xiao'se'qiu'feng'jin'you'shi
小小寰球,xiao'xiao'huan'qiu
携来百侣曾游,xie'lai'bai'lv'ceng'you
心潮逐浪高,xin'chao'zhu'lang'gao
欣然命笔,xin'ran'ming'bi
幸被东风吹万里,xing'bei'dong'feng'chui'wan'li
醒忆别伊时,xing'yi'bie'yi'shi
雄关漫道真如铁,xiong'guan'man'dao'zhen'ru'tie
胸中日月常新美,xiong'zhong'ri'yue'chang'xin'mei
须晴日,xu'qing'ri
旭日临窗,xu'ri'lin'chuang
学不成名誓不还,xue'bu'cheng'ming'shi'bu'hai
雪里行军情更迫,xue'li'xing'jun'qing'geng'po
雪压冬云白絮飞,xue'ya'dong'yun'bai'xu'fei
巡天遥看一千河,xun'tian'yao'kan'yi'qian'he
牙琴从此绝,ya'qin'cong'ci'jue
烟滚滚来天半,yan'gun'gun'lai'tian'ban
眼角眉梢都似恨,yan'jiao'mei'shao'dou'si'hen
烟雨莽苍苍,yan'yu'mang'cang'cang
杨柳轻扬直上重霄九,yang'liu'qing'yang'zhi'shang'chong'xiao'jiu
要将宇宙看稊米,yao'jiang'yu'zhou'kan'ti'mi
要扫除一切害人虫,yao'sao'chu'yi'qie'hai'ren'chong
要似昆仑崩绝壁,yao'si'kun'lun'beng'jue'bi
遥望南天,yao'wang'nan'tian
妖为鬼蜮必成灾,yao'wei'gui'yu'bi'cheng'zai
要向潇湘直进,yao'xiang'xiao'xiang'zhi'jin
夜不能寐,ye'bu'neng'mei
夜来触动离愁了,ye'lai'chu'dong'li'chou'le
一拔何亏大圣毛,yi'ba'he'kui'da'sheng'mao
一唱雄鸡天下白,yi'chang'xiong'ji'tian'xia'bai
一从大地起风雷,yi'cong'da'di'qi'feng'lei
一代天骄,yi'dai'tian'jiao
宜将胜勇追穷寇,yi'jiang'sheng'yong'zhui'qiong'kou
一截还东国,yi'jie'hai'dong'guo
一截遗欧,yi'jie'yi'ou
一截赠美,yi'jie'zeng'mei
一九五九年六月二十五日到韶山,yi'jiu'wu'jiu'nian'liu'yue'er'shi'wu'ri'dao'shao'shan
一九五零年国庆观剧,yi'jiu'wu'ling'nian'guo'qing'guan'ju
一年一度秋风劲,yi'nian'yi'du'qiu'feng'jing
一篇读罢头飞雪,yi'pian'du'ba'tou'fei'xue
一片汪洋都不见,yi'pian'wang'yang'dou'bu'jian
一桥飞架南北,yi'qiao'fei'jia'nan'bei
忆秦娥娄山关,yi'qin'e'lou'shan'guan
一任群芳妒,yi'ren'qun'fang'du
一山飞峙大江边,yi'shan'fei'zhi'da'jiang'bian
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
已是悬崖百丈冰,yi'shi'xuan'ya'bai'zhang'bing
驿外断桥边,yi'wai'duan'qiao'bian
一万年太久,yi'wan'nian'tai'jiu
忆往昔峥嵘岁月稠,yi'wang'xi'zheng'rong'sui'yue'chou
一样悲欢逐逝波,yi'yang'bei'huan'zhu'shi'bo
一枕黄梁再现,yi'zhen'huang'liang'zai'xian
因步其韵奉和,yin'bu'qi'yun'feng'he
饮茶粤海未能忘,yin'cha'yue'hai'wei'neng'wang
引无数英雄竞折腰,yin'wu'shu'ying'xiong'jing'zhe'yao
迎东风革命展红旗,ying'dong'feng'ge'ming'zhan'hong'qi
鹰击长空,ying'ji'chang'kong
永诀从今始,yong'jue'cong'jin'shi
有多少风流人物,you'duo'shao'feng'liu'ren'wu
有几个苍蝇碰壁,you'ji'ge'cang'ying'peng'bi
又恰像台风扫环宇,you'qia'xiang'tai'feng'sao'huan'yu
有人泣,you'ren'qi
又食武昌鱼,you'shi'wu'chang'yu
有仙山琼阁,you'xian'shan'qiong'ge
有雄文四卷,you'xiong'wen'si'juan
犹有花枝俏,you'you'hua'zhi'qiao
雨后复斜阳,yu'hou'fu'xie'yang
渔家傲反第二次大围剿,yu'jia'ao'fan'di'er'ci'da'wei'jiao
渔家傲反第一次大围剿,yu'jia'ao'fan'di'yi'ci'da'wei'jiao
余江县消灭了血丝虫,yu'jiang'xian'xiao'mie'le'xue'si'chong
鱼翔浅底,yu'xiang'qian'di
玉宇澄清万里埃,yu'yu'deng'qing'wan'li'ai
欲与天公试比高,yu'yu'tian'gong'shi'bi'gao
原驰蜡象,yuan'chi'la'xiang
愿言试长剑,yuan'yan'shi'chang'jian
阅尽人间春色,yue'jin'ren'jian'chun'se
跃上葱茏四百旋,yue'shang'cong'long'si'bai'xuan
云封狮固楼,yun'feng'shi'gu'lou
云横九派浮黄鹤,yun'heng'jiu'pai'fu'huang'he
云开衡岳积阴止,yun'kai'heng'yue'ji'yin'zhi
再加牛肉,zai'jia'niu'rou
在我学子,zai'wo'xue'zi
早已森严壁垒,zao'yi'sen'yan'bi'lei
怎么得了,zen'me'de'liao
赠丁玲,zeng'ding'ling
战地黄花分外香,zhan'di'huang'hua'fen'wai'xiang
战锦方为大问题,zhan'jin'fang'wei'da'wen'ti
战士指看南粤,zhan'shi'zhi'kan'nan'yue
丈夫何事足萦怀,zhang'fu'he'shi'zu'ying'huai
招待出牢人,zhao'dai'chu'lao'ren
照横塘半天残月,zhao'heng'tang'ban'tian'can'yue
真金在,zhen'jin'zai
阵图开向陇山东,zhen'tu'kai'xiang'long'shan'dong
征人何处觅,zheng'ren'he'chu'mi
正西风落叶下长安,zheng'xi'feng'luo'ye'xia'chang'an
只把春来报,zhi'ba'chun'lai'bao
直把天涯都照彻,zhi'ba'tian'ya'dou'zhao'che
纸船明烛照天烧,zhi'chuan'ming'zhu'zhao'tian'shao
指点江山,zhi'dian'jiang'shan
只几个石头磨过,zhi'ji'ge'shi'tou'mo'guo
只识弯弓射大雕,zhi'shi'wan'gong'she'da'diao
知误会前翻书语,zhi'wu'hui'qian'fan'shu'yu
直下龙岩上杭,zhi'xia'long'yan'shang'hang
知向谁边,zhi'xiang'shui'bian
只要肯登攀,zhi'yao'ken'deng'pan
只有香如故,zhi'you'xiang'ru'gu
只缘妖雾又重来,zhi'yuan'yao'wu'you'chong'lai
只争朝夕,zhi'zheng'zhao'xi
直指武夷山下,zhi'zhi'wu'yi'shan'xia
踯躅城南隈,zhi'zhu'cheng'nan'wei
重比翼,zhong'bi'yi
中华儿女多奇志,zhong'hua'er'nv'duo'qi'zhi
钟山风雨起苍黄,zhong'shan'feng'yu'qi'cang'huang
重上井冈山,zhong'shang'jing'gang'shan
咒念金箍闻万遍,zhou'nian'jin'gu'wen'wan'bian
诸公碌碌皆余子,zhu'gong'lu'lu'jie'yu'zi
朱华春不荣,zhu'hua'chun'bu'rong
猪犹智慧胜愚曹,zhu'you'zhi'hui'sheng'yu'cao
装点此关山,zhuang'dian'ci'guan'shan
子期竟早亡,zi'qi'jing'zao'wang
自信人生二百年,zi'xin'ren'sheng'er'bai'nian
子在川上曰,zi'zai'chuan'shang'yue
祖生击楫至今传,zu'sheng'ji'ji'zhi'jin'chuan
坐地日行八万里,zuo'di'ri'xing'ba'wan'li
昨天文小姐,zuo'tian'wen'xiao'jie
