阿拔斯一世,a'ba'si'yi'shi
菊与刀,ju'yu'dao
绝对主权,jue'dui'zhu'quan
掘土派运动,jue'tu'pai'yun'dong
军队建设,jun'dui'jian'she
军官资格,jun'guan'zi'ge
军国主义,jun'guo'zhu'yi
均权政治学说,jun'quan'zheng'zhi'xue'shuo
军事打击,jun'shi'da'ji
军事调遣,jun'shi'diao'qian
军事封建帝国主义国家,jun'shi'feng'jian'di'guo'zhu'yi'guo'jia
军事工业,jun'shi'gong'ye
君士坦丁,jun'shi'tan'ding
君士坦丁堡,jun'shi'tan'ding'bao
君士坦丁堡的陷落,jun'shi'tan'ding'bao'de'xian'luo
君士坦丁大帝,jun'shi'tan'ding'da'di
君士坦丁的赠与,jun'shi'tan'ding'de'zeng'yu
军事同盟,jun'shi'tong'meng
军事战略,jun'shi'zhan'lue
君主国,jun'zhu'guo
君主立宪,jun'zhu'li'xian
君主立宪制,jun'zhu'li'xian'zhi
君主制国家,jun'zhu'zhi'guo'jia
卡布奥,ka'bu'ao
卡德纳斯,ka'de'na'si
卡叠石之战,ka'die'shi'zhi'zhan
卡尔李卜克内西,ka'er'li'bu'ke'nei'xi
卡芬雅克,ka'fen'ya'ke
卡洛斯,ka'luo'si
卡洛斯一世,ka'luo'si'yi'shi
卡尼什,ka'ni'shen
卡诺萨觐见,ka'nuo'sa'jin'jian
卡帕多细亚,ka'pa'duo'xi'ya
卡普暴动,ka'pu'bao'dong
卡斯蒂利亚王国,ka'si'di'li'ya'wang'guo
卡斯克摩,ka'si'ke'mo
卡廷森林,ka'ting'sen'lin
凯尔特人,kai'er'te'ren
开罗宣言,kai'luo'xuan'yan
凯末尔,kai'mo'er
凯撒,kai'sa
恺撒,kai'sa
恺撒军事独裁,kai'sa'jun'shi'du'cai
开始衰败,kai'shi'shuai'bai
开始衰落,kai'shi'shuai'luo
开始向,kai'shi'xiang
开始形成,kai'shi'xing'cheng
戡乱总动员,kan'luan'zong'dong'yuan
考茨基,kao'ci'ji
克拉苏,ke'la'su
克莱武,ke'lai'wu
克里蒙梭,ke'li'meng'suo
克里孟梭,ke'li'meng'suo
克里木战争,ke'li'mu'zhan'zheng
克里特文明,ke'li'te'wen'ming
科林斯会议,ke'lin'si'hui'yi
克娄巴特拉,ke'lou'ba'te'la
科伦共产党人审判案,ke'lun'gong'chan'dang'ren'shen'pan'an
克伦威尔,ke'lun'wei'er
克洛维,ke'luo'wei
可能派,ke'neng'pai
克努特大帝,ke'nu'te'da'di
科西嘉岛,ke'xi'jia'dao
科西嘉族,ke'xi'jia'zu
克孜尔石窟,ke'zi'er'shi'ku
空前膨胀,kong'qian'peng'zhang
孔雀帝国,kong'que'di'guo
孔雀王朝,kong'que'wang'chao
控制地位,kong'zhi'di'wei
口分田,kou'fen'tian
寇松线,kou'song'xian
拉丁帝国,la'ding'di'guo
拉吉舍夫,la'ji'she'fu
喇家遗址,la'jia'yi'zhi
拉齐斯,la'qi'si
拉萨尔,la'sa'er
来库古改革,lai'ku'gu'gai'ge
莱茵非武装区,lai'yin'fei'wu'zhuang'qu
岚山,lan'shan
兰斯受洗,lan'si'shou'xi
劳工代表委员会,lao'gong'dai'biao'wei'yuan'hui
劳合乔治,lao'he'qiao'zhi
老种经略相公,lao'zhong'jing'lue'xiang'gong
雷必达,lei'bi'da
雷穆斯,lei'mu'si
冷战后,leng'zhan'hou
冷战结束,leng'zhan'jie'shu
里昂工人起义,li'ang'gong'ren'qi'yi
利奥波德二世,li'ao'bo'de'er'shi
李奥尼达,li'ao'ni'da
李顿调查团,li'dun'diao'cha'tuan
立法形式,li'fa'xing'shi
里夫共和国,li'fu'gong'he'guo
利簋,li'gui
李奇微,li'qi'wei
李锡尼,li'xi'ni
李之龙,li'zhi'long
联邦德国,lian'bang'de'guo
联邦会议,lian'bang'hui'yi
联邦欧洲,lian'bang'ou'zhou
联合国,lian'he'guo
联合国安理会,lian'he'guo'an'li'hui
联合国安全理事会,lian'he'guo'an'quan'li'shi'hui
联合国家宣言,lian'he'guo'jia'xuan'yan
联合王国,lian'he'wang'guo
联合政府,lian'he'zheng'fu
联姻合并,lian'yin'he'bing
两国关系,liang'guo'guan'xi
两河流域,liang'he'liu'yu
两万名,liang'wan'ming
列奥尼达,lie'ao'ni'da
列夫托尔斯泰,lie'fu'tuo'er'si'tai
列宁,lie'ning
列霞白利法,lie'xia'bai'li'fa
林肯,lin'ken
临时约法,lin'shi'yue'fa
临时政府,lin'shi'zheng'fu
领事裁判权,ling'shi'cai'pan'quan
领土完整,ling'tu'wan'zheng
另一支,ling'yi'zhi
六国外长会议,liu'guo'wai'zhang'hui'yi
六三政变,liu'san'zheng'bian
流血星期日,liu'xue'xing'qi'ri
六月起义,liu'yue'qi'yi
龙安寺,long'an'si
鲁初税亩,lu'chu'shui'mu
路德教派,lu'de'jiao'pai
卢德运动,lu'de'yun'dong
鲁登道夫,lu'deng'dao'fu
卢森堡,lu'sen'bao
卢梭,lu'suo
路易勃朗,lu'yi'bo'lang
路易波拿巴,lu'yi'bo'na'ba
鹿苑寺,lu'yuan'si
罗伯斯庇尔,luo'bo'si'bi'er
罗得斯,luo'de'si
逻各斯,luo'ge'si
洛迦诺公约,luo'jia'nuo'gong'yue
罗马帝国,luo'ma'di'guo
罗马帝国的分裂,luo'ma'di'guo'de'fen'lie
罗马共和国,luo'ma'gong'he'guo
罗马古城庞贝,luo'ma'gu'cheng'pang'bei
罗马教皇,luo'ma'jiao'huang
罗马人,luo'ma'ren
罗曼诺夫王朝,luo'man'nuo'fu'wang'chao
罗蒙诺索夫,luo'meng'nuo'suo'fu
罗摩衍那,luo'mo'yan'na
罗慕路斯,luo'mu'lu'si
罗姆苏丹,luo'mu'su'dan
罗姆苏丹国,luo'mu'su'dan'guo
洛桑条约,luo'sang'tiao'yue
罗斯福新政,luo'si'fu'xin'zheng
绿衣大食,lv'yi'da'shi
闾左,lv'zuo
马丁路德,ma'ding'lu'de
马恩河会战,ma'en'he'hui'zhan
马尔萨斯,ma'er'sa'si
马尔托夫,ma'er'tuo'fu
马赫迪反英起义,ma'he'di'fan'ying'qi'yi
马赫迪起义,ma'he'di'qi'yi
马基雅弗利,ma'ji'ya'fu'li
马基雅维利,ma'ji'ya'wei'li
马可波罗,ma'ke'bo'luo
马克思,ma'ke'si
马克吐温,ma'ke'tu'wen
马拉松战役,ma'la'song'zhan'yi
马其顿,ma'qi'dun
马其顿的兴起,ma'qi'dun'de'xing'qi
马其顿方阵,ma'qi'dun'fang'zhen
马其诺防线,ma'qi'nuo'fang'xian
马斯塔巴,ma'si'ta'ba
马王堆汉墓,ma'wang'dui'han'mu
马王堆汉墓帛书,ma'wang'dui'han'mu'bo'shu
马志尼,ma'zhi'ni
麦卡瑟船长,mai'ka'se'chuan'zhang
迈锡尼文明,mai'xi'ni'wen'ming
麦哲伦环球航行,mai'zhe'lun'huan'qiu'hang'xing
莽牯朱蛤,mang'gu'zhu'ge
贸易额,mao'yi'e
美孚石油公司,mei'fu'shi'you'gong'si
玫瑰园敕令,mei'gui'yuan'chi'ling
玫瑰战争,mei'gui'zhan'zheng
美国八大财团,mei'guo'ba'da'cai'tuan
美国的,mei'guo'de
美国第二次独立战争,mei'guo'di'er'ci'du'li'zhan'zheng
美国独立战争,mei'guo'du'li'zhan'zheng
美国废奴运动,mei'guo'fei'nu'yun'dong
美国共和党,mei'guo'gong'he'dang
美国军队,mei'guo'jun'dui
美国民主党,mei'guo'min'zhu'dang
美国人民,mei'guo'ren'min
美国社会主义工党,mei'guo'she'hui'zhu'yi'gong'dang
美国中立法,mei'guo'zhong'li'fa
美利坚人,mei'li'jian'ren
美尼斯,mei'ni'si
梅什科一世,mei'shen'ke'yi'shi
梅特涅,mei'te'nie
美西战争,mei'xi'zhan'zheng
每周评论,mei'zhou'ping'lun
门罗宣言,men'luo'xuan'yan
猛安谋克,meng'an'mou'ke
蒙巴顿方案,meng'ba'dun'fang'an
孟德斯鸠,meng'de'si'jiu
孟斐斯,meng'fei'si
孟斐斯帝国,meng'fei'si'di'guo
蒙古人西征,meng'gu'ren'xi'zheng
盟国管制委员会,meng'guo'guan'zhi'wei'yuan'hui
梦溪笔谈,meng'xi'bi'tan
米底王国,mi'di'wang'guo
米勒兰,mi'le'lan
米骚动,mi'sao'dong
弥生式陶器,mi'sheng'shi'tao'qi
秘书长,mi'shu'zhang
缅甸远征军,mian'dian'yuan'zheng'jun
灭亡埃及,mie'wang'ai'ji
民报,min'bao
闵采尔,min'cai'er
民粹派,min'cui'pai
民族大迁徙,min'zu'da'qian'xi
民族国家,min'zu'guo'jia
民族自决,min'zu'zi'jue
明仁,ming'ren
明仁即位,ming'ren'ji'wei
明治维新,ming'zhi'wei'xin
明治政府,ming'zhi'zheng'fu
摩差,mo'cha
末代国王,mo'dai'guo'wang
摩尔根,mo'er'gen
摩诃婆罗多,mo'he'po'luo'duo
摩亨佐达罗,mo'heng'zuo'da'luo
摩揭陀,mo'jie'tuo
末罗,mo'luo
莫洛托夫计划,mo'luo'tuo'fu'ji'hua
末日审判书,mo'ri'shen'pan'shu
莫斯科大公国,mo'si'ke'da'gong'guo
莫斯科公国,mo'si'ke'gong'guo
莫斯科会战,mo'si'ke'hui'zhan
墨索里尼,mo'suo'li'ni
莫卧儿帝国,mo'wo'er'di'guo
墨西哥资产阶级革命,mo'xi'ge'zi'chan'jie'ji'ge'ming
穆阿维叶,mu'a'wei'ye
幕藩体制,mu'fan'ti'zhi
穆罕默德,mu'han'mo'de
穆罕默德阿里,mu'han'mo'de'a'li
木乃伊,mu'nai'yi
慕尼黑协定,mu'ni'hei'xie'ding
穆斯林军团,mu'si'lin'jun'tuan
穆斯林民族,mu'si'lin'min'zu
纳粹党,na'cui'dang
拿破仑波拿巴,na'po'lun'bo'na'ba
拿破仑法典,na'po'lun'fa'dian
纳特里克特,na'te'li'ke'te
南北战争,nan'bei'zhan'zheng
南亚次大陆,nan'ya'ci'da'lu
南洋大臣,nan'yang'da'chen
内阁制,nei'ge'zhi
尼布甲尼撒二世,ni'bu'jia'ni'sa'er'shi
尼德兰革命,ni'de'lan'ge'ming
尼赫鲁,ni'he'lu
尼罗河下游地区,ni'luo'he'xia'you'de'qu
尼尼微,ni'ni'wei
年波斯,nian'bo'si
年成立,nian'cheng'li
年召开,nian'zhao'kai
年之久,nian'zhi'jiu
鸟羽伏见,niao'yu'fu'jian
鸟羽伏见之战,niao'yu'fu'jian'zhi'zhan
涅木虎,nie'mu'hu
涅西特人,nie'xi'te'ren
涅西特语,nie'xi'te'yu
牛顿,niu'dun
牛津条例,niu'jin'tiao'li
纽伦堡审判,niu'lun'bao'shen'pan
农产品义务交售制,nong'chan'pin'yi'wu'jiao'shou'zhi
农民问题,nong'min'wen'ti
农奴制,nong'nu'zhi
农奴制度,nong'nu'zhi'du
农桑辑要,nong'sang'ji'yao
农业发展的美国式道路,nong'ye'fa'zhan'de'mei'guo'shi'dao'lu
农业发展的普鲁士式道路,nong'ye'fa'zhan'de'pu'lu'shi'shi'dao'lu
农业基本法,nong'ye'ji'ben'fa
农业集体化政策,nong'ye'ji'ti'hua'zheng'ce
农业税,nong'ye'shui
农政全书,nong'zheng'quan'shu
奴隶起义,nu'li'qi'yi
奴隶制国家,nu'li'zhi'guo'jia
诺贝尔,nuo'bei'er
诺曼底登陆,nuo'man'di'deng'lu
诺曼底公爵,nuo'man'di'gong'jue
诺曼征服,nuo'man'zheng'fu
诺姆,nuo'mu
欧麦尔一世,ou'mai'er'yi'shi
欧文,ou'wen
欧洲北部,ou'zhou'bei'bu
欧洲大陆,ou'zhou'da'lu
欧洲共同体,ou'zhou'gong'tong'ti
欧洲国家,ou'zhou'guo'jia
欧洲一体化,ou'zhou'yi'ti'hua
欧洲战争策源地,ou'zhou'zhan'zheng'ce'yuan'di
派遣使团,pai'qian'shi'tuan
庞贝,pang'bei
庞培,pang'pei
炮兵学,pao'bing'xue
裴多菲,pei'duo'fei
裴多斐,pei'duo'fei
佩卓,pei'zhuo
片面最惠国待遇,pian'mian'zui'hui'guo'dai'yu
片山潜,pian'shan'qian
平安神宫,ping'an'shen'gong
平成,ping'cheng
平城京,ping'cheng'jing
平成元年,ping'cheng'yuan'nian
平等合作,ping'deng'he'zuo
平等派,ping'deng'pai
婆罗门教,po'luo'men'jiao
普法战争,pu'fa'zhan'zheng
蒲甘王朝,pu'gan'wang'chao
普加乔夫起义,pu'jia'qiao'fu'qi'yi
普列汉诺夫,pu'lie'han'nuo'fu
蒲鲁东,pu'lu'dong
普鲁士,pu'lu'shi
普鲁士三月革命,pu'lu'shi'san'yue'ge'ming
葡萄牙帝国,pu'tao'ya'di'guo
葡萄牙殖民,pu'tao'ya'zhi'min
七个王国,qi'ge'wang'guo
奇怪的战争,qi'guai'de'zhan'zheng
契卡,qi'ka
齐卢战争,qi'lu'zhan'zheng
齐民要术,qi'min'yao'shu
耆那教,qi'na'jiao
七年战争,qi'nian'zhan'zheng
七十年代,qi'shi'nian'dai
七十七国集团,qi'shi'qi'guo'ji'tuan
骑士文学,qi'shi'wen'xue
祺祥政变,qi'xiang'zheng'bian
七星期战争,qi'xing'qi'zhan'zheng
企业界,qi'ye'jie
七一五反革命政变,qi'yi'wu'fan'ge'ming'zheng'bian
七月王朝,qi'yue'wang'chao
浅草寺,qian'cao'si
签订了,qian'ding'le
前去保护,qian'qu'bao'hu
遣隋使,qian'sui'shi
遣唐使,qian'tang'shi
钱引,qian'yin
潜在威胁,qian'zai'wei'xie
钦察汗国,qin'cha'han'guo
秦帝国,qin'di'guo
侵苏战争,qin'su'zhan'zheng
清季外交史料,qing'ji'wai'jiao'shi'liao
清教,qing'jiao
青年武士,qing'nian'wu'shi
清水陶瓷,qing'shui'tao'ci
清洗了,qing'xi'le
丘吉尔,qiu'ji'er
趋于正常化,qu'yu'zheng'chang'hua
圈地运动,quan'di'yun'dong
全国性政府,quan'guo'xing'zheng'fu
全国义务兵制,quan'guo'yi'wu'bing'zhi
权力法案,quan'li'fa'an
全民公决,quan'min'gong'jue
全民投票,quan'min'tou'piao
全球第一,quan'qiu'di'yi
全球商业霸权,quan'qiu'shang'ye'ba'quan
劝世良言,quan'shi'liang'yan
榷场,que'chang
热那亚共和国,re'na'ya'gong'he'guo
热月政变,re'yue'zheng'bian
仁安羌大捷,ren'an'qiang'da'jie
仁安羌战役,ren'an'qiang'zhan'yi
壬辰卫国战争,ren'chen'wei'guo'zhan'zheng
人民宪章,ren'min'xian'zhang
人权宣言,ren'quan'xuan'yan
人文初祖,ren'wen'chu'zu
人物,ren'wu
人殉,ren'xun
日本的,ri'ben'de
日本经济,ri'ben'jing'ji
日本军部,ri'ben'jun'bu
日本首相,ri'ben'shou'xiang
日本政府,ri'ben'zheng'fu
日不落帝国,ri'bu'luo'di'guo
日俄战争,ri'e'zhan'zheng
日耳曼人,ri'er'man'ren
日耳曼诸王国的建立,ri'er'man'zhu'wang'guo'de'jian'li
日军投降,ri'jun'tou'xiang
日苏中立条约,ri'su'zhong'li'tiao'yue
容克,rong'ke
容克地主,rong'ke'di'zhu
儒略历,ru'lue'li
入主中原,ru'zhu'zhong'yuan
若昂大帝,ruo'ang'da'di
萨尔贡,sa'er'gong
萨克逊人,sa'ke'xun'ren
撒克逊时代,sa'ke'xun'shi'dai
萨拉丁,sa'la'ding
萨拉米海战,sa'la'mi'hai'zhan
萨拉热窝事件,sa'la're'wo'shi'jian
萨拉托加大捷,sa'la'tuo'jia'da'jie
萨利克法典,sa'li'ke'fa'dian
萨珊王朝,sa'shan'wang'chao
塞尔维乌斯,sai'er'wei'wu'si
塞尔维乌斯改革,sai'er'wei'wu'si'gai'ge
塞尔维亚王国,sai'er'wei'ya'wang'guo
塞尔柱土耳其人,sai'er'zhu'tu'er'qi'ren
塞万提斯,sai'wan'ti'si
赛先生,sai'xian'sheng
三拜九叩,san'bai'jiu'kou
三次瓜分波兰,san'ci'gua'fen'bo'lan
三大洲,san'da'zhou
三党,san'dang
三国同盟,san'guo'tong'meng
三国协约,san'guo'xie'yue
三级会议,san'ji'hui'yi
三角航程,san'jiao'hang'cheng
三角缘神兽镜,san'jiao'yuan'shen'shou'jing
三井财阀,san'jing'cai'fa
三菱财阀,san'ling'cai'fa
三年内战,san'nian'nei'zhan
三十年战争,san'shi'nian'zhan'zheng
三体石经,san'ti'shi'jing
三饷,san'xiang
桑地诺,sang'di'nuo
色当,se'dang
色当投降,se'dang'tou'xiang
色佛尔和约,se'fo'er'he'yue
刹帝利,sha'di'li
沙俄帝国,sha'e'di'guo
沙皇,sha'huang
沙井文化,sha'jing'wen'hua
沙卡拉,sha'ka'la
沙漠风暴,sha'mo'feng'bao
沙漠军刀,sha'mo'jun'dao
沙普尔二世,sha'pu'er'er'shi
莎士比亚,sha'shi'bi'ya
闪电貂,shan'dian'diao
闪击战,shan'ji'zhan
山名宗全,shan'ming'zong'quan
上帝之鞭,shang'di'zhi'bian
商凭,shang'ping
上台执政,shang'tai'zhi'zheng
商王国,shang'wang'guo
商业繁荣,shang'ye'fan'rong
商业公社,shang'ye'gong'she
商业殖民地,shang'ye'zhi'min'di
社会党,she'hui'dang
社会问题,she'hui'wen'ti
社会主义革命,she'hui'zhu'yi'ge'ming
社会主义工人国际,she'hui'zhu'yi'gong'ren'guo'ji
社会主义国家政权,she'hui'zhu'yi'guo'jia'zheng'quan
神庙经济,shen'miao'jing'ji
神圣罗马帝国,shen'sheng'luo'ma'di'guo
神圣同盟,shen'sheng'tong'meng
省港大罢工,sheng'gang'da'ba'gong
圣库制度,sheng'ku'zhi'du
绳文文化,sheng'wen'wen'hua
绳纹文化,sheng'wen'wen'hua
圣西门,sheng'xi'men
食菜事魔教,shi'cai'shi'mo'jiao
市场买卖,shi'chang'mai'mai
室町,shi'ding
室町幕府,shi'ding'mu'fu
十二铜表法,shi'er'tong'biao'fa
十二月党人起义,shi'er'yue'dang'ren'qi'yi
世纪初,shi'ji'chu
世纪末,shi'ji'mo
世纪中期,shi'ji'zhong'qi
世纪中叶,shi'ji'zhong'ye
世纪左右,shi'ji'zuo'you
释迦牟尼,shi'jia'mou'ni
事件,shi'jian
世界各国,shi'jie'ge'guo
世界格局,shi'jie'ge'ju
世界历史上,shi'jie'li'shi'shang
世界民族大迁徙,shi'jie'min'zu'da'qian'xi
世界强国,shi'jie'qiang'guo
世界上第一个,shi'jie'shang'di'yi'ge
世界石油主产区,shi'jie'shi'you'zhu'chan'qu
世界文化与自然遗产,shi'jie'wen'hua'yu'zi'ran'yi'chan
十九世纪,shi'jiu'shi'ji
失蜡法,shi'la'fa
史里芬计划,shi'li'fen'ji'hua
势力最大的,shi'li'zui'da'de
十七史商榷,shi'qi'shi'shang'que
狮身人面像,shi'shen'ren'mian'xiang
是斯巴达,shi'si'ba'da
史汀生主义,shi'ting'sheng'zhu'yi
十通,shi'tong
史通,shi'tong
石头建筑,shi'tou'jian'zhu
时务报,shi'wu'bao
世袭领地,shi'xi'ling'di
实现了,shi'xian'le
施洋,shi'yang
十一抽杀令,shi'yi'chou'sha'ling
是英国,shi'ying'guo
石油问题,shi'you'wen'ti
十月革命,shi'yue'ge'ming
十月全俄政治总罢工,shi'yue'quan'e'zheng'zhi'zong'ba'gong
十月社会主义革命,shi'yue'she'hui'zhu'yi'ge'ming
十字军东侵,shi'zi'jun'dong'qin
首次正式,shou'ci'zheng'shi
手斧,shou'fu
授权法,shou'quan'fa
授权下,shou'quan'xia
守土抗战,shou'tu'kang'zhan
守土乡官,shou'tu'xiang'guan
首陀罗,shou'tuo'luo
输籍法,shu'ji'fa
舒曼计划,shu'man'ji'hua
水力帝国,shui'li'di'guo
税务司,shui'wu'si
斯巴达,si'ba'da
斯巴达克起义,si'ba'da'ke'qi'yi
斯巴达克斯,si'ba'da'ke'si
斯巴达克同盟,si'ba'da'ke'tong'meng
四百人议事会,si'bai'ren'yi'shi'hui
斯达汉诺夫运动,si'da'han'nuo'fu'yun'dong
斯大林,si'da'lin
斯大林格勒会战,si'da'lin'ge'le'hui'zhan
斯多葛学派,si'duo'ge'xue'pai
四个亚非文明古国,si'ge'ya'fei'wen'ming'gu'guo
四季捺钵,si'ji'na'bo
斯拉夫派,si'la'fu'pai
司礼监,si'li'jian
司母戊鼎,si'mu'wu'ding
四十年代,si'shi'nian'dai
斯图亚特王朝,si'tu'ya'te'wang'chao
斯托雷平土地改革,si'tuo'lei'ping'tu'di'gai'ge
死亡集中营,si'wang'ji'zhong'ying
死亡人数,si'wang'ren'shu
斯维尔德洛夫,si'wei'er'de'luo'fu
四一二反革命政变,si'yi'er'fan'ge'ming'zheng'bian
四月提纲,si'yue'ti'gang
苏德互不侵犯条约,su'de'hu'bu'qin'fan'tiao'yue
窣堵波,su'du'bo
苏俄,su'e
肃反,su'fan
苏芬战争,su'fen'zhan'zheng
苏福省,su'fu'sheng
苏格拉底,su'ge'la'di
苏格兰国王,su'ge'lan'guo'wang
苏拉,su'la
苏莱曼,su'lai'man
苏莱曼大帝,su'lai'man'da'di
苏黎世三人团,su'li'shi'san'ren'tuan
苏联,su'lian
苏联的,su'lian'de
苏联共产党,su'lian'gong'chan'dang
苏联国务委员会,su'lian'guo'wu'wei'yuan'hui
苏联解体,su'lian'jie'ti
苏联农业全盘集体化运动,su'lian'nong'ye'quan'pan'ji'ti'hua'yun'dong
苏联社会主义工业化方针,su'lian'she'hui'zhu'yi'gong'ye'hua'fang'zhen
苏联卫国战争,su'lian'wei'guo'zhan'zheng
苏联最高苏维埃共和国院,su'lian'zui'gao'su'wei'ai'gong'he'guo'yuan
苏罗婆,su'luo'po
苏美尔人的城市国家,su'mei'er'ren'de'cheng'shi'guo'jia
苏台德,su'tai'de
苏台德事件,su'tai'de'shi'jian
苏维埃,su'wei'ai
苏维埃社会主义共和国联盟,su'wei'ai'she'hui'zhu'yi'gong'he'guo'lian'meng
苏维埃政府,su'wei'ai'zheng'fu
苏维埃政权,su'wei'ai'zheng'quan
苏我稻目,su'wo'dao'mu
苏亚雷斯,su'ya'lei'si
苏占区,su'zhan'qu
绥靖政策,sui'jing'zheng'ce
随团出访,sui'tuan'chu'fang
孙膑兵法,sun'bin'bing'fa
孙子兵法,sun'zi'bing'fa
索古德地区,suo'gu'de'di'qu
梭伦改革,suo'lun'gai'ge
琐罗亚斯德教,suo'luo'ya'si'de'jiao
琐罗亚斯特教,suo'luo'ya'si'te'jiao
索姆河战役,suo'mu'he'zhan'yi
塔西坨,ta'xi'tuo
台尔曼,tai'er'man
太平军,tai'ping'jun
太平洋战争,tai'ping'yang'zhan'zheng
太阳田,tai'yang'tian
摊丁入亩,tan'ding'ru'mu
唐律疏议,tang'lv'shu'yi
陶片放逐,tao'pian'fang'zhu
桃山文化,tao'shan'wen'hua
特隆,te'long
特殊关系,te'shu'guan'xi
提洛同盟,ti'luo'tong'meng
提刑按察使司,ti'xing'an'cha'shi'si
梯也尔,ti'ye'er
天朝规矩,tian'chao'gui'ju
天朝田亩制度,tian'chao'tian'mu'zhi'du
田里不鬻,tian'li'bu'yu
田凭,tian'ping
天守阁,tian'shou'ge
田中访华,tian'zhong'fang'hua
田中角荣,tian'zhong'jiao'rong
田中奏折,tian'zhong'zou'zhe
调整商业,tiao'zheng'shang'ye
贴经,tie'jing
铁列平,tie'lie'ping
铁列平改革,tie'lie'ping'gai'ge
帖木儿,tie'mu'er
铁托,tie'tuo
停止存在,ting'zhi'cun'zai
通道会议,tong'dao'hui'yi
通典,tong'dian
通过决议,tong'guo'jue'yi
通过宪法,tong'guo'xian'fa
同美国,tong'mei'guo
同盟国,tong'meng'guo
同平章事,tong'ping'zhang'shi
通事,tong'shi
通史,tong'shi
同文馆,tong'wen'guan
统一的,tong'yi'de
统一了,tong'yi'le
通志,tong'zhi
统治全国,tong'zhi'quan'guo
统治时期,tong'zhi'shi'qi
统治者们,tong'zhi'zhe'men
同中书门下三品,tong'zhong'shu'men'xia'san'pin
投降德国,tou'xiang'de'guo
土墩墓,tu'dun'mu
土耳其帝国,tu'er'qi'di'guo
图拉真,tu'la'zhen
突尼斯城,tu'ni'si'cheng
突尼斯政府,tu'ni'si'zheng'fu
图特摩斯三世,tu'te'mo'si'san'shi
土一揆,tu'yi'kui
团关政策,tuan'guan'zheng'ce
退出北约,tui'chu'bei'yue
推翻了,tui'fan'le
托勒密,tuo'le'mi
托利党,tuo'li'dang
托洛茨基,tuo'luo'ci'ji
托洛茨基主义,tuo'luo'ci'ji'zhu'yi
托马斯阿奎那,tuo'ma'si'a'kui'na
托马斯闵采尔,tuo'ma'si'min'cai'er
瓦尔密战役,wa'er'mi'zhan'yi
瓦尔那,wa'er'na
瓦思库,wa'si'ku
瓦特,wa'te
瓦特泰勒起义,wa'te'tai'le'qi'yi
外高加索联邦,wai'gao'jia'suo'lian'bang
外交上,wai'jiao'shang
外交使团,wai'jiao'shi'tuan
外交斡旋,wai'jiao'wo'xuan
完全独立,wan'quan'du'li
万亿美元,wan'yi'mei'yuan
王朝复辟,wang'chao'fu'bi
汪达尔人,wang'da'er'ren
王权,wang'quan
望厦条约,wang'xia'tiao'yue
魏德迈,wei'de'mai
维多利亚,wei'duo'li'ya
威而士,wei'er'shi
威尔士与,wei'er'shi'yu
位法老,wei'fa'lao
围攻战,wei'gong'zhan
位国王,wei'guo'wang
卫国战争,wei'guo'zhan'zheng
为恢复,wei'hui'fu
为口号,wei'kou'hao
威廉二世,wei'lian'er'shi
威廉李卜克内西,wei'lian'li'bu'ke'nei'xi
威廉三世,wei'lian'san'shi
魏玛共和国,wei'ma'gong'he'guo
威尼斯共和国,wei'ni'si'gong'he'guo
委任统治,wei'ren'tong'zhi
维萨里奥诺维奇,wei'sa'li'ao'nuo'wei'qi
威塞克斯,wei'sai'ke'si
威塞克斯国王,wei'sai'ke'si'guo'wang
为首的,wei'shou'de
为首相,wei'shou'xiang
威斯敏斯特法案,wei'si'min'si'te'fa'an
魏特林,wei'te'lin
维希政府,wei'xi'zheng'fu
维也纳会议,wei'ye'na'hui'yi
唯一的,wei'yi'de
唯一继承国,wei'yi'ji'cheng'guo
温泉关战役,wen'quan'guan'zhan'yi
文史通义,wen'shi'tong'yi
问题与主义之争,wen'ti'yu'zhu'yi'zhi'zheng
文献通考,wen'xian'tong'kao
文艺复兴,wen'yi'fu'xing
沃姆斯宗教协定,wo'mu'si'zong'jiao'xie'ding
屋大维,wu'da'wei
屋大维元首政治,wu'da'wei'yuan'shou'zheng'zhi
伍德罗威尔逊,wu'de'luo'wei'er'xun
无敌舰队,wu'di'jian'dui
无敌舰队的覆灭,wu'di'jian'dui'de'fu'mie
武丁,wu'ding
乌尔班二世,wu'er'ban'er'shi
吴哥王朝,wu'ge'wang'chao
武官村大墓,wu'guan'cun'da'mu
武科,wu'ke
乌克兰,wu'ke'lan
武士道,wu'shi'dao
乌托邦,wu'tuo'bang
五一国际劳动节,wu'yi'guo'ji'lao'dong'jie
五一五事件,wu'yi'wu'shi'jian
五月花号,wu'yue'hua'hao
雾月十八日政变,wu'yue'shi'ba'ri'zheng'bian
雾月政变,wu'yue'zheng'bian
西班牙内战,xi'ban'ya'nei'zhan
西班牙殖民,xi'ban'ya'zhi'min
西本愿寺,xi'ben'yuan'si
希波克拉底,xi'bo'ke'la'di
希伯来王国,xi'bo'lai'wang'guo
希波战争,xi'bo'zhan'zheng
西部占领区,xi'bu'zhan'ling'qu
细川胜元,xi'chuan'sheng'yuan
西德,xi'de
西方大国,xi'fang'da'guo
西方国家,xi'fang'guo'jia
西芳寺,xi'fang'si
西方议会民主政治,xi'fang'yi'hui'min'zhu'zheng'zhi
喜克索斯,xi'ke'suo'si
希腊城邦,xi'la'cheng'bang
希腊大殖民运动,xi'la'da'zhi'min'yun'dong
希腊化时代,xi'la'hua'shi'dai
