阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
多嘴多舌,duo'zui'duo'she
恶抵,e'di
屙肚,e'du
恶恶脆,e'e'cui
屙啡啡,e'fei'fei
恶鲠,e'geng
呃鬼吃豆腐,e'gui'chi'dou'fu
呃鬼食豆腐,e'gui'shi'dou'fu
饿过饥,e'guo'ji
恶亨亨,e'heng'heng
恶昏,e'hun
恶教,e'jiao
恶佬怕烂婆,e'lao'pa'lan'po
屙茄,e'qie
呃晒,e'shai
呃神骗鬼,e'shen'pian'gui
恶爷,e'ye
恶意,e'yi
鳄鱼头,e'yu'tou
恶作,e'zuo
奀妹,en'mei
耳背,er'bei
二花面,er'hua'mian
耳窿,er'long
耳屎,er'shi
栮头,er'tou
儿嬉,er'xi
耳仔,er'zai
耳仔边,er'zai'bian
二仔底,er'zai'di
耳珠,er'zhu
发达,fa'da
发大水,fa'da'shui
发恶,fa'e
发风,fa'feng
发花癫,fa'hua'dian
发鸡盲,fa'ji'mang
发姣,fa'jiao
发脚,fa'jiao
发开口梦,fa'kai'kou'meng
发烂笮,fa'lan'ze
发烂渣,fa'lan'zha
发廊,fa'lang
发狼戾,fa'lang'li
发冷,fa'leng
坺迾,fa'lie
发毛,fa'mao
发矛,fa'mao
发梦,fa'meng
发掹曾,fa'meng'ceng
发泡胶,fa'pao'jiao
罚企,fa'qi
发钱寒,fa'qian'han
发青光,fa'qing'guang
发水,fa'shui
发尾,fa'wei
发瘟鸡,fa'wen'ji
发噏疯,fa'xi'feng
发夜游梦,fa'ye'you'meng
饭铲,fan'chan
饭铲头,fan'chan'tou
翻抄,fan'chao
反斗,fan'dou
饭公,fan'gong
番狗,fan'gou
反骨,fan'gu
返馆,fan'guan
番鬼佬凉茶,fan'gui'lao'liang'cha
番鬼妹,fan'gui'mei
番鬼婆,fan'gui'po
番鬼仔,fan'gui'zai
反昏,fan'hun
返几,fan'ji
番枧,fan'jian
番枧捋,fan'jian'luo
饭焦,fan'jiao
返嚟,fan'li
反领,fan'ling
番蛮,fan'man
反面,fan'mian
返企,fan'qi
翻生,fan'sheng
返生,fan'sheng
番薯,fan'shu
饭汤,fan'tang
翻头嫁,fan'tou'jia
反为,fan'wei
返学,fan'xue
番鸭,fan'ya
反仰,fan'yang
翻渣,fan'zha
返渣,fan'zha
犯众憎,fan'zhong'zeng
返转头,fan'zhuan'tou
反转猪肚就系屎,fan'zhuan'zhu'du'jiu'xi'shi
番啄,fan'zhuo
放白鸽,fang'bai'ge
放佊,fang'bi
房车,fang'che
放胆,fang'dan
放电,fang'dian
放光虫,fang'guang'chong
放蛇,fang'she
放声气,fang'sheng'qi
放水,fang'shui
肥肥白白,fei'fei'bai'bai
飞公,fei'gong
啡鸡,fei'ji
飞机榄,fei'ji'lan
飞机裇,fei'ji'xu
飞距快,fei'ju'kuai
飞来蜢,fei'lai'meng
肥佬,fei'lao
肺痨,fei'lao
非礼,fei'li
菲林,fei'lin
肥妹,fei'mei
肥奶奶,fei'nai'nai
肥婆,fei'po
飞起,fei'qi
费事,fei'shi
肥尸大只,fei'shi'da'zhi
肥水,fei'shui
飞水,fei'shui
肥头耷耳,fei'tou'da'er
肥腯腯,fei'tu'tu
飞翼,fei'yi
飞蝇,fei'ying
肥仔,fei'zai
肥仔唛,fei'zai'mai
肥仔米,fei'zai'mi
粉擦,fen'ca
粉肠,fen'chang
粉底,fen'di
分分钟,fen'fen'zhong
分甘同味独食难肥,fen'gan'tong'wei'du'shi'nan'fei
粉果,fen'guo
粉蕉,fen'jiao
粉角,fen'jiao
忿气,fen'qi
粉枪,fen'qiang
风肠,feng'chang
风柜,feng'gui
风栗,feng'li
风凉水冷,feng'liang'shui'leng
风炉,feng'lu
风赧,feng'nan
风炮,feng'pao
风枪,feng'qiang
逢亲,feng'qin
风扇,feng'shan
风鳝,feng'shan
风生水起,feng'sheng'shui'qi
风水先生呃你十年八年,feng'shui'xian'sheng'e'ni'shi'nian'ba'nian
风筒,feng'tong
凤尾鱼,feng'wei'yu
奉旨,feng'zhi
扶翅,fu'chi
伏倒你,fu'dao'ni
浮浮盼,fu'fu'pan
浮面,fu'mian
弗你落去,fu'ni'luo'qu
浮薸,fu'piao
浮荞,fu'qiao
甫士,fu'shi
甫士咭,fu'shi'ji
福寿膏,fu'shou'gao
福寿金,fu'shou'jin
福寿鱼,fu'shou'yu
福头,fu'tou
斧头边,fu'tou'bian
复写纸,fu'xie'zhi
负心,fu'xin
旮旯,ga'la
噶嘞嘛,ga'le'ma
咖喱,ga'li
噶嘛,ga'ma
噶么,ga'me
改名,gai'ming
该煨,gai'wei
干包,gan'bao
赶得起,gan'de'qi
赶得切,gan'de'qie
干鲠,gan'geng
赶工,gan'gong
干涸,gan'he
干湿褛,gan'shi'lv
干爽,gan'shuang
干水,gan'shui
赶水,gan'shui
甘笋,gan'sun
干塘,gan'tang
赶唔得切,gan'wu'de'qie
干争争,gan'zheng'zheng
赶住去投胎,gan'zhu'qu'tou'tai
杠床,gang'chuang
钢骨,gang'gu
钢筋,gang'jin
戆居,gang'ju
缸瓦,gang'wa
钢线,gang'xian
港纸,gang'zhi
告白,gao'bai
高大威猛,gao'da'wei'meng
告地状,gao'di'zhuang
高戙戙,gao'dong'dong
高窦,gao'dou
搞搞震,gao'gao'zhen
高柜,gao'gui
高佬,gao'lao
高买,gao'mai
糕盘,gao'pan
高汤,gao'tang
搞笑,gao'xiao
膏蟹,gao'xie
篙竹,gao'zhu
搞作,gao'zuo
个案,ge'an
隔成条墟距远,ge'cheng'tiao'xu'ju'yuan
佮佮,ge'ge
咯咯脆,ge'ge'cui
佮佮撼,ge'ge'han
咯咯声,ge'ge'sheng
割禾,ge'he
佮计,ge'ji
格拉底,ge'la'di
蛤乸,ge'na
格色,ge'se
隔山买牛,ge'shan'mai'niu
个谁,ge'shui
隔夜仇,ge'ye'chou
阁仔,ge'zai
跟风,gen'feng
跟屁虫,gen'pi'chong
跟人口水溦,gen'ren'kou'shui'mei
跟手,gen'shou
跟手尾,gen'shou'wei
跟尾,gen'wei
跟尾狗,gen'wei'gou
跟眼,gen'yan
跟住,gen'zhu
梗板,geng'ban
耕田,geng'tian
挭下啲粥,geng'xia'di'zhou
梗心梗肺,geng'xin'geng'fei
更之,geng'zhi
攻鼻,gong'bi
攻打四方城,gong'da'si'fang'cheng
拱倒,gong'dao
工夫,gong'fu
公文包,gong'wen'bao
工友,gong'you
公仔,gong'zai
公仔书,gong'zai'shu
狗焙,gou'bei
够胆,gou'dan
够胆死,gou'dan'si
够攰,gou'gui
狗棍,gou'gun
够喉,gou'hou
够镬气,gou'huo'qi
勾佬,gou'lao
够力,gou'li
狗毛虫,gou'mao'chong
够派,gou'pai
狗脐,gou'qi
狗肉滚两滚神仙企唔稳,gou'rou'gun'liang'gun'shen'xian'qi'wu'wen
够晒引,gou'shai'yin
狗虱,gou'shi
狗屎拉杂,gou'shi'la'za
狗尾靓,gou'wei'liang
狗牙,gou'ya
狗咬狗骨,gou'yao'gou'gu
够运,gou'yun
狗仔,gou'zai
狗爪边,gou'zhao'bian
够钟,gou'zhong
骨痹,gu'bi
故此,gu'ci
谷爹,gu'die
咕咕,gu'gu
谷古,gu'gu
鼓鼓的,gu'gu'de
孤寒,gu'han
孤寒铎度,gu'han'duo'du
蛊惑,gu'huo
蛊惑友,gu'huo'you
蛊惑仔,gu'huo'zai
孤家寡人,gu'jia'gua'ren
箍颈,gu'jing
古老十八代,gu'lao'shi'ba'dai
古老石山,gu'lao'shi'shan
咕哩,gu'li
古里古怪,gu'li'gu'guai
咕噜肉,gu'lu'rou
鼓埋泡腮,gu'mai'pao'sai
谷牛,gu'niu
姑婆,gu'po
骨气,gu'qi
鼓气,gu'qi
固然之,gu'ran'zhi
箍筍,gu'sun
古缩,gu'suo
姑勿论,gu'wu'lun
古月粉,gu'yue'fen
古仔,gu'zai
姑仔,gu'zai
蛊胀,gu'zhang
顾住,gu'zhu
骨子,gu'zi
刮粗龙,gua'cu'long
挂接车,gua'jie'che
挂腊鸭,gua'la'ya
瓜老亲,gua'lao'qin
刮龙,gua'long
刮塘,gua'tang
挂望,gua'wang
刮削,gua'xiao
挂住,gua'zhu
瓜子菜,gua'zi'cai
瓜子口面,gua'zi'kou'mian
怪错,guai'cuo
怪意,guai'yi
怪责,guai'ze
拐子佬,guai'zi'lao
躀倒吖,guan'dao'a
掼低左,guan'di'zuo
官非,guan'fei
关你卵事吖,guan'ni'luan'shi'a
关你太事,guan'ni'tai'shi
关人,guan'ren
关事,guan'shi
观音菩萨年年十八,guan'yin'pu'sa'nian'nian'shi'ba
观音竹,guan'yin'zhu
光暗制,guang'an'zhi
光管,guang'guan
光黑,guang'hei
光捋出,guang'luo'chu
光捋捋,guang'luo'luo
光猛,guang'meng
光身,guang'shen
光天化日,guang'tian'hua'ri
光脱脱,guang'tuo'tuo
光瓦,guang'wa
光鲜,guang'xian
鬼打鬼,gui'da'gui
鬼打后尾枕,gui'da'hou'wei'zhen
跪地饩猪乸,gui'di'xi'zhu'na
鬼动鬼静,gui'dong'gui'jing
贵格,gui'ge
鬼搰,gui'hu
鬼画符,gui'hua'fu
桂花鱼,gui'hua'yu
贵价,gui'jia
鬼距,gui'ju
攰赖赖,gui'lai'lai
鬼佬话,gui'lao'hua
规例,gui'li
贵利,gui'li
鬼马,gui'ma
柜面,gui'mian
鬼死距,gui'si'ju
柜筒,gui'tong
归心,gui'xin
归一,gui'yi
鬼影都冇只,gui'ying'dou'mao'zhi
鲑鱼,gui'yu
棍波,gun'bo
滚红滚绿,gun'hong'gun'lv
滚搅,gun'jiao
滚搅晒,gun'jiao'shai
滚热辣,gun're'la
滚水,gun'shui
滚水渌脚,gun'shui'lu'jiao
滚汤,gun'tang
滚友,gun'you
过埠,guo'bu
过步,guo'bu
过骨,guo'gu
过基峡,guo'ji'xia
过节,guo'jie
果栏,guo'lan
过龙,guo'long
过路,guo'lu
过庙,guo'miao
果乃事,guo'nai'shi
过年过节,guo'nian'guo'jie
过气,guo'qi
过桥抽板,guo'qiao'chou'ban
过山风,guo'shan'feng
过身,guo'shen
过树溶,guo'shu'rong
过头,guo'tou
过头笠,guo'tou'li
过云雨,guo'yun'yu
果占,guo'zhan
裹蒸粽,guo'zheng'zong
过钟,guo'zhong
国字口面,guo'zi'kou'mian
海镜,hai'jing
海军蓝,hai'jun'lan
还粮,hai'liang
害人害物,hai'ren'hai'wu
还神,hai'shen
害死,hai'si
海味铺,hai'wei'pu
还系,hai'xi
撼罢冷,han'ba'leng
喊打喊杀,han'da'han'sha
喊到一句句,han'dao'yi'ju'ju
寒冻天时撑夜艔天阴落水卖风炉,han'dong'tian'shi'cheng'ye'dao'tian'yin'luo'shui'mai'feng'lu
寒寒冻冻,han'han'dong'dong
含含声,han'han'sheng
撼家遭瘟,han'jia'zao'wen
喊惊,han'jing
喊距口,han'ju'kou
旱桥,han'qiao
寒酸,han'suan
含笑,han'xiao
含引,han'yin
行货,hang'huo
好彩,hao'cai
好彩数,hao'cai'shu
蚝豉,hao'chi
好胆,hao'dan
好得,hao'de
好睇,hao'di
好地地,hao'di'di
好烦你,hao'fan'ni
好够,hao'gou
好狗唔挡路,hao'gou'wu'dang'lu
好鬼,hao'gui
好皓,hao'hao
好烘,hao'hong
好话,hao'hua
好话唔好听,hao'hua'wu'hao'ting
好昏,hao'hun
好景,hao'jing
好颈,hao'jing
好口,hao'kou
好命水,hao'ming'shui
好捺,hao'na
好妮,hao'ni
好眅你,hao'pan'ni
好人,hao'ren
好人好姐,hao'ren'hao'jie
好人士,hao'ren'shi
好日,hao'ri
好少理,hao'shao'li
好声,hao'sheng
好市,hao'shi
好食,hao'shi
好事成对,hao'shi'cheng'dui
好食懒飞,hao'shi'lan'fei
好衰唔衰,hao'shuai'wu'shuai
好餸,hao'song
好头不如好尾一种米养百种人,hao'tou'bu'ru'hao'wei'yi'zhong'mi'yang'bai'zhong'ren
好头好尾,hao'tou'hao'wei
好味,hao'wei
好物沉归底,hao'wu'chen'gui'di
好闲,hao'xian
好相与,hao'xiang'yu
好笑口,hao'xiao'kou
好心,hao'xin
好心机,hao'xin'ji
好心着雷劈,hao'xin'zhe'lei'pi
好野,hao'ye
好瘀,hao'yu
好仔,hao'zai
好在,hao'zai
禾叉髀,he'cha'bi
合尺,he'chi
河冲,he'chong
禾虫,he'chong
河粉,he'fen
涸喉,he'hou
贺咭,he'ji
荷兰薯,he'lan'shu
荷兰水,he'lan'shui
荷兰水盖,he'lan'shui'gai
呵哩吉帝,he'li'ji'di
和气生财,he'qi'sheng'cai
禾青,he'qing
喝神喝鬼,he'shen'he'gui
涸死距涸,he'si'ju'he
禾塘,he'tang
合桃,he'tao
河头,he'tou
核突,he'tu
和味,he'wei
和味榄,he'wei'lan
河鲜,he'xian
合心意,he'xin'yi
龁牙,he'ya
禾秧,he'yang
盒仔饭,he'zai'fan
鹤嘴锄,he'zui'chu
黑房,hei'fang
黑鲩,hei'huan
黑埋晒天地,hei'mai'shai'tian'di
黑掹掹,hei'meng'meng
黑咪,hei'mi
黑米,hei'mi
黑咪麻,hei'mi'ma
黑墨墨,hei'mo'mo
黑渣,hei'zha
桁桷,heng'jue
横水艔,heng'shui'dao
红肠,hong'chang
红虫,hong'chong
红当当,hong'dang'dang
红当荡,hong'dang'dang
烘到嚗嚗爆,hong'dao'bo'bo'bao
红番,hong'fan
红粉花绯,hong'fen'hua'fei
烘紧,hong'jin
吽佬等禾虫,hong'lao'deng'he'chong
红萝卜,hong'luo'bo
哄埋嚟,hong'mai'li
红毛泥,hong'mao'ni
红棉,hong'mian
红牛,hong'niu
红肉,hong'rou
红三,hong'san
红三鱼,hong'san'yu
红色炸弹,hong'se'zha'dan
揈甩头,hong'shuai'tou
吽哣,hong'tou
揈下揈下,hong'xia'hong'xia
红心番薯,hong'xin'fan'shu
鸿运扇,hong'yun'shan
红砖,hong'zhuan
后朝,hou'chao
喉底,hou'di
后底乸,hou'di'na
后底爷,hou'di'ye
睺斗,hou'dou
喉干颈涸,hou'gan'jing'he
喉管,hou'guan
喉核,hou'he
候镬,hou'huo
猴急,hou'ji
厚荐,hou'jian
后卡,hou'ka
厚笠,hou'li
后嚟,hou'li
喉咙椗,hou'long'ding
猴擒,hou'qin
后日,hou'ri
厚身,hou'shen
后晚,hou'wan
后尾,hou'wei
后尾架,hou'wei'jia
后尾枕,hou'wei'zhen
睺住,hou'zhu
睺柱,hou'zhu
喉嘴,hou'zui
戽被,hu'bei
胡哩马查,hu'li'ma'cha
胡鬑须,hu'lian'xu
葫芦,hu'lu
湖水蓝,hu'shui'lan
忽死你,hu'si'ni
胡天胡帝,hu'tian'hu'di
胡须勒凸,hu'xu'le'tu
花斑斑,hua'ban'ban
话比,hua'bi
滑潺潺,hua'chan'chan
花臣,hua'chen
话低,hua'di
画公仔唔使画出肠,hua'gong'zai'wu'shi'hua'chu'chang
花菇,hua'gu
花假,hua'jia
花阶砖,hua'jie'zhuan
滑蕨,hua'jue
花款,hua'kuan
花哩胡碌,hua'li'hu'lu
花哩碌,hua'li'lu
花僆铿,hua'lian'keng
花僆仔,hua'lian'zai
花冧,hua'lin
话落,hua'luo
滑捋捋,hua'luo'luo
花名,hua'ming
花旗参,hua'qi'shen
花圈,hua'quan
花洒,hua'sa
花生肉,hua'sheng'rou
话事,hua'shi
话时话,hua'shi'hua
话事偈,hua'shi'ji
花手巾,hua'shou'jin
化水,hua'shui
化算,hua'suan
花太,hua'tai
花厅,hua'ting
话头,hua'tou
花尾艔,hua'wei'dao
话唔定,hua'wu'ding
花蟹,hua'xie
花心,hua'xin
花心萝卜,hua'xin'luo'bo
化学,hua'xue
滑雪屐,hua'xue'ji
话斋,hua'zhai
话之,hua'zhi
花樽,hua'zun
淮山,huai'shan
缓步跑,huan'bu'pao
欢喜,huan'xi
欢喜乐笑,huan'xi'le'xiao
欢迎领导莅临指导,huan'ying'ling'dao'li'lin'zhi'dao
鲩鱼,huan'yu
黄狗毛,huang'gou'mao
黄狗头,huang'gou'tou
黄花筒,huang'hua'tong
黄黚黚,huang'jian'jian
黄净,huang'jing
慌怕,huang'pa
黄泡髧熟,huang'pao'dan'shu
蟥蜞,huang'qi
蟥犬,huang'quan
黄鳝,huang'shan
慌失失,huang'shi'shi
黄熟,huang'shu
黄丝蚁,huang'si'yi
黄粟,huang'su
黄糖,huang'tang
黄线蚁,huang'xian'yi
黄芽白,huang'ya'bai
慌住,huang'zhu
灰匙,hui'chi
会错意,hui'cuo'yi
灰斗,hui'dou
灰水,hui'shui
会弹唔会唱,hui'tan'wu'hui'chang
回形针,hui'xing'zhen
灰蝇,hui'ying
回子,hui'zi
昏得好淰,hun'de'hao'shen
昏昏沌沌,hun'hun'dun'dun
混吉,hun'ji
魂精,hun'jing
昏觉,hun'jue
昏捩颈,hun'lie'jing
魂魄唔齐,hun'po'wu'qi
昏晒身落去,hun'shai'shen'luo'qu
浑头浑脑,hun'tou'hun'nao
昏晏觉,hun'yan'jue
镬铲,huo'chan
火船,huo'chuan
火鹅,huo'e
火滚,huo'gun
火红火绿,huo'hong'huo'lv
火机,huo'ji
火搅米,huo'jiao'mi
火颈,huo'jing
货卡,huo'ka
火簕秧,huo'le'yang
火路,huo'lu
镬黸,huo'lu
火牛,huo'niu
火气,huo'qi
火起,huo'qi
火屎,huo'shi
火水,huo'shui
火水炉,huo'shui'lu
火燂煤,huo'tan'mei
火筒,huo'tong
伙头军,huo'tou'jun
火线,huo'xian
火涌,huo'yong
货仔,huo'zai
火遮眼,huo'zhe'yan
火烛,huo'zhu
火烛车,huo'zhu'che
火钻,huo'zuan
火嘴,huo'zui
鸡髀打人牙骹软,ji'bi'da'ren'ya'qiao'ruan
鸡肠字,ji'chang'zi
计带,ji'dai
鸡蛋距密菢出仔,ji'dan'ju'mi'bao'chu'zai
鸡窦,ji'dou
激奀,ji'en
鸡公花,ji'gong'hua
即估,ji'gu
记挂,ji'gua
即管,ji'guan
激光,ji'guang
鸡红,ji'hong
几回,ji'hui
岋岋公,ji'ji'gong
岌岌贡,ji'ji'gong
急急脚,ji'ji'jiao
及及震,ji'ji'zhen
鸡脚,ji'jiao
佶颈,ji'jing
几距,ji'ju
鸡距脚,ji'ju'jiao
几距样,ji'ju'yang
即刻,ji'ke
鸡壳,ji'ke
即刻见功,ji'ke'jian'gong
忌廉,ji'lian
机灵鬼,ji'ling'gui
鸡毛,ji'mao
鸡乸婆,ji'na'po
激怒,ji'nu
积女倾,ji'nv'qing
鸡泡鱼,ji'pao'yu
鸡肶,ji'pi
鸡皮纸,ji'pi'zhi
激气,ji'qi
稽钱,ji'qian
鸡勤,ji'qin
鸡球,ji'qiu
既然之,ji'ran'zhi
记认,ji'ren
几时,ji'shi
畸士,ji'shi
鸡屎果,ji'shi'guo
几十岁,ji'shi'sui
鸡屎藤,ji'shi'teng
鸡屎准螺肉,ji'shi'zhun'luo'rou
鸡手鸭脚,ji'shou'ya'jiao
即条泥狗钻距啊,ji'tiao'ni'gou'zuan'ju'a
鸡同鸭讲,ji'tong'ya'jiang
岋头,ji'tou
岌头,ji'tou
鸡忘记,ji'wang'ji
基围,ji'wei
基围虾,ji'wei'xia
吉屋,ji'wu
即系,ji'xi
鸡项,ji'xiang
鸡心柿,ji'xin'shi
唧牙膏,ji'ya'gao
几样,ji'yang
鸡翼袖,ji'yi'xiu
积阴功,ji'yin'gong
挤拥,ji'yong
机油,ji'you
计仔,ji'zai
髻仔,ji'zai
鸡仔饼,ji'zai'bing
鸡仔媒人,ji'zai'mei'ren
咭纸,ji'zhi
极之,ji'zhi
积滞,ji'zhi
鸡啄唔断,ji'zhuo'wu'duan
假膊,jia'bo
架步,jia'bu
架车扽到屎窟痛,jia'che'den'dao'shi'ku'tong
架撑,jia'cheng
夹挡,jia'dang
夹档,jia'dang
夹份,jia'fen
家和万事兴,jia'he'wan'shi'xing
夹伙,jia'huo
架基冷,jia'ji'leng
夹螺笃,jia'luo'du
夹衲,jia'na
家婆,jia'po
家山,jia'shan
家事,jia'shi
架势,jia'shi
假石屎楼,jia'shi'shi'lou
夹手,jia'shou
家私,jia'si
家庭不合,jia'ting'bu'he
夹万,jia'wan
夹哑抵,jia'ya'di
夹硬,jia'ying
嘉应子,jia'ying'zi
蛱蚱,jia'zha
贱吖佢,jian'a'qu
监焙,jian'bei
简笔字,jian'bi'zi
尖不甩,jian'bu'shuai
见步行步,jian'bu'xing'bu
监仓,jian'cang
间尺,jian'chi
兼队,jian'dui
煎堆,jian'dui
枧粉,jian'fen
见风使,jian'feng'shi
贱格,jian'ge
间格,jian'ge
奸鬼,jian'gui
剑花,jian'hua
间花腩,jian'hua'nan
兼夹,jian'jia
奸狡,jian'jiao
贱挢,jian'jiao
捡金,jian'jin
奸赖,jian'lai
坚料,jian'liao
奸猫,jian'mao
监人吃哑巴亏,jian'ren'chi'ya'ba'kui
枧沙,jian'sha
件衫真威,jian'shan'zhen'wei
间条,jian'tiao
拣碗度箸,jian'wan'du'zhu
坚野,jian'ye
拣饮择食,jian'yin'ze'shi
拣择,jian'ze
间中,jian'zhong
见周公,jian'zhou'gong
箭猪,jian'zhu
尖嘴鸡,jian'zui'ji
讲吧柞,jiang'ba'zuo
讲比,jiang'bi
姜葱,jiang'cong
姜醋,jiang'cu
讲到月距圆,jiang'dao'yue'ju'yuan
讲古仔,jiang'gu'zai
讲话,jiang'hua
讲开又讲,jiang'kai'you'jiang
姜蓉,jiang'rong
讲三讲四,jiang'san'jiang'si
讲实,jiang'shi
讲数口,jiang'shu'kou
讲笑,jiang'xiao
姜芽,jiang'ya
脚坳,jiao'ao
角凹葵花,jiao'ao'kui'hua
脚板,jiao'ban
脚板底,jiao'ban'di
脚步浮浮,jiao'bu'fu'fu
胶擦,jiao'ca
郊菜,jiao'cai
交叉,jiao'cha
搅肠痧,jiao'chang'sha
交带,jiao'dai
脚肚,jiao'du
较飞,jiao'fei
胶箍,jiao'gu
脚骨,jiao'gu
脚骨力,jiao'gu'li
脚瓜,jiao'gua
交关,jiao'guan
挢汗,jiao'han
挢痕,jiao'hen
焦即,jiao'ji
脚甲,jiao'jia
铰剪,jiao'jian
摎挍,jiao'jiao
较脚,jiao'jiao
觉觉猪,jiao'jiao'zhu
挢口,jiao'kou
交粮,jiao'liang
角落索,jiao'luo'suo
胶泌,jiao'mi
姣婆,jiao'po
姣气,jiao'qi
剿佢,jiao'qu
摷佢,jiao'qu
姣尸扽督,jiao'shi'den'du
搅是搅非,jiao'shi'jiao'fei
胶丝,jiao'si
茭笋,jiao'sun
脚踏,jiao'ta
脚头,jiao'tou
挢臀,jiao'tun
噍香口胶,jiao'xiang'kou'jiao
搅笑,jiao'xiao
脚眼,jiao'yan
角仔,jiao'zai
教招,jiao'zhao
校正,jiao'zheng
脚踭,jiao'zheng
脚制,jiao'zhi
胶纸袋,jiao'zhi'dai
脚趾尾拉筛,jiao'zhi'wei'la'shai
脚趾罅,jiao'zhi'xia
结菜,jie'cai
杰嘟嘟,jie'du'du
街喉,jie'hou
介乎,jie'hu
借借,jie'jie
戒口,jie'kou
芥辣,jie'la
芥兰,jie'lan
芥兰头,jie'lan'tou
借乜,jie'mie
街市,jie'shi
姐手姐脚,jie'shou'jie'jiao
借头借路诈假意,jie'tou'jie'lu'zha'jia'yi
界外球,jie'wai'qiu
借意,jie'yi
街招,jie'zhao
喼汁,jie'zhi
喼纸,jie'zhi
阶砖,jie'zhuan
劲吖劲,jin'a'jin
金埕,jin'cheng
禁等,jin'deng
尽地,jin'di
尽地一煲,jin'di'yi'bao
金鈪,jin'e
谨防,jin'fang
近官得力近厨得食,jin'guan'de'li'jin'chu'de'shi
金龟,jin'gui
金国带,jin'guo'dai
浸浸凉,jin'jin'liang
今乜,jin'mie
今年时,jin'nian'shi
金牛,jin'niu
金钱龟,jin'qian'gui
尽人事,jin'ren'shi
今日,jin'ri
金丝划,jin'si'hua
金塔,jin'ta
今晚,jin'wan
今物,jin'wu
紧要,jin'yao
金银膶,jin'yin'run
金银纸,jin'yin'zhi
金鱼黄,jin'yu'huang
紧张,jin'zhang
襟章,jin'zhang
今朝,jin'zhao
金猪,jin'zhu
金竹,jin'zhu
金砖,jin'zhuan
竟吖样,jing'a'yang
颈抽,jing'chou
精出骨,jing'chu'gu
精打细算,jing'da'xi'suan
惊到鼻哥窿冇肉,jing'dao'bi'ge'long'mao'rou
惊到椤柚冇肉,jing'dao'luo'you'mao'rou
景梗,jing'geng
精乖,jing'guai
京果,jing'guo
景轰,jing'hong
颈喉,jing'hou
静鸡鸡,jing'ji'ji
镜架,jing'jia
竟解,jing'jie
颈解,jing'jie
静局,jing'ju
颈渴,jing'ke
精叻,jing'le
颈链,jing'lian
精灵,jing'ling
精埋一便,jing'mai'yi'bian
颈你,jing'ni
精品店,jing'pin'dian
惊青,jing'qing
精神爽利,jing'shen'shuang'li
儆惜,jing'xi
净系,jing'xi
儆亦,jing'yi
经已,jing'yi
静英英,jing'ying'ying
精仔,jing'zai
惊住,jing'zhu
酒饼,jiu'bing
旧底,jiu'di
就惯姿势,jiu'guan'zi'shi
韭黄,jiu'huang
酒精灯,jiu'jing'deng
旧旧粥,jiu'jiu'zhou
就快,jiu'kuai
就嚟,jiu'li
旧历年,jiu'li'nian
酒米,jiu'mi
旧年,jiu'nian
旧年年晚,jiu'nian'nian'wan
旧年时,jiu'nian'shi
九曲十三弯,jiu'qu'shi'san'wan
旧时,jiu'shi
久时久,jiu'shi'jiu
就手,jiu'shou
旧体字,jiu'ti'zi
久唔久,jiu'wu'jiu
鸠噏噏,jiu'xi'xi
九因歌,jiu'yin'ge
舅仔,jiu'zai
舅仔鞋,jiu'zai'xie
旧阵,jiu'zhen
旧阵时,jiu'zhen'shi
焗茶,ju'cha
距辰,ju'chen
距笪山,ju'da'shan
距啲事,ju'di'shi
距蔸树,ju'dou'shu
距个,ju'ge
距个电话好难记,ju'ge'dian'hua'hao'nan'ji
距个人,ju'ge'ren
距个人好针屎,ju'ge'ren'hao'zhen'shi
焗汗,ju'han
焗鸡,ju'ji
距间铺,ju'jian'pu
局局角,ju'ju'jiao
焗炉,ju'lu
距排,ju'pai
局气,ju'qi
焗漆,ju'qi
距史,ju'shi
聚手,ju'shou
距样,ju'yang
举一反三,ju'yi'fan'san
拘执,ju'zhi
距址,ju'zhi
距滞,ju'zhi
焗盅,ju'zhong
局住,ju'zhu
朘朘,juan'juan
掘擂棰,jue'lei'chui
倔笼,jue'long
绝情,jue'qing
绝世好窍,jue'shi'hao'qiao
掘实我,jue'shi'wo
倔头,jue'tou
倔头扫把,jue'tou'sao'ba
掘头巷,jue'tou'xiang
莙荙菜,jun'da'cai
君真,jun'zhen
咖啡色,ka'fei'se
卡式机,ka'shi'ji
卡位,ka'wei
开揙,kai'bian
开波,kai'bo
开初,kai'chu
开裆裤,kai'dang'ku
开估,kai'gu
开荒牛,kai'huang'niu
开讲有话,kai'jiang'you'hua
开紧,kai'jin
开口枣,kai'kou'zao
开明车马,kai'ming'che'ma
开年,kai'nian
开气,kai'qi
开膳,kai'shan
开声,kai'sheng
开胃,kai'wei
开心果,kai'xin'guo
揩油,kai'you
开斋,kai'zhai
扻吖脑,kan'a'nao
扻吖起个仆,kan'a'qi'ge'pu
冚巴比你,kan'ba'bi'ni
冚巴唥,kan'ba'lang
冚被,kan'bei
看不下去,kan'bu'xia'qu
冚床布,kan'chuang'bu
冚啲,kan'di
看更,kan'geng
扻坏脑,kan'huai'nao
冚家铲,kan'jia'chan
冚唥,kan'lang
扻亲,kan'qin
看医生,kan'yi'sheng
冚盅,kan'zhong
炕陈皮,kang'chen'pi
糠耳,kang'er
靠害,kao'hai
趷跛跛,ke'bo'bo
客饭,ke'fan
克力架,ke'li'jia
