阿贝尔遍历定理,a'bei'er'bian'li'ding'li
连通数,lian'tong'shu
连续线性泛函,lian'xu'xian'xing'fan'han
连续线性算子,lian'xu'xian'xing'suan'zi
量,liang
两人常和对策,liang'ren'chang'he'dui'ce
良态,liang'tai
量子检测,liang'zi'jian'ce
量子群,liang'zi'qun
列等价的,lie'deng'jia'de
列梅兹算法,lie'mei'zi'suan'fa
裂区设计,lie'qu'she'ji
邻顶点,lin'ding'dian
临界边,lin'jie'bian
邻接矩阵,lin'jie'ju'zhen
邻域,lin'yu
零次,ling'ci
零化子的互反性,ling'hua'zi'de'hu'fan'xing
零集,ling'ji
零空间,ling'kong'jian
灵敏度信息,ling'min'du'xin'xi
菱形,ling'xing
零型,ling'xing
零一规划,ling'yi'gui'hua
流动推销员问题,liu'dong'tui'xiao'yuan'wen'ti
流入边界条件,liu'ru'bian'jie'tiao'jian
流线,liu'xian
流形,liu'xing
鲁棒控制,lu'bang'kong'zhi
卵形面,luan'xing'mian
论题,lun'ti
论证,lun'zheng
罗宾常数,luo'bin'chang'shu
逻辑加法,luo'ji'jia'fa
洛朗级数,luo'lang'ji'shu
洛伦兹变换,luo'lun'zi'bian'huan
滤过代数,lv'guo'dai'shu
马蒂厄法,ma'di'e'fa
马蒂厄群,ma'di'e'qun
马利亚万随机分析,ma'li'ya'wan'sui'ji'fen'xi
马瑟集,ma'se'ji
马蹄,ma'ti
满子范畴,man'zi'fan'chou
芒德布罗集,mang'de'bu'luo'ji
梅林变换,mei'lin'bian'huan
蒙日束,meng'ri'shu
幂等律,mi'deng'lv
密度估计,mi'du'gu'ji
密集点,mi'ji'dian
幂级数,mi'ji'shu
幂零算子,mi'ling'suan'zi
幂零线性变换,mi'ling'xian'xing'bian'huan
密切圆,mi'qie'yuan
迷向子空间,mi'xiang'zi'kong'jian
幂幺根,mi'yao'gen
面分布位势,mian'fen'bu'wei'shi
命题演算,ming'ti'yan'suan
默比乌斯变换,mo'bi'wu'si'bian'huan
模的本质扩张,mo'de'ben'zhi'kuo'zhang
模的直和,mo'de'zhi'he
模李代数,mo'li'dai'shu
末离时,mo'li'shi
模上复形,mo'shang'fu'xing
模态逻辑,mo'tai'luo'ji
模同态,mo'tong'tai
模型跟随控制系统,mo'xing'gen'sui'kong'zhi'xi'tong
模形式的权,mo'xing'shi'de'quan
目标值,mu'biao'zhi
内乘,nei'cheng
内估计,nei'gu'ji
内龙模型,nei'long'mo'xing
内模,nei'mo
内射分解,nei'she'fen'jie
内微分算子,nei'wei'fen'suan'zi
能量不等式,neng'liang'bu'deng'shi
拟凹函数,ni'ao'han'shu
逆否命题,ni'fou'ming'ti
拟弗罗贝尼乌斯环,ni'fu'luo'bei'ni'wu'si'huan
拟共形反射,ni'gong'xing'fan'she
逆控制原理,ni'kong'zhi'yuan'li
拟桶型空间,ni'tong'xing'kong'jian
拟图,ni'tu
拟凸函数,ni'tu'han'shu
逆映射,ni'ying'she
逆元,ni'yuan
拟正则元,ni'zheng'ze'yuan
牛顿位势,niu'dun'wei'shi
牛顿斜率,niu'dun'xie'lv
扭曲层,niu'qu'ceng
扭转映射,niu'zhuan'ying'she
诺特环,nuo'te'huan
欧几里得空间,ou'ji'li'de'kong'jian
欧几里得算法,ou'ji'li'de'suan'fa
欧拉变换,ou'la'bian'huan
欧拉示性数,ou'la'shi'xing'shu
帕德方程,pa'de'fang'cheng
帕雷托解,pa'lei'tuo'jie
帕塞瓦尔等式,pa'sai'wa'er'deng'shi
排队模型,pai'dui'mo'xing
庞加莱不等式,pang'jia'lai'bu'deng'shi
庞加莱除子,pang'jia'lai'chu'zi
庞特里亚金积,pang'te'li'ya'jin'ji
庞特里亚金类,pang'te'li'ya'jin'lei
抛物子群,pao'wu'zi'qun
配对,pei'dui
配方,pei'fang
碰撞概率方法,peng'zhuang'gai'lv'fang'fa
皮尔斯分解,pi'er'si'fen'jie
皮卡概形,pi'ka'gai'xing
皮卡序列,pi'ka'xu'lie
偏微分方程,pian'wei'fen'fang'cheng
偏相关,pian'xiang'guan
平凡绝对值,ping'fan'jue'dui'zhi
平凡序的,ping'fan'xu'de
平方根法,ping'fang'gen'fa
平衡设计,ping'heng'she'ji
平衡态,ping'heng'tai
平均收敛,ping'jun'shou'lian
平均误差,ping'jun'wu'cha
平面嵌入,ping'mian'qian'ru
平面曲线,ping'mian'qu'xian
平面三角形,ping'mian'san'jiao'xing
平面坐标,ping'mian'zuo'biao
平斯克分割,ping'si'ke'fen'ge
平稳集合,ping'wen'ji'he
平行坐标,ping'xing'zuo'biao
谱估计,pu'gu'ji
普朗特积分微分方程,pu'lang'te'ji'fen'wei'fen'fang'cheng
谱扰动,pu'rao'dong
谱同调,pu'tong'diao
齐次多项式,qi'ci'duo'xiang'shi
齐次积分方程,qi'ci'ji'fen'fang'cheng
齐次图,qi'ci'tu
齐次坐标环,qi'ci'zuo'biao'huan
奇异摄动系统,qi'yi'she'dong'xi'tong
奇异射影变换,qi'yi'she'ying'bian'huan
奇异值分解,qi'yi'zhi'fen'jie
奇置换,qi'zhi'huan
前导,qian'dao
嵌入马尔可夫链,qian'ru'ma'er'ke'fu'lian
前束词,qian'shu'ci
潜无穷,qian'wu'qiong
前项,qian'xiang
强对偶空间,qiang'dui'ou'kong'jian
强横截条件,qiang'heng'jie'tiao'jian
强收敛的,qiang'shou'lian'de
强椭圆型方程组,qiang'tuo'yuan'xing'fang'cheng'zu
切比雪夫半径,qie'bi'xue'fu'ban'jing
切比雪夫加速法,qie'bi'xue'fu'jia'su'fa
切点,qie'dian
切面,qie'mian
切锥,qie'zhui
球面表示,qiu'mian'biao'shi
球面丛,qiu'mian'cong
球面三角学,qiu'mian'san'jiao'xue
屈内特公式,qu'nei'te'gong'shi
曲线的有限态射,qu'xian'de'you'xian'tai'she
区域估计,qu'yu'gu'ji
区组设计的关联矩阵,qu'zu'she'ji'de'guan'lian'ju'zhen
全不变子群,quan'bu'bian'zi'qun
全不连通的,quan'bu'lian'tong'de
全不连通图,quan'bu'lian'tong'tu
全纯包,quan'chun'bao
全等变换,quan'deng'bian'huan
全等变换群,quan'deng'bian'huan'qun
全分歧扩张,quan'fen'qi'kuo'zhang
全空间,quan'kong'jian
全信息对策,quan'xin'xi'dui'ce
全域,quan'yu
圈秩,quan'zhi
确定性,que'ding'xing
缺货损失费,que'huo'sun'shi'fei
群的分裂域,qun'de'fen'lie'yu
群的阶,qun'de'jie
群的上同调维数,qun'de'shang'tong'diao'wei'shu
群的上同调群,qun'de'shang'tong'tiao'qun
群的自同构,qun'de'zi'tong'gou
群行列式,qun'hang'lie'shi
群中心扩张,qun'zhong'xin'kuo'zhang
扰动理论,rao'dong'li'lun
热浴抽样方法,re'yu'chou'yang'fang'fa
人工基,ren'gong'ji
容许检验,rong'xu'jian'yan
容许子群,rong'xu'zi'qun
冗余参数,rong'yu'can'shu
茹利亚点,ru'li'ya'dian
软层,ruan'ceng
弱对偶定理,ruo'dui'ou'ding'li
若尔当测度,ruo'er'dang'ce'du
若尔当代数的表示,ruo'er'dang'dai'shu'de'biao'shi
弱解,ruo'jie
弱连通的,ruo'lian'tong'de
弱模格,ruo'mo'ge
弱徘徊集,ruo'pai'huai'ji
弱平稳过程,ruo'ping'wen'guo'cheng
弱守恒型,ruo'shou'heng'xing
弱下半连续的,ruo'xia'ban'lian'xu'de
塞尔贝格迹公式,sai'er'bei'ge'ji'gong'shi
塞尔对偶,sai'er'dui'ou
塞尔默群,sai'er'mo'qun
三次曲面,san'ci'qu'mian
三角函数,san'jiao'han'shu
三角回归,san'jiao'hui'gui
三项方程,san'xiang'fang'cheng
色剖分,se'pou'fen
商,shang
上边缘,shang'bian'yuan
上边缘算子,shang'bian'yuan'suan'zi
商对策,shang'dui'ce
商对象,shang'dui'xiang
商泛代数,shang'fan'dai'shu
上极限函数,shang'ji'xian'han'shu
上界,shang'jie
熵率,shang'lv
商群,shang'qun
上调和函数,shang'tiao'he'han'shu
上同调平凡模,shang'tong'diao'ping'fan'mo
上同调群,shang'tong'tiao'qun
商映射,shang'ying'she
舍弃运算,she'qi'yun'suan
舍入,she'ru
射影变换群,she'ying'bian'huan'qun
射影对应,she'ying'dui'ying
射影空间的上同调,she'ying'kong'jian'de'shang'tong'tiao
射影酉群,she'ying'you'qun
射影直线,she'ying'zhi'xian
生成元,sheng'cheng'yuan
剩余次数,sheng'yu'ci'shu
剩余类的代表,sheng'yu'lei'de'dai'biao
实闭包,shi'bi'bao
时变信道,shi'bian'xin'dao
施蒂克贝格理想,shi'di'ke'bei'ge'li'xiang
时间尺度,shi'jian'chi'du
事件的对称差,shi'jian'de'dui'chen'cha
十进制数字,shi'jin'zhi'shu'zi
实矩阵,shi'ju'zhen
矢列式,shi'lie'shi
食谱问题,shi'pu'wen'ti
施泰纳三元系,shi'tai'na'san'yuan'xi
施陶特代数,shi'tao'te'dai'shu
施图姆比较定理,shi'tu'mu'bi'jiao'ding'li
实现理论,shi'xian'li'lun
时域,shi'yu
失真,shi'zhen
首次放空,shou'ci'fang'kong
收缩变换,shou'suo'bian'huan
树,shu
数词可表示性,shu'ci'ke'biao'shi'xing
数的几何,shu'de'ji'he
束类域,shu'lei'yu
数理逻辑,shu'li'luo'ji
数理统计学,shu'li'tong'ji'xue
数量级,shu'liang'ji
输入,shu'ru
数学,shu'xue
数学函数表,shu'xue'han'shu'biao
数学模型,shu'xue'mo'xing
数学系统理论,shu'xue'xi'tong'li'lun
数学专业词汇,shu'xue'zhuan'ye'ci'hui
数字信息,shu'zi'xin'xi
双重函数,shuang'chong'han'shu
双格,shuang'ge
双可测变换,shuang'ke'ce'bian'huan
双模,shuang'mo
双陪集,shuang'pei'ji
双曲环体自同构,shuang'qu'huan'ti'zi'tong'gou
双曲螺线,shuang'qu'luo'xian
双曲抛物面,shuang'qu'pao'wu'mian
双三次插值,shuang'san'ci'cha'zhi
双有理态射,shuang'you'li'tai'she
双轴球面函数,shuang'zhou'qiu'mian'han'shu
双自同态环,shuang'zi'tong'tai'huan
四次互反律,si'ci'hu'fan'lv
四次曲线,si'ci'qu'xian
斯科伦壳,si'ke'lun'ke
四棱柱,si'leng'zhu
四色问题,si'se'wen'ti
斯通格,si'tong'ge
斯托克斯公式,si'tuo'ke'si'gong'shi
搜索损失,sou'suo'sun'shi
素除子,su'chu'zi
素端,su'duan
算术函数,suan'shu'han'shu
算术码,suan'shu'ma
算术谓词,suan'shu'wei'ci
算术子群,suan'shu'zi'qun
算子紧致隐格式,suan'zi'jin'zhi'yin'ge'shi
随机编码,sui'ji'bian'ma
随机集,sui'ji'ji
随机选取法,sui'ji'xuan'qu'fa
随机阵,sui'ji'zhen
孙子剩余定理,sun'zi'sheng'yu'ding'li
索伯列夫引理,suo'bo'lie'fu'yin'li
态射的核,tai'she'de'he
态射的纤维,tai'she'de'xian'wei
特解,te'jie
特征标的级,te'zheng'biao'de'ji
特征行列式,te'zheng'hang'lie'shi
特征曲面,te'zheng'qu'mian
梯度方向,ti'du'fang'xiang
体积,ti'ji
梯矩阵,ti'ju'zhen
填装,tian'zhuang
调和函数,tiao'he'han'shu
调和级数,tiao'he'ji'shu
调和数列,tiao'he'shu'lie
条件不等式,tiao'jian'bu'deng'shi
条件极值,tiao'jian'ji'zhi
条件期望,tiao'jian'qi'wang
条件收敛,tiao'jian'shou'lian
挑选型抽检,tiao'xuan'xing'chou'jian
停机问题,ting'ji'wen'ti
通常条件,tong'chang'tiao'jian
通道,tong'dao
同构,tong'gou
统计假设,tong'ji'jia'she
统计通信理论,tong'ji'tong'xin'li'lun
统计质量控制,tong'ji'zhi'liang'kong'zhi
同伦类,tong'lun'lei
同伦逆,tong'lun'ni
同伦群,tong'lun'qun
同态的核,tong'tai'de'he
同态的同余核,tong'tai'de'tong'yu'he
同调代数,tong'tiao'dai'shu
同调群,tong'tiao'qun
通信密钥,tong'xin'mi'yao
同余可换代数,tong'yu'ke'huan'dai'shu
同余式,tong'yu'shi
同源的,tong'yuan'de
投射模,tou'she'mo
投射维数,tou'she'wei'shu
投射有限群,tou'she'you'xian'qun
投影寻踪法,tou'ying'xun'zong'fa
凸多边形,tu'duo'bian'xing
凸多面锥,tu'duo'mian'zhui
突发噪声,tu'fa'zao'sheng
凸合作对策,tu'he'zuo'dui'ce
图解法,tu'jie'fa
图灵机,tu'ling'ji
图同构,tu'tong'gou
团,tuan
推出,tui'chu
拓扑传递性,tuo'pu'chuan'di'xing
拓扑动力系统,tuo'pu'dong'li'xi'tong
拓扑群的直积,tuo'pu'qun'de'zhi'ji
拓扑线性空间,tuo'pu'xian'xing'kong'jian
椭球等高分布,tuo'qiu'deng'gao'fen'bu
椭球面,tuo'qiu'mian
椭球算子的指标,tuo'qiu'suan'zi'de'zhi'biao
椭球调和函数,tuo'qiu'tiao'he'han'shu
椭圆函数,tuo'yuan'han'shu
椭圆几何学,tuo'yuan'ji'he'xue
椭圆曲线的周期,tuo'yuan'qu'xian'de'zhou'qi
椭圆型域,tuo'yuan'xing'yu
外尔群,wai'er'qun
外分角线,wai'fen'jiao'xian
外接圆,wai'jie'yuan
外切形,wai'qie'xing
外自同构群,wai'zi'tong'gou'qun
完备化,wan'bei'hua
弯谷函数,wan'gu'han'shu
完满核,wan'man'he
完满数,wan'man'shu
完全的,wan'quan'de
完全二部图,wan'quan'er'bu'tu
完全交不可约元,wan'quan'jiao'bu'ke'yue'yuan
完全可约性,wan'quan'ke'yue'xing
完全统计量,wan'quan'tong'ji'liang
完全线性系,wan'quan'xian'xing'xi
完全一致空间,wan'quan'yi'zhi'kong'jian
完全域,wan'quan'yu
万有模型,wan'you'mo'xing
网格线,wang'ge'xian
网络分析,wang'luo'fen'xi
网络图,wang'luo'tu
伪补格,wei'bu'ge
谓词变元,wei'ci'bian'yuan
微分,wei'fen
微分拓扑,wei'fen'tuo'pu
微分形式,wei'fen'xing'shi
微分学,wei'fen'xue
微局部分析,wei'ju'bu'fen'xi
位势论,wei'shi'lun
微双曲型,wei'shuang'qu'xing
维特向量,wei'te'xiang'liang
微亚椭圆性,wei'ya'tuo'yuan'xing
唯一可译码,wei'yi'ke'yi'ma
韦伊配对,wei'yi'pei'dui
唯一性集,wei'yi'xing'ji
唯一因子分解整环,wei'yi'yin'zi'fen'jie'zheng'huan
伪预解式,wei'yu'jie'shi
稳定等价,wen'ding'deng'jia
稳定性,wen'ding'xing
沃尔什正交函数系,wo'er'shi'zheng'jiao'han'shu'xi
无后效,wu'hou'xiao
无记忆信道,wu'ji'yi'xin'dao
乌雷松算子,wu'lei'song'suan'zi
无穷粒子系统,wu'qiong'li'zi'xi'tong
无穷小变换群,wu'qiong'xiao'bian'huan'qun
无穷小生成元,wu'qiong'xiao'sheng'cheng'yuan
无穷小条件,wu'qiong'xiao'tiao'jian
无圈图,wu'quan'tu
无限对策,wu'xian'dui'ce
无限连分数,wu'xian'lian'fen'shu
无信息先验分布,wu'xin'xi'xian'yan'fen'bu
无序分拆,wu'xu'fen'chai
无赘表示,wu'zhui'biao'shi
希尔伯特多项式,xi'er'bo'te'duo'xiang'shi
希尔伯特流形,xi'er'bo'te'liu'xing
析取范式,xi'qu'fan'shi
系数,xi'shu
系统抽样,xi'tong'chou'yang
系统的分解,xi'tong'de'fen'jie
下极限,xia'ji'xian
下调和解,xia'tiao'he'jie
狭义理想类,xia'yi'li'xiang'lei
线汇,xian'hui
线性变换,xian'xing'bian'huan
线性变换的矩阵,xian'xing'bian'huan'de'ju'zhen
线性插值,xian'xing'cha'zhi
线性代数,xian'xing'dai'shu
线性递归关系,xian'xing'di'gui'guan'xi
线性加权和法,xian'xing'jia'quan'he'fa
线性空间的维数,xian'xing'kong'jian'de'wei'shu
线性判别函数,xian'xing'pan'bie'han'shu
线性无缘,xian'xing'wu'yuan
线性相关,xian'xing'xiang'guan
线性型,xian'xing'xing
先验概率,xian'yan'gai'lv
相对闭链,xiang'dui'bi'lian
相对补,xiang'dui'bu
相对极值,xiang'dui'ji'zhi
相对投射模,xiang'dui'tou'she'mo
相对相容性,xiang'dui'xiang'rong'xing
相对效率,xiang'dui'xiao'lv
相关线性方程,xiang'guan'xian'xing'fang'cheng
相关信源,xiang'guan'xin'yuan
向量场,xiang'liang'chang
向量丛,xiang'liang'cong
向量的加法,xiang'liang'de'jia'fa
向量蒙特卡罗方法,xiang'liang'meng'te'ka'luo'fang'fa
相容性,xiang'rong'xing
相似矩阵,xiang'si'ju'zhen
消灭定理,xiao'mie'ding'li
小数位,xiao'shu'wei
肖特基群,xiao'te'ji'qun
消息压缩,xiao'xi'ya'suo
效用函数,xiao'yong'han'shu
小于,xiao'yu
斜多项式环,xie'duo'xiang'shi'huan
协调系统,xie'tiao'xi'tong
谢瓦莱群,xie'wa'lai'qun
斜轴,xie'zhou
辛变换,xin'bian'huan
信道编码,xin'dao'bian'ma
新息,xin'xi
信息测度,xin'xi'ce'du
信息率,xin'xi'lv
信源,xin'yuan
型函数,xing'han'shu
形式幂级数环,xing'shi'mi'ji'shu'huan
形式语言,xing'shi'yu'yan
行向量,xing'xiang'liang
形状算子,xing'zhuang'suan'zi
修正单纯形法,xiu'zheng'dan'chun'xing'fa
虚根,xu'gen
序贯估计,xu'guan'gu'ji
虚数,xu'shu
序数,xu'shu
序数记号,xu'shu'ji'hao
序数可定义的,xu'shu'ke'ding'yi'de
序域,xu'yu
虚轴,xu'zhou
旋量表示,xuan'liang'biao'shi
旋量范,xuan'liang'fan
旋量群,xuan'liang'qun
选择函数,xuan'ze'han'shu
循环码,xun'huan'ma
循环拟差集,xun'huan'ni'cha'ji
循环排列,xun'huan'pai'lie
循环群,xun'huan'qun
雅可比场,ya'ke'bi'chang
雅可比多项式,ya'ke'bi'duo'xiang'shi
雅可比矩阵,ya'ke'bi'ju'zhen
严格双曲性,yan'ge'shuang'qu'xing
严格凸,yan'ge'tu
严格误差限,yan'ge'wu'cha'xian
验证,yan'zheng
鞅,yang
样本标准差,yang'ben'biao'zhun'cha
样本分位数,yang'ben'fen'wei'shu
样本复相关系数,yang'ben'fu'xiang'guan'xi'shu
样条回归,yang'tiao'hui'gui
幺模的,yao'mo'de
幺拟群,yao'ni'qun
一般方程,yi'ban'fang'cheng
一般凯莱代数,yi'ban'kai'lai'dai'shu
一般射影线性群,yi'ban'she'ying'xian'xing'qun
伊代尔群,yi'dai'er'qun
一阶理论,yi'jie'li'lun
一阶效率,yi'jie'xiao'lv
译码,yi'ma
伊藤公式,yi'teng'gong'shi
伊藤过程,yi'teng'guo'cheng
移位,yi'wei
一元函数,yi'yuan'han'shu
一元一次方程,yi'yuan'yi'ci'fang'cheng
一致连续的,yi'zhi'lian'xu'de
一致收敛性,yi'zhi'shou'lian'xing
因式,yin'shi
隐式差分法,yin'shi'cha'fen'fa
因子分析,yin'zi'fen'xi
映入,ying'ru
映射的微分,ying'she'de'wei'fen
映射度,ying'she'du
用方风险,yong'fang'feng'xian
永田环,yong'tian'huan
右阿廷环,you'a'ting'huan
右乘环,you'cheng'huan
右导数,you'dao'shu
右端参数问题,you'duan'can'shu'wen'ti
有界的,you'jie'de
酉矩阵,you'ju'zhen
友矩阵,you'ju'zhen
酉空间,you'kong'jian
有理等价,you'li'deng'jia
有理分式,you'li'fen'shi
有理根,you'li'gen
有理函数域,you'li'han'shu'yu
右列环,you'lie'huan
右零因子,you'ling'yin'zi
右诺特环,you'nuo'te'huan
有限表现群,you'xian'biao'xian'qun
有限单群分类,you'xian'dan'qun'fen'lei
优先方法,you'xian'fang'fa
有限能量位势,you'xian'neng'liang'wei'shi
有限维代数,you'xian'wei'dai'shu
有限元分析,you'xian'yuan'fen'xi
有效位数,you'xiao'wei'shu
右序模,you'xu'mo
右幺元,you'yao'yuan
预层,yu'ceng
余代数同态,yu'dai'shu'tong'tai
域的复合,yu'de'fu'he
余法向导数,yu'fa'xiang'dao'shu
域扩张,yu'kuo'zhang
域论,yu'lun
余模,yu'mo
余切向量,yu'qie'xiang'liang
谕示,yu'shi
域特征数,yu'te'zheng'shu
余维数,yu'wei'shu
余弦,yu'xian
余弦公式,yu'xian'gong'shi
余正二次型,yu'zheng'er'ci'xing
原点,yuan'dian
元逻辑,yuan'luo'ji
圆盘代数,yuan'pan'dai'shu
原始递归式,yuan'shi'di'gui'shi
圆柱,yuan'zhu
原子格,yuan'zi'ge
原子理论,yuan'zi'li'lun
原子事件,yuan'zi'shi'jian
约化概形,yue'hua'gai'xing
约化李代数,yue'hua'li'dai'shu
约化同调群,yue'hua'tong'tiao'qun
约化纬垂,yue'hua'wei'chui
约束条件,yue'shu'tiao'jian
杂交有限元法,za'jiao'you'xian'yuan'fa
噪声,zao'sheng
增广乘子法,zeng'guang'cheng'zi'fa
增生算子,zeng'sheng'suan'zi
增算子,zeng'suan'zi
增长性,zeng'zhang'xing
粘性消失法,zhan'xing'xiao'shi'fa
张量代数,zhang'liang'dai'shu
张量分析,zhang'liang'fen'xi
张量积,zhang'liang'ji
真因子,zhen'yin'zi
真值,zhen'zhi
正八面体群,zheng'ba'mian'ti'qun
正半定矩阵,zheng'ban'ding'ju'zhen
正比,zheng'bi
整闭包,zheng'bi'bao
整表示,zheng'biao'shi
整步迭代,zheng'bu'die'dai
正常凸函数,zheng'chang'tu'han'shu
正常相交,zheng'chang'xiang'jiao
整除,zheng'chu
正定有理函数,zheng'ding'you'li'han'shu
整二次型,zheng'er'ci'xing
正根系,zheng'gen'xi
正规变换,zheng'gui'bian'huan
正规化子,zheng'gui'hua'zi
正规交叉,zheng'gui'jiao'cha
正规可解性,zheng'gui'ke'jie'xing
正规双曲型方程,zheng'gui'shuang'qu'xing'fang'cheng
正规性准则,zheng'gui'xing'zhun'ze
正规锥,zheng'gui'zhui
正合对,zheng'he'dui
正交变换,zheng'jiao'bian'huan
正交多项式,zheng'jiao'duo'xiang'shi
正交关系,zheng'jiao'guan'xi
正交轨线族,zheng'jiao'gui'xian'zu
正交和,zheng'jiao'he
正交随机测度,zheng'jiao'sui'ji'ce'du
正交投影,zheng'jiao'tou'ying
正交系,zheng'jiao'xi
整理想,zheng'li'xiang
整数,zheng'shu
正数,zheng'shu
正则概形,zheng'ze'gai'xing
正则函数层,zheng'ze'han'shu'ceng
正则基数,zheng'ze'ji'shu
正则局部环,zheng'ze'ju'bu'huan
正则奇点,zheng'ze'qi'dian
正则性横坐标,zheng'ze'xing'heng'zuo'biao
正则子流形,zheng'ze'zi'liu'xing
直不可分解格,zhi'bu'ke'fen'jie'ge
支撑半空间,zhi'cheng'ban'kong'jian
志村互反律,zhi'cun'hu'fan'lv
支付向量,zhi'fu'xiang'liang
置换表示,zhi'huan'biao'shi
置换检验,zhi'huan'jian'yan
置换群的次数,zhi'huan'qun'de'ci'shu
直积集,zhi'ji'ji
直觉主义逻辑,zhi'jue'zhu'yi'luo'ji
支配权,zhi'pei'quan
支配态射,zhi'pei'tai'she
支配有理映射,zhi'pei'you'li'ying'she
指数分布,zhi'shu'fen'bu
指数和,zhi'shu'he
指数稳定的,zhi'shu'wen'ding'de
直纹曲面,zhi'wen'qu'mian
直线,zhi'xian
置信集,zhi'xin'ji
置信区间,zhi'xin'qu'jian
值域,zhi'yu
中断过程,zhong'duan'guo'cheng
终对象,zhong'dui'xiang
忠实函子,zhong'shi'han'zi
忠实模,zhong'shi'mo
重图,zhong'tu
中心代数,zhong'xin'dai'shu
中心单代数的指数,zhong'xin'dan'dai'shu'de'zhi'shu
中心法,zhong'xin'fa
中心矩,zhong'xin'ju
中心列,zhong'xin'lie
中心自同构,zhong'xin'zi'tong'gou
种域,zhong'yu
周期,zhou'qi
周期群,zhou'qi'qun
主部,zhu'bu
主叉同态,zhu'cha'tong'tai
主除子,zhu'chu'zi
主理想整环,zhu'li'xiang'zheng'huan
主滤子,zhu'lv'zi
柱形代数,zhu'xing'dai'shu
转置伴随等价,zhuan'zhi'ban'sui'deng'jia
转置伴随矩阵,zhuan'zhi'ban'sui'ju'zhen
状态变量,zhuang'tai'bian'liang
追踪曲线,zhui'zong'qu'xian
准素分解,zhun'su'fen'jie
准素环,zhun'su'huan
准素子模,zhun'su'zi'mo
准线,zhun'xian
字,zi
自伴微分算子,zi'ban'wei'fen'suan'zi
子簇,zi'cu
子代数,zi'dai'shu
自动网格生成,zi'dong'wang'ge'sheng'cheng
自反巴拿赫空间,zi'fan'ba'na'he'kong'jian
子格,zi'ge
自共轭理想类,zi'gong'e'li'xiang'lei
子集,zi'ji
自校正控制器,zi'jiao'zheng'kong'zhi'qi
子模,zi'mo
字母码,zi'mu'ma
子群的指数,zi'qun'de'zhi'shu
自然等价,zi'ran'deng'jia
自然对数,zi'ran'dui'shu
子式,zi'shi
自适应积分,zi'shi'ying'ji'fen
自同构,zi'tong'gou
自同态的迹,zi'tong'tai'de'ji
子样本,zi'yang'ben
自由阿尔贝群,zi'you'a'er'bei'qun
自由边界问题,zi'you'bian'jie'wen'ti
自由对象,zi'you'dui'xiang
自由泛代数,zi'you'fan'dai'shu
自由面,zi'you'mian
族,zu
阻碍类,zu'ai'lei
组合分析,zu'he'fen'xi
组合概率,zu'he'gai'lv
组间平方和,zu'jian'ping'fang'he
组限,zu'xian
最大亏格,zui'da'kui'ge
最大树,zui'da'shu
最大值原理,zui'da'zhi'yuan'li
最佳逼近的特征,zui'jia'bi'jin'de'te'zheng
最佳一致逼近,zui'jia'yi'zhi'bi'jin
最速上升,zui'su'shang'sheng
最速下降法,zui'su'xia'jiang'fa
最小二乘法,zui'xiao'er'cheng'fa
最小费用流问题,zui'xiao'fei'yong'liu'wen'ti
最小阶观测器,zui'xiao'jie'guan'ce'qi
最小链,zui'xiao'lian
最优逼近,zui'you'bi'jin
最优设计,zui'you'she'ji
最优性条件,zui'you'xing'tiao'jian
左奥尔环,zuo'ao'er'huan
坐标卡,zuo'biao'ka
坐标轮换法,zuo'biao'lun'huan'fa
坐标曲线,zuo'biao'qu'xian
左分式环,zuo'fen'shi'huan
左函数平移,zuo'han'shu'ping'yi
左理想,zuo'li'xiang
佐藤超函数,zuo'teng'chao'han'shu
左一致结构,zuo'yi'zhi'jie'gou
左正合函子,zuo'zheng'he'han'zi
