阿堡村,a'bao'cun
风式村,feng'shi'cun
冯石畔村,feng'shi'pan'cun
丰收村,feng'shou'cun
枫树村,feng'shu'cun
丰水村,feng'shui'cun
冯台村,feng'tai'cun
丰太腰村,feng'tai'yao'cun
峰坦村,feng'tan'cun
丰头村,feng'tou'cun
冯团庄村,feng'tuan'zhuang'cun
冯洼村,feng'wa'cun
冯湾村,feng'wan'cun
丰王村,feng'wang'cun
蜂王村,feng'wang'cun
凤西村,feng'xi'cun
峰溪村,feng'xi'cun
峰西村,feng'xi'cun
凤栖街居委会,feng'xi'jie'ju'wei'hui
凤栖镇,feng'xi'zhen
奉仙堡村,feng'xian'bao'cun
凤翔沟村,feng'xiang'gou'cun
冯垭村,feng'ya'cun
峰垭村,feng'ya'cun
峰岩村,feng'yan'cun
冯杨村,feng'yang'cun
峰阳镇,feng'yang'zhen
冯要先村,feng'yao'xian'cun
丰仪村,feng'yi'cun
丰邑村,feng'yi'cun
丰仪乡,feng'yi'xiang
丰荫村,feng'yin'cun
沣峪口村,feng'yu'kou'cun
丰裕路社区,feng'yu'lu'she'qu
丰原村,feng'yuan'cun
丰塬村,feng'yuan'cun
冯原村,feng'yuan'cun
峰塬村,feng'yuan'cun
枫园村,feng'yuan'cun
丰原社区,feng'yuan'she'qu
丰园小区社区,feng'yuan'xiao'qu'she'qu
丰原镇,feng'yuan'zhen
冯原镇,feng'yuan'zhen
冯寨村,feng'zhai'cun
沣赵村,feng'zhao'cun
凤镇街村,feng'zhen'jie'cun
丰中村,feng'zhong'cun
凤州村,feng'zhou'cun
凤州镇,feng'zhou'zhen
冯庄村,feng'zhuang'cun
冯庄乡,feng'zhuang'xiang
丰足村,feng'zu'cun
佛道坪村,fo'dao'ping'cun
佛殿峁村,fo'dian'mao'cun
佛店山村,fo'dian'shan'cun
佛店洼村,fo'dian'wa'cun
佛洞村,fo'dong'cun
佛古塬村,fo'gu'yuan'cun
佛光村,fo'guang'cun
佛里村,fo'li'cun
佛吕村,fo'lv'cun
佛堂寺村,fo'tang'si'cun
佛堂墕村,fo'tang'yan'cun
佛头村,fo'tou'cun
佛爷坝村,fo'ye'ba'cun
佛爷岩村,fo'ye'yan'cun
佛庄村,fo'zhuang'cun
佛庄寺村,fo'zhuang'si'cun
府安村,fu'an'cun
富安路社区,fu'an'lu'she'qu
福安社区,fu'an'she'qu
付北村,fu'bei'cun
敷北村,fu'bei'cun
伏波村,fu'bo'cun
富昌路社区,fu'chang'lu'she'qu
夫城村,fu'cheng'cun
福成乡,fu'cheng'xiang
富城镇,fu'cheng'zhen
府池村,fu'chi'cun
阜川镇,fu'chuan'zhen
父慈村,fu'ci'cun
付村,fu'cun
富村,fu'cun
府村,fu'cun
富德村,fu'de'cun
福德村,fu'de'cun
富德府村,fu'de'fu'cun
甫店村,fu'dian'cun
扶东村,fu'dong'cun
甫尔村,fu'er'cun
复肥厂社区,fu'fei'chang'she'qu
府谷镇,fu'gu'zhen
付坬村,fu'gua'cun
付官村,fu'guan'cun
府华村,fu'hua'cun
富华社区,fu'hua'she'qu
付家堡村,fu'jia'bao'cun
付家扁村,fu'jia'bian'cun
付家村,fu'jia'cun
伏家村,fu'jia'cun
傅家村,fu'jia'cun
富家村,fu'jia'cun
符家村,fu'jia'cun
付家沟村,fu'jia'gou'cun
富家沟村,fu'jia'gou'cun
福家沟村,fu'jia'gou'cun
付家河村,fu'jia'he'cun
付家庙村,fu'jia'miao'cun
付家畔村,fu'jia'pan'cun
符家畔村,fu'jia'pan'cun
付家坪村,fu'jia'ping'cun
富家坪村,fu'jia'ping'cun
付家山村,fu'jia'shan'cun
富家塌村,fu'jia'ta'cun
付家湾村,fu'jia'wan'cun
傅家湾村,fu'jia'wan'cun
付家巷村,fu'jia'xiang'cun
付家墕村,fu'jia'yan'cun
付家营村,fu'jia'ying'cun
富家裕村,fu'jia'yu'cun
付家塬村,fu'jia'yuan'cun
付家院村,fu'jia'yuan'cun
付家庄村,fu'jia'zhuang'cun
傅家庄村,fu'jia'zhuang'cun
符家庄村,fu'jia'zhuang'cun
甫江村,fu'jiang'cun
敷街村,fu'jie'cun
府君店村,fu'jun'dian'cun
府君寨村,fu'jun'zhai'cun
福乐坪村,fu'le'ping'cun
富礼坊村,fu'li'fang'cun
福临堡村,fu'lin'bao'cun
福临堡社区,fu'lin'bao'she'qu
富刘村,fu'liu'cun
福柳村,fu'liu'cun
伏龙村,fu'long'cun
付马村,fu'ma'cun
驸马村,fu'ma'cun
附马庄村,fu'ma'zhuang'cun
福美社区,fu'mei'she'qu
伏蒙村,fu'meng'cun
付庙村,fu'miao'cun
富民村,fu'min'cun
扶苜村,fu'mu'cun
付南村,fu'nan'cun
扶南村,fu'nan'cun
敷南村,fu'nan'cun
富宁村,fu'ning'cun
富坪村,fu'ping'cun
富平村,fu'ping'cun
伏坡村,fu'po'cun
扶乾村,fu'qian'cun
富强村,fu'qiang'cun
富强乡,fu'qiang'xiang
富仁村,fu'ren'cun
富仁乡,fu'ren'xiang
芙蓉村,fu'rong'cun
付山村,fu'shan'cun
复升村,fu'sheng'cun
复胜湾村,fu'sheng'wan'cun
肤施路社区,fu'shi'lu'she'qu
富水街村,fu'shui'jie'cun
夫水镇,fu'shui'zhen
富水镇,fu'shui'zhen
伏寺村,fu'si'cun
福滩村,fu'tan'cun
富田村,fu'tian'cun
伏头村,fu'tou'cun
富妥村,fu'tuo'cun
扶托村,fu'tuo'cun
福托村,fu'tuo'cun
富王村,fu'wang'cun
附溪村,fu'xi'cun
甫下村,fu'xia'cun
富新村,fu'xin'cun
复兴村,fu'xing'cun
富兴村,fu'xing'cun
福星村,fu'xing'cun
富羊村,fu'yang'cun
浮阳村,fu'yang'cun
伏益村,fu'yi'cun
伏义河村,fu'yi'he'cun
福音村,fu'yin'cun
付营村,fu'ying'cun
富有村,fu'you'cun
福佑村,fu'you'cun
凫峪村,fu'yu'cun
富裕沟村,fu'yu'gou'cun
富垣村,fu'yuan'cun
富塬村,fu'yuan'cun
富源村,fu'yuan'cun
福园社区,fu'yuan'she'qu
付元则村,fu'yuan'ze'cun
阜寨乡,fu'zhai'xiang
甫张村,fu'zhang'cun
伏中村,fu'zhong'cun
府州城社区,fu'zhou'cheng'she'qu
府庄村,fu'zhuang'cun
富卓村,fu'zhuo'cun
旮旯子村,ga'la'zi'cun
盖村,gai'cun
改革村,gai'ge'cun
改进村,gai'jin'cun
干坝村,gan'ba'cun
干坝子村,gan'ba'zi'cun
干柏村,gan'bai'cun
干堡村,gan'bao'cun
甘北村,gan'bei'cun
干北塬村,gan'bei'yuan'cun
甘草村,gan'cao'cun
甘草塬村,gan'cao'yuan'cun
甘池村,gan'chi'cun
甘村,gan'cun
矸村,gan'cun
干沟村,gan'gou'cun
甘沟村,gan'gou'cun
甘沟河村,gan'gou'he'cun
甘沟口村,gan'gou'kou'cun
干沟则村,gan'gou'ze'cun
甘谷驿社区,gan'gu'yi'she'qu
甘谷驿镇,gan'gu'yi'zhen
干河坝村,gan'he'ba'cun
干河村,gan'he'cun
甘河村,gan'he'cun
干河沟村,gan'he'gou'cun
甘河镇,gan'he'zhen
甘家店村,gan'jia'dian'cun
干家河村,gan'jia'he'cun
甘家坪村,gan'jia'ping'cun
甘家寨村,gan'jia'zhai'cun
甘江村,gan'jiang'cun
甘杰村,gan'jie'cun
甘津头村,gan'jin'tou'cun
甘井村,gan'jing'cun
甘井镇,gan'jing'zhen
甘涝村,gan'lao'cun
甘孟咀村,gan'meng'ju'cun
甘庙村,gan'miao'cun
甘渠头村,gan'qu'tou'cun
甘泉村,gan'quan'cun
甘泉坊村,gan'quan'fang'cun
干沙村,gan'sha'cun
甘石村,gan'shi'cun
柑树村,gan'shu'cun
甘水坊村,gan'shui'fang'cun
干水磨村,gan'shui'mo'cun
干田村,gan'tian'cun
甘亭镇,gan'ting'zhen
甘午村,gan'wu'cun
干溪沟村,gan'xi'gou'cun
甘溪沟村,gan'xi'gou'cun
甘溪镇,gan'xi'zhen
甘贤村,gan'xian'cun
干阳沟村,gan'yang'gou'cun
甘叶沟村,gan'ye'gou'cun
甘义沟村,gan'yi'gou'cun
甘峪村,gan'yu'cun
甘峪沟村,gan'yu'gou'cun
甘峪口村,gan'yu'kou'cun
甘泽堡村,gan'ze'bao'cun
甘寨堡村,gan'zhai'bao'cun
甘寨村,gan'zhai'cun
干洲河村,gan'zhou'he'cun
甘庄村,gan'zhuang'cun
岗城村,gang'cheng'cun
缸房村,gang'fang'cun
钢管厂社区,gang'guan'chang'she'qu
岗夹沟村,gang'jia'gou'cun
刚家寨村,gang'jia'zhai'cun
岗上村,gang'shang'cun
杠树台村,gang'shu'tai'cun
钢铁村,gang'tie'cun
岗子村,gang'zi'cun
高艾家沟村,gao'ai'jia'gou'cun
高八村,gao'ba'cun
高坝村,gao'ba'cun
高坝店镇,gao'ba'dian'zhen
高坝街村,gao'ba'jie'cun
高柏村,gao'bai'cun
高柏山村,gao'bai'shan'cun
高柏乡,gao'bai'xiang
高帮进村,gao'bang'jin'cun
高堡村,gao'bao'cun
高北村,gao'bei'cun
高鼻梁村,gao'bi'liang'cun
高砭梁村,gao'bian'liang'cun
高才村,gao'cai'cun
高菜尧村,gao'cai'yao'cun
高岔村,gao'cha'cun
高昌村,gao'chang'cun
高潮村,gao'chao'cun
高钞村,gao'chao'cun
高潮社区,gao'chao'she'qu
高城村,gao'cheng'cun
高成沟村,gao'cheng'gou'cun
高池村,gao'chi'cun
高处墕村,gao'chu'yan'cun
高川村,gao'chuan'cun
高川镇,gao'chuan'zhen
高村,gao'cun
高道塄村,gao'dao'leng'cun
高道则村,gao'dao'ze'cun
高店村,gao'dian'cun
高东村,gao'dong'cun
高洞河村,gao'dong'he'cun
高杜村,gao'du'cun
高渡村,gao'du'cun
高都村,gao'du'cun
高二村,gao'er'cun
高二沟村,gao'er'gou'cun
高尔塬村,gao'er'yuan'cun
高坊村,gao'fang'cun
高丰村,gao'feng'cun
高峰村,gao'feng'cun
高峰镇,gao'feng'zhen
高圪哒村,gao'ge'da'cun
高圪堵村,gao'ge'du'cun
高圪塔村,gao'ge'ta'cun
高沟村,gao'gou'cun
高沟口村,gao'gou'kou'cun
高海畔村,gao'hai'pan'cun
高韩村,gao'han'cun
高郝家沟村,gao'hao'jia'gou'cun
高河村,gao'he'cun
高宏寺沟村,gao'hong'si'gou'cun
高侯村,gao'hou'cun
高花河村,gao'hua'he'cun
高槐村,gao'huai'cun
高皇村,gao'huang'cun
高皇山村,gao'huang'shan'cun
高辉村,gao'hui'cun
高伙场村,gao'huo'chang'cun
高家坝村,gao'jia'ba'cun
高家砭村,gao'jia'bian'cun
高家岔村,gao'jia'cha'cun
高家池村,gao'jia'chi'cun
高家川村,gao'jia'chuan'cun
高家村,gao'jia'cun
高甲村,gao'jia'cun
高家店村,gao'jia'dian'cun
高家圪凹村,gao'jia'ge'ao'cun
高家圪捞村,gao'jia'ge'lao'cun
高家圪塄村,gao'jia'ge'leng'cun
高家圪塔村,gao'jia'ge'ta'cun
高家圪台村,gao'jia'ge'tai'cun
高家圪图村,gao'jia'ge'tu'cun
高家沟村,gao'jia'gou'cun
高家沟乡,gao'jia'gou'xiang
高家坬村,gao'jia'gua'cun
高家坬上村,gao'jia'gua'shang'cun
高家河村,gao'jia'he'cun
高家后寨村,gao'jia'hou'zhai'cun
高家伙场村,gao'jia'huo'chang'cun
高家吉村,gao'jia'ji'cun
高家集村,gao'jia'ji'cun
高家硷村,gao'jia'jian'cun
高家坎村,gao'jia'kan'cun
高家老庄村,gao'jia'lao'zhuang'cun
高家堎村,gao'jia'leng'cun
高家塄村,gao'jia'leng'cun
高家岭村,gao'jia'ling'cun
高家岭乡,gao'jia'ling'xiang
高家楼村,gao'jia'lou'cun
高家峁村,gao'jia'mao'cun
高家峁则村,gao'jia'mao'ze'cun
高家畔村,gao'jia'pan'cun
高家坪村,gao'jia'ping'cun
高家坪乡,gao'jia'ping'xiang
高家坡村,gao'jia'po'cun
高家堡村,gao'jia'pu'cun
高家堡镇,gao'jia'pu'zhen
高家千村,gao'jia'qian'cun
高家渠村,gao'jia'qu'cun
高家山村,gao'jia'shan'cun
高家塌村,gao'jia'ta'cun
高家塔村,gao'jia'ta'cun
高家台村,gao'jia'tai'cun
高家屯村,gao'jia'tun'cun
高家屯乡,gao'jia'tun'xiang
高家洼村,gao'jia'wa'cun
高家湾村,gao'jia'wan'cun
高家下坬村,gao'jia'xia'gua'cun
高家新庄村,gao'jia'xin'zhuang'cun
高家崖村,gao'jia'ya'cun
高家墕村,gao'jia'yan'cun
高家焉村,gao'jia'yan'cun
高家音则村,gao'jia'yin'ze'cun
高家元村,gao'jia'yuan'cun
高家塬村,gao'jia'yuan'cun
高家源村,gao'jia'yuan'cun
高家园则村,gao'jia'yuan'ze'cun
高家枣林村,gao'jia'zao'lin'cun
高家寨村,gao'jia'zhai'cun
高家镇,gao'jia'zhen
高家庄村,gao'jia'zhuang'cun
高剑村,gao'jian'cun
高涧村,gao'jian'cun
高硷村,gao'jian'cun
高杰村,gao'jie'cun
高杰村镇,gao'jie'cun'zhen
高界里村,gao'jie'li'cun
高井村,gao'jing'cun
高举村,gao'ju'cun
高坎村,gao'kan'cun
高堎村,gao'leng'cun
高李村,gao'li'cun
高里村,gao'li'cun
高力坊村,gao'li'fang'cun
高里圪台村,gao'li'ge'tai'cun
高李家沟村,gao'li'jia'gou'cun
高力渠村,gao'li'qu'cun
高里寺村,gao'li'si'cun
高里塬村,gao'li'yuan'cun
高梁村,gao'liang'cun
高粱村,gao'liang'cun
高梁沟村,gao'liang'gou'cun
高梁铺村,gao'liang'pu'cun
高梁上村,gao'liang'shang'cun
高刘村,gao'liu'cun
高柳树村,gao'liu'shu'cun
高龙山村,gao'long'shan'cun
高龙乡,gao'long'xiang
高楼村,gao'lou'cun
高楼河乡,gao'lou'he'xiang
高楼洼村,gao'lou'wa'cun
高路村,gao'lu'cun
高码头村,gao'ma'tou'cun
高满沟村,gao'man'gou'cun
高峁湾村,gao'mao'wan'cun
高门村,gao'men'cun
高米村,gao'mi'cun
高庙村,gao'miao'cun
高庙山村,gao'miao'shan'cun
高庙湾村,gao'miao'wan'cun
高明村,gao'ming'cun
高明镇,gao'ming'zhen
高南村,gao'nan'cun
高念文村,gao'nian'wen'cun
高皮梁村,gao'pi'liang'cun
高坪村,gao'ping'cun
高坪坬村,gao'ping'gua'cun
高坡村,gao'po'cun
高起家坬村,gao'qi'jia'gua'cun
高墙村,gao'qiang'cun
高桥村,gao'qiao'cun
高桥沟村,gao'qiao'gou'cun
高桥街道社区,gao'qiao'jie'dao'she'qu
高桥铺村,gao'qiao'pu'cun
高桥乡,gao'qiao'xiang
高桥镇,gao'qiao'zhen
高青村,gao'qing'cun
高渠村,gao'qu'cun
高渠乡,gao'qu'xiang
高圈村,gao'quan'cun
高仁村,gao'ren'cun
高仁里峁村,gao'ren'li'mao'cun
高沙沟村,gao'sha'gou'cun
高沙峁村,gao'sha'mao'cun
高山村,gao'shan'cun
高山河村,gao'shan'he'cun
高山庙村,gao'shan'miao'cun
高尚墕村,gao'shang'yan'cun
高哨村,gao'shao'cun
高邵村,gao'shao'cun
高哨乡,gao'shao'xiang
高舍沟村,gao'she'gou'cun
高升村,gao'sheng'cun
高石硷村,gao'shi'jian'cun
高石角村,gao'shi'jiao'cun
高石坎村,gao'shi'kan'cun
高石峁村,gao'shi'mao'cun
高石崖村,gao'shi'ya'cun
高石涯村,gao'shi'ya'cun
高树村,gao'shu'cun
高水村,gao'shui'cun
高水田村,gao'shui'tian'cun
高松树村,gao'song'shu'cun
高台村,gao'tai'cun
高台社区,gao'tai'she'qu
高台镇,gao'tai'zhen
高滩村,gao'tan'cun
高滩街道社区,gao'tan'jie'dao'she'qu
高滩镇,gao'tan'zhen
高堂村,gao'tang'cun
高塘镇,gao'tang'zhen
高田村,gao'tian'cun
高天梁村,gao'tian'liang'cun
高铁村,gao'tie'cun
高桐村,gao'tong'cun
高土坝村,gao'tu'ba'cun
高土洼村,gao'tu'wa'cun
高洼村,gao'wa'cun
高湾村,gao'wan'cun
高万家河村,gao'wan'jia'he'cun
高望村,gao'wang'cun
高王村,gao'wang'cun
高王庙村,gao'wang'miao'cun
高望寺村,gao'wang'si'cun
高武沟村,gao'wu'gou'cun
高溪村,gao'xi'cun
高西村,gao'xi'cun
高西沟村,gao'xi'gou'cun
高新村,gao'xin'cun
高新庄村,gao'xin'zhuang'cun
高兴村,gao'xing'cun
高兴村庄村,gao'xing'cun'zhuang'cun
高兴庄村,gao'xing'zhuang'cun
高崖村,gao'ya'cun
高崖梁村,gao'ya'liang'cun
高崖畔村,gao'ya'pan'cun
高崖头村,gao'ya'tou'cun
高崖乡,gao'ya'xiang
高崖窑村,gao'ya'yao'cun
高堰村,gao'yan'cun
高墕村,gao'yan'cun
高杨村,gao'yang'cun
高阳村,gao'yang'cun
高阳社区,gao'yang'she'qu
高阳湾村,gao'yang'wan'cun
高阳镇,gao'yang'zhen
高尧村,gao'yao'cun
高窑村,gao'yao'cun
高耀村,gao'yao'cun
高尧峁村,gao'yao'mao'cun
高耀乡,gao'yao'xiang
高一村,gao'yi'cun
高义村,gao'yi'cun
高益村,gao'yi'cun
高营村,gao'ying'cun
高峪村,gao'yu'cun
高原坝村,gao'yuan'ba'cun
高原村,gao'yuan'cun
高垣村,gao'yuan'cun
高塬村,gao'yuan'cun
高原寺村,gao'yuan'si'cun
高原寨村,gao'yuan'zhai'cun
高跃村,gao'yue'cun
高寨村,gao'zhai'cun
高寨子村,gao'zhai'zi'cun
高寨子镇,gao'zhai'zi'zhen
高掌坪村,gao'zhang'ping'cun
高章营村,gao'zhang'ying'cun
高镇,gao'zhen
高镇村,gao'zhen'cun
高中村,gao'zhong'cun
高仲家坬村,gao'zhong'jia'gua'cun
高庄村,gao'zhuang'cun
高庄坬村,gao'zhuang'gua'cun
高庄则村,gao'zhuang'ze'cun
高庄镇,gao'zhuang'zhen
高桌子村,gao'zhuo'zi'cun
高嘴头村,gao'zui'tou'cun
圪凹店村,ge'ao'dian'cun
胳膊峪村,ge'bo'yu'cun
圪杈山村,ge'cha'shan'cun
葛村,ge'cun
疙瘩村,ge'da'cun
圪洞坬村,ge'dong'gua'cun
圪洞河村,ge'dong'he'cun
圪堵村,ge'du'cun
圪垛村,ge'duo'cun
割耳庄村,ge'er'zhuang'cun
葛富村,ge'fu'cun
各沟村,ge'gou'cun
葛沟村,ge'gou'cun
葛河村,ge'he'cun
各河口村,ge'he'kou'cun
葛家岔村,ge'jia'cha'cun
葛家村,ge'jia'cun
鬲家村,ge'jia'cun
葛家圪台村,ge'jia'ge'tai'cun
葛家沟村,ge'jia'gou'cun
葛家河村,ge'jia'he'cun
葛家渠村,ge'jia'qu'cun
葛家洼村,ge'jia'wa'cun
格家庄村,ge'jia'zhuang'cun
圪烂沟村,ge'lan'gou'cun
圪劳村,ge'lao'cun
圪崂村,ge'lao'cun
圪捞村,ge'lao'cun
阁老门村,ge'lao'men'cun
圪劳湾村,ge'lao'wan'cun
阁连村,ge'lian'cun
圪柳沟村,ge'liu'gou'cun
圪柳咀村,ge'liu'ju'cun
圪绺咀村,ge'liu'ju'cun
阁楼镇,ge'lou'zhen
格奴山村,ge'nu'shan'cun
葛牌沟村,ge'pai'gou'cun
葛牌街村,ge'pai'jie'cun
葛牌镇,ge'pai'zhen
圪求河村,ge'qiu'he'cun
葛石村,ge'shi'cun
圪塔村,ge'ta'cun
圪塔沟村,ge'ta'gou'cun
疙塔庙村,ge'ta'miao'cun
圪塔山村,ge'ta'shan'cun
圪塔头村,ge'ta'tou'cun
疙塔头村,ge'ta'tou'cun
圪塔塬村,ge'ta'yuan'cun
圪台村,ge'tai'cun
圪台乡,ge'tai'xiang
葛条岭村,ge'tiao'ling'cun
葛条乡,ge'tiao'xiang
阁头寺村,ge'tou'si'cun
圪坨村,ge'tuo'cun
圪驮村,ge'tuo'cun
圪针梁村,ge'zhen'liang'cun
格针庙村,ge'zhen'miao'cun
圪针畔村,ge'zhen'pan'cun
圪针坪村,ge'zhen'ping'cun
圪针塔村,ge'zhen'ta'cun
圪针湾村,ge'zhen'wan'cun
圪针崖村,ge'zhen'ya'cun
圪宗则沟村,ge'zong'ze'gou'cun
耿北村,geng'bei'cun
耿尔庄村,geng'er'zhuang'cun
耿家砭村,geng'jia'bian'cun
耿家村,geng'jia'cun
耿家峁村,geng'jia'mao'cun
耿家山村,geng'jia'shan'cun
耿西村,geng'xi'cun
更新社区,geng'xin'she'qu
耿峪村,geng'yu'cun
耿元村,geng'yuan'cun
耿塬村,geng'yuan'cun
耿镇,geng'zhen
耿镇村,geng'zhen'cun
宫堡村,gong'bao'cun
公布井村,gong'bu'jing'cun
公草湾村,gong'cao'wan'cun
公城村,gong'cheng'cun
工程机械厂社区,gong'cheng'ji'xie'chang'she'qu
工程科技学院社区,gong'cheng'ke'ji'xue'yuan'she'qu
巩村,gong'cun
供电局社区,gong'dian'ju'she'qu
龚东村,gong'dong'cun
共富村,gong'fu'cun
公格沟村,gong'ge'gou'cun
巩固村,gong'gu'cun
公馆乡,gong'guan'xiang
公合村,gong'he'cun
共和村,gong'he'cun
龚家堡村,gong'jia'bao'cun
巩家槽村,gong'jia'cao'cun
弓家村,gong'jia'cun
龚家村,gong'jia'cun
弓家圪崂村,gong'jia'ge'lao'cun
巩家沟村,gong'jia'gou'cun
龚家沟村,gong'jia'gou'cun
公家坬村,gong'jia'gua'cun
巩家河村,gong'jia'he'cun
巩家河乡,gong'jia'he'xiang
龚家峁村,gong'jia'mao'cun
巩家泉村,gong'jia'quan'cun
弓家山村,gong'jia'shan'cun
巩家湾村,gong'jia'wan'cun
公家峪村,gong'jia'yu'cun
龚家院村,gong'jia'yuan'cun
龚家庄村,gong'jia'zhuang'cun
宫硷村,gong'jian'cun
弓箭沟村,gong'jian'gou'cun
公交一公司社区,gong'jiao'yi'gong'si'she'qu
共进乡,gong'jin'xiang
公里村,gong'li'cun
共力村,gong'li'cun
宫里村,gong'li'cun
宫里镇,gong'li'zhen
龚刘村,gong'liu'cun
公路村,gong'lu'cun
龚吕村,gong'lv'cun
工农村,gong'nong'cun
工农桥村,gong'nong'qiao'cun
工农社区,gong'nong'she'qu
工农新村社区,gong'nong'xin'cun'she'qu
公平村,gong'ping'cun
拱桥村,gong'qiao'cun
巩寺村,gong'si'cun
共同村,gong'tong'cun
公王村,gong'wang'cun
龚西村,gong'xi'cun
公星村,gong'xing'cun
共兴村,gong'xing'cun
工业区社区,gong'ye'qu'she'qu
工业学校社区,gong'ye'xue'xiao'she'qu
公义村,gong'yi'cun
共峪村,gong'yu'cun
龚原村,gong'yuan'cun
公园街社区,gong'yuan'jie'she'qu
公园路社区,gong'yuan'lu'she'qu
贡院门社区,gong'yuan'men'she'qu
公园南路社区,gong'yuan'nan'lu'she'qu
公园社区,gong'yuan'she'qu
恭张村,gong'zhang'cun
公主川村,gong'zhu'chuan'cun
公主村,gong'zhu'cun
公庄村,gong'zhuang'cun
宫子村,gong'zi'cun
公子庄村,gong'zi'zhuang'cun
苟安村,gou'an'cun
构扒镇,gou'ba'zhen
沟北村,gou'bei'cun
沟岔村,gou'cha'cun
苟村,gou'cun
沟东村,gou'dong'cun
苟家坳村,gou'jia'ao'cun
构家坝村,gou'jia'ba'cun
沟家村,gou'jia'cun
苟家村,gou'jia'cun
苟家沟村,gou'jia'gou'cun
苟家岭村,gou'jia'ling'cun
苟家庙村,gou'jia'miao'cun
苟家坡村,gou'jia'po'cun
苟家湾村,gou'jia'wan'cun
缑家庄村,gou'jia'zhuang'cun
沟口村,gou'kou'cun
沟老村,gou'lao'cun
沟老头村,gou'lao'tou'cun
沟里村,gou'li'cun
沟岭村,gou'ling'cun
沟龙村,gou'long'cun
沟门村,gou'men'cun
沟孟村,gou'meng'cun
沟南村,gou'nan'cun
构坪村,gou'ping'cun
沟曲头村,gou'qu'tou'cun
沟渠头村,gou'qu'tou'cun
沟圈村,gou'quan'cun
沟泉村,gou'quan'cun
沟泉头村,gou'quan'tou'cun
沟头村,gou'tou'cun
沟王村,gou'wang'cun
沟西村,gou'xi'cun
沟西上村,gou'xi'shang'cun
沟峪村,gou'yu'cun
构元村,gou'yuan'cun
构园村,gou'yuan'cun
构元乡,gou'yuan'xiang
沟掌村,gou'zhang'cun
谷卜峪村,gu'bu'yu'cun
古城村,gu'cheng'cun
故城村,gu'cheng'cun
古城界村,gu'cheng'jie'cun
古城街社区,gu'cheng'jie'she'qu
古城梁村,gu'cheng'liang'cun
古城路居委会,gu'cheng'lu'ju'wei'hui
古城镇,gu'cheng'zhen
故池村,gu'chi'cun
固川村,gu'chuan'cun
古道村,gu'dao'cun
谷地峁村,gu'di'mao'cun
古渡甸村,gu'du'dian'cun
古渡街道办事处,gu'du'jie'dao'ban'shi'chu
谷堆坪村,gu'dui'ping'cun
谷多村,gu'duo'cun
古范村,gu'fan'cun
古凤村,gu'feng'cun
古圪垯沟村,gu'ge'da'gou'cun
古沟村,gu'gou'cun
固关街村,gu'guan'jie'cun
固关镇,gu'guan'zhen
孤魂庙村,gu'hun'miao'cun
古迹岭社区,gu'ji'ling'she'qu
古家村,gu'jia'cun
谷家村,gu'jia'cun
顾家村,gu'jia'cun
谷家沟村,gu'jia'gou'cun
古家河村,gu'jia'he'cun
顾家畔村,gu'jia'pan'cun
古今滩村,gu'jin'tan'cun
谷咀村,gu'ju'cun
故郡乡,gu'jun'xiang
古里村,gu'li'cun
谷李村,gu'li'cun
固临社区,gu'lin'she'qu
鹘岭沟村,gu'ling'gou'cun
古刘村,gu'liu'cun
鼓楼街道办事处,gu'lou'jie'dao'ban'shi'chu
鼓楼社区,gu'lou'she'qu
古路坝村,gu'lu'ba'cun
古路村,gu'lu'cun
古路峪村,gu'lu'yu'cun
鼓锣坪村,gu'luo'ping'cun
古庙村,gu'miao'cun
孤山村,gu'shan'cun
孤山坪村,gu'shan'ping'cun
孤山镇,gu'shan'zhen
谷邵村,gu'shao'cun
固室村,gu'shi'cun
故市村,gu'shi'cun
故市镇,gu'shi'zhen
古水村,gu'shui'cun
古寺村,gu'si'cun
古塔乡,gu'ta'xiang
古屯村,gu'tun'cun
顾屯村,gu'tun'cun
古西村,gu'xi'cun
固县村,gu'xian'cun
固显村,gu'xian'cun
固贤村,gu'xian'cun
固险村,gu'xian'cun
故现村,gu'xian'cun
故贤村,gu'xian'cun
顾贤村,gu'xian'cun
固贤乡,gu'xian'xiang
顾兴庄村,gu'xing'zhuang'cun
古衣川村,gu'yi'chuan'cun
故邑村,gu'yi'cun
固益沟村,gu'yi'gou'cun
谷雨村,gu'yu'cun
故峪沟村,gu'yu'gou'cun
古元村,gu'yuan'cun
故寨村,gu'zhai'cun
谷张村,gu'zhang'cun
古镇村,gu'zhen'cun
古镇居委会,gu'zhen'ju'wei'hui
瓜底村,gua'di'cun
瓜地沟村,gua'di'gou'cun
掛里沟村,gua'li'gou'cun
坬坪村,gua'ping'cun
瓜坡镇,gua'po'zhen
瓜山村,gua'shan'cun
坬舍沟村,gua'she'gou'cun
坬石塌村,gua'shi'ta'cun
坬墕村,gua'yan'cun
瓜园村,gua'yuan'cun
瓜园则湾村,gua'yuan'ze'wan'cun
瓜园则湾乡,gua'yuan'ze'wan'xiang
瓜赵村,gua'zhao'cun
瓜洲村,gua'zhou'cun
瓜子沟村,gua'zi'gou'cun
挂子山村,gua'zi'shan'cun
拐拐村,guai'guai'cun
拐里村,guai'li'cun
拐峁村,guai'mao'cun
拐上村,guai'shang'cun
拐枣坪村,guai'zao'ping'cun
关坝村,guan'ba'cun
官兵村,guan'bing'cun
关草村,guan'cao'cun
关草涧村,guan'cao'jian'cun
官常山村,guan'chang'shan'cun
